,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,claudio_carvalho,Surprisingly a Great Horror Film,8,24 June 2018,"When the aunt of Pauline (Mylène Farmer) dies, she inherits the lonely house in the countryside and travels with her two teenage daughters to the place. While driving to the house, her daughter and aspirant writer of horror genre Beth (Emilia Jones) reads her last novel to her mother and the rebel Vera (Taylor Hickson) criticizes her sister, and a candy truck driver overtakes their car. When they stop at a convenience store in a gas station, Beth learns that the police is hunting down criminals that kill the parents and abuse their daughters. They arrive at the house that looks like an old bazar with many dolls. Vera does not close the front door and soon they are assaulted by driver and a fat man that were in the candy truck. Years later, Beth is a famous writer married with a baby boy and has just released a novel about their attack. Out of the blue, she receives a phone call from Vera asking for help and she leaves her husband and son to visit her mother and her sister. Soon she learns that weird and mysterious things are happening in the old house. What could it be?""Ghostland"" is one of the best horror films recently released. Despite the title, it is not a ghost story but a dramatic, violent, melancholic and highly disturbing horror film with many unexpected plot points. While watching the film, the viewer sees scenes that seem to be plot holes, like for example, why Pauline stays with Vera in a house with so bad recollections. Or why Beth did not send Vera to a clinic for recovering her trauma since she can afford as a famous novelist. But there are explanations for every apparently flaws with surprising twists. Taylor Hickson was facially disfigured while shooting a scene for the film and received seventy (70) stitches on her face and is scarred. She is suing the film´s production company. Hoping this talented actress can recover her beautiful young face is the wish of every fan of cinema and the end of this simple review. My vote is eight.Title (Brazil): Not Available",Incident in a Ghostland
1,nogodnomasters,I like to write stories,7,10 September 2018,"When Aunt Clarissa passes, she wills her home to Colleen (Mylène Farmer) and her two polar opposite daughters. Beth (Crystal Reed/Emilia Jones) likes to write horror stories and read HP Lovecraft. Mom encourages her and she is clearly the favorite. Vera (Anastasia Phillips /Taylor Hickson) rebels against everything. On the way there, they discover there is a family serial killer in the area. Not hard to figure out the next scene. Years later Beth is a successful writer and returns to the home to visit her mother and Vera, who relives the event over and over. A wicked twist comes at about 50 minutes into the film. Interesting writing. Guide: F-word. Off screen rape. nudity (Anastasia Phillips )",Incident in a Ghostland
2,kosmasp,How to get by,9,22 December 2018,"I did not read about the - well let's call them difficulties the movie had while filming it. Especially the main actress had quite some stuff she had to go through (no pun intended, you'll understand if or when you read about the ""real"" incident during filming a stunt for the movie). Now with that not in mind, I really could enjoy the movie.I do get it, if you know about this beforehand, that it might influence your viewing of the movie. It might feel like the movie should not have been made, you might have certain feelings against the director too. Whatever the case, if you do have to read about those before watching the movie, try to seperate what happened with what you are watching. I know it won't be easy, but you'll likely won't be able to enjoy the thrill ride otherwise ... and it's quite something! The story is really good, not matter what you know or what you guess about it while you watch it ...",Incident in a Ghostland
3,Woodyanders,A horror film that means business,8,8 July 2020,"Pauline (superbly played by Mylene Farmer) and her two teenage daughters survive a home invasion attack by two vicious psychos. 16 years later the trio are all forced to confront the long-term trauma wrought by said attack. Moreover, things are not really what they seem.Writer/director Pascal Laugier relates the tricky and involving story at a steady pace, ably crafts a supremely creepy gloom-doom mood, takes time to develop the characters, astutely pegs the severe lasting emotional and psychological damage beget by being exposed to savage violence as well as makes a poignant point about the need to get go, and tosses in a few neat twists and turns. Crystal Reed as the resilient Beth and Anastasia Phillips as the vulnerable Vera both do sterling work in their demanding roles. Rob Archer makes a strong and terrifying impression as a monstrous obese wacko. Kevin Power is likewise quite chilling as an equally scary and unhinged lady nutcase. Best of all, all the terrible events that occur within this film fall into the unsettling category of stuff that could actually happen, which in turn gives this picture an extra potent and unsettling punch. A superior fright film.",Incident in a Ghostland
4,paul_haakonsen,This was an amazing surprise of a horror movie...,8,14 August 2020,"I hadn't heard about this 2018 horror movie titled ""Incident in a Ghostland"" or ""Ghostland"" before now in 2020, when I happened to get a chance to sit down and watch it. And with it being a horror movie, of course I managed to find the time to sit down to watch it.First of all I must say that writer and director Pascal Laugier really had something amazing here, because this was a very entertaining and enjoyable movie. Sure, it was a disturbing movie as well, but it was genuinely great entertainment in terms of it being a horror movie.The storyline was very, very well-constructed and written by Pascal Laugier, and equally so brought to life on the screen. And the skipping between reality and the imaginary world was just a stroke of brilliance. And that was something that really added a very dynamic and realistic layer to the movie. I definitely enjoyed that quite a lot.And the movie had some really good acting performances by Emilia Jones (playing Young Beth), Crystal Reed (playing adult Beth), Taylor Hickson (playing young Vera) and Anastasia Phillips (playing adult Vera). These actresses really carried the movie phenomenally.There is a good amount of suspense and dread throughout the course of the movie. And that was something that most certainly spruced up the overall enjoyment of the movie. Not to mention the pacing of the storyline, which was a great continuous flow without any dull moments.It was interesting to have H. P. Lovecraft as part of the storyline, just a darned shame that the actor, Paul Titley, who portrayed Lovecraft looked absolutely nothing alike the writer, not even remotely. That was just a bit annoying actually.Much can be said for the tormentors of the girls. The big fella was a bit stereotypical, I mean there was just a little bit too much of ""The Hills Have Eyes"" and ""Wrong Turn"" going on there. The other tormentor, the ""woman"" though, was actually a nice touch to the movie.And of course something should be said about the house and the atmosphere of the sets and settings. I loved that, there was a very unique feel to the house, its décor and the way it was built. There was a lot of character to the house and the environment, which really enriched the overall movie in a great way.I must say that I was more than genuinely entertained from start to end by the storyline and the events in this movie, and it has been some time since last there was a proper horror movie with this much entertainment value to it.My rating of ""Incident in a Ghostland"" is an eight out of ten stars. If you enjoy horror movies, and if you haven't already had the pleasure of sitting down to watch Pascal Laugier's movie, then you should do so if you get the chance. It is well-worth the time, money and effort.",Incident in a Ghostland
5,michaelRokeefe,Haunting and relentless,8,16 September 2021,"A famed horror author (Crystal Reed), after 16 years. Returns to the home where her mother and sister was viciously terrorized and attacked. Her sister (Anastasia Phillips) is still living in the home...but as a captive of her own fear. Scary and creepy and many disturbing scenes of brutal violence. If you are a TRUE horror fan...this is a DON'T miss! True evil at times is just too strong to die.",Incident in a Ghostland
6,trashgang,dark psychological flick from the Martyr director,8,22 August 2020,"Without saying anything my best friend gave me this flick, saying nothing so I went in blind. Not attracted to the cover I still didn't know what to expect only seeing the warning 18+.When I saw Crystal Reed as lead I thought, okay, i new her as a kid from Teen Wolf and I have seen her in the lead of the underrated Swamp Thing series so that's okay.Once the home invasion starts this flick turns into a psychological, brutal and dark movie with a lot of twist. Brutal due the fact the what is happenng with the kids, dark movie, because this isn't going to be for everybody. So it made me think, this isn't a US release and at the end credits it came clear, the director of the French movie Martyrs.It isn't a Martyrs but still it do has a bit of the same feeling, nothing is really explained, in your face horror. Did I like it, yes I did, and from now on I surely will follow Crystal.A nice surprise but to be honest, 3 years old never seen anything about it on specialized sites or mags, weird as is the movie.Gore 1/5
Nudity 0/5
Effects 3/5
Story 3/5
Comedy 0/5",Incident in a Ghostland
7,Edvis-1997,The best what I've seen this year,8,27 March 2018,The movie wasn't typical horror film with serial killer that kills many victims. This film was more psychology and mysterious which was very good. I didn't expect that the main actor of the movie is living in a dream I thought that was her regular life when I saw all of that was only dream I was shocked. This film totally deserves allot of respect. I really enjoyed listening to that song about teddy bears that was hilarious. So don't be afraid this movie really worth your attention and will attract your attention from the first minutes.,Incident in a Ghostland
8,CuriosityKilledShawn,Nonsense in a title,4,2 July 2020,"It seems that Pascal Laugier may be a one-trick-pony, as this movie doesn't differ too much from his brutal 2008 shocker Martyrs (which itself veered-off into a cryptic, nonsense ending). The story has two sulky teenagers and their mother (played by Mylene Farmer, of all people) move into their aunt's old house after her passing. Exactly why they're moving out into the middle of nowhere (is this the ghostland in question?) and MUST live in this archaic funhouse of nightmare dolls and puppets is never made clear, though there seems to be some sort of vague rumor circulating among the other townsfolk.When the ""ice-cream truck killers"" (or whatever they are) invade their new creepy home it seems that we're in for a bloody home invasion flick, but then it switches to alternate timelines and universes, which would be interesting if Pascal Laugier knew to use it effectively. Sadly, it just feels like pretentious padding. If you're a fan of 2002-era trash horror flicks you are sure to enjoy the endless stingers, stingers, stingers, yet more effing stingers. You'll end up with anxiety at the overuse of this frustrating and lazy technique, which is so far overused in general, nevermind in just this movie, that after a while you'll begin to question if they are attempting to make this movie a lampoon of the tired genre.Make-up effects range from laughable, to somewhat unique and disturbing. Far too much of the blood is CGI and it looks terrible. Some of the acting is just downright awful too. It's shot in Canada, doubling as Illinois, and there's a cold, empty look to the photography. The score can be quite atmospheric in places but it is overall a forgettable effort.The movie is notable for the horrible accident on-set in which Taylor Hickson had her face almost sliced off her skull when she fell through a candy-glass window. She was rushed to hospital for emergency surgery and eventually sued the production company for damages. She may regret the permanent damage to her face for such a trashy movie but...honestly...I think it makes her look really cool now. She's got a defining, stand-out look to her and she could take full advantage of that.I wanted this to be a nice, little atmospheric chiller and what I got something that would have been lazy and dated over fifteen years ago. You might say I was...disenchanted.(Thank you, I'm here all week)",Incident in a Ghostland
9,TheMovieDiorama,Incident in a Ghostland swiftly shows cracks within its porcelain psychological shell.,5,3 September 2019,"Well, that was frustrating. Y'know when you sit down, watch a film, become absorbed by the world it lures you into, only to ascertain that precious time has been wasted for such a convoluted story that really didn't need to be. Yeah, that. Well I've got the perfect example here! A family inherit a creaky house, but whilst moving in are confronted by a gang of murderers which alters the lives of the daughters forever.Yet again, another film commencing with a Lovecraft quote, mistaking labyrinthine horror for surrealism. Ghostland, for all its slashing wholesomeness, is a horror of two halves. The dreadful reality-bending psychologically draining first half that was abhorrently misdirected by Laugier, rushed with such extremities and thematically empty. And of course the second half, a taut home invasion slasher that stylistically ramps up tension by intently focusing on the mental deterioration of its antagonists (whom I have named ""Man Child"" and ""Weird Mom""), whilst maintaining the desperation for escape.The issue that segregates these two halves? A certain plot reveal that is absolutely so unnecessary, that it yields no literary substance whatsoever. In fact, its purpose is just to convolute a plot that needs no convolution. The route Laugier chooses doesn't explore the human psyche, nor does it embellish imagination. Just a carbon copy of an infamous plot detail found in an incredibly popular 90s thriller (I shan't name it...), for the sake of extending the film's runtime. If Laugier removed this infuriating corkscrew, the narrative would've be more engaging without a doubt. Urgh.It's a dire shame considering the decent performances, exquisite production design and gloriously enticing second half that had me shouting ""Flee my daughters! Devour his neck!!"". The absence of backstory for the murderous Weird Mom and the juvenile doll-fondling Man Child did leave a gaping hole narratively speaking, however the plot is told through Beth's perspective so made sense to maintain a minuscule amount of mysticism. There were a handful of jump scares that were obnoxiously predictable and piercingly loud, to which its inclusion was solely to forcibly quantify its horror tropes. Yet the uneasy strange behaviour of its murderers, most notably the inhaling of certain private areas found on dolls and the tantalising oddities that surround the silent but deadly Weird Mom, actually created enough tension and dread to momentarily captivate.However the unfortunate first half believing to be an ingenious use of escapism, tainted the film's entirety by rendering it obsolete. If only Laugier chose the simplistic path, we may have had ourselves a decent straightforward slasher. Shame.",Incident in a Ghostland
