,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Rich in cheese, poor in charm",3,8 January 2019,"Will never tire of Christmas, it is always been special to me and my favourite time of year and always will be. It is not just all the fond memories of being with family and doing the usual festive traditions but also the atmosphere of it all, it is just wonderful reliving the charm and nostalgia every year.There was one main reason for watching 'Christmas Inheritance'. That being wanting to see more festive films, and ones different to the ones familiar with, adored and watched every year. Sadly, although 'Christmas Inheritance' is not one of the worst festive films seen it is really quite weak, even when taking it for what it was and trying to be (really did try honestly) it ended up feeling like a typical cheesy comedy romance with a few but not many merits. Despite how that sounds, that is not meant to imply that there is a personal bias against this type of film, there are some good to great ones out there. They do however have traps, and they are all fallen into here.Good things there are but they are overshadowed by how much wrong there is with the film. There is a real festive charm to how 'Christmas Inheritance' looks, it's beautifully shot and the locations are even lovelier. This festive charm can be heard aurally too, with an infectiously catchy soundtrack that does get one into the Christmas spirit.Most of the actors, more the support than the leads, do their best too, they at least try and don't look bored or go too histrionic. With such wanting material, that is a miracle.Unfortunately, 'Christmas Inheritance' falls well short on all its genre elements. The romance suffers from a complete lack of chemistry between the leads and from being completely bland, with especially cheesy dialogue that doesn't flow and a rather impossible to root for protagonist. Neither of the leads came over as believable to me, the main character has no charm or likeability and the male lead overdoes the goofiness, it's hard to see what the characters see in each other. The comedy throughout felt forced and limply timed and over-sentimentality and gone-off cheese are far from kept at bay, the film is practically covered in it and at its worst it is hard to stomach. None of the cliched characters are interesting and are instead annoying, any attempts at development for the main character is so rushed and her change is not believable at all when she is so difficult to endear to for most of the film.Only fleetingly, and even those fleeting moments are pretty small, does 'Christmas Inheritance' have any degree of charm or heart. It then is further hurt by everything being easily foreseeable long before it happens due to being done so many times before. Then going so over-the-top straining credibility, with far too many glaring story lapses, that it becomes increasingly far-fetched before being completely unrealistic. The direction is routine at best.All in all, weak, very cheesy and totally charmless and unengaging. 3/10 Bethany Cox",Christmas Inheritance
1,Prismark10,Small town girl,3,23 December 2017,"Ellen Langford (Eliza Taylor) is a rich party girl who creates salacious newspaper headlines. Her father has had enough. To prove to him she is fit to inherit the family business, she is sent on a bus with $100 to deliver and a special Christmas letter to her dad's former partner in the small town of Snow Falls which has no mobile phone signal. Ellen cannot tell anyone who she really is.Her suitcase is run over by the local cabbie and innkeeper Jake Collins (Jake Lacy) who once spent some time in New York but he did not like the big city life. Ellen is stranded in the town during a snowstorm. She works in the inn to make some money, learns how to bake with the help of Jake's aunt. Ellen after spending some time in Snow Falls has a different outlook in life and falls for Jake despite being engaged.Although made by Netflix this is not too far removed from the Hallmark Christmas cookie cutter formula. Ellen and Jake give appealing performances but it all too syrupy. A sugar laced romance with the subtext of you have to go to a small town to find the true meaning of life.",Christmas Inheritance
2,phd_travel,Totally unnecessary movie,2,13 January 2018,"There are some Christmas movies that you ask why did they bother to make another one? This one just has nothing new to say. Waiting for something different to happen or something to distinguish it from the others but nothing came.
A rich girl goes incognito in a small town and doesn't really learn too much of a lesson. The romance is unconvincing. I didn't care whether they ended up together or not. The pseudo drama was silly - why should he care so much about her not wanting to flaunt her wealth.Nice to watch Andie MacDowell in anything. She has aged gracefully and I think she sings a bit too.",Christmas Inheritance
3,lisafordeay,Enjoyable film,6,15 November 2020,"Christmas Inheritence is a 2017 romantic comedy starring Eliza Taylor and Andie McDowell.
An it girl travels to a local town to give her father's friend a bunch of letters. From there she meets a handsome guy( even though she is already engaged to a tight businessman) and learns more on herself as a normal person and not some sort of party person.
Will Snow Falls discover the young girl's real identity.If you love Leap Year then you'll probably like this film",Christmas Inheritance
4,btreakle,Excellent,10,3 December 2020,Excellent film and loved Eliza Taylor . Beautiful and very talented. Great Christmas story and one all should see.,Christmas Inheritance
5,bettycjung,Never too late to learn about your past,4,11 June 2018,"6/6/18. A light romance movie in which a rich woman learns what it's like to be in love with what really counts. Her father sends her back to the town he grew up in so she can learn more about her roots. She develops an appreciation for people who are not as blessed as she is and an awareness of just how superficial her fiance really is. Good thing, right?",Christmas Inheritance
6,Marynewcomb2013,Hallmark it is NOT!!,1,10 November 2018,"This movie tries to be like Hallmark movies and misses the mark!! Hallmark movies have a formula to them that includes heart!! They have the movies wrote to fit the cast, not just take cast members off the streets!! Something else that makes Hallmark movies work, no PC!!! This movie is full of PC like Netflix does!! Example of the PC in this movie, The guy dressed as Santa!! People all over the world know what Santa looks like & it's not what's in this movie!!! They say the age range for this on Netflix is 11-12 year olds!! If you want kids minds shaped to the views of this, I'm offended society, then let them watch. If you want to teach kids right from wrong, then don't let them watch this garbage!! Here is a bit of fact info for you, Netflix is losing subscribers on a daily basis because of the majority of their original content!!!",Christmas Inheritance
7,spasek,A Christmas Movie That Caves At the Very End Thanks To Gutless Writers!,6,19 August 2021,"As many reviewers have already stated, this film has a lot of cliches; plot devices that Hallmark has used relentlessly for many years now. Someone must have snuck into the Hallmark offices and stolen the template.All in all, despite the cliches and rather predictable story, it works...until the very end, that is. I'd hoped that the writers might have had some guts; might have chosen the road less traveled, but alas, it wasn't to be.Ellen Langford, the heiress of a multi-million dollar company is sent to the small town of Snow Falls incognito where her parents are from with the hopes that she might learn some things and glean some values that the blue collar folks sometimes have. Using a fake name, she's sent with only $100 and no credit cards. She quickly learns that most people have to actually earn their way in life rather than have things given to them.Of course, Ellen meets the strapping, handsome Jake Collins. Of course, as you can easily predict, their intial meetings are tenuous at best. Jake is a helpful guy who's pretty much beloved around town. And Ellen begins to notice and finds herself attracted to him. However, after being dropped by his ex-wife--a high-finance executive--Jake has little reason to go through a repeat.Another ""of course"" is that Ellen has a fiance who's just like she was: money talks, and she soon finds that she no longer has anything in common with him. Predictably, she breaks it off with him.Yet another ""of course,"" Jake inevitably finds out the truth about Ellen and who she is, which understandably upsets him, which brings to the 11th hour of the film (the last ten minutes) where everything is magically resolved. Ellen finds out that her father and uncle concocted the ""trial"" and she inherits the company after all with Jake jumping on board without even the smallest of objections. Does this sound like something Jake would do? Or even Ellen?Had the writers had any guts, and really known their characters, they would've realized that Jake would never have given over so easily. Perhaps not even at all. Do you see Jake packing up and heading off to New York again? I don't. And given what she found in Snow Falls, I just don't see her accepting the CEO job. If she'd really changed, she would have stepped down and realized that she'd never been so happy in her life until she went to Snow Falls. She'd scarcely decide to return to a life that had only made her miserable.What is sad is that this movie is actually very enjoyable--despite its cliches and predictability--and has solid performances throughout. But a movie built on toothpicks cannot stand. And this one crumbles badly because of that. There's nothing so sad as wasted potential.",Christmas Inheritance
8,LukeCustomer2,People have insisted this was good...,3,1 December 2019,"It was not. This is basic moviemaking at its worst. I think someone in their basement could have made this movie. It is very basic. It starts with a very questionable premise... that it is a disaster that the daughter of a CEO should do some cartwheels at an event to raise money for charity. She wasn't drunk, she wasn't, needlessly showing of racy underwear. But this puts her in hot water. To get her out of it her dad tasks her with going to a small town to deliver letters to this person that was 1/2 responsible for the business. Huh? Honestly I have no idea what this is about. To do this she must change her name so no one knows who she is and she must only do it on $100. This woman is apparently so daft she thinks the will have a flight attendant on a bus. When she arrives in the town the person she is there to see isn't there... so she must stay a few days. This is where things get weird for me. She runs into Jake Lacy who is... of course, the only male in the down under 40 and instantly this movie starts shipping them hard without a bit of chemistry. In fact Jake's character comes off a bit abusive because all he does the entire time is try to make her actions out to be a problem. Jake is everyplace like a creepy grumpy stalker. She screams in her room, he is there... she needs food, he is there to tell her they don't have room service. Every single person in town assumes they are dating though, she has only been there 1 day and has a fiancé. Jake talks down to her at every turn. You have met this guy in real life.. he is attracted to you but has to treat you bad so he can save his ego. Here, her being from New York (the place that ruined him) is a threat to his ego but Eliza Taylor is such a babe he wants to be with her anyway, though he doesn't like anything about her. When it all comes out that she has money everyone is mad at her. Blurg... really? Whoever wrote this really needs to seek therapy for their mixed up view of the world. But you don't have to watch fever dream.",Christmas Inheritance
9,the_doofy,NOT a comedy,6,20 April 2019,"It's a drama with a couple of funny elements. The only thing really funny was the bus driver and the luggage.Acting was fine, despite how some of the reviews have type cast the main actorsI enjoy watching hall mark style movies from time to time. Nice to get away from rancid language, drugs, pot, violence, sex for a changeThis movie does one thing that is different, in every Christmas movie I have seen the antagonist character is caucasian male (more acting jobs for that demographic), THIS christmas movie was not on that PC band wagon.",Christmas Inheritance
