,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Not as bad as I was led to believe, but it didn't do much for me either",5,19 July 2011,"While I don't consider Remember Me a good movie, I don't consider it a bad one either, it's much better than I have heard critics make it out to be. I am indifferent to the Twilight Franchise but liked Water for Elephants(all with Robert Pattinson) so I wasn't expecting much in general. Actually the acting wasn't bad at all, in fact it was pretty darn good. Although I wasn't entirely crazy about his character, Pattinson is surprisingly good and he does show some believable chemistry with the lovely Emile De Ravin, while Pierce Brosnan is excellent. The film looks very nice too, with lovely cinematography and scenery, and the soundtrack is fitting and affecting. The direction is also better than expected. However the script is clichéd and weak at times, and I just couldn't connect to the characters or the story. Pattinson's character especially was tiresome to watch, and the story is rather dull and predictable with some scenes such as the ending coming across as manipulative. In conclusion, not bad, not good, just a sort of shrug. 5/10 Bethany Cox",Remember Me
1,SnoopyStyle,shock reveal,5,10 September 2016,"In 1991, Ally Craig and her mother are confronted by two teenage robbers in a deserted Brooklyn subway stop. Her mother is shot dead and she's left with only her police detective father Neil (Chris Cooper). Ten years later, Tyler Keats Hawkins (Robert Pattinson) is a self-destructive college kid. His friend Aidan Hall drags him out to party and they get into a fight. Neil is their arresting officer. Later, Aidan discovers Neil's daughter Ally (Emilie de Ravin) and he convinces Tyler to break her heart. Tyler hates his businessman father Charles (Pierce Brosnan) who is divorced from his mother Diane Hirsch (Lena Olin). His sister Caroline is a child artist but she gets picked on at school. The family is estranged after the oldest son's suicide.Pattinson is good as tortured soul leading man and Emilie de Ravin is a beautiful heroine. The two of them work great as a romantic team. I wanted to punch his best friend in the face every time he opens his really annoying mouth. The big concept in this movie is the shock reveal in the end. While there has been enough time past, it is still too awkward to have that incident used as a plot device. Maybe in another 50 years, this would be acceptable but it does feel wrong right now.",Remember Me
2,kosmasp,Memories,7,7 October 2010,"A drama like this will split quite a few people. Having Robert P. as the main character will only multiply that by quite a bit. There is the people who would watch anything with him in it and of course there is the people who cannot watch him anymore (after his Twilight role). The question of course, if this will play a role in the future, say in a few years, when many will probably have forgotten about Twilight and will it cloud their judgment (in either direction)? I can only talk for what it does now. And it does tell a really interesting story. It is slow moving and yes it will not affect all people in the same way. It will be obvious from the beginning if you are able to enjoy this ... if you have doubts after 10 minutes, you might as well stop watching. But if you bear with it, you will watch a really good movie. Robert and Twilight put aside ...",Remember Me
3,gavin6942,"Not Flawless, But Far Better Than You'd Expect",7,13 March 2010,"A woman is murdered on a New York City subway platform in 1991, and is later revealed to be the mother of a young girl who had witnessed this murder, named Ally Craig (Emilie de Ravin). Ten years later, Tyler Hawkins (Robert Pattinson) is a rebellious 22 year old living in New York City and attending New York University. He has had a strained relationship with his businessman father, Charles (Pierce Brosnan), since his brother's suicide.Roger Ebert, surprisingly, generally liked the film, giving it three out of four stars and calling it a ""well-made movie. I cared about the characters. I felt for them. Liberate them from the plot's destiny, which is an anvil around their necks, and you might have something"" but goes on to say it ""tries to borrow profound meaning, but succeeds only in upstaging itself so overwhelmingly that its characters become irrelevant"". This is true, but I felt it played into the underlying message Ally had about experiencing the good before something bad possibly happens.Most reviews, however, were negative. Lisa Schwarzbaum of Entertainment Weekly called it a ""shameless contraption of ridiculously sad things befalling attractive people"". Wesley Morris of the Boston Globe commented that the film ""crassly repurposes tragedy to excuse its clichés."" I accept the film has plenty of clichés -- a great many romantic comedies and ""chick flicks"" have had instances of guys dating girls under false pretenses, only to be inevitably discovered later. But I find this forgivable in that this film made a much more serious attempt without any of the humor, and the romance was only one of the plots.I think the stand-out actor here is not Robert Pattinson. Yes, many reviews have called this his breaking out from ""Twilight"" and his move into ""Rebel Without a Cause"" territory. But, despite his hard-fighting, drinking, smoking image, Pattinson's range seems to be rather small, as he was not substantially different from his Edward Cullen persona. Likewise, Emilie de Ravin, while more central here than on ""Lost"", could have had her role played by anyone. The real winner was Ruby Jerins, who played Caroline Hawkins, Tyler's little sister. She was given an emotional role to fill, and did it with ease -- I never felt for Tyler or Ally, but Caroline had it hard.The film is far from perfect. Too many scenes seemed out of focus, the camera was very shaky, and for some reason there were many instances where the rooms were bathed in a blue light. I'd blame Summit Entertainment, as they similarly give ""Twilight"" poor lighting, but as we've seen with ""The Hurt Locker"", ""Push"", and ""Knowing"", they are capable of making decent directorial decisions (however much say they actually have in the matter). The director here, Allen Coulter (""Hollywoodland""), left something to be desired.I had low expectations walking into this one and thought I would be walking out laughing at its shortcomings. In all fairness, I was wrong. Within ten or fifteen minutes I saw they were making a real effort and had a success on their hands. I left the theater impressed and with a new respect for Pattinson... I don't know if he has a future, but if he does this was his first step.",Remember Me
4,edwagreen,Remember Me-Thought Provoking Well Done ***1/2,9,1 May 2012,"There is plenty of trouble in this film.That being said, definitely stick with it. It is one of the most thought provoking films that I've seen in years.The first 20 minutes or so, there seems to be a definite disconnect here. Once the disconnect becomes connected, we have a terrific picture about two people, her mother was murdered in front of her and her father is a police officer. He lost a 22 year old brother who committed suicide. The parents broke up and the father seems to love his children, but is indifferent when it counts.Robert Pattinson is the intelligent terribly confused surviving brother and in a complete change of role for him, Pierce Brosnan is the indifferent father. Chris Cooper, who once one an Oscar, is the police officer, still reeling from his wife's killing and his inability to control his daughter ten years after the heinous crime.When the Pattinson character is arrested during a brawl, by a quirk of fate, he soon meets Cooper's daughter. Cooper had arrested him.The film centers around the fact that life is so fragile and complex. The 9/11 tragedy comes into play here.You will really come away that life must be lived to its fullest and that you must care about each other.",Remember Me
5,FlashCallahan,what a movie....,9,2 May 2011,"I had no intention of seeing this film, due to the fact that I knew in cinemas, all the twi-hards would be going, look at thim smoking, look at him drinking, Edward would never get a tattoo.The people who think that Pattinson IS Cullen, and would play him in every movie from now until his fame lapses. But it's a tremendous movie, with some fantastic performances by all, but full of tragedy and a gloomy feel throughout.With this movie, Pattinson has probably saved himself from a Mark Hamill type career, hopefully he will be remembered not just for that franchise, but for choosing subject matter that could probably confuse his core fan-base (he can walk in sunlight?) The plot is simple, boy gets arrested, dates cops daughter for a dare, falls in love, whilst being the bad apple of the family. His brother killed himself, and now his hather (played brilliantly by Brosnan) has built a wall of criticism between himself and Pattinson.It does go through the romantic drama mill a little, but thats just standard stuff for a movie like this.But I was rewarded for not wanting to no anything about this, I never read any reviews or any press about it, so i wasn't aware or prepared for the ending. I knew it wasn't going to turn out good for Pattinson, because he made up with his dad, stood up for his sister, and smiled, but the way the ending was executed, wasn't in bad taste, or tacked on to shock, I feel the film could not have ended in any other way.If you haven't seen the film, and have never read anything about it, due to the fact that Pattinson is in it, swallow your pride, and the fact that your girlfriend may swoon at the sight of him, and watch it, you will be treated to one of the most romantic films ever made.",Remember Me
6,gradyharp,Witnessing Death: Consequences,9,30 November 2010,"REMEMBER ME is a film whose story seems headed in one direction but then has the courage to fly the audience into an unexpected realm. Writer Will Fetters has created a story that will likely remained married to the memories of everyone who views this film - such is the impact and lessons of the last moments of the movie. Director Allen Coulter has gathered a fine cast of actors who are able to translate this lesson in facing death with a great deal of credibility and aplomb. As the film opens in 1991 in New York's subway a mother and child await their train: the mother is played by Martha Plimpton, the daughter Alyssa by Caitlyn Rund. In a senseless situation the mother is murdered by ruffians, observed by Alyssa and promptly the father, police Sgt Craig (Chris Cooper), arrives on the scene to take his terrified daughter home. Jump forward 10 years and we meet disshelved Tyler Hawkins (Robert Pattinson) and his alcoholic roommate Aidan (Tate Ellington) who after a bar brawl are taken to jail by none other than Sgt Craig. Tyler's distant father is the wealthy Charles Hawkins (Pierce Brosnan) who bails them out of jail. Aidan suggests revenge at the beating they received from Sgt Craig in the form of having Tyler date and dump Craig's daughter Alyssa (now Emilie de Ravin). The two meet, spar, and fall in love in a genuine way: Tyler confesses to Alyssa his dark memory of seeing his brother hang himself and Alyssa shares being present when her mother was murdered. Tyler's only connection with his family now is his devotion to his eleven-year-old sister Caroline (Ruby Jerins) and his now divorced mother (Lena Olin). Through a series of unhappy incidents the story moves from coping with past memories of death and the consequences of the impact on each of the characters of the film. And just when it looks as though the film may have a happy an unexpected trauma occurs - one that changes the lies of every character. The cast is excellent down to the smallest role. The lighting and music and cinematography are all first rate. This is a movie that will creep under your skin and stay there as a reminder of how love, death and redemption affects us all in such a variety of ways. Grady Harp",Remember Me
7,deloudelouvain,For a romance drama it is a good movie,7,3 May 2016,Drama/romances are normally not the kind of movies I would go for. Especially not one where Robert Pattinson would figure in because I absolutely hated the hype around Twilight. But I gave it a shot anyway. And I have to admit that for a drama/romance Remember Me isn't bad. I won't watch it a second time or so but I'm still glad I watched it once. The storyline is easy and pleasant to follow with good acting as well. I thought the whole cast did a good job. The relationship between Robert Pattinson and Emilie de Ravin is entertaining to watch as well as the twisted relationship between the father played by Pierce Brosnan and his son played by Robert Pattison. His little sister played by Ruby Jerins is a talented actress for her age. She already did a great job in the series Nurse Jackie and here she confirms that she will be a great actress in the future. All in all I enjoyed the movie even though it's not the movie I would go for.,Remember Me
8,DICK STEEL,A Nutshell Review: Remember Me,6,19 March 2010,"I suppose the major buzz generated for this film, is whether Robert Twilight Pattinson can act outside of Edward, the lovelorn, pasty white face vampire. To me though, it seems that he can't escape from being stereotyped now, and all the more so as long as he continues to play brooding, teenage characters with plenty of angst that need to be released. If anyone is to think Keanu Reeves only has one expression, then Robert Paattinson looks close to become heir apparent.Remember Me though was saved by the curveball that got thrown in the last 10 minutes of the film. I had expected it to spiral somewhere, because it started out quite bleak and without hope in the relationships of its characters, but had inched toward an all's well that end's well track in no uncertain terms, until Will Fetters' story decided to lay down the emotional impact. It treaded for the most parts at being an emotional family soap opera that just hovered around without going anywhere, before that emotional sucker punch that on one hand may seem gimmicky, but on the other was excellent in effectively wrapping the story up in one fell swoop.It's a romantic story centering around Pattinson's angry Tyler Hawkins and his lover Ally Craig, played by Emilie de Ravin, and their respective families which have suffered and are still not quite over with the pain of tremendous loss. For the Hawkins, it's to deal with the loss of their son/brother, and for the Craigs, a senseless murder in the first scene that Ally as a child had to bear witness to. Different upbringing meant different ways at expressing one's pain, and for Tyler, he's onto this self-destructive mode until Ally, who has moved on in life in calmer terms, enters his life. Then it's more romancing and plenty of drama when characters clash, though with some scenes (such as the angry sex one that the censors and distributors here agreed on snipping it off) that made it look pretty out of place, or at times contrived.In essence it dealt with how people show emotions, and their respective dealing with pain and loss. Love gets expressed in many different ways, some explicitly in verbal terms but ringing hollow emotionally, and others through the responsibility of making sure that their loved ones are financially free, hence the sacrifices made on a relations level. Patinson though only managed to brood with cigarette hanging on lips. or smirk a lot when events unfurl in a manner agreeable with him, and looks very much immature when paired up against Emilie de Ravin's more powerful performance.Allen Coulter's film also had its star studded cast to thank in carrying the film through, even though most like Lena Olin and Pierce Brosnan had bit parts, with the latter looking quite un- Bond like with the added paunch around the waist to play a filthy rich man who had sacrificed close family relations for the pursuit of material success. Chris Cooper didn't manage to bring anything more to the table than that of an NYPD cop doggedly tracking down his daughter, or to dish out some severe punishment. The scene stealer had instead gone to child actor Ruby Jerins as the little girl Caroline Hawkins, an art prodigy who is trying to reach out to an emotionally distant dad.As mentioned, if not for the way this film had ended, Remember Me would have become just another misnomer of a title.",Remember Me
9,namashi_1,Wasted...,2,14 May 2010,"Allen Coulter's 'Remember Me' is wasted. A good idea that doesn't translate into a good film. 'Remember Me' is depressing, for some reason. It's sad because it has to be, and why call it 'Remember Me'? There's no head and toe of this film.'Remember Me' is about sad characters... each are depressed in some way and are hardly happy. The film has a tepid start, a happening middle and a unwanted end. Why bring 9/11 in the scene? Why should the HERO die? Coulter's direction is weak, screenplay by Will Fetters is non-happening.In the acting department, Robert Pattinson delivers a mature performance. The Teen Superstar proves that he's not a frenzy for his looks, but also for being an actor who can keep you interested. Emilie de Ravin looks and acts well. Chris Cooper is excellent, as always. Pierce Brosnan, in a serious role, is very good. Ruby Jerins as Pattinson's sister, is remarkable. You feel for her, that's how effective she is. Others fill the bill.'Remember Me' is a poor show. Apart from the performances, nothing else works. From my side: Not A Must Watch!",Remember Me
