,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,gets rapey out of nowhere,5,18 June 2019,"Explorers break into a Pennsylvania underground cave system and are killed by deadly primeval flying creatures. The creatures are released spreading mayhem. They are commonly called vesps. Ally Andrews (Kiernan Shipka) is deaf. Her parents (Stanley Tucci, Miranda Otto) and family friend Glenn (John Corbett) decide to leave the populated city suburbs for the quieter countryside.It's trying to be A Quiet Place but it has none of the horror sensibilities. It doesn't have the style or the ability for the genre. I'm willing to go with it as a lesser action thriller. Instead, it turns religious rapey for no reason. The apocalyptic religious cult could be understandable but there is no need to get rapey. As for the creatures, they are not big enough or threatening enough. I can't see them break into a tank. If they could be defeated by a wood chipper, they could be defeated by many many things. Someone should build giant roving wood chippers. On the movie's side, this does have a few terrific actors. If only this could be better.",The Silence
1,claudio_carvalho,"Rip-off of ""A Quiet Place""",6,12 August 2020,"When a group of cave explorers unleashes a dangerous species of blind flying creatures named ""vesps"" from an underground mine, the population on Earth is attacked and killed by them. The government finds that the creatures attack through the human sound and requests people to stay quiet at home. However, the constructor Hugh Andrews (Stanley Tucci) decides to move to the countryside with his wife Kelly (Miranda Otto); their teenage daughter Ally (Kiernan Shipka), who lost her hearing a couple of years ago in a car accident; their son Jude (Kyle Breitkopf); Kelly's mother Lynn (Kate Trotter), who has lung cancer; and their dog Otis in the family car. Their friend Glenn (John Corbett) joins them in his own car. Glenn has a car accident and attracts the vesps. Later Hugh and his family leave the car and walk communicating only in sign language seeking shelter in the countryside. Will they find a safe place?The film ""The Silence"" (2019) is a rip-off of ""A Quiet Place"" (2018), trying to explore the success if the 2018 movie. The novel of Tim Lebbon ""The Silence"" may have been published in 2015, but the story of a world without sound was developed by Brian Woods and Scott Beck when they were at college. The veteran cast with Stanley Tucci and Miranda Otto have good performances but are quite old to have a sixteen-year-old daughter and a younger son. However, the film is not as bad as written in many reviews. If the viewer watches with lesser expectations he or she may be surprised by a reasonable adventure. My vote is six.Title (Brazil): ""O Silêncio"" (""The Silence"")",The Silence
2,nogodnomasters,This is private property,5,29 April 2019,"Ancient creatures that lived isolated in a cavern are set loose and attack anything that makes noise. They are blind but still love cell phones ring tones. The story is about one family's fight for survival. Rather than stay at home and sleep it off, they opt to travel north and are soon in the path of the ""Vesps.""The Vesps look like a combination of bats and pterodactyls. The Andrews family knows sign because their daughter Ally (Kiernan Shipka) became deaf in an auto accident. This gives them some advantage...if they didn't have a barking dog.This is an also ran in the series of films that have come out that require people to either be silent or blind to survive. No one explained the Ecosystem of the vesps and what they fed on for millions of years in isolation, but clearly they required oxygen. They were attracted to a shredder in a suicide fashion...so just leave it turned on as well as jet engines etc. What could be so hard?How long does it take for weird cults to develop?Now the location of the cave was given at 100 ft below the Appalachian Trail in Pa. If you want to access it, the legendary location is at a rock cropping up high at the Leigh Valley river gap near Slatington. It is known to the locals as the Devil's Pulpit. The access way is constricted. It will take a small thin person. You must shimmy along a narrow rock ledge to get there. Not responsible for those that get cursed for entering.Guide: No swearing, sex, or nudity.",The Silence
3,Sleepin_Dragon,"It's watchable, has some good moments, but it's all been done, to death.",6,13 April 2019,"There's a definite trend with this kind of movie, and it all began with A Quiet Place, then came Birdbox, which for me was the best, and now we get this offering.Half of the plot is nicked from the Meg, the rest comes from the previously mentioned Quiet Place, I was so excited by the thought of a film about Vampire bats, but it never quite fully delivers.Stanley Tucci is pretty good, in a role that he never seems to get, but young Kiernan Shipka is the best aspect.We used to get shed loads of found footage films, now it's films about not making a noise, this trend needs to stop, it's already overdone.Nicely made, with some good production values, but on the whole it's very average.",The Silence
4,lee_eisenberg,"sorry, but this is no ""Quiet Place""",4,12 April 2019,"Part of what made ""A Quiet Place"" good was the casting of the authentically deaf Millicent Simmonds as a deaf girl, and also giving Emily Blunt a chance to play a different kind of character (not to mention that she and real-life husband John Krasinski play husband and wife). ""The Silence"" is a lame version starring a non-deaf person. I know that there are those who will argue that it's just acting, but this takes the role away from authentically deaf actresses who already have enough trouble finding roles. An OK way to pass time, but no comparison to ""A Quiet Place"".That one scene did come across as a neat homage to ""Fargo"", though.",The Silence
5,michaelRokeefe,Silence becomes life saving in the dark,4,6 June 2020,"Terrifying creatures mutated from bats are like a plague controlling the earth. Humans will realize that the only defense they have is...silence. A 16-year-old girl (Klernin Shipka) , who lost her hearing three years earlier, becomes an unlikely hero. Clever trailers built up loads of interest until you realize this movie is not so unique. Didn't we just see something like this not too long ago. Not exactly a thinking person's film, but there are a couple of jump scares. If there was just some logic to justify fear factor. The cast includes Stanely Tucci, Kate Trotter and John Corbett.",The Silence
6,CinemaSerf,Pipistrelle with attitude.,6,18 July 2020,"A group of miners accidentally disturb a nest of hungry ""Vesps"" that breed like rabbits and are soon hunting/eating mankind to the brink of extinction. Luckily for Ally (Kiernan Shipka) - a 16 year old girl who lost her hearing in a tragic car accident; she and her close family can all sign, so they can more easily avoid these bat-like creatures that hunt by sound. Stanley Tucci is the dad, leading this small family to what they hope will be a haven from their airborne predators. It's not new, there are plenty of similar stories out there, but it is quite a classily produced little number. The actors do work together quite well to create some sort of menace as they fight off the creatures; and some rather peculiar human foes as well on their trek. The ending isn't up to much though - maybe teeing up for a sequel, but generally I quite enjoyed it.",The Silence
7,view_and_review,Complete Rip Off,3,11 April 2019,"I watched this movie with more than a little bias. After all, didn't Emily Blunt just star in a movie with the very SAME premise?? Hello? Ever hear of ""A Quiet Place""? So forgive me if I'm totally unimpressed.This is quite literally the same movie with different beasts, down to the deaf girl. ""Bird Box"" was close enough IMO but I guess Netflix wanted to go for the full rip off and came out with this.Instantly I had to give it a zero for originality--on multiple levels. There are a slew of post-apocalypse movies and shows that ""The Silence"" liberally borrowed from. And you would think with all of the apocalyptic data out there ready for consumption that just once there'd be a person/family/group smart enough to know when they're confronting a dangerous person that needs to be neutralized immediately. Yet, time and time again the hearts bleed and the doors open or the weapons lower to let the cunning lunatic live only to cause considerable harm later.Truly, I'm surprised they greenlighted this movie. ""A Quiet Place"", along with being first, was much better. At least in ""A Quiet Place"" they had the courtesy to give us subtitles for the broken sign language they were doing. In this movie they left people to guess what was being said. But I'll go one farther: ""Descent,"" which they kind of borrowed from as well--and was probably the original ""be quiet"" scary movie--was better than this. Maybe in 2017 this would've been good, but in 2019, after a really good movie with the same plot: not so good.",The Silence
8,trashgang,creatures are headlining but the story slowly moves away from them,6,31 May 2019,"Just a mediocre horror flick I don't have to say more about it. So typical, what starts off pretty good turns into a flick with a weak storyline. What the hell are those people doing there in that particular city. What have they to do with the creatures. What with the ending? How did they find where they have to go?But the beginning is a good start and only for that you should pick it up. Promoted with the Sabrina series background because two from that serie are in it. as said, mediocre because halfway it turns away from the creatures...
Gore 0/5
Nudity 0/5
Effects 3/5
Story 1,5/5
Comedy 0/5",The Silence
9,wellthatswhatithinkanyway,Fairly effective horror film,7,18 April 2019,"STAR RATING: ***** Saturday Night **** Friday Night *** Friday Morning ** Sunday Night * Monday MorningSome deadly bats, with the ability to overpower and kill humans, have escaped from their enclave, and have their sights set on taking over the world. Hugh Andrews (Stanley Tucci) must protect his family, including his daughter Ally (Kiernan Shipka) who suffers from acute deafness, and needs to communicate in sign language, which comes in handy since the terrifying flying beasts react most forcefully to sound.Horror has become a genre as largely manufactured as pop music these days, an original idea an occasional bonus, secondary to cheap CGI and jump scares. And so, the recent theatrically released A Quiet Place, divided opinion, a creative premise at least, in spite of its outlandishness. Its certainly that film that first springs to mind when presented with The Silence, despite also being a hodgepodge of other such films in the cultural consciousness, including The Mist and Cloverfield.Despite arriving in its shadow, I'd still consider The Silence the better film between it and AQP. It at least establishes something in the way of human connection with the main characters, and takes the time to develop them in an effective way, meaning we care about them more. Its also easier to digest some flying, killer bats than it is giant, spider like things. Performances wise, Tucci is sturdy and reliable in the lead, strongly supported by Shipka in the crucial role as his deaf daughter.It's impressive and effective, for a film that manages to cram it all into ninety minutes. While not a perfect film, its certainly a huge step up from a guy whose directorial debut was Mortal Kombat: Annihilation! ***",The Silence
10,Edvis-1997,7,7,16 April 2019,"The plot is kind of the same like The Quiet Place or I Am Legend.Can't say it surpass them or was even equal to them but still wasn't bad or boring. Story is kind of catchy,can't say it was horror movie as it is described but as a thriller it was decent movie. I believe those commentators with 1/10 or 3/10 shouldn't compare different films and say ohh it was worse than this. So what? You're making this film review not comparing entire film universe. Worth to watch don't listen to haters stay positive.",The Silence
