,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Muted indifference,5,23 April 2018,"'Mute had one of the best premises of any film from this early part of this year. One of the year's most unique and daring and of my recent film viewings and it was hard for me not want to see it or miss it with it being so heavily promoted. It also had a good cast on board as well as director Duncan Jones, responsible for two great films 'Source Code' and especially 'Moon', in a passion project. It made me sad and somewhat angry that such a fabulous concept was pretty much wasted by very wanting execution. 'Mute' is not a bad film, or a terrible one, it is much better than the negative reputation it's got. It's just that it's not a good one either, with the concept it had, the cast and the director one cannot help feeling it should have been much more. Easily Jones's worst film ('Moon' being his best) and his only less than decent one. Saw 'Mute' some weeks back on Netflix, but have been behind with my reviewing and film watching and it took some time to gather my thoughts.The best thing about 'Mute' is the production values. The film does look wonderful with some of the most beautiful and atmospheric visuals of the year thus far. The photography and production design are sheer beauty while technical aspects are just as eye catching and used wisely. The music is both hypnotic and haunting.First half had some great moments in atmosphere, emotion and character interaction. The most interesting aspect narratively is the chemistry between Justin Theroux and Paul Rudd. The characters are the only fully rounded ones, especially Rudd's who serves the most point to the narrative and the chemistry is suitably nuanced. Was not impressed by the cast generally, but Theroux and Rudd come off best, the only ones in fact, rising above the material. Both are great, Rudd gives his all in an against-type role but for me Theoux's intense and nuanced performance was even better. Didn't care for the rest. The support struggle in underwritten, shallow and often pointless, while Alexander Skargaard, even for a character that's mute, is a stiff and lifeless lead. Couldn't get behind his subplot at all. If anybody wants an example of a truly great lead performance as a mute character, look to Sally Hawkins in 'The Shape of Water'. Furthermore, while the first half was actually not perfect but with a good deal to like, the second half was a mess. How can such a unique concept be treated in such a derivative and far from creative way? The further 'Mute' progressed the duller, more muddled and more confusing the film got. If it tried to take on less story-wise and in themes had less characters, things would have been more intriguing and clearer. Character motivations are vague and introduced out of the blue, the themes and ideas are too often under-explored or muddled, tonally it's unfocused and too many elements go nowhere or take too long to get there. Jones's direction has passion and ambition and there are good intentions here, he just didn't seem to know what to do with the concept or different elements. The pace does drag and the film did feel too long by about 20-25 minutes. Overall, didn't love it. Didn't hate it. More like was indifferent towards it. 5/10 Bethany Cox",Mute
1,Leofwine_draca,Overrated,4,9 March 2019,"MUTE is another sci-fi movie from the overrated Duncan Jones, whose best work so far has been middling Hollywood fare such as SOURCE CODE and WARCRAFT: THE BEGINNING. This one borrows the futuristic noir setting from BLADE RUNNER but proceeds to waste both time and talent in a boringly listless story that's all over the place with no proper narrative thrust or development. Alexander Skarsgard's mute protagonist bartender is the most interesting character here, but he's off-screen for lengthy sections while the film crawls along in the company of a pair of unpleasant doctors. For a film full of colour this is surprisingly colourless, and emotionally unsatisfying to boot.",Mute
2,SnoopyStyle,half and half,5,15 July 2018,"It's Berlin in the near future. Leo (Alexander Skarsgård) is a mute nightclub bartender. He fights two customers for harassing his waitress girlfriend Naadirah and gets fired. She has secrets and goes missing. Meanwhile, American surgeons Cactus Bill (Paul Rudd) and Duck (Justin Theroux) are working in the underground black market. The two stories cross paths again and again.Duncan Jones makes a franchise sequel to Moon although Sam Rockwell only has a cameo in this movie. It's after Moon in the same world but about different people. I'm drawn to Leo's story as he searches for Naadirah. It's a journey into the underbelly of Berlin. The other half of the movie is far less compelling. Cactus and Duck's journey has no destination. They have no goals. There is nothing driving them. Of course, there is an inevitable reveal of a connection but there is no point in following them before the reveal. It needs to play with time so that their journey ends with Cactus killing Naadirah just after the bar fight. It would end at the same time as Leo finding Cactus with the body. The two stories can take place during different times and end in the same place. As of now, half of this movie has no drive or tension. So it's half compelling and a half failure.",Mute
3,claudio_carvalho,"Promising Storyline, Messy Screenplay, Uninteresting Character",5,25 February 2018,"In the near future, in Berlin, the Amish bartender Leo (Alexander Skarsgård) works in a bar with his beloved girlfriend Naadirah (Seyneb Saleh) and her gay friend Luba (Robert Sheehan). Leo is mute since he was a boy and had an accident in a lake. His mother, averse to technology, did not let Leo to be submitted to a corrective surgery since she believed God would heal him. Meanwhile, the American surgeons Cactus Bill (Paul Rudd) and Duck (Justin Theroux) work for the local gangsters. Cactus Bill has a daughter and dreams on returning to the United States, but he does not have documentation since he deserted the army. His hope is to get fake documents with the mobsters so that he can go back home. His partner Duck has documents but is a pedophile and likes to live in Berlin. When Naadirah vanishes without a trace, Leo seeks her out and goes to the underworld of Berlin, where his life entwines with Cactus Bill and Duck. Will he find his beloved Naadirah?""Mute"" is a disappointing film by the cult-director Duncan Jones. Despite the good acting and great music score and cinematography that recalls ""Altered Carbon"", the promising storyline fails mainly because of the messy screenplay and the uninteresting lead character. Most of the viewers certainly wants to like ""Mute"", but Leo does not help since it is an unattractive and annoying character. In the end credits, Duncan Jones dedicates this film to his father David ""Bowie"" Jones and to his beloved nanny Marion Skene, an incredible woman for caring for him as a toddler when his parents split. My vote is five.Title (Brazil): ""Mudo"" (""Mute"")",Mute
4,nogodnomasters,Then nothing else is important,7,4 March 2018,"Leo (Alexander Skarsgård) as an Amish child had an accident which left him mute. In a futuristic Berlin society (about like 5th Element) Leo works tending bar at Dreams. His girlfriend Naadirah (Seyneb Saleh) is a cocktail waitress with a secret and a past. The club has an ex-pat pedophile and an AWOL doctor working there for the Russian mafia as an important sub-plot. When Naad goes missing, our quiet Amish boy goes walking tall over the bad guys. This is a different film with not much to compare it to. You normally don't have Amish in science fiction. Different if anything else. Good characters. Guide: F-word. Brief nudity.",Mute
5,kosmasp,Stop the bleeding,6,8 May 2018,"Sometimes it is tough to stop the bleeding. Especially if you can't see the wound. This is weird and anything but normal. Now you can take that as a compliment and it really is better than just getting served the same thing over and over again. Yet while this isn't bad, I wouldn't call it good either. But it is tough to crawl through all the akwardness and get to the bottom of the ""problem"" (if you have a similar view).On the other hand, this is brutal. So don't be fooled by the fact that it is slow paced. It is heavy on drama and in the mood section and it has Paul Rudd in it. The ageless but somewhat different than you may know him Paul. So while the main character may be mute, some watching this may be speechless ...",Mute
6,CinemaSerf,Confused cyber-drama....,5,10 May 2020,"Alexander Skarsgård is ""Leo"" - a mute (strictly Amish) barman living in a futuristic Berlin. When his girlfriend goes AWOL he sets out to find her and encounters all sorts of detritus from the city's underworld gangster population. Paul Rudd & Justin Theroux as ""Cactus & Duck"" are the rather maverick pair of surgeons (the latter being a bit too keen on very young girls!) that provide much of the continuity, energy, and jeopardy in this rather limited drama. The plot is all over the place; there are too many ongoing storylines to allow you to focus and the voiceless nature of the title character makes it very difficult to establish much of a bond with him, or his predicament. The ending comes not a moment too soon. It's not a bad film, it's just a bit too surreal for me, sorry...",Mute
7,Wizard-8,"Pretty, but makes little sense",3,1 June 2020,"While some Netflix exclusive movies or TV shows are pretty good, there are also a number that don't work very well, and ""Mute"" unfortunately is one such example. Clearly a lot of effort was put into some aspects of the movie, because the cinematography, sets, and the special effects and props look very nice. Not only that, they manage to create a futuristic world that seems a lot more plausible than a lot of movies dealing with high tech/dystopian science fiction settings. However, all this effort with giving the movie style and color doesn't make up much for the fact that the script is a mess. Scenes that might provide some explanation simply aren't there. Other scenes run on for too long of a time. Characters disappear suddenly and don't pop up again for a long time (if at all, that is.) The story drags on and on, being much too long at 126 minutes. It's too bad, because along the way I did see a few ideas with great potential. If the screenwriters had tackled these ideas slowly for a long time while writing the script, we might have had something here. The best use for this movie is to use as background noise/visuals when your main focus is on something else more important.",Mute
8,deloudelouvain,Could have been better.,6,8 September 2018,"I have mixed feelings about this movie. Not that it was a bad movie or so but it definitely could have been better. For the sci-fi part it was good, with nice futuristic elements and settings. As for the mystery and thriller part it clearly misses something. Something that would keep you on the edge of your seat. It's a long movie, more than two hours, and for a movie this long you just need more suspense to be entirely entertaining. The acting was not bad though, with good performances from Alexander Skarsgård and Paul Rudd. All in all Mute is worth watching but it could have been better.",Mute
9,siderite,Minimalist film that doesn't try too much and achieves even less,6,8 December 2019,"At its time, Moon was a revelation. A minimalist sci-fi with just one actor , Sam Rockwell, doing a great job and supported by Kevin Spacey's voice in the form of a robot. It didn't matter that the story was little more than an Outer Limits episode, it had what it took to be enjoyable. Now the same writer/director creates another minimalist movie, set in a near future Berlin that looks a lot like something out of the original Blade Runner and also with a few good actors like Alexander Skarsgård and Paul Rudd doing a fantastic job and also with a silly little story that didn't bring much to the table. Yet it didn't work.First of all, there is no reason why the story was set in the future. It also brought a lot of inconsistencies between the present and that future that could only be solved by some parallel world stuff that was never explained nor, again, required. Then the main character is an Amish mute man, played by Skarsgård. Does this bring anything to the story? Again, no. But worse than both those issues and worse than the pointlessly meandering plot that the viewer can't be bothered to care about is the ending. It brings everything to a close, yes, but in a way that no one is happy or interested in. The ending is utterly boring.Bottom line: It's Crash set into the near future, with euro actors and a boring finale. A decent effort, but ultimately a failure.",Mute
