,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Not one you'd want to sit through,2,25 July 2011,"Drawing on all manner of films that have come before – I'm thinking of the likes of 12 ANGRY MEN as well as more recent fare such as CUBE – EXAM wants nothing more than to be a taught little thriller with an intriguing premise: eight candidates in a room, taking an exam that consists of a blank sheet of paper. The movie takes place in real time, inside a single room, with the utter exclusion of special effects, focusing solely on the character interactions that take place. With such a premise, you know that the plotting and the scripting better be darn good, and unfortunately in EXAM's case, it just isn't.The main problem for me is that the stakes just aren't high enough. It's like watching the first episode in a new series of THE APPRENTICE – you don't know or particularly like any of the characters, so whether they win the job or not just doesn't matter. At least films like BATTLE ROYALE upped the ante by killing off the candidates who lose but there's no sense of that drama here, just a bunch of bickering characters you couldn't care less about. And it doesn't help when the entire cast are all so unlikeable, sharing such characteristics as smugness, arrogance and a sense of their own superiority. Chukwudi Iwuji is the only one I had the slightest interest in and that's thanks to the strength of his performance.Admittedly, it's not all bad, with things picking up around halfway through for some pretty intense drama during the ""paper cut"" sequence. Sadly, it slides back into boredom after this, and finishes up with a lengthy and pretentious explanation which turns the whole film into one big joke. Add in some entirely cheap sci-fi staples (including some nonsense about a ""virus"") and you have a film which could have offered a lot but which ends up as virtually nothing.",Exam
1,SnoopyStyle,thrilling mystery but solution is a letdown,6,7 October 2015,"Eight people with various skills are brought to a room to vie for a job in a powerful corporation. The Invigilator lays out the task for the group to be completed within 80 minutes. Each person sits at a desk with a piece of paper with the word Candidate and a number. The group struggles to cooperate to find out what the question even is. As each attempt fails, the group turns on each other.This is a high concept mystery thriller written by Stuart Hazeldine and Simon Garrity, and directed by Hazeldine. It's a compelling watch and a real puzzler. It's a real tight thriller inside one room. In the end, the resolution is a little bit disappointing and a letdown. With a great puzzle, the solution can elevate the whole movie with its inventiveness. This solution is more of a cheat.",Exam
2,Prismark10,The test of souls,5,26 March 2015,Exam is a kind of self contained film which reminded me of the cult movie Cube.Eight candidates enter a room for an employment assessment exam for a pharmaceutical company responsible for a miracle drug widely used after a viral pandemic. The candidates sit down at their individual desks containing the exam paper. The invigilator informs the candidates of the rules and failure to follow the rules will lead to ejection.It turns out that the question papers are blank. One candidate is almost immediately removed from the room for spoiling her paper by writing on it. The seven remaining candidates talk to each other and work together to figure what the one question is and the appropriate answer without breaking the rules. However as they cooperate they develop personality types leading to conflict and worse.The film starts of intriguingly enough as slowly the candidates character traits are are uncovered and we learn something about each candidate and it turns out some of them are more devious. I can applaud this bottle film as an intense psychological examination but it fails to sustain its intriguing premise and the ending felt rather disappointing as the film became ever more hysterical.,Exam
3,claudio_carvalho,"Suspenseful Use of the Storyline of ""El método"" (2005) Combined with the Violence and Tension of ""Das Experiment"" (2001)",7,11 April 2014,"In a near future, eight candidates are in the final stage for the position of CEO's assistant in a pharmaceutical corporation. They are locked in a room and the invigilator tells them that they have eighty minutes to answer one question only. He explains that in the lawless space there are only three rules to be followed otherwise they would be disqualified: they should talk neither to him nor to the armed guard; they should not spoil their piece of paper; and they should not leave the room. He starts the chronometer and leaves the room. Then the candidates discover that they have a blank piece of paper with their numbers only. One woman starts writing on the paper and is removed from the room for spoiling the paper. The other candidates figure out that they are allowed to talk to each other and they need teamwork to discover the questions. As far as the time runs out, the tension increases. ""Exam"" is a low-budget movie with an intriguing psychological thriller and great direction and performances. The suspenseful story uses of the storyline of ""El método"" (2005) combined with the violence and tension of ""Das Experiment"" (2001). However it fails for not providing the big picture of this society with infected people and why the group wishes so bad the position in the corporation. My vote is seven.Title (Brazil): Not Available",Exam
4,kosmasp,Passing the test,7,25 December 2013,"Of course it's not your regular test, but I'm sure you'd kind of expected that. Would be a strange movie, if it was just people writing an exam for 90 minutes and then maybe we're even seeing the teacher going through them and correcting them. Different movie then, because this is a thriller and this is not your typical exam.Of course you also get different kind of people/characters. Everyone has their own agenda, though we're not sure of the agenda of the firm that is hiring. We'll find out soon enough though. But until then, we have endure with the people taking the exam and the tasks they are given. All plays obviously in one location and it suits the story. Good acting (for what it is) and nice little thriller",Exam
5,BA_Harrison,You may begin.,7,1 July 2012,"Q.1. What are the biggest influences on Stuart Hazeldine's EXAM?Q.2. Will the film disappoint those looking for a decent dose of graphic gore? Q.3. Is there a flashback scene towards the end of the film that 'cleverly' reveals what the hell has been going on? Q.4. Are there any plot holes/lapses in logic/moments of sheer stupidity that make this film hard to swallow? Q.5. Express as a percentage the likelihood that the winner in the film will be a woman.Q.6. If a person infected with the film's virus must take one pill every hour to stay alive, how many pills will he consume in a year?Q.7. Is this film worth watching?Q.8. What rating does the film deserve out of 10?Answers Q.1. Saw, Cube, TV's The Apprentice Q.2. Undoubtedly. Although the film suggests that the candidates are competing for a 'job you would kill for', the level of violence is remarkably low.Q.3. The first film mentioned in the answer to Question 1 is Saw; what do you think?Q.4. Do bears do their proverbial in the woods? Q.5. 100%Q.6. 8760, provided he or she is able to wake up every hour, every night to continue the treatment—which is unlikely.Q.7. Surprisingly, yes. Although the script is highly preposterous and raises many questions, the movie flows impressively in real time, the cast put in convincing performances, and director Hazeldine maintains a reasonable level of tension and intrigue throughout.Q.8. 6.5/10 (rounded up to 7 for IMDb)—it's entertaining despite its obvious flaws.",Exam
6,blanche-2,"psychological study of competition, stress, anger, and ambition",8,3 October 2015,"""Exam"" is a wonderful psychological study of eight people who are the top candidates for an important job with a high-level corporation. The time period is some time in the future. Eight candidates are put in a windowless room, and an Invigilator (Colin Salmon). They have 80 minutes to answer a question. There are four rules: don't talk to him, don't talk to the guard, don't leave the room, and don't spoil the piece of paper in front of them.The candidates find the sheet in from of each of them blank. One tries to write on the paper and is ejected immediately. After a time, one person figures out that they can talk to one another, and they attempt by various means to see what's on the paper. Lights, liquids, nothing works. Slowly as the clock goes down, the real personalities of the candidates begin to emerge, and we learn more about them. One of the features aggravating the situation is that there is a plague, something like AIDS, that is killing people, and this company has come up with medications that can help and are working toward a cure. One of the women has a partner who cannot afford the medication, which is why she is applying for the job. One of the candidates has the disease.The stress becomes worse and worse as people not only seek to find out the question, but ""White"" (Luke Mably) tries to manipulate people to break a rule so they can be eliminated.This is an excellent film, though one has to take into account that it is happening in the future. At least in the present, no one would go through what these people did for a job, especially with a selection process like that. I would have left after the Invigilator talked. So we don't know what's going on in the world.The film presents a real puzzle, and getting to the solution is a fascinating process for the viewer.The acting is very good and intense, with Luke Mably having the showiest role. Colin Salmon, the Invigilator, has one of the best voices in the world and has an incredible presence.Really enjoyed this.",Exam
7,Theo Robertson,Very Average Marks,5,4 March 2014,"Eight people at a corporate company are invited to take a test . There will be only one successful candidate . The examiner lays down some ground rules and exits leaving an armed guard in the room who the candidates are not allowed to talk to . They now have 80 minutes to complete the exam . They turn over their papers only to find the pages are blank and there is no question This is one of these movies that demolishes the opposition during a film pitch . It's a great idea because we've all been there . We've all gone to job interviews and been asked to do radical psychometric tests which have absolutely no bearing in the job we're applying for and are so stupid and frivolous that only a genius could have thought them up so in theory this movie should have a very wide audience In practise however things don't work out that way . The mechanics of the plot are constantly undermined by a character putting two and two together in order to drive the plot forward far too easily . You're not allowed to talk to the armed guard but since this is the only rule you're allowed to do anything else to the guard , like use his gun . Since it's set in the future guards are now armed and there's been a plague of some sort and this ties in with the plot . It's amazing what you can get away with if you set your story in the near future with its mysterious plagues and armed guards and little touches like this constantly reminds you how contrived everything is and how the narrative would not possibly work if it was set in the present day . The fact that the film is so up itself means that the ending has to be explained word by word",Exam
8,view_and_review,"""What Would You Do?"" on Steroids",6,6 November 2021,"""Exam"" is a one-room movie that explores the human psyche. It's a ""What Would You Do?"" on steroids.Eight applicants are put into a room with 80 minutes to answer the one exam question, except there's no question seen on their exam sheets. They have to follow three simple rules or else they're disqualified:1.) Don't spoil your paper.2.) Don't try to communicate with the guard or the invigilator3.) Don't voluntarily leave the room.With these three known rules the test-takers began dissecting their environment around them as well as each other (figuratively) in order to find out what the one question is so they can give the one answer. It was both tense and annoying. You already know at least one character is going to grate your nerves, and in this case just about every character grated my nerves. Still, I was intrigued and I wanted to see the movie through to the end.",Exam
9,trashgang,more a thriller than horror,4,11 May 2011,"Exam is a hard one to review, I mean, I have found it at the horror shelves of a shop and it looked promising but I surely wont say it's a horror. It's more a kind of thriller instead. It's low budget of course because it takes place in one room and their is no gore or special effects in it. Naturally people will think that it is a rip-off of Saw but it isn't. It is explained why the exam took place but it is all a bit weird. The script is simple, you get a paper with one question on it, give the answer. By revealing the paper they see that there isn't anything written on it. As i said, it's low on the red stuff so it's more on the psychical factor. Being not what I suspected I kept watching it until the end. You could say that it was Saw without the traps or Cube without the rooms. Not that bad, believable cast but could have been more weirder by the players...",Exam
