,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"at times, mindless script, but watch it and say you love it just to make liberals mad!",5,22 July 2006,"This film was pretty controversial when it came out because it bucked the theme being touted by liberal politicians in 1984. They wanted the US to engage the Russians and make nice to them, while President Reagan had the nerve to call this evil empire an ""evil empire"". The public seemed to either hate the movie for having the affront to show a Communist invasion of the USA or conservatives thought it was all cool and somehow prophetic. I went to see it, in part, just because I wanted to irritate liberal friends by telling them I saw this movie! After all, it was just a movie! And, a fantasy involving a right or left-wing plot is certainly fair game (though critics at the time BBQ'd the movie and branded it as evil).Now as for the movie itself, if you remove all the political baggage, it is a decent but far from great film--and people on both extremes politically should bend a little--the film ISN'T evil nor is it the greatest film ever made! Instead, it's a fantasy first. And, secondly it is kind of fun to watch but pretty brainless--having lots of action scenes but the dialog and acting is right out of a teen movie! Judge the film on its own merits, not just politics. Those who give it a 1, do so for their own agenda as is the same with them that give this mediocre film a 10! Don't believe all the extreme hype!",Red Dawn
1,bkoganbing,Call Out The Wolverines,7,9 July 2007,"The scenario depicted in Red Dawn didn't happen as we all know. The Cold War ended with a fadeout instead of a bang, the USA did not get invaded. At first glance Red Dawn seems like a quaint and ancient propaganda piece, but it still raises some interesting issues.Note how the invasion of America happened. Lots and lots of illegal aliens crossed our borders and infiltrated from within. Back in the day Red Dawn was National Rifle Association recruiting material, today however it's the film that the strict immigration people must love the most.Several members of the Eighties Brat Pack gave stand out performances in Red Dawn like Patrick Swayze, C. Thomas Howell, Jennifer Grey, Lea Thompson and Charlie Sheen. Considering what he's peddling now, I wonder if Charlie Sheen likes to be reminded of his participation in Red Dawn. Swayze and Howell are brothers who when the paratroop invasion happens at their high school, they zoom on out of there, take supplies, weapons and ammunition and lead a guerrilla movement in their little corner of Colorado.It's fascinating that the northeast of the United States didn't get invaded and that was the Free Zone. You wonder if the young people in blue state America would fight as these kids do. Kids like Howell and Swayze today are what make up our Armed Forces, they are a precious commodity indeed, blood not to be spent extravagantly or unwisely.Red Dawn is dated in some ways, relevant in others. It's super-patriotic, jingoistic, never explains really but for a brief voice over prologue why all these people don't like us. But at the same time it invokes a fighting spirit in America that I hope never dies, because we will die.It's nice to discuss geopolitics, look for economic solutions to age old problems, try to make people respect each other's differences. When the bombs are dropped though, discussion and reason are over.",Red Dawn
2,Leofwine_draca,"Passable right-wing entertainment, but it's not a film I'll be coming back to",5,25 October 2016,"I'm not a big fan of '80s teen movies here – show me a John Hughes title and I'll probably run a mile (apart from HOME ALONE, which I have a nostalgic soft spot for). So when I heard about RED DAWN, a film about American teenagers fighting back against a Russian invasion, I didn't get my hopes up too much. The film is far too mainstream to offer any really cutting edge kind of thrills, so instead we're left with a bloated mess, full of average action scenes shot with little flourish or flair and plenty of soul-searching dialogue which got on my nerves after a while. I have a feeling that the Chuck Norris B-movie INVASION USA is a lot more entertaining than this flick.However, it's not all bad. It has a great director in John Milius, and he re-teams with CONAN THE BARBARIAN composer Basil Poledouris so there's a decent soundtrack. There's a big budget and action a-plenty involving shoot-outs, tanks and RPGs; some of the good guy deaths are quite moving. The script isn't all I hoped for, but there's an epic, wide-scale sense to the action which isn't half bad. It's mainly the youthful cast I have problems with. The likes of Patrick Swayze, C. Thomas Howell, and Charlie Sheen are all here, but they lack the definition that made them successful Hollywood actors in their own right. There are touches of individuality and acting ability but for the most part they seem faceless, just another figure in an ensemble group. The same goes for BACK TO THE FUTURE's Lea Thompson and DIRTY DANCING's Jennifer Grey. It takes some older actors like the excellent Powers Boothe and baddie William Smith to show them how to act.All in all, RED DAWN is a 'big' '80s film but in the end I found it a little bland for my tastes. There's a good downbeat climax, but the pacing issues up to then make it feel like an all-too-simple case of fight-talk-fight-talk ad nauseum. I enjoyed it, but it's not one I'll be watching again.",Red Dawn
3,SnoopyStyle,Great action propaganda movie,8,11 October 2013,"Patrick Swayze leads a group of Colorado teens in guerrilla war against Soviets and Cubans. The group has a great young cast that includes C. Thomas Howell, Lea Thompson, Charlie Sheen, and Jennifer Grey. Powers Boothe plays fighter pilot Lt. Col. Tanner who parachutes into their group.To say this is an exaggerated right wing propaganda would be too easy. The first minute of the movie lists a whole bunch of unreasonable unrealistic oversimplification of the worst case political scenarios that could never be. To understand how stupid is to read a simple history book. Whereas this movie predicts the end of western civilization, in reality the Berlin Wall would fall in only 5 years time.As an action shoot them up movie, this starts off quickly. The Russian are landing within the first 5 minutes. They're off and running. They never look back. They use all the hokey tricks and it all works. It's got a great young cast, and it's got great flow to the story. It's a fun and easy movie.",Red Dawn
4,kosmasp,Different times,6,19 May 2013,"The movie did hit something when it was first released. Back then (the 80s that is), the scenario of an invasion wasn't that far fetched. Unfortunately the movie did not age that well. While it still has some thrills and momentum going for it (and the acting is decent enough), you shouldn't expect to be as excited as viewers who watched it in its initial run.Having said that, the remake that was made in 2012 was even more unrealistic. But more on that movie on its own page. One of the few similarities that they sort of got right, was the casting. There's too much depending on luck and coincidence for my taste. Still a ""classic"" that is worth a watch, even if it is just to get the mood people where in back then.",Red Dawn
5,gavin6942,"Good Nostalgia, Not a Great Film",6,6 March 2017,"It is the dawn of World War III. In southwestern America and Colorado, a group of teenagers bands together to defend their town, and their country, from invading Soviet forces.""Red Dawn"" is one of those films that becomes legendary in hindsight. With Patrick Swayze, Charlie Sheen, Jennifer Grey, Lea Thompson and more before their biggest roles, you cannot help but be impressed by the ensemble cast. But despite that, there is a lot left wanting here. Much of the plot is nonsense. We are given the impression that either a) the Russians control this one city in the middle of the country or b) they have taken over most of the United States overnight. I am not sure which is more hard to believe.The message is also very unclear. Coming from John Milius, there has to be a message. He is a towering personality, with strong opinions. But is this pro-war, anti-war, pro-freedom? We cheer for the Wolverines, but at the same time we see the Cuban (or Mexican?) colonel in a very human way, and at one point the question is bluntly asked -- how are we (Americans) different from them (Russians)? The answers are hard to find.",Red Dawn
6,Hey_Sweden,Avenge me. Avenge me!,7,22 May 2017,"Political paranoia time. This obviously very memorable 80s product of the Cold War puts forth a chilling ""what if"" scenario. In this case, the Cold War has a different outcome, and legions of Russians, Nicaraguans, and Cubans aggressively invade the U.S. of A. However, a small band of high school students in Colorado are able to head for the hills. While they are in seclusion, they begin to use whatever supplies and weapons they've acquired, and rise up righteous to kick tons of evil Commie ass.If you can lay aside your personal political beliefs, this does function as an interesting, sometimes believable action thriller that forces people to answer a serious question. If your own country were invaded like this, would YOU be able to rise to the challenge? It's because the premise touches people in that way that makes it a compelling enough entertainment. Obviously, the war and violence here are not glorified, but are treated as something unavoidable. Our band of heroes do have quite a bit of success, but they're also not infallible, and aren't experienced soldiers despite whatever training they might have had.Many of the bad guys are pretty one dimensional, but not all of them. One of the most intriguing characters is a Cuban colonel (Ron ""Superfly"" O'Neal) who has his doubts about the whole conflict, and who yearns to be back home with his beloved.Action scenes and stunts are well executed by Terry Leonard, and the movie does manage to have some fairly punchy gore despite a PG-13 rating. At its best, ""Red Dawn"" is vivid, disconcerting, and rousing, perfectly punctuated by Basil Poledouris' soaring score.The kids are played by Patrick Swayze, Charlie Sheen, Lea Thompson, C. Thomas Howell, Jennifer Grey, and others, and they do alright, but the older generation is particularly strong: Ben Johnson, Lane Smith, Harry Dean Stanton, Frank McRae, Roy Jenson, etc. ""Red Dawn"" does hit its stride upon the introduction of the Powers Boothe character, and then the top dog villain played by the eternally bad ass William Smith (who speaks fluent Russian).""Red Dawn"" is the kind of film that can engender purely personal responses. Still, it's undeniable that it truly does hit a nerve. It would make a fine double feature with ""Invasion U.S.A."", a Chuck Norris vehicle from the following year.Directed by John Milius, who also receives screenplay credit with Kevin Reynolds.Seven out of 10.",Red Dawn
7,poolandrews,Not that good.,4,9 July 2008,"Red Dawn starts like any other day in a small Colorado town, however the normal tranquillity is soon shattered when Russian soldiers parachute out of the sky & start killing everyone. In a systematic coordinated attack right across America starting in Mexico allied Soviet & Cuban forces have invaded the US & World War III has begun. Brother's Jed (Patrick Swayze) & Matt Eckert (Charlie Sheen) along with several of their high school buddies manage to escape the initial invasion & make it to the relative safety of the Colorado mountains. With no option but to fight the teenagers take arms & wage their own personal war against the Soviet Cuban scum who have invaded their homeland & killed innocent Americans...Co-written & directed by avid gun collector & pro-gun activist John Milius one has to say that I really didn't think too much of this overly sentimental teenage action film. The script by Milius & Kevin Reynolds takes itself deadly seriously & is very pro the right to bear arms all the way, it says that the right of each American to own a gun is good because America is the land of the free & in the event of an attack by the Russians or any other evil superpower individual Americans will be able to defend themselves. I suppose Red Dawn tries to tap into the fears people had at the time, fears about Cummunism, about Russia, about World War III, about nuclear warfare, about increasing legislation in owning a gun which Red Dawn repeatedly says owning a gun is every American's God given right & the whole survivalist movement. The character's aren't great, there's the clichéd action film theme of ordinary people being thrust into an extraordinary situation & having to toughen-up & overcome the odds, you know the sort of thing I mean. Nothing really works that well, while watching it last night I just thought it was a collection of seemingly random incidents stringed together & you never get to know any of the character's, in fact I couldn't really name them now as I couldn't really tell them apart. The film never leaves the confines of the Colorado town either & I for one never really felt like the whole of the US was at war. At almost two hours it felt like it went on forever, the action isn't anything special & it's hard to believe a group of teenagers could take on & defeat a heavily armed platoon of highly trained soldiers. I read somewhere once that someone thought Red Dawn resembled The Goonies (1985) but with guns & rocket launchers which I think is actually quite an apt description.Director Milius nails his allegiances down here, there are some really nauseating scenes of gross patriotism which I found rather laughable. The scene of the teenagers listening to the radio & the American national anthem comes on to keep the nations spirits up is just so forced & cheap it's untrue. Red Dawn was the very first film released with a PG-13 rating in the states, The Flamingo Kid (1984) was actually the first film to be given a PG-13 but Red Dawn ended up being released before it. There is a fairly high body count & a fair amount of blood too although it's not that graphic it is quite violent & whether Red Dawn would still get a PG-13 today is debatable. Amazingly the term 'Red Dawn' was the given code name for the military operation in Iraq that captured Saddam Hussein back in 2003!The film is well made with decent production values, the military vehicles & the like look very authentic I suppose & the New Mexico location shooting has some nice scenery. There are several sizable parts of the film which are subtitled. The acting is in my opinion very poor, the likes of Patrick Swayze, Charlie Sheen in his film debut, C. Thomas Howell, Lea Thompson, Harry Dean Stanton & Powers Boothe are capable of much better than this & some of the performances are truly dire.Red Dawn is not a film that I can say I liked, it's pro-war pro-gun patriotic nonsense that has dated very badly & is a bit of a chore to sit through in one sitting. Apparently set to be remade as Red Dawn (2010).",Red Dawn
8,lastliberal,Boys! Avenge me! Aveeeeenge me!,6,10 May 2007,"This film has so much right-wing propaganda that I felt I was watching the Republican Convention.A group of teens with deer rifle takes on crack combat troops and we are supposed to believe that. I am sure glad that Patrick Swayze grew up in the five years before Road House.He did reunite with fellow cast member Jennifer Grey in Dirty Dancing. She was cute as a button in this movie, but could not save it for me.If you some some red meat propaganda, then you can sure find it here. I have seen the film more than once, and it gets worse as I grow older.",Red Dawn
9,zardoz-13,Stars and Stripes Forever!!!,8,22 November 2012,"Youngsters grow up quickly in ""Conan the Barbarian"" director John Milius' ""Red Dawn,"" an exciting, bittersweet, jingoistic, Reagan-era military actioneer with a provocative but far-fetched premise. The Soviet Union with its Cuban and Nicaraguan allies invade the United States. The film opens with a preface designed to sum up in short-hand the tense global situation in the fewest words possible. ""Soviet Union suffers worst wheat harvest in 55 years. Labor and food riots in Poland. Soviet troops invade. Cuban and Nicaragua reach troop strength goals of 500,000. El Salvador and Honduras fall. Greens Party gains control of West German Parliament. Demands withdrawal of nuclear weapons from European soil. Mexico plunged into revolution. NATO dissolves. United States stands alone."" These words appear as blood red text against a black background. As improbable as the premise sounds, Milius and co-scenarist Kevin Reynolds of ""Robin Hood"" fame turn it into a propaganda-style shoot'em up. This contemporary yarn unfolds in quiet, peaceful, little hamlet of Calumet, Colorado, in September. Enemy paratroopers drift down in the first scene while a high school history teacher, Teasdale (Frank McRae of ""License to Kill"") is lecturing them to class about the tactics of the great Ghenghis Khan. He goes outside to find out what's happening and shot to death by a soldier. The students and an older brother Jed (Patrick Swayze of ""Ghost"") flee into the scenic mountainous terrain with the blessing of their parents who loads them up with provisions. Our heroes take in two girls and tensions rise among the group when the girls refuse to serve in secondary roles. Later, they participate in the combat. One of them trades on her good looks to lure enemy soldiers into either ambushes or plant explosives. Clearly, this war picture leaves nobody in doubt to the ending, but the finale isn't sugar-coated. One scene straight out of a World War II propaganda scene occurs when one of our dying heroines booby-traps her body to kill a Russian soldier. Another scene straight out of an old frontier western occurs when our heroes conceal themselves underground to stage an ambush. Important characters bite the dust, and even teenagers perish during the initial enemy attack. The cast is a veritable who's who of raw talent including Patrick Swayze, Charlie Sheen in his cinematic debut, Lea Thompson, C. Thomas Howell, and Jennifer Grey. Swayze and Grey would team up again later in ""Dirty Dancing,"" but here they have to dance dirty with murderous Russian troops. William Smith is terrific as the villainous Russian officer Strelnikov. Veteran Polish character actor Vladek Sheybal of ""From Russia with Love"" plays a Soviet officer. Composer Basil Poledouris provides an energetic as well as atmospheric orchestral soundtrack. The early aerial scenes as the camera flies through the clouds to the strains of Poledouris' martial music is stirring stuff. This represented one of the rare opportunities for veteran heavy Roy Jenson to play a sympathetic character. Several other anti-Soviet films were released when ""Red Dawn"" came out. Clint Eastwood's ""Firefox"" preceded ""Red Dawn"" by two years, while ""Rocky IV"" appeared the following year. Director John Milius never lets the action bog down in sentiment. There is one grueling scene when Swayze's character insists that the youngster staunch their tears in the aftermath of their loved ones demise. Jed and Matt wind up dying together on a picnic table. Matt dies first in Jed's arms and Jed groans about being tired. In the wrap-up, the narrator indicates neither Jed nor Matt were heard of again. America won World War III. ""Red Dawn"" gets gritty at times and isn't as upbeat as the remake.",Red Dawn
