,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Very much a love it or hate it film, really liked it myself",8,3 June 2017,"Having liked/loved some of Gus Van Sant's other work (i.e. 'Good Will Hunting'), as someone who thinks that Keanu Reeves has given good performances in his career and who absolutely adores River Phoenix in 'Stand By Me' (one of the greatest child performances ever to me), as well as being intrigued by the story's themes, 'My Own Private Idaho' quickly went on my ever growing ""to see"" list.Finally seeing 'My Own Private Idaho' was well worth the wait and watch. It is definitely understandable as to why it won't click, and hasn't done, with some, it is a very love it or hate it film and has its uneven moments. However it is even easier to see why people find so appealing about it, namely the acting, how the film looks and how the themes are dealt with.Getting the faults out of the way, 'My Own Private Idaho's' biggest fault is the middle act. Here the film does meander, with some dull stretches and narratively it becomes less cohesive. The Shakespearean dialogue is sometimes clever and funny, but too often it also jars and comes over clumsily.However, 'My Own Private Idaho' is filled with exquisite images, the cinematography being both dream-like and gritty and the scenery equally to die for. Van Sant's direction also creates this hypnotising dream-like effect to the visuals and how the story is told. The music is hauntingly downbeat and full of pathos.'My Own Private Idaho's' script is not perfect, but much of it is poignant and thoughtful. Despite a meandering middle act, much of the story makes the most of its daring themes and how they're dealt with ensures that the film is as relevant and resonant today as it was 26 years ago. It's told gently, but also with a grit and pathos that makes the film unsettling and moving.Keanu Reeves' performance has been criticised, personally belong in the camp who thinks that he gives one of his better and more natural performances that breaks the mould. There is no doubting however that River Phoenix's is infinitely better, an extraordinary turn that's even better than that in 'Stand By Me' and showed potential for him to be one of the finest actors of his generation if he had not died so tragically so young. They are supported by an electric supporting cast, riotous William Richert and creepy Udo Kier being the scene stealers.Overall, not for everybody but for me despite its imperfections there was a lot to admire here. 8/10 Bethany Cox",My Own Private Idaho
1,bkoganbing,"River tunes out, Keanu slums",10,5 March 2013,"My Own Private Idaho is a bittersweet tale of two rent boys in the Pacific coast are and the contrasts between them. With the help of the greatest writer in the English language ever, William Shakespeare, Gus Van Sant draws two great characterizations in the characters realized by River Phoenix and Keanu Reeves.You couldn't find two more opposite types in the world. River is a street kid through and through. Even the circumstances of his birth are a tragedy that I won't reveal. His mother leaves him as a youngster and he can't get over it and go on. He was raised by an older brother in the sparsely populated 'potato state' as he calls Idaho and the and the family dynamic was strained. He's a gay kid in an area where that could be deadly so he takes off for the fleshpots of Seattle and Portland where his youth and beauty will bring him some cash. He has no skills or education to support himself any other way. Sad, but the only hope this kid has of a decent life is to get taken up by some older sugar daddy who might just treat him to an education of some kind. That is if he can decide to just get over a bad home life and lack of a normal family. I've known gay kids who came from as lousy a background as River Phoenix and who never could get over it. River has developed an interesting defense mechanism and a psychologist would have field day with him if he got him on the coach. When the stress gets too much for him he just has a seizure like an epileptic, but in fact all he does is fall asleep. It's called narcilepsy, but he's vulnerable in that state as the film shows as well. River just tunes out the world. Keanu comes from a different world, his father is the Mayor of Portland, but he's dying and hopes to have his son take over the family political dynasty. But Tom Troupe is bitterly disappointed in his 'effeminate' son who like Prince Hal likes to hang out with lowlifes and street trash. Keanu's Falstaff is William Richert, a gay older man of a Falstaffian bloated belly who likes the young stuff and in his world probably treats them well. Gus Van Sant was quite imaginative in seeing the gay subtext that could be drawn from Prince Hal and Falstaff. Indeed Keanu says that Richert is closer to him than his real father. But he also says that he's planning to work a change in him when he comes into his own. And he says it in dialog taken from Shakespeare's Henry IV Parts one and two.The most touching scene is with River and Keanu out in the country at a fire where River basically confesses his love for him. It's love to be sure, but River also sees in Keanu a figure who has confidence and self assurance and those are the qualities that draws him to Reeves. What Phoenix misreads is that self confidence is really a safety net that he knows he has and at the appropriate time uses. Although he's gay for pay as he states, he still allows River to have sex with him. I suspect that Gus Van Sant from his own background knows full well that gay for pay is not always 100% absolute.Reeves goes on to his destiny for which if you know your Shakespeare know what that is. Phoenix's destiny is less clear, more than likely an oblivion that a lot of those kids go to. As a fantasy I'd like to think that as Reeves denies himself, closets himself as he moves on in life, that an older River comes back to remind him of his roots.We all know of the tragedy of River Phoenix who died way too young just like a lot of street kids do ironically. There is a second tragedy in the My Own Private Idaho. Rodney Harvey who played one of River and Keanu's street peers also died way too young in similar circumstances to Phoenix. Not only does Van Sant give us an excellent two person character study, but his other character with less dialog than the leads also are fully formed characters which is the mark that many including me say indicates a great film. My Own Private Idaho is a troubling picture, but a realistic one of the underside of gay life that we cannot ignore.",My Own Private Idaho
2,SnoopyStyle,Reeves and Phoenix doing terrific work,6,31 December 2014,Mike (River Phoenix) is a hustler prostitute who suffers from narcolepsy. He has dreams of being comforted by his mother. Mike's best friend is fellow hustler Scott Favor (Keanu Reeves). Scott is rebelling against his father who was the wealthy mayor of Portland. He expects to inherit money from him at 21. Mike is obsessed with finding his mother and is in love with Scott. Their journey would take them from Portland to Idaho to Italy and then back to Portland.Gus Van Sant creates a meandering journey of two lost souls. Reeves and Phoenix are doing terrific work. It gets surreal at times. I actually want a greater visual surrealism to his dreams although the indie budget would prevent that. I'm not so much in love with the Shakespearian influence on the dialog with Bob. It takes me out of the gritty street world. It's an up and down movie for me. I find parts of it fascinating but others too flighty.,My Own Private Idaho
3,classicsoncall,"""There's no reason to know the time. We are timeless.""",7,15 April 2019,"The film is about the search for love, home and identity, as exemplified by River Phoenix's character, Mike Waters. Beyond that, I didn't get a whole lot out of the picture, as it's mood is relentlessly depressing and hopeless most of the time, with unlikable characters expending the least amount of energy necessary to get by. Perhaps the more removed one is from that sort of lifestyle renders it less appealing, which might explain how and why Scott Favor (Keanu Reeves) eventually settled for the real thing after initially rejecting the social standing and opportunity afforded by his father's career. The search for Mike's absent mother is left unresolved following a fruitless trip to Italy, while Scott gains the impetus to leave a vagrant, meaningless life. Perhaps I missed it, but the capital required to embark on a plane trip to Europe wasn't within the means of both wanderers; my best guess is that the creepy guy Hans (Udo Kier) afforded that trip in return for his own gratification. I'm not sorry for having watched the film, but as I said, it did nothing for me, other than to make me thankful for having a completely different lifestyle.",My Own Private Idaho
4,gavin6942,Phoenix and Reeves Deliver... But I Am Not Sure What,6,4 November 2006,"Two best friends -- one the son of a powerful mayor and the other a street urchin -- living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way.The film is dark, dirty and shot in a very gritty manner. That is alright. And the cloud sequences are very interesting to watch, but I am unclear what they symbolize. I felt the production was very cheaply put together, but maybe it was on purpose.The movie is a cross between William Shakespeare's ""Henry IV"" and a song from the B-52s. While I would assume this to be great, I did not walk away from this film feeling anything. Keanu Reeves is not known for his strong acting, and this is another example of that. River Phoenix is average, nothing compared to his brother Joaquin.In all fairness, I did not watch this film as intently as I could have (it was late at night). Maybe with different company or at a different time I would have taken more from it. But, in my opinion, if you want Shakespeare you are better off watching Baz Luhrmann's ""Romeo + Juliet"" or the teen comedy ""10 Things I Hate About You"".",My Own Private Idaho
5,lee_eisenberg,homelessness,10,26 June 2005,"Gus Van Sant has made a living by making movies about down-on-their-luck people, and he always does a good job. In ""My Own Private Idaho"", River Phoenix plays homeless Portland teenager Mike Waters, who hooks up with affluent Scott Favor (Keanu Reeves). Mike is often forced to be a male prostitute just to make ends meet. He and Scott hobnob around, but eventually, things don't work out.We can pretty much always count on Van Sant to make really great movies (although ""Gerry"" was pointless as far as I could tell). ""My Own Private Idaho"" may have been his best movie ever. Either that or ""Finding Forrester"". But either way, you have to see this movie.",My Own Private Idaho
6,jboothmillard,My Own Private Idaho,6,11 July 2010,"I read in the book 1001 Movies You Must See Before You Die, which featured this film, that it has mixed opinion, I'm sort of half way between, from director Gus Van Sant (Good Will Hunting). Basically, in Portland, Oregon, narcolepsy suffering Mike Waters (River Phoenix) and son of a rich father Scott Favor (Keanu Reeves) are two male prostitutes living on the streets. They take drugs and sell their bodies to women and men, but their personal lives come in to play a lot, with Mike being the quiet gay seeking his long lost mother, and Scott saying he's straight and only shying away from his rich lifestyle temporarily. They are travelling all over the place to find Mike's mother, Portland to Idaho, Italy and a few other places, the narcolepsy obviously is a problem as Mike will not remember anything, but Scott finds love with Carmella (Chiara Caselli). Even though the mother was not found the journey was more a self discovery experience, and in the end Scott returns to his true lifestyle, and Mike just falls asleep on the highway in Idaho. Also starring William Richert as Bob Pigeon, Rodney Harvey as Gary, Michael Parker as Digger, Jessie Thomas as Denise, Grace Zabriskie as Alena and Ace Ventura: Pet Detective's Udo Kier as Hans. Phoenix is quite compelling in one of his last roles before his death two years later from a drugs overdose (he was of the ""live fast die young"" breed), and Reeves is pretty good as well. I think the fact the film is a little confusing most of the way, and I was hoping it would be a road movie, but with the controversial material it is not a bad independent drama film. Good!",My Own Private Idaho
7,Quinoa1984,"one thing's for sure, you've never seen quite a ""Gay""-themed film like this - not even from Van Sant",9,29 January 2009,"It was around the time of the late 80s and early 90s a sort of surge, if that's not too improper a word, in gay and lesbian character-centered films in the United States - as the South Park guys so eloquently put it and later echoed in Brokeback Mountain ""gay cowboys eating putting - and while wikipedia's entry on the ""New Queer Cinema"" includes Gus Van Sant's name, and this film plus Mala Noche, I would imagine few others could compare to the audacity and crazy daring displayed here. It's not entirely a masterpiece even as it strives to be one ever so much, but damn all celluloid to hades if it isn't some kind of 'experience' to get through it all, and usually in moving and hallucinatory ways. My Own Private Idaho mixes and matches, strikes together images and sounds and cuts and time-lapses and angles and characters that leave a mark on the viewer, like watching Godard make something quick if he wandered into a gay bar screening Un Chien Andalou and had to contend with a group of hustlers and other random crazies while also carrying with him some selected Bard. This isn't Brokeback Mountain, aside from that one little tender scene (one of my favorites if only by River Phoenix's acting) where Mike confesses his true love for Scott (Keanu Reeves) when the latter just has sex with men for money and is decidedly ""Bi-curious"". It's indescribable in tone if not in plot; we are basically dealt with two street hustlers, one a practical orphan with medium-grade narcolepsy and the other a dejected son of a mayor who sits on his thrown like a dying king... or Henry the 4th for that matter. The rest kind of flows from that, with Mike trying to find his mother and Scott going quickly into his, well, destiny of sorts.Sure, having a movie that mixes documentary (tell me some of these guys weren't picked off the street by Van Sant?) and a kind of magical realism (yes, magical realism) that involves fish jumping upstream and 8mm filmed dreams of Mike's family plus the general illusionment of waking up somewhere random and alone PLUS Shakespeare is jarring. Most notably, indeed, when Shakespeare is pretty much lifted right off the page and given just a touch of gutter-talk or gritty Bowery-level attitude and wildness. It's so strange and original a move, and the actors all play it so sincerely, that it's hard sometimes to totally take seriously with the Falstaff aka Bob played by William Reichert as the Fisher King as a ruler, and Flea as a screaming/crying banshee... And yet, there are chunks where this method works, and one gets accustomed and accepts and gets wrapped up in this patchwork, such as when Bob and his ""men"" in pink monk clothes rob and fight with other street folk at night. It's so crazy it just about works which is incredible on its own, not to mention with special/awesome appearances by Grace Zabriskie and in Dean Stockwell ala Blue Velvet form Udo Kier!Also incredible is River Phoenix. People talk today about the lasting impact Heath Ledger will have following his passing and leaving behind the Joker (and, as some might forget, Bob Dylan). Phoenix as Mike Walters is that kind of performance only in the art-house setting, something really challenging and heartbreaking to see. This is a truly great performance, perhaps amplified even more by (or because of) Keanu Reeves who while very good and better than some would ever give him credit for is overshadowed by this brooding and harrowing force right next to him. Phoenix somehow makes us care about this character maybe more than Van Sant would want us to, and that too is something special.Even if you don't care very much for the movie itself, how Van Sant films and directs in his own hit or miss (this time mostly hit in a burgeoning iconoclastic) style, it's hard to argue the tenacity of the actor on screen, and his impact left if only here and in Stand by Me. 9.5/10",My Own Private Idaho
8,zetes,"Interesting, but definitely unsatisfying",6,8 May 2006,"Feels sloppily cobbled together out of many disparate parts. It's a movie about street hustlers (mainly River Phoenix and Keanu Reeves), and then suddenly something seemed familiar, the dialogue starts to get flowery and I realized I was watching an update of Welles' Chimes at Midnight. I hadn't realized Keanu had embarrassed himself by trying Shakespeare before Much Ado About Nothing (he plays the part of Prince John here). He starred the same year in the second and final Bill & Ted movie. Here he tries to graduate, but fails. The film jumps all over the place as Reeves and Phoenix look for Phoenix's long lost mother. The film doesn't work well at all. It looks very beautiful. Phoenix is very good. He died a couple of years later, and what a fine actor we lost.",My Own Private Idaho
9,namashi_1,"A Difficult, yet Absorbing Story!",7,17 March 2014,"Loosely based on Shakespeare's Henry IV, Part 1, Henry IV, Part 2, and Henry V, 'My Own Private Idaho' is A Difficult, yet Absorbing Story! Its a hard-hitting tale about human-relations, that has been Directed most effectively by Gus Van Sant. Also, the performances are top-notch!'My Own Private Idaho' Synopsis: Two best friends living on the streets of Portland as hustlers embark on a journey of self discovery and find their relationship stumbling along the way. 'My Own Private Idaho' deals with human tragedy & misguidedness. Its central protagonists, haunted by their childhoods, grow up as shallow & angry individuals. And when they embark on a journey together, much after developing a bond, even their friendship, sadly begins to decline. Its a heart-breaking, unsettling story of two lost souls in search of a better life. Gus Van Sant has made terrific cinema with 'My Own Private Idhao'. Although its not flawless, thanks to its dull pacing, but other-wise, it works wonders. The Maverick Filmmaker creates a bleak world, without any hesitations whatsoever. His Direction & Screenplay, both, are competent. Performance-Wise: The Late/Great River Phoenix & Keanu Reeves deliver amazing performances. Phoenix, especially, delivers a searing performance as a troubled soul. He embodies the part & stands out from start to end. Reeves is a revelation. He enacts a rather difficult part, with rare ease & understanding. A Special Mention for William Richert. He's fantastic in a supporting role. On the whole, 'My Own Private Idaho' is a strong effort.",My Own Private Idaho
