,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"I do like Steve Martin, but this film was awful",2,4 October 2010,"That is not to say all of Steve Martin's films are terrible, Planes, Trains and Automobiles, The Jerk, Man with Two Brains and Roxanne were gems, Father of the Bride is better than it is given credit for and the Cheaper By the Dozen movies while deeply flawed were watchable. But for several reasons, Bringing Down the House was just awful. Steve Martin isn't necessarily bad in it, he does try hard, as does Queen Latifah, but their chemistry is badly forced and they are further hampered by an awful script and a predictable story. Eugene Levy is usually excellent but he is wasted here, and the direction is lacklustre too. The film looks okay, with some nice cinematography and scenery, and the soundtrack has its moments that I accept, but the above points and the stereotypes and unintentional yet apparent racism and homophobia really spoil what could have been a decent comedy making it almost unwatchable. 2/10 Bethany Cox",Bringing Down the House
1,SnoopyStyle,Almost funny in dated comedy,5,30 November 2014,"Peter Sanderson (Steve Martin) is a straight forward tax attorney who still loves his ex-wife Kate (Jean Smart) even though she has a new boytoy in her life. He disappoints his kids once again while courting heiress Virginia Arness (Joan Plowright) as a client. He has an on-line friendship with LawyerGirl but her photo is misleading. Instead of a slim blonde lawyer, she's actually prison escapee Charlene Morton (Queen Latifah) who insists on her innocence. She hounds him until he's willing to help her clear her name. His work friend Howie Rottman (Eugene Levy) helps out and he is infatuated with the streetwise Charlene. Kate's sister Ashley (Missi Pyle) and Peter's neighbor Mrs. Kline (Betty White) suspect something's wrong with the supposed nanny.This is a workable concept of an uptight white guy trying to deal with a black urban woman. It's a broad odd-couple PG-comedy from the 80s. It's not inappropriate enough to be funny. It's not sharp enough to be edgy. It doesn't handle race with enough deft. Steve Martin is playing this slightly dated. The whole thing feels dated. I like Queen Latifah's earthiness. Their chemistry is almost there. This is a small miss. At least, Eugene Levy gets a few inappropriate laughs and Missi Pyle gets into a ridiculous fight with the Queen.",Bringing Down the House
2,claudio_carvalho,A Funny Comedy With Many Good Moments,7,21 September 2004,"Peter Sanderson (Steve Martin) is a divorced workaholic lawyer, who spends his time working and in a chat room for lawyers in Internet, where he meets the young lawyer Charlene Morton. He has a teenager daughter and a son, and misses his wife Kate (Jean Smart). One day, he schedules a dinner at his home with the pretty and blonde Charlene, of whom he has a picture only. When he opens his door, he sees that Charlene is indeed a huge Afro-American woman (Queen Latifah), who was in jail and wants him to defend her, claiming that she is innocent. Charlene forces Peter to lodge and defend her, and from this moment on, his life turns upside-down. This movie is a very funny comedy, with many good moments. For example, when his teenager daughter trusts on him and decides to tell him other hidden stories about her, it is hilarious. Or when Peter opens the door and sees Charlene for the first time. There are many other funny scenes. Of course there are also many clichés, this film is not a surrealistic art movie and certainly will not be indicated for an Oscar. But I laughed a lot with the situations created by Steve Martin, Queen Latifah, Eugene Levy and Joan Plowright. Highly recommended for laughing. My vote is seven.Title (Brazil): 'A Casa Caiu' ('The House is Down')",Bringing Down the House
3,lee_eisenberg,"Really something, Boo.",6,18 March 2006,"OK, so the white-yuppie-and-black-ghetto-person-joining-up idea has been used a number of times in movies, but the dialog between Steve Martin and Queen Latifah makes this one worthwhile. Probably the best scenes are Betty White's nasty comments, Queen Latifah teaching Missi Pyle a lesson, Steve Martin dressed - and attempting to talk - like a rapper (especially because of what Joan Plowright ends up doing in that scene), and of course, Eugene Levy's statements ending with ""Boo"". ""Bringing Down the House"" really does bring down the house. Completely silly, but fun nevertheless.Who ever would have imagined Joan Plowright (aka Laurence Olivier's widow) doing what she did and saying what she said in the rapper scene?",Bringing Down the House
4,jboothmillard,Bringing Down the House,2,21 February 2009,"I saw the trailer for this film, it looked amusing at points, and then I read it was one out of five stars, but I tried it anyway, from director Adam Shankman (The Wedding Planner, Cheaper by the Dozen 2). Basically Peter Sanderson (Steve Martin) is a divorced attorney who can't understand why his ex-wife Kate (Jean Smart), who he still loves, left him. He is trying to move on, and has met a girl on an internet chat-room, known only as ""Lawyer Girl"", and he has suggested they meet at his house, but of course, a completely different person show up at his doorstep. It is African American ghetto girl Charlene Morton (Queen Latifah), in the background of the photo he received, she is a prison escapee who wants to prove she wasn't involved with a robbery. It takes a while for Peter to agree to help her, as she is turning his life upside down, stopping him from trying to get back with Kate, and wooing billion dollar client, Virginia Arness (Joan Plowright). There is the obvious small sentiment, and the moment Peter can't take anymore, but he realises her innocence when an African American criminal threatens him with a gun. So he dresses to get into the hood, to get to this criminal and get a confession that he set Charlene up, and, it works. Oh, it should be mentioned, Peter's work buddy Howie Rottman (Eugene Levy) becomes infatuated by Charlene, and vice versa. Also starring Kimberly J. Brown as Sarah Sanderson, Angus T. Jones as Georgey Sanderson, Charlie and the Chocolate Factory's Missi Pyle as Ashley, Michael Rosenbaum as Todd Gendler, Betty White as Mrs. Kline and Steve Harris as Widow. I guess I giggled a little when Martin's tummy rumbles from taking laxative or whatever, and dressed for the hood, but I can see why the critics give it the amount of stars it has. It's filled with stereotypes, it doesn't have any decent comedy (well, no comedy period), and indeed Martin and Latifah are pretty forced together, it's just a bit boring. Pretty poor!",Bringing Down the House
5,edwagreen,Hilarious-Wonderful Comedy ****,10,12 May 2012,"This excellent comedy with a wonderful story has phenomenal chemistry between its stars- Steve Martin and Queen Latifah.Latifah, a prison inmate, fools Martin, an established attorney while on the internet. She breaks out of jail and into his life while pleading with him to help prove her innocence in a robbery.The film has all the ingredients for success. Joan Plowright steals the show as an elderly wealthy dowager whose finances the firm wants to handle. How she is drawn into the situation with Martin and Latfiah is a comedy in itself.Betty White, as a nosy neighbor, adds sparkle to this comedy with fabulous dialogue. Martin shakes out of his middle class values and delivers comic classics in dance routines with Miss Latifah.Yes, there are racial over-tones but they are handled in an appropriate manner. Let's face it-such discrimination, though wrong, exists at country clubs.",Bringing Down the House
6,jotix100,Beware of who you meet in the chat room.,8,20 March 2003,"This film, although badly reviewed by many people, proves to be a fun time at the movies. Adam Shankman and Jason Filardi have teamed up to give the viewers lots of laughs. It's hard not to be amused by what's being presented even though it might not be the greatest, or the funniest picture.
Queen Latifah has more charisma in her ample body than any other actress working in American films these days. She never gives a bad performance. This is quite a stretch from her role in Chicago; in fact, she steals the film with her charm. She can hold up her own against her co-star.
Steve Martin seems to blend himself into this joke of a lawyer, who is so uptight and anal that he never has enough time for his children. He has some hysterical scenes at the hip hop club playing an Eminem-type character, outdancing everyone. Mr. Martin's experience in the chat room brings him a lot more than he bargained for: the irrisistible Charlene, who turns his life upside down.Eugene Levy has some bright moments as Steve Martin's friend in the firm. Joan Plowright repeats herself into the role of the ogre with a heart of gold, once she loosens up with the right kind of smoke. The rest of the cast is good, working with the material they're given to perform.
If you are trying to get away from the horrible news being bombarded at us these days, this is the film for you.",Bringing Down the House
7,anaconda-40658,Bringing Down Steve Martin's Career.,2,21 May 2015,"Bringing Down the House (2003): Dir: Adam Shankman / Cast: Steve Martin, Queen Latifah, Joan Plowright, Eugene Levy, Jean Smart: Deadpan comedy dread about change in both lifestyles and attitudes. Steve Martin plays a lawyer recently separated from his wife so he subdues himself to e-mail chat rooms. He plans a date only to discover that his blonde beauty is really a black felon played by Queen Latifah. She wants Martin to reopen her case involving four years in prison for a crime she did not commit. Routine setup follows formula until it evaporates into a standard climax. Directed by Adam Shankman who previously made A Walk to Remember and the pathetic chick flick The Wedding Planner. This doesn't improve his choice in films despite the talent who chose to waste their time on it. Latifah is a fine actress but she has potential that goes way beyond the routine formula driven predictable drivel she is given here. Martin plays his regular comic routine that worked much better in other films such as Bowfinger and The Jerk. Joan Plowright plays a wealthy client that turns out to be more a plot prop than anything else. Eugene Levy recites his American Pie role only to a much lesser degree. Jean Smart plays Martin's ex-wife and that is about the extent of her role. Routine Martin comedy so pathetically bland that it brings down more than the house. Score: 2 / 10",Bringing Down the House
8,HotToastyRag,Not politically correct,4,27 August 2019,"I don't really know what's worse: the premise or the theme of the humor in Bringing Down the House. The premise is a divorced lawyer starts dating again and sets up a blind date with an internet flirtation. When the woman shows up and he's not physically attracted to her, she then helps him loosen up with the goal of winning back his wife. If he wanted his wife back, why was he starting to date again? Why did he set up a romantic liaison at his apartment complete with champagne and a pretty obvious intention that, had he found her attractive, he'd want to end their date in the bedroom?The theme of the humor is, in essence, racism. Steve Martin is the divorced lawyer, and Queen Latifah shows up at his door. I love Queen Latifah! Why would he immediately be disappointed when she showed up on his doorstep with a sparkling smile and a bubbling attitude? Steve finds out Queenie is an ex-con, and while explaining her case, she speaks in Ebonics and Steve doesn't even understand what she's talking about. She's a free spirit and as she helps him loosen up, he ends up dressing like a ""gangsta"" and using bad grammar. Steve's pal, Eugene Levy, serves as the comic relief who believes in colorblind love. He wants to strike up a romance with Queenie, and to show he's hip enough to pursue her, he also speaks in Ebonics.If you love Queenie, like I do, you'll want to watch all her movies, right? You'll get some laughs out of this one, but it's not the most politically correct comedy out there. My favorite is Beauty Shop, so you might want to have that one on hand afterwards.",Bringing Down the House
9,FlashCallahan,What's a rack? A country......,7,4 April 2017,"Peter Sanderson is a divorced attorney who still loves his ex-wife and can't figure out what he did wrong to make her leave. Peter's trying to move on, and he's smitten with barrister he's been chatting to online. When she comes to his house for their first date, she isn't a lawyer. Instead, it's Charlene, a prison escapee who's proclaiming her innocence and wants Peter to help her clear her name. But Peter wants nothing to do with her, prompting Charlene to turn Peter's perfectly ordered life upside down, jeopardising his efforts to get back with his wife and win a very prolific client.....What could have been just another formulaic comedy about two people who couldn't be more opposite if they tried, is lifted from the mundane thanks to the wonderful performances from Martin, Latifah, and a scene stealing Levy, as the straight laced jive talking wannabe boyfriend.Martin has done this role a dozen times before, and here, he goes for the 'if it ain't broke, don't fix it approach', and for a film like this, it's perfectly fine.It's always fun to see the atypical middle class American man become an almost nervous wreck because someone has disrupted his perfect life.And here, Latifah is that someone, and instead of making her the stereotypical loud mouth from the 'hood', the writers have rightfully made her character three dimensional, and very likable to boot.The comedy here sometimes verges on the offensive, for example, Betty Whites character is totally unnecessary as the casual racist, but obviously, the writers wanted her to be more of an ignoramus, rather than how she is depicted, and it just doesn't sit well.Plowright pops up as the potential client, and again, although she is very good, the scene when they are having dinner, stinks of casual racism.I know it's not the writers intentions to make this film quite uncomfortable at times, but the film can laugh at itself on occasion, and the chemistry between the two leads is wonderful.If your a Martin fan, this is a must, he recaptures the magic he had in the eighties, and this could be the last good thing he ever did.",Bringing Down the House
