,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Wasn't entirely sure what to make of this one,5,31 May 2014,"If there was anything at all to sum up what I thought of Cleopatra(1963) it would be a very mixed bag, it's not as bad as has been cited to be but it is easy to see why it bombed. There are definitely things to like about Cleopatra, for one thing with the vivid colours, the amount of authenticity in the costumes and sets and the lavish cinematography it really is a feast for the eyes, one of the better-looking films of the 60s. Alex North's score is a very hypnotic and memorable one, adding hugely to what's happening, with parts where it really rouses the spirit and others where it is appropriately melancholic. There are some good performances in the cast too, though it is a case of the supporting actors being better than the leads. Particularly good is Rex Harrison, if anything it's actually a brilliant performance, he has rarely been more restrained than here as Caesar and it is very moving. Caesar was the film's most sympathetic and relatable character and you do feel genuinely sad at his demise. Roddy MacDowell is a close runner up, he is very chilling and looks as though he is really enjoying himself. And the film is not without effective scenes, because Cleopatra's entrance is suitably sultry and the ending is somewhat emotional, in fact the film does start off quite well and the supporting performances have a lot to do with it. However, the two leads don't fare so well. Richard Burton does have his moments, he is enigmatic and at least seems to understand and connect with what was given to him, but he can be wooden too and chews the scenery too much(the overly melodramatic second half doesn't help though). Even more problematic is Elizabeth Taylor, she has done a lot of great stuff but this really is not one of her finest hours. She's beautiful and sexy but her performance does come across as shrill and like a spoilt rich girl. Burton and Taylor's chemistry has mixed results, in the first half it has moments where it resonates but like the drama it is often cold. The story is a huge problem too, as a matter of fact if there was a component that could be seen as the biggest flaw it would be the story. Much of it is dragged out and overstuffed, and while the story of Antony and Cleopatra is an epic one it doesn't feel like that here. That it has a much-too-overlong length that due to the very pedestrian pacing feels like it is a big part as to why. Cleopatra is directed in a very stagy and emotionally cold way (hard to believe that it was the same director who directed All About Eve, one of the best films ever made in my opinion), and although the cast is a large one a lot of roles are far too come-and-go and blink-and-you-miss-them walk-ons quality. And there is no better news about the script, which has far too much talk, can sound very awkward and is very skim-the-surface feeling. It takes a very melodramatic turn in the second half and it is incredibly ham-fisted. Summing up, a difficult film to rate, has some obvious good things but is hugely problematic too, at least to me. 5/10 Bethany Cox",Cleopatra
1,bkoganbing,The Greatest Love Affair Of All Time,9,9 September 2006,"No we're not talking about Cleo and Caesar or Cleo and Antony, we're talking about Elizabeth Taylor and Richard Burton on the set of this mammoth epic. I well remember in 1962 you could not get away from all the talk about the hanky panky that Liz and Dick were engaged in. It took the Cuban Missile Crisis to knock it off the front page and out of people's minds. But as the costs on this version of Cleopatra mounted, Darryl F. Zanuck couldn't have bought better publicity than this.And it's a pretty good film also. But I think the acting honors in this go to Rex Harrison as Julius Caesar. It is the best portrayal of Caesar I've seen on either the big or small screen. Harrison's Caesar is a man at the top of his conqueror game, not anyone's fool. Though he's definitely charmed by Cleopatra, he's fully aware of what she wants from him also. His fall is not from misjudging Cleopatra, but misreading public opinion back in Rome.Contrast that with Richard Burton as Mark Antony. No doubt the love affair and eventual marriage to Liz Taylor helped his performance as a man is totally thinking with his hormones. As for Elizabeth Taylor she is a most bewitching and lovely Cleopatra. She was the perfect Cleopatra for her time.Roddy McDowall probably has his best adult screen role as Octavian. He undergoes a remarkable transformation from callow youth to bloodless conqueror. What Antony tears up and throws away, he just hangs around and picks up the pieces. In the supporting cast I would single out Andrew Keir as Agrippa, Gregoire Aslan as Pothinus, and Martin Landau as Ruffio for special mention.A whole lot of tickets were sold to see the most publicized lovebirds of all time in 1963. They had to be because Cleopatra's cost over runs nearly broke 20th Century Fox. But the move going public saw and intelligent and literate spectacle. Director Joseph Mankiewicz gave us DeMille grandeur without DeMille Victorian dialog.And that's as good a reason as any to see Cleopatra.",Cleopatra
2,Leofwine_draca,Overblown historical epic,6,19 July 2015,"Was there any need to make CLEOPATRA a four-hour-plus historical epic, supposedly the biggest film ever made? I'm not too convinced. Although this film is lavish and filled with magnificent spectacle, there isn't really too much story to propel the narrative along. The result is a story that feels long-winded and overblown, with Richard Burton and Elizabeth Taylor chewing the scenery with relish in their performances as the doomed twosome.The first half of this production is much better than the second, focused as it is on a restrained Rex Harrison as Julius Caesar. The story is told well and the budget is high enough to do more than ample justice to the backdrops and costumes. The battle sequences are well handled and the sets are frequently mouth-dropping. A shame, then, that in the second half things slow down considerably and not much really happens.I'm the first to admit that I'm not really a fan of Taylor's Cleopatra, who seems one-dimensional throughout. Burton's Antony is better, but his character is difficult to warm to; the supporting players like Roddy McDowall, Martin Landau, and Andrew Keir are much more interesting. Although I'd never seen this film before, I ended up feeling that I'd been spoilt by later movies: it's hard to take the pompousness seriously after CARRY ON CLEO, while the TV series ROME handled the same story in a much more refined way. That leaves CLEOPATRA a mildly interesting piece of spectacle and very much a product of its era.",Cleopatra
3,SnoopyStyle,Grand epic and great Harrison,7,23 May 2015,"Julius Caesar (Rex Harrison) has just defeated Pompey but Pompey has slipped through his fingers to Egypt. King Ptolemy has just driven his co-regent sister Cleopatra (Elizabeth Taylor) from the throne. In Alexandria, Caesar finds Pompey beheaded by Ptolemy and is visited by Cleopatra rolled up in a rug. After disposing Ptolemy, Caesar has a son with Queen Cleopatra. Meanwhile rumblings of descent is rising in Rome. When Caesar pushes to be emperor, he is assassinated. Mark Antony (Richard Burton) and Octavian (Roddy McDowall) hunt down the conspirators and are installed as joint rulers of the empire.Rex Harrison is magnificent. He's the perfect foil for Taylor. They have a great first half of the movie. That half represents all the greatness of old Hollywood. It has the grand productions and the actors are never overshadowed. Harrison and Taylor rises above it all. When Caesar dies, the movie goes downhill. Richard Burton is constantly overacting. It's as if he's over-compensating for something or is acting under duress. And Taylor joins right along with him in the broad big acting. Roddy McDowall is a fun villain but the second half is mostly unbearable. There is no doubt that this is a real old fashion epic. It's too bad that the second half is such a mess.",Cleopatra
4,Hitchcoc,Some Say a Failure but a Publicist's Masterpiece,7,21 January 2017,"The unevenness has been explained many times. This was supposed to be two movies. We will never know because the producers grabbed their pocketbooks and wouldn't let go. This is a good story, but it doesn't work because about a third is missing. That said, take each of the characters and ask yourself if they did a good job presenting themselves. Taylor is beautiful and very interesting, Rex Harrison is his usual intriguing personage, and Roddy McDowell, who I remember most as a child actor may be the best of all. I mostly remember the drama among the actors and all the news coming out of Hollywood, concerning ""Cleopatra."" Taylor and Burton, Taylor and Harrison, on and on. I think there are times when the hype supersedes the product and we were treated to daily reports from the press on this ""disaster."" Still, if you can look past the unevenness, there's a lot of fun here. Especiallly the epic battle scenes and all the other spectacle. At the time, perhaps the most expensive film ever made.",Cleopatra
5,mark.waltz,There's no de-Nile. This is just so amazing.,8,18 October 2015,"Far from a perfect movie, Cleopatra still remains one of the most controversial movie ever-filmed because of its successes, The scandals behind the scenes and the effect that it had on Hollywood budgeting. In the BBC mini-series I Claudius, the Roman Empress Livia comments. that she was once known as one of the greatest beauty is in the world, there was one, but she died years before and she lived in Egypt. That was of course Cleopatra, and while she probably didn't look like any of the Hollywood actresses who played her, the legend of her still exists. I walk through Central Park past the alleged Cleopatra's needle and I have to remind myself that this was apparently another Cleopatra because the Queen depicted in this movie was one of many Cleopatra's in Egypt history, along with the Ptolemies, the cities and other Egyptian king names.Vivien Leigh, Scarlett O'Hara herself, played Cleopatra in a George Bernard Shaw play ""Caesar and Cleopatra"" opposite Claude Rains. Vivien Leigh said upon seeing Rita Hayworth walk into a room, how do you compete with that! I am curious just wonder how she would have felt if Elizabeth Taylor had walked into that room because certainly she ranks among the top beauties of all time. And like Vivian and Rita, she was a beauty who could act. well her later performances could be considered overacting, in Cleopatra she is actually very subtle.she is not perhaps the right age, but neither was Theda Bara, Claudette Colbert or Vivien Leigh. Certainly based upon what history has shown, she was also not the right color. But forgiving Hollywood its misrepresentation of history, you have to look at Cleopatra from the perspective that it was made in the early sixties.At nearly four hours long, Cleopatra ranks in my opinion along with the Ten Commandments as an extremely watchable epic. However, unlike the classic Colbert version of 1963, Cecil B DeMille is not involved in this. Obviously influenced by the success of the Ten Commandments less than a decade before, Cleopatra is a gorgeous fantasy based on the life of a Queen that truly create discussion to this day. Rex Harrison deserved his Oscar nomination to play Julius Caesar, just a year prior to playing Henry Higgins in My Fair Lady and winning an Oscar for repeating his Broadway role. He is simply stunning and there is a magnificent chemistry between him and the leading lady. I wish I could say the same about Richard Burton as Marc Anthony and Taylor, because while they might have created heat off screen, they didn't light up on screen as well. Their most memorable pairing was of course Who's Afraid of Virginia Woolf, and that was because their characters were fighting rather than making love throughout the movie.Excellent detail goes into every moment of this,and in the supporting cast, Roddy McDowall in certainly amazing as Augustus Caesar. the subtleties of Brian Blessed from I Claudius playing the same role goes out the window for McDowell show me performance. this could almost your pre Chris sir to that magnificent BBC epic. Also, look for Hume Cronyn in a small but memorable role as well as Carroll O'Connor. This is a film that has so many great moments that can manipulate you into thinking Madison up a better movie that really is. Certainly, Cleopatra entrance into Rome remains one of the classic movie visuals of all time. She truly rolls here, and it is unfortunate that the film was surrounded by controversy over her affair with Burton well still married to Eddie fisher. When you look at Elizabeth Taylor and remember all of the amazing things that she did in her life time, you can't help adore her.Excellent photography and consistent and detailed direction by Joseph L. Mankiewicz makes this a film that truly should be seen on a big screen rather than on television. But if you are not willing to wait for its anniversary or a special showing, simply just get the movie and put it on, and watch it in several parts before you truly judge it. As I said, it is far from perfect but it is certainly one film that you will certainly never forget.",Cleopatra
6,kosmasp,All ways lead to ...,8,6 June 2020,"Now I do not know how historically accurate most of this is (I expect it to have taken a lot of liberties in making this as dramatic as possible). After watching this I admit I have to freshen up on my Roman history again sometime. Having said that, this is the story of Cleopatra more than it is about anything else. Yes the backdrop are Cesars and Romans in their attempt to expand their Empire. But while certain things are clear on display, most of them have Cleopatra front and center. Even the very infamous ""e tu brutus"" historical incident (let's call it that, for those even less in the know than myself), is seen through her eyes and interestingly shot/displayed.Having said that, certain things may not have aged well for viewers nowadays. A lot of things can be seen as ""cheap"". You can tell certain things are plastic/styro rather than stone or whatever material else it is supposed to be. But if you concentrate on that you are missing the point. Also this was one of the most costly production and it shows on screen. The crowd scenes, the set design, the clothes and so many more things are just incredible. Again aged, but still amazing to think of the effort behind it all.Speaking of which: quite the effort and end result if you think about everything that went on behind the scenes. A lot of turmoil, actors not liking each other, to much downtime, troubled production overall and so forth. There are is another movie alltogether for that stuff ... and some of it can be read of course too. Curious to see what of it all will be touched on the special features of the DVD I own. Elizabeth Taylor at one point was larger than life ... who better to play Cleopatra one might ask? So with all the issues, the end product is still a sight to behold. And as some may say: they don't make them like they used to ... (which in certain respects might not even be a bad thing, but again, this is always in the eye of the beholder)",Cleopatra
7,Sleepin_Dragon,Abysmal acting from the lead ruins a big budget blockbuster.,5,12 October 2020,"I am genuinely stunned to see the generally high rating here, having just watched it, I would say it's worthy of its generally poor reputation. On the plus side the visuals are glorious, an enormous cast, lavish costumes, great sets, it is visually very appealing. Rex Harrison is terrific.Unfortunately the plot is all over the place, the story rushed at times, and drawn out in others, the dialogue, particularly between Taylor and Burton is cringe worthy. The main issue here for me, is Taylor, beautiful, with those stunning eyes, but her acting is woeful, I found her so incredibly wooden, her scenes with Burton at times were painful to watch.I understand that it's iconic, a classic to many, the best thing for me, is that Carry on Cleo ended up with some of the sets, it made that film look astonishing. Amanda Barrie injected more life into her comedy Cleo, than Taylor managed.Sorry, but this was poor. 5/10.",Cleopatra
8,gavin6942,Four hours of this...,6,1 April 2016,"Historical epic. The triumphs and tragedy of the Egyptian queen, Cleopatra.This is the sort of film that is both impressive and also daunting. You have to admire them making a film more than four hours long on Cleopatra and her romances with Julius Caesar and Marc Antony. Whether accurate or not, it is quite the undertaking.But then, you also have more than four hours... which is quite an investment. If this was a TV mini-series, I could see that. But it is rather long to sit through without an intermission. Did people in the theater wet themselves? Perhaps, as the film remains as well known today (2016) as it was in 1963.",Cleopatra
9,jboothmillard,Cleopatra,5,20 February 2009,"I knew two of the lead stars of the film, and I knew it was an expensive film, I just didn't know how expensive, or how long is was, from Golden Globe nominated director Joseph L. Mankiewicz (All About Eve, Guys and Dolls, the original Sleuth). Basically it is the historical epic drama, in the year 48 B.C. where Pharaoh Ptolemy XIII (Richard O'Sullivan) is supreme ruler of Egypt, having ""desposed"" of his Queen sister Cleopatra (Dame Elizabeth Taylor). But along comes Caesar (Oscar and Golden Globe nominated Sir Rex Harrison) to restore some order to the kingdom of Egypt, despite being from Rome, he even sees to marrying the Queen and having a son, oh, and Ptolemy was banished. It is when Caesar is murdered that trouble starts again some years later, when his protégé Marc Antony (Richard Burton, who married Liz the next year) has become smitten by Cleopatra, and she can't help herself. She is angered when she finds out he is marrying Octavia (Jean Marsh), sister of the ambitious Octavian - Caesar Augustus (Golden Globe nominated Roddy McDowall), and he quickly changes his mind, and marries Cleopatra. There is a war with some battleships shooting at each other, a bit of banter and politics, and the film ends with Antony dying, and Cleopatra following not too long after. Also starring Pamela Brown as High Priestess, George Cole as Flavius, Hume Cronyn as Sosigenes, Cesare Danova as Apollodorus, Kenneth Haigh as Brutus, Andrew Keir as Agrippa, young Martin Landau as Rufio, Robert Stephens as Germanicus, Francesca Annis as Eiras, Grégoire Aslan as Pothinus and Martin Benson as Ramos, I have to say, some of the oddest character names I have ever heard. Apparently, back then it cost around $40 million to make, today that would be around $250 million (that would beat Titanic's $250 million), it could have been because of Taylor getting sick a lot. More obvious reason would be the length of the film, four hours and eight minutes of nearly blah, sexy, blah, politics, blah, battle, blah, death, it was obvious I would doze off at some point. I much preferred the spoof film Carry On Cleo. It won the Oscars for Best Art Direction-Set Decoration, Best Cinematography, Best Costume Design and Best Special Visual Effects, and it was nominated for Best Film Editing, Best Music for Alex North, Best Sound and Best Picture, and it was nominated the Golden Globe for Best Motion Picture - Drama. Dame Elizabeth Taylor was number 77, and Richard Burton number 70 on The 100 Greatest Movie Stars, Taylor was number 7 on Britain's Finest Actresses, Burton was number 29 on The 50 Greatest British Actors, Taylor was number 11 on The 50 Greatest British Actresses, she was also number 13 on The 100 Greatest Sex Symbols, and she was number 7 on 100 Years, 100 Stars - Women. Worth watching, at least once!",Cleopatra
