,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Artemis Fail,2,13 July 2020,"It's actually been a long time since reading the book series, but from retrospect they were certainly better than this film version. Love Disney and Disney+ has been a godsend recently and watched regularly actually, one of many reasons as to why my reviewing here has slowed down. Kenneth Branagh is a gifted director, absolutely love his Shakespeare adaptations with 'Much Ado About Nothing' being a personal favourite (though others will prefer the also great 'Hamlet' and 'Henry V'). Love Judi Dench as an actress too.'Artemis Fowl' was a real disappointment. As an adaptation it's an abomination, one of the worst book to film adaptations there is in existence. Am not kidding here. It fares even worse on its own terms, despite what those that have defended the film say some that have hated the film have not read the books and saw it as fans of Branagh and Dench, my parents being among those people. Almost nothing works and Branagh has never been this uninterested in his directing in what is easily his worst film (those that disliked 'Murder on the Orient Express', didn't care for that myself while not hating it, will appreciate that film better after seeing this).The least bad asset is actually the music score, which is actually beautiful to listen to, authentically Irish and lilting. Sadly it was one of those scores that were pleasant enough on their own but failed to fit within the film, this score sounded like it belonged somewhere else. The scenery also wasn't bad in parts but the photography generally is rushed looking and some of the images thanks to some very disjointed editing and garish lighting are quite ugly so that was wasted too. Any special effects are afterthought-looking.Moving on further onto the criticisms, the acting is really not good. Ferdia Shaw is monotone and charisma-free throughout. Lara McDonnell has more perkiness but the character is very underwritten and bland on the whole. Colin Farrell is completely wasted. Josh Gad tries too hard is gets very annoying after a while, actually thought he didn't blend very well with everything else. You know something is wrong when Dench gives the least bad performance and still manages to give one of her worst performances, that affected accent and voice was not needed and she doesn't look engaged at times. At least she showed some signs of having command over her meagre material.Branagh was clearly not interested in the material, as his direction throughout is uncharacteristically indifferent and phoned in. One would not think that he is a great Shakespearean director, and he did prove with his wonderful 'Cinderella' that he could do non-Shakespeare too, as this is quite inept. The target audience also felt confused, my mother was very unsure at who 'Artemis Fowl' was aimed at, children will find it hard to follow and it is too dull for adults. Even teens, the main target audience of the book series, will question the target audience.Script is stilted and is too exposition-heavy (apparent right from the beginning with an over-explanatory narration), a lot of the film screeching to a deadening halt in the more talky sections and there are a lot of those. The storytelling is incredibly thin and not does it feel like a hodge podge of cobbled togther ideas it is all executed in a dull fashion and with little coherence, literally only one event happens. There is one action show-piece pretty much with a troll very late on but even that doesn't thrill and even the troll doesn't look that good. There is no character development whatsoever, nobody is given time to breathe, the villain is a non-entity and Artemis himself is practically useless. What little there is of the action is sluggish, incoherently edited and the sense of danger just isn't there. To cap it all off, the ending was a completely abrupt anti-climax.In summary, very poor. 2/10",Artemis Fowl
1,SnoopyStyle,arrogant lead and flat magic,5,24 June 2020,"The media circus descends upon Fowl Manor in Ireland. Mulch Diggums (Josh Gad) gets arrested and interrogated by MI6. He recounts the story of the Aculos. There is magic in the world and Artemis Fowl is his name. His father (Colin Farrell) has been kidnapped as evil forces search for the Aculos. There is a secret underworld of magical creatures. A fairy police officer named Holly Short is trying to clear her father's name who stole the Aculous. Her superior officer Commander Julius Root (Judi Dench) heads the effort to retrieve the powerful magical artifact.The lead kid is too arrogant and too annoying to be the rooting interest. I like Holly Short better and her opening scene with Josh Gad is actually fun. The magical underworld is a cross between near futurism and steam punk. I like the premise but some of the execution is less than magical. From the MIB suits to the derivative take on Irish magic, this movie lacks the imagination needed to elevate it. At the very least, someone should explain the Aculous at the beginning. All in all, this seems to be a fine fantasy premise but director Kenneth Branagh fails to pull a compelling movie out of the material.",Artemis Fowl
2,Prismark10,Artemis Fowl,4,23 July 2020,"Writer Eoin Colfer noted some years ago that the film version of his Artemis Fowl books has been stuck in development hell. The producers even a cast a young boy as Artemis Fowl, a role he never got to play. Colfer said he still sees him around and he is now a grown man.Disney hired Kenneth Branagh as director to bring the film to the big screen. After all he appeared as a villain in one of the Harry Potter films and directed the first Thor movie for Marvel. Instead the film has gone to Disney' streaming channel.Young Artemis Fowl is a 12-year-old Irish genius who needs to rescue his father who has been taken by a fairy. His wealthy father has been accused of stealing artefacts and the fairy wants to recover the precious Aculos.With the help of bodyguard Domovoi Butler, a dwarf and a fairy. Artemis Fowl goes off to rescue his father and comes across a magical city of fairies, trolls and dwarves.This is a fast moving action film, with good special effects but it is also rather sloppy and haphazard. I sense Branagh's finished version was gutted by the producers.Having its theatrical release delayed and then dropped in a streaming service, I doubt this will become the next Harry Potter franchise.",Artemis Fowl
3,nogodnomasters,Time to Believe,10,13 June 2020,"My bad. I was entertained and enjoyed the film, falling in love with Holly Short. I have not read the books so I don't know what a hit job they did on adaptation. I saw this as Ireland's answer to Harry Potter in a magical world of faeries, trolls, dwarfs, and goblins. The production is geared to early teens of both genders. It is not overly dark, but then neither was the first Potter film.If you haven't read the books and don't have any expectations, you might find yourself scratching your head at the negative reviews.",Artemis Fowl
4,kosmasp,Harry Investig-otter,4,16 August 2020,"Now I am not familiar with the novel/source of this and when or how this was created. What I do know is that it does try hard to encapsulate and ""rip off"" Harry Potter and live off of that success. Now fair to say and as you can tell by the rating at the moment (which I matched), that most think they did not meet that standard by a longshot.Having said, the cast is not bad at all. The special effects are fine. So I can also understand those who maybe because they already heard so much bad things about this, went with lower expectations and actually liked this. But the cocky teenager that is fron and center here does not bode well, even if he has some good points he's making. So I don't think there's more to be said ... except that it looks unlikely this will get any follow ups soon ... (and watch the pitch meeting on Youtube which is as all their other Meetings super funny)",Artemis Fowl
5,siderite,"An utter mess for anyone that has not read the books, like me",5,16 January 2021,"So imagine my surprise to find that this mess was directed by Kenneth Branagh. I expected them to be one of those woke 13 year olds fighting to make a mark in the big bad world who won't acknowledge their nonexistent accomplishments. I have no idea who Artemis Fowl is and, after seeing this film, I still don't. I wanted to complain that if they're going to make a movie about Irish Celtic mythology, why not get some good Irish people to do the job? And they did! Writers and directors and a lot of the lead actors are Irish or maybe Scottish. More McPeople than I've ever seen in one place. And it felt like a McDonalds meal. You mucked it all up! You failed in expressing your own culture, you did!The only positive in the film are the visuals. They are quite well done. And the cast, if one can call it an achievement, since many of the actors in that cast are misused or not used and simply put there to attract people in the cinemas. The joke is on them. I mean, look at this: illustrious director - check, stars like Colin Farrell, Judi Dench and Josh Gad - check, children story from acclaimed book about hidden magical worlds - check. Beautiful girls that may become media idols in the near future like Tamara Smart and Lara McDonnell - check. Cha-ching! Nothing else deserves any attention. Characterization, none. Story, none. Feeling, none. Editing: abysmal - those guys should be fired.Why does the black guy have blue eyes? Why is Juliet in the film at all? Why is a world of technomagical fairies that live centuries and have a skeleton key to the universe afraid of the human world? Why can't we even see the face of the villain or know anything about her other than she is mad humans make fun of fairies? None of that is explained in any satisfactory manner. And the main character? An annoying kid who has not acted in ANYTHING before this. And it shows! The best actor in the whole movie was Lara McDonnell. She's 17! And I may have been mesmerized by her eye magic thing when saying that.Bottom line: typical Hollywood condescendence for viewers when making children's movies. I mean most of the movies they make assume the viewer is an imbecile, children movies are a notch worse. And worse, it puts people off from reading the book. Even if I had any inkling of an idea to read it, that's gone now. This film makes the writer and publishers of the book lose money!",Artemis Fowl
6,cricketbat,So much story crammed into one sloppy movie,3,19 June 2020,"Watching Artemis Fowl is like listening to someone read a complicated instruction manual at a very quick pace, without pausing to allow for questions or reflection. I get that they had to cram a lot of story into one 90-minute movie, but it just doesn't make any sense. Artemis is unlikeable, Mulch Diggums is annoying, I felt embarrassed for Dame Judi Dench, and the rest of the cast is forgettable. If you're interested in this story, skip the movie and read the books.",Artemis Fowl
7,cruise01,A mess of a big budget adaptation.,3,15 June 2020,"Artemis Fowl (1.5 out of 5 stars).Artemis Fowl is a pretty horrible fantasy adventure film that is based on a novel of series. Sure, it is the beginning and the end of a movie series. For a movie with a big budget, it is surely wasted and not sure where it went. The script is terrible and wasted with so much going with the story crammed in such a short running time. The plot is a mess. And the whole setting of the movie takes place with the fairies army invading Artemis house by the beach. The movies narrative structure by Josh Gad was just plain stupid. And annoying. The performances are tedious and bad. There was no emotional connections with the characters. The villain is undeveloped. And no explanation to the bad guys motive. The action sequences are boring. The visual effects seemed incomplete and cheesy. The direction by Kenneth Branagh is a complete wreck with this film. From the director that did Thor and Murder on Orient Express. This movie sure fails to entertain. I do wonder how would this film even be in theatres cause it definitely felt like a straight to TV movie with its quality. I do recommend to save your time and skip this film.",Artemis Fowl
8,digitalbeachbum,Laughable and they say the books were popular?,1,30 September 2020,"I see that the books got rave reviews, but is this a situation where the books were amazing and the movies sucked?There are a lot of problems with logic, continuity and physics. The movie, is loaded with them and this isn't just a ""alternate Universe"" problem. There are serious issues with the functionality of the movie.First, the logic is that fairies live in the middle of the Earth and have this really advanced world of technology. Fairies are not technology, they are magical. Sure, this could be an alternate Universe, but remember in the beginning they talk about Ireland and you know they are setting this up to be about Irish folklore and not from an alternate Universe.Second, there are several errors with the troll and the wedding. You'll see a skeleton of a cow that the troll ate, but trolls wouldn't leave bones and they certainly don't lay them down in a perfect shape to look like an animal in a museum.Next the entire, ""father leaving, getting captured, then a phone call from a raspy voiced being"" the story seems to be condensed. I'm assuming that this is done because there was too much information and Disney didn't want a three hour movie, but the continuity is messy. They also messed up the fight scene with a bunch of cutaways and shaky cameras, along with some very terrible CG. One moment the bodyguard, Butler, is hitting a fairy and the next scene he is holding one and twirling his staff.The other problems are the technology vs reality, such as the time-freeze. The time-freeze at the wedding allowed for the music to still play, but people were frozen in the air. If the air is frozen in place, then sound does not travel. The same goes for the Fowl Mansion, where they froze time and the boat and the fisherman and water, all froze. It is all wrong and it doesn't work.While I think it is cute to see a giant dwarf, which I have often wondered about myself, the idea that dwarves are thieves, pickpockets and only good for tunneling is ridiculous. Then there is the unlimited magic sources, which is stupid because they want to follow physics but ignore that for every action there is an opposite and equal reaction. There is a cost for using magic.Overall the movie really is lame and lacking in substance. It reminds me of Spy-Kids but with magic. Sure it is OK to enforce certain creativity when it comes to old myths, but in the beginning they talk about Ireland and make it seem like everything is about Irish folklore. There are countless other myths which are ignored just to push this movie forward, over the cliff to its death.PS - This movie sucked so bad that I started writing this review while watching it. I actually have it in the background and I'm listening to the story progress. You should try it some time. It really puts things in to perspective when you strip away the CG and the visuals. Pure dialog. That's when you really see the flaws.",Artemis Fowl
9,matthewssilverhammer,"They clearly expected sequels, but I can't imagine...",2,27 June 2020,"Feels apropos to review this Branagh film with Shakespeare: it's Much Ado About Nothing. This Harry-Potter-esque identity discovery adventure suffers from being completely overstuffed yet utterly empty. There's so much world-building to do, any marginal character development is shoved into didactic dialogue, and then never paid off. Specifically, who is Artemis Fowl? We learn next to nothing about him; he's just a construct to wrap a bad plot around.",Artemis Fowl
