,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Modern existentialism...and loud pop music from the 60s.,5,1 March 2019,"To really love and enjoy ""The Big Chill"", it would probably help if you are old...at least 65 but preferably older. I am sure many of that generation love this film...its music, its angst by a generation that were hippies and so much more. Me, I am not exactly young but feel that the movie really isn't speaking to me or my generation...at least not as much so.When the story begins, an old college friend has killed himself and all of his old college buddies arrive for the funeral. Following it, these once idealistic folks all get together to spend a weekend together. During this time, they talk and talk and talk about their lives, their regrets, angst, how their ideals have vanished and about death. All this is accompanied with pop music from the 60s...and played at a very very high volume compared to other films. I know many loved this music, but it seemed to completely dominate the picture...even more than the 50s music in ""American Graffiti"".The acting is good in this one and a lot of famous actors appear in this film before they really hit the big time. The directing will please some...though the rapid edits and way the story shifted from one group to another to another to another left me rather cold. To me, it felt very episodic...and the characters all rather self-absorbed. I didn't particularly enjoy it, though I appreciated aspects of the film and its originality.
FYI, at one point, someone in the film mentions John Beresford Tipton. He was a character from an old 50s TV show ""The Millionaire""...if you cared.",The Big Chill
1,bkoganbing,Let's all talk about Alex,8,28 February 2019,"Alex has just died and by his own hand. So Kevin Kline and Glenn Close who
knew him from college invite several of their chums from college over to their
sprawling estate in South Carolina for old time sake. Might be the last time
they all get together.Those watching The Big Chill now can't realize just how idealistic the 60s were
for so many young people. When all of them including Alex thought they would
be changing the world once they left the cocoon of college. It just didn't work
out. It was worse for Alex because he held on to the dream longer than the
rest.Such diverse characters as action hero actor Tom Berenger who tries hard not
to believe his own hype and Jeff Goldblum who writes for People Magazine and creates and destroys celebrities. Meg Tilly was Alex's girlfriend and Jobeth
Williams who is a housewife and would like to be a writer, just not one like
Goldblum. Mary Kay Place thought at one time she would be a public defender defending innocent people from oppression. She's learned over the
years that the truly innocent are few and far between. Not every female
attorney winds up being Ruth Bader Ginsberg.Most interesting of all is William Hurt and we know a lot of people got through
the 60s within a haze of marijuana smoke and other recreational drugs. He
decided there was money to be made and while he's on the high end, money
he does make in the trade quite illegally.This is quite an ensemble cast that director Lawrence Kasdan assembled and
he gave them some good words to come forth from their mouths. Even better
The Big Chill has the ultimate 60s-70s soundtrack to match the changing moods and situations the characters have.Glenn Close got nominated for a Best Supporting Actress yet it seems almost
unfair to single her out. The Big Chill is truly an ensemble effort. It also got
nominations for Best Picture and Best Original Screenplay.For those who were young in the 60s, The Big Chill is your film.",The Big Chill
2,SnoopyStyle,Great ensemble cast,8,25 July 2014,"The suicide of their friend Alex brings together a group of college friends with Alex's young girlfriend Chloe (Meg Tilly). Karen Bowens (JoBeth Williams) is unhappily married. Sam Weber (Tom Berenger) is a divorced actor. Michael Gold (Jeff Goldblum) writes for People magazine. Meg Jones (Mary Kay Place) is a disillusioned former defense attorney looking to have a baby. Sarah Cooper (Glenn Close) had an affair with Alex in the past and married to successful businessman Harold Cooper (Kevin Kline). Nick Carlton (William Hurt) is an aimless Vietnam vet permanently dismembered. They stay behind for the weekend and reconnect with old drama and new issues.It's a feel good movie about a death and life from Lawrence Kasdan. Everybody is living their lives but are trying to come to terms with their former idealism after their compromises. It's a movie about people in a specific time in their lives that are jolted into some reflection. Also it's a great ensemble. Meg Tilly has some hilarious lines. Watching it again recently, it occurs to me that this movie needs a sequel.",The Big Chill
3,gavin6942,Overlooked By Today's Audiences,7,19 August 2014,"A group of seven former college friends gather for a weekend reunion at a South Carolina winter house after the funeral of one of their friends.In some ways, this film is something like ""Secaucus Seven"", with various friends who drifted apart getting back together again. These seven had high hopes in the 1960s, but are now becoming disillusioned in the 1970s (with a shoe company named after a Chairman Mao quote and a public defender who has learned that most accused criminals truly are guilty).Somehow, in the thirty years since this film was released, it has gone under the radar and has been forgotten. Despite many big stars and a notable director (Lawrence Kasdan, a protégé of George Lucas and Steven Spielberg), not to mention a great soundtrack, how has this film become forgotten?",The Big Chill
4,lee_eisenberg,"Versus ""The Return of the Secaucus Seven"".",7,4 March 2006,"Most people probably know that ""The Big Chill"" was a remake of John Sayles's directorial debut ""The Return of the Secaucus Seven"", about some radical friends getting back together. Here, they turned the friends into yuppies and added the part about the suicide. But it's still a good movie. Tom Berenger, Glenn Close, Kevin Kline, William Hurt, Jeff Goldblum, Mary Kay Place, JoBeth Williams, and Meg Tilly all star, and this movie certainly affirmed that they were to be the next generation of great American actors and actresses, even if some of them didn't do too much afterwards (Kevin Costner of course played the deceased friend, even though his scenes were left on the editing room floor). And of course, there's the soundtrack: whether it's ""You Can't Always Get What You Want"", ""I Heard It Through the Grapevine"", or something similar, this flick had a great selection of songs. A true classic.",The Big Chill
5,jboothmillard,The Big Chill,7,30 April 2008,"From director Lawrence Kasdan (Body Heat, Wyatt Earp) this drama about friends reunited is pretty good. Basically a group of old college friends, now grown up, come together for the funeral of Alex (Kevin Costner, who had all his scenes cut) who was at one time the brightest and best of all of them, but didn't achieve as much as the others. These friends: Harold Cooper (Kevin Kline), his wife Sarah (Oscar nominated Glenn Close), Nick Carlton (William Hurt), Michael Gold (Jeff Goldblum), Sam Weber (Platoon's Tom Berenger), Meg Jones (Mary Kay Place) and Chloe (Meg Tilly, Jennifer's sister) after the funeral try to reacquaint themselves. JoBeth Williams as Karen Bowens and Don Galloway as Richard Bowens. Besides the obvious funeral, the scenes that stick for me are the dancing around the table, and because there is no original music, some great songs have been put in, such as Aretha Franklin's ""(You Make Me Feel Like) A Natural Woman"", The Beach Boys' ""Wouldn't It Be Nice"", The Temptations' ""Ain't Too Proud To Beg"" (which was number 94 on 100 Years, 100 Songs) and Marvin Gaye's ""I Heard It Through The Grapevine"". It was nominated the Oscars for Best Picture and Best Writing, Screenplay Written Directly for the Screen, it was nominated the BAFTA for Best Original Screenplay, and it was nominated the Golden Globes for Best Motion Picture - Comedy/Musical and Best Screenplay. Very good!",The Big Chill
6,moonspinner55,Kasdan seems to have been raised on television (and yet has contempt for the medium),6,5 November 2001,"1960s college radicals in the present day: yuppies, aging hipsters, a television star, and a lonely wife. Director/co-writer Lawrence Kasdan was probably the kind of college radical who protested in his living room, in front of the TV set. He sets up the most obvious of gags, complete with character cut-outs, and yet he does manage a laugh or two--but it's purely on the good will brought about by the actors. The writing does not exist on any plane of reality, the changes in tone are jarring, the dialogue is frequently juvenile and/or embarrassing. Just as William Hurt is about to explain his sexual dysfunction to Mary Kay Place, we get a 'funny' jump cut to another room where the other characters react to Place's high-pitched scream, but--ha, ha--she's just reacting to a bat which has flown into the room. That's a good one. Or how about when Meg Tilly tells the story of her deceased boyfriend who didn't eat meat because he was afraid he'd be reincarnated as a steak. This is the kind of nudge-wink material Kasdan can't seem to get passed. Some of the players--Jeff Goldblum, Glenn Close and Kevin Kline, in particular--do rise above the occasion. Meg Tilly is much like a friendly, stoned bunny rabbit, but hers is an insulting role. William Hurt is made to be sullen and combative, and yet this character would not have shown up for the party. Mary Kay Place has another insulting role (she's just there to get pregnant!), and I have no idea what JoBeth Williams or Tom Berenger were trying for. A few moments do hit the bull's-eye, and the nostalgia inherent in the theme (coupled with an oldies soundtrack) was enough to win over audiences. **1/2 from ****",The Big Chill
7,Theo Robertson,Left Me Cold,3,22 March 2003,What a tedious film this is. Get a bunch of up and coming ( As these actors were in the early 80s ) film stars and put them in a plot where absolutely nothing whatsoever happens plot wise . THE BIG CHILL is so low concept that its six feet under . I can not believe this movie is so well regarded by IMDB voters . If you find a film involving some friends talking about their poor departed friend Alex compelling you may like this . Personally speaking if this is the company Alex kept while he was alive I`m not surprised he topped himself,The Big Chill
8,Scarecrow-88,The Big Chill,8,7 February 2011,"It takes a suicide to bring a group of college friends back together for his funeral. They were ""hippies"" who thought their voice could change the world, but now all of them are either rich or settled into a sort of comfortable suburbia. Kevin Kline and Glenn Close are a married couple who invite their buddies to stay the weekend after the funeral. They are about to sell their chain of stores to a corporation, becoming quite wealthy in the process. Tom Berenger is a television action star. William Hurt is a dope-head who suffered an ""unfortunate injury"" in Nam and is similar in ways to the friend who committed suicide. Mary Kay Place is a lawyer who has had little success in her sex life and simply wants a child. Jeff Goldblum is a writer for People Magazine. JoBeth Williams is an unhappy suburban housewife still in love with Berenger. Meg Tilly was the younger girlfriend of the suicide victim who remains in the house they were starting to renovate. These characters will spend time together, reminiscing, dwelling on the past, enjoying each other's company, while at the same time discussing adamantly the mistakes and disappointments which have occurred in their lives. Not exactly a real ""plot"" to speak of, more or less THE BIG CHILL works off it's awesome cast of incredible 80s talents assembled, the tone often a mixture of laughs and melancholy. It is sad that it took one of their own killing himself in order to bring these people back together, and the film follows them as they come to terms with the loss and their own futures. Developments include the revelation that Close had an affair with the suicide victim, Berenger and Williams' growing closer as the weekend continues, Kline given permission by Close to assist Place in her desire to be a mother, Hurt's interesting relationship with Tilly, etc. The soundtrack is incredible and speaks for the cast's generation, along with a screenplay that has a great deal to say. While I do prefer THE RETURN OF THE SECAUCUS SEVEN, written by John Sayles, THE BIG CHILL is a movie I find irresistible because the cast appeals to me, and there's a watchability to it, in that I can return to it and never tire of it. I do believe some might consider this movie a bit ponderous and too relaxed, but I think that's part of why it continues to endure. The use of a camcorder derives some funny moments such as Hurt's chat with himself(along with Goldblum's antics, cerebral discussions with both Close and Berenger)and Tilly's airheaded nature(her sexiness is used to effect as well)is utilized to the hilt. The courtship of Berenger and Williams, and Close's deep, close friendship with Place, are given a great deal of screen time. I personally think Hurt steals the film, but the entire cast(also in abundance are the Goldblumisms)shine, each member given an opportunity to strut their stuff. There are times when conversations get a bit heated, particularly when the suicide victim is brought up, but we see how long-term friendship is lasting even during times of hurt and grieving.",The Big Chill
9,preppy-3,WAY overpraised but still lots of fun,10,30 May 2011,"A bunch of college friends from the 1960s (Tom Berenger, Glenn Close, Jeff Goldblum, William Hurt, Mary Kay place and Jobeth Williams) all get together in South Carolina for a friends funeral. They're all in their mid-30s now and are, in various ways, dissatisfied with their lives and/or jobs. They spend the weekend together and bury the 60s along with their friend.This has been wildly overpraised over the years. Yes it's a fun, entertaining movie...but that's about it. I saw it when it came out in 1983. I was 21 and (maybe) too young to understand the problems these people were dealing with but the excellent acting (especially by Close), great direction, sharp script and wonderful soundtrack kept me entertained. However people who came of age in the late 1960s seemed to really ""understand"" this movie and it became a surprise hit. Over the years people have acted like it's some landmark of cinema. Well sorry folks but it isn't! It's VERY good and entertaining but that's all it is. The script is full of great one-liners...but nobody really talks that way. Also some of the situations are way too pat and predictable with obvious (and trite) happy endings all around. Yeah I DO love it but only because it's an excellent comedy-drama. It's worth seeing but don't expect some masterpiece.Also Kevin Costner was originally in the movie. His character is the one who commits suicide. However all of his scenes were cut out. Why I don't know but I think it helped the film. This is not a crack about Costner's acting--I don't think he's that bad--but he represented the 1960s in this film. I thought it was a good move to never show him. How do you put a name or face on somebody who's supposed to be representing an entire era? Well worth catching.",The Big Chill
