,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Far from perfect, but better than the first film",7,31 March 2011,"When it comes to the first Fantastic Four, I didn't hate it or anything but in more ways than one it could have been better as well. This sequel is an improvement in quite a few ways, but hampered by some of the flaws of the first film.The story had a great idea, had great potential and started off very well indeed. But in the middle I think it slackened in the pace and the story became less interesting and rather repetitive as a result. Also the film does have some cheesy and cringe-worthy dialogue especially in the one-liners, Reed and Doom unfortunately getting the worst of the lot.However, as I've said, there are several improvements. First and foremost, Silver Surfer. Silver Surfer alone is a more interesting character than any of the characters in the first movie, with a great design and performed just as impressively by the talented Laurence Fishburne. The special effects are incredible and greater in scope than the first, and the scenery is beautifully realised and perfectly captured by the crisp photography. Doom while having some bad lines is more intriguing here and developed and incorporated much better, and Julian McMahon's performance is deliciously evil and camp. Tim Story's direction is much more assured this time round too, John Ottman's score fits better here as well and the overall is shorter and better rounded off with a more exciting and less long-winded climax. The acting in general has also improved, while they are still the weak links in the cast Ioan Gruffodd and Jessica Alba's chemistry feels more natural and both feel more relaxed in their roles too. Michael Chiklis acquits himself even better, and Chris Evans provides the film's most amusing moments.All in all, imperfect but improved sequel. 7/10 Bethany Cox",Fantastic 4 - Rise of the Silver Surfer
1,Leofwine_draca,"A simple kid's film, but still better than the first",3,14 July 2016,"I loathed the first FANTASTIC FOUR movie with a passion, so when I saw that this sequel was on TV I wasn't really considering watching it. In the event, nothing else was on, so I decided to give it a try. It was everything I expected, and nothing more.The best thing you can say about this film is that it's slightly better than the first. I find 'origin' stories long-winded and often boring, but that's not the case here. The film straight away gets on with the (slim) plot, so there's not a lot of time for boredom. However, there is a lot of silliness, mostly involving some excruciating CGI effects used to animate Ioan Gruffudd's stretchy arms and legs.Amid this kid's stuff, there's a very, very thin plot about the titular character, who flies around the world, causing disaster and making craters in the ground. After a couple of lacklustre set-pieces at the London Eye and Black Forest, there's an unsurprising twist, a briefly seen and rather ludicrous super-baddie (the size of a planet) and the unwelcome return of ultra-stiff actor Julian McMahon as the ludicrously named villain, Victor Von Doom.Gruffudd has the decency to look mildly embarrassed at all this, and Jessica Alba's acting is absolutely diabolical. Chris Evans is, once again, irritating, and only Michael Chiklis seems to be having fun as the guy made out of rock. The silver surfer is well animated (you can see that's where the money went), voiced by Laurence Fishburne and occasionally acted by the skinny guy in a suit Doug Jones (HELLBOY), but otherwise there's little of interest here for adults in what is definitely a kid's film.",Fantastic 4 - Rise of the Silver Surfer
2,SnoopyStyle,Better than the first,7,28 September 2013,"Mr. Fantastic/Reed Richards (Ioan Gruffudd), Invisible Woman/Sue Storm (Jessica Alba), Human Torch/Johnny Storm (Chris Evans), and The Thing/Ben Grimm (Michael Chiklis) make up the Fantastic 4. This time they are much more like a bickering family. Reed and Sue are getting married, but superhero stuff keep getting in the way. They introduce the mysterious character of the Silver Surfer, and Dr. Doom (Julian McMahon) is back causing problems.The best part of this movie is the family dynamics. They feel like a real family having family problems. They have much more chemistry this time around. The most fascinating must be the Silver Surfer. He's definitely the character with the most promise. But he's neither the good guy nor the bad guy. The moral ambiguity really muddies the waters. It's fascinating. The most disappointing must be Galactus. For a planet destroyer, the ending seems too tame. The final confrontation just wasn't special enough.",Fantastic 4 - Rise of the Silver Surfer
3,claudio_carvalho,The Planet Devourer,8,22 June 2007,"While Reed Richards (Ioan Gruffudd) and Susan Storm (Jessica Alba) are preparing to get married, a mysterious freezing phenomenon happens in a bay in Japan and in Egypt. The arrogant General Hager (Andre Braugher) meets Dr. Richards and he prepares a sensor to locate the source, and along his wedding, they disclose that the responsible is the alien Silver Surfer (Doug Jones). The despicable Victor Von Doom (Julian McMahon) joins Dr. Richards, Susan, Johnny Storm (Chris Evans) and Ben Grimm (Michael Chiklis) providing information about the Silver Surfer, and Dr. Richards develops a device to separate the Surfer from his board and source of power. Susan makes contact with the Silver Surfer and he reveals that his leader, the planet devourer Galactus, is following the beacon in his board and will destroy Earth. When Victor discloses his real evil intention, the Fantastic Four joins to the Silver Surfer to save Earth from the destruction.I am a big fan of this type of fantastic adventure and I totally disagree with the unfair reviews about this entertaining movie. The story is funny, full of action, the special effects are great, Victor Von Doom is a great villain and The Silver Surfer does not deserve his fate in the end. My vote is eight.Title (Brazil): Not Available",Fantastic 4 - Rise of the Silver Surfer
4,classicsoncall,"""I like the part where he knocks you on your a_ _ .""",7,7 October 2007,"I get a kick out of looking over the viewer comments on this film who make it sound like Galactus was actually IN this movie. The way Hollywood works, I wouldn't be surprised if the next FF picture got around to identifying that dust vortex as something or somebody else altogether. You see, all the right code words were used, 'destroyer of planets', 'devourer of worlds', etc., but when you come right down to it, you can only assume that it was Galactus that the Silver Surfer was the herald of. OK, OK, you know it and I know it, but let's wait and see if Galactus actually makes an appearance down the road.Speaking of that vortex, it looked an awful lot like the same kind of device that showed up in the Star Trek episode 'The Doomsday Machine' some forty years ago. It's the one in which Commodore Matt Decker uses a shuttle from the Enterprise to blow up an entity that was just as powerful as said Galactus was presumed to be. So take away points for non-originality there. What that leaves you with is a fairly entertaining super hero flick if you go in for that kind of stuff, but nothing in the way of epic story telling on a grand scale. The CGI guys got it down excellent though with the appearance of the Silver Surfer, couldn't have been better as far as capturing this viewer's expectation.You know what else bothers me - couldn't they give Dr. Doom a voice that befits his evil status? I know, getting James Earl Jones would have invited Darth Vader comparisons, but come on, he already dressed like Vader and walked like Vader, but he wasn't that duck. But geez, anytime the character spoke as Doom, he sounded like a wuss.Hey, did you notice that traveling zit on Jessica Alba's forehead? When Sue Storm is shown talking to Alicia (Kerry Washington) early in the story, she has a blemish above her right eye, but just before she makes it disappear, it's above her left eye. One of the better super powers on display here.OK, that last comment invites a neg from the FF4 die-hards, but I'm working on not much sleep here. I enjoyed the movie for what it was, but agree with a lot of posters on this forum that it could have been a whole lot more. As for Stan Lee, I think this was my favorite cameo.",Fantastic 4 - Rise of the Silver Surfer
5,gavin6942,"A Slight Dip From the First, But Still Good",6,9 May 2012,"The Fantastic Four learn that they are not the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.So, I overcame my dislike of the Fantastic Four in the first film, and now I am almost ready to overcome my stronger dislike of Silver Surfer. I think he is a terrible character, but this film really focused on the tragedy of the character, echoing the tragedy of Ben Grimm in the first film. Seeing him as all-powerful but lonely? A nice touch.The film also tends to focus on the Surfer almost too much. Too little shown? Galactus. His portrayal is something of a disappointment (though I am compassionate with why he ended up how he did). And also, why did Doom come back? I am glad he did, but he plays such a small, marginal role. Nothing gets fleshed out as far as it should.This movie demands a sequel, but it will probably never get one now that Marvel is devoting every new film to the Avengers story.",Fantastic 4 - Rise of the Silver Surfer
6,jboothmillard,4: Rise of the Silver Surfer,4,25 February 2010,"From director Tim Story (Barbershop), I saw that the review of this sequel being rated a little higher than the first film, which I did nearly enjoy, so I had to see the follow up. Basically after defeating Dr. Doom / Victor Von Doom (Premonition's Julian McMahon), the Fantastic Four are getting used to having their powers to save people, the Invisible Woman / Susan Storm (Jessica Alba) and Mr. Fantastic / Reed Richards (Ioan Gruffudd) are planning to get married, and the Human Torch / Johnny Storm (Chris Evans) and The Thing / Ben Grimm (Michael Chiklis) get on better. The only problem is, an evil creature from outer space called Galactus is planning Earth as its next target, and sends The Silver Surfer (Hellboy's Doug Jones, voiced by Laurence Fishburne) to start the plan. As the Fantastic Four try to catch the Surfer, and Johnny has gained some merging power from him, they find out that his powers come from the board he rides, which helps him to go through things and fly. The heroes find out, with a little help from Dr. Doom, that it is not the Surfer to be afraid of, it is the creature that sent him that is more dangerous. In the end, the Surfer sacrifices himself and his board to destroy Galactus, Johnny loses his merging thing, and Reed and Susan can get married, very quickly before having to save some people. Also starring The Last King of Scotland's Kerry Washington as Alicia Masters, Beau Garrett as Captain Raye, André Braugher as General Hager, Zach Grenier as Mr. Sherman / Rafke and a cameo from Marvel comics master Stan Lee as a Rejected Wedding Guest. Gruffudd's American accent is a little improved, The Thing's eye- brow is bigger, and the Silver Surfer is quite a cool double-sided character. As for the film itself, there is about the same amount of action as the predecessor, and the special effects are also the same quality, so it's not bad viewing. Okay!",Fantastic 4 - Rise of the Silver Surfer
7,Tweekums,Better than the first film,6,23 April 2010,"Having been disappointed with the first Fantastic Four I had fairly low expectations for this sequel, thankfully after a slightly weak start we got a better story where the stakes were higher and the action was more thrilling. While there is still a bit too much bickering between the four it seemed a bit toned down and was done in a more entertaining way. As a result of meeting the Silver Surfer every time Johnny Storm touches one of the other four he swaps powers with them, this leads to him almost preventing the others from rescuing people endangered when the London Eye is knocked off its axle when the surfer creates a mysterious hole in front of it which also drains the Thames. In their quest to stop the Surfer they are joined by Victor Von Doom who has returned after his defeat in the previous film, they don't trust him but with the world threatened they have little choice.This film was much stronger than the previous one; while we don't really learn enough about the Silver Surfer he made a better threat, largely because he wasn't motivated by greed or a quest for power. The best performance came from Andre Braugher who played General Hager, the man who brought in the Four and Doom to stop the Surfer. The returning cast members seemed to do a better job too although it probably helped that by now the characters are established so no time had to be wasted introducing them.",Fantastic 4 - Rise of the Silver Surfer
8,ma-cortes,Again our friends Super-heroes use their supernatural powers to battle Galactus and Doctor Doom,6,6 February 2009,"This exciting second part has again the extraordinary quartet taking on the threats to the world with his incredible force. It begins when occur weird events on faraway planets .Meanwhile our friends are living of comfortable manner, as Reed Richards(Ioan Gruffud) and Sue Storm(Jessica Alba) are planning to marry themselves. Mr Fantastic goes to a funny bachelor-party where uses dancing his ability to stretch his body to any shape . But a new dangers appear, as Galactus, an incredible space entity, he has decided that Earth is its next aim and sends Silver Surfer(Doug Jones with voice by Laurence Fishburne). Then the Fantantic four led by Mr Fantastic, the Invisible girl with telekinetic powers, the Human Torch, Johnny Storm(Chris Evans) spreading blazing balls and the super-strong rock hunk named Ben Grimm or Thing(Michael Chiklis and enamored to Alice Masters: Kerry Washington)fight against Silver Surfer, the Galactus's henchman. But again the dangerous enemy Doctor Victor Van Doom(Julian McMahon)is ready to return . The Four are the only ones along with the military(Andre Braugher,Beau Garret) can defeat Galactus, the worlds devourer.This spectacular comic-books movie contains fantasy, noisy action, humor,romance, thrills and is pretty bemusing. Breathtaking array of technical effects with impressive set pieces illuminate the 4 fantastic's full-blown adventures. The amazing plot is pure entertainment and correctly based on characters created by Jack Kirby and Stan Lee, as usual appears in a sympathetic cameo. Atmospheric and appropriate musical score, fitting to action by John Ottman. Overwhelming production design , though full of digital effects by Petruccelli. Colorful cinematography by Larry Blanford and rousing visual and special effects by Weta Digital.The motion picture is professionally directed by Tim Story(Barber Shop, Taxi), first part's director.There are several rumors a following with Silver Surfer as starring but is hard to tell if that will happen. The picture will like to Marvel heroes fans.",Fantastic 4 - Rise of the Silver Surfer
9,BA_Harrison,The Fair to Middling Four,5,14 October 2007,"The Fantastic Four return for more superhero silliness in yet another big-budget FX-laden movie from Marvel, which sees Sue Storm and Reed Richards preparing to tie the knot. But with a mysterious metallic dude known as The Silver Surfer, zipping around the world on his shiny surfboard making huge holes in the Earth (preparing it for consumption by Galactus, a planet-eating alien being), successfully making it down the aisle is more difficult than they had imagined.More tongue in cheek than many of today's crop of superhero films (The X-Men and Spiderman trilogies, Superman Returns), the Fantastic Four movies have the potential to be huge fun. But Rise of the Silver Surfer still manages to be a rather disappointing effort thanks to its lacklustre script which delivers little in the way of genuine excitement.For starters, far too much of the film's (rather short) running time is spent concentrating on the impending nuptials of Sue and Reed, rather than delivering impressive action set-pieces, and, since The Silver Surfer isn't out to directly hurt or attack the foursome, at no point do we feel like they are in any particular danger. In fact, the metallic menace cannot really even be considered a 'baddie' since all he is doing is preparing a snack for his boss (who looks nothing like his comic incarnationthe movie Galactus is a nothing but a swirling cloud).The cast are distinctly average, each playing their character with plenty of enthusiasm but very little depth. At least Ioan Gruffudd and Chris Evans look the part; Michael Chiklis as The Thing, however, looks rather rubbery, whilst Jessica Alba is the least convincing due to the fact that a Latino actress with blonde hair and blue contacts just looks daft.As for the much heralded Silver Surfer, he is no more impressive than the T-1000 from Terminator 2 which James Cameron gave us over fifteen years ago. So much for advances in technology.As a mindless piece of popcorn entertainment, Rise of the Silver Surfer is just about passable; as a big-budget summer blockbuster, it falls a long way short.",Fantastic 4 - Rise of the Silver Surfer
