,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,"hated Dennis Miller, David Spade alright",5,2 September 2014,"Joe Dirt (David Spade) is a dirty janitor working in a Hollywood radio station. DJ Zander Kelly (Dennis Miller) interviews him for his show. Joe starts recalling his life since being lost at the Grand Canyon at the age of 8 (Erik Per Sullivan). He helps country girl Brandy (Brittany Daniel) get her dog's frozen balls off the porch. They become best of friends but he eventually leaves to search for his family. He befriends a soft spoken Indian Kicking Wing (Adam Beach). As a carnie, he catches the eye of trashy Jill (Jaime Pressly).I really hated Dennis Miller in this. I can't stand him and his fake radio show. It puts me off the movie right away. David Spade is somewhat likable. He's not really funny but he has some marginal charm. I would rather have just a straight up Joe Dirt adventure with his girl Brandy and sidekick Kicking Wing.",Joe Dirt
1,ccthemovieman-1,Ya Gotta Love 'Joe Dirt',8,10 July 2006,"For a typical low-brained Hollywood comedy of this era, it was a pretty nice film. Of course, few if any modern-day comedies are ""family fare"" and this one isn't either but the lead character is a gentle, harmless guy. David Spade is very entertaining as ""Joe Dirt,"" a down-and-out nice guy (but not exactly pure, either) who tells his tale of trying to find his parents to sleazy disc jockey ""Zander Kelly"" (Dennis Miller). Brittany Daniel is an attractive, likable female lead.It's a fast-moving hour-and-a-half. Some of the scenes are outrageous, such as a dog getting his - can I say this? - testicles stuck to the porch. Yes, it's good family fare!! Ha. Ha. No, really, this was a funny film and worth looking for if you need a laugh. I'm surprised there wasn't a sequel.",Joe Dirt
2,Quinoa1984,It has some very nice and funny moments,5,12 April 2001,"David Spade plays the hero of Joe Dirt in Joe Dirt as a white trash guy so white trash he has a white trash beard.  His saga has him on a radio show with Sir Dennis Miller, as he tells his story of how he was lost at the grand canyon at 8, and has spent his whole life looking for his parents. 
The film is sporadically funny with Spade in fine form, even if the film at times is not as funny as it is overly-dumb.  Still, there are the moments, in particular with every scene with Miller, Kid Rock (even if he might be a tad overrated) and Christopher Walken who gives the film it's best lines. Another nice thing by the way, the film has heart, which not too many SNL films have.  B",Joe Dirt
3,bevo-13678,Oi,10,15 June 2020,Easily one of the best mullets you will ever see my friend.,Joe Dirt
4,zardoz-13,"""Joe Dirt"" rises among the sod!",8,11 July 2007,"Nice guys finish first in ""Joe Dirt."" This lowbrow, redneck, laugh fest grounds itself in the rude, crude, lewd, bowel movement-oriented gross-out gags of comedian Adam Sandler. Not surprisingly, Sandler's production company 'Happy Madison,' which also made ""Deuce Bigelow: Male Gigolo,"" produced ""Joe Dirt."" Predictably, ""Joe Dirt"" (*** out of ****) appeals to the mentality of an 8-year old in its fixation with all kinds of fecal matter, fart jokes , and big-breasted babes. Strictly speaking, guys more than gals will guffaw at the juvenile escapades of our eponymous character. Although scatological humor dominates this picaresque tale about our thirty something protagonist's search for the ungrateful parents who abandoned him at age 8 at the Grand Canyon, David Spade's sympathetic but half- witted hillbilly hero towers memorably above those lowest-common-denominator-jests. Aside from Dennis Miller's hilarious but obnoxious jeers at Joe's appearance and pedigree, ""Joe Dirt"" shuns mean-spirited melodramatics and contents itself with showing how our resilient hero bounces back from more hurts than anybody should have to endure.Unlike many ""Saturday Night Live"" TV spin-off features, freshman director Dennie Gordon's ""Joe Dirt"" succeeds because the David Spade & Fred Wolf screenplay features an actual story. Moreover, instead of making the jokes as he has done in the past, David Spade becomes the butt of all the jokes. Everybody slings mud at Joe Dirt. Spade's character resembles Buster Keaton caught in an Adam Sandler comedy playing Rob Schneider pranks. Rarely does anybody get Joe Dirt's goat because he acts so incredibly ignorant that he doesn't know when somebody has been done him dirty. Our underdog hero displays so much heart you can't help but like him. You'll understand when you get a glimpse at this mullet-headed misfit. His mendacious mom made him wear a rock'n roll star's wig because she told him he lost the top of his skull at birth! ""So, you dig looking like Jane Fonda in 'Klute?'"" one of Joe's callous critics ridicules him. Joe sports pork chop sideburns and reads Auto Trader magazine as if it were Playboy. He dresses tattered, acid-washed jeans and rock group T-shirts, and drives a 1970's pathetic puke-yellow Barracuda with a chain steering wheel and a footprint gas pedal. Predictably, clouds of oily white smoke belch from his ride's tailpipe. Basically, Joe is blue-collar material, the world's worst loser who triumphs against all odds in the end. He lives by a simple philosophy: ""all I have to do is keep being a good person and good things will come my way.""Joe is mopping floors at Los Angeles radio station KXLA where Howard Stern-style shock jock Zander Kelly (Dennis Miller of ""Bordello of Blood"") works when one of his producers spots Joe. No sooner has Zander seen and heard Joe than he invites him as a guest on his show. During next four days, Joe recounts the events that brought him to Los Angeles while enduring Kelly's worse jibes. After Joe's parents abandon him in a trash can at the Grand Canyon in 1975, our hero lives by his wits in the woods until a beautiful country girl, Brandy (Brittany Daniel of ""Basketball Diaries"") befriends him. Their meeting occurs under the oddest circumstances, one evening when Joe finds her dog has somehow gotten his testicles frozen to her porch. Every time the poor critter moves, his scrotum stretches like taffy while his testicles remain stuck to the porch. Joe uses warm water and a spatula to free the grateful dog. Naturally, Brandy rewards him, and the two become close friends. Meanwhile, a local bully, Robby (Kid Rock), who drives a Trans-Am, and Brandy's own redneck papa (Joe Don Baker of ""Walking Tall"") do everything to run Joe off. After Brandy's worthless father shoots her dog, Joe decides it's time to begin his search for his parents. He drives off with the dog's ashes in an urn suspended from the inside rear-view mirror of his car.Along the road to L.A., Joe encounters a variety of eccentric characters. He discovers a la George Romeo's 1982 ""Creepshow"" what he believes is a flaming meteor. Instead, he learns it is large heap of frozen waste matter from a jetliner. The scenes of Joe hauling the alleged meteor around in a little red wagon are hilarious because we believe it is a meteor, too, until a pawnshop owner points out the peanut. Later, Joe meets Kicking Wing (Adam Beach of ""Mystery, Alaska""), an American Indian who sells only sparklers. Joe wants to hire him to track down his folks. At the same time, he convinces Kicking Wing to expand his fireworks business and sell more than sparklers. The highlight of their exploits involves an atomic bomb they think they have found that turns out to be a septic tank. Inevitably, Joe gets drenched with sewage. In another sidesplitting scene, Joe stumbles on to a ""Silence of the Lambs"" Buffalo Bob wannabe serial killer (Brian Thompson of ""Sudden Impact"") and runs into a janitor (Christopher Walken of ""Sleepy Hollow"") in the Witness Protection Program. Probably the best computer-generated graphics appear in the vignette at Rosanna Arquette's alligator farm. Joe sticks his head into a gator's jaws and gets all shook up for a crowd of tourists.Veteran TV director Dennie Gordon of ""Ally McBeal"" and ""Nash Bridges,"" strings this anthology of antics together and miraculously manages to make it work. Gordon knows when to resort to crude jokes and when to focus on Joe's underdog status, and she gets the most out of the least. Other amusing tidbits of Joe Dirt's philosophy that stick are ""Life is a garden, dig it."" Although Joe shares obstacles similar to Forrest's, he isn't really on the same wavelength. One thing nobody can complain about is the collection of classic rock songs that make the soundtrack. If a soundtrack were ever worth buying, the ""Joe Dirt"" is. Meanwhile, don't believe the snotty critics who are shoveling manure on this merry little movie, ""Joe Dirt"" rises among the sod.",Joe Dirt
5,view_and_review,Joe Dirt: King of the mullets,8,25 January 2007,"I just happened to catch this movie on television while visiting my dad. I wasn't watching for any other reason than it was on. I was quickly engrossed in the movie... it was hilarious. I know that some of the humor, if not all of the humor, was a bit juvenile and sophomoric, but I found it amazingly funny.Joe Dirt is a poor, dumb, southern hick with a permanent mullet sewn into his skull because he was born with no scalp... priceless!! David Spade plays the lovable loser whose sole goal the entire movie is to find his parents. On his journey to find his parents he goes through one comical ordeal after another. Even though David Spade is amusing anyway, this movie could have been just as funny with someone else playing the lead; it was that hilarious.This movie really takes a shot at rednecks and trailer trash. Of course there is some cliché and stereotypical stuff in there as can be expected, but it was done in a way to keep you laughing.",Joe Dirt
6,anaconda-40658,Dirt is the Correct Word.,1,3 June 2015,"Joe Dirt (2001): Dir: Dennie Gordon / Cast: David Spade, Dennis Miller, Christopher Walken, Rosanna Arquette, Kid Rock: Joe Dirt proudly wheels a meteor down the street on a wagon. While eating his lunch on top of it, he makes ownership promises unaware that his suppose discovery is a large chunk of toilet waste. He is a white trash janitor abandoned by his parents and tells his story via radio. Director Dennie Gordon shows little promise as one idiotic scene follows another. Joe eventually finds his parents and discovers that they knew what viewers were aware of from the get go. David Spade is totally unsympathetic. Joe Dirt is even dumber than the poop scooping moron he played in Lost and Found. As a radio personality Dennis Miller appears anxious for Spade to say something remotely intelligent. Christopher Walken has the thankless role as a janitor in hiding. He should go into hiding after agreeing to be part of this junk. Rosanna Arquette appears at an alligator farm. Crude moments include dog testicles frozen to a patio. Kid Rock puts down his guitar to give us perhaps his biggest career blunder in appearing in what comes off as a really bad joke at his expense. Spade gets drenched in sewage, which is exactly where the film should be. Finally we are given a sex scene where he screams out, ""Sister!"" While locations are innovative, the witless screenplay lurks in the gutter. Better yet, dirt. Score: 1 / 10",Joe Dirt
7,elo-equipamentos,Cutting-edge comedy with keen originality !!!,7,8 September 2020,"I shall not be hypocrite, these movies weren't my field of interest, but somehow Dirty Joe goes beyond of a simple teen comedy, it's fresh and original, it's a fact, thereby it catchs me, a little boy who lost your parents during a tourist travel at Grand Canyon sounds silly, but in your searching for them never stop, when he has an opportunity to telling his odd story broadcasting by a Los Angeles radio draw attention of the whole country, along his journey he meets with colorful and weird characters, the native Indian Kicking Wind, the mobster Clem, the rapist Buffalo Bob and his first love Brandy, many smart gags comes over, some of sexual nature, suggesting that him really was sexually abused by Buffalo Bob, or about being a queer guy, just kidding he really is straight, although rising some nasty comments, otherwise it won't enough funny, as a hard fan of Def Leppard exposes a rock vein, that were suggested in many scenes as AC/DC, Van Halen, Lynyrd Skynyrd just named a few, connected with a fine soundtrack with rock oriented helps too much, between many silliness stand out a cutting-edge comedy, for all ages by the way!!Resume:
First watch: 2003 / How many: 1 / Source: Cable TV-DVD / Rating: 7",Joe Dirt
8,StevePulaski,"Can't recommend the picture solely on the hairstyle, so...",3,27 May 2012,"The Happy Madison formula is one I am growing to wholeheartedly detest. It is becoming so much of a muchness I begin to dub their films as ""anti-character studies,"" meaning they always focus on such a degenerate of a human that it becomes impossible to laugh at them during their misfortunes. Happy Gilmore, I felt toyed with, given a character who screams and yells and is clearly in need of some mental help, and felt like I was a bully laughing at a character who wasn't all there. Bucky Larson: Born to Be a Star left me disgusted that such an inhumane, inept, and socially unacceptable character had gotten his own feature length film and was doing things that didn't constitute for human on any social level to laugh at, that I nearly lost all faith that a good movie could ever be made by anyone even involved in the film. And as for The Waterboy, all I can say the character was easily the most unlikable of the unlikable for that year.Joe Dirt is more of the same formula, only manipulated slightly. Construct a character, ugly, indecent, and such an easy target for bullying and make him the lead character in a comedy so we can follow him along on one contrivance after another just to watch the poor sap become the butt of every joke. The manipulation of the Madison formula comes stems from the Joe Dirt character himself, who is mildly likable for one reason; he is not abusive, violent, or incorrigible. He has been given every form of hell, that his way of closure is just peacefulness and passiveness. He can actually be a fairly suitable misfit role model for Bucky, Happy, and the Waterboy, although that may be pushing it.But on with the movie; David Spade is Joe Dirt, in an unfortunate role after two hilarious ones in both Black Sheep and Tommy Boy. He is the hardcore, outrageous, mullet-headed (it's a wig by the way, since apparently he was born with a cracked skull) dolt who works as a custodian for an LA radio station, and resides in the luxurious boiler room of the joint. In a spur of the moment decision, Joe Dirt is forced to join the verbally abusive shock-jock Zander Kelly (Miller) on the radio (the character seems to have picked up David Spade's smart-ass qualities from Tommy Boy pretty well), where he is forced into talking about his life over the course of the next few days live on air.So we are presented with flashbacks with occasional interruptions of Dirt's childhood, where he was abandoned at the Grand Canyon by his parents, when he met the most beautiful girl in the world (Daniel) and her mean-spirited boyfriend (Kid Rock), along with trying to cope in a world where he is unwanted.The audience can vaguely side with the man because he is one of the few Happy Madison anti-character studies that doesn't make humor out of the character bringing things on himself. Instead, it focuses on the idiotic things the character says throughout the picture as a means to act tough and make humor out of the contentious interactions he has with others. He is an inept idiot, and one that confuses the audience. This is where the paradox of Madison films comes to life; we are supposed to root for this character during oppressive times, yet laugh when he is made fun of.David Spade is fine as the character, sometimes but rarely striking any laughs, and the atmosphere is muggy and brutal, like in many Sandler films. Sandler is not in the film, but has a producer's credit on it, and many of his regulars like Allen Covert and Kevin Nealon make quick appearances in, so the film replicates the close to home feeling they always have.I suppose if you have liked previous Sandler features, you're likely to enjoy this one. The main problem with Joe Dirt is, like its character, it is so desperate for attention that it will go to great lengths to achieve it, never erecting some form of credible discipline. The script becomes monotonous, as the character collides and travels down the long, straight road to the next comedy setup, the jokes are mild, unoffensive, and muted because of the rating, and Spade's performance is less than commendable. Although I wouldn't mind seeing that hairstyle again.Starring: David Spade, Dennis Miller, Brittany Daniel, Kid Rock, Allen Covert, Kevin Nealon, and Christopher Walken. Directed by: Dennis Gordon.",Joe Dirt
9,=G=,Awful.,4,29 August 2001,"In ""Joe Dirt"", Spade appears to be trying to create a loveable loser folk hero while telling of the character's odyssey-like search for his parents in a radio interview conducted by Dennis Miller. An unfortunate make-it-up-as-you-go junk comedy, ""Joe Dirt"" is sorely bereft of creativity and humor and wears itself out early on with nary a LOL to be found. Recommended only for die-hard Spade fans...if there is such a thing.",Joe Dirt
