,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Woodyanders,Stark portrait of one very bad man,8,16 November 2021,"New York homicide investigators undercover a slew of videocassettes at an old abandoned house in Poughkeepsie, New York. Said tapes depict the heinous exploits of cunning, evasive, and sadistic serial killer Edward Carver (a frighteningly convincing portrayal by Ben Messmer).Writer/director John Eric Dowdle ingeniously utilizes a deliberately rough around the edges pseudo documentary style complete with interviews with various relatives and law enforcers, a few dramatic reenactments, and degraded VHS footage of the psycho's horrible acts that works like gangbusters when it comes to creating and sustaining a deeply creepy and disturbing mood.Moreover, the unflinchingly dark, grim, and nihilistic tone along with the fact that the killer is till at large at the end gives this picture an extra chilling edge. Stacy Chbosky contributes a stand-out turn as abducted teen and lone survivor Cheryl Dempsey. A very potent and upsetting film.",The Poughkeepsie Tapes
1,BA_Harrison,I wanted to believe,5,9 July 2016,"The Poughkeepsie Tapes is a faux documentary featuring found footage of a serial killer's handiwork. Through interviews with FBI profilers, the police, and the families and friends of the victims, and with excerpts from the murderer's videotapes (horribly distorted imagery: next time, Mr. Killer, buy a better camera!), we learn how the murderer has successfully evaded capture.I've seen an awful lot of found-footage horror/pseudo-snuff in my time, some of which has achieved a level of realism that has bordered on the limits of what I will watch. But despite it's controversial reputation, I didn't find The Poughkeepsie Tapes in the least bit shocking, largely because at no point was I convinced that what I was watching was real.Some of the acting was very weak, which certainly didn't help (those girl scouts selling cookies were dreadful), but the main problems I had were with the killer, who wasn't in the least bit intimidating (his voice and ridiculous costumery were laughable), and the fact that no genuine documentary would ever show uncensored footage of dismembered victims, as this did.I wanted to believe and become fully immersed in the movie, but in the end I couldn't, and that seriously spoiled the experience.",The Poughkeepsie Tapes
2,michaelRokeefe,Engrossing and very disturbing.,8,4 February 2018,"Director John Erick Dowdle tracks a criminal from start to finish. A cunning serial killer (Ben Messmer) leaves a gruesome trail. Police storm an empty house in New York, but what they find is provoking. Hundreds of tapes are found and they provide an orderly arranged presentation of years worth of videotaped torture and murder. Brutal, horrific and gut twisting. It will not be hard to figure out why this film is rated R. May not be your cup of tea, but I sure got into it.The director helped his brother Drew Dowdle write. Atmosphere and special effects at time seems uneven, but believable. The cast includes: Stacy Chbosky, Samantha Robson, Ivar Brogger, Amy Lyndon, Lou George and Kim Kenny.",The Poughkeepsie Tapes
3,Hey_Sweden,It doesn't live up to the hype.,5,8 October 2021,"""The Poughkeepsie Tapes"" treads on very familiar ground for any movie watcher who's used to serial killer dramas. Functioning as a faux documentary, it relates the tale of a particularly odious monster, Edward Carver (Ben Messmer). Sadistic and creepy in the extreme, Edward has taken the time to document *practically every second* of the stalking, abduction, and torture of his victims. So investigators have had to go through tape after tape of some very sick stuff. We get to see how this crafty and slick psycho has managed to elude the authorities for a long time.The filmmaking Dowdle brothers make a serious effort at shocking and disturbing their viewers, but all of this may have had more impact if this viewer hadn't been somewhat inured to this sort of material over the years. The main problem is, this viewer was never convinced that he was watching something ""real"". Part of that is due to some very amateurish acting. And part of that is due to the fact that Messmer is not really successful at making his villain truly menacing in any way. One way that a viewer can tell this is fictional is the way that the Dowdles take the time to wallow in depravity and gore when an actual documentary would be more likely to exercise restraint rather than go for sensationalism.Despite the reputation of ""The Poughkeepsie Tapes"", it would ultimately be much more interesting - and genuinely disturbing - to watch or revisit ""Henry: Portrait of a Serial Killer"", the real high water mark as far as this kind of film goes.Five out of 10.",The Poughkeepsie Tapes
4,trashgang,disturbing lost flick,8,7 September 2015,"Another found-footage flick that people said, you must see it and I tried to track it down, for years. When it came out it vanished from the planet like nothing, it never had a proper release or was seen in the theaters. Strange things went on with this flick and even up to today it doesn't have a proper release, only available on VOD. So I thought yeah well, this is going to be a terrible flick if it didn't has a release but God was I wrong.Must say that I was warned that it was a disturbing flick and yes, it was. Always loved flicks about serial killers and this found footage is one with that theme. We do follow the cops trying to nail the killer and slowly we do see the video's the killer has left behind and it all starts so easy and low profile but towards the end it really get you by the throat. Even as it isn't that gory at all still the score used and the way it is filmed you will forget that you are watching a film. You are dragged into a documentary and into the sickness of a killer's mind.As strange as The Poughkeepsie Tapes is it is a gem. It was made a good two years before the receding tide of found footage flicks out now. Due to budget concerns they may have pulled the plug on the promising film. This is all really speculation, for there was never any public statements about the decision to not distribute the film. MGM still owns the rights, and other studios have offered to buy it. The hole might be dug too deep now, the film is possibly no longer culturally relevant for a theatrical release, and the studio may be hiding in the underbrush, waiting to pounce it on an unsuspecting public. The fear that is may get lost in the already crowded sea of found footage trash to sift out of Hollywood. A second release date was scheduled for January 2, 2009 but that date too faded into memory. A must see.Gore 1/5 Nudity 0/5 Effects 3/5 Story 4/5 Comedy 0/5",The Poughkeepsie Tapes
5,HumanoidOfFlesh,"Murder is clean in ""The Poughkeepsie Tapes"".",5,13 January 2009,"""The Poughkeepsie Tapes""-a faux documentary about the activities of the mixed serial killer from Poughkeepsie called The Waterstreet Butcher garnered tons of hype before its official release.The premise of the film is certainly interesting:the police raids a home of suspect and finds it empty aside from boxes of VHS tapes.On these video cassettes are hundreds of hours of footage recorded by a serial killer as he filmed the abductions,torture,murder and disposal of his victims.""The Poughkeepsie Tapes"" plays like a tame version of ""August Underground"" series.The amount of violence and terror is surprisingly minimal.What drags ""The Poughkeepsie Tapes"" down is truly horrible acting.The interviews with investigators(there is even laughable ""dismemberment expert"")are terrible as was the archive footage of court proceedings and press conferences.The killer is also ridiculous as he giggles and yells and acts more like a total buffoon.""The Poughkeepsie Tapes"" is not shocking or disturbing.The torture and murder scenes are usually off-screen and they lack a bite.If you want to see truly horrifying serial killer movie check out Austrian ""Angst"" from 1983.5 out of 10.",The Poughkeepsie Tapes
6,StevePulaski,Terrifyingly terrifying,9,2 June 2012,"I've been seeking a resource to watch The Poughkeepsie Tapes since I saw the original trailer in 2008. After that, no word was ever spoken about the film again. I heard of no release, no screenings, and no mainstream DVD. What happened? As of today, at least to me, it's all still a mystery. Finally, I have seen the film in its entirety, and I hesitate not to label it one of the creepiest faux documentaries I have yet to see.Found footage films are a dime a dozen, with already several released this year alone. They are an easy way to make a buck; shoot a film for no more than roughly five million dollars, and wind up making an explosive profit. It's as easy as that. Very few bring such motivation, confidence, and shining capabilities to screen, but The Poughkeepsie Tapes pleasingly differentiates itself from just another fake piece of work in the sea. Many found footage pictures today occupy a certain cinematic quality about them. Some of them, like the extraordinarily underwhelming Paranormal Activity 3, feel a tad too polished, and because of the extreme popularity of the franchise, seem to have taken a much more Hollywood route. The Poughkeepsie Tapes doesn't do that, and always remains in the field of campiness and believability.It centers around the humble town of Poughkeepsie, New York, where, after police raid a house in the city, a stash of over eight-hundred VHS tapes of grisly murders committed by a sadistic man behind the camera are found. They are greatly detailed, even with static in the background and color and audio distortion personifying such an effective state of realism that I am without words. I've raved about cinematography and atmosphere in films many, many times before, but here, it is beyond haunting. A work of photography and directorial skill of immense levels.We are presented with interviews of FBI officials, psychologists, police offers, victims' parents, and more. Every so often, the clips are punctuated by a videotape itself, showing one of the killers' acts of torment or assault. I was hauntingly reminded of August Underground, a dirty, degrading picture that showed two nameless characters running around going on a sick and unjustifiable murdering spree. The Poughkeepsie Tapes occupies more than just mindless snuff, but depth, efficient backstory, and impeccable detail in its photography, execution, and realism.Some of his first tapes show him praying on the innocuous and the vulnerable. One of those is Jennifer Gorman, an eight year old girl playing in her front yard with her dolls, who is beaten over the head and abducted by the killer. As time goes on, his killings expand to acts that had to have required planning, strategy, along with a touch of crazy. One of the victims we closely identify with goes by the name of Cheryl Dempsey, a teenage girl whom he kidnaps one night while she is alone with her boyfriend. She is abused sexually and physically, being kept in his basement, as well as being referred to as ""slave,"" which he continuously hammers into her head as her new name.As the film progresses, things become deeper, more intriguing, and inevitably, more and more consuming. Images and sequences increasingly become exceptionally haunting, some of them for some people could be scaring, and many are some of the finest work in the genre from the last decade. John Erik Dowdle has effectively created a brilliant horror gem, one of keen timing and direction, and one of style and detail that doesn't rely solely on loud, abrupt musical chords and cheap exploitative jump scares. It sets itself up to be an involving piece for those seeking one, and allows itself to be discussed long after the credits finish rolling. Stay after if you're interested in seeing one more terrifying shot.NOTE: For those interested in seeing the film in its entirety, the full film has been posted on Youtube in one convenient part, http://www.youtube.com/watch?v=NsuTTMiSScc Starring: Bobbi Sue Luther, Samantha Robson, Ivar Brogger, and Iris Bahr. Directed by: John Erik Dowdle.",The Poughkeepsie Tapes
7,KineticSeoul,If your into the horror found footage genre it's watchable,5,13 September 2016,"I remember this movie being advertised a long long time ago and wondered why it wasn't hitting theaters. With the success of the found footage genre when it comes to profit. They probably wanted to cash in, but they put some thought into this one. Not to say this has a lot of psychological depth or anything like that. But it does have that gritty and raw feel to it that was prevalent in the 80's. This is basically a fake found footage movie that goes is a sort of trippy and psychedelic direction when it comes to how it was shot. The routine torture and murder seemed to drag on and on and would have been somewhat effective if the acting was good. But you can clearly tell the actors were well...Acting. I know that sometimes the mystery adds to the fear effect, but a bit more psychological depth would have made it more effective. I mean this is a fake found footage and documentary about a serial killer and rapist. Who is crazy and yet very methodical and knows how to frame and clean up the evidence. I will say that when it delved into one of the victims Cheryl Dempsey's story-line it did get a bit interesting with the stockholm syndrome and all. The first hour was routine and tedious, however after a hour into the movie it does get a bit intriguing but it takes too long to get to that point. Overall, if you are into the horror genre it's watchable.5.5/10",The Poughkeepsie Tapes
8,Ed-Shullivan,Kudos to the director/producer for distributing a serial killer film done on a shoestring budget,6,12 February 2020,"Okay so this homemade small market film was written/directed and produced on a shoestring budget, and thus the results were not expected to be of epic proportions as the much bigger budget(s) of either The Silence of the Lambs (1991), and/or Hannibal (2001). Knowing in advance that the Poughkeepsie Tapes was produced and directed by independent film makers I wasn't expecting an Academy Award winning performance in the acting and/or the cinematography, but what I did get was an impressive enough THRILLER genre film which kept my interest sustained throughout.No doubt there are many areas of improvement that can be recommended for The Poughkeepsie Tapes, but not for the miniscule budget and short timeline (30 days?) that the film makers most likely had to work within. I am taking into consideration what others may have been able to accomplish with the same restrictions that this team had and I must say that I am impressed with their end result.I make no false claims as it is a grade B level film at best, but having said that I have watched a heck of a lot of films with 100-1,000 times larger budgets and timelines and with major Hollywood stars promoting their less than stellar films that were a lot worse than the Poughkeepsie Tapes.I have zero affiliation with the film makers so please do not assume I am providing a generous complimentary review as I am no more than an enthusiastic film lover of the Thriller/Serial Killer genre and if you are too than please appreciate this Grade B film for what is their end result on a shoestring budget and a 30 day timeline (I found this tidbit out by watching the writer/director extras included on the Blu Ray release)A decent 6 out of 10 rating",The Poughkeepsie Tapes
9,marmar-69780,the poughkeepsie tapes,8,24 May 2020,"The poughkeepsie tapes is one effective but also little disturbing film in which is shown how mind and brain of psychotic serial killer works and operates,i dont think that this film is one of best in its genre,mostly cause it didnt offered nothing new to genre and some scenes were just made to disturb people and for nothing else,but i will also say that to me some scenes were unsetteling and i found them to be chilling and effective,acting was fine for this kind of film,but it had some unconvincing moments also some plot points were to hollywood like and not like documentry type like rest of film was,poughkeepsie tapes was a fine horror with some disturbing staff",The Poughkeepsie Tapes
