,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,One of the finest and most true to life movies ever,10,6 February 2006,"I might consider putting this movie in my top 10 list of best movies. It's absolutely amazing that for his directorial debut, Robert Redford created such a masterpiece. Now it was not all due to him, as the story was so well-written and the acting is dead on for all the characters. Part of the reason I love it so much might be because I was a psychotherapist before becoming a school teacher (mid-life crisis, you know). And, having worked with dysfunctional families, this movie gets it right time and time again. Therapy is not a miracle cure that takes effect almost immediately (like in GOOD WILL HUNTING) and the parents BOTH have a strong role in keeping the family sickness alive. Donald Sutherland is the enabler who denies there is a problem--even after one son dies by accident and the other attempts suicide. He also cannot face that the family's dysfunction is mostly controlled and maintained by his very disturbed wife, played wonderfully by Mary Tyler Moore. She is not mentally ill but has a very sick personality, as she is cold as ice emotionally and deals with problems through massive amounts of denial as well as stuffing her anger WAY down deep. Timothy Hutton is, despite his being the patient, the healthiest one in the family, as his suicide attempt is a strong cry for help. Finally, Judd Hirsch plays the therapist--and one of the most realistically portrayed therapists on film. He has no miracle cure but tries his best to get Hutton, and later Sutherland, to work hard at uncovering their dysfunction. Again and again and again, the viewer is rewarded by a brutally honest script that is about people who would be real--not Hollywood's idea of ""people"". The film is neither manipulative nor condescending--this is the way more films SHOULD be.In addition, as I have watched the film several times, I keep noticing just how perfect the direction was. How wonderfully framed the shots were, how wonderfully the music fit in and how unflinching the movie dealt with pain. In particular, I love the scene with Sutherland at the psychiatrist's office as he talks about his marriage....and his eyes keep looking away and avoiding the doctor as he says how much he loves her. And the great Christmas photo scene--it just screams out ""this is real!!"". For this to be Robert Redford's directorial debut is absolutely amazing and he surely earned that Best Director Oscar.FYI--although this movie is rated R, it is only for language. There are a few REALLY CHOICE WORDS used here and there, but otherwise this is a great movie for teens. If filmed today, this would no doubt be a PG-13 film. I am a very conservative parent, and yet I found this to be totally acceptable for my 15 year-old. It's a great film to watch WITH your kids and discuss what you see.I cannot recommend a film more highly.",Ordinary People
1,TheLittleSongbird,Incredibly moving and beautifully acted,10,5 June 2011,"1980 saw the release of what I consider three masterpieces, Raging Bull, The Elephant Man and this film. Ordinary People I have seen people trash as the movie that beat Raging Bull, though not as vehemently as that of Shakespeare in Love vs. Saving Private Ryan(disagree with the hate), The English Patient vs Fargo(also disagree) and Crash vs. Brokeback Mountain(disliked the former, adore the latter, so I agree). Okay, Raging Bull is a wonderful movie, but so is Ordinary People.Why do I love Ordinary People? Well it is a very moving film. It deals very diligently and intelligently with its subject matter, and when I saw it with my parents first time none of us were dry-eyed at the film's end. It is stunningly filmed, is beautifully scripted and Robert Redford in his directorial debut directs very promisingly. The story is always interesting and believable, and while the film is quite leisurely because of the impact, how the characters are written and how good the acting is I never find it dull.The characters are engaging and I do care for them. Mary Tyler Moore's character is more highly strung than a piano wire and she is a bit of a bitch too, but Moore's performance is so exceptional here you do empathise with her too. Both Donald Sutherland(as the character I personally sympathise with most) and Timothy Hutton are perfect in their roles as well. In conclusion, moving and acted to perfection, while not my immediate Best Picture winner that year perhaps it is a deserving one in my opinion. 10/10 Bethany Cox",Ordinary People
2,bkoganbing,Meet The Jarretts,10,21 January 2009,"At first glance the Jarrett family from a wealthy Chicago suburb seem to have the American dream realized. But a boating accident that took the life of the oldest of Donald Sutherland and Mary Tyler Moore's two boys has brought out a few monsters from everybody's Id in the family that remains. The most obvious manifestation is younger son Timothy Hutton's suicide attempt. He's know back in his posh suburban high school trying to adjust, but getting little support from home, especially from mom.Mary's in complete denial, she's one strange bird in this one, determined not to let any tragedy spoil her well ordered country club existence. Hutton's inability to cope is a reminder of something she's just put away. Sutherland's a decent man who with job responsibilities just can't deal with either wife or son.Trying to straighten it all out, especially Hutton is psychiatrist Judd Hirsch in what is probably his best big screen role. At the end of Ordinary People, some things are resolved, but the future for the Jarrett family is not a happily ever after one assured.Ordinary People got the big prizes, Best Film, Best Director for Robert Redford who really gets deep into the psyches of the Jarrett family and best adapted screenplay. Mary Tyler Moore lost for Best Actress to the Coalminer's Daughter, Sissy Spacek.Both Timothy Hutton and Judd Hirsch were nominated for Best Supporting Actor and usually that means they cancel each other out in the voting. But not this time, Hutton won the award. That's a shame in the sense that the key scene of the film is his breakdown and Hirsch's breakthrough with him after another tragedy befalls a female friend of Hutton's. The two of them are both so good in this that it's a shame that only one could win. A joint award in this case would have been in order.Ordinary People is a riveting psychodrama about the hidden things we suppress. Drama does not get better than Ordinary People.",Ordinary People
3,SnoopyStyle,compelling performance of compelling character,8,28 October 2015,"The Jarretts are a well-off family in suburban Chicago. Only son Conrad (Timothy Hutton) is struggling and sees psychiatrist Dr. Berger (Judd Hirsch). His older brother Buck died in a sailing accident. His parents Calvin (Donald Sutherland) and Beth (Mary Tyler Moore) don't talk about it or anything of deep substance. Conrad starts dating fellow student Jeannine Pratt (Elizabeth McGovern) and quits competitive swimming.Timothy Hutton delivers a compelling performance for his demanding character. This is all about the secret and the rolling revelation. Unlike other movies, it isn't too cute with it. It's hidden for a reason. It fits the characters. They can hardly say his name out loud. It's a bit slow in the first half but it's never boring. As Conrad breaks down, the movie goes to another level. It's a skilled debut for Robert Redford as the director.",Ordinary People
4,Kirpianuscus,great work,10,21 April 2016,"it is one of my favorite films. for its honest portrait of a family's crisis. for the high performances. for the exploration of confuse universe of a teenager. for the wise manner to define the need to be yourself. and for its message. a film about life who could be sentimental or bitter. it is only honest. like a testimony about choices, words, secrets and need of the other. about selfish and courage to see the other. Robert Redford does a brilliant job. and that is the axis for a drama who seems special for using a large category of crisis. because it suggest more than propose. because it not gives answers but few questions. Conrad of Timoty Hutton is one of characters who discovers many hidden aspects of the viewer's life. to suggest is the key of its strange beauty. and the precise construction of each scene. a film about solitude and guilty and truth. remarkable altogether.",Ordinary People
5,Prismark10,Pulling through,8,28 May 2016,"Ordinary People is an ironic title. The main players are far from ordinary, suffering a trauma of the death of the eldest child in a sailing accident. They also are what could be termed middle class, even upper middle class but not ordinary.Ordinary People was the directorial debut of superstar actor Robert Redford who makes a small, intimate, unflashy picture with his main strengths being the acting from its cast.Conrad Jarrett (Timothy Hutton) feels guilty about his brother's death because he survived the incident and Buck did not. He attempts to commit suicide which has led to an extended stay in hospital.Returning home he is trying to rebuild his life. His father Cal (Donald Sutherland) is understanding, patient and wants him to continue his recovery by seeing a psychiatrist. His mother Beth (Mary Tyler Moore) loved her eldest son but seems cold and distant when it comes to Conrad. She wants life to carry on as before and for Conrad to get over it. Conrad arranges to see Dr Berger (Judd Hirsch) who helps Conrad and in due course even his father also goes to see Dr Berger as well.At the time the subject matter was not something that was intelligently dealt with in mainstream movies. Now it is a common television of the week subject matter.The film delves into Conrad's psyche. A precocious teenager who is lost. One friend he knew from hospital and who seems to be pulling through later dies. Eventually it is Dr Berger who gets through to him and it is his father's understanding he comes to appreciate.The film also examines Cal and Beth. Parents who have lost a child, nearly lost another and their differing ways in dealing with this. Redford confounds the audience by making the mother brittle and aloof. Tyler-Moore known for comedies pulls out a character that is all too real. She is a strong and determined woman and yet behind it all hiding her pain, putting a brave face to the world and wondering why the others could not do the same. She was nominated for a best actress Oscar.Sutherland failed to be nominated for his perceptive and kind father, he provides the warmth that Conrad needs and he also realises at the end that he and Beth are over.Ordinary People won the Oscar for Best Picture and Best Director for Redford. It beat the more flashy and controversial Raging Bull which came to be regarded as the best film of the 1980s. Timothy Hutton who had the lion's share of the film won the Best Supporting Actor Oscar. A cynical move to shield him from the Best Actor category as the producers knew he would be no match that year from the Robert De Niro avalanche.Ordinary People is an examination of middle class mores and middle class life in crisis in late 1970s/early 1980s America.",Ordinary People
6,claudio_carvalho,Powerful and Heartbreaking Drama,8,27 July 2015,"In Illinois, the upper-middle-class family Jarrett is living a trauma in their lives, with the loss of their beloved son Buck followed by the attempt of suicide of his younger brother Conrad (Timothy Hutton). Conrad's father Calvin (Donald Sutherland) is a good man of few words and his mother Beth (Mary Tyler Moore) is a cold-hearted woman that loved Buck and has always been bitter and never supported Conrad, who is under therapy with Dr. Berger (Judd Hirsch). The greatest concern of Beth is to live her perfect life, denying affection to her son. Conrad blames himself for the death of his brother since they were sailing in a bad weather and when one string jammed in the block, he was not able to release it, capsizing the boat. Conrad has difficulties to reestablish his relationship with his friend and quits the swimming team of his school.When Conrad meets Karen (Dinah Manoff), who was interned with him in the same psychiatric clinic also for attempt suicide, he feels better. And when he dates the gorgeous student from the choir Jeannine (Elizabeth McGovern), he begins to see the world with other eyes. But his problem of relationship with his mother associated to the death of Karen, who committed suicide, brings him back to the rock bottom and he runs to meet Dr. Berger. Will the psychiatrist succeed in helping Conrad? ""Ordinary People"" is a powerful and heartbreaking drama, one of the best American dramas from the 80's. This film is also a milestone in the career of Robert Redford since it is his directorial debut. ""Ordinary People"" has top-notch direction and performances; the screenplay is very well-written with powerful lines. The timeless story is well-resolved with the realistic decision of the shattered Jarrett family. My vote is eight.Title (Brazil): ""Gente Como a Gente"" (""People Like Us"")",Ordinary People
7,gavin6942,A Bit Dry,6,4 August 2015,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.Robert Redford and Timothy Hutton both won Academy Awards for their respective debuts: Redford as Best Director and Hutton, in his first film (he had previously appeared on television), as Best Supporting Actor. The film marked Mary Tyler Moore's career breakout from the personality of her other two famous roles as Laura Petrie on The Dick Van Dyke Show and Mary Richards on The Mary Tyler Moore Show. Moore's complex performance was well-received and obtained a nomination for Best Actress. The film also won Best Picture for 1980.Roger Ebert gave it four stars, calling it ""one of the year's best films, probably of the decade"" and later named it the fifth best film of the year 1980. Gene Siskel likewise ranked it the second best film of 1980. Both of them ended up giving ""Raging Bull"" a higher slot on the year's list, which is probably correct. The movie is a bit dry, and maybe does not age as well as it could.",Ordinary People
8,jboothmillard,Ordinary People,7,5 September 2013,"I had a heard a little about this film before reading it in the book of 1001 Movies You Must See Before You Die, mainly that this was directorial debut from actor Robert Redford (Quiz Show, The Legend of Bagger Vance), and he won the Oscar and Golden Globe for Best Director, and it won Best Picture as well, so I had to see if it was deserved. Basically upper middle class suburban Chicago family the Jarretts are trying to return to normal life following the death of teenage son Jordan 'Buck'(Scott Doebler) in a boating accident, and shortly after this his brother Conrad (Oscar and twice Golden Globe winning, and BAFTA nominated Timothy Hutton) attempted to commit suicide and spent four months in an psychiatric hospital. Conrad has returned to high school and senior year, he tries partaking in activities such as swimming and choir, but feeling alienated by lively but awkward father Calvin (Golden Globe nominated Donald Sutherland) and denying and secretly cold mother Beth (Golden Globe winning, and Oscar and BAFTA nominated Mary Tyler Moore) he restarts psychiatric therapy outside the hospital with Dr. Tyrone Berger (Oscar and Golden Globe nominated Judd Hirsch). Calvin tries a few attempts to connect with his surviving son, while Beth tries to stay composed in order to maintain perfection and normality for the family, and Conrad, going through unorthodox session with Dr. Berger still finds difficulty communicating with his parents, but he starts dating fellow student Jeannine Pratt (Elizabeth McGovern) who gives him optimism. Conrad and mother Beth often argue, and Calvin in the heat of the moment often takes sides with his son, but discovering his after school psychiatric session an argument becomes very heated, and later taking a trip to Houston an argument ignites between Beth and Calvin, he has a rage, and she explains feeling repressed. Conrad has a breakdown when he finds out fellow psychiatric hospital friend Karen Aldrich (Dinah Manoff) has committed suicide, but a breakthrough session with Dr. Berger helps him to stop blaming himself for the death of Buck, as he was there with him, and in the end Beth leaves home following a last emotional talk with her husband, so Calvin and Conrad cope with their new situation and try to connect at last. Also starring M. Emmet Walsh as Coach Salan, Fredric Lehne as Joe Lazenby, James B. Sikking as Ray, Basil Hoffman as Sloan, Quinn K. Redeker as Ward, Mariclare Costello as Audrey, Meg Mundy as Grandmother and Independence Day's Adam Baldwin as Stillman (no relation to Alec, Stephen or the others). Tyler Moore gives a great performance as the elegant woman socialising and putting on a smile but is actually suffering within, Sutherland is interesting as the father who is cheerful but perhaps equally stressed, Hutton is deserving of his accolade being the distressed teenager trying to feel loved and make sense of where he is going in life, and Hirsch is likable as the psychiatric doctor with unusual methods to get into the mindset of his patient and bring out true feelings. When I know films like The Elephant Man and Raging Bull were released the same year during Oscar season, I question the wins for Best Picture and Best Director, but I can understand why they went to this film, it is scripted well and has the right level of emotion and poignancy to tell a story based on therapy and life following tragedy, a most watchable drama. It won the Oscar for Best Writing, Screenplay Based on Material from Another Medium, and it won the Golden Globe for Best Motion Picture - Drama, and it was nominated for Best Screenplay. Very good!",Ordinary People
9,moonspinner55,Compelling if occasionally overwrought...,7,14 May 2006,"Robert Redford won the Best Director Oscar for helming this proficient melodrama about an upper-crust suburban family hit with tragedy: the eldest child, a golden boy, drowned in a freak boating accident, after which his younger brother (who survived the wreck) made a serious attempt at suicide after being overcome with feelings of guilt. Adaptation of Judith Guest's novel is heavy with overripe dialogue that portends to have the ring of truth. Redford seems determined not to let this scenario turn into a dirge, and so adds glimmers of humor, but occasionally he gets too colorful (as when Timothy Hutton, who wins a date with Elizabeth McGovern, smiles and sings ""Hallelujah!""--that's cute, but then he continues singing it until the joke loses its freshness). As the parents, Donald Sutherland and Mary Tyler Moore are less interesting than the younger players in the cast; Moore, working a convincingly immobile persona, has some of the weakest scenes, and her society maven doesn't end up making emotional or logical sense (particularly at the finish). Judd Hirsch plays one of the those touchy-feely movie psychiatrists who always wake up in the middle of the night for a crisis, though the majority of Hutton's scenes are bracing and natural, and perky McGovern has a sweetness that isn't forced. Handsome film is well-paced, yet it has confusing and/or anticlimactic passages, and the final scenes don't work. Hutton was also awarded an Oscar for Best Supporting Actor, and the film won as Best Picture. *** from ****",Ordinary People
