,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Brilliant idea and great idea, but a classic example of the first half being much better than the second",5,17 December 2011,"What drew me into seeing Hancock in the first place was its idea, which I found one of the most interesting for a film in a while. I am in all honesty not a big fan of Will Smith, but he has given some solid performances so I thought why not.I have to say that I didn't think Hancock was a bad film as such, it was somewhat underwhelming and I'm sorry to say I do understand the criticisms against it.Hancock does have a fair number of good points. It is stylishly filmed, with some well above average special effects, the music is dynamic and the directing is solid. The best asset about Hancock is the acting of the three leads.Will Smith is very commanding, with a lot of subtlety amongst all the wisecracks/gags that don't feel forced(ie.flying under the influence). Charlize Theron shows a glowing presence while also showing a sympathetic side, and Jason Bateman's dry humour contrasts perfectly too.However, Hancock is a very uneven film. I loved the first half, it was well paced, the script was witty and fresh and the scene where the titular character brings a speeding train to a halt as he can't be bothered to lift the car up from its path is one of the better and relevant scenes of the film.It is in the second half where Hancock is less than successful. Here the film starts to drag, the script becomes soapy and heavily melodramatic and the film has one of the daftest twists of any film not to have M Night Shyamalan's name on it.The story's tone isn't the only asset to feel uneven, the script is too, it has wit and freshness in the first half, but becomes mawkish in the second. I also felt that there were only three likable characters(Smith's, Theron's and Bateman's) and the others I barely noticed, with the villain especially flat.So all in all, an uneven film but not a necessarily bad one. 5/10 Bethany Cox",Hancock
1,SnoopyStyle,good potential good action no suspense,5,9 November 2013,"John Hancock (Will Smith) is a drunk mess of a superhero. He destroys as much as he saves. The LA public has turned against him. He saves PR expert Ray Embrey (Jason Bateman) and Ray is determined to return the favor by saving Hancock's image. Ray brings Hancock back home for dinner but Ray's wife Mary (Charlize Theron) isn't happy to have Hancock around.On the surface, this is a great premise. It has good comedic potential. It would work better if he was a klutz instead of an alcoholic. Hancock is just too unlikeable. And the last half of the movie leaves me confused with more questions than answers. Was there even a climax? That one handed fool can't be the criminal mastermind that is his nemesis. Is there a nemesis? Director Peter Berg has now become an expert on action scenes. I have no doubt about his action directing. But he needs to think about what the story should be. Who the heck is Hancock? I can't really answer that properly after watching it twice. The movie clunks along without much suspense or tension. Every once in awhile there's an action scene.",Hancock
2,Prismark10,Scuzzy but super,6,10 March 2014,"A comic book action film featuring a scuzzy, drunk as the superhero who causes mayhem and destruction every time he gets involved. The police, public and civic officials wished he remained a barfly.Things change when Hancock (Will Smith) saves the life of Jason Bateman, a Public Relations expert who wants be a corporate do-gooder and wants to revamp Hancock's image even if it means doing a stretch in jail because of his various misdemeanours.Bateman is married to Charlize Theron who remains cool and suspicious of Hancock but something is drawing them together.The premise of an inept and drunk super hero has some novelty as we see him become a better and more sober superhero who the kids eventually look up to but this does not keep the engine of the movie going.The sub plot involving some bad guys intending revenge is minor as they will never realistically be able to challenge Hancock leading to some plot contrivances involving the weakening of his powers.Yet the film is not over-long, moves at a good pace. Despite its edginess and some bad language even younger kids will find it enjoyable and funny.The film does have plot holes the more you think about it afterwards as to where Hancock came from and the amnesia is a convenient plot point.",Hancock
3,claudio_carvalho,An Anti-Hero is Born,4,17 November 2008,"The powerful alcoholic and clumsy John Hancock (Will Smith) is the most hated person in Los Angeles, since in spite of saving lives, he also destroys properties causing high cost to the city to fix his damages. When he saves the life of the PR Ray Embrey (Jason Bateman) from a train, the executive feels in debt with Hancock and decides to change his image. He brings the anti-hero to have dinner at his home, and introduces him to his son and fan Aaron (Jae Head) and to his wife Mary (Charlize Theron) that does not want Hancock in her life. But sooner the dangerous connection between Hancock and Mary is disclosed, threatening the American Dream of Ray.""Hancock"" is a movie that never works: the idea of an anti-hero is interesting but the execution is terrible since the lead characters, Hancock and Mary, are unpleasant and anti-charismatic. Only Ray and Aaron are nice, but the plot is too stupid for my taste and waste the excellent cast in a story that is not funny. This anti-hero journey should be light and with humor, but it is hateful indeed. My vote is four.Title (Brazil): ""Hancock""",Hancock
4,kosmasp,Inconsistent,4,12 September 2008,"That PG-13 blockbusters (especially) normally don't explore the sexuality of it's main characters is one thing. But with a twist (that gladly is not revealed in the trailer) like the one revealed in this movie, there should've been a bigger exploration of that issue. For a regular super hero movie, it wouldn't really matter, but for a movie that tries to stay/ground itself into reality, it's more than a wasted opportunity! The twist also brings up a few questions and should at least bring us a big conflict, but neither (really) happens ... especially not the conflict. Another wasted opportunity. Of course every movie has it's weak points, what really makes the difference is the things that one finds in the movie, that makes it look good. But the trailer moments are the best (jokes) in the movie. Of course you know where this is going from the get go, but it still could've been more ... let's say sympathetic. And there are too many scenes that are repetitive (how many times can Hancock smash into things/destroy them, without getting boring). It might look good, but it could be more diverse too. It's a shame, because all I could see here, were many missed opportunities ... and I don't think a longer cut on DVD will make a big difference ...",Hancock
5,jboothmillard,Hancock,5,17 April 2009,"From director Peter Berg (Welcome to the Jungle, The Kingdom), I will see almost anything with the leading African American star who saved the world many times before. Basically John Hancock (Will Smith) should be praised as an all powerful superhero, but he is an alcoholic hated nuisance who saves people in Los Angeles very clumsily. When Hancock saves the life of public relations expert Ray Embrey (Jason Bateman), the executive decides to try and help Hancock get a better public image and be less clumsy. Ray also introduces Hancock to his family, son and fan Aaron (Jae Head) and wife Mary (Charlize Theron), who is very moody around the superhero, and it is revealed later that Mary is not only has the same powers as Hancock, but she was apparently his partner. But this is a big problem when it appears that being opposites, they lose their powers getting too close to each other, making them both very vulnerable, but don't worry, all is well in the end. Also starring Eddie Marsan as Kenneth 'Red' Parker Jr. and Johnny Galecki as Jeremy, also look out for film director Michael Mann as an executive. Smith is sort of likable as the anti-hero, but it is mainly the special effects that stop this film from being boring, and making one or two giggles too. Worth watching!",Hancock
6,ccthemovieman-1,Delivers What You Want In A Superhero Film - Entertainment,8,12 December 2008,"I was nicely surprised to find this a very entertaining movie, start-to-finish, about a reluctant super hero who winds up getting an attitude change for the better. What changes him? A man who cares and his little boy, who also cares and looks up to him. Corny? Maybe....but I liked it.Yeah, it's a nice, sentimental story in those regards which is why the cynical national film critics didn't care for the movie. Nice message: thumbs down; evil - thumbs up. Pretty sad, eh? Being this is a ""superhero"" movie, I didn't expect any credibility: just a fun, escapist story, and that, pretty much, was what was delivered. It had a nice twist near the end, too, which I won't go into for anyone who hasn't seen the film. It's not a total shock, is all I will say, because you can see it coming if you read between the lines.Was this film enjoyable enough to watch a second time, or a third? Most definitely.",Hancock
7,Tweekums,A superhero with a difference,7,6 November 2014,"John Hancock isn't like other people; he is immortal, has super strength and cannot die he is a superhero. He isn't like other superheroes either; he has no super villain arch nemesis and thanks to the damage he causes every time he catches a bad guy or saves somebody in danger he isn't even popular. One day he saves the life of less than successful PR man Ray Embrey and Ray decides that he could help Hancock by providing some good PR. To this end Hancock stops refusing to accept responsibility for his actions and goes to jail. Here he waits for the inevitable call from the authorities asking for help; the crime rises and eventually he is called to foil a bank robbery. After a celebratory dinner with Ray and his wife Mary we learn more about our protagonist, including the fact that he isn't the only one of his kind and like most other superheroes he has a weakness one he doesn't know about.This is a decent enough film; Will Smith puts in a fine performance as Hancock; possibly the scrungiest superhero to date at least until he cleans up his act and Jason Bateman is likable as Ray. I liked the fact that Hancock was dealing with ordinary low grade criminals rather than super villains and criminal masterminds and the fact that he was unpopular was fun too; even if the idea of Superheroes being too much trouble because of the damage they cause was done previously in 'The Incredibles'. The humour is a little crude but it was impossible not to laugh when he followed through on a threat to shove one cons head up another's backside! Most of the fun was to be had in the first half; the big reveal concerning the second superhero seems a coincidence too far and the ending was too twee. Overall though this was an entertaining way to pass an hour and a half and it is fun despite its flaws.",Hancock
8,Quinoa1984,"there are complaints to be had, but mostly it's a fun summer action movie",6,3 July 2008,"Will Smith is a great star in Hollywood, and it's fun to see him in Hancock work his way with a character who's an ""a-hole"" (don't call him that, by the way, that's the buzz word) for the first half and then starts to open up and not be so much one in the second half. If for no other reason to see the film it's for him and for people like Jason Bateman and Charlize Theron to show what potential they have with their talents; Theron especially reminds an audience every once in a while that she won an Oscar for a reason. And, it's also for the first half of the way through the 90 minute running time a wonderful dark comedy that takes itself seriously but also pokes fun at a superhero who doesn't give a flying f*** and bums around saving people while also drinking his ass off and destroying lots of property.But at some point when the writers decide to develop the mythology of the character, who is apparently somewhat God-like and is immortal under specific circumstances but also has 'another' like him (I won't say who, spoiler), and they don't give it enough time to really sink in after the somewhat 'twist' occurs 2/3 of the way through. And anything humorous in the first half is gone pretty much by near-movie's end, leaving it in the hands of Peter Berg, the director. This was the aspect of Hancock that grated down at me. Berg and his cameraman's style is to usually not bother with things like steadicams or dollys or a camera simply still on a tri-pod or other and to make everything hand-held and wobbly and oddly shot and (in the case of the hospital climax) just awfully lit and shot. It comes off as more-so amateurish than being intense or realistic, and it definitely doesn't fit the kind of movie it's meant to be placed in (i.e. JULY 4TH SUMMER BLOCKBUSTER, hello!) And yet, even with the problems I had, I wouldn't stop anyone from seeing Hancock, as a good way to kill an hour and a half and to enjoy some of Smith's best work to date. He's a charismatic and multi-faceted actor, but his star quality meshes well, and it's a performance that's worth every minute to see he's on screen for. If only the rest of the movie were as good as he and his co-stars.",Hancock
9,edwagreen,Hancock-Don't Put Your John H. On this Stinker *1/2,2,21 June 2009,"This is a film that starts out with a great premise- a young black guy who is the modern day superman while still causing havoc.I have never seen a movie to fall apart so rapidly as this one did. Charlize Theron had better cut it out. She is getting too typecast in monster-like lunatic parts. This is not a good way at all for her career to go.The story, as stated, falls apart due to the most absurd writing imaginable. Theron and Will Smith going back through the ages, and each time they're near one another, there is havoc.They should have stuck with the beginning of the good things that Will Smith did as a hero.",Hancock
