,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Style over substance,3,26 January 2019,"IO is another Netflix-produced post-apocalypse movie; they seem to be ten a penny these days yet many of them are only so-so and this is such a film. It starts off very much as THE LAST WOMAN ON EARTH, with man's constant polluting of our planet leading to the very air becoming toxic; everyone else has decamped to space. After a bit of soul searching, THE HURT LOCKER's Anthony Mackie shows up but instead of the thriller plot promised from the trailer we get endless soul searching and pretentious dialogue about mythology and the like. There's no faulting the cinematography or the performances, but this style-over-substance effort is crying out for a real story.",IO
1,SnoopyStyle,a real grind,2,31 January 2019,"Earth's environment is collapsing and most of the population has left for a colony on the Jupiter moon Io. Sam (Margaret Qualley) is one of the last human on Earth. She's a scientist trying to adapt to the new poisonous atmosphere. She is joined by Micah (Anthony Mackie) who travels by balloon as the last shuttle to Io is set to lift off.This is a slow moving Netflix sci-fi movie which keeps grinding and grinding slowly on. I couldn't help be distracted by other media usage while watching the movie. After an intriguing world is laid out, nothing happens. It's a road trip with a balloon. While the scenery is nice, there is only a weak romance trying to spice up the story. Just when nothing is happening, the characters put on breathing masks and they turn into Bane. It's an infuriating turn which only accentuates the movie's weakness.",IO
2,claudio_carvalho,The Last Woman on Earth,4,19 February 2019,"In the future, the atmosphere of Earth becomes toxic destroying the civilizations. There is an exodus of the survivors that leave the planet to a space station on the gravity of the moon of Jupiter Io. The scientist Henry Walden (Danny Huston) and his daughter Samantha ""Sam"" Walden (Margaret Qualley) stay behind researching a means to save Earth from dying.
Sam is researching bees expecting them to survive in the atmosphere to pollinize the plants. She thinks in the possibility of leaving Earth on the last shuttle to Io to meet her boyfriend Elon that has left Earth to live in the station. Out of the blue, there is a storm that destroys her camping and research. Soon a balloon lands and the pilot Micah (Anthony Mackie) asks for Dr. Walden, but Sam explains that her father is not in the camp but researching the nearby field. Micah decides to wait for him and on the next day, Sam confesses that her father died. He convinces her to travel in his balloon to the shuttle but soon they learn the launching place changed and Micah does not have enough helium to reach the spot. Meanwhile Sam learns that Elon was assigned to a ten-year voyage to Alpha Centauri and they will never see each other again. What will Sam do?""Io"" is a low budget film with an interesting premise and good performances. However the storyline is too short and the pace is too slow, making the movie boring in many moments. In addition, there is no chemistry between the gorgeous Margaret Qualley and the Afro-American Anthony Mackie. My vote is four.Title (Brazil): Not Available",IO
3,nogodnomasters,People can change,6,29 January 2019,"The earth has become toxic as life perishes. Cities have become dead zones. 100 ships leave Earth to orbit Jupiter's moon Io and use its resources to live. They are getting ready to jump to the nearest star in a ten year trip.Sam (Margaret Qualley ) remained behind and lives alone in a self sustaining unit, attempting to raise bees that can survive the environment. Her father (Danny Huston) is a renowned scientist who believes man can adapt and survive. Micah (Anthony Mackie) arrives in a helium balloon to transport them to the last ships off of earth.Not too bad for a two man play. Film reminded me of ""Here Alone"" which I though was a tad better. Slow moving science fiction with zero action. No one eating potatoes. Film is about hope...but not for us.Guide: 1 F-bomb. Implied sex. No nudity. Misnamed film.",IO
4,kosmasp,Slow Burner,6,19 January 2021,"Another one where the we seemingly have destroyed or at least made our planet not habitable. Humans, right? Of course that doesn't mean there is not hope for at least parts of humanity to survive. Be it here at some places or even better on a different planet alltogether.To convince the viewers that there is hope, you do need good actors. And you get two of them in this movie. So while this is obviously contained (no pun intended), it also is quite expanded by the way the actors convey their struggle. Just don't expect this to be flashy or fast paced!",IO
5,Sleepin_Dragon,Deep and meaningful.,7,3 April 2020,"I understand some of the frustrations with this movie, largely because of the trailer, and the fact that it was advertised to me as a horror thriller, far from it, it's a meaningful story about the end of life as we know it, one woman's challenge, and her handling of change when a man appears.Very visual, it has some poignant scenes, I particularly liked the decayed and rotten streets and buildings, they looked incredible.There are multiple messages here, I appreciate that in amongst the many negative ones, there is one that shines through the whole way through, human spirit.Tragic beauty, 7/10.",IO
6,CinemaSerf,Why didn't the wind change sooner...?,4,6 November 2019,This film flows like glue... I wouldn't bother if I were you.,IO
7,Aaron1375,"Pretentious, totally crap science and boring!",2,24 January 2019,"Yes, this film suffers from serious issues as it looks like it might have a good thing going by its description. Unfortunately, we are treated to another apocalypse film brought to us by Netflix, home to that sort of thing. We had Bird Box which we knew what was going on, we had Into the Forest where we had the vague apocalypse and we have this one where we sort of know what is going on, but we are bored to tears! At least Bird Box and Into the Forest were somewhat interesting, this one was just two locations, a lot of mundane conversation and a predictable romance forming.The earth is now uninhabitable due to ammonia in the air. Most people have fled to a space station near a moon on Saturn or Jupiter (whatever, not like it's important) called IO. Forget about that though, it has virtually nothing to do with said movie and is instead about a bad actress walking around and trying to figure a way to continue leaving on earth despite the ammonia. Apparently, the higher you are the more air there is, but seeing as how ammonia is lighter than air it should be the most dangerous zone is one of the many flaws in this film along with there is no oxygen in ammonia. Well, a man comes, and wants to see this girl's father who is obviously dead, but they wait to surprise us even though anyone with two functioning brain cells can see it coming, and romance sparks even though the lead girl has all the charisma of a piece of paper. The guy has a balloon and wants to take her to a space ship to go to the space station by the moon this film is named for, but in the end more long drawn out conversations ensue, no tension is built and the film peters out like a whimpering dog.The film had potential had they tried to add some sort of threat to the situation. I kept expecting them to get in the balloon and maybe run afoul of a storm, but no, nothing happens! My wife picked this one and even she got bored with it. I was hoping for mutant insects are something, anything to spice the film up and by the end so was she! The chemistry is nonexistent and there is nothing really interesting going on here.So, another Netflix original that disappoints. It truly is the station of hits and misses, not that it has hit big yet. The two I like most that I have seen so far are The Ritual and Bird Box and I only gave each of those a seven. This one is like a film that starts and does not go anywhere at all. Just watching people going about their usual day with nothing really arising to challenge anything other than the prospect of actually getting to that space station by the moon this film is named after, but has nothing to do with the story! Last Woman on Earth's Mundane Existence would have been a better title, but I guess it would have been a bit lengthy.",IO
8,robfollower,Io; is a slow burn . Pays the viewer off emotionally well after the credits roll,8,27 January 2019,"Yes; this is all dialog without much action action. That was the point; to delve into some philosophical thinking . Its great. Not a movie for those with an iq of 75 .
'IO' is a theme of Isolation and Loneliness. Post-apocalyptic psychological drama, focusing on human relationships This film is an excellent character study . It absolutely will not be pleasing to people who want high-tech, fancy FX, big budget excitement. This movie is a ***Slow Burn ***. And I loved it . The plot appears, to the casual viewer to be fairly straight-forward and simple.Except it's not, and I'm still trying to figure it out. It's foundation lies in the poem by Yeats, ""Leda and the Swan,"" an understanding of Greek mythology, and to some extent, the Trojan War. ""And Agamemnon dead,"" is a *key* line, spoken more than once through out the film .
Under the dismal veil of a post-apocalyptic earth, the movie focuses on the importance of art, of culture, of history and what the wold would be with out it.
If you like to think, ponder and ask what if, why, how and for what purpose?And who are willing to delve into some philosophical thinking, I'd recommend this movie. You'll find 'IO' enjoyable. 'IO' is a slow burn . It Pays the viewer off emotionally well after the credits roll.",IO
9,peterp-450-298716,The movie is as boring as any environmental debate of today.,4,23 February 2020,"Sam, we have to leave this place.
Sooner or later you'll have to.""IO"" will certainly be an orgasmic experience for global environmentalists and defeatists. Supporters of global protest movements about global warming and the destruction of our balanced eco-system will certainly use this film as an example to reinforce their apocalyptic disaster scenarios. Can you already imagine it? Such a television program where they put a microphone under the nose of such an environmental adept? You can bet that comments such as ""You see. Any idea what misery we'll get into if we don't intervene now?"" will be flung at the interviewer. In my humble opinion, all this is a storm in a glass of water (And no, global warming didn't cause that storm). I blame it on the natural evolution that our planet is undergoing. An evolution in cycles in which we as humans only speed up the process because of our polluting behavior. Soit. I should stick to just one particular thing I'm good at. And that's to write down a review of the movie in question. Short and concise: the film is as boring as any environmental debate of today.For those who didn't know yet, ""IO"" shows us for the umpteenth time a deserted, uninhabitable planet Earth. This concept has been used to a great extent in multiple films with a different cause each time. Either it's because of a zombie outbreak like in ""World War Z"" and similar zombie movies. Or it's prehistoric creatures like in ""The Silence"" that cause a global slaughter. And let's not forget aliens? They appear all the time to plunder our blue planet because they themselves are without resources. Viruses, impulses via mobile telephones, an innocent text message, a computer virus or simply a world war. An enormous number of causes have already been used to create chaos with an extinct planet as a result.Here in ""IO"", it's toxic fumes that cause the population to die en masse. Choking and blood transforming into a black liquid. Scientists claim the reason is an unexpected change in atmospheric composition. Smart people with common sense realize that it's only Mother Earth who is thoroughly sick and tired of us and tries to get us off this planet with a well-aimed ecological kick in the butt. The result is a massive exodus to IO, a planet floating around somewhere near Jupiter. But that doesn't apply to teenage girl Sam (Margaret Qualley) who stayed behind on Mother Earth, living in a house somewhere on a mountain where the toxic fumes can't reach. When she looks over the valley, this smothering smog hangs like fog in the valley. Even a storm cannot blow these toxic fumes over the ridge. What the storm surely did, was blowing away a bee colony, necessary for the scientific research Sam and her father, who initiated this research and apparently didn't survive the disaster, were doing. Or he went up in smoke. I cannot judge what this scientific research actually meant or if it made sense. That's probably due to my limited intelligence.All in all, the beginning of the film wasn't bad. Sam wearing an oxygen mask, traveling through the deserted streets of some American city with the help of a quad (equipped with a trailer). Images of a dead city and horribly dark underground corridors where rainwater drips from the ceiling. And the realization that her visiting time is limited to the content of the oxygen bottles. A miscalculation and she falls prey to the toxic fumes. Exciting. Captivating. But at the same time, it's not groundbreaking. Even when Micah (Anthony ""Falcon"" Mackie) arrives in a Jules Verne-like balloon, it doesn't get much more fascinating. What follows is a conflict between these two main characters. Sam wants to continue her father's life's work and prove that life on Earth could be possible in the future. Micah wants to board the last spaceship that leaves for IO but needs some extra help. When the romantic get-together comes into play, I immediately thought of ""Z for Zachariah"". A similar film that starts interesting but is characterized by a general dullness and slowness.The two main characters weren't the problem. Margaret Qualley is a good-looking appearance and shows in a solid way how determined the character Sam is. Only the decisions she made were a bit implausible. Anthony Mackie manages to play the unsympathetic balloonist with a self-control problem effortlessly. The script was too nihilistic for me. The pace was irritatingly low. And the story itself was extremely boring. Many technically perfect still lifes. Lots of musing and breaks full of drama. Even the hopeful ending with a mythological-religious message couldn't raise the level. Well, ""IO"" was a bit of a disappointment for me. I didn't expect a ""Lucas Arts"" kind of movie where everything ""explodes and blasts and bleeps"". But in terms of dullness, this Netflix Original still beats many competitors.You can watch ""IO"" on Netflix now!More reviews here: movie-freak.be",IO
