,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Degenerated soul,7,18 May 2017,"I guess that we all know about Robert Downey, Jr.'s struggle with substance abuse in real life that nearly cost him his career. I guess that gave him a unique insight into the mind of his character in Less Than Zero.Andrew McCarthy, Jami Gertz, and Downey are all friends from high school and Gertz has romantic history with both of them. When his freshman year at college concludes, McCarthy gets an anxious summons from Gertz concerning Downey, but she's kind of cryptic about it. When McCarthy gets home he sees enough for himself.What he sees and we see is a harrowing portrait of a totally degenerated soul due to the drugs he's doing. All the lies and promises to kick the habit, the way he keeps coming back for more, even trying to con drug money on the pretense of a business loan. Downey with a jones is a pretty frightening fellow.Also in the cast is another brat packer of note James Spader who usually in his salad days was a nice kid. Not here, Spader has gone into the drug trade big time and he's quite ruthless as I guess you have to be. What he has Downey doing for his fix in lieu of cash is pretty scary.Thank God for Robert Downey, Jr. in real life it worked out far better than it does for his character here.Less Than Zero is a pretty frightening portrayal of addiction and degeneracy, not for family viewing, but a great film.",Less Than Zero
1,SnoopyStyle,80s decadence,7,13 November 2015,"Clay Easton (Andrew McCarthy), Blair (Jami Gertz) and Julian Wells (Robert Downey Jr.) are best friends graduating from high school. Julian uses his daddy's money to start a record company. Blair abandons her plans for college with Clay and sleeps with Julian. Six months later, Julian returns home from college for Christmas. Blair convinces Clay to help Julian who is in trouble. Julian lost all of the money and had to borrow from drug dealing school acquaintance Rip (James Spader).This captures a certain superficial 80s L.A. decadence. Robert Downey Jr. delivers a big-time performance as a druggie mess. It is probably a bit of real life imitating art. James Spader has the perfect creepy sleaziness. McCarthy is still in the full bloom of his boyish charm. His problem is that he's a bit inferior for the part. He's not quite the leading man this role calls for. Jami Gertz does functional girlfriend acting. Downey is the key and he's great.",Less Than Zero
2,gavin6942,Not the Ellis Classic,6,17 March 2017,"A college freshman (Andrew McCarthy) returns to L.A. for the holidays at his ex-girlfriend (Jami Gertz)'s request, but discovers that his former best friend (Robert Downey) has an out-of-control drug habit.Writer Bret Easton Ellis hated the film initially but his view of it later softened. He insists that the film bears no resemblance to his novel and felt that it was miscast with the exceptions of Downey and James Spader. There really is no argument that Downey as a drug addict was a great piece of casting and this film somewhat foreshadows his downfall in the late 1980s / early 1990s.Hearing the production stories, it's interesting the film was pulled off at all. New scenes had to be shot, some scenes were cut. It seems like the crew was switched out part-way through. The finished product is far from a masterpiece, but it is still a good film, and has an even better pedigree now (2017) given the success of its main actors.",Less Than Zero
3,moonspinner55,Glossy visuals and a hot soundtrack do not a movie make...,4,7 May 2005,"I'm always amazed when people tell me ""Less Than Zero"" is a touchstone movie for them (I hope for a moment they mean that in an nostalgic or perhaps tongue-in-cheek way). The film is on the same level as ""Showgirls""; it continually seems embarrassed over itself, with the young actors shouting as if the whole world has gone deaf. Maybe a veteran director might have seen through the plastic din and gaudy art direction (like an MTV video) and brought something substantial out of this flimsy screenplay. Andrew McCarthy plays another in his stable of smug preppies, this time coming home from college during the holidays and finding his high school pals have gone to ruin. This basic plot mechanism would be highly recognizable to us if the characters themselves weren't so off-putting, and every time McCarthy gets ""passionate"", it's like watching a worm in love. *1/2 from ****",Less Than Zero
4,Quinoa1984,"it probably isn't faithful to the source, and it isn't anything great, but it has its moments and 80s vibe",7,24 August 2008,"Less Than Zero takes a fairly critical eye on the coke scene in LA in the late 80s, trying (and probably succeeding for two minutes) to de-glamorize one of the most notorious of all substances of its time, particularly for those who could afford it. The crux of the story is that Julian (Robert Downey Jr) is a f***-up who burned his bridges with his wealthy father, drifted into a non-existent record producing career and spent up 50 grand on a drug connection (James Spader), and now needs his high school friends (Andrew McCarthy and Jamie Gertz) to bail him out and get him clean. At the least it does portray the total dregs of coke addiction on a wretched level late in the picture as Downey's character goes through terrible, cold-sweat/vomiting withdrawal, the likes of which, at the least, wouldn't be seen in a common after school special. Morale of the story: kids, don't go to LA and act like a f***-up! I can't say for sure how faithful the picture is to Bret Easton Ellis's book (his first one), and from all accounts I've read it's at best loosely based. This doesn't necessarily mean it might have been better or worse if it were more faithful; Rules of Attraction may be totally true to the book but it's own ambitions- however more ambitious than Less Than Zero- are its undoing. Suffice to say in the spectrum of current Ellis adaptations it rests between the masterpiece American Psycho and the mixed bag of 'Attraction.' Aside from clichés in the story presented here the biggest problem lies in casting: McCarthy and Gertz, however pretty together, are only OK cat best and at worst are what they appear: pretty people who can't act very well (I almost though McCarthy and Spader could've switched places and made for an interesting change-up). Spader is very good, if maybe predictably slimy after seeing him play the kind of role a lot. And the music by the usually great Thomas Newman is soap-operaish.Why recommend it then, aside from those who can't get enough of 80s coke movies? First, Robert Downey Jr. I'm reminded here of his most recent turn in Tropic Thunder where he relays the theory on ""Full Retard/Half-Retard"" and how actors get completely acclaimed if they go halfway but if they overshoot it it's too much. On that quasi-scale Downey goes at about Three-Quarters Addict in Less Than Zero, which is to say that it's a perfect breakthrough performance; this is an actor who reveals himself and goes naked emotionally and occasionally goes so for broke it's genuinely frightening, and he's even amusing in little slivers to boot when not appearing as fatalistic as he is (and, as well, a mature performance, which at 21 or 22 is also extraordinary). The second reason, which may vary depending on the viewer, is the wonderful capturing of the 80s club scenes, where the music wasn't just New-Wave or Heavy Metal, but a variety of whatever there could be to dance to, and this is presented with great verve and song choices that blend and meld together.So, Downey Jr and soundtrack/80s LA scene: terrific. Everything else ranges from levels of good to mediocrity and once in a while ham-fisted cinematic gesture (such as a death scene I won't mention here).",Less Than Zero
5,wes-connors,Going Down the Cocaine Drain,6,2 December 2010,"Finally graduating from Beverly Hills High School (""class of '87""), bratty well-heeled Andrew McCarthy (as Clay Easton) goes off to college while his friends back home go off the deep end. Also making it through the twelfth grade (at last) are Mr. McCarthy's sexy girlfriend Jami Gertz (as Blair) and fun-loving pal Robert Downey Jr. (as Julian Wells) - but these two are not college-bound; she decides to work on her modeling career and he wants to start a business. The three are reunited when McCarthy comes home for Christmas. But, partying becomes a downer when McCarthy discovers his friends have become fiendish cokeheads...Can McCarthy save his friends in time? With attractive young stars, semi-MTV quality, and decent soundtrack - propelled by The Bangles' great cover of the old Simon & Garfunkel chestnut ""Hazy Shade of Winter"" - this film was a big hit with those saw it as representative of a decadent, pre-AIDS lifestyle. And, ""Less Than Zero"" certainly looks and feels like the 1980s. It's thesis seems to be: Pitiful rich kids, who lack parental guidance, could get bitten by the drug bug. But, this was based on a much more reflective story, by Bret Easton Ellis.Critics singled out Downey for praise, hence the video synopsis: ""In a spellbinding dramatic performance, Robert Downey Jr. portrays Julian, a Beverly Hills brat who has it all: looks, charm, smarts, a rich father - and a drug habit. His friend and girlfriend (Andrew McCarthy and Jami Gertz) are trying to help, but Julian's world is crumbling so fast, he might take them out with him. The result is a powerful and compelling story of three kids who started out with everything and are about to wind up with 'Less than Zero'.""Apparently, a little eyeliner goes a long way.Downey would have been even better in the ""Rip Millar"" role as it was originally written; this isn't meant to suggest either he or James Spader (as Rip) are inadequate; as far as this film takes them, they're fine. But, the male prostitution angle just isn't believable when you compare it to the book; and, it's way off balance. Worse, the original novel's bisexuality is neutered to extinction. A subtler performance is given by Gertz; with less to go on, she fills up her portrayal of a beautiful model on cocaine.****** Less Than Zero (11/6/87) Marek Kanievska ~ Andrew McCarthy, Jami Gertz, Robert Downey Jr., James Spader",Less Than Zero
6,michaelRokeefe,Easy to enter...hard to leave.,5,20 December 2003,"This is deep, dark and often hard to watch. Sobriety is lost somewhere in reality. Stark depiction of cocaine era ""lost generation"" of spoiled, wealthy college kids in their own jaded private hell. Outstanding cast featuring: Robert Downey, Jr., Andrew McCarthy, Jami Gertz and James Spader. The onset of depression is available.",Less Than Zero
7,Scarecrow-88,Less Than Zero,9,11 February 2011,"I have always found drug movies a bit difficult to sit through because watching someone fall prey to addiction and debt, with no where left to turn and a future uncertain, isn't easy. Decadence in wealthy Los Angeles, cocaine the major drug of choice for the 80s generation, along with parties, clubs, high priced cars and fashion. Andrew MCarthy is off to college probably at an elite private school while Downey has wasted away a promising recording industry career and savings, now an addict with no options for life advancement. Jamie Gertz is a model with a coke problem. Gertz was McCarthy's girl until he left for college, her ending up in bed with Downey. She beckons him to return because Downey owes drug/smut dealer James Spader(a more lavish version)and is doomed unless he gets help--question is can Downey make it out of his current state? Better yet, how can McCarthy rescue him when Gertz herself is often high on coke? McCarthy and Gertz do rekindle their relationship, sexually and otherwise, while attempting to save their pal from Spader's grip. Downey exhausts all methods for getting out of $50,000 that belongs to Spader, a lot of dope the young man has went through over the course of 6 months, and, to be honest, his dealer has been cooperative regarding lack of payment. So Spader wants Downey to hook for him, agreeing to substitute the work for his drug debt. So the viewer is treated to an unflattering look at life of the affluent youth when they are out at night. Downey's downfall is all too credible and harrowing, his fate unfortunate, suffering through one of those excruciating experiences where he must ""get clean"", absolutely overcome with ""the sickness"". Downey was forbidden by his fed-up father to come home, finding himself sleeping on park benches. Watching him deteriorate, helpless as his own two friends, we are treated to his decline. With lush cinematography to compliment the beautiful people who populate the LA scene, masking the real ugliness of it all. ""Rusty pipes"" says it all. Film is loaded with a number of great rock and pop songs.",Less Than Zero
8,preppy-3,Zero is right!,1,16 April 2007,"College freshman Clay Easton (Andrew McCarthy) flies home to L.A. for Christmas. He discovers his ex-girlfriend Blair (Jami Gertz) is now with his best friend Julian (Robert Downey Jr.)--but Julian has a huge drug addiction problem. Clay tries to help him stop but slimy drug pusher Rip (James Spader) isn't happy with that.**DEFINITE SPOILERS** Dreadful adaptation of Ellis' harrowing novel. In the book Clay is bisexual and hooked on drugs like everybody else--including Blair. Julian is also having sex with men to support his drug addiction. At one point Clay numbly watches while Julian has sex with a guy. The book ends with nothing solved and Clay going back to college--still hooked on drugs and bisexual.This movie whitewashes the book to a degree that is truly astounding. Clay is not bisexual, he's not hooked on drugs and he stops Julian before he starts sleeping with men. Also Blair just simply stops doing drugs in a unintentionally hilarious scene--she makes it look like you can stop doing drugs easily. Julian dies here of the drugs--he was alive and still hooked by the end of the book. Also Blair goes to college with Clay (!!!). Basically this destroys any message that the book had.The acting by McCarthy and (especially) Gertz is terrible. Only Downey, Spader and Nicholas Pryor (as Julian's dad) give good performances. As an adaptation of Ellis' book it's worthless. On its own terms it's dull, stupid and whitewashes drug addiction. This is bad enough to make you wish there were no anti-drug movies. The title of this film is very apt. Avoid.",Less Than Zero
9,FlashCallahan,Everyone is accountable....,7,3 March 2013,"Clay, an eighteen-year-old freshman, comes back from his first term at a college in New Hampshire to spend Christmas with his wealthy family in Los Angeles. His former girlfriend, Blair, is now involved with his ex-best-friend, Julian. She warns Clay that Julian needs help: he is using a lot of cocaine and has huge debts....Anything to with the Eighties, and I'm already sold, as you may know if you read my other reviews. Bret Easton Ellis novels are difficult to turn into movies, but I've loved everyone that has been produced (even the Informers).And this is no exception.It's a film about greed and excess, and spoilt little rich kids getting into trouble and not getting their parents health.As expected, Downey Jr. Is the best thing about this, totally believable as the young man living the high life, only depending on being high to live it. Eye make up and barking attributes are the order of the day for him, and he excels.The same cannot be said though for Gertz and McCarthy, they are pretty terrible in this, just spending the film looking worried or a little bit distant, this may be trying to be cool and reckless, but they just looked moronic and boorish.But funnily enough, they are not the pivotal part of the movie, yes they get back together and try to conquer the excess of the eighties for love, but its the Julian and Rip relationship that is the movies core and heart.It looks good, a typical eighties movie where people stand on expensive looking balconies trying to find themselves, with a great soundtrack, and good looking people.Shame about Gertz and McCarthy though.",Less Than Zero
