,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,I really like it!,8,5 February 2009,"I have read the book, which is very good, and I have seen the Gene Kelly version and the 1973 film which I think are both better. At least this adaptation kept me entertained. The sword fights were clumsy, but energetic. Chris O'Donnell was a bit weak as the protagonist known as D'Artagnan. The king and Queen were a bit young, but at least they can act, particularly the lovely Gabrielle Anwar. Now for the pros. Great music by Michael Kamen, and Tim Curry's (one of the better actors in the film) Cardinal Richelieu is very slimy. It's not his best performance,he overdid the character at times, but I was entertained by one of my favourite actors, as he had some good lines like ""Austria's loss is France's gain "". Kiefer Sutherland was good too, and Michael Wincott was also impressive. Charlie Sheen likewise, but Oliver Platt had some truly funny lines, and delivered them with zany zest. The film itself looks beautiful, with nice locations, cinematography and costumes, and I liked Rebecca DeMornay as Milady. The only problem I had with Milady was the way she died, completely unfaithful to the book. Entertaining film, but I don't know what Alexandre Dumas would make of it though. 8/10 Bethany Cox",The Three Musketeers
1,SnoopyStyle,not quite fun or intense action adventure,5,4 June 2015,"D'Artagnan (Chris O'Donnell) intends to follow his father and join the Musketeers in Paris. His father was disgraced for supposedly failing to protect the king. Rochefort (Michael Wincott) working under the evil Cardinal Richelieu (Tim Curry) disbands the Musketeers. Three Musketeers Aramis (Charlie Sheen), Athos (Kiefer Sutherland) and Porthos (Oliver Platt) refuses to surrender. D'Artagnan quickly finds himself with three separate duels with the three Musketeers. He falls for Constance (Julie Delpy) who is a lady-in-waiting with Queen Anne (Gabrielle Anwar). D'Artagnan is captured by Rochefort but escapes after learning of Richelieu's plan to conspire with the English and Milady De Winter (Rebecca De Mornay) to overthrow the King.This Three Musketeers is trying to be another Young Guns. The problem is that it can't quite make this fun without feeling silly. This is a light weight swashbuckling adventure of yesteryears. It has no tension. The chemistry between the Musketeers feels tired. Chris O'Donnell has his joyless sincerity. The movie stalls whenever the swashbuckling action stops.",The Three Musketeers
2,jboothmillard,The Three Musketeers,4,26 January 2010,"I thought I had seen bits of the Disney made film with Chris O'Donnell, so I thought if I had, I should see the whole thing, from director Stephen Herek (Bill & Ted's Excellent Adventure, 101 Dalmatians). Basically D'Artagnan (Razzie nominated Chris O'Donnell) is wanting to join the musketeers, or at least the three best members that remain where the others have disbanded, Aramis (Charlie Sheen), Athos (Kiefer Sutherland) and Porthos (Oliver Platt). The four of them are going against the villainous Cardinal Richelieu (Tim Curry) who is trying to get King Louis (Hugh O'Conor) off the throne, to rule England for himself. His right hand Rochefort (Michael Wincott) is the one who officially announces the disbanding of the King's Musketeers, but fighter and drinker Athos, pirate and lover Porthos, priest and poet Aramis, and eager and brave D'Artagnan refuse to throw down their swords. After capturing fellow villain, the mysterious Countess D'Winter (Rebecca De Mornay), they uncover this plot and do whatever they can to stop the Cardinal, and protect King and Country, all for one and one for all. Also starring Gabrielle Anwar as Queen Anne, Paul McGann as Girard / Jussac and Julie Delpy as Constance. O'Donnell is a little more bearable than usual (only other time is Batman Forever), the three stars as the musketeers all get their moments, but the Americanisation is a bit silly, and there aren't enough action bits, but it's a swashbuckling comedy adventure worth seeing once at least. Okay!",The Three Musketeers
3,ma-cortes,"Rousing action , swashbuckling and fun is this entertaining rendition based on famous Dumas novel,",6,31 July 2010,"Spectacular swordplay in modern style in this acceptable version of the classic Dumas novel . Walt Disney presents Dumas' exciting story of love and adventure ,¨The three musketeers¨ . For the fourth time is adapted in the greatest Hollywood splendor , the complete romance , the historical characters, the full novel partially as Alexandre Dumas wrote it . It is packed with comedy , derring-do , intrigue, a love story , action , drama and moving swordplay . An awesome casting and lavish production shot in Austria and England make for a fairly amusement swashbuckler . This is the classic version of the Dumas's novel with a handsome Chris O'Donnell in a brave role as a young and handsome soldier of fortune , a dashing, audacious lover. It results to be a slight and hight budgeted retelling about the durable Alexandre Dumas's novel with all star cast. This delightful adaptation based on Alexandro Dumas classic novel starts with the youngster D'Artagnan who arrives in Paris . But he meets with three two-fisted Musketeers , Athos ( Kiefer Sutherland), a rollicking adventurer , fighting to live and living to love , Porthos (Oliver Platt) and Aramis ( Charlie Sheen ). DÁrtagnan learns they are the famous Musketeers and is invited to unite them in their objective to struggle against guards of Cardinal Richelieu (Tim Curry), his deputy Rochefort (Michael Wincott), and an astute secret agent named Milady De Winter (Rebecca De Mornay) who is lovely as a jewel, deadly as a dagger the wickedest woman in all Christendom . Meanwhile, D'Artagnan falls in love with a gorgeous young named Constance (Julie Delpy) , she is a golden-haired beauty entangled in a web of treachery and intrigue. Furthermore , there is developed an intrigue between Luis XIII (Hugh O'Conor ), Queen Anna of Austria (Gabrielle Anwar) , dazzling as her gilded palace for her, men dared a thousand perils , and Duke of Buckingham ; and of course the nasty Richelieu . The musketeers join forces for royal vengeance with the shout : ¨One for all and all for one¨.It's a recent take on from the immortal novel with big budget and impressive scenarios . The movie contains noisy adventure , thrills, romantic adventure, mayhem and a lot of fights . Amusing swashbuckling with lavish production by Jon Avnet and Joe Roth , glamorous costumes by John Mollo and lush settings by Wolf Kroeger . Agreeable acting by main star cast formed by ageing Brat-Packers as Charlie Sheen and Kiefer Sutherland and enjoyable support players , as the marvelous main actors are completed by stellar cast full of nice and likable performers and several others . Evocative cinematography in the splendor of glimmer color by Dean Semler . Stirring musical score by Michael Kamen with successful song ¨ All for love¨ by Rod Stewart and Adams. Luxurious production design is well reflected on the lush interiors and exteriors filmed at palaces from Austria and UK . The motion picture is professionally realized by Stephen Herek . This classy story is subsequently remade on several versions , firstly take on about this classic is the following : 1921 silent version by Fred Niblo with Douglas Fairbanks and going on the 1935 adaptation by Rowland V Lee with Walter Abel and Paul Lukas ; 1973 amusing version by Richard Lester with Michael York, Oliver Reed , Raquel Welch and Charlton Heston as Richelieu ; 2001 rendition by Peter Hyams with Justin Chambers, Mena Suvari and Tim Roth , among others. ¨The three Musketeers¨ is an outstanding and entertaining adaptation of the classy that will appeal to the costumer genre buffs and it turns out to be a cool adaptation with big budget based on the classic tale . Rating : 6 , well worth seeing . Definitively it is a bemusing swashbuckling, full of action, adventures,romance , comedy with tongue-in-cheek , old-fashioned family romp , broad slapdash and of course , lot of fence .",The Three Musketeers
4,hitchcockthelegend,"One for all and all for one, Muskehounds are always ready.",4,4 April 2013,"OK, this isn't actually the fab cartoon series Dogtanian and the Three Muskehounds, but Stephen Herek's Disney film is basically a live action cartoon.Starring Charlie Sheen, Kiefer Sutherland, Chris O'Donnell and Oliver Platt as Aramis-Athos-D'Artagnan and Porthos respectively, story is a fictional load of guff involving Tim Curry's evil Cardinal Richelieu trying to usurp Hugh O'Conor's King Louis XIII of France. Enter the last remaining Musketeers, sworn to serve their King, who after being joined by D'Artagnan set about foiling dastardly plans whilst admiring heaving bosoms.There's a couple of half decent sword fighting scenes, the photography (Dean Semler) and costuming is first rate, and undeniably there's a sense of fun about the whole thing; even if some of it is not intentional. But it's a pretty flat experience as valid entertainment, almost every casting decision is wrong, with O'Donnell and Sheen ridiculous beyond belief, the plot is wafer thin, the dialogue awful and the running time is padded out with music that hinders rather than enhances the pic. Michael Wincott (Captain Rochefort) and Rebecca De Mornay's (Milady De Winter/Sabine) breasts come out of the production in credit, but really you should seek out the Muskehounds as a better alternative for cartoon swordery. 4/10",The Three Musketeers
5,CinemaSerf,An OK remake that allows Tim Curry to rule the roost...,6,31 March 2020,"Ok, first things first - this has nothing at all to do the Dumas' book. We ought to be clear on that before we continue through this Disneyfied interpretation of this classic story. A way too handsome Chris O'Donnell is ""D'Artagnan"" who arrives in Paris determined to follow in his father's footsteps and join the King's Musketeers. There is a fly in his ointment, though - the evil Cardinal Richelieu (Tim Curry) has seen to it that this particular militia has been disbanded in disgrace. Through a series of mishaps, he finds himself facing three duels with erstwhile musketeers - Messieurs Aramis, Porthos and Athos who all end up fighting the Cardinal's guard and unite... Charlie Sheen, Kiefer Sutherland and Oliver Platt are his colleagues as they struggle to restore their legion and simultaneously avert an English invasion, and quite probably a coup to replace the infantile King Louis. It's quite well paced, there is plenty of action and Curry is clearly having a bit of a laugh as the evil churchman. Otherwise, however, it's an unremarkable remake lacking much of the charm and cunning of either the 1948 or Richard Lester's 1973 romp.",The Three Musketeers
6,TBJCSKCNRRQTreviews,"All for one, and one light-hearted action adventure for all",7,24 December 2009,"I have not read the novel by Alexandre Dumas père, but we all already know that this is not, and was never going to be, the most accurate adaptation of it. This is about what you'd expect Disney to release. There is humor that only a child would laugh at(which is not to say that this isn't funny at all), everything is divided into black & white(meanwhile, kudos to them for not making it look as though all religious people are bad), and history is sanitized almost beyond recognition, to preserve the so-called innocence that the majority of adults(well, in the Western world anyway) prefer to believe their off-spring possess. With that said, this is an entertaining ride. The characters could use fleshing out. Curry and, to a slightly lesser extent, Wincott, are deliciously evil, making them immensely enjoyable to watch. Tim on-screen is like those Saturday morning cartoon villains who chuckle menacingly at their own fiendish plots. Platt portrays a jerk as usual. DeMornay does what she's known for doing, if toned down what with this being a family film. Parts of this are irritating to everyone over the age of seven. The story is easy enough to follow. There is mild language and violence, and sex tends to be hinted at or vaguely referred to in dialog. I recommend this to anyone into the genres. 7/10",The Three Musketeers
7,view_and_review,"Not a hard pass, but a pass",5,23 June 2020,"""The Three Musketeers"" failed to get off the ground. It had periods of high thrust, but never enough to get airborne.Charlie Sheen, Oliver Platt, and Kiefer Sutherland played the three Musketeers, which should be enough for a hit movie under any circumstances. Throw in there Tim Curry as the evil Cardinal trying to usurp the throne and a mercurial Rebecca De Mornay, and you'd think for sure that the movie was a smash.I don't know, it may have done well at the box office, but it didn't do well in my living room. It was too rote. At times I thought I was just watching an updated version of ""Robin Hood.""Cardinal Richelieu (Tim Curry) had a master plan to become king of France. Of course, that meant somehow getting rid of the current king. His first step was to disband the Musketeers, of which three decided not to relinquish their sacred duties. At the same time, a young man named D'Artagnan (Chris O'Donnell) had an ardent desire to become a Musketeer. If all it took was brazenness and a cocky attitude then he would have been more than suitable for the job from the beginning. He would initially bump heads with the three Musketeers only to aid them later (almost making him a fourth Musketeer).As a production it was grand. The costumes and the set were top notch and the actors garnered were ""A"" listers. The plot itself though was a stale one and it amazed me how many treacherous people the king had around him. I mean, the only way a Cardinal is going to take the throne is by having nothing but his loyalists around while ridding the kingdom of anyone loyal to the king. If you can accomplish that then that was one fragile kingdom to begin with. Maybe in an earlier time ""The Three Musketeers"" would've been better. Heck, maybe in 1993 ""The Three Musketeers"" was better. In 2020 it's not a hard pass, but it's a pass.",The Three Musketeers
8,FlashCallahan,I'm inspired to dance.....,6,3 November 2011,"The three best of the disbanded Musketeers - Athos, Porthos, and Aramis - join a young hotheaded would-be-Musketeer, D'Artagnan, to stop the Cardinal Richelieu's evil plot: to form an alliance with enemy England by way of the mysterious Milady.Rochefort, the Cardinal's right-hand man, announces the official disbanding of the King's Musketeers.Three, however, refuse to throw down their swords - Athos the fighter and drinker, Porthos the pirate and lover, and Aramis the priest and poet.Arriving in Paris to join the Musketeers, D'Artagnan uncovers the Cardinal's plans, and the four set out on a mission to protect King and Country....From the upstart of the film, you cannot help but think Disney is trying to cash in on the 'Prince of Thieves' bandwagon. For one Wincott pays the second in command villain, and Bryan Adams provides the 'big' song.Whilst it's nowhere near as fun as the aforementioned movie,it still has it's moments and the titular characters are a hoot whenever they are together on screen.O' Donnell on the other hand is the kiss of death for this movie, and ruins every scene he's in. It just goes to show that 'scent of a woman' was a one trick pony.Luckily Sheen, Sutherland and Platt share most of his scenes and over shadow him at all times.Curry is crazily fun as the Cardinal and just keeps the ham and cheese light. Other characters are wasted, and annoying, but the last third of the film ups the action ante and makes the whole thing worth sitting through.Just.",The Three Musketeers
9,Mr-Fusion,"""Come D'Artagnan, we're saving the King!""",7,16 November 2021,"If memory serves, I'd written this off as a ""Prince of Thieves"" cash-in at the time (even as a teen, it seemed obvious). But it's an unfair comparison and ""The Three Musketeers"" is entirely its own thing. This is a spirited, well-mounted adventure with evident chemistry between the lead foursome. Not to mention Tim Curry's undeniable screen presence and Michael Kamen's expert scoring. It's a good story with enough weight but still a sense of fun throughout; and you can primarily thank Oliver Platt for this, because he's clearly having fun. Plus, he's able to hold his own against the bigger names in the cast.Add in the clanging of rapiers and some wonderfully un-Disney sexuality, Older Me finds this movie a pleasure to watch.",The Three Musketeers
10,cricketbat,A lot less swashbuckley than I remember,6,26 November 2019,"I remember really enjoying this movie as a kid, however The Three Musketeers is a lot less swashbuckley than I remembered. This very loose adaptation of the novel by Alexandre Dumas was depending a lot on the star power of Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, and maybe even Oliver Platt to carry the film, but that power has diminished a little over the years. At least ""All for Love"" is still a great song.",The Three Musketeers
