,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Huh???!!!!,3,28 June 2005,"To quote Colin Mochrie of Whose Line is it Anyway, ""it's CRAP""!!! To put this into perspective, I love foreign films--and I'd rather see them than most Hollywood films. I have seen perhaps as many as two thousand foreign films--and most of the ""must see"" films of directors such as Bergman, Truffaut, De Sica, Kurasawa, Fellini, Bunuel, etc. So, my strong opinion is not without some experience--I am not just some jerk who knocks Bergman's films because they don't have explosions or toga parties!!!! My contention is that SOME of this wonderful directors (or at least some of their films) are incredibly overrated, and are seemingly above criticism. Well, not from me--I love to stir the pot of controversy and call it like I see it. Check out some of my other reviews--I had ADORED some foreign films (such as The Umbrellas of Cherbourg) or directors (Akira Kurasawa) yet been unimpressed by other films (Such as several of Fellini's films--Satyricon and Juliet of the Spirits).So, on to Bergman. My favorite film he made is The Seventh Seal. It wasn't exactly my favorite when I first watched it, but found that the more I thought about it (with its originality and intense performances), the more I was impressed. Scenes from a Marriage, Through a Glass Darkly, Fanny and Alexander and other movies of his were excellent, but not great films, as they had flaws which prevented them getting higher ratings.Persona is the only Bergman film which I gave a really BAD rating. It is hopelessly bleak, choppy (when it purports to be artsy by including repellent seemingly random images in portions of the movie) and silly. The mentally ill central character (Liv Ullmann) does not talk throughout the movie but the dialog is spoken by her nurse (Bibi Andersson)--who increasingly becomes irritated with Ullmann for her silence. I felt much the same way about half way through the film. All this excitement(?) is set in a seaside vacation home. I guess many found it shocking or sophisticated--all I felt was bored and amazed with how unimpressive the film was.So, maybe you should see it for yourself and make your own decision. Maybe all the critics are right and I am just a hopeless crank! My wife would tend to agree (that I am a bit of a crank, that is)!!",Persona
1,TheLittleSongbird,"A brilliant film, but is not for everybody I don't think",10,5 September 2012,"I can understand the viewpoints of those who loved and were moved by Persona and those who were confused or frustrated by it. I personally love it, but I was underwhelmed by it first time. Persona is definitely not the most accessible of Ingmar Bergman's films, Wild Strawberries and The Magic Flute were much more in that regard, and it is also not an easy film to talk about or review. I have seen those who didn't like Persona finding that the story structure is disjointed. In a way it is, but what also made it fascinating in my view was how it explored the nature of art and reality in an ever thought-provoking(by Bergman standards) manner. Sven Nykvist's cinematography is fantastic, the melting frame was an interesting and well-done technique here, as is the scenery, and it is not a Bergman film with a memorable image or two. Persona definitely has those, with the disturbing and somewhat daring images at the start, the immortal image of the two main characters' faces becoming an entity and the more retrospective one with Alma reminiscing with the sexual encounter. The score is hauntingly beautiful, and the way it's written Persona comes across(like Cries and Whispers) as emotionally complex, somewhat disturbing and very moving, and as ever thoughtful also. The inclusion of off-screen voices are well-incorporated. Bergman's direction I cannot fault, and it's the same with the two leading ladies. Liv Ullman proves that a performance where actions and gestures speak louder than words can still move you, and she does that splendidly. But for me it is Bibbi Andersson's film, she is just heart-breaking in her loyalty and compassion. Overall, a brilliant film but understandably not the easiest of films to watch or review. 10/10 Bethany Cox",Persona
2,SnoopyStyle,artistic film,6,9 July 2016,"Actress Elisabet Vogler (Liv Ullmann) has lost the ability to talk. The doctor can find no medical reason for it. Sister Alma (Bibi Andersson) is a nurse put in charge of Elisabet. Alma talks to Elisabet and eventually starts revealing intimate details of her life. Alma becomes more volatile but Elisabet is still unable to talk.This is truly a film rather than a movie. The visual style is stark black and white. There are snippets of surreal imagery. There are iconic Bergman blocking. It is so iconic that some even mock it in satires. The central idea of the duo personality is poetic. Of course, I'm not smart enough to decipher it without help. Essentially, this is mostly one long monologue from Alma to Elisabet. The narrative gets tiring. This may be an iconic film but it's not for me.",Persona
3,Hitchcoc,Those Bergman Females Could Act,10,23 October 2009,"Bergman has it all here. He gives us a film about two incredibly complex women. He throws in the emotional baggage his people often have and he finds a milieu for them to participate in. Liv Ullman has had a breakdown of sorts, leaving her mute. Bibi Andersson is a chatty nurse, whose role is to take her to an island and simply watch over her. As time goes by, we begin to see that she is herself a tormented soul. Ullman's character doesn't vary much. She has established a being. She doesn't speak, but she doesn't shy away. She is sensitive and smiles. The young nurse can't stop talking, telling her innermost secrets. At one point, she reads a letter that was supposed to be mailed and finds out that her charge doesn't respect her much. This sets up a rift and only bad things can come out of it. This picture is so much more, however, because Bergman plays with quick cut images, superimposed on the screen. We are aware that this is a movie because of a projector that we see in the beginning and end. There are surreal elements all over the place, images dominating the screen. If Sven Nyquist has ever done a better job, I don't know when it would have been. I have to watch this again.",Persona
4,Horst_In_Translation,Did very little for me in the end,4,11 September 2020,"""Persona"" is a Swedish black-and-white film from 1966, so this one had its 50th anniversary not too long ago and of course it was made by Ingmar Bergman who is considered being one of the most defining filmmakers of all time. Sadly, I cannot agree judging by what I have seen from him so far and this film here certainly did not change it. Rather the opposite was the case that I think he is even more overrated. Bergman was in his 40s when he wrote and directed this one, so it is neother an early or late career effort from him. The manw as nominated for no less than nine Oscars, but even if this one here is certainly among his most known, most seen and most famous (as you can see from the almost 100k votes here on imdb, which is not a given at all for such an old film), it did not get in at the Oscars. Swedish lead actress Bibi Andersson managed to score a nomination though with the BAFTAs, maybe the biggest success of her career, even if she lost out to Anouk Aimée. The latter is still alive, but Andersson died not too long ago. She was 30 when this movie here was made. Her co-lead is played by Liv Ullmann, who managed the bigger career from the two and was minimally younger than Andersson when this was made, but of course physically very different with her dark hair and Andersson being blonde. These two are at the very center of the film. There are sipporting players, but their impact and screen time are really minimal and also not too many supporting players, which is why I believe this film is also really suitable for being turned into a stage play. You also don't need many different locations as the prologue is set at a hospital somehow where the two women meet each other and basically get to know each other, but immediately afterwards the action switches to the seaside where Ullmann's character is being sent, so her health gets better, which also happens indeed. But I will get to that later. At comfortably under 1.5 hours, this is not a long film by any means and I am actually pretty glad that it was not because I cannot say I was well-entertained here at all when I was lucky enough to see this one on the big screen tonight. Or ""lucky"" enough. I must say I am a bit baffled by how high the rating is here on imdb and that this film sits comfortably in the biggest movie site's top250. It deserves none of that and in the next paragraph I want to explain why I think so.I already struggled with the realism from very early on. While it still felt somewhat accurate at the hospital itself and I especially liked the conflict about the actress maybe not wanting to speak and get active, so there is no need to ""cure"" her, it got pretty absurd at the seaside later. It felt incredibly over the top how quickly the two women had grown closer apparently and how Andersson's character saw her counterppart as somebody she liked dearly because otherwise she would not have talked about the very intimate sex experience honestly. Or was that supposed to tell us she know no boundaries and that there is something wrong mentally with this character as we certainly find out later on? The moment with the shard on the ground, apparently put there intentionally, was one of very few moments I kinda liked because it brought in some solid psycho thriller perspective with how Andersson's character keeps looking if Ullman's steps into it and actually says something as a consequence. Well, she does eventually step into it and utters one word then. The scene with the boiling water is also memorable, once again because this is where Ullmann's character is forced to speak. You could think that it all would escalate soon, but then it is simply back to Ullmann's character being about to leave and Andersson's begging her not to. In the end, we do see some blood though, but what happens exactly there is kinda unclear. It felt just dramatic for the sake of it. Another thing I did not like about this film at all was really the stylistic take. It feels fake to me and not creative at all, but all for the sake of it. With that I mean the frame with the boy at the very start and very end, the burning screen really that followd after the shard scene immediately or also when one character has the exact same scene and dialogue twice and in immediate succession. I mean sure if you dog deep enough, you could make a statement there that it includes some artistic approach, but to me it all felt very much style over substance. The story with the blonde woman losing her cool and sanity eventually even in the face of the other woman being too stuck-up to tallk to her (at least that's what she thinks and still she adores her for being a big actress) would have offered certainly much more potential than Bergamn delivered here. Also the political background with the burning man relatively early on felt all for the sake of it, to be as controversial as possible, if you ask me. I wish he could have kept it as simple as he did with the running time, turn it into a bit of a psychological thriller movie with decent subtlety instead of going so shamelessly for a pseudo artistic approach as he did eventually Still, it's not a terrible movie, but more on the weak side for sure as you can see from my rating. I also feel that my perception would not change by any means if I watched it again, so I have almost no interest to do so. I still think that Andersson nailed her moments here and there and she was good with hhow volatile her character was and how said volatility could immediately turn into danger nonetheless. Definitely not a stable character, even if her performance is also not as huge as I have seen some say it is. No surprise she scored the much bigger awards attention allone for the fact that Ullmann simply was not allowed to talk here at all for almost the entire movie, which clearly hurt her chances to truly make an impact and even if it was a crucial component of the story, she feels somewhat wasted in my opinion. So, overall, this b&w movie gets a thumbs-down from me. I suggest you do not listen to the general consensus and skipt the watch this time. It's not the massively creative achievement people want you to think it is. The editing is a bit wild too and the soundtrack over the top with how loud and in your face it is and again zero subtlety as if they wanted to get in some of the drama there that they could not get in with the script no matter how hard they were trying. Go for something else instead, maybe even by Bergman or allso by Roy Andersson for example.",Persona
5,claudio_carvalho,A Theatrical Movie of Direction and Performances,9,29 July 2004,"Elisabeth Vogler (Liv Ullmann) is an actress who became mute in a play. Her doctor (Margaretha Krook) says that Elisabeth is mute by option, in a kind of sophisticated suicide, and decides to send Elisabeth to her house on the beach with the company of the nurse Alma (Bibi Andersson). While together, Alma initially worships the actress, opening her heart and secrets to her. Later, she feels betrayed, after reading a letter of Elisabeth and then she changes her personality to act like Elisabeth. This movie is open to the most different interpretations and it probably is a marvelous essay for those professionals and students of psychological area. As a lover of cinema, I really appreciated the usual outstanding direction of Ingmar Bergman and the stunning performances of Bibi Andersson and Liv Ullmann. This theatrical film keeps the camera basically all the time focusing the two lead actresses, and Liv Ullmann, even performing a mute character, offers to the viewers magnificent expressions. Unfortunately, the quality of the VHS released in Brazil by the Brazilian distributor Continental is a shame, having subtitles in Portuguese on (covering) the English subtitles. Further, this is the unique option we have in my country to watch this film, since it has not been released on DVD or in restored copy. The title in Brazil is simply ridiculous! My vote is nine.Title (Brazil): 'Persona  Quando Duas Mulheres Pecam' ('Persona  When Two Women Sin')",Persona
6,classicsoncall,"""But somehow..., I think I could change myself into you if I tried.""",8,22 November 2017,"The movie opens with a series of unconnected and somewhat disturbing images - the shearing of a sheep, a nail pounded into a victim's hand a la the crucifixion, dead people on slabs in a mortuary. Quick edits over the opening credits additionally lend a surreal flavor to the picture, so that we have no idea what's coming. If one were to view the opening montage once again after the picture concludes, one might be willing to connect the teenage boy to Elisabet Vogler (Liv Ullman) as the son she bore who she wants no part of. One will have to decide.It seems to me this is the kind of film that's open to one's interpretation in the most personal of ways. Having read a few of the reviews for this movie, there are multiple thoughts on the film that appear just as valid as mine might be, some that even contradict each other. For this viewer, the dynamic between Elisabet and Sister Alma (Bibi Andersson) forces the caretaker to confront her own insecurities about life. In Elisabet, Alma foresees for herself a failed marriage, children she doesn't want, and abandoning a job that she likes for the sole reason of fitting into a society that expects those things from a woman.It's interesting how Ingmar Bergman's direction offers ambiguity in various scenes. When Lisabet tears up the picture of her son, does Alma witness that or not? When Mr. Vogler arrives he speaks to Alma as if she were his wife, leaving her in a state of confusion. However one of the principal ideas coming out of the film, that the personas of Lisabet and Alma are somehow merging together is one that never crossed my mind, even with the camera tricks of melding the two faces together. As I say, one will have their own thoughts and ideas about what occurs in the story, and who's to say that any one or another is valid or invalid? It's all open to interpretation.What elevates the picture to the rank of pure cinema can be found in it's artistic style and bold cinematography. Notwithstanding the early garish images, the film remains austere throughout with minimal backgrounds. The hospital room and the summer beach house are starkly furnished, as the camera focuses principally on the two women throughout. The story is an existentialist expression of it's director, and if one concentrates on the observation of The Doctor directly to patient Lizabeth, one might catch Bergman's elusive goal, to capture ""the hopeless dream of being, not seeming, but being"".",Persona
7,gavin6942,Classic Bergman,8,5 February 2015,"A nurse (Bibi Andersson) is put in charge of an actress (Liv Ullmann) who cannot talk and finds that the actress's persona is melding with hers.Ingmar Bergman made great films throughout his entire career, up through the 1980s and ""Fanny and Alexander"". But his real strength is in his use of black and white, from ""Virgin Spring"" to ""Seventh Seal"" and beyond. This film is again a triumph of black and white, with the most striking shots absolutely necessary in this form. Color would ruin them.Some have called this ""modernist horror"", and that is something I can see. More interesting, though, is just how visual this film is. Sure, we have talking (including some sexual language that may offend sensitive ears), but the bulk is just art. Visual art.",Persona
8,jboothmillard,Persona,8,23 August 2009,"From Swedish director Ingmar Bergman, being given five out of five stars by the critics, and featuring in the book 1001 Movies You must See Before You Die, it sounded like it would be good. Basically young nurse Alma (BAFTA nominated Bibi Andersson) is put in charge of looking after actress Elisabeth Vogler (Liv Ullmann), in good health but is completely mute. As they spend a lot of time together, Alma talks to her, mostly about herself and her opinions, never receiving an answers or replies from Elisabeth. Alma eventually decides to confess some secrets to the seemingly sympathetic Elisabeth, and she slowly finds she is submerging into Elisabeth's persona. Also starring Margaretha Krook as The Doctor and Gunnar Björnstrand as Mr. Vogler. Filled with some intriguing and nearly confusing flash moments, and good performances, this foreign film may have been a tiny bit confusing, but it was very watchable. Very good!",Persona
9,moonspinner55,Nothing if not bizarre,6,2 September 2002,"Appropriately (and predictably) moody Swedish drama from Ingmar Bergman examines intricate relationship between mute woman and her bright, sensitive nurse from a psychological stand-point. The plot takes some fascinating turns, but Bergman is hardly a compassionate man. A character's plight or a tender look is always undercut by bitterness or cynicism, and the bizarre opening montage may send many viewers packing before the picture ever gets going. At the heart of the piece, however, are two very fine performances by Bibi Andersson and Liv Ullmann, who never reveal a false thought or emotion (even in the tightest of close-ups). For curious movie-buffs, interesting viewing; unfortunately, the air begins to leak from this balloon with 15 minutes left on the clock. **1/2 from ****",Persona
