,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,HAL Comes To Washington,7,21 October 2008,"Shia LaBoeuf plays two parts in Eagle Eye, very briefly he's a young Air Force Man working at a very top secret room on the 36th sub level of the Pentagon basement. He gets killed in a traffic accident and the scene shifts now to his underachieving twin brother who works at a copy store.After the funeral of the Air Force Shia, strange things happen to copy boy Shia. He gets 3/4 of a million dollars in his bank account and his apartment gets filled with all kinds of things that make him look like terrorist suspect number one in the USA. At the same time a young mother, Michelle Monaghan gets some threatening phone calls about bodily harm happening to her son. The two of them, total strangers, get forced to work together on some convoluted scheme.What Air Force Shia was working on is a Hal like computer which monitors everything and knows everything about anyone. The latest in technology in the war on terror. And this HAL like creature named ARIA does not like to be told 'no'. Like HAL, ARIA has decided to dispense with the human element of running our government.Stephen Spielberg produced and D.J. Caruso directed a nice cast of players supporting LaBoeuf and Monaghan. Shia is certainly shedding his Disney Channel image from his Even Stevens days. Best in the supporting cast is Air Force Intelligence Officer Rosario Dawson, formerly B'Elanna Torres on Star Trek Voyager.If this is our future, God Help Us unless we're in the process of creating God with silicon.",Eagle Eye
1,Leofwine_draca,"Dumb, noisy OTT nonsense",3,1 August 2011,"EAGLE EYE has the makings of a decent film. It has a big budget, some of Hollywood's most interesting names (aside from Shia LaBeouf, an actor I'm ambivalent to at best) and a story which has all the trappings of a strong, edge-of-the-seat. A shame, then, that it blows it all in the kind of nonsensical, over-the-top action sequences that belong in a film like TRANSFORMERS instead of a supposedly believable based-in-reality thriller.D. J. Caruso previously directed LaBeouf in DISTURBIA, a fun if undistinguished riff on Hitchcock's REAR WINDOW, remade for the teen crowd. He has his eyes on a wider canvas here, delivering a chase-focused story that takes place throughout the US. There's a solid mystery aspect to the script to begin with, before it transpires that this is nothing more than a spin on the same kind of story we've previously seen in the likes of the TERMINATOR series. There was a wobble in my enjoyment during an indulgent kid's-fantasy scenario involving out-of-control cranes tossing cars around like Matchbox toys, and then the whole suspension-of-disbelief thing is blown to pieces by a scene in which a guy is killed by falling power cables. That kind of scene is an example of extremely lazy writing, and something that just wouldn't happen even within the film's own logic and universe.From this point in, the film lost me. LaBeouf's character was dull, and Michelle Monaghan – who's previously shone in supporting roles in the likes of MISSION: IMPOSSIBLE III – seems to play a character with no real point in the story. Others, like Rosario Dawson and Michael Chiklis, are completely wasted. Only Billy Bob Thornton gets a chance to act, but even the role he plays is cliché and dull with little interest behind it. By the time of the umpteenth plane attack, explosion, car chase and CGI-reliant action scene I was seriously bored, and only too glad when the predictable ending arrived.",Eagle Eye
2,SnoopyStyle,Good action as long as nobody thinks too hard,6,12 April 2014,"Jerry Shaw (Shia LaBeouf) is a slacker underachiever. His twin brother dies. Then strange things start happening like a fortune in his bank account, massive amounts of weapons in his apartment, a phone call telling him to leave before the police, and the FBI crashing into his home. Jerry is arrested by Agent Thomas Morgan (Billy Bob Thornton). Rachel Holloman (Michelle Monaghan) is a single mom. A phone call gives her instructions threatening to kill her son. Meanwhile the phone calls keep coming guiding the pair to some unknown objective.There is some good action going on, and a whole lot of outrageous insanity. It struggles between realism and paranoid fantasy. The movie aims to go so fast with so much action that the audience doesn't have time to think about logic or reason. Then it gets even more complicated and it's too much. It seems like a simple story would be so much better. The movie kept going and going. At some point in the last half hour, the movie needs to end. It's just got too much.",Eagle Eye
3,Prismark10,She's out of control,4,5 June 2015,"Eagle Eye is a high tech concept thriller. Shia LaBeouf finds out that his identical twin brother has died. After the funeral he discovers money has been deposited in his account, bomb making material in his apartment and a mysterious woman phones him that the police are on their way to arrest him.Michelle Monaghan plays a single mom whose son is off to play a concert in Washington also receives a phone call from the same woman and she is also coerced to follow instructions or her son will be killed.The film is a preposterous techno thriller of a military supercomputer out of control which can dominate things not even on the grid including power lines (although technically that is on the grid!)Eagle Eye was at one time slated to be directed by Steven Spielberg and is inspired by an Isaac Asimov story. I guess Spielberg felt that the screenplay was never going to meet with his standards. Director DJ Caruso keeps at the film moving at a frenetic place so you never realise how implausible the film is. However there is little chemistry between Monaghan and LaBeouf and you get a feeling that many good actors are wasted.",Eagle Eye
4,kosmasp,Stop (actually don't stop),6,5 October 2010,"This is one of those movies, where if you even started to think about it, you would loose your mind to all the plot holes and all the irregularities in it. But is that what the movie set out to do? No it set out to entertain. So why not sit back and relax and enjoy the ""ride"" with it as long as you can? I hope you can do that and the beginning of the movie is pretty strong. And it stays strong, with a pace that makes Speed look like a turtle/snake in comparison to this Porsche/Ferrari. But again, it begins to fall off, just as the first thought comes into your mind. Everything falls apart. Again this shouldn't bother you too much, if you are out to have a good time and watch a movie and sit back and relax. And I almost could enjoy it more, but towards the end, it just got completely crazy. Something I couldn't completely bare with ... still a decent and in terms of entertainment maybe even great film for some!",Eagle Eye
5,lee_eisenberg,HAL's next step,7,1 January 2009,"I suspect that the total control of society depicted in ""Eagle Eye"" is nothing compared to real life. The movie actually comes out a little better than I expected it to be. It focuses on two people who start getting telephone calls from an unidentified source telling them what to do or face drastic consequences, and helping them along every step of the way.As one might predict, the movie's weaknesses are the excessive - and totally improbable - action sequences. But the movie does a good job looking at the risks that our society has created with its reliance on technology. Granted, it's not in the same league as ""2001: A Space Odyssey"". Probably worth seeing once. It appears that D.J. Caruso likes casting Shia LeBoeuf in quasi-remakes of masterpieces (he previously cast LeBoeuf in ""Disturbia"", which had a plot similar to the one in ""Rear Window"").Also starring Michelle Monaghan, Billy Bob Thornton and the voice of Julianne Moore.",Eagle Eye
6,jboothmillard,Eagle Eye,8,27 July 2011,"I saw this reviewed on Film 2008 with Jonathan Ross, it was given quite a mixed review, however the written reviews by critics gave it good marks, I was going to watch whichever opinion I'd agree with after, from director D.J. Caruso (Taking Lives, Disturbia). Basically there have been terrorist attacks on the United States, but there is a big mission aborted by the recommendation of the Department of Defense, and the agreement by Defense Secretary Callister (Fantastic Four's Michael Chiklis), US citizens are caught in the backfire. There is also a big plan for all mobile phones and battery or electricity run appliances and gadgets will be bugged, to hear and see everything someone does. Standford University dropout Jerry Shaw (Shia LaBeouf) has recently suffered the death of his twin brother from an accident, he achieved much more, and soon afterwards strange things start to happen. Starting with a huge cash sum appearing in Jerry's bank account, some high technology weapons delivered to his home, and then receiving a phone call from an unknown voice ordering him to get out and follow instructions. Also contacted by this anonymous voice is single mother Rachel Holloman (Source Code's Michelle Monaghan), soon enough she and Jerry are brought together to travel together as they are told the police are after them. They are warned that if they do not follow the instructions given by this voice, later revealed for being someone involved with the organisation and technological system called Eagle Eye, that people or things they care about will be targeted, in Rachel's case it's obviously her son. Meanwhile, chasing after them are the FBI led by Special Agent Thomas Morgan (Billy Bob Thornton), with investigation and stuff from Air Force Office of Special Investigations Special Agent Zoe Pérez (Rosario Dawson), but Eagle Eye are doing everything to stop them interfering. They are to see and hear essentially everything that Jerry and Rachel are doing, but they are also able to control things to help them on their way, e.g. traffic lights, buses, security doors, airport luggage transportation shoots, etc. Of course eventually we find out that Eagle is a large computerised system, and they are the enemy as they plan to detonate a bomb, hidden in the instrument of Rachel's son, set to activate on a particular note, and kill the President. In the end Jerry and Rachel manage to get to the place where the President will be speaking, stop the bomb from exploding, and Pérez with her colleague meanwhile seems to destroy the supercomputer. Also starring Anthony Mackie as Major William Bowman, Ethan Embry as Agent Toby Grant, Anthony Azizi as Ranim Khalid, William Sadler as Jerry's Dad and Deborah Strang as Jerry's Mom. LaBeouf gives a good panicky and racing performance, Monaghan does well as the worrying single mother, and Thornton is really good as the man trying to track them down. I will be honest and say that I did not understand all the reasons for what was going on, but the big reason I enjoyed this film was for the high octane chases, filled with explosions, near-misses and technology to add speed, an exciting action thriller. Very good!",Eagle Eye
7,rmax304823,Interesting Premise -- Kneecapped.,5,9 March 2016,"An engaging premise. You know the little voice that gives you driving directions from your GPS in the car? ""Turn left in two hundred yards."" ""Approaching destination."" Well, imagine that the little voice controls all the electronically transmitted orders to automated devices. I know it sounds terrifying but it needn't be all that bad. In this flick, Shia LaBeouf is astounded when his ATM shows a deposit of three quarters of a million dollars and spews it out into his hands and all over the Chicago sidewalk.Naturally, the beneficence of the little voice is an illusion, because its ends are to enable terrorists to take over the world, or destroy a city, or force everyone to listen to twelve-tone music, or something. The design is to force LaBeouf and his accomplice, Michelle Monaghan, to see that the terrorists get hold of a new explosive, so powerful that a chunk the size of a pinhead will -- I don't know, do things that are just plain distasteful. It enlists LaBeouf and Monaghan by saying in a cheerful voice through whatever device is available -- a cell phone, a traffic sign -- things like, ""You have four seconds to exit the car before your baby is decapitated."" That's what I call an imaginative premise and great things could have been done with it. But great things aren't done with it. It deteriorates in a few minutes into another novating action movie. The first high speed car chase takes place twenty minutes into the film. It seems to last forever. Never in the history of civilization has there been so much destruction wrought upon cars. They don't merely bump into one another, as at an amusement park, but they roll over ten times and disintegrate into thin slabs of metal mixed with mechanical junk. Cars are squashed by masses of scrap iron. They're picked up by automated cranes and dropped into Lake Michigan. The writers must hate cars.The human characters have far more endurance. They're practically superhuman. LaBeouf leaps out of a ten-story window, bounces off a tin roof far below, and lands on an I-beam over the subway tracks, and there's not a bruise on him. He's not even out of breath. And when he and Monaghan fling themselves into a mass of polluted water, we see them the next morning, and they look better than you and I do the next morning. After the dunking, the splashing, the swimming, the crawling out onto the mud, the hauling of themselves up onto the dock, Monaghan's hair is perfectly groomed. Her false eyelashes have stayed with her loyally throughout the ordeal.I couldn't watch the whole mess. I mean, there's a limit. Whatever happened to good solid Hollywood movies? Where did it all go? (Sob.)",Eagle Eye
8,Tweekums,Silly but exciting,7,19 April 2018,"Shortly after the death of his twin brother things start going wrong for Jerry Shaw in a rather strange way. First he gets home and finds his apartment full of weapons; moments later he gets a call for a woman telling him that he is about to be arrested, which he is. When he uses his 'one phone call' he finds himself talking to her again and she gives him instructions to escape. Meanwhile Rachel Holloman also receives a call telling her that her son's train will derail if she doesn't do as she is told. Soon she is united with Jerry and the two are forced to undertake a mission which will take them to the country's centres of power. As they travel they wonder about the woman guiding them; she appears to be able to access anything computerised; phones, traffic lights, all CCTV and even the cranes at a junk yard.It must be said that the plot of this film is rather silly and I'm sure most viewers will have an idea about the identity of the voice directing Jerry and Rachel long before the characters work it out. These details aren't much of a problem as the action moves along at a cracking pace with lots of exciting action from start to finish. This includes car chases with numerous crashes, a chase through an airport baggage handling area and excitement under the Pentagon and in the US Capitol building. Shia LaBeouf and Michelle Monaghan are solid as Jerry and Rachel; there are also impressive performances from Billy Bob Thornton and Rosario Dawson as the FBI Agent and USAF investigator looking for them. Overall I'd certainly recommend this to anybody looking for some fairly inoffensive brain-in-neutral action; if you are looking for something deep and meaningful look elsewhere.",Eagle Eye
9,BA_Harrison,A preposterous yet fun high-tech thriller.,7,15 September 2013,"A top secret government surveillance computer controls the lives of slacker Jerry Shaw (Shia LaBeouf) and single mum Rachel Holloman (Michelle Monaghan) with the ultimate aim of killing the President and his administration, whom she (yes, the computer is a female) holds responsible for a recent spate of terrorist attacks on the US.Calling Eagle Eye far-fetched doesn't really cut it: it has one of the most preposterous, highly unbelievable and convoluted plots that I think I've ever seen in a thriller. To list every ridiculous twist and turn in this film would take me all day, suffice to say that throughout the course of the action, the computer puts its human puppets through numerous life-threatening situations where death would be the most likely outcome, thereby risking putting an untimely end to 'her' plan.Of course, Jerry and Rachel somehow survive every crash, explosion and gun battle unscathed (at least until the final scene), thus allowing the film to continue though almost two hours of over-the-top Hollywood action the likes of which really needs to be seen to be believed: a building is crushed by a crane, computer controlled junkyard machines attack speeding cars, our heroes are involved in a gunfight on the conveyor belts of an airport baggage area, and a military drone flies into a tunnel to blow up traffic.The funny thing is, as easy as it is to criticise Eagle Eye for its unrelenting absurdity, I have to admit that I still had quite a bit of fun with the film: LaBeouf and Monaghan put in solid performances; Billy Bob Thornton is great as FBI Agent Thomas Morgan; director D.J. Caruso handles the chaos confidently, largely avoiding the use of rapid-fire editing and irritating visual gimmicks; and the special effects work is excellent, with a spectacular articulated truck crash being my highlight of the whole crazy affair. It might be a lot to ask of the viewer, but successfully suspend disbelief, and this can be a surprisingly entertaining popcorn cyber-thriller.6.5 out of 10, rounded up to 7 just for having the cojonas to make something so blatantly silly and over-the-top in the first place.",Eagle Eye
