,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Meandering,4,24 August 2021,"Not quite sure what this film wants to be but it does feel a bit confused. A personal drama about a cop battling her personal demons with a bit of bank heist thriller added to the mix. The narrative is unconventional and also quite boring at times and the character work is limited despite decent actors in the cast. Nicole Kidman fails to impress here, hidden behind a brunette wig and they've smeared some black stuff around her eyes to ugly her up, but it just looks like what it is. Some scenes should never have been included. The heist itself is pretty good and there are some powerful moments, but it's too meandering to work.",Destroyer
1,SnoopyStyle,makeup a little distracting,7,3 May 2019,"The LAPD finds a dead body. Detective Erin Bell (Nicole Kidman) has the same tattoo as the victim. Immediately, she knows that Silas is back. In flashbacks, she and her partner Chris go undercover to infiltrate a robbery gang some years earlier. In the present, she is tracking down Silas and having difficulties with her rebellious daughter.I didn't recognize Kidman initially. Her new look is a little distracting even as her younger self. It's a mask which I have fight through to get to the character. I'd rather she do a no makeup look as her younger undercover cop and have some aging with a scar to denote the rough times. Why can't Kidman just look like Kidman? There is also a confused time setting. I understand the jumbo time line concept but this needs a little bit more jumbo to make it work. It needs to find an incident to concentrate on and the walk in the snow seems to be the emotional climax. It needs to sprinkle that incident over the whole movie. The big climax needs more explanation. There is no tension with her simply shooting the guy. Despite all the little problems, Kidman's performance and the devastated character is memorable and compelling. It's certainly not bland.",Destroyer
2,nogodnomasters,He's back.,4,20 February 2019,"Erin Bell (Nicole Kidman) is an undercover LA cop. The story loops back on itself and runs with a flashback subplot. As a youth Bell was involved in an undercover bank robbery gone bad. We find out the details over time. She has a drinking problem and is obsessed with finding Silas, the leader of the gang who has resurfaced 17 years later. Bell will never win mother-of-the-year and part of the story deals with her broken relationship with her daughter.Kidman does a good job in the film as a young blue-eyed beauty and a rode hard brown-eyed adult. The film is a crime drama, that is waiting for something to happen. Edited in a way I found more confusing than entertaining.Guide: F-word. No nudity.",Destroyer
3,kosmasp,Back (for good?),9,17 May 2019,"Sometimes self destruction is as crazy as destroying other things. So what is the title hinting at? And what is the movie trying to tell us? A good story one could argue, with cause and effect and some clever play on going back and forth to tell a story. And it works more than nicely, which is something you will be able to appreciate in hindsight.Even if it may feel as ""too clever"" at some point, this really is gripping. And the length Nicole Kidman went to portray that broken character ... actors in general can be described as vain, so having this look is something you have to really embrace. Not to mention scenes, where she has to do something you might call despicable (even if it is to characters that we are supposed to hate - still the things feel wrong - no pun intended).If you are able to get through it (it is a tough watch), you may be able to see and ""enjoy"" this for what it is.",Destroyer
4,classicsoncall,"""You can be better than me.""",7,30 September 2019,"Kudos to Nicole Kidman for putting herself out there in a role that transforms her character into what looks as zombie-like as a heroin addict. In fact, I thought Erin Bell (Kidman) was strung out for real until it was revealed she was actually working as an undercover LAPD cop. That was the first test of credibility for this story, as it seemed like she was going rogue in order to solve a present day murder that had echoes in the past. I can't fathom an undercover cop with such unrestricted conduct that ignores staying in contact with a partner or failing to report to authorities. So that didn't pass the smell test for me.But after a while we learn that Erin Bell is virtually as despicable as the thug she's trying to track down, and not only that, but having turned her partner from the past into an accomplice in an armed robbery. All the while dealing with an incorrigible teenage daughter who deserved a few well placed cracks upside the head. No mother/daughter bonding here, while the entire question of Bell's relationship with Ethan (Scoot McNairy) is left an open question mark. Presumably they were a couple at some point, but how and why after the death of Bell's former partner Chris (Sebastian Stan) is never explained, so that disconnect casts a question mark over the story as well.Catch the film for a totally different side of Nicole Kidman, but leave your thinking cap at the door for much of what you see on screen. Revenge and mayhem without impunity seems to thrive in pictures like this, and this one has more than it's share. The resolution does nothing to make you feel better about what you just experienced, leaving one as disconnected as Kidman's character.",Destroyer
5,jboothmillard,Destroyer,6,17 February 2019,"I saw the trailer for this film a couple of times, I was expecting it to be a slightly big deal, but it only played in one cinema I could get to, I wondered if it was worth it, but film critic Mark Kermode convinced me to go for it, directed by Karyn Kusama (Æon Flux, Jennifer's Body). Basically LAPD detective Erin Bell (Golden Globe nominated Nicole Kidman) arrives at the scene of a murder, both the victim and the assailant cannot be identified, but Erin recognises tattoos on the back of the victim's neck, she informs the responding officers she knows who the killer is. At her police station, Erin receives a $100 bill stained with purple dye in an unmarked envelope. Using a contact at the FBI, she confirms that the bill is from a bank robbery committed by a California gang many years ago that she and her former partner Chris (Sebastian Stan) were involved in as undercover officers. She tells her superiors that she believes the bill and the John Doe murder to be proof that the gang's leader Silas (Toby Kebbell) is back. Erin is forced to work her way through the remaining members of the gang in order to find Silas. She begins with Toby (James Jordan), who was incarcerated, but has been given compassionate release as he is dying, he is living with his mother. Toby asks Erin to manually stimulate him in exchange for the location of Arturo (Zach Villa), a member of the gang who attempts to make amends for his past crimes by offering pro bono legal services to immigrants. Arturo provides Erin with the location of Dennis DiFranco (Get Out's Bradley Whitford), a lawyer who launders the money from the original robbery. Erin deduces that Silas is active again because the money from the heist is almost gone. After threatening him, DiFranco gives Erin the location of the next money hand-off, which is performed by Silas' girlfriend Petra (Tatiana Maslany). Erin tracks Petra and intervenes in a bank robbery committed by Silas' new gang, she kidnaps Petra. In flashbacks, it turns out Erin and Chris developed a romantic relationship while undercover, Erin got pregnant with his child. At Erin's behest, they decided to become legitimate participants in the bank robbery and planned to take their shares of the heist, report to their superiors that they lost contact with the gang, and eventually quit the force. The robbery was botched when a dye pack exploded in one of the bags, and Silas killed the bank teller who placed it. When Chris attempted to intervene, he was shot and killed by Silas, while Erin hid her share of the heist and returned to policing, disclosing neither her original plan or her share of the heist. In the present, throughout Erin has also been trying to make amends with her daughter Shelby (Jade Pettyjohn), who rejects her, but eventually they do have a meaningful conversation, and Erin apologises for being a bad mother. Erin visits a self-storage unit to retrieve her share of the stolen money but finds that most of it is stained with dye, she takes out any bills she can without staining. She receives a text message instructing her to meet at the Sixth Street Viaduct, she realises it is Silas, so she confronts him and shoots him, avenging Chris. She returns the next morning to find the police investigating the crime scene: the John Doe murder investigation seen at the beginning. With Silas dead, Erin gives evidence of her guilt, including Petra's location, the stained bill, and the key to her storage unit to her partner Antonio. It is revealed that Erin has been bleeding internally from the injuries she sustained through her investigation, and she dies while sitting in her car looking up at the sky. Also starring Scoot McNairy as Ethan, Toby Huss as Gil Lawson, Beau Knapp as Jay, Natalia Cordova-Buckley as Detective Gavras, Colby French as Detective Kudra and Kelvin Han Yee as Lieutenant Oshima. Kidman is almost recognisable as the physically ravaged cop who is fearless and determined to catch the killer and have her vengeance, it is essentially a flawed cop story, it has a great script and thrilling action when it needs it, I wonder if it is a little overrated by critics, but it is a most watchable crime drama. Good!",Destroyer
6,michaelRokeefe,This Detective won't give up,8,9 November 2020,"Detective Erin Bell (Nicole Kidman) had her cover blown while undercover infiltrating a California gang. Sixteen years later, the leader of the gang manages to escape. He resurfaces to make up for lost time; meanwhile Erin wants to make up for her past failures on the job and right her wrongs in a life that has failed her. The charismatic detective is determined to take this gangster down.Kidman proves she can carry the lead. Also in the cast: Toby Kebbell, Sebastian Stan, Shamier Anderson, Tatiana Maslany and Zach Villa.",Destroyer
7,searchanddestroy-1,Search and destroy,10,27 February 2019,"I love this movie, so dark, bleak, depressing and totally hopeless. Nicole Kidman gives here her best performance ever. Her character is worth watching and usually held by men. This true film noir is not for all audiences, and also a sometimes ankward about directing and editing. There are some lengths that can put some discomfort of the whole film structure. It sometimes hesitates between action movie and film d'auteur but Nicole Kidman can easily justify to go and see it.",Destroyer
8,ferguson-6,Nicole sans glamour,6,9 January 2019,"Greetings again from the darkness. The rogue/burned-out cop obsessed with an old case or particular criminal nemesis is something we have seen many times before. Ordinarily there would be no reason to seek out yet another movie on the subject; however, this time the reason is obvious ... Nicole Kidman.Ms. Kidman, an Oscar winner for THE HOURS (2002), is an excellent actress and has had a wonderful career, but this is something altogether different for her. She plays LAPD Detective Erin Bell, a worn-down, emotionally shattered shell of the idealistic cop who, 17 years earlier, was part of an undercover operation that went tragically and violently wrong. Director Karyn Kusama (JENNIFER'S BODY, 2009) bounces back and forth on the timelines - sometimes we are viewing Erin's undercover work with her partner Chris (Sebastian Stan), and others we get the haggard Erin of present day. The contrast is stark.The ghost of case past has returned, and we witness what has haunted her these many years. Past decisions and actions have rotted her spirit, while alcohol has since destroyed her body. She is a wreck - physically and emotionally, and her reputation within the force is shot. It wouldn't be totally accurate to describe her as self-destructive since she has already destructed. The only thing keeping her going is booze and a desire for revenge.Flashbacks take us through her early work with the crime gang led by Silas (Toby Kebbell), a master of psychological manipulation (think Charles Manson). We also see Erin's too-close connection to partner Chris, and a terrific bank heist scene explains how things went down. Now it's 17 years later, and Silas has resurfaced. Erin wonders why. We also see Erin's feeble attempts to be a mother to her 16 year old daughter (do the math) Shelby, played by Jade Pettyjohn. The two have only a sliver of a relationship as Shelby lives with Erin's ex Ethan (the eternally underutilized Scoot McNairy).Other support work is provided by Tatiana Maslany as one of Silas' gang, and Bradley Whitford as a scummy defense attorney. Erin has a sequence with the latter that emphasizes just how alone she is. When asked where her partner is, we realize she has no partner with her and no back-up on the way ... she is a lonely, desperate, rogue cop with a murky plan and a head clouded by booze.Writing partners Phil Hay and Matt Manfredi (known for CLASH OF THE TITANS and RIDE ALONG) deliver very few surprises with the script, leaving the burden on Ms. Kidman to keep us interested. And despite her character's train wreck of a life, the performance is quite something to behold ... her look, her gait, and even her whispered voice - all point to a woman hanging on by a thread and lacking basic daily energy to show any signs of hope. Director Kusama adds texture by showing many non-touristy areas of Los Angeles, and filming the two timelines in such a way that the structure works - although the Erin in shambles is far more intriguing than the younger one. On a separate note, there should be a special Oscar for the make-up team that managed to make the usually glamorous Ms. Kidman look realistically shattered.",Destroyer
9,gradyharp,'There's nothing to lose when you've already lost everything',7,29 April 2019,"Director Karyn Kusama (AEon Flux, Girlfight, The Invitation) has created a film that may be difficult to watch because of the manner of relating the story by Phil Hay and Matt Manfredi, but the overall atmosphere and scenic moods captured make the impact of the film significant.As a young cop LAPD detective Erin Bell (Nicole Kidman) was placed undercover with fellow detective Chris (Sebastian Stan) with a bank robbery gang lead by Silas (Toby Kebbell) in the California desert with tragic results. When the leader of that gang re-emerges many years later, she must work her way back through the remaining members and into her own history - her daughter Shelby (Jade Pettyjohn) by Chris, her ruined marriage to Ethan (Scott McNary) to finally reckon with the demons that destroyed her past. Impressive performances by 'gang members' Tatiana Maslany, Beau Knapp, and Zach Villa et al enhance the grit of the story. To share more about he plot would be a spoiler, robbing the new viewer of the surprises of the ending.Nicole Kidman adds another dimension to her acting talent with an unflatteringly old face and body Erin, but the character she inhabits becomes a bit monochromatic. The camera work by Julie Kirkwood is dazzling and the musical score by Theodore Shapiro captures every facet of the moods of the film. All of the ingredients are fine - the pacing is sluggish and at times confusing - and simply for a new style of cinema the film is worth seeing.",Destroyer
10,blanbrn,"Raw and gritty uncommon and dirty performance from Nicole Kidman, proves the past is often haunting.",9,12 September 2019,"I must say that the cop drama ""Destroyer"" is one of the better movies and top notch works that I've seen from the wonderful Nicole Kidman in years. Nicole is Erin Bell a burned out and plain Jane weathered looking undercover LAPD drug detective who appears on her last leg. It's only when a case turns up it seems to have some past connection to her years ago undercover work thru L.A. and the California landscape which brought tragic results. And Erin has plenty on her plate from a rebel like teenage daughter to problems in the department with higher ups that involve case work power struggles.And while Erin who's self destructive it's her memories and flashbacks while working on a current case that haunts her the most as the images are painful as her tragic undercover work has damaged her so much now. All while fighting this new crime wave Erin faces her demons in a bold raw tough kick butt kind of way, as this drama is a very personal look at a damaged character who needs new hope and redemption. Overall tough underrated drama that's not pretty and Nicole's tough performance is to die for.",Destroyer
