,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Intriguing and ahead of its time,8,11 May 2011,"I don't know about anybody else but I really quite like this movie. While I did love its concept, I do agree some parts are difficult to comprehend at times and at others there is a slow rhythm making the film not quite as compelling as it would have liked. Regardless, I still like TRON a lot, especially for the superb effects and visuals and unique sound effects, both assets of which are quite ahead of their time. Also the soundtrack is very memorable and fits perfectly, and even with the odd stilted moment the dialogue intrigues. The direction is good enough and serves its purpose well in the more action-packed moments, and I did like the characters and acting. Jeff Bridges is charming and likable with a cool character, while David Warner comes close to stealing the show. All in all, a very intriguing film then and now and ahead of its time. 8/10 Bethany Cox",TRON
1,Leofwine_draca,Like watching somebody else playing a computer game,3,21 December 2013,"Like SUPERMAN, TRON was a film that slipped me by during the 1980s. I never saw it, never knew anything about it, never got caught up in the hype surrounding it despite an interest in computers and virtual reality back then. Seeing it now, over 30 years since first release, I can only say I'm sorely disappointed.This is an exceedingly dull and plot less film that's the equivalent of watching somebody else playing a computer game, and we all know how boring that is! It has potential at the outset, but after a short while - basically, when Jeff Bridges is sucked into the computer world - it becomes dull beyond belief. The endless computer-generated action certainly looks pretty, and the effects were and still are remarkable for the time, but that's all there is to it. It's like an early forerunner of the kinds of CGI-and-CGI-alone movies we get these days like TRANSFORMERS.There isn't even any point me making note of the acting, because nobody gets a look in. Everything, and I mean everything, is secondary to the special effects; the actings, the plotting, the dialogue, everything. I love computer games, but only when I'm playing them. TRON isn't a real movie but rather an excuse for graphics and graphics alone.",TRON
2,SnoopyStyle,Forget realism and just enjoy the adventure,7,17 October 2013,"Kevin Flynn (Jeff Bridges) is convinced that former colleague Ed Dillinger (David Warner) stole his games for his company. With help from Alan Bradley (Bruce Boxleitner) and Lora (Cindy Morgan), he sneaks into the company. However Dillinger's powerful A.I. the Master Control Program (MCP) digitizes Flynn and sends him into the world of the computer programs.Does the science work? No.Do anything here seems the least bit realistic? No.But it works as an action adventure. The visual design is completely unique and absolutely iconic. Forget about believability. Just allow yourself to enjoy the adventure.",TRON
3,Prismark10,Trace ON,7,23 June 2014,"If there was no TRON then there might be no Pixar or no Toy Story. There have been films with CGI before but it was TRON that showed John Lasseter what was possible yet the film makes cunning use of CGI, there is less of it than people think.The film underperformed on its release and did better as a crossover arcade game. The light cycle sequence certainly helped. 1982 was the year that home computing was taking off in the UK with the BBC computer, Sinclair Spectrum, Commodore 64 entering households in greater numbers and TRON was riding on that wave, even its film score was acclaimed.The story is simple although it has to be noted Jeff Bridges is not Tron. Bridges is Kevin Flynn a programmer who has been cheated by a rival Dillinger (David Warner) who has taken credit for his work such as best selling arcade games and taken control of the Hi Tech company Encom. Flynn breaks into the Master Control Program (MCP) which has gained its own AI and become a super computer and takes Flynn inside a computer world in order to delete him.Flynn is helped out by Tron a legendary warrior in this computer world and he also looks like Flynn's friend Alan Bradley (Bruce Boxleitner). They along with others seek to destroy the MCP and get rid of Dillinger.Critics at the time were not impressed by the story but the film's graphical content, its cutting edge for the time representation of a Matrix style world and use of synthesised music has made the film endure leading to a belated sequel almost 30 years later.",TRON
4,claudio_carvalho,A Milestone in Cinema History,8,12 December 2009,"While unsuccessfully trying to hack into the mainframe of the corporation ENCOM, the programmer Kevin Flynn (Jeff Bridges) is detected by the Master Control Program that protects the system. Kevin worked in the company and is seeking evidences to prove that he had four video games including the successful Space Paranoids stolen by his colleague Ed Dillinger (David Warner) that was promoted to senior executive of the software corporation. Kevin's friends Alan Bradley (Bruce Boxleitner) and Lora (Cindy Morgan) visits him is his arcade and they decide to help him to break into the ENCOM to use Lora's terminal and find the evidences while Alan uses his security program Tron to shutdown the MCP. However, the MCP identifies Flynn and brings him to the virtual world. Flynn associates to Tron and Ram (Dan Shor) and they are helped by Yora to reach and destroy the MCP to end the dictatorship in the virtual world.The cult ""Tron"" is a milestone in the cinema industry with a wonderful story of virtual world and a stylish cinematography supported by an earlier CGI work. In 2009, the hardware in ENCOM may be dated, with monochromatic monitors and huge computer units; but in 1982, Atari was the state-of-art video game and Internet was not available. Therefore, I believe that even younger generations that enjoy video game and sci-fi genre will appreciated this film that was certainly a source of inspiration of ""The Matrix"". When Alan Bradley arrives in his cubicle, there is a poster with the sentence ""Gort Klaatu Barada Nikto"" in homage to ""The Day the Earth Stood Still"", the 1951 masterpiece of Robert Wise. My vote is eight.Title (Brazil): ""Tron, Uma Odisséia Eletrônica"" (""Tron, an Electronic Oddissey"")",TRON
5,kosmasp,Ahead of its time,6,7 September 2011,"Way ahead of its time actually. So much indeed that the tragedy surrounding the ""Best Visual Effects"" nod it didn't get (more on that in the Special Features of the movie or here on IMDb) is one of the most amazing stories about this movie. And it's not even that long ago, where it seems like they considered this the work of a ""witch"" (my conclusion for their strange decision).Apart from that you get the Dude playing it pretty straight. Though his stories from the set (and the ""getting in character"" console playing) are another amazing story in itself. The movie itself was very much sci-fi back then. And while it didn't become reality, the movie itself has not aged badly at all.",TRON
6,lee_eisenberg,"precisely, Sherman",10,14 May 2011,"One might call Steven Lisberger's ""Tron"" the movie that set the stage for visual effects as we know them today. The plot of course has a video game programmer (Jeff Bridges) getting transferred into a digital computer world by a sinister program, and then having to help the other programs rebel. But of course, the movie's main purpose is to have some of the coolest visual effects imaginable, depicting a computer world. All the more impressive when one sees the old-style computers that they used back then (they didn't even have the Internet!).OK, so we could be cynical and say that ""Tron"" led to a series of lesser movies that were excuses for constant visual effects, but I still say that it's one of the neatest things that I've ever seen. It helps that the movie elicits fine performances from Bridges, David Warner, Bruce Boxleitner, Cindy Morgan and Barnard Hughes. Bridges brings out the same energy that he did in ""The Last Picture Show"", ""Jagged Edge"", ""The Fisher King"", ""The Big Lebowski"" and ""Crazy Heart"".All in all, it's one that you can't afford to miss!",TRON
7,jboothmillard,Tron,5,19 May 2009,"Before the impact of Toy Story, followed by successes like Monsters, Inc. and Finding Nemo, Disney brought us this science fiction adventure complete with imaginative computer animation. Basically computer hacker Kevin Flynn (Jeff Bridges) is digitally broken down and zapped into the Cyber world by a villainous software pirate known as Master Control. In this colourful 3D graphical world, Kevin joins forces with Tron (Bruce Boxleitner) to try and defeat Master Control and the many challenges it creates for them to face, in order to get out of the system. Also starring David Warner as Ed Dillinger, Cindy Morgan as Lora, Barnard Hughes as Dr. Walter Gibbs, Dan Shor as Ram and Peter Jurasik as Crom. It is obviously very dated by today's standards of computer animation imagination, but to see where cinematic territory was broken is interesting I guess, it will probably appeal more to video game fans. It was nominated the Oscar for Best Costume Design and Best Sound, and it was nominated the BAFTA for Best Special Visual Effects. Worth watching!",TRON
8,ccthemovieman-1,Dated.....But Still One Of Those One-Of-A-Kind Movies You Should Check Out,7,2 September 2006,"When this came out, about 25 years ago, the special-effects were eye-popping. I was stunned and saw this twice at the theater, something I rarely did. Nowadays, it looks primitive. It's like when video games first came out, compared to what they are now.However, a few years ago when the DVD came out with the widescreen and 5.1surround sound, it made it somewhat-respectable again in parts and made it still fun to watch.The story was never that great. There was too much technical talk and the characters were the kind you really couldn't get involved over. It's nothing super, but if you've never seen it, I still recommend it. I don't recall any other movie quite like it.",TRON
9,ma-cortes,Precursory film with Jeff Bridges who finds pulled into another world against baddie David Warner as corporate executive realizing evil-doings,6,9 October 2011,"Original Sci-Fi film with rousing images and innovative computer generator scenarios about a creator whiz , a rebellious youngster ,who is flapped inside a computer game and haunted by the mysterious new world , undertaking a risked adventure . This cult movie deals with a computer genius named Kevin Flynn (a brave young man well played by Jeff Bridges who with his charisma keeps afloat the film ) , a youth once known as the world's leading video-game developer . When Kevin investigates the machine he soon finds himself pulled into a digital world where he has been trapped . During his investigation Kevin is zapped into another dimension and finds himself a player in a giant gladiatorial video-game competition . As he is sucked inside a powerful computer where he must fight for his life but with the help of the fearless partners and friends (Bruce Boxleiner and Cindy Morgan as Tron and Yori respectively ) embark on a life-or-death journey across a cyber universe , a universe created by Kevin himself that has become far more advanced with vehicles, weapons, digital outdoors and a ruthless villain (a computer generated David Warner) who will stop at nothing to prevent their escape and all sorts of bizarre things begin to happen .This exciting movie is full of thrills , action-packed , fights , tension , suspense and overwhelming races , but also several commercial elements , including computer-simulated violence . This is a dynamic, fast-paced and amusing movie It's an enjoyable , if somewhat light-headed piece of escapism with state-of-art special effects . Big-budgeted film led to break into the booming Sci-Fi/adventure/fantasy market full of inventiveness and imagination . Full of action, it's complemented by spectacular scenes , breathtaking flights and duels with illuminated disks and balls . Stunning action though the story runs out of steam too soon , however the thrilling ending arises the film . The flick relies heavily on the overlong and death-defying races that are incredible and magnificently made by means of innovative 3D computer generator by that time of the 80s , though nowaday dated . The tale moves like a supersonic bullet for most of its running time and the last generation of fantastic computer generator effects steal the show . Contrived beyond belief with spectacular motorcycle races that play like video games , but slickly calculated to please 1980s audiences and children especially . Jeff Bridges is good as valiant racer , he's an instinctive , stubborn and valiant young man . Cindy Morgan is beautiful as computer-generated young . Colorful cinematography plenty of neon and glittering color by Bruce Logan . Impressive and groundbreaking production design by Darren Gilford . Stirring and moving musical score by Wendy Carlos , Stanley Kubrik's usual , though composed by means of synthesizer . The motion picture is well directed by Steven Lisberger .Followed by a superior sequel , much better than original ¨Tron: Legacy(2010)¨ by Joseph Kosinski , and appears as producer Steven Lisberger , and also with the same actors as Jeff Bridges and Bruce Boxleitner , though doesn't appears David Warner , the former nasty executive , here replaced by Michael Sheen and Jeff Bridges in double role as good and bad guy ; furthermore , Olivia Wilde and Garrett Hedlund playing Kevin's son. ¨Tron¨ rating : 6,5 . Good , well worth watching , it proved to be a precursor for the modern cinema ,the movie boasts some impressive C.G. animation , reaching a high level of entertainment and excitement commensurate with its effect budget .It's viewing delight and amusing though toothless entertainment that benefits greatly from sympathetic acting and rudimentary but effective C.G special effects .",TRON
