,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Lolita thriller,5,9 September 2016,"Nick Eliot (Cary Elwes) is a new writer at Pique magazine. He rents the guest house of the Forresters (Kurtwood Smith, Gwynyth Walsh). Darian (Alicia Silverstone) is their flirtatious daughter. Cheyenne (Amber Benson) is her best friend. Nick starts dating coworker Amy Maddik (Jennifer Rubin) but Darian's crush also intensifies. Darian continues to hound him and even sabotages his big interview.The Lolita aspect of this performance from a younger Silverstone can be awkwardly uncomfortable. This doesn't have any pretension of being a literary touchstone. The movie manipulates the tension and pushes it beyond logic. It walks the line of camp and doesn't always succeed.",The Crush
1,gavin6942,A Dark Thriller,7,30 May 2016,"A journalist (Cary Elwes) becomes the unwanted center of attention for a 14-year-old girl (Alicia Silverstone), who proceeds to sabotage his life after he refuses her sexual advances.This is Alan Shapiro's baby. He wrote it, directed it, and as of 2016, it remains his best-known film. According to Jennifer Rubin, Shapiro also worked closely with Cary Elwes during the shoot to revise some lines here and there. (Incidentally, Rubin also recalls Elwes as ""mannered and proper"", much like some of the characters he plays.) To save a few dollars, the wardrobe department actually picked clothes from the actors' closets.Apparently this film was panned by critics, but I have to say those critics were wrong. Yes, some of the plot makes little sense and you have to really suspend your disbelief at times. But this is a horror thriller, so just allow yourself that privilege. This film stuck with me when I first saw it in the 90s, and watching it again now (2016), it had as much or more of an impact.The two leads are great. Obviously, this helped launch Silverstone's career (giving her a voice after working with Aerosmith); Kurtwood Smith recalls that the cast had Silverstone's 16th birthday party a day or two before shooting began. The part almost went to Reese Witherspoon, but in retrospect Silverstone seems to have been the obvious, better choice.And this was a nice entry for Elwes, who is generally thought of more as a comedic actor. He can do dark (see ""Saw""). Add model and horror icon Jennifer Rubin and Smith (not to mention a pre-Buffy Amber Benson) and you round out a top-notch cast for what appears to be a very low-budget movie (and obviously the crown jewel of writer-director Alan Shapiro's career).The effects are pretty decent and convincing. Perhaps the most notable scene involves a room full of bees. While it looks like Jennifer Rubin is being swarmed by an entire hive of bees, she actually has nothing to worry about. A few dead ones are glued to her hand (look closely how they don't move), and the ones flying through the air aren't bees at all -- it's puffed rice being blown out of a vacuum cleaner. Genius! One flaw, which is unavoidable, is the result of legal trouble: the original audio has the character named ""Darian"", and it had to be changed to ""Adrian"" (as there was a real Darian involved who had actually keyed Shapiro's car). This makes for some unusual dubbing. Although not noticeable most of the time, it does stand out occasionally -- Kurtwood Smith was never made aware of the change until later, meaning someone else had to dub him... which, of course, makes the name ""Adrian"" sound like it comes from another person's mouth.The disc from Scream! Factory is excellent and truly a must-have. Although they were not able to fix the sound ""phasing"" issues from previous versions, this was not noticeable for me and probably won't be for more viewers. The disc has an audio commentary from writer-director Alan Shapiro, which is priceless (and includes a story of his time swapping LSD stories with William Hurt). But we also get some one-on-one interviews with Kurtwood Smith and the incomparable Jennifer Rubin. A great release for an under-appreciated film.",The Crush
2,ccthemovieman-1,Alicia Was Hot Stuff In '93,4,19 February 2008,"Word was that ""you have to see this Alicia Silverstone; she's really hot."" That was back in 1993, so I checked out the movie. This was Alicia's film debut and she got a lot of hype for this movie.I discovered, yeah, Silverstone has a pretty face, but that's about it. The movie was nothing special; not something you haven't seen before. Cary Elwes, not Silverstone, ruins the picture. Not literally him; the character he plays: ""Nick."" What a dork! Nick is an incredibly stupid guy who befriends the 14-year-old ""Adrienne"" (Silverstone), who is his neighbor. The girl, who then expects more from the guy and doesn't get it, vents her wrath on him. Nick is so annoying I didn't care what the stupid neighbor did to him. Both of the lead characters deserved each other.Whatever happened to Silverstone? I guess she never really made it to stardom. The last I remember her was playing ""Batgirl"" with George Clooney and Arnold Schwarzenegger.",The Crush
3,Coventry,'Clueless' thriller,4,22 August 2005,"Alan Shapiro's first film intended for cinema distribution was (and still is) immensely popular even though it's a bunch of unoriginal nonsense. ""The Crush"" all the more proves that you don't really need an intelligent idea or a well-plotted story as long as you've got an attractive actress to play the lead-role Especially not when you manage to convince the audience that she's only 14 years old, but with the curves of an irresistible bikini-model. This is yet another fancy-looking thriller that combines the success of Stanley Kubrick's ""Lolita"" with the typical 'lethal-beauty' premise of ""Fatal Attraction"", and the result is a very routine and forgettable chiller with depthless characters and predictable situations. The only trump here is a gorgeous Alicia Silverstone in her debut as the obsessive stalker-girl Darian, who takes an unhealthy interest in the new tenant of her parents' studio. He  an untalented writer  politely turns down her approaches, but this only makes her more aggressive and determined. It doesn't take long before unpleasant things start to happen to the writer and his girlfriend but, of course, nobody suspects the cherubic Darian of being responsible. Cary Elwes' acting is downright awful and he makes Silverstone look like she's Oscar material, even though her performance is mediocre at best. The story moves very slow and doesn't dare to go controversial. Shapiro has the opportunity to insert the taboo-topic of sex with minors but he reluctantly avoids it, like he was already afraid of receiving negative remarks before his film is even released. All the talking about ""Wuthering Heights"" is really boring and the only few action sequences are very tame. The ending of this film is overly weird and misfit and involves a wild carrousel-ride in the atticor something like that. The supportive roles are decent, with Kurtwood Smith (""Robocop"") as Silverstone's unaware dad and Jennifer Rubin (""Bad Dreams"") as the writer's girlfriend.",The Crush
4,sunwarrior13,Watching At Alicia With The Mute Button Saves The Movie From the Lowest Rating,3,6 December 2020,"Cary Elwes and Alicia Silverstone stars in this movie written and directed by Alan Shapiro based on the events of his own life entitled ""The Crush"".A journalist becomes the unwanted center of attention for a 14-year-old girl, who proceeds to provide distraction of her life,after she refuses his sexual advances.The movie is definitely a ridiculous as it lacks truthfulness.Also,it is full of stupidity.Finally,it lacks respect of the intelligence of the viewers watching the movie.The only good thing about the movie is the presence of Alicia Silverstone who provides sexiness and elegance during her scenes in the movie. That alone is enough reason to allow the movie from the lowest rating even with the ""mute"" button on.",The Crush
5,Theo Robertson,Deja Vu Thriller Without Thrills,3,1 April 2002,"By 1993 the "" Person From Hell Stalking You  "" thriller had gone stale . No , strike that last comment read it had quickly decomposed leaving a terrible stench.  After seeing obsessed fan from hell , lodger from hell , flatmate from hell , policeman from hell etc , did we really need to see a 14 year old lolita from hell picture ? and if we did then did we need to see a film this bad ?Bad is the best adjective for THE CRUSH as in bad taste. Without doubt the worst bad taste moment is a ***** POSSIBLE SPOILER ***** plot device involving a used condom ! And if you think that sounds silly wait till you see how it fits into the film. Other faults include a total lack of character motivation which led me to ask "" Why on earth is Adrian doing this ? "" every five minutes . Oh and Adrian is a girl , why Adrian has a male name is beyond me.In its defence I will say THE CRUSH does have one of the greatest pieces of bitchy dialogue I have ever heard where Adrian spouts that some men like women with small breasts which had me laughing out loud , but is it something a 14 year old girl would say ?",The Crush
6,Hey_Sweden,Hilarious.,7,4 August 2013,"This sexy thriller is very much entertaining for the *wrong* reasons. It's absurd, trashy, and utterly laughable. It does have a memorable antagonist in the form of young Alicia Silverstone, who plays Adrian Forrester, a Lolita-ish 14-year-old who develops a serious crush on Nick Eliot (Cary Elwes), the 20-something journalist renting a guest house from her parents (Kurtwood Smith, Gwynyth Walsh). Of course, nobody believes the older man when he protests that the crazed girl is the wrongdoer, and Nick finds his life continuously going awry as she creates one problem after another.Written and directed by Alan Shapiro, this film doesn't exactly have the brightest characters. As a result, you never really root for Nick. Fortunately Silverstone, who'd previously made her name in Aerosmith rock videos, is a total hoot as this deranged gal who does some pretty nasty things to make her crush look bad. And things do indeed look very bad for Nick when she frames him for sexual assault. Elwes does what he can with his obtuse role, while Smith has some choice moments as the dad. Jennifer Rubin looks quite lovely as the photographer whom we know is more appropriate for Nick. And Amber Benson lends some solid support as Adrians' ""friend"" who tries to warn Nick about what she knows.The movie *is* well paced and climaxes in one of the more priceless confrontation scenes that you're likely to see in this sort of thing. The ending is actually rather effective in its payoff of the Adrian character.Silverstone may well have had a body double for the nude scenes, but it's still quite uncomfortable when remembering that the character being watched is a mere 14 years old.All in all, ""The Crush"" is entertaining if exploitative trash, and should never ever be taken too seriously.Seven out of 10.",The Crush
7,TBJCSKCNRRQTreviews,Average... very average,6,10 October 2004,"Watching this film again, after several years, after having seen many far better films since the first time I saw it, I can't help but compare it to looking at an old class photo, from a school you only spent one year at, and didn't like too much; you recognize a lot of the faces, but you can't bring yourself to look too long at it, and soon you start paying attention to something else. Of course, you knew from the beginning that it would probably end up like that, and before you know it, you've pushed the memory almost entirely out of your head, once again. Yes, there is a good amount of talents involved in this film, and I quickly recognized Cary Elwes, who I've also seen in Liar Liar, Bram Stoker's Dracula and Robin Hood: Men in Tights, and Kurtwood Smith, who I only know from the original RoboCop, where he played Clarence Boddicker. Of course I recognized Alicia Silverstone as well, but I already knew she was in the film, as I had seen her in one film before seeing The Crush the first time(can't remember which, though). The plot is pretty much a rehash of Lolita, with the tables turned to provide mainstream cliché thriller, in the vein of films like The Hand That Rocks The Cradle. The pacing is daft. The acting is decent, but one would expect better from Elwes and Silverstone(then again, it was her first film... still, we don't see any of the talent that she proved she had in later films). I suspect it's the directors fault. Misdirection, or simply bad direction, can ruin a lot. The characters are the usual clichés and stereotypes of the thriller-genre. The film lacks any real thrills, and relies entirely on the typical formula of this type of thrillers(the psycho-close-to-the-lead(s)-tries-to-kill-him/her/them). The film has no surprises and is thoroughly predictable. All in all, the film has no real purpose, apart from seeing Cary Elwes and Kurtwood Smith in different roles(from what I've seen them in, at least). I recommend it purely to big fans of any of the three actors and very big fans of thrillers. Everyone else should probably avoid it. 6/10",The Crush
8,view_and_review,Damn You're Dumb Dude,6,16 April 2020,"""The Crush"" is a headbanger of a movie. I mean that you will be banging your head against a hard surface at the stupidity of Nicholas Eliot (Cary Elwes).Nick got caught up in a real bad situation because of Adrian Forrester (Alicia Silverstone). Adrian was a brilliant yet precocious and flirtatious 14-year-old girl. She had a crush on the new tenant of her parents' guest house, Nick. Nick allowed himself to be entrapped by Adrian which got him in all kinds of hot water.This movie only works if you have an Adrian-- brilliant, flirtatious, obsessive--and a Nick: stupid, obtuse, naïve. A smarter more perceptive guy would never have been in the situations Nick found himself in. Or should I say that a smarter more perceptive man with more self-control would not have been in the situations Nick found himself in. Because he either had to be incredibly naïve or incredibly turned on to risk his job, his dignity, and his freedom to do what he did with a 14-year-old.Should have done:1. When she invited herself into his room and sat down to chat he should've said, ""No, this is not appropriate.""2. When she was in his house while he was showering he should've said, ""Get out!""3. When she wanted him to give her a ride in his car to the lighthouse he should've said, ""No!""4. When she leaned in to kiss him he should've given her a stiff arm (but if you refer to #3 he would never had been in that position).
Should NOT have done:1. Said to her ""You know if you were ten years older"" as an indication that he would like to hook up with her.2. Gone in her room.3. Hid in her room closet while she was undressingThese were all common sense dos and don'ts. It doesn't take Dr. Ruth, Dr. Phil, or a rocket scientist to tell you that you had crossed the line one too many times. Where was Nick from anyway? Or maybe Nick liked the attention and was genuinely attracted to Adrian. After all, she did look and behave as though she were a lot older.Whatever the reason, Nick was a mouth-breathing idiot, and he deserved every bit of shame, pain, and suffering he got. Sometimes you have to pay for your stupidity, it's called social Darwinism. Not that I'm absolving princess promiscuity of anything because she definitely needed some serious therapy and her parents needed a serious wake-up call. In short, there was plenty of blame to go around",The Crush
9,Uriah43,Follows the Standard Format,6,25 June 2015,"""Nick Eliot"" (Cary Elwes) has just moved to Seattle and needs a place to stay prior to working as an investigative journalist for a magazine there. He settles on a semi-furnished guest house belonging to a married couple by the name of Cliff Forrester (Kurtwood Smith) and his wife ""Liv"" (Gwynyth Walsh). Also there is their 14-year-old daughter ""Adrian"" (Alicia Silverstone) who immediately develops a crush on Nick. Since he is twice her age he figures that her attraction to him is nothing serious. Big mistake. Anyway, as far as this film is concerned it pretty much follows the standard format of any number of similar movies made both before and after. However, what distinguishes this one is the performance of Alicia Silverstone in her very first film debut. Likewise, both Jennifer Rubin (as ""Amy"") and the aforementioned Cary Elwes also performed quite well too. Again, the story is pretty formulaic but even so I thought it was still enjoyable. Accordingly, I rate this movie as slightly above average.",The Crush
