,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Elegant, nuanced and fascinating adaptation of E.M.Forster's novel",9,29 March 2010,"Having already seen A Room with a View and loving it, I saw Howards End having a feeling it would be good. After seeing it, I absolutely loved it, and think it marginally better than A Room with a View. Directed by James Ivory, produced by Ismail Merchant and written by Ruth Prawer Jhabvala, it is a remarkably faithful adaptation of the novel, and on top of this is also an elegant, nuanced and fascinating film.The period detail is perfect. What I loved about A Room with a View especially was its gorgeous Italian settings. Here it is just as gorgeous, while also having a certain elegance about it. You can never go wrong with beautiful scenery, wondrous costumes and elegant-looking locations, Howards End had all three of those. The music is also a marvel, beautiful, haunting and hypnotic, somewhat reminiscent of a Phillip Glass score, while having a few snatches of Percy Grainger and Beethoven too.The script is very faithful in style to the book and warmth and depth is given to the characters, and the direction is sensitive and nuanced very like how it was in A Room with a View. The plot is quite complex, even on first viewing I found it a little hard to keep up with everything. Then again, this is the sort of film you may need to see more than once. It is quite slow moving, and at over 140 minutes hard to sit through in one sitting, but the period detail, music, screenplay and acting made the film pleasurable, elegant and even moving.Speaking of the acting, the whole cast give very strong performances, while not standing out from one another. Emma Thompson is endearingly-beautiful in Howards End, more beautiful than she looked in Much Ado About Nothing, and gives a moving and spirited portrayal of Margaret. Helena Bonham Carter delivers one of her best ever performances in this film, a performance filled with depth and passion that really wants to make you feel for her character. Vanessa Redgrave while her role is brief still leaves a lasting impression in a characterisation that is moving and wholly relevant, while as the cold Mr Wilcox Anthony Hopkins who a year later would give a brilliant performance in The Remains of the Day(another stylish and nuanced film) shows what a fine actor he is as he gives yet another fine performance. The more minor characters were also very well done, from a spirited Samuel West, whose character Leonard Bast exemplifies the low expectations of the clerking classes, to a suitably serious Jemma Redgrave as Evie Wilcox.Overall, moving, elegant, nuanced and impeccably acted, Howards End is a must see. 9.5/10 Bethany Cox",Howards End
1,bkoganbing,Only Connect,9,7 April 2009,"I'm sure that even in 1910 when Kaiser Wilhelm still had a few fans who remembered he was the grandson of Queen Victoria and not ruler of the soon to be hated foe of World War I, E.M. Forster must have come in for a few critic's slings in having some of his protagonists of Howards End have a German surname. Even that early time there were many who saw Germany as a potential foe.These two Schlegel sisters played by Emma Thompson and Helena Bonham Carter befriend the Wilcoxes, a family of newly rich plutocrats headed by Anthony Hopkins who seem to be a version of Lillian Hellman's the Hubbards lite. Their mother is the class of the family and she's played by Vanessa Redgrave who is in poor health.While Bonham-Carter is rejected by Hopkins's son James Wilby as a suitable wife for marriage, Vanessa befriends Thompson finding her to be a kindred intellectual spirit in a house full of moneygrubbers. In fact before she dies she writes an unsigned note asking that a cottage that's in her family's name called Howards End be given to the Schlegel sisters. When Hopkins and the rest of the family find the note after she's dead it gets torn up and burned. Unsigned it has no probative value in any event.But as fate would have it Thompson and Hopkins get into a relationship and they soon marry and she tries to polish some of the rough edges off him. Especially in regard to snobbery. Hopkins is the kind of man who wants no reminders of where he came from. Particularly with another of the Schlegel sisters friends, a young clerk named Leonard Bast played by Samuel West trying to make his way in the world as the Wilcoxes have.Emma Thompson won the Academy Award for Best Actress for Howards End that year and the film also won Oscars for Art&Set Direction and for adapted screenplay. Though Thompson won the Oscar, my absolute favorite in this film is Susie Lindeman as Mrs. Dolly Bast. She's so incredibly common and obviously holding him back, you can't blame West for eventually getting involved with Bonham-Carter which leads to tragedy.The team of Ismail Merchant producer and James Ivory director succeed again at bringing the look and manners of Edwardian England as seen by E.M. Forster to life. Who says they don't make literate films any more, whoever says that have them see Howards End.",Howards End
2,SnoopyStyle,not my type of tea and crumpets,6,14 November 2015,"Sister Helen Schlegel (Helena Bonham Carter) and Margaret Schlegel (Emma Thompson) are enlightened bourgeoisie. The Wilcoxes are rich and money-obsessed. Helen befriends matriarch Ruth Wilcox (Vanessa Redgrave). On her death bed, Ruth leaves her ancestral home Howards End to Helen who is about to lose the lease to her family home. The note has no date and no signature. Henry Wilcox (Anthony Hopkins) and his children decide to burn the note and ignore Ruth's wishes. The Schlegel sisters take an interest in the poor dreamer clerk Leonard Bast. Later, Henry spends time with Helen and they get married.This is not my type of movies. It's long and slow and meandering. However, there is no denying that there is real craftsmanship here. The acting is superb. The movie looks beautiful. It's showing something about the classes in the era. However, I don't find the characters that compelling. The Schlegels talk too much. The Wilcoxes are too cold. Bast is too bitter. I can't really connect to any of these characters but the movie is still a masterpiece of filmmaking.",Howards End
3,Prismark10,The social class,6,9 January 2016,"Howards End is a story of class in a society evolving as it goes from the Victorian to the Edwardian era.The Schlegel's are a middle class, open minded liberal family who have originated from Germany. The Wilcox are an upper class family, living a comfortable existence.As Henry Cox (Anthony Hopkins) states during the film 'The poor are poor, and one's sorry for them but there it is.'Howards End is a house in the fringe of the country owned by Mrs Wilcox (Vanessa Redgrave) left to her by her brother. In ill health and enchanted Margaret Schlegel (Emma Thompson) she scribbled in a piece of paper in pencil that she wanted to have Margaret have the house. Margaret does not know about this as the family burnt the piece of paper after her death.Leonard Bast a lowly clerk comes across Helen Schlegel (Helena Bonham Carter) who mistakenly took his umbrella a chain of events that will ultimately lead to a downward spiral for him and his wife.The chain is linked as we go through the film, Helen had a fling with on the the Wilcox's children. Later on it emerges that Mr Wilcox once had a fling with Mrs Bast.We see as the film progresses that the families have different attitude. Leonard Bast might be lower class but he has his pride as he strives for employment. The Schlegel's are in essence Fabians striving for radical reform, votes for women.The Wilcox are paternal, a rather superior and supercilious attitude that pervades with their children that will eventually result in tragic consequences.Eventually Margaret winds up marrying Mr Wilcox, we can never fathom why she wants to marry this older widower who appears to be cold even aloof and has grown up children. In doing so Margaret feels the need to social climb and maintain a facade of not rocking the establishment until Helen ends up in a spot of bother.By then Margaret realises the hypocrisy of the upper classes. Forster wrote about themes of class hypocrisy and hidden passion. Here we also notice in the adapted screenplay who thing come around to bite you on the backside.Early on in the film after The Wilcox move into the apartment opposite them, the Schlegel brother remarks here is the boy I was suppose to thrash. A remark that is thrown back at him in contempt later on by one of the Wilcox children.Of course at the conclusion Howards End, the house itself makes a poetic journey to its rightful owner.The film is long, it can be dense leisurely going on as a picture pretty chocolate box Merchant/Ivory production. It does require a second viewing for you to get the subtleties of the Oscar winning screenplay.",Howards End
4,mark.waltz,When good breeding goes bad and when high class becomes low morals.,10,17 March 2017,"What seems on the surface a simple tale of one woman's gift to another is much more complex in this story of one upper class family's involvement with two sisters, not so well off, but obviously of higher morals than some of the members of those who consider themselves everybody else's ""betters"". The story initially focuses on Helena Bonham Carter's Helen, a middle class lady who is involved with the upper class Joseph Bennett but unable to marry him because of his issues with his family. By chance, Carter's sister Margaret (Emma Thompson) meets the ailing matriarch of Bennett's family (a very subtle and gentle Vanessa Redgrave) who sees something special in the classy Margaret. On her death bed, Redgrave writes in pencil the desire to leave her childhood home, Howard's End, to Thompson, but at a family meeting, widower Anthony Hopkins is manipulated into preventing that by his other son (James Wilby).Encounters on occasion with Thompson brings Hopkins' sudden proposal, perhaps out of loneliness, maybe out of guilt, but within time, growing into love. Carter and Thompson's friendship with a struggling clerk (Samuel West) causes all sorts of issues, especially when West's common wife (Nicola Duffett) comes to a wedding, gets drunk, and reveals a past with Hopkins. This becomes a story then, not only of a family deception, but the ties that bind all mankind, either through obligation, unexpected human interaction or in Hopkins and Duffett's case, a brief lust that tears away at him because of the differences in their social standing. West struggles, not only to try and find a new position after his suddenly ends, but with his feelings for Carter as well and his disgust in his marriage to Duffett. The so-called polite upper class becomes murderous in a shocking twist towards the end, and this explodes into many questions of what exactly is good breeding, and who has it.Powerful performances by a magnificent cast gives this family drama a mesmerizing feel, just as dramatic as all six seasons of ""Downton Abbey"" whittled down to two and a half hours. There are comic bits here and there that prevent the film from becoming too staid, and the set-up of gentle matriarch Vanessa Redgrave making you care about what happens to her will require the need of Kleenex near by as her light fades and the story moves into new directions. Hopkins, playing a very conflicted man, shows all the human dimensions that makes this character very real, whether grieving over a wife he really didn't spend too much time caring about it seems in life, facing his own ordeal as an adulterer, or unable to forgive himself, both for cheating, keeping the truth away from Thompson and lastly, realizing what a bunch of greedy, selfish offspring he's raised. Prunella Scales is very funny in a small part as Carter and Thompson's no nonsense aunt. Carter and Thompson are wonderfully cast as sisters, and while Thompson has the meatier part, Carter is impressive as well. She's moved on from ""A Room With a View"" to showing here all the tricks she'll later pull out in her character parts in Tim Burton movies. Thompson, deservedly winning an Oscar, is an actress of such gifts, and from the moment you meet her, she's somebody you'll want as a friend as much as Redgrave did. She faces tragedy with such dignity, being independent and resourceful, yet willing to stand by her man no matter how bad things become because she sees the truths that most humans are blind to. It's the writing surrounding these characters that make ""Howard's End"" a joy to revisit, and while the country home may not be immense like Downton Abbey, you can see why Redgrave adored it and would only want to see it in the hands of somebody she knew would treasure it like she did.",Howards End
5,gavin6942,English Politics,7,2 November 2015,"A businessman thwarts his wife's bequest of an estate to another woman.In 1993, the film received nine Academy Award nominations, including Best Picture for Ismail Merchant and Best Director for James Ivory. The film won three awards, including for Best Art Direction (Luciana Arrighi and Ian Whittaker). Ruth Prawer Jhabvala earned her second Academy Award for Best Adapted Screenplay, while Emma Thompson won the 1992 Academy Award for Best Actress.The film ended up on Ebert's list of ""great movies"" in 2005, which is impressive -- typically you only see classics make a list like that, but Ebert went for it. And indeed, so far it has stood the test of time, and perhaps has even grown in stature. I suspect it has found a new audience with fans of ""Downton Abbey"", and who knew when this came out that Helena Bonham Carter was going to be a big deal?",Howards End
6,lee_eisenberg,England will just never be Greece,9,15 February 2019,"James Ivory and Ismail Merchant were the leading purveyors of period pieces in the '80s and '90s. ""Howards End"" is an example. Based on E. M. Forster's 1910 novel - widely considered his masterpiece - it focuses on social conventions and class structure in Edwardian England: the cold industrialists (Wilcox), the intellectual bourgeoisie (Schlegel) and the working class (Bast). To us in the 21st century it's a little hard to take any part of British high society seriously. Don't get me wrong, the performances are among the best in movie history, namely Emma Thompson's Oscar-winning turn as the bohemian-minded Margaret. There are some highly nuanced characters here. It's just that I could only sympathize with the Basts. All in all, I do recommend the movie.Yeah, we also heard that contrast between England and Greece in ""Shirley Valentine"" and ""My Big Fat Greek Wedding"".",Howards End
7,ccthemovieman-1,Films Don't Get Much Prettier,8,7 January 2006,"Being a man who appreciates beauty and great visual movies, I have checked out all the Merchant-Ivory films. I found this to be their prettiest, just stunning in its beauty. Story-wise, I preferred ""The Remains Of The Day,"" but this was okay. It just didn't have the appealing characters ""Remains"" had and it was a little too soap opera for my tastes but the visuals made up for that, ...and the story, to be fair, was solid and involving.It also had Anthony Hopkins and Emma Thompson, and those two make a great pair. I would never get tired of watching either of these great actors, especially when they are together.If you like period pieces - this is 1910 Edwardian England - along with fabulous sets and scenery, a solid cast, and an involving story, you'll like this. If you are a fan of melodramas then you'll really, really like this!",Howards End
8,ma-cortes,Enjoyable film about the social and class divisions in early 20th century England through the intersection of three families,7,20 April 2020,"Nice rendition based on E.M.Foster's 1910 novel , the most successful rendition to date , dealing with privilege , class difference, and Edwardian time , all of them are brought to compellingly life by tthe magnificent team Merchant-Ivory-Ruth Prawer Jhabvala . A dramatic series of happenings occurrs after two obstinate middle-class sisters Margaret (Emma Thompson) and Heln (Helena Bonham Carter) become involved with the wealthy Wilcox family (Anthony Hopkins , Vanessa Redgrave , James Wilby) and working class Basts (West , Duffett) .An agreeable and attractive film with a lot of tragic and dramatic elements regarding the wealthy Wilcoxes, the gentle and idealistic Schlegels and the lower-middle class Basts . An interesting and brooding stuff that sounds like conversation of actual people . It is a visually impressive effort with subtle acting , where a gesture or glance says as much any dialog. Top-notch performances all around . Emma Thompson is especially terrific as the compassionate Margaret , whose Oscar was richly deserved , and her sister Helen played by Helena Boham Catter is really notable . They are both better than one could possibly have imaginated . While Anthony Hopkins , clearly relishing playing , gives a wonderful piece of work . James Wilby is pretty well , he is a more effective player than heretofore.It contains colorful and evocative cinematography by Tom Pierece Roberts , his mobile camera work makes wonders on the lush settings, photographing countryside , station , mansion interiors , Banks and cavernous offices of an insurance company . And a classy and sensitive musical score by Richard Robbins , including a long-standing leit motif . The movie is vigorously and enchantingly shot by James Ivory in his usual style . His films usually have a ""visual beauty, mature and intelligent themes, shrewd casting and superb acting"". This Howard's End won numerous prizes and wide critical acclaim , getting Academy Award to best actress : Emma Thompson , Art direction and production design , Costumes and adapted screenplay . The splendid filmmaker James Ivory directed three features nominated for a 'Best Picture' Academy Award, all produced by Ismail Merchant: A room with a view (1985), Howards End (1992), Remains the day (1993). The three features also all earned nominations for James Ivory as 'Best Director' and for Ruth Prawer Jhabvala as 'Best Adapted Screenplay'. His first films are all set in India and are very much influenced by the style of Satyajit Ray and Jean Renoir. After this period, he filmed three stories in New York and then dedicated his work to the great works of the English literature which made him internationally famous. Examples of this period are The European (1979) and Las Bostonians (1984) by Henry James, Jane Austen in Manhattan (1980) by Jane Austen, Quartet (1981) by Jean Rhys or A room with a view (1985) and Maurice (1987) by E.M. Forster. At age 89, James Ivory became the oldest winner of a competitive BAFTA on 18 Feb. 2018 : Best Adapted Screenplay for Call Me by Your Name (2017) . James Ivory's last feature film as a director was The city of your final destination (2009), which he shot mostly in Argentina from Dec. 2006 to Jan. 2007. Rating : 7/10 . Better than average , worthwhile seeing . Essential and indispensable watching .",Howards End
9,moonspinner55,"Predictably ornate and poised, less predictably lively and passionate...",6,26 March 2008,"Merchant-Ivory film-adaptation of E. M. Forster's novel involves two turn-of-the-century English families crossing paths throughout many years. Emma Thompson and Helena Bonham Carter are superb as excitable sisters who somehow allow an imposing, sinister widower (Anthony Hopkins) to come between them. Costume drama is long but not too lofty, and director James Ivory provides some unexpected zest in his storytelling. Thompson won a well-deserved Oscar for Best Actress; Ruth Prawer Jhabvala also won for her screenplay. Flawed film may not catch on with every audience, though it has very strong moments, impeccable performances, and a lovely production (the art direction capping the film's third Oscar). Worth-seeing. **1/2 from ****",Howards End
