,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Too cheesy,4,11 October 2018,"SLUMBER PARTY MASSACRE is one of the less well-known slashers of the 1980s and, having just seen it, I can guess why: it's simply not very good. The story is about a bunch of nubile young women stalked by a murderous killer with a massive drill, but if that sounds frightening at all then I can assure you that this is pure cheese instead. Everything is very '80s, and the emphasis is very much on nudity, with long shower-room scenes and girls gratuitously stripping off in their bedrooms while jocks peep on them from outside. The death scenes are quite brief with only acceptable effects. Sadly, the quality of the script is pretty bad, the acting is negligible, and it's all too cheesy to make much impact on the slash-happy viewer.",The Slumberparty Massacre
1,SnoopyStyle,sexploitation slasher horror,4,27 March 2021,"Mass murderer Russ Thorn has escaped and killing again in Venice, California. High school senior Trish is 18 years old. Her parents are away and she's throwing a slumber party.This is T&A with a slasher movie. The acting is very flat. These are not real actors. The girls are there to show off their assets and acting isn't one of them. At best, they are replacement level background actors. The scares aren't that scary. It's mostly T&A sexploitation for teenage boys in a slasher construction. There are no familiar faces and the gore is runny ketchup. Some of this is fun in a campy cult horror way.",The Slumberparty Massacre
2,claudio_carvalho,Weak Slasher - The Killer's Identity Is Known from The Beginning,4,29 April 2015,"After the training of the high school girls' basketball team, a group of players schedule a slumber party. Most of the girls agrees to go to the party. Meanwhile, the serial-killer Russ Thorn (Michael Villela) escapes from prison and comes to the school with a drilling machine in the beginning of his crime spree.""The Slumber Party Massacre"" is a weak slasher, since the killer's identity is known from the beginning and the story is not original. In 1979, Abel Ferrara directed ""The Driller Killer"", where a serial-killer kills his victims with a driller. There are hot girls nude, but they do not save the movie since the story is lame. My vote is four.Title (Brazil): ""O Massacre"" (""The Massacre"")Note: On 29 June 2020, I saw this film again.",The Slumberparty Massacre
3,gavin6942,What A Really Good -- or Is it Bad -- Slasher Should Be!,7,19 August 2008,"A group of girls decide to throw a slumber party, with no boys allowed, in order to bring back the good old days. Well, that plan is ruined when the boys decide to show up anyhow. And who invited the mass-murdering psychopath with the drill? All he seems to want to do is kill everyone, and that is not nice.I first saw this film at a Chicago film festival, which is the ideal location to see such a picture. I do not think I have ever seen such gratuitous nudity, with cameras making obvious panning shots towards buttocks and breasts, plenty of shower scenes and women changing clothes. Who would have guessed this was directed by a woman? Especially someone who went on to write ""Mystic Pizza""?Not only directed by a woman, but written by known feminist Rita Mae Brown. Of course, we all know she wrote this as a parody and the film was shot with some level of seriousness. Is it what she intended? Probably not. But it makes for a better slasher, with more humor, and the parody aspects are still there in many respects.Indeed, while most of the nudity was scripted, the director says the nudity in the first two or three minutes was a Roger Corman requirement, and not her idea. Jones was given the job after reading only the prologue, not realizing how violent it was or that it was a ripoff of films like ""Friday the 13th"". She was making her directorial debut, and had previously worked as an editor.How much of this film could have been done if people knew they were making ""Slumber Party Massacre"" is unclear. The filmmakers received permission to film in real homes by using the title ""Sleepless Nights"", which was not changed until much later. (The older title is better, but admittedly does not reflect the tone of the film.)What made the festival the ideal location was the jeers from the audience, the hoots and hollers, and the sarcastic cracks from the back of the room. And the laughter, oh the laughter. Things you would have to keep quiet for at a regular theater, you can laugh proudly for here, knowing your neighbor is just as amused by gallows humor as you are.""Slumber Party Massacre"" is little more than an exploitation film featuring 1980s scream queen Brinke Stevens. There is a vague plot, with some vague characters (though trying to tell them apart is pointless). Mostly we have 20-something women playing nude high schoolers and a man with a drill who kills everyone. They do not even try to disguise the face of the killer with a mask or shadows -- this is just pure slaughter. Why does he target this group? Who knows?What made this film amusing -- aside from the sexual innuendo and bad jokes -- was the sheer number of clichés and ""fake-outs"" featured. How many times can you mistake the neighbor for the killer? In this film, many times. And why is he in your garage? If it is not the neighbor causing the girls to jump, it is the boyfriend. Or the cat. Or the maintenance woman. If you are prone to jumping, you will jump -- this sets a new record in fake-outs, blowing away all competitors.Fans of 1980s slashers will devour this like Rosie O'Donnell on a cheesecake. Breasts, buttocks, psycho killer... Maui Wowie... some pre-teen girl (played by an actress actually much older than her character) who is obsessed with Playgirl magazine. There is not an excessive amount of blood or gore (well, okay, the pizza guy has no eyes) but the entertainment value of this far surpasses its predecessors. ""Friday the 13th""? Nothing compared to ""Slumber Party Massacre"".The Scream Factory disc is impressive with a slew of extras. There is a commentary that has Gomer Pyle moderating a discussion with the director and actors, including Brinke Stevens. Other features include a full-length documentary on the film directed by the amazing Jason paul Collum.",The Slumberparty Massacre
4,Woodyanders,A choice chunk of early 80's slasher cheese,10,15 December 2005,"Slasher films were hugely popular in the blood-soaked, cadaver-ridden, horny teenager-populated early 80's, a golden period when all one needed to crank out a horror pic was a bunch of over-aged actors and actresses trying unsuccessfully to palm themselves off as moronic, libidinous adolescents, a steady supply of Kyro syrup, a deadly sharp implement of one kind or another, enough reels of cheap grainy film stock for an 80 minute feature length running time, several thousand bucks, and no discriminating taste or restraint to get in the way of good old fashioned cheap thrill-driven junkbag exploitation movie entertainment. Well, this bluntly titled beauty reigns supreme as the sina qua non of early 80's teen-kill trash, a gory, campy, purposefully cheesy and low-brow zero artistic merit no-brainer howler that goes out of its way to deliver winningly abundant amounts of thoroughly pointless and gratuitous, yet still quite enjoyable sex, violence and nudity with an irresistibly lip-smacking demented gusto. Naturally, the story ain't much, but it nonetheless gets the job done with thrillingly brisk streamlined efficiency: your garden variety leering, sweaty, glassy-eyed lunatic wackjob with completely unsuppressed homicidal tendencies and a lethal portable drill escapes from a local booby hatch and rudely crashes the titular nocturnal bash. In due course beauteous'n'bountiful breasts are frequently bared, the bimbo high school student victims smoke weed, talk about boys, make out, disrobe, scream, and get savagely offed at pleasingly regular 10-15 minute intervals, a few dorky uninvited party crasher dudes also wind up eating it, and in the rousing poolside grand finale the small handful of girls left band together and stand up to the murderous freak. WARNING: Possible *SPOILER* ahead. And boy is the bravura ending a real dilly: the take-no-crap ladies cut off the nutso's drill bit (thereby symbolically castrating the foul fiend!), slice off his left hand, and finally impale the creep on the business end of an upright machete! This wonderfully brazen,perversely ebullient, and wholly ridiculous el scuzzo celluloid swill marked the directorial debut of Amy Jones (who went on to make much more respectable films like ""Love Letters"" and ""Maid to Order"") and was, unbelievably enough, written by renowned feminist author Rita Mae Brown (the title character in ""Educating Rita"" was named after her). Both Steve Parker's lively, polished cinematography and Ralph James' vibrant, propulsive score keep things hoppin' from start to finish. Moreover, the production values are slick and solid, the corpse tally sizes up as an impressive eleven, and the entire feature lasts for a compact, but wildly eventful 77 minutes. Popping up in quick bits are ""Android"" director Aaron Lipstadt as an ill-fated pizza delivery boy, luscious 80's horror scream queen Brinke Stevens (she gets bagged after showing her considerable all in a tasty high school girls' gym locker room shower sequence), and Joe Dante as a nice guy motorcyclist who gives the heroine a ride home from school. (By the way, snippets of Pino Donaggio's gorgeously melodic ""Piranha"" score can be heard on a radio and a scene from ""Hollywood Boulevard"" plays on a TV screen.) Energetically stupid, gleefully shameless, and utterly bereft of any true quality or significance, this choice chunk of 80's slasher cheese rates highly as one of the single most righteously tacky 80's slice'n'dice doozies to ever ooze its way across drive-in and grind-house movie screens back in the day.",The Slumberparty Massacre
5,BA_Harrison,Trashy slasher fun.,7,23 July 2008,"Scriptwriter Rita Mae Brown originally intended The Slumber Party Massacre to be a feminist parody of the misogynistic slasher genre; however, thanks to intervention from the producers and a by-the-numbers treatment from director Amy Jones, there is very little evidence in the finished movie to suggest that this was ever going to be anything but a trashy, sexist, and violent body-count flick. Which is fine by meI hate to over-complicate my horror!Barely two minutes into the film and viewers are treated to the first of many topless scenes, which, as far as I am concerned, is a fairly good indication that a film ain't trying to be too cerebral (sometimes, I just can't be bothered to think!). And sure enough, The Slumber Party Massacre proves to be nothing more than your typical, brainless 80s slasher, with bums, boobs and blood aplenty. In other words, good old-fashioned, unpretentious fun.The thin-as-a-wafer plot sees a promiscuous group of pot smokin' babes stalked and killed by an escaped psycho, and features all of the hokey clichés that one typically associates with such a film, including the virginal goody-goody heroine, her obnoxious younger sibling, a creepy neighbour who provides several scares, a cat leaping out of a cupboard, and a couple of overly-hormonal nerds just ripe for the slaughter.Whilst the killer himself isn't particularly memorable, the fact that he equips himself with one of the largest power-tools in slasher history (Leatherface's chainsaw aside) means that you won't forget him in a hurry: the huge cordless drill that he uses to slaughter teenagers is very impressive (what size Rawlplug fits a hole that size?!?!).After much routine stalk 'n' slash mayhem (plus a whole lot more female nudity), with a fairly impressive body count (but not that much in the way of gore), the film finishes by displaying a touch of the female empowerment that Rita Mae Brown had probably initially hoped for: the survivors attack the killer, with one character symbolically emasculating the lunatic by chopping off the end of his extremely phallic drill.6.5 out of 10, rounded up to 7 for IMDb.",The Slumberparty Massacre
6,paul_haakonsen,You will be lulled into a deep slumber...,3,5 May 2017,"I do like watching slasher movies, and oddly enough then I never gotten around to watching the ""Slumber Party Massacre"" trilogy. So I thought I would get acquainted with the movies, and thus I sat down to start watching the trilogy.I just only made it through the first movie in the series. And after what I witnessed here in this 1982 movie was enough to deter me from not wanting to sit down and watching the sequels.The storyline in ""Slumber Party Massacre"" seemed to be little more than just random events filmed without a proper red line connecting them, and then the editor was just given all this raw footage and given the task to make a movie out of it. And that was not a successful way of constructing a movie.The writer Rita Mae Brown did not manage to come up with a proper storyline, and that was quite clear throughout the course of these random events shot on film.As for the characters, well let's just say that they were generic, even as slasher movie characters go. Some of the things that these characters did just made absolutely no sense, especially if faced with the mortal danger of a deranged slasher on the prowl.And while we are on the topic of the slasher, then it was a very non-threatening killer that made his rounds in this movie. And even so, the slasher wasn't particularly memorable, especially in comparison to slashers such as Jason, Freddy, Myers, etc.I will say that some of the kills were adequate, although the effects were shoddy and questionable at best. But then again, some of the kills were just downright laughable.All in all, ""Slumber Party Massacre"" turned out to be a less than mediocre slasher movie, and one that I will not return to watch again, and nor will I attempt at watching parts 2 and 3.",The Slumberparty Massacre
7,Quinoa1984,Girl Slasher Power (in more ways than one),7,28 July 2017,"So the first question of course: does the fact that women are behind the writing, directing and (most) producing duties of Slumber Party Massacre change things? Do we get any sort of feminist ""statement"" as if there's always some stamp of femininity that has to come whenever women come near something that (let's be honest though here) is a primarily male-dominated type of film? I have to wonder what might've happened had this come out just a little earlier, when Siskel & Ebert did their infamous ""Women in Danger"" special where they covered every sleazy, misogynistic piece of slasher movie garbage (whether any were of quality, aside from Halloween which, naturally, they praised as not those things, is questionable), since those were all made by hacks looking to score a buck off of women in houses or camps or wherever being slaughtered by total creeps. It's hard to see that those movies being made by men didn't have *some* kind of effect on what we are seeing, but does it suddenly make it kosher if a women is writing/directing a scene where teenage girls (who are really like 30 years old, let's face it) are taking their clothes off as if that's just what girls do around one another (locker room besides)? I think Slumber Party Massacre IS evidence of inclusion in the genre; women, clearly, can make just as tasteless and violent trash as the guys. Roger Corman, who helped produce the film, *was* someone who didn't see genre as any kind of barrier (I remember the first Corman movie I saw was Penelope Spheeris' debut, Suburbia, when I was an adolescent), and while he did ultimately take a script that was originally intended as a satire of slasher movies (by author Rita Mae Brown), there's some of that connective tissue poking fun and, really, revealing the sordid qualities as something to laugh at intentionally. And... sure, there's unintentional laughs as well. Or, to put it more simply, this is a lot of fun, regardless of who made it.One other question: does it have a running theme that makes it stand out from the pack of things that would've wound up on Siskel & Ebert's s***list? In one respect, there's one that's hard not to see: everyone is wrapped up in their own world in this story, to the point where it gets a lot of people killed. Right from the get-go, the first murder that happens in the *school parking lot* (seriously, is no one else around at all, where's Groundskeeper Willie?), the idea is 'well, I don't need to turn back and look', and it makes what could be a movie filled with nasty, unlikeable people and, at least in some part, *about* how people don't help until it's too late. The other key example of this, among some others, is when one of the teenagers (one of the guys, no less) goes over to the house across the street where our quasi-not-really-sorta Laurie Stroud, Trish (Michele Michaels), is watching a horror movie on the TV while her ""younger"" sister is on the phone in another room. Just when Trish goes out to see what all the ""HELP! HELP!"" noise is from outside - hey, why look at it sooner, it's a dumb slumber party she's not been invited to after all - it's too late.Oh, and of course there's the phallic imagery of the drill (one shot in one particular kill scene seems like the quintessential slasher- movie image outside of something from Halloween), though I'm not convinced that is intentionally some sort of comment. It certainly *could* be going that way, and if I find out later on a documentary or audio commentary how it was then I'll eat my words. But one of the things about Slumber Party Massacre to note is how it's clever AND not clever at the same time. There are too many jump scares in the first half (a cat? really?), and yet at the same time there's moments like when the sisters are in the house, one of them opens the fridge and a body is in there - she closes it, but opens it again, both times not seeing it as she's not looking (though we see it from the composition and placement of the frame). I think, ultimately, regardless of gender, the filmmakers know in some part what they were doing throughout this, and it's a movie that gets to (mostly) have its cake and eat it: it's both a shameless rip-off of Halloween while being kind of a tribute to it, poking some fun at the clichés of a killer with... issues stalking girls (and men too, he's not discriminating, he just, as he notes at his villain monologue, finds them... pretty), and the girls in the cast are all game and only a couple of them are genuinely not good, like the ""younger"" sister (seriously, she looks almost as old if not *older* than the older sister!) The climax may try to bite off a little more than it can chew, but by then if one is already in, then it's still an entertaining ride, and whatever that drill is meant to represent - honestly, Ferrara probably meant more symbolically in his Driller Killer than this, on the whole - it's an effective visual.In other words: can women direct and write slashers? Well... duh.",The Slumberparty Massacre
8,BandSAboutMovies,Better than anything that'll come out today!,6,11 December 2018,"I watched Slumber Party Massacre 2 before I saw the first one. I really don't think this interfered with my enjoyment of either of the films as they have only the smallest bits of connectivity. They share drills, murder, mayhem and a character or two. I'm willing to bet I'll feel the same way about the third film and where it fits in.Directed by Amy Holden Jones (who wrote Mystic Pizza, Beethoven and Indecent Proposal, in addition to directing Corvette Summer) and written by Rita Marie Brown as a parody of the slasher genre, this film is but the first of three female directed drill killer starring slasher send-ups.Originally known as Don't Open the Door (the Italian title for The Texas Chainsaw Massacre), this movie is all about Trish Devereaux-Craven (Michelle Michaels, who shows up in Death Wish 4 and New Year's Evil) throwing a slumber party while her parents are out of town. That event takes place just as Russ Thorn, an escaped mass murderer, is out looking for blood and targets for his power drill.Russ kills Linda (Brinke Stevens, thanks for your service) in the shower before the party even begins. Then he comes after the basketball playing party girls - Kim, Jackie and Diane - as well as new girl in school Valerie (Robin Rochelle, Sorority Babes in the Slimeball Bowl-O-Rama) and her little sister Courtney.There are some boys, some mischief and plenty of drilling mayhem, as well as a pizza guy who sacrifices himself and his eyes (alert Fulci!) so that the girls can get their grub on. Russ survives all manner of mayhem and deals it out in kind before succumbing to being beat with a fireplace poker, losing his drill bit and left hand, then falling into a swimming pool and stabbed with his own machete.While originally written from a more feminist and satirical perspective, this was shot as a straight film. It doesn't approach the dizzying lunacy of the sequel, but it's an enjoyable enough waste of your time.",The Slumberparty Massacre
9,Coventry,"That's a BIG tool you have there, Mr. Killer...",6,16 June 2006,"This is a movie from the early 80's and it contains the word ""massacre"" in the title, so you know theumDRILL! Standard, by-the-numbers slasher except that this is supposed to be a feminist slasher! In all honesty, I don't really get it. Portraying dumb but hot-looking girls stalked & killed by a homicidal maniac is a sexist crime, but if this exact same formula is presented by a FEMALE director and a FEMALE scriptwriter, it all of a sudden becomes a parody and/or a feminist statement? The male characters in this movie may be a bit dumber than usual but the teenage beauties are all still defenseless little lambs to the slaughter, so where exactly lays the girl-power element? Oh well, since I absolutely don't wish to receive negative feedback from female readers, I'll just restrict myself to reviewing the actual movie and leave the speculations of possible deeper meanings behind. Talking purely in terms of 80's horror, ""The Slumber Party Massacre"" is a pretty good effort with likable characters, a fair amount of suspense and a handful of excellent gory killings. With her parents away on holiday, a schoolgirl invites her friends for a sleepover party with the usual pizzas, beer and soft drugs. Unfortunately for them, an escaped lunatic with a gigantic power tool still terrorizes the area and he shows up as the party-pooper, drilling holes in everyone whose path he's crossing. The only hope for rescue in the new girl who lives across the street but  oh no  she wasn't invited to the party! The identity and motivations of serial killers are usually kept secret in 80's slashers until the ending (as they're frequently acquaintances of the victims), but you don't have to worry about that in this case. Right from the opening minute, newspapers and radio bulletins loudly announce that a psychopath escaped from the local asylum and he doesn't even bother to wear a silly mask, as he's already carrying the drilling device  which symbolizes a male penis  instead. There's little else you need to know, except that nearly all the girls willingly take their clothes off and that the obligatory after gym-class shower sequence comes early in the movie. Hooray for feminism!",The Slumberparty Massacre
