,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Such a beautiful film...,10,22 August 2011,"The book is one of my favourites, and I just loved this film. As an adaptation, it succeeds, apart from Curley's wife it is fairly faithful. But the real revelation of this Of Mice and Men is how well it succeeds on its own terms. The film looks absolutely gorgeous, with the scenery and photography very striking, while the score is moving and perhaps even nostalgic. The story still maintains the emotional impact especially at the end, and Of Mice and Men is beautifully scripted and directed. The performances are uniformly excellent. John Malkovich and Gary Sinise give very powerful performances, particularly Sinise, and Sherilyn Fenn has never been more appealing, however it was Ray Walston as Candy that I identified most with. All in all, a beautiful movie. 10/10 Bethany Cox",Of Mice and Men
1,SnoopyStyle,Very good performances,7,18 October 2014,"Based on John Steinbeck's classic novel, George Milton (Gary Sinise) and Lennie Small (John Malkovich) are traveling through the Depression era landscape. The guys are on the run as a woman runs away screaming. They have dreams of owning a small farm together. They have jobs lined up at the Tyler Ranch. The Boss (Noble Willingham) is a hard man. Candy (Ray Walston) is the old worker with one good arm. Curley (Casey Siemaszko) is the mean-spirited son of the boss. His wife (Sherilyn Fenn) is flirtatious and won't leave George alone.The material is always great. It's just a matter if the actors are up to the material. In this case, both Sinise and Malkovich are fully up to the task. Malkovich may not have the bulk but he has the presence. He brings out the perfect tone of humanity and innocence. Sinise is always the protective brother in the relationship. These are very good performances.",Of Mice and Men
2,classicsoncall,"""I done a really bad thing.""",8,24 November 2020,"I like Gary Sinise and John Malkovich as actors, but I think if you asked them, both would admit that their version of this movie doesn't hold a candle to the original 1939 picture, with Burgess Meredith in the George Milton role, and Lon Chaney portraying his mentally challenged traveling companion, Lennie Small. That picture has a much more nuanced story line, with greater emotional impact in those scenes involving the death of Candy's dog, the sense of isolation and loneliness conveyed by the stable buck Crooks to Lennie in that bunkhouse chat, and most emphatically, in the final denouement when George is faced with the decision to deny the hunting posse its capture and punishment of Lennie. Viewed without making such a comparison if you haven't seen the prior film, this one does hold up well in representing the John Steinbeck novel on which it's based, but again, also with some reservations. For example, Curley's wife (Sherilyn Fenn) is portrayed here in a manner to suggest a sex starved woman looking for a cheap thrill to go along with her loneliness, whereas her primary motive in the novel and to some extent the earlier picture, was to just have someone to talk to. Interestingly, the screenplay for this movie didn't offer a name for Curley's (Casey Siemaszko) wife; in the original picture, her name was Mae.Not to sound too negative about this film, I did enjoy it while watching, if enjoy is a proper word to use to describe this thought provoking picture. If one is not familiar with the story, you'll note scene after scene and dialog that tends to telegraph what leads up to the tragic finale. If not readily apparent, it becomes more than obvious upon a second viewing. Still, if you haven't seen the 1939 original, I would highly recommend it for it's in depth treatment of the secondary characters, and particularly Lon Chaney's stunning turn as Lennie, in what has to be regarded as his finest screen performance. It received a Best Picture nomination at the 1940 Academy Awards, probably the best field of movies to ever go up for the Oscar, and in good company with pictures like ""Stagecoach"", ""The Wizard of Oz"", and ""Mr. Smith Goes to Washington"". To my mind, it was as good as all of those, but there was no way the win that year was going to any movie but ""Gone With The Wind"".",Of Mice and Men
3,jboothmillard,Of Mice and Men,6,14 September 2005,"Based on some book and directed by one of the stars himself, this is a not too bad story about two best friends who find work on a farm near a ranch house. The two main characters, John Malkovich as the big tall child like Lennie Small and Gary Sinise (also director) as the small quite intelligent George Milton are the two men, on the run from something, and they want some work so they can have enough money to get a new life. By the way, Lennie's child like because he was kicked by a horse as a kid. Lennie has a love for animals and soft things, and sometimes it ends up him accidentally breaking or killing the person or animal with his uncontrollable strength. Also starring Ray Walston as Candy, Casey Siemaszko as Curley, Sherilyn Fenn as Curley's Wife, Lost's John Terry as Slim and Terminator 2's Joe Morton as Crooks. It is quite a sad moment at the end, and the villain is pretty nasty, but it is still quite good. Good!",Of Mice and Men
4,dbdumonteil,...and a hutch full of rabbits,8,10 September 2004,"""Of mice and men"" is one of these movies we definitely need in our times.Gary Sinise 's directing is classic in the noblest sense of the term.The cinematography recalls some of those Ford (who adapted ""Grapes of wrath"",another Steinbeck's novel for the screen) gems of the forties or fifties.It is heart-rending to see Malkovich and his portrayal of the half-wit is one of the finest you can see in a nineties movies and leaves,for instance Dustin Hoffman's ""rain man"" character far behind.It takes a lot of guts to play such demeaning parts !Gary Sinise should not be forgotten either,in a performance which offers all the subtleties of the heart.What moves me in the movie is the loneliness which frightens the characters .Everyone is searching for someone to rely on.Not only the two heroes (I think that ,actually, George needs more Lennie than the other way about)but also the old man -the scene with the old dog is almost unbearable;it will have an equivalent in a terrifying way at the end recalling Horace MacCoy's ""they shoot horses don't they?""- Curley's wife;only the black guy has resigned himself to solitude.The scene when Candy and the two pals are talking of their future house -which we know from the very start they'll never have- is really heartwarming.At least,for one precious and fleeting moment,they could dream of a home,a fireplace and a hutch full of rabbits.",Of Mice and Men
5,edwagreen,Of Mice and Men...Here Come the Parasites. **1/2,5,10 November 2010,"What's the big fuss about this 1992 remake? Steinbeck was a Communist through and through in his depiction of American life whether it was in this film or 1940's ""The Grapes of Wrath."" He was always consumed with migrant workers during the Great Depression years.In this film, John Malkovich portrays the dimwitted Lenny. Mentally retarded but physically strong, Malkovich gave quite a performance. Gary Sinise, a terrific actor, who also directed this film, is George, who goes along with Lenny all the way. Lenny has basically become an albatross around George's neck. Due to his physical strength, he is constantly in trouble and this invariably leads to tragedy. While George takes the ultimate step to free Lenny from his misery and impending doom, Lenny is also freed by the action he takes.",Of Mice and Men
6,Theo Robertson,Competent Except For Malcovich,6,22 August 2002,"I`ve probably read OF MICE AND MEN more times than I`ve read any other novel , not because I like it but because for some reason the book is always used in O` grade ( That`s the elementary standard exam used in British schools and was replaced by the GCSE exam round about 1990 ) English learning . I read it many times at school and had to re read it again when I was a student several years later and so I very quickly learned to hate it , especially the over sentimental aspects .The problem I have with this version is John Malkovich`s performance . There`s not much wrong with Malkovich as an actor and looking at his resume he`s undoubtedly Hollywood`s most eclectic actor appearing in prestigious productions like THE KILLING FIELDS and EMPIRE OF THE SUN , arthouse flicks like BEING JOHN MALKOVICH and THE SHELTERED SKY and typical Hollywood blockbusters like IN THE LINE OF FIRE and CON AIR , but his performance as Lenny Small is absolutely irritating . He plays the role as if Lenny`s a victim of down syndrome who`s overdosed while mainlining prozac rather than the pathetic idiot of the book . Why can`t actors protraying idiots be subtle ? Producer / actor / director Gary Sinise may be to blame for this but since the scenes not featuring Lenny are at the very least competent I`ll lay all the blame at Malkovich`s door .Oh and before anyone gets confused I`ll point out the reason John Stienbeck`s novel OF MICE AND MEN is named thus is after a poem by Scottish bard Robert Burns : "" The best laid plans of mice and men most often go astray "" . It`s got nothing to do with the mouse Lenny holds in the start of the picture",Of Mice and Men
7,TBJCSKCNRRQTreviews,A guy don't need sense to be a nice fella,8,26 December 2009,"I haven't read the novel(with that said, it probably is superior to this, as is almost invariably the case), and when I first heard the title of this, I was actually expecting it to have originated as a play. Therefore, I can't comment on this as an adaptation of the source material. This is one of the only films that Sinise has directed, and I certainly see reason to give him more chances to do so. The plot is great, and though you can sort of figure out fairly early whether or not it will have a happy ending, it still holds surprises. This is about the lowest in society, and the lack of chances and tolerance that they must endure. The acting is excellent, although I understand that while Malkovich's performance makes Lennie come off as retarded, he was not as mentally debilitated in the book. With that said, he gives the role the gentle innocence that it needs. Every part is well-cast. The cinematography and editing are nice without drawing attention to themselves, and the well-written characters are what drive the compelling story forward. There is a little violence and disturbing content in this, some of it strong. I recommend this to anyone mature enough for it. 8/10",Of Mice and Men
8,Wuchakk,Steinbeck's classic book comes to life with Gary Sinise and John Malkovich,8,1 January 2016,"Based on the classic John Steinbeck novel and released in 1992, the story focuses on two traveling companions desperate for work in rural California during the Depression: George (Gary Sinise) is of average stature and smart whereas Lennie (John Malkovich) is big and mentally challenged. They get a gig at a big ranch while dreaming of owning their own one day when the opportunity suddenly presents itself. Unfortunately, the arrogant son of the owner, Curley (Casey Siemaszko), and his flirtatious wife (Sherilyn Fenn) complicate matters. John Terry is on hand as Slim, Ray Walston plays Candy and Joe Morton plays Crooks.I've been a fan of this potent Western drama/tragedy ever since I read the book as a teenager and both this version and the 1939 version are worthy film adaptions (I have yet to see the 1981 TV production with Robert Blake and Randy Quaid, which I've heard is good). It seems that you just cannot do a 'bad' ""Of Mice and Men,"" as long as you have decent actors and filmmakers.Some people scoff at the moral of the story, as if it all comes down to shooting your aged, useless dog yourself, but it's way more than this. It's a commentary on the nature of companionship and loneliness: Whereas George and Lennie compliment each other many of the other characters languish in isolation, like Candy, Curley's wife and Crooks, even Slim. Questions of strength, weakness, usefulness, reality and utopia are explored as the story leaves you scratching your head.Comparing the two versions, I slightly prefer the newer rendition because it's in color and is just overall better made with a superior score and cast with the exception of Lon Chaney as Lennie. Malkovich is very effective in the more recent version, but Chaney's Lennie is just more likable. While I don't like the addition of cussing in the 1992 rendition, it's probably more realistic and it isn't so bad that it makes the movie unwatchable (for me anyway). In any case, Sherilyn Fenn is a vast improvement over the original's Betty Field, who's annoying and not desirable enough to pull off the part (but, then again, she might be desirable to male ranch hands with no other females within a dozen miles).The film runs 115 minutes and was shot in California.GRADE: A-COMMENTARY***SPOILER ALERT*** (Don't read further unless you know the story)Curley's wife has only ever been valued for her sexuality, which she has learned to use to attract attention. Not only is she the only female character, she's also the only character not to be given a name in the book and the 1992 version, which emphasizes that she's a sexual plaything, currently owned by Curley. She was repressed by her mother and taken advantage of by men who made her empty promises. She prefers to believe that her mother stole her letters from the ""Hollywood"" man who used her, instead of accepting reality. She is married to a boor who places little value on her and so she seeks the only attention she can get from the men on the ranch as the only woman there: sexual attention. The contact with Lennie in the barn is as far as sexual as it gets. When she says ""It feels good"" to have her hair stroked, she isn't speaking sexually. She is enjoying the only nonsexual attention and affectionate touch she has had in a very long time, if ever. It is almost a meeting of children between this woman who long ago lost her sexual innocence but remains hopelessly naïve, and Lennie, who also longs for soft things in his life. It is a beautiful, tragic scene.Someone argued that Curley's wife wanted to get Lennie on her side so that he would kill Curley and she would be free to leave. If Lennie killed him, no one would believe him if he ever said that she told him to do it; and since she didn't do the deed herself, she could easily leave and start her life over, hopefully as a movie star. While an interesting theory, the young woman doesn't come across this devious or cunning in the story where her actions are more natural and naïve. Similar to Lennie, she was a child in an adult body, albeit not mentally challenged. She was starving for companionship, but none of the other men would hang out with her due to Curley and the threat of losing their job. Lennie was alone in the barn and so she just took advantage of the occasion to converse with someone. Add to this the fact that Lennie was the only man on the ranch to humble (conquer) her arrogant SOB husband, whom she hated. Plus, she noticed earlier how Lennie appraised her with obvious awe. So there was a subconscious attraction and she wanted the gentle giant to touch her, stroke her hair; perhaps to ""reward"" him.",Of Mice and Men
9,StevePulaski,A parable of friendship with dark undertones,9,15 December 2011,"John Steinbeck's novel Of Mice and Men is a misunderstood literary work of art. Because of its simple nature, many people don't look at it with a very broad focus. But who could blame them? It's a pamphlet at a little more than a hundred pages and doesn't boast its explicit and controversial nature. The novel is basically reiterating Steinbeck's biased opinions of communism and how the common-man will never succeed because of roadside distractions.This marks the third time this book has been adapted into a film, and the first time one has went theatrical. Gary Sinise's direction utilizes the ranch scenery not as a backdrop or a postcard, but to enhance the film and its overall look. Every bit is utilized and the scenic shots never seem intrusive or unwelcome. Sinise's direction is complimented by the writing from the amazing Horton Foote, who also wrote the screenplay to the 1962 adaptation of Lee Harper's novel To Kill a Mockingbird. The script is done with piercing accuracy to its book counterpart and doesn't adds or subtract anything from the novel, leaving it as Sinise's original intentions.The story is simplicity itself following the lives of charismatic and intelligent George (Sinise) and strong but slow Lennie (Malkovich) who are wonderful when side-by-side but incomplete on their own. It's The Great Depression era where everything comes in limits, and George and Lennie are migrant workers traveling from ranch to ranch seeking any kind of work and pay.They stumble upon Tyler Ranch, where they run into a barrage of unique characters like the elderly ranch-hand Candy (Walston), the pugnacious and easily-provoked tough guy Curley (Siemaszko) and his skimpy wife (Fenn) who remains nameless like in the novel. Soft-spoken Slim (Terry), blunt and confident Carlson (Riehle), and the hunchback stable-buck Crooks (Morton).George and Lennie desire to fulfill their simple goal of owning a farm, a home, chickens, and don't forget the rabbits Lennie so eagerly anticipates. But financial and social setbacks have been coming in their path left and right. They work their feet into the ground to be rewarded with aches and trouble, which is what The Great Depression era was mainly composed of.Gary Sinise plays an amazing George, and John Malkovich tackles the difficult role of Lennie efficiently. It's very challenging to put yourself into a character who isn't all there but isn't entirely what people would consider normal. Malkovich's physical appearance is pitch perfect, but he shows a struggle to remain in character and in his boundaries at times. The supporting cast is fantastic, especially Ray Walston as Candy and Sherilyn Fenn as Curley's wife.Like I stated before, the dialog is so on-par with Steinbeck's original masterpiece it's astounding. When comparing any movie to a book, people usually utter the misleading phrase ""the movie wasn't as good as the book."" You're comparing two different beasts. A film can never be all of the book, and what they did to Of Mice and Men was truly an amazement. They managed to create a film that left in mostly all of the subtleties of the original novel. Not only is it a rarity, but it's a true sign of respect for original source material.When George and Lennie talk to each other an on-screen spark ignites. The two characters, even in the novel, had inseparable chemistry together and it's incredibly difficult not to feel some emotion for them after the long road they've been on.Of Mice and Men is an extraordinary book and a film full of grace and charisma. It provided me with one of the more joyous experiences from such a sad film mainly because the actors are all blessed with beautifully written material and engulfing scenery. But I guess the real question we're left with is who is going to live off the fatta the land and tend all of those rabbits. Perhaps George will know the answer.Starring: Gary Sinise, John Malkovich, Ray Walston, Casey Siemaszko, Sherilyn Fenn, John Terry, Richard Riehle, Joe Morton, and Noble Willingham.",Of Mice and Men
