,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Superhero story with a difference,6,22 June 2012,"I'll admit to having a soft spot for found footage horror films and shot-on-camcorder outings; I find them inventive and a breath of fresh air when compared to the latest x million budget Hollywood blockbuster. There's something raw and down to earth about making movies on a seeming shoestring, something that gets back to the heart of what filmmaking is all about in the first place.I'd seen the trailer for CHRONICLE and I'll admit that it impressed me, intriguing it with its potential storyline of ordinary American teenagers discovering extraordinary powers. In essence, this takes the same type of ideas as many of the superhero films floating around cinema screens at the moment and presents them in a far more realistic way, showing the effect of ultimate power on ordinary minds.The film that follows is something of a mixed story. It starts out realistic but soon goes into some pretty offbeat places before it finishes up being precisely the type of OTT piece of spectacle that I was hoping it wouldn't turn out to be; when they drop the whole shot-on-camera look in favour of a cinematic style, the impact is lessened. The biggest problem, though, is the entire lack of a sympathetic character. The lead in particular is a whiny, maladjusted youth who I couldn't stand, and his supposed friends are little better.There are still reasons to watch, not least the unorthodox approach to the material and some quite spectacular special effects work, but the film never reaches the heights it had the potential to reach. There's just way too much of the larking about/look at me stuff when it should have stuck with the serious, more realistic angle.",Chronicle
1,SnoopyStyle,"Nice little movie, done in indie style, but with credible F/X",7,1 September 2013,"Whilst attending a party, three high school friends (Dane DeHaan, Alex Russell, and Michael B. Jordan) gain superpowers after stumbling upon an incredible underground artifact. They have pretty good chemistry together, and seem like regular bros I know.It's a simple premise. There isn't much to it. They have some fun with their newfound powers, but power corrupts. There is a lot of these lesser movies that have good CGI these days. It's done with a lot of first person hand held POV. This one is a fairly simple story, but it's done well. The final battle isn't quite as compelling. It feels repetitive after the numerous guys-thrown-through-a-building scene. The filmmakers just got a little carried away. It would probably work better with a slimmed down climax.",Chronicle
2,Prismark10,Fury in the footage,5,18 February 2015,"Chronicle is a found footage film although by the end of the film you might be wondering who was taking the footage by that point.The film was co-written by Max Landis (son of John Landis) It follows three Seattle high school students. Andrew (Dane DeHaan) is socially awkward, bullied and always armed with a camcorder, his cousin Matt (Alex Russell) and more popular Steve (Michael B Jordan.)The trio form a bond after gaining telekinetic abilities from an unknown rock. They first use their abilities for mischief and personal gain. They realise that they need to form rules as to how to use their powers but Andrew whose powers are strongest becomes increasingly unstable.The film has elements of the film Carrie as the geek turns on the people who are oppressing him including his father. The film begins with the superhero origins scenario as the group realise that with great powers come great responsibility which is subverted by Andrew whose inner demons are coming out in the open. However you see it all coming as the trio begin to conflict with each other leading to an epic super battle at the end.You then realise that the film has nothing much to offer and went through all the normal plot points in a predictable fashion.",Chronicle
3,claudio_carvalho,You Are not a Bad Person?,6,29 June 2013,"The shy, lonely and outcast teenager Andrew Detmer (Dane DeHaan)is bullied and has no friends at high-school and lives with his abusive and alcoholic father Richard Detmer (Michael Kelly) and his terminal mother Karen (Bo Petersen). Matt buys a camera to film his everyday.His cousin Matt Garetty (Alex Russell) drives him to school and invites Andrew to go to a party at night. They meet their schoolmate Steve Montgomery (Michael B. Jordan) in the party and they overhear a noise and find a hole in a field. They decide to explore the underground and they acquire powers. Soon the trio learns how to control their telekinetic abilities and Andrew becomes the most powerful. But he easily loses his temper and becomes dangerous while Matt tries to control him. When his mother needs a medicine and Andrew does not have enough money to buy it, his darker side overcomes and he becomes a menace.""Chronicle"" is a movie with potential that could have been a great movie, but It is not. The story is a sort of ""Carrie"" with more characters, with three teenagers acquiring telekinetic abilities and one of them abused and timid that is pushed to the limit; awful camera in the style of ""The Blair Witch Project"" and awesome special effects. The three friends are terribly developed - a loser, a pretentious intellectual and a popular guy - but the worst is the ridiculous conclusion. Matt goes to the Tibet and tells to the camera that Andrew is not a bad person. They guy has killed his best friend, several innocent people on the streets and destroyed properties but he is Mr. Nice Guy since he had problems with his father. It is really a great message for the crazies that sometimes commit mass murders. My vote is six.Title (Brazil): ""Poder Sem Limites"" (""Power without Limits"")",Chronicle
4,kosmasp,Superhero found footage,8,2 June 2012,"It's really something people were thinking about. What would you do, if you were in that position? What would really happen with you and your friends? And other questions, that haven't been really answered by other similar themed movies. Of course doing so here, makes this vulnerable to some slower and more boring scenes, that need to be placed in there, to see the progression.Plus for all the trying it does, it is kind of predictable. Does that take anything away from the movies impact? I don't think so. So it is cliché at times (in a common sense world that is), but the actors are doing a great job. Plus it does a neat thing with the found footage thing, that could only be done here and still ""make sense"".Watch it, if you're tired of other movies pretending to know what would happen, but be aware that you might think that the other movies are doing a better job, because they're not trying to depict ""reality""",Chronicle
5,jboothmillard,Chronicle,7,25 November 2014,"I heard a little about this film after it had finished its run in the cinemas, I knew it involved either superheroes or people gaining superpowers, and then I heard about how the film is structured, kind of like Cloverfield, so I was hoping critics mostly positive reviews would prove correct. Basically in Seattle, shy, lonely and outcast teenager Andrew Detmer (Dane DeHaan) has no friends, is bullied at high school student and lives with abusive alcoholic Richard (Michael Kelly) and terminally ill mother Karen (Bo Petersen), and wanting to express his creative side he buys himself an high quality HD video camera to chronicle his everyday life. Andrew's cousin Matt Garetty (Alex Russell) takes him to a party with schoolmate Steve Montgomery (Michael B. Jordan), while there they overhear a loud noise and go to investigate it, they find a large hole in the ground of a field, exploring the underground they find an alien source, and following a blackout they find the next day or two that they have acquired superpowers, including telekinesis, flight and superhuman strength, Andrew captures many of their abilities experiments on camera. Slowly their integrity is tested as they find disagreements with each other and become irresponsible, particularly Andrew who becomes the most powerful of the trio, but unlike them he also becomes easily tempered and dangerous, Steve is killed when struck by lightning while flying in the sky and trying to console him in a moment of frustration. Andrew's mother's incurable cancer worsens and she needs a medicine that he cannot afford, so he uses his powers to steal mother, but he is too late and she dies, and that is when he really snaps and goes into a mad rage of destruction, and Matt, vowing to use his powers for good, is the only one who can stop him, they have a turbulent fight, and in the end Matt has no choice but to kill Andrew, and he flies away in the end with Andrew's camera, leaving it behind in Tibet after one final recording. Also starring Ashley Hinshaw as Casey Letter, Anna Wood as Monica, Joe Vaz as Michael Ernesto and Rudi Malcolm as Wayne. You can argue that this is nothing original, characters gaining superpowers, some turning nasty and the others going against them as the force for good, but the ""found footage"" element from characters' perspectives adds a little twist and makes it a bit more interesting to watch, and of course the special effects and action sequences are impressive and make it flow nicely, overall a watchable science-fiction drama. Very good!",Chronicle
6,Scarecrow-88,Chronicle,9,17 May 2012,"Chronicle just says to me that technology has no limits in where it can go in the filmmaking process. When you look through what seems like a camcorder while above the clouds as a plane nearly decimates three young men with telekinetic powers (thanks to what looks like a large piece of space debris that landed in an open area outside of a club, its impact causing a monstrously long hole) and seems a bit too real, I can only applaud the talents of those who made it possible. I was just staggered, mouth agape, as I watched that chaotic, everything goes berserk, finale in Seattle, as two cousins battle it out as the locals within the city are victims of their out of control powers. Practically the entire experience is shot POV and how they accomplish this feet as the three men fly around like Superman, at first just toying around by making objects float, harmless and playful, gets worse and more dangerous, is a sight to behold. That is because troubled Andrew, a mistreated outcast whose father is a menacing drunk (was a firefighter, an injury on the job forced him into drawing disability) and mother is dying of cancer (her medication costs more than the hubby makes per month) has a lot to deal with on a daily basis. He is the victim of bullying, ignored by most of his classmates, and a virgin the ladies couldn't care less about. He is probably not the most suitable candidate for telekinetic powers, but that is what this movie thrives on emotionally. He is constantly picked on, ridiculed, laughed at, and violently assaulted (the worse abuse comes from pops who is like a volatile stick of dynamite always on the verge of setting off on Andrew). With powers, gaining a fluidity and control that rivals his cousin and high school rock star, Steve Montgomery, Andrew will get revenge on his tormentors. Pulled teeth, hurling bodies through the air, crushing cars just by closing his hand, Andrew is soon comparing himself to the Apex Predator, on top of the food chain and willing to crush those who push him too far. The zenith of this is the ending and the city of Seattle pays the price. Buildings have giant holes, vehicles are tossed to and fro with relative ease, and citizens run for their lives, screaming at high pitch as a force against nature is unleashed with sound and fury that is incredible. Bonafide f/x movie, no doubt, but as an alternative to Big Summer Superhero Blockbuster movies, you can't go wrong with Chronicle. You actually see two of the characters above the clouds during a lightning storm, a car moved from parking place across the pavement and to another area of empty spaces, and POV shots of the camera leaving Andrew's hands, floating around capturing everything while he uses thought to control it. What an experience Chronicle was. I have no idea why I didn't even hear about this movie until it come on DVD/blu-ray. How could such an exhilarating movie as this go so unnoticed?!?! This takes the PG-13 to the razor's edge; it can get quite violent and has some pretty strong scenes (especially between Andrew and his cruel father). You rarely see a film feature super powers, touch on some dark themes, and watch as the wrong people receive them resulting in such death and destruction. It doesn't feel like a superhero movie, as much as a cautionary tale of what could go wrong if someone too fragile and emotionally damaged were to gain powers that can easily lead to terrible consequences.",Chronicle
7,zardoz-13,"A Kind of . . . Sort of . . .""Hancock"" Prequel",8,12 February 2012,"Once upon a time, Hollywood did everything to conceal the presence of the camera. The studios didn't want audiences thinking about the camera poised between their imagination and the screen. Usually, the willing suspension of disbelief dissolves the instant when either the camera crew appears in a reflection or a boom mike dips into the frame. Hollywood has toiled to keep the cinematic process unobtrusive so it doesn't call attention to itself. The first movie that called attention to the camera was the Raymond Chandler murder mystery ""The Lady in the Lake"" (1947) which portrayed everything from the protagonist's point of view. The Humphrey Bogart thriller ""Dark Passage"" (1947) followed several months later, but relied on the gimmick only in its first claustrophobic quarter hour. Everything appeared from the protagonist's perspective. Few films exploited the first-person point-of-view approach until the 1960s. ""Peeping Tom"" (1960) showed a felon who murdered women and used his 16mm Bolex camera to film the event. When the 1970s marched in, the camera played an integral part in the action, especially in the second wave of 3-D movies. Everything came full circle in 1989 with the seldom seen Vietnam War movie ""84 Charlie Mopic."" Everything was shown from the viewpoint of a combat photographer. ""84 Charlie Mopic"" lacked the impact of ""The Blair Witch Project"" (1999) with its iconic first person camera approach. Since then ""Cloverfield"" (2008), ""REC"" (2007), the ""Paranormal Activity"" franchise, and ""The Devil Inside"" have adopted the technique with considerable success. Writer & director Josh Trank and co-scripter Max Landis openly embrace the first person point-of-view approach in ""Chronicle,"" a provocative but formulaic science fiction saga. This contemporary, low-budget, 84-minute, melodrama concerns three teenagers who acquire super powers under strange circumstances. These powers constitute more of a curse for them than a blessing. The narrative blends legitimately with the first person point-of-view approach because the lead character maintains a video diary. He lenses footage of every moment of his life no matter how much it alienates his peers and parents. Basically, he carries a camera with him everywhere. The hand-held, guerrilla-style camera work serves to heighten the reality of ""Chronicle"" and makes its spontaneity appear less theatrical. The cast consists largely of unknown, and this contributes to its pseudo sense of realism.""Chronicle"" concerns the ephemeral, ill-fated friendship that three Seattle high school seniors develop off campus. Andrew Detmer (Dane DeHaan of HBO's ""True Blood"") contends with violence on a daily basis both at home and at school. Drew lives with his dying mother and his abusive, alcoholic father. Drew's mother Karen Detmer (Bo Petersen of ""The Wooden Camera"") suffers from a medical condition that requires her to wear a breathing apparatus. When she isn't in a wheelchair, Karen is confined to her bed. At the same time, Drew's father Richard Detmer (Michael Kelly of ""Law Abiding Citizen"") takes his rage out on his neurotic son because he cannot afford to pay for his wife's expensive medicine. When he isn't taking abuse at home, Drew tangles with bullies at his high school. Little about life is inspirational for Drew. Andrew Detmer is the masculine equivalent of eponymous character in the horror movie ""Carrie."" Every day is a struggle for Drew. By the time he decides to create a documentary about his life, Drew has sown his destiny. Along the way, Drew encounters his philosophical cousin Matt Garetty (Alex Russell of ""Almost Kings"") who furnishes him with transportation to school. Popular African-American student Steve Montgomery is campaigning for school office. Drew encounters Steve at a music rave one night after a jealous boyfriend decks him. Steve persuades Drew to join Matt and him deeper in the woods. They have stumbled upon a mysterious hole in the ground. They need Drew and his camera, equipped with a bright light, to illuminate the hole. Recklessly, the trio plunge into the opening. When the they emerge from the hole, they have been changed. Initially, they use their telekinetic powers for pranks. Eventually, things escalate, and Drew takes advantage of his powers to compensate for his lack of strength and courage.Mind You, ""Chronicle"" isn't a full-blown, costume-clad, super hero adventure in the tradition of ""Superman,"" ""Batman,"" or ""Spider-man."" ""Chronicle"" shares more in common with the Will Smith opus ""Hancock."" These guys don't don latex outfits. Another film ""Chronicle"" resembles in its depiction of people with super powers is Brian De Palma's ""The Fury"" (1978) with Kirk Douglas. In ""The Fury,"" the teenagers used telekinesis to levitate objects without physically touching them. In Chronicle,"" the protagonists exploit their ability to cavort in the clouds, move automobiles without laying a finger on them, and create force fields. Drew surprises his father with his powers when the latter hits him. Just as ""Spider-man"" addressed the consequences of great responsibility, ""Chronicle"" explores the morality of mortals with super powers. Matt argues that they are accountable for their actions. Drew's plight prompts his misuse of his newly attained powers. It is a good thing that we humans were not granted super powers because bad apples exist in every basket to abuse it. The battered hero is a real basket case with a lot in common with the tormented girl in the horror chiller ""Carrie."" Both of them used telekinesis to destroy their enemies. Some inferior special effects, principally, poor rear projection photography, mars the action where we are asked to believe our heroes are actually in high places. Dane DeHaan bears an uncanny resemblance to a young Leonardo DiCaprio and DeHaan's transition from victim to predator is impressive. Ultimately, ""Chronicle"" qualifies as a predictable but nevertheless disturbing thriller that enhances its off-beat plot with its first person camera technique.",Chronicle
8,Boba_Fett1138,"Original, that's for sure.",7,9 February 2012,"No doubt about it, this is one of the most original superhero movies ever made but does it also rank among the best? I don't think so.A found-footage movie, involving a couple of youngster who gain superhero-like powers. That, in one short sentence, is the best way to describe this movie. This premise alone is already a quite original one, that of course gives the movie a more realistic sense to it as well. And this is all very welcome of course. It adds a whole new, other dimension, to both the found-footage and superhero movie genre.Basically it's being a very pleasant, little movie, to watch because it's taking a very straightforward approach with things. There are hardly any side-plots and the movie has a very natural flow to it. Besides, they were being pretty creative at times with the use of the camera(s). You might perhaps worry that it's constantly doing the same thing, with also the same camera-angels time in, time out but the movie found a clever way to use multiple different cameras at times and to make the whole movie also more dynamic to watch.But really, no matter how hard it tries to come across as realistic at times, it just isn't of course. I mean, after all, this is a movie about kids with superpowers. They fly through the air like Superman and smash cars like the Hulk. You could shoot it in a realistic way but it's just never going to look as such, also in this case due to it, that the movie had some pretty poor special effects in it, at certain crucial points, which also took me out of the movie at times.Another thing that just didn't made the movie all that realistic for me was its acting. The kids in this movie just aren't all that great. At times they sound good and very natural but at others it just sounds far too scripted and they obviously didn't had much big acting experience yet.Still the whole approach of this movie and how its story and characters progress and develop in a realistic and very straight-forward way, make this movie a real perfectly watchable and certainly also original one.7/10 http://bobafett1138.blogspot.com/",Chronicle
9,TBJCSKCNRRQTreviews,I am an apex predator!,8,19 April 2012,"Andrew doesn't have the easiest high school experience. The others make fun of him, his mother is dying, and his father is an abusive drunk(and even so, we understand him... he used to be a firefighter, then he got injured on the job, and now can't earn enough for her medication, and is suffering under the loss of his work identity; a lot of characters(and only the bullies and the like are obnoxious, even though the trailer makes it look like this is full of them) in this are psychologically credible and evoke sympathy even when such would seem difficult to accomplish). He starts documenting his life, and uses that to place a barrier between him and his life... make it something constructed, a piece of fiction. His one friend is his cousin Matt, the pseudo-intellectual. Together with the popular Steve, running for class president(or something like that, anyway), the three find and enter a hole in the ground emitting strange, nonsensical sounds(insert Rush Limbaugh joke here)... why only those three, even when others reportedly found this anomaly? ...good question. It's actually one of the few gaps in the story. Anyway, once they emerge from there(how is never explained... it creates mystery), they find that they have gained telekinetic abilities... and our troubled lead is the most powerful. What happens when someone so downtrodden can do incredible things? They get so good that they can fly, as well, and that's kickass... well, once or twice, it's goofy, but mostly, it is cool. And they do what teenagers would do, in this situation... pull pranks and play airborne football(I guess the clouds are goalposts? And no, they do not ponder if they should become superheroes... how many people would, anyway?). And since the guy filming it(who, unlike a lot of these POV-pictures, or found footage ones, actually has a role, he isn't just there to explain why it's been recorded) enjoys having the camera float, so they can do the crane-shots, panning and closeups that wouldn't come about naturally from this... and no, it doesn't make sense that they'd shoot, say, arguing with each other, etc. This is well-written, with a good amount of humor along the way. The story is well-told and keeps to a solid structure. It is genuinely engaging and tense, with some scenes that really escalate. The FX are excellent. It uses the relatively(! It is 12 mil...!) low budget well. This keeps to a swift pace, not even breaking 90 minutes, and as it gets to the climax, it begins cutting to other views(everyone has cell-phones, and those can capture footage). There is a little bloody, disturbing violent content and moderate to strong language in this. I recommend this to everyone who enjoys stories like this. 8/10",Chronicle
