,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,"Malick's debut, and a very impressive one",9,10 July 2011,"I am now highly appreciative of Terrence Malick's style, his films I agree are not for all, but even if I didn't like the director much(not the case here) I would make an effort to appreciate him/her.Badlands is Terrence Malick's debut, and while not my personal favourite of his work(The Thin Red Line), it is a very impressive one. His direction is superb and very poetic as it consistently is, the story is compelling and very moody in its tone and the dialogue is beautifully and thoughtfully written. Effort once again is made to make the audience care for the characters, but it isn't a Malick film without astounding visuals and a haunting emotionally resonant score, Badlands has both.The acting is top notch especially from Martin Sheen and Sissy Spacek and Warren Oates gives fine support too. All in all, a very impressive debut. 9/10 Bethany Cox",Badlands
1,Leofwine_draca,Minimalist thriller,8,25 November 2015,"BADLANDS is a minimalist thriller from famed director Terrence Malick, a film which gets by on mood, feeling, and a sense of dejected atmosphere and inevitable foreboding that accompanies the on-screen actions. There's not a great deal of plot complexity in this film, but at the same time it speaks volumes about human existence - a truly existential thriller. A bit like a Herzog film, then.The story is a straightforward one about a modern-day Bonnie and Clyde who go on a violent road trip across America. Its influence upon the more recent likes of KALIFORNIA and NATIONAL BORN KILLERS is obvious, and yet as the first of its type it clearly has the edge over later additions to the genre. Martin Sheen excels in a frightening, career-making performance, but it's Sissy Spacek who really holds things together. Her quiet, mousy character is somehow the worse of the two, mainly because she deals with intense violence in such a matter-of-fact and accepting way.The cinematography is excellent and brings out the lonely barrenness of the Colorado locations - it's a shame more Hollywood films don't escape the studios once in a while to celebrate the geography of North America. Warren Oates bags a nice minor but pivotal role, and the set-piece sequences are very well handled. It might be a grim and depressing story - it is based on facts, after all - but in Malick's hands it becomes somehow oddly beautiful.",Badlands
2,SnoopyStyle,American fairy tale,7,8 November 2014,"Holly Sargis (Sissy Spacek) is a sweet 15 year old girl new in Fort Dupree, South Dakota. Kit Carruthers (Martin Sheen) is a rebel school dropout fired from his garbage collector job. Her sign painting father objects to their relationship. He runs away with Holly and shoots her father as he tries to leave. They go on the run which would end in the Badlands of Montana. Along the way, they leave a trail of murders.Sissy Spacek is the perfect innocent. She does it without being boring. Her highly romanticized narration adds to that character. It's like reading a teenager's diary. Kit's casual cruelty is very compelling. Their performances are terrifically natural. The violence comes off very easily as if it's an everyday occurrence. The film moves slowly. An exciting plot is not the main concern of first time director Terrence Malick. This is a movie of lyrical tone and unflinching violence. It's a disturbed American fairy tale. That xylophone music is the perfect companion piece to her childlike narrations.",Badlands
3,Prismark10,Out for the kill,9,18 March 2017,"Terrence Malick used to be a philosophy professor at the Massachusetts Institute of Technology who went on to write screenplays and then made this cinematic debut as writer and director of Badlands. A critically acclaimed independent film based on the Starkweather Fugate killings of the 1950s.Kit Carruthers (Martin Sheen) is an aimless garbage collector with an interest in James Dean who starts to romance Holly (Sissy Spacek.) Her father (Warren Oates) a sign painter is not happy that Kit is seeing his daughter. Kit kills him and both go on the run across South Dakota hoping to make it over to Canada but end up killing a few more people in the process. Despite their youth and Holly's child like innocence at times, both are disturbed and even alienated individuals.The film is beautifully shot, something that have become a trademark of Malick films. Three cinematographers are credited including the legendary Tak Fujimoto whose main association is with director Jonathan Demme.The film has been immensely influential spawning other films such as Natural Born Killers and Bruce Springsteen's classic song, Badlands.The film has a star making performance from Martin Sheen as well as an hypnotic theme tune.",Badlands
4,mark.waltz,A classic piece of artistic cinema that's easy to despise.,5,2 March 2021,"I can see why this film might be chosen by film schools to show to its students. It certainly is influential as far as teams and photography and structure is concerned. However, it's a disturbing subject that, based upon a true story, has been altered to make you want to care about these characters, but when you find out the truth, you change your mind.The leads, Martin Sheen and Sissy Spacek, are two of the greatest actors to be representative of the 1970's for rebel cinema, examples of the new wave that didn't always give us heroes and heroines. He's a rather quiet but dangerous working class young man who turns to a life of crime when he becomes sick of his job as a garbage collector. So what does he do? Pick up a confused 15 year old girl, kills her father, and takes her on the run.As far as the filmmaking is concerned, this is brilliant for its breathtaking photography that is way more than just majestic vistas and brilliant colors. The shading and shadows are stunning in every way, and you can'tbelieve that for something so beautiful on screen, the story is extremely ugly.However, Sheen and Spacek are excellent and they remain consistent in their characterizations. He is dangerous but on occasion, thoughtful and insightful, And she never goes, even in her narration, past being deadpan and very matter of fact. Seeing how she reacts to his killing of her father and things she does later on makes you feel sorry for the lack of emotion she has as a young girl, but you can't find sympathy for her in so many of the idiotic things that she does.While it is easy to see why this has a varying difference of opinions, it's up to the viewer to decide what the fi means to them individually. I can't give a high rating to a film with characters that I don't relate to on any level, and in awaiting the outcome, I knew I would basically not accept anything more than a violent end for such a sociopathic mind, and was grateful that at least the film didn't overstay it's welcome by being longer. I appreciate this for the angry time in which it was made, but coming out the year before ""That's Entertainment"", I can easily say this is not.",Badlands
5,kosmasp,Natural Born Killers,9,1 April 2007,"Spoilers ahead, also of the movie Natural Born Killers! The true inspiration for Oliver Stones take on NBK. You can see the parallels. I don't know if Tarantino had this movie in mind, when he wrote NBK ... It could be, but then again, he always said, that NBK is not the movie he would've made.But enough about NBK. Terence Malick does impress us, with this wonderfully shot and edited masterpiece. A road trip movie with excellent actors and a great underlying threat throughout the movie. Terence Malick only directs every other decade, but when he does, you can almost count on the fact, that something amazing, will be the result!",Badlands
6,classicsoncall,"""Boy, we rang the bell now, didn't we?""",8,5 September 2015,"He may have 'looked just like James Dean', but more than anything I couldn't get over how much Martin Sheen resembled his own son Emilio Estevez in this story. And then I started thinking about how much more effective the Kit character might have been if he had the maniacal personality of Emilio's Billy the Kid from ""Young Guns"". I guess that just wasn't his style or the way director Malick approached this story of two star crossed lovers who landed on the wrong side of the tracks.The thing is, you never get the impression that fifteen year old Holly (Sissy Spacek) had a bad streak to begin with. She was just led by her ten years senior boyfriend and went along for the ride as he got swept up in an irrational killing spree. It seems she could have just as easily been swept off her feet by an otherwise regular guy who made something of himself and been just fine with that as well. Even her first sexual experience with bad boy Kit seemed to be a non event, something to try out and get over with, without too much thought put ahead of or behind it.For those who've seen both pictures, this one seems like the tamer precursor to 1994's ""Natural Born Killers"". ""Badlands"" was based on the real life 1958 killing spree undertaken by nineteen year old Charles Starkweather and his fourteen year old girlfriend Caril Ann Fugate; Starkweather's murders were truly vicious and included Fugate's two year old baby sister. When this picture was made, Martin Sheen and Sissy Spacek had not yet broken out as film stars, but this was arguably the picture that launched their careers big time.",Badlands
7,gavin6942,A Good Spree Killing Movie,7,29 April 2011,"Dramatization of the Starkweather-Fugate killing spree of the 1950's, in which a teenage girl and her twenty-something boyfriend slaughtered her entire family and several others in the Dakota badlands.I am familiar with the story of Charles Starkweather, whom this film was based on. Of the different variations of this story (also in Oliver Stone's ""Natural Born Killers"" and a song by Bruce Springsteen), I think I like this one best. It makes the girlfriend (in this version Helen) out to be a victim, and the killer (here Kit) out to be a charismatic man, even admired and liked by the police. The very casual feel really makes me think it is more realistic. Of course, the focus for Stone was on the media, so he was telling a different story in that respect.I have a general dislike of Sissy Spacek and still have not figured out how she ever got as big as she did. However, I did not mind her here. Granted, she is rather hideous with her skull face and ginger freckles, but at least plays a character we can feel sympathetic for. I recently watched ""The Straight Story"" and have never liked her less. Sissy Spacek met her future husband, Jack Fisk, on this film, which in turn connected her to David Lynch for ""Eraserhead"".What more can I say about this film? Probably a lot, but I will not. It is a good movie, and worth watching. I would say any fan of serial killer movies would like it -- and this is true -- but the interest should go far beyond that, as the perspective is not that of the killer but a young girl coming of age.",Badlands
8,lee_eisenberg,marimba music meets amorality,10,1 January 2010,"Terrence Malick made his directorial debut with ""Badlands"". After that, he directed ""Days of Heaven"", then waited twenty years and returned to the screen with the so-so war epic ""The Thin Red Line"", and most recently directed the really lame historical epic ""The New World"".Malick's debut is a really good one. Based on the true story of a young man and his teenage lover who go on a killing spree and make their own life in the countryside, the movie clearly knows its direction. We see that Kit (Martin Sheen) leads a pretty amoral life but clearly loves Holly (Sissy Spacek).I've read comparisons to Oliver Stone's ""Natural Born Killers"". While the idea may be similar, the latter depicts its protagonists as characters with a murderous desire driving their very existences, this one shows that its protagonists simply don't care about what they do. The marimba-like soundtrack (although it was probably a xylophone) truly drives the plot along. This is definitely a movie that I recommend. Also starring Warren Oates.",Badlands
9,jboothmillard,Badlands,7,9 March 2012,"From director Terrence Malick (The Thin Red Line), this is seen as a similar film to Natural Born Killers, and it certainly was like that in its day, and featuring in the book 1001 Movies You Must See Before You Die it was one I looked forward to. Basically, set in 1959, in Fort Dupre, South Dakota, twenty five year old garbage collector Kit Carruthers (Martin Sheen) and fifteen year old Holly Sargis (BAFTA nominated Sissy Spacek, three years before Carrie) meet each other and quickly become boyfriend and girlfriend. She likes his rebellious bad boy side, and he likes her simple and quiet nature, but Holly's sign painter Father (Warren Oates) does not approve of their relationship, even shooting their dog in anger. Kit and Holly are forced to go on the run after Kit shoot her father dead, and burn the house down, and as they travel across the Badlands of Montana they are filled with massive paranoia. With these feelings come the numerous murders, many people are killed along the way as they hide and run in the wilderness and across the country, and Holly being so vulnerable does not really comprehend Kit's sociopathic attitude. After many crimes of robbery, theft and murder, by the end the couple are finally caught, and with the narration of Holly we find out that Kit was executed, while Holly got probation and married the man who got her off. Also starring Ramon Bieri as Cato, Alan Vint as Deputy, Gary Littlejohn as Sheriff and John Carter as Rich Man. Sheen gives a good performance as the James Dean lookalike rebel who murders because of his unsettled state, and young Spacek is also very good as his love sick and loyal girlfriend, together they make a good early substitute for Mickey and Mallory. The psychopathic rampage is evident in many of the scenes of murders and other crimes, the romantic element of the story is interesting, and based in part on a true story it does convince you, I did prefer the more modern Natural Born Killers, but you have to keep in mind this is older, and I admit there could have been more blood and stuff, but overall it is a watchable crime drama. It was number 50 on Film 4's 50 Films To See Before You Die. Very good!",Badlands
