,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,hit and miss jokes,5,7 November 2013,"Mel Brooks hams it up big time. He's starring, writing, and directing this crazy Brooks version of history. It's a big hit and miss constant stream of broad jokes. At a lot of times, this feels dated like a vaudeville act from an age long gone.The biggest and best laughs have to be Madeline Kahn as Empress Nympho during Roman times. No No Yes Yes Yes No Yes Yes Yes. You've gotta love it.Although Gregory Hines is fine, I can't help but wonder what if Richard Pryor could be in this. It's a disappointment. And that's a big part of the disappointment in this movie. There is a lack of up and comer new comedians. This is mostly a reunion of old timers. With the rise of SNL and that comedic scene, the times are passing it by.",History of the World - Part I
1,mark.waltz,"Not a classic, but far from a clunker.",7,28 November 2015,"Parodying creation, the caveman film, the biblical epic, the crusades and the French Revolution, Mel Brooks got most of it right. There are only a few groaners, a few eye raisers and many genuine laughs, a few of them worthy of a Danny Thomas spit take.Utilizing humor styles perfected the year earlier with ""Airplane!"" while utilizing his familiar style of delicious bad taste, Brooks uses much of his regular crew of funny people. With dry narration by Orson Welles, Brooks goes all out to satirize the genre of phony Hollywood history. The highlights are the Roman Empire sequence with a delightfully hysterical performance by Madeline Kahn as an unnamed Roman empress, with a deliberately grotesque performance by Dom De Luise as the Emperor. Historical timing would show it as Tiberius as the scene moved to Judea on the night of the last supper. Ironically, John Hurt who played Caligula in TV's ""I Claudius"" plays Jesus in a cameo.The inquisition sequence is a parody just like ""Springtime For Hitler"" to show the atrocities against the Jewish population. It is semi- successful as long as you realize the point Brooks was making and the real history behind it.Some great art direction makes the French Revolution sequence better than it actually is although the cameos by several familiar faces is also of help. With Cloris Leachman standing out as the Dickens character Madam De Farce, that segment is raised a notch, just as the Roman Empire sequence was with its cameo by Bea Arthur.As for the coming attractions at the end, it now seems pointless, not only because there never was a sequel, but because it really isn't funny. So a in all a mixed bag, but middle of the road Brooks is certainly better than no Brooks.",History of the World - Part I
2,claudio_carvalho,It's Good to Be a King,7,10 April 2015,"Divided in six segments (""The Stone Age""; ""The Old Testament""; ""The Roman Empire""; ""The Spanish Inquisition""; ""The French Revolution""; and ""Previews of Coming Attractions""), ""History of the World: Part I"" is an uneven parody of historical moments, but still worthwhile watching. This film is written, directed and produced by Mel Brooks, who is also the lead actor performing five roles. It is also the debut of Gregory Hines, who died so young. Narrated by Orson Welles, the film has a great cast and cameo appearance of many famous people.Last but not the least, there is no sequel and Part I is another Mel Brook's joke, since Sir Walter Raleigh wrote The History of the World Volume 1 but was beheaded before writing the Volume 2. My vote is seven.Title (Brazil): ""A História do Mundo: Parte I"" (""The History of the World: Part I"")",History of the World - Part I
3,classicsoncall,"""I coalesce the vapor of human experience into a viable and logical comprehension.""",7,29 April 2020,"I have a similar reaction to this film that I had with Mel Brooks' 1974 hit, ""Blazing Saddles"". Brooks is a genuinely funny writer and entertainer, so I don't get why he also goes for the lowest common denominator in his pictures. The idea of a dozen subjects dry humping the Queen or placing such a fascination on women's boobs is at best an infantile exercise in generating a laugh. To me it's just not funny, and there was just too much of it in this picture. On another note, Brooks doesn't fail to offend with jokes at the expense of ethnic and religious groups, often bordering on the irreverent and sacrilegious. For me, the best part of the movie were those sound and sight gags that generate a chuckle, like the street vendor selling nothing in the Roman Empire, and the clever wordplay of a name like Swiftus Lazarus (Ron Carey), a takeoff on notable celebrity talent agent Swifty Lazar. The idea behind the movie was a pretty good one, and it was a hoot catching so many of Brooks's regulars like Harvey Korman, Madeline Kahn and Dom DeLuise, along with the cameos of lesser known comedians like Jan Murray, Jackie Mason and Jack Carter. There's even a quick glimpse of Playboy's Hugh Hefner with a bevy of beautiful girls at his service. But it's not enough to overcome a sense of frustration with a movie that could have been so much better without the puerile behavior. It's probably a relief there was no Part Two.",History of the World - Part I
4,gavin6942,The Best of Brooks?,7,12 May 2011,"From the dawn of man to the distant future, mankind's evolution (or lack thereof) is traced.I think this may possibly be Mel Brooks' best film. The humor is non-stop, and should be great for everyone. He revives the ""walk this way"" gag yet again, and even throws in some more subtle references. I really, really loved the vulgar Oedipus joke.I could question the historical accuracy, such as the cave paintings being in America rather than Europe, but since a dinosaur appears soon after, I figure they really did not care very much about this.Brooks has his cast of regulars ready here (Dom DeLuise, Cloris Leachman, Madeline Kahn), and also Gregory Hines (in his screen debut), a welcome addition.",History of the World - Part I
5,lee_eisenberg,And to think that some people consider history boring!,10,15 April 2006,"Since ""History of the World: Part I"" is from Mel Brooks, we all know what that means! Specifically, there's the Fifteen Commandments, the waiter at the Last Supper, a musical Spanish Inquisition, and a very un-French Revolution. You gotta wonder how Mel Brooks comes up with these things. I think that my favorite part was the Inquisition, and the joke on Torquemada's name. And of course, the suggestions for the sequel were also great; the sort of things that only Mel Brooks could do. Classic, hilarious, and everything such.Anyway, Brooks plays several different people throughout the movie. Also starring are Dom DeLuise, Madeline Kahn, Harvey Korman, Cloris Leachman, Gregory Hines, Sid Caesar and John Hurt. Orson Welles narrates. You read that right: Orson Welles narrates a Mel Brooks movie.",History of the World - Part I
6,rmax304823,"Often funny, sometimes very funny, slapdash comedy.",7,18 May 2007,"Mel Brooks' blackout sketches, mostly involving cave men, ancient Rome, the Inquisition, and the French Revolution, with a lot of other stuff thrown in. The various shreds are so impulsively but personally patched together that one wonders how he could have gotten such a cast, mostly familiar old timers.The style of the humor isn't what anyone would call fresh. A shot of a street in ancient Rome has a black guy walking along with a boombox against his ear. Ha ha. Facing the guillotine, Brooks is asked if he has any last requests. ""Yes -- NOVACAINE!"" ""It hasn't been invented yet."" ""I'll wait!"" And Brooks from time to time glances at the camera and makes comments on the shenanigans.A lot of the humor is Jewish. During a parody of Esther Williams' movies we not only see seven girls in bathing suits (and caps) slowly emerge from the pool wearing sparklers on their heads, but as they go up and up we see that they're standing on a menorah. A drowning man shouts and the underwater bubble of his breath rises to the surface and pops and it says, ""Oy, gewalt!"" Maybe I should quit because otherwise I'll give away all the gags and some of them depend on the principle of fundamental surprise. Many of them also depend on vulgarity, in more than one language. It's about as politically correct as you can get. I don't know that even in a good-natured comedy that skewers politicians, racism, Judaism, Hollywood, and Holy Mother Church you could get away with calling someone a ""fag"" today. Or how about this. Gregory Hines' intact heterosexuality is revealed and someone shouts, ""The jig is up!"" ""And gone,"" exclaims Hines, diving out the window.For me the scene that works best is the one in which Brooks is Louis XVI, shooting down peasants as they are flung through the air like clay pigeons. He's in a ridiculous ""King"" costume and wears a villainous black mustache and a beauty spot. Strolling through the garden, he gooses Marie Antoinette, winks at the camera and says, ""It's good to be da king."" And when he's forcing a beautiful blond virgin to meet him later that night, in order to save her imprisoned father, he adopts this smug, conspiratorial tone as he tells her, ""You do it. You KNOW you do it. You WANNA do it. We all do it."" And he smiles wickedly at us and reminds us again that, ""It's good to be da king."" I said this was a good-natured comedy and what I mean is that it doesn't depend in any way on anger. There isn't even an undertone of nastiness. We see a sketch from what we used to call ""coming attractions"" -- ""Hitler on Ice"" -- and Hitler performs gracefully. The humor lies in the absurdity of the concept. Any value judgments about the subject are taken for granted.Some of it looks quite a bit like Woody Allen, but it may be a case of independent invention. What it reminds me of at times are the ""Road"" films of Bing Crosby and Bob Hope. Now THAT'S good-natured comedy, although Brooks idea of fun is of course more urban, if not more urbane.The bloated pompous baritone of Orson Welles introduces each new segment with portentous comments -- ""The first weapon was the spear."" Welles, like Brooks, is obviously kidding around too. Everybody is kidding around and the result is quite a lot of fun, despite the occasional wince.",History of the World - Part I
7,ma-cortes,"Silly jokes, slapstick and sight gags galore",5,16 June 2008,"The film concerns about history of the world in various parts, from the dawn of human being until the distant future in French Revolution and narrated by Orson Welles. The first part during the Stone age with a sympathetic cavemen(Sid Caesar, Ron Carey) inventing the music. The second about Roman Empire with a filthy emperor Nero(Don DeLuise) with flatulence,a lecherous empress(Madeleine Khan) a slave(Gregory Hines) and of course, Mel Brooks. The following , the Spanish Inquisition , again with Mel Brooks as Torquemada making a spectacular dances, including a beautiful swimmers. The third part about French Revolution with a lascivious Luis XVI(Brooks),a conspirator count of Monet(recently deceased Harvey Korman) and a gorgeous Mademoiselle Rimbaud(Pamela Stephenson).Mel Brook's direction keeps things moving with laughs, he directed this sometimes hilarious, but mostly crude and bad taste spoof of history with ridiculous episodes, as how to test eunuchs or the lasciviousness of Luis XVI's court. The jokes come with machine-gun rapidly , though don't always work, there are so many of them that this comedy ends up with enoughs laughs for quite entertaining. It's a stupid movie but also funny and remains like a laugh-filled amusement. The movie hasn't the thematic unity of 'The producers, Blazing saddles and Young Frankestein', the Mel Brooks's best . The stars race around like maniacs and appear several famous uncredited, actors and directors, such as Hugh Hefner as Roman entrepreneur, Paul Mazursky as roman officer, Barry Levinson as column salesman, Art Metrano as Leonardo and John Hurt as Jesus in a bemusing sketch about the 'Last supper', among others. The film is classified 'PG', parents guide, as displays objectionable material, for occasional adult content, crude language and profanity. If it weren't in such bad taste and dirty humor , it would be perfect for the children.",History of the World - Part I
8,moonspinner55,"Childish, vulgar, outlandish--typical Mel Brooks",3,7 May 2006,"Mel Brooks' colorfully offensive spoof of history was lambasted by the critics upon its release, but time has been kind to it (and legions of fans now defend it). Large cast of game players from Madeline Kahn to Cloris Leachman, Sid Caesar to Brooks himself, work hard at making this gag-filled romp a rollicking spectacle, but Brooks' heavy-hand as a filmmaker causes an oppressiveness that is tough to shake off. The Prehistoric opener, the French Revolution and the Spanish Inquisition are all brightly accomplished, but the cheap-looking Roman Empire section is hammy and dull, practically stopping the movie in its tracks. As with many of Brooks' films (particularly from this period), ninety-percent of the jokes are groaners and there's far too much shouting amongst the players (as if the world had gone deaf). Some big laughs do emerge from the morass, and it is admittedly one of Brooks' more ambitious efforts. *1/2 from ****",History of the World - Part I
9,Quinoa1984,It's good to be the king,10,6 July 2000,"That's what Mel Brooks must be saying all the time, especially after this film.  This is one of his funniest films that looks at history instead of parodying other films.  Great fun, as we look at The Stone Age, The Ten Commandments (thats probably the funniest part), The Roman Empire, The Spanish Inquisition (that song is hilarious) and the French Revolution (not to mention the look at History of the World part 2 featuring Hitler on Ice, A Viking Funeral and Jews in Space).  Hilarious all around, but only if you like this type of humor.  A",History of the World - Part I
