,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"Plenty of potential, but a letdown come the end",5,7 January 2013,"SPLICE is the latest variant on the Frankenstein genre, with a couple of genetic scientists managing to create an alien-human hybrid in their laboratory before it all goes inevitably wrong. By far the most interesting thing about the production is the presence of director Vincenzo Natali, who has been away from movie screens for far too long since his astonishing debut, CUBE.Sadly, SPLICE nowhere equals the quality of that movie, and actually turns out to be a bit lacklustre come the ending. It starts off well in the first half, with some great laboratory scenes that incorporate truly outstanding CGI work in the form of the hybrid creation. The film generates plenty of interest at this stage, but begins to fall apart once the action shifts to outside the laboratory.The ensuing scenes are long, repetitive and seem to go nowhere. I appreciate the change in direction of the storyline, but other than one or two moments of interest, nothing much really happens. By the end, it's turned into yet another generic CGI monster fest. The cast is nothing to write home about either. Adrien Brody seems to have the ability to be either really engaging (as in THE JACKET) or as stiff as a plank of wood (PREDATORS). He veers towards the latter here, and his character is pretty dull. Sarah Polley is better as his slightly zealous partner, but this is hardly an actor's movie.Natali does a fine job of directing and his work is one of the main reasons to keep watching. I'm still surprised at how well they handled those newborn creature scenes; an exemplary combination of live action and CGI imagining that sets a new standard for the calibre of FX. It's a shame there isn't a more original film to hang those effects on.",Splice
1,SnoopyStyle,Disturbing creepiness unlike most other horror movies,7,26 February 2014,"Clive Nicoli (Adrien Brody) and Elsa Kast (Sarah Polley) are a couple working in cutting edge genetics experiments. They've created a new lifeform by splicing different species. They're excited to move onto human genes, but their lab is being shut down. Despite that, they go ahead with their experiment and produce human hybrid Dren.It starts off as a creepy sci-fi creature feature. However just when it seems to settle on a standard horror track, it takes a left turn and gets infinitely more disturbing. It's not scary like a traditional horror movie. So much of the horror show is happening on the human side. Sarah Polley is compelling as the driven Elsa, and what Clive does is just crazy.",Splice
2,Prismark10,The splice of life,3,13 October 2017,"Inspired by James Whale's Frankenstein film and David Cronenberg's body horror films. Splice starts off promisingly and then goes off the rails.Clive (Adrien Brody) and Elsa (Sarah Polley) are genetic scientists who created an artificial life spliced with various DNA. Two blob like creatures, one male, the other female are produced which are intended to produce artificial proteins. The scientists then go a step further in creating Dren (Delphine Chaneac) that has an accelerated life cycle but they seemingly have not thought through the ethical issues surrounding their experiment.Clive is reluctant to care for Dren, Elsa has a closer maternal bond with Dren. As Dren quickly grows older, her physical and emotional needs change. Despite looking human she has parts of other creatures such as a tail and wings.As the film is labelled as a horror film you can kind of figure the creature would go on a rampage at the end, however Clive's intimacy with Dren is too left field and far fetched especially as he scolds Elsa for betraying research principles. It has a pretty unconvincing ending which is unintentionally hilarious.",Splice
3,claudio_carvalho,Playing of God,7,9 April 2011,"Clive Nicoli (Adrien Brody) and Elsa Kast (Sarah Polley) are scientists of the Newstead Pharmaceutics researching the splice of DNA from different animals to form new genetic beings and find medical benefits to mankind. They have just created the hybrid Ginger and Fred and now they intend to join together human DNA to alter the genetic structure of their experiment. When the senior management calls off their experiment, they decide to secretly proceed and they generate a life form with human characteristics. They call it Dren (Delphine Chaneac) and Elsa is very fond of their creation that grows up fast and showing intelligence. When the company shutdown their experiment, they bring Dren to Elsa's abandoned farm and the scientists raise Dren like a daughter. But when it reaches adulthood, the sex drive of Dren is activated and Clive and Elsa learn that they have a serious problem to resolve. ""Splice"" is a dramatic sci-fi horror film with the story of two young unethical scientists that decide to play God. The plot is unoriginal but is attractive and engaging, specially because the trio formed by Sarah Polley, Adrian Brody and Delphine Chanéac. The childhood trauma of Elsa is absolutely out of the context and a diversion to the mainstream. The special effects and make-up are awesome, transforming the gorgeous French actress Delphine Chanéac in a creature with an exotic beauty. My vote is seven.Title (Brazil): ""Splice – A Nova Espécie"" (""Splice – The New Specie"")",Splice
4,nogodnomasters,Naked human hybrid,6,25 April 2018,"Not as sexy as ""Species"". In fact I really didn't find the hairless human hybrid, even when naked, sexy at all. A couple splices genes and creates a new species of globs they call Fred and Ginger. The globs are created to produce proteins etc. to enhance animal livestock. The inventive couple discovers they could splice human DNA and create a new species in order to cure human genetic diseases. The corporation forbids them from such an experiment so they go underground to do it. The woman, Elsa (Sarah Polly, slightly mentally unstable) uses her own DNA to create a creature which in the interest of time develops very rapidly. The infant looks like something out of Lynch's ""Eraserhead"". Eventually they have to move the human hybrid to a farm where it is cared for by Elsa and her boyfriend Clive (Adrian Brody).The movie is intellectually interesting, but at the same time has poor characters. I thought I was going to adore this movie from reading the box, but alas, I did not as the stupidity of the characters got in the way.The F-bomb is dropped a few times. Human hybrid nudity and sex including one rape.Worth a view, if you keep your expectations low.",Splice
5,kosmasp,Split,8,26 September 2010,"It didn't manage to splice the audience, that's for sure. I guess you could say, the reactions are divided to this movie. That's a fair thing to say. And as you can see, I'm more in the pro corner, than most of the others (see also rating here). I really liked this one a lot. Despite the fact that it is quite predictable overall and has a few flaws here and there of course.The two main actors elevate this movie for me. Of course the story as it is, could be just another ""Twilight Zone"" episode. But it is this full length feature and while you might have seen something like this before and/or are able to tell where this is going, it still is delivered in a really good fashion. Just because it isn't completely unique and has something of a message (you don't have to agree with that message), doesn't mean it has to be bad. On the other hand, if you give up on the movie, the sooner you shut it off, the better for you",Splice
6,lee_eisenberg,half-human endeavor,5,29 November 2010,"For the most part, Vincenzo Natali's ""Splice"" was about what I expected. Adrien Brody and Sarah Polley play genetic engineers who create a hybrid being, only to later find out that their creation is not quite what they hoped for. In my opinion, the coolest scene was the...OK, what's it called? The botched presentation.Alright, so this movie wasn't really intended as anything other than a sci-fi/horror flick. In that respect it succeeds perfectly, although the scientific lingo is probably going to be hard for the average person to understand. If you're looking for plain old entertainment, this should be the right movie for you. Otherwise, it's not the first one that I would recommend.Also starring Delphine Chanéac and Natali regular David Hewlett.",Splice
7,jboothmillard,Splice,5,13 December 2010,"I never heard of this film before I saw the DVD, but it had a distinctive title that gave me ideas of what to expect from it, and the leading actor was appealing too. Basically splicing the DNA of various animals has gone into the public eye with the research and technology of N.E.R.D. (Nucleic Exchange Research & Development). Genetic engineering scientists Clive Nicoli (Adrien Brody) and Elsa Kast (Dawn of the Dead's Sarah Polley) have created incredible new hybrid animals, and think it is time to try a human DNA splice, but the pharmaceutical company forbids it and tells them to stick to the animals. Going against them, and desperate to prove them wrong, Clive and Elsa secretly carry out this experiment blending human DNA with various animals'. After placing the cell in the egg, and waiting some time for it to grow, the creature has an early birth, and when it reveals itself it may look threatening, but Elsa gives it kindness. Wanting this creature, that they name Dren, to stay alive for the benefit of the research, they let her grow at an accelerated rate. They know that keeping Dren in the lab is very high risk, and they are not ready to prove anything yet, so they take Child Dren (Abigail Chu) to grow up in Elsa's dead mother's barn. While Dren (Délphine Chanéac), now an adult, stays hidden and secluded, Clive and Elsa present the original animal hybrid creatures of N.E.R.D. to the press, with disastrous consequences when one has changed sex. Dren is showing signs of becoming more than something to care for, with her tail stinger and retractable wings she has a temper tantrum that could be dangerous. Clive at one point discovers that it was in fact Elsa's egg used for making the experiment possible, which explains why she manages to seduce him enough to have sex with her. After an argument they go back to the barn to deal with Dren, and they are fooled into thinking she is dead, and the N.E.R.D. boss comes to see the secret research for himself, of course, he meets his fate. Dren springs out, and has now transformed into a male, and after a little chase starts raping Elsa, but Clive manages to impale her, only to have Dren's final fatal sting kill him. In the end Elsa and pharmaceutical company's head are the only two left to know about the secret experiment, but also, Elsa is pregnant with Dren's baby for the ""next stage"", does this mean a sequel? Also starring David Hewlett as William Barlow and Brandon McGibbon as Gavin Nicoli. It reminded me a lot of Species, except that the creature isn't so much evil from the start, and there were elements of a Frankenstein thing with you having some empathy for the monster, an interesting science-fiction horror thriller. Worth watching!",Splice
8,Woodyanders,Intelligent and engrossing sci-fi/horror winner,8,24 October 2012,"Assertive and ambitious Elsa Kast (an excellent performance by the always dependable Sarah Polley) and her more passive partner Clive Nicoli (a fine portrayal by Adrien Brody) specialize in splicing DNA from different animals to create new hybrid lifeforms. Things get out of hand when the pair secretly create a humanoid being called Dren (exceptionally well played with striking expressiveness by Delphine Chaneac), who turns out to be more than either one of them bargained for. Director Vincenzo Natali, who also co-wrote the smart and compelling script with Antoinette Terry Bryant and Doug Taylor, relates the gripping story at a snappy pace, treats the familiar, yet still fascinating premise in an admirably serious, tasteful, and thoughtful manner, and trenchantly explores a pertinent and provocative central theme about the dangerous moral consequences of playing god. Moreover, Natali brings a bold sexual angle to the plot which provides an extra startling and uncomfortable edge, with a freaky hot copulation scene between Clive and Dren proving to be both erotic and alarming in equal measure. However, it's the way that Natali presents Dren as a genuinely pitiable, utterly convincing, and strangely beautiful creature that rates as this film's greatest artistic triumph: Projecting a touchingly fragile, confused, and vulnerable deer in the headlights quality, one can't help but feel sorry for this poor mistreated mutant. Polley and Brody both do ace work in the lead roles, with sturdy support from Brandon McGibbon as Clive's concerned younger brother Gavin, David Hewlett as pragmatic businessman William Barlow, Abigail Chu as the adorable child Dren, and Simona Maicanescu as hard-nosed CEO Joan Chorot. Kudos are also in order for Tetsuo Nagata's sharp cinematography, Cyrille Aufort's classy brooding score, and the remarkably persuasive make-up f/x by KNB. Highly recommended.",Splice
9,rmax304823,Two Actors In Search Of A Movie.,3,18 April 2011,"Only a few observations, because I was able to sit through only the first forty minutes or so of this special effects extravaganza. Remember the scene in ""Alien"" when they find that creature apparently dead on the space ship floor, after it has spent a long time wrapped around John Hurt's head? And then they turn it over on its back and examine its glutinous interior, with all the slimy dead-white organs and liver-colored wet lumps? Disgusting, wasn't it? If you like that scene, you'll love this movie.I can understand why some viewers might be swept up in the morality of the tale because, after all, the implications are all laid out on the examining table for you -- face up. That's why I didn't give this a lower rating.But, frankly, I didn't understand either the technology or the moral conflict. The biological element zips by at warp speed. No need for careful explanation, as in ""Jurassic Park"" or, better yet, ""The Andromeda Strain."" Here, the cuts are instantaneous. Monitors flicker on an off in a flash. Labels come and go with the speed of light. Scientific names last as long as the blink of an eye. (One was Dipsosaurus dorsalis, the desert iguana of the American southwest.) We see cloning take place on a screen. It last about four seconds. I had no idea of what was being cloned. I only understood it was illegal or unethical -- or, at any rate, a bad idea -- because Adrian Brody kept screaming that it was.The, er, the THING that hatches before anyone expects it looks like the horrifying baby in ""Eraserhead"" except that it has the legs of a kangaroo or tarsier and springs from place to place like nobody's business, bouncing off the walls, upsetting cages. It is about the size of a poodle, is shiny, has devious eyes, and two thin feelers. It shows confusion and fear and this attracts Sarah Polley and activates her nurturant reflex. Kitchy kitchy koo! Even when the little bugger is opening its mouth with a threatening hiss. ""Don't kill it,"" she shouts. I'd have stomped the thing like a roach.The irony is that the movie has two performers in the lead who are capable of splendid performances. Sarah Polley has done wonders with earlier roles, especially those requiring repression. And the improbably nosed Adrien Brody can be at will villainous (""Oxygen"") or heroic (""King Kong"") and play it either way with equal vigor.In this instance, they're stuck with a story that could easily have dispensed with human actors entirely and just substituted computer-generated images. Too bad. A shameful waste.",Splice
