,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Sadder and wiser romantics take heed,7,8 December 2015,"In many ways Under The Tuscan Sun seems to be a kinder and gentler version of The Roman Spring Of Mrs. Stone. Both deal with female protagonists who have lost their husbands and seemingly a reason for existence as both had much maybe too much invested in their marriages.Unlike Vivien Leigh's film where her husband dies leaving her a wealthy widow who can now indulge in hedonism, Diane Lane was a successful author who supported her husband who was struggling as a writer and she catches him with another woman. He demands and gets the alimony.So disgusted is she that she takes off for Italy on a gay tour at the behest of her lesbian friend Margaret Oh who gives up her and her partner's ticket for one first class for Lane because she badly needs R&R. That's a friend, no one ever did that for me. The theory being that on a gay tour she can think without being hit on as a ready to rebound divorcée.Passing through Tuscany she spots a villa being sold dirt cheap by American prices and impulsively buys it. After that comes a few heartaches, but gradually Lane's back in the swing of things Italian style as it were.I did love the nicely photographed scenes of Italy showing the daily life there. Lane really dominates the film and though she's sadder and wiser she's not caught up in a meaningless and hedonistic existence as Vivien Leigh was. And Margaret Oh has a lot of wisdom in her and she will be one you remember.For sadder and wiser romantics Under The Tuscan Sun is cheerfully recommended.",Under the Tuscan Sun
1,SnoopyStyle,Diane Lane makes this good,6,21 September 2013,"Frances (Diane Lane) works hard to support his writer husband. So when his husband finally finishes his book, she is surprised to be cleaned out in a divorce from his cheating husband. I don't know why she doesn't get half his book. But while he gets to live in their old house with his new girlfriend, she gets to rent a tiny apartment in a divorcées complex. When her best friend Patti (Sandra Oh) has unusable tickets to a gay tour to Tuscany, she insists that Frances go to renew her life. Only she decides to buy an old house there.Diane Lane is lovely. I guess it's a single girl fantasy to run away to Italy. She has some wacky fun renovating the house. Then midway thru there is an Italian guy. It's done in a totally different style. I feared that it was turning into a more by the book rom-com. Then the guy goes away for awhile. Sandra Oh comes back into the movie. The tone goes much lighter with Sandra making a couple of jokes. There is a young couple that injects some energy. Diane Lane makes this fantasy good. The film could be a self-indulgent mess without her. I really feel for her. That's all due to Diane Lane. It does turn sad as nothing works out. But we recover for our happy sappy ending.",Under the Tuscan Sun
2,Hitchcoc,Some Pretty Sharp Commentary,6,11 January 2017,"I try to write a little on every film I see. My sister recommended this to me and so my wife and I watched it. The hard thing for me is the self-indulgent rich person who is searching for herself, trying to get herself moving forward after her ex- done her in. She has so much money that she can do just about anything she wants. I never found a connection to any of the people in this film, partly because we are so unalike and partly because I felt they didn't deserve much attention. It's hard to pull for character who are rolling through life, feasting on what is there. I do admit that this part of Italy is gorgeous. The cinematographer did a marvelous job of producing images of sun and architecture and all that this part of the world has to offer. After I saw the film, however, I had to think hard to remember what happened.",Under the Tuscan Sun
3,Prismark10,Bland and kind of predictable. A hollow centre.,4,26 April 2014,"This is a travelogue that meets 'a year in Provence.'It is an adaptation of a book where Diane Lane who discovers her husband is having an affair and is persuaded to go to a tour of Italy and impulsively purchases a run down house. She sets about getting workers together and fix the house while at the same time getting her life together and hopefully find romance again.There is wonderful Italian scenery, Lane looks ravishing, some tender and funny and scenes but its predictable. I saw the television adaptation of the Year of Provence over twenty years ago and here again you have workers struggling to fix the house and having problems communicating because of the language problems, some of the builders here are Polish.Pretty soon Lane has a male admirer and things seem to brighten up for Lane as the house is coming together and some of the side plots such as one of the Poles falling for a local girl coming to an optimistic end. However you always feel her young male admirer is someone hardly in short of female company when he is away from her.The film gets along in a nice bland way, never really jolting you because its predictable and never reaching a higher gear. Its as is some edgy characters such as Lane's gay friends and the nice scenery is supposed to make up for a run of the mill screenplay.",Under the Tuscan Sun
4,claudio_carvalho,"A Delightful Romance, With a Tour Through the Wonders of Italy and a Great Homage to the Italian Cinema",7,29 March 2005,"When the American writer and critic Francesca (Diane Lane) divorces from her husband, she becomes very depressed. Meanwhile, her lesbian friend Patti (Sandra Oh) gets pregnant and Patti and her mate decide to give their travel to Tuscan in a gay tour as a gift to Frances, to lift her moral. Once in Italy, Frances decides to spend all her savings, buying an old villa in an impulsive decision. While reforming the place, Frances finds wonderful places, friendship with the locals and love. ""Under the Tuscan Sun"" is a delightful romance, with a tour through the wonders of Italy and a great homage to the Italian cinema, with a reference to ""La Dolce Vita"" and a minor participation of Mario Monicelli. Diane Lane looks like wine, becoming more gorgeous along the years, and with a lovely face and smile. I have never had the chance to visit Italy, and after seeing the magnificent locations and the nice people of Italy, I believe most of the viewers will have the feeling of expecting to have a chance to visit such a marvelous place. I really liked this enjoyable film. My vote is seven.Title (Brazil): ""Sob o Sol da Toscana"" (""Under the Tuscan Sun"")",Under the Tuscan Sun
5,moonspinner55,"Breezy, likable fairy tale/travelogue",6,27 October 2005,"Lovely modern-day fairy tale has recently-divorced American woman rebuilding her life after taking a vacation trip to Tuscany and deciding that's where she wants to live; after purchasing and remodeling a run-down villa, she makes new friends and love-interests. Comic and romantic ingredients are not presented in an especially subtle manner, but the charming characters and Diane Lane's sparkling lead performance help make up for the small deficiencies. The simple effectiveness of the overall story won't grab some (the early exposition and introductions may seem contrived or trite), however the magic of the enterprise--no matter how engineered it might be--does its job. Ultimately, the film offers an enjoyable and moving experience, surprisingly. **1/2 from ****",Under the Tuscan Sun
6,michaelRokeefe,What does it take to start life anew?,3,27 August 2004,"Audrey Wells directs and is responsible for the screenplay of Frances Mayes' book UNDER THE TUSCAN SUN. The lovely Diane Lane plays Frances, a bewildered writer fighting the depression that follows a life altering divorce. Friends arrange the gift of a 10 day vacation to sunny Tuscany. While there she manages to get a great price on a not so great shape villa; where she hopes to start her life over again. The villa is not the only thing that comes by impulse...new friendships are built and romance suffers for lack of priority. Frances might not be lucky in love; but the effect she has on other people's lives account for the betterment in her own. She finds contentment in restoring her new home and leaves herself wide open for whatever life has to offer.I have always loved Lane and must say that she is the only reason I stuck with this movie to the end. I would like to sweep UNDER THE TUSCAN SUN under the carpet. Totally bored to death. Even the few seconds of love making hardly registered on my excitement meter. I can say that the scenery is awesome. Supporting cast includes:Raoul Bova, Vincent Riotta, Claudia Gerini and Sandra Oh.",Under the Tuscan Sun
7,jotix100,Italian for beginners...,7,9 November 2003,"Something very strange happened on the way to make this film. It appears as though director and adapter, Audrey Wells, threw the original text away only to create her own trip to Tuscany. With the help of her gorgeous star, Ms. Wells found backing for this pastiche she ended up presenting to us, which bears almost no resemblance to the original book by Frances Mayes.This is a movie full of cliches: The lonely and naive American tourist that would stay in Italy, the Latin lover, the good lesbian friend, and last, but not least, the eccentric Brit living in the small town!The best thing this film offers is the radiant Diane Lane, who is just gorgeous enough to make us forget the story and what is she doing in the mess she is in. Also, Lindsay Duncan, another great British actress doing a crude interpretation of her own ""La Dolce Vita"" some 44 years later.This is a typical ""date film"" which will be enjoyed by those people that didn't read the book.",Under the Tuscan Sun
8,evanston_dad,Saved By Diane Lane,5,2 December 2005,"Diane Lane is a fascinating actress to watch. Her face is always doing something interesting, and she has a winning, winsome quality to her that makes you automatically root for her. She takes the role she's given here and actually does things with it that other actresses probably couldn't.Otherwise, this film is the visual equivalent of Diet Soda: canned, bland and full of sugar. It should appeal to the Oprah crowd or people who love reality shows about people's homes being remodeled. It's harmless enough, but it has that sort of lazy, vapid quality that makes you wonder why anybody thought it was really worth turning into a movie in the first place.Grade: C",Under the Tuscan Sun
9,ferguson-6,Major Chick Flick Alert!!!,6,11 October 2003,"Greetings again from the darkness.  Yeah, OK, it is no surprise that this is the ultimate chick flick.  However, I was hoping for more.  A star vehicle for Diane Lane (coming off all the attention she received for the overrated ""Unfaithful"") I had hoped this would be more than wronged woman overcomes obstacles and creates a new life while enriching those around her.  Sadly, nothing more here from a writing perspective.  I will say Diane Lane shines in the role and her smile literally brightens the theatre.  The most interesting character in the movie is Lindsay Duncan as Katherine, who seems to be the wisest nut case around.  Her scene as Sylvia from ""La Dolce Vita"" is wonderful as are her many facial expressions!  The Italian countryside is breathtaking, but the side plots all just mix together as a bunch of nothing.  I did find it cute that Director Audrey Wells worked in an Italian version of ""George of the Jungle"", which of course, she wrote!  Not sure what to say about the actress, Sandra Oh.  She continues to put together a solid acting career, without, shall we say, ""classic Hollywood looks"".  See this for Diane Lane and the countryside, but keep your expectations low for the story.",Under the Tuscan Sun
