,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"If you gotta see one 1980s ""teen flick"", this is THE one to see!",8,4 September 2006,"It seems obvious that those responsible for this movie were schizophrenics. This alone can account for why the movie seems like two different films melded together AND why the humor is so bizarre and gut-bustingly funny! The biggest downside of the film is that it has so many of the dumb 80s clichés from teen films--without the main plot, the film actually would have scored a 9 or 10! The whole business about ""having to ski the K-12"" was just lame and got in the way of all the wonderful weirdness! My advice is to watch the film and then try to ignore all the plot--you're better off,...really.So what was so weird about the film?! Well, apart from John Cusack, his ex-girlfriend and the ""evil rival"", all the other characters are almost like a combination of a normal 80s teen movie and a Salvador Dali creation! I really don't want to ruin all the many, many, many surprises, but you've got to see such things as the family's Christmas presents, the ""interesting"" things Lane's brother does throughout the film, the paperboy from Hell, the scene where Mrs. Smith blows up, and so many more strange bits here and there. And, most of the strange little vignettes that are irrelevant to the plot are GREAT--except for the claymation part that just seemed dull (for better claymation, see HAPPINESS OF THE KATAKURIS).This is inspired lunacy that unfortunately barely missed being a grand-slam because of some dull plot elements and a stupid claymation dancing hamburger. BUT, because of all the weirdness and fun, this is a wonderful film that can be enjoyed by kids or those who lived through the 80s and want to relive old times and laugh at the clothes and music!",Better Off Dead...
1,SnoopyStyle,crazy wacky 80s teen movie,7,25 February 2015,"Cartoonist Lane Meyer (John Cusack) has a strange family in Northern California. His father Al (David Ogden Stiers) struggles against the psycho newspaper boy Johnny. His mother Jenny (Kim Darby) is a crazy cook. His little brother Badger is a genius mute. His best friend Charles de Mar (Curtis Armstrong) is a weirdo who keeps trying to get high. His girlfriend Beth (Amanda Wyss) dumps him for the douche ski team captain Roy Stalin (Aaron Dozier). Roy also keeps Lane from getting on the ski team. Lane continuously get challenged to race by two Japanese brothers, one who speaks no English and the other who speaks like Howard Cosell. Lane keeps trying to kill himself and then he is befriended by French foreign-exchange student Monique (Diane Franklin). He also saves her from her host's weird creepy son.This is a crazy weird addition to the 80s teen movie. It oscillates from silly stupidity to hilariously funny. It's surreal weirdness. And they throw in some fun lines like, ""That's a real shame when folks be throwing away a perfectly good white boy like that."" The only drawback is that Lane doesn't talk to Monique until the second half of the movie. They need to get together sooner. There is so much wackiness. Some works really well but others do fall a bit flat. Cusack is a terrific teen star who can roll with all the craziness.",Better Off Dead...
2,claudio_carvalho,Language Lessons,7,4 September 2016,"The teenager Lane Meyer (John Cusack) has a crush on his girlfriend Beth Truss (Amanda Wyss). When Beth dumps him to stay with the successful skier Roy Stalin (Aaron Dozier), Lane is depressed and decides to commit suicide. However he gives up and tries to improve his skill of skier to ski the dangerous K12 slope to impress Beth. Meanwhile his neighbor Mrs. Smith (Laura Waterbury) receives the exchange French student Monique Junot (Diane Franklin) and her fat son Ricky Smith (Daniel Schneider) considers Monique his girlfriend; however, Monique has an unrequited crush on Lane that does not note her. When Lane stumbles upon Monique in a high-school party, he befriends her. The upset Lane challenges Roy in a competition on the K12 slope but then he regrets. However Monique is a great mechanic and skier, and fix Lane's Camaro and teaches him how to ski the K12 slope. What will happen to Lane?""Better off Dead"" is a cute romantic comedy even thirty-one years later. The story is funny and there are hilarious situations. Further this film has not aged and entertains. Maybe the greatest difference is that in the viewer that enjoyed this cult-movie in 1985 now is able to understand much more Lane's father attitudes. My vote is seven.Title (Brazil): ""Minha Vida é um Desastre"" (""My Life Is a Disaster"")",Better Off Dead...
3,classicsoncall,"""This is as bad as it will ever get.""",7,20 July 2018,"Well it never gets that ominous for John Cusack's character. After getting dumped by his girlfriend (Amanda Wyss) for hot shot skier Roy Stalin (Aaron Dozier), Lane Meyer suffers the expected angst that goes with getting dumped territory. He survives a faux suicide attempt when his Mom (Kim Darby) inadvertently helps Lane hang himself, but that single attempt is outdone several times by Bud Cort's character in the 1971 flick ""Harold and Maude"". That film is even more hilarious than this one, though you have to pick your spots.The picture thrives on an unrelenting volume of sight gags throughout. Can you imagine a high school class as rapt at attention as the teens in Kerber's (Vincent Schiavelli) math room? I got a kick out of Badger's (Scooter Stevens) ""How to Pick Up Trashy Women"" which he managed to follow through on, and the picture's nod to the original ""Frankenstein"" was more than evident with Lane working at Pig Burgers. And say, anyone else notice that Stalin hit his stopwatch a couple of clicks after his required fifty eight second time trial when Lane crossed the finish line? I don't know what Beth (Wyss) ever saw in the guy.Well this is a fun movie if you're up for a teen comedy. The title actually seems to have more to do with the night club singer's song than it does with Lane Meyer's quest to kill himself. The chemistry between his character and Diane Franklin's Monique works well and Curtis Armstrong does what he can to channel Gilbert Gottfried as Lane's pal Charles De Mar. Aside from the vengeful two dollar paper boy and the rest of the principal players, my favorite was the Japanese Howard Cosell imitator. For anyone too young to remember Cosell, you'll have to look him up on Youtube to see what a great job Brian Imada did mimicking the famed sportscaster.",Better Off Dead...
4,gavin6942,"Very Odd, Sometimes Unnecessary",6,16 May 2015,"A teenager (John Cusack) has to deal with his girlfriend (Amanda Wyss) dumping him among family crises, homicidal paper boys, and a rival skier.Apparently John Cusack hated this film after it came out. Maybe he still does. Most likely he has moved on, focusing more on the dozens of other great films he has made since 1985. Anyway, not sure what the hate was about. The film is definitely weird and unlike most of the teen comedies of the 1980s, but it is by no means a bad movie.The cast alone makes it appealing, with Cusack alongside the amazing Diane Franklin, Kim Darby and Amanda Wyss. Sure, some scenes could have been trimmed or cut to improve the pace, but overall it is a solid entry into the world of 80s comedies.",Better Off Dead...
5,Woodyanders,A gloriously wacky and off-the-wall one-of-a-kind 80's teen comedy riot,9,29 January 2009,"Sadsack Lane Meyer (John Cusack at his most endearingly goofy) sinks into a deep depression and becomes suicidal after he gets dumped by his luscious girlfriend Beth (dishy blonde honey Amanda Wyss). Unbeknownst to Lane, true love exists right next door in the fetching form of sweet and adorable French foreign exchange student Monique Junot (the delightful Diane Franklin). Writer/director Savage Steve Holland brings a highly inspired, distinctive and idiosyncratic off-kilter comic sensibility to the standard concept of adolescent angst and those uniquely traumatic years spent in that special brand of hell called high school. Holland crams the film with a wonderfully oddball wealth of hilariously surreal gags: Lane's mom makes ghastly food that's as inedible as it is unidentifiable, two Japanese guys in a souped-up car constantly challenge Lane to a race, the persistent psychotic paperboy who really wants his two dollars, Lane's precocious younger brother orders a book through the mail so he can pick up trashy women, the hot babe who dates the entire basketball team, a claymation hamburger rocking out to a cool thrashin' song, and everyone asking Lane if it's okay to take Beth out on a date. Cusack's affable screen presence and considerable charm hold the picture together; he receives excellent support from Franklin, David Ogden Stiers as his hapless, long-suffering dad Al, Kim Darby as Lane's blithely clueless mother Jenny, Curtis Armstrong as Lane's zany stoner pal Charles De Mar, Chuck Mitchell as mean, slobby restaurant owner Rocko, Daniel Schneider as grotesque fat toad Ricky Smith, Aaron Dozier as arrogant ski champion Roy Stalin, Demian Slade as the deranged Johnny Gasparini, and Vincent Schiavelli as beloved geometry teacher Mr. Kerber. Elizabeth Daily makes an electrifying appearance singing at a high school dance. Rupert Hines' quirky score hits the groovy spot. Isidore Mankofsky's sparkling cinematography likewise does the trick. The bouncy 80's rock soundtrack totally smokes. An absolute gut-busting offbeat hoot.",Better Off Dead...
6,blanche-2,laughing out loud,8,12 May 2015,"Better Off Dead is a film from 1985 starring John Cusack - and he was a baby in this one.Cusack plays Lane Myer, the son of an insane mother (Kim Darby) who makes horrific recipes and gives out TV dinners as gifts; and a long- suffering David Ogden Stiers. His little brother is a weird genius who is making a satellite using household appliances that will take him to the moon.High-schooler Cusack is madly in love with Beth (Amanda Wyss). He has her likeness on all of his hangers. When she dumps him for the more popular, blond, good-looking, obnoxious Badger (Scooter Stevens), Lane decides to kill himself. I won't describe what happens as a result of each attempt, but he tries hanging, jumping onto a highway, and carbon monoxide poisoning (one of the funniest scenes ever).Lane believes, along with his friend (Curtis Armstrong) that if he can just ski the treacherous K-12, he can win back Beth. When he meets a French exchange student Monique (Diane Franklin), she picks up on his lack of confidence and wants to help.I was laughing at loud at so much of this - it's absolutely hilarious. Cusack is fantastic as a clumsy kid who feels inept. The always quirky Curtis Armstrong is a great sidekick, and Dan Schneider, now a huge TV writer and creator of shows, is fabulous as the social misfit Ricky, who has appropriated Monique as his girlfriend.Sadly, the woman who played Ricky's overbearing mother, Laura Waterbury, developed Alzheimer's and died at age 66, in 2013.There are so many little touches in this film that help make it so funny - Lane trying to find a radio station is one, the foreign guys who keep trying to race with him (one speaks English using a Howard Cosell voice and narratives), Ricky's mother's injury, Lane's date with the girl ""who wears an antenna on her face"" and last but not least - his brother's creations - it's priceless.There are too few laughs in films today - comedies have been dumbed down considerably since the '80s. For real laughs, see this one.",Better Off Dead...
7,edwagreen,Better Off Dead Best Describes this Film *,2,15 July 2010,"Outlandish film where John Cusack, at age 18, is despondent over the loss of his girlfriend and even tries to end it all.To say that the family is dysfunctional is to put it mildly. David Ogden Stiers provides some funny moments but Kim Darby, who was 38, at the time of the movie, is totally miscast as the mother. Her being so naive doesn't help her cause.We have a French exchange student living across the street from Cusack. She is staying with a boy who reminded me of Josh Mostel and a mother similar to Lainie Kazan.Naturally, we have the bully who took Cusack's original gal pal away. There will be an ultimate challenge by the two in the skiing finale.The oriental man doing an impression of the late Howard Cosell is hilarious.The picture lacks credibility and is most inane at times.",Better Off Dead...
8,wes-connors,Holland puts John Cusack on the Map,6,16 July 2010,"Northern California teenager John Cusack (as Lane Meyer) gets dumped by his hot blonde girlfriend (Amanda Wyss). This could be because Mr. Cusack takes a shower with his dirty socks on, and blow dries them to wear another day. Cusack decides to commit suicide, believing he'd be ""Better Off Dead"" than without Wyss. But, he never seems able to get the deed done. Parents David Ogden Stiers and Kim Darby are clueless. Aspiring drug addict pal Curtis Armstrong (as Charles de Mar) is unable to help.Luckily for Cusack, cute French foreign exchange student Diane Franklin (as Monique Junot) moves into the neighborhood. And, you know what that means. ""A delightful girl with a firm grip,"" Ms. Franklin can also fix cars and ski. The reason ""Savage"" Steve Holland's hapless comedy flopped upon release is because nobody bothered to tell audiences you were supposed to drop acid about six hours before the movie. Fortunately for the film, people have become innately trippy over time. No bad flashbacks here.****** Better Off Dead... (8/23/85) Savage Steve Holland ~ John Cusack, Diane Franklin, Curtis Armstrong, David Ogden Stiers",Better Off Dead...
9,BandSAboutMovies,A movie that I always come back to,10,7 April 2019,"When I was a teenager watching these movies, I could never understand the lives of the kids in John Hughes movies. I couldn't put myself into the headspace of the jocks or rich kids or the good looking ones. But Lane Myer? I get Lane Myer. When he finally finds that French foreign exchange student who knows all and gives him a new lease on life? That's what I thought would get me through high school and give my life meaning.
""Savage"" Steve Holland knows how to make a movie. I've seen this probably 4,000 times and every single viewing improves it for me.Lane only has two interests: skiing and his girlfriend, Beth (Amanda Wyss, Fast Times at Ridgemont High, A Nightmare on Elm Street). But when she leaves him for the captain of the ski team, Roy Stalin, his life is over. So over that he decides to kill himself at every juncture, which believe it or not, ends up being hilarious.This is a movie that knows how to cast its roles: David Ogden Stiers from TV's M*A*S*H* as Lane's dad, Kim Darby (Don't Be Afraid of the Dark) as his mom, Curtis ""Booger"" Armstrong as his best friend, Yuji Okumoto (who is the best bad guy EVER in The Karate Kid Part 2)s one of the two Howard Cosell speaking race driving immigrant brothers, Dan Schneider as the evil Ricky and his testicles err...tentacles, Chuck ""Porky"" Mitchell as the owner of a fast food place with claymation dancing food, amazing character actors like Vincent Schiavelli and Taylor Negron is small roles, E.G. Daily as herself rocking out, a little brother who is a bigger hit with the ladies (and a brighter scientist) than Lane, a paperboy obsessed with his two dollars and Diane Franklin (who starred in that scummy American horror movie that wishes it was Italian, Amityville II: The Possession) as the aforementioned French foreign exchange student.This is a movie where, as I always say, hijinks ensue. There's a dancing hamburger blasting Van Halen's ""Everybody Wants Some!!,"" there's Lane's buddy trying to do lines of snow off the K12, there's a one ski having ski race, there's mothers getting blown up and there's even the most ridiculous montage ever set to Rupert Hine's ""Arrested by You."" Truly, I could act this entire movie out for you if you'd like. Just ask me in person.According to the director, Cusack did not like the film and walked out of a screening, later saying it ""was the worst thing I have ever seen. I will never trust you as a director ever again, so don't speak to me."" This moment made Holland no longer care about movies. When asked years later if he hated making the movie, Cusack said, ""No, I just thought it could have been better, but I think that about almost all my films. I have nothing against the film. Glad people love it still.""",Better Off Dead...
