,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Horst_In_Translation,Munchhausen meets Hitlerjunge Salomon,6,19 March 2018,"""Der Hauptmann"" or ""The Captain"" is a new German 2-hour movie that premiered back in 2017, but was only released days ago to general audiences here in Germany. After making films in Hollywood for roughly 15 years and working with big names like Willis, Freeman, Malkovich and Bridges, this one is writer and director Robert Schwentke's (temporary?) return to Germany. The film with the exception of one shot is entirely in black-and-white and in my opinion, that was a good decision. The main character is played by Max Hubacher, an actor I was not too familiar until now, but he does a fine job given the fact thatg he is in basically every scene of the film. Fehling, Lau and Peschel are among Germany's most known at this point and they all play supporting characters. I must say though that the significance intended for Lau's and Peschel's characters was not really executed in a satisfying manner. Fehling does well with what he was given, even if it is not too much. This film plays during the final days of World War II and the consequence of this taking place in the battlefield and military, female characters are almost completely non-existent here. Not a problem though. The film shines through authenticity, shocking but realistic moments and eventually as a really good character study that goes way beyond the main character. The pair of Jewish entertainers in the last third of the film is another example of fine depictin and writing in terms of how differently their paths go. Guilt is a dominant subject here from start to finish and the question when evil is justified is a crucial one here all the time. Which of his actions are agreeable from the perspective that they saved his life or at least helped in saving his life? Which of his actions are just as despicable and undefendable as the ones by his tormentors? Everybody will have a different opinion on that I''m sure. i also liked the film's audio side. It was never in your face, but still elevated the material. The actors were almost all good and it is a successful return for Schwentke (the year he turns 50) without a doubt proving once more that the subject of WWII is still possible to produce quality movies even with the hundreds already existing about this darkest hour in European history of the 20th century. You just need to bring the talent creativity and approach. You could probably argue that what you see in here is not too realistic given the fact that it is all done by such a young man and how could they all be this stupid to fall for him. But then again, the one thing that destroys this argument is that it is based on real facts, a real character and to some extent all this really happened. And it is not as if he is depicted as the new messiah, that absolutely everybody falls for him: He has several antagonists in here who may believe his story, but still aren't ready to accept his authority. And that makes the watch even better, even more realistic. It was easy to care for the characters in here, to wonder what's going to happen to them next. At least for me and the longer the film went, the more curious I became if Herold would live or die. Well, it was something in-between then I guess. It is definitely impressive that this film never really dragged despite how long it is. I recommend the watch to everybody with an interest in this historic era. In my opinion this film is a success and I'm glad I saw it.",The Captain
1,kosmasp,It's the end of the ... war as we know it,8,19 May 2021,"Well maybe ""knew it"" would be better ... but that would not be as close to the song as I had in mind. Just a little nugget/hint/joke I like to make with my summary lines. Not that this is a comedy - most German movies are either known as romantic comedies/dramas or have the second world war as a topic - this obviously being the latter.This has an intersting twist with a character assuming a position and power grab, that will run throughout the movie. War is not a game and what it does with people (especially when they get into a position of power) is shown here very vividly. Very well played and acted (mostly in black and white nonetheless). If you don't have issues with the subject matter and the symbols shown, the movie might be something you want to watch. Interesting take to say the least.",The Captain
2,grantss,"Interesting, novel WW2 drama",7,6 June 2020,"Germany, April 1945. WW2 in Europe is almost over, resulting in mass desertions and disorder in German ranks. One deserter, Willi Herold, is on the run when he comes across the abandoned uniform of a Luftwaffe captain. Impersonating a captain he gathers together a rag tag group who assume the role of an anti-deserter/looter task force. Things come to a head when he is given responsibility for a camp where deserters, looters etc are detained, with dire consequences.Interesting WW2 drama, based on a true story. Quite novel in that it doesn't involve any confrontation with the enemy (well, except for one scene): the struggle is all internal. Also covers areas of WW2 that don't get much attention: the post-apocalyptic-like final days of Nazi Germany, the treatment of deserters etc and this series of events in particular.Plot is reasonably engaging, though a bit too drawn out. It could also have been more powerful: despite the events portrayed it really didn't feel that gritty or shocking. Everything just seems to happen, sometimes as if in slow motion. Maybe that's the effectiveness of the film: by the time you reach the critical moments you've become desensitised to all the killing, anarchy and atrocities. Still, it felt a bit flat to me.Great performance by Max Hubacher in the lead role. Solid supporting cast.Worth watching for a different angle on WW2. Not a must-see though.",The Captain
3,ferguson-6,corruption by power,7,26 July 2018,"Greetings again from the darkness. It's mind-boggling how many fascinating stories - both large and small - continue to come from World War II, even 75 years later. Writer/director Robert Schwentke (RED, FLIGHTPLAN) abruptly opens his latest with a single soldier desperately running from a posse of Nazi soldiers who appear to be hunting him down. The soldier manages to escape, kicking off an incredible journey that we are informed occurred during the final two weeks of the war (April 1945). Max Hubacher stars as Willi Herold, the soldier we are to assume has deserted his military outfit and is now dirty, hungry and cold as he evades German patrols. Things change drastically for Herold when he stumbles on an abandoned suitcase neatly packed with a German Captain's coat and full uniform. We are left to wonder what happened to the officer, but do get to watch Willi's crazy next few days as he impersonates a German officer and assumes command of his situation.Circumstances result in ""Captain"" Herold gaining followers, each of whom are as lost or unwilling to continue fighting as himself. The ragtag group ends up at prison camp Aschendorfermoor ... a camp containing German deserters and looters. Herold has convinced those in charge that he has direct orders from Hitler to take command of the camp, and a horrific massacre of prisoners takes place over the next few days.While this is a stunning story ripped from historical documents, the film works even better as a psychological character study. Herold first employs his newfound power as a survival strategy, but he is soon corrupted by the power of his assumed position. We witness as some blindly follow orders, and we watch (dumbfounded) as Herold's thirst for power overtakes whatever integrity he might have had prior to the desperation injected by war. The film moves at a meticulous pace and at times feels redundant. It could have been a stellar short film, but director Schwentke uses the slow pace to allow our shock to grow as Herold evolves into a coy monster (with a fine performance from Mr. Hubacher). Filmed in stark black and white, it offers some beautiful shots from cinematographer Florian Ballhaus (THE DEVIL WEARS PRADA), the son of famed cinematographer and 3 time Oscar nominee Michael Ballhaus (GANGS OF NEW YORK). The elder Ballhaus passed away in 2017, and the son continues to build his own legacy. Set in Germany during April 1945, this blend of docudrama and black comedy is a collaboration of German, Poland and France, and as a true story, packs quite a punch.",The Captain
4,deloudelouvain,The hunted becoming the hunter.,7,7 February 2019,"The most interesting and crazy part of Der Hauptmann is that it is based on a true story. Crazy as you can witness how quickly the hunted can be come the hunter. You could say he only tried to survive but the truth is that Willi Herold quickly became the person he was fleeing from and that he took some sadistic pleasure in it. Max Hubacher did a great job playing Willi Herold. Black and white movies are normally not really my thing but in this case it perfectly worked. Only one color shot was made towards the end. There are some disturbing scenes in The Captain but then again it's a war movie about Nazis so no surprise there. All the actors did a great job playing their characters, from victims to butchers. There are some satirical moments that did work in this context. An interesting but most of the time cruel story well shot.",The Captain
5,MOscarbradley,Genuinely disturbing.,8,10 April 2020,"The story told in ""The Captain"" really stretches credulity and yet it's true. A young deserter from the German army in the closing days of the War finds a captain's uniform and when he puts it on isn't just mistaken for a captain but becomes, in his own mind, a figure of great power; in fact, he becomes a mass murderer yet amazingly no-one in authority, or even the grunts he comes across, think to question his age. We are told at the end of the film that when he was charged with war crimes he was only 21 years old.This German made film looks at a shocking event in their recent history and it shows, without apology, the terrible things the Nazis did but, significantly, it doesn't condemn the German people; there are 'good' Germans here, too or rather Germans so sickened with what is happening they rebel in what little way they can. Things happen here that happen in many war films if perhaps in a more surreal fashion but fundamentally the real theme of Robert Schwentke's film is how, once an idea is planted in the mind, it ceases to be an idea and becomes a reality.Surely there must have been evidence that our young deserter, (Max Hubacher, terrific), was always a monster and putting on the uniform only gave credence to this but more significantly the uniform itself becomes a symbol of power to others. It's like those psychological experiments where simply saying something is fact makes it so, particularly if you have a prop, only in this case it was no experiment but quite possibly the very personification of evil. ""The Captain"" will chill you to the bone.",The Captain
6,westsideschl,DVD Subtitles?,8,23 January 2019,"Subtitles are important for several reasons - viewers w/hearing issues; poor English enunciation; poor audio. Some of the low ratings come from either viewer's DVD players failing to load the subtitles or they just don't like the distraction. My copy autoloaded subtitles just fine.
As to the film itself:
Humorously it seems in movies of someone being pursued through a forest that they almost always find a tree root or log to hide under at the last moment & pursuers always seem to stop atop the log. Now I know the next time I'm pursued.
Interesting film statement on human behavior that perhaps within all humans (well, males at least) that when conditions arise the innermost beast (sorry beasts) in them comes forth to show how inhumane we are meant to be. So, our once escaping deserter finds himself suddenly in the role of the pursuer.",The Captain
7,ops-52535,"raw,raw,raw.....",8,10 January 2019,"What i most of all liked in this historical war drama,was the brilliantly used black and white production, this really touched several strings of feelings when watching this film, like schindlers list, very well done by the director,and production team, particularly the light crew,that seems like having great experience on b/w productions.its a raw film, and the two main themes are authority and desertations, soldiers returning alone or in small groups from the front,are picked up and merely shuffled into soldier prison camp, awaiting the military tribunal to decide wether or not they are kujons . its the bitter flavour of war,being british,american,german,russian or japanese, they all punished the war tired young men and woman, momentarily with quick executions,or with imprisonment.the acting are very good,the characters are put on the edge, i especially liked ''herr freitag'' who expresses his fears and disbelief with high standard.
in the beginning i started to wonder if this was some kind of comedy flick,but i soon found out what a harsh hell of a life described in the film. the story is said to be a true story, and that makes it even worse to imagine. what i miss in the plot is where and when things happens,that wouldve brought the message of the story even further ahead. i loved the use of original language with english subtitles.( i wish norwegian filmmakers had done the same,like in netflix's u-22 of july, where norwegian actors stumbles away with 6th grade school english.)but its a good film, believe me, it is not for everyone though,and if youre fainthearted,or have a vivid ability to glue vision to your memory,then do make a ''halt'' when its discomforting you,because its not getting better.i watched with 3 long breaks ,just to devour.",The Captain
8,Thanos_Alfie,Nice movie...,7,3 January 2019,"""The Captain"" is a History - War movie in which we are two weeks before the end of World War II and we watch a young German soldier trying to survive when he finds a Nazi captain's uniform. He pretends to be a captain and his behavior changes very much making the same monstrous mistakes that his perpetrators did before him and he was trying to escape from.I liked this movie very much because it had a very interesting plot and many good scenes. I liked the direction which was made by Robert Schwentke who is also the writer and I believe he did a great job on it. He combined very some historical events with his story and also showed us the cruelty of Nazi and what they did or what they were capable of doing. Another thing that I believe it's very important is the evolve of his main character, he started as a young frightened boy and in the end, he had courage, pride, and honor. It reminded me of the movie ""Das Experiment"" which was also presented very well what can happen if power is given to the wrong people. Regarding the interpretations, I liked the interpretation of Max Hubacher who played as Willi Herold and he was very good at his role, Frederick Lau who played as Kipinski and Milan Peschel who played as Freytag.In conclusion, I have to say that ""The Captain"" is a nice movie with an interesting plot, some very good interpretations, and a very good direction. I recommend everyone to watch this movie because I am sure that you are going to enjoy it and I also believe that if you are a fan of war movies then you really have to watch this movie since it presents the true face of war.",The Captain
9,Tweetienator,Of the Beast in Man,8,8 February 2019,"A friend recommended this one to me and I was not disappointed - Der Hauptmann (The Captain) is a fine little movie about the last days of the 3rd Reich in Germany. Shot in black and white it tells us a true story - about a deserter, who finds a captain's uniform, takes on the role and the commanding power of a captain - and commits some terrible war crimes.The movie captures good the final mad days in war destroyed Germany, and we watch some very disturbing, grotesque and thought provoking scenes of mass hysteria and psychosis. Der Hauptmann got not the biggest production, but for sure more interesting and ""entertaining"" as to watch some ""schrott"" like the last Oscar-burdened Dunkirk.A German contribution to the WWII genre with some real quality like Untergang/Downfall (2004), with a far smaller budget/production of course.",The Captain
