,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Brilliant performances and screenplay make this film so worth watching,10,13 February 2011,"Glengarry Glen Ross is a truly wonderful film, primarily for two things.One is the screenplay. This screenplay is brilliant, with many thought-provoking moments and also some emotionally resonant ones too.The other asset is the acting. In what is essentially an ensemble cast, the entire cast give superb performances particularly Al Pacino, Alec Baldwin and Ed Harris, and even Kevin Spacey makes a telling cameo.Cinematography and editing wise Glengarry Glen Ross cannot be faulted either. While most of the film takes place in one place, the cinematography and editing make this work.The story is always compelling and the film is further advantaged by strong direction, good pacing and well-written characters.In conclusion, a wonderful film helped by the script and performances especially. 10/10 Bethany Cox",Glengarry Glen Ross
1,bkoganbing,The Machine Runs Down,9,1 February 2007,"To answer everyone's question first upon seeing the title, no Glengarry Glen Ross does not have a Scottish setting. The title is an amalgam of of a series of property lots that this group of shark real estate salesman are trying to peddle. As sleazy a bunch as you will ever find are the staff of this real estate firm, located in Sheepshead Bay in Brooklyn. David Mamet's play ran in the 1984-1985 season on Broadway for 378 performances and it's a property for a great ensemble cast which is what was assembled here. Al Pacino got an Oscar nomination for Best Supporting Actor, yet it's unfair to single out his performance as better than the others. Any one of them could have been nominated, they all have their moments.By the time Glengarry Glen Ross came to the screen, the Reagan years were over. The Eighties were a decade driven by unbridled capitalism the likes we had not seen since the robber barons. But those people created industry, the wealth of the eighties was in get rich quick stock market speculation. The only real new industry was the computer driven ones as we moved from the age of industry to the age of information. These salesmen are the Reagan era personified. Make money at any cost even if you become an outright conman. They are in their thirties and forties, one however is reaching senior citizen status and ought to be retired, but has financial obligations.That of course is Jack Lemmon who is playing a very similar part to the one he won an Oscar for in Save the Tiger. That character too, faced middle age with pressing financial concerns and he makes a choice to have an arson fire at his factory with the insurance settlement getting him out of debt. Here Lemmon's Shelley 'the Machine' Levine, once a crack salesman has let the younger ones including his own protégé Pacino out do him in a highly competitive environment. He makes a wrong choice and it doesn't work out so good.Ed Harris as a loudmouth blowhard of a salesman and Kevin Spacey as the harried office manager make their characters real. Alec Baldwin has a small ten minute role at the beginning of the film as the motivational vice president of the firm who provides some real incentives for these guys to keep their jobs. Inadvertently he sets up all the events to follow. His performance is very similar to the one that Ben Affleck did in Boiler Room.Glengarry Glen Ross is a stunning commentary on the American get rich quick ethic and the Reagan years. It's great ensemble acting and should not be missed.",Glengarry Glen Ross
2,SnoopyStyle,Mamet script sings and Lemmon desperation,9,13 January 2016,"Shelley Levene (Jack Lemmon) is a desperate salesman with a daughter in the hospital. Blake (Alec Baldwin) is brought in by Mitch and Murray to push the sales force. The highest sales number gets a Cadillac. The last one gets fired. Dave Moss (Ed Harris) is incensed and pushes George Aaronow (Alan Arkin). Manager John Williamson (Kevin Spacey) is given Glengarry leads to hold. Ricky Roma (Al Pacino) is the best closer in the office and selling James Lingk (Jonathan Pryce) in a bar.The Mamet script sings. This is like music. If it's written poorly, Baldwin's pitch would sound campy. The fact that it's so compelling proves that it is brilliant. As for the actors, one can almost smell the stink of Lemmon's desperation. Ed Harris is terrific in his bravado but also his cowering to Blake. The acting power is beyond questioning.",Glengarry Glen Ross
3,kosmasp,ABC,10,4 October 2020,"The ABCs of script writing? You would be excused to think and say so. Especially considering the movie is filmed as scripted. That in itself does not happen that often. But that happening and the movie being so good? Ok so the actors in this are phenomenal to say the least and it is based on a play. Still according to Lemmon there is no adlib in this. Which is incredible, when you think not just of the dialogue and ""ahms"", but the speed in which it is delivered! Really fascinating to say the least.And then the story! I mean how can anyone not be drawn in? Yes the characters shown here are different levels of despicable and still you root for them. Because you see their struggle! Because Alec Baldwin is the evil that gives them a deadline ... btw. that performance of his ... talking to Alda, Harris and Lemmon that way? Wow ... I mean just wow. And then you have Kevin Spacey who is quite contraint and still leaves as much dents as any other actor in this. Have I talked about Pacino yet? No? Again, just hearing and seeing those names ... masterclass in so many ways. And then the ending - I think you can draw things from this from multiple viewings. Which I'm very likely to do.Edit: at first I wasn't aware of the foul language/profanity used in this. Which says I reckon more about myself and my threshold than the movie itself. But also that it felt natural for the characters to curse. It just fit - which is why this was called (amongst the cast and crew) as ""Death of a f...ing Salesman"". Fitting indeed.",Glengarry Glen Ross
4,classicsoncall,"""Did the leads come in yet?""",8,24 December 2011,"If I had any kind of clue how many times the word 'leads' would be used in the picture I would have kept count. Obviously someone did because the trivia section here says it happened eighty three times. Considering the 'F' word was used almost twice as much, I don't know why 'leads' jarred me so much every time I heard it. Just goes to show that the other word is so much more common in movies today.You know, the title of this film has bothered me ever since it came out. Without knowing the story and the real estate deals involved, it never made any sense to me. Now that I've seen it I have the context so it's become a non-issue.I never worked in sales except for a brief stint in autos about a decade ago. It seemed like a rigged game in the office I worked for; fifty cars in four months and only made ten grand. You do the math. I chalk it up to a learning experience for the brief time involved at a time I didn't really need to make a lot. The cutthroat stuff never appealed to me and I'd rather make an honest living anyway. I know there are bullies like Blake out there, but they can't look in a mirror. Speaking of which, it's extraordinary to me that Alec Baldwin turned into this character for real over the past couple of years as evidenced by the cell phone rant to his daughter and the recent Airlines tirade fiasco. What a guy! This won't be everyone's cup of tea for sure, but if the chicanery involved in high stakes pressure selling appeals to you, this is one of the best. Any one of the principals - Pacino, Lemmon, Arkin, Spacey or Harris - is top drawer and worth the price of admission alone. The set-up with Moss (Harris) and George (Arkin) over robbing the office was a clever sleight of hand piece by the time The Machine (Lemmon) 'fessed up. Even with his hand in the cookie jar, the old veteran still looks to cut a deal with a guy he hates. Man, that's selling.",Glengarry Glen Ross
5,gavin6942,Real Estate... What a Racket,8,10 September 2012,"An examination of the machinations behind the scenes at a real estate office.Never have I seen so many talented actors in one picture. I suppose ""L.A. Confidential"" also comes to mind (and has the exceptional Kevin Spacey, too) but this really takes the cake. Alec Baldwin? Al Pacino? Spacey? Ed Harris? And Jack Lemmon? Holy smokes! Lemmon is an interesting character, definitely past his prime and determined not to be fired. Can his cold-calling work? It makes him a difficult character to love. We do not want him to be fired, as he seems to be the only one with a heart. But cold calling? Is there a more devious selling practice? Pacino is great, Spacey is superb... Baldwin has far too small a role.",Glengarry Glen Ross
6,lee_eisenberg,"learn your ABCs (that's ""always be closing"")",10,11 May 2006,"If you thought that ""Raging Bull"" and ""Mystic River"" hit you like a kick in the gut, then just wait until you see ""Glengarry Glen Ross"". This look at the nasty side of the real estate business knocks the wind out of you. For starters, there's Blake (Alec Baldwin), the very epitome of the cruel, hostile businessman ready to fire anyone who under-performs (""Do you understand me, you f---ing f---ots?!""). There's Ricky Roma (Al Pacino), the successful salesman without much care for his cohorts. There's John Williamson (Kevin Spacey), a jerk inheriting everything. There's Shelley Levene (Jack Lemmon), Dave Moss (Ed Harris) and George Aaronow (Alan Arkin), the aging, less successful members who are probably about to get fired. But overall, things don't look to great for anyone.In conclusion, this is really the type of movie that could easily freeze your blood. You'll never look at the real estate business the same way again. It haunts you like almost no other movie could, and goes to show how our society likes to spit out anyone who has moved ""past his/her prime"". Also starring Jonathan Pryce.",Glengarry Glen Ross
7,jboothmillard,Glengarry Glen Ross,10,25 April 2007,"I have hardly ever seen a film with big stars all creating memorable performances, and hardly leaving the one main location, but this is the quintessential film to do this. Basically one day at a Chicago real-estate office, big man Blake (Alec Baldwin) gives a strong (and arrogant) incentive, and pressures the salesmen of the company to sell more or lose their jobs. First prize of this contest is a Cadillac Eldorado, second prize is a set of steak knives, third prize is being fired. No-one can afford to lose for good sales leads. The four salesmen, including Ricky Roma (Oscar and Golden Globe nominated Al Pacino), oldest member Shelley Levene (a superb Jack Lemmon), George Aaronow (Little Miss Sunshine's Alan Arkin) and Dave Moss (Ed Harris) are now doing everything they can to make the perfect sale and get top of the leader board. There is a robbery, and unforeseen consequences will come to the characters. John Williamson (then little known Kevin Spacey), as Blake's associate is the man who is responsible for the leader board, and he is also just as arrogant as his over-ruler. Also starring Jonathan Pryce as James Lingk, who helps Ricky with some of the sales information. For me, some of the highlights were not just the quality performances, but the use of bad language, in some moments I found myself laughing. Jack Lemmon was number 43, Kevin Spacey number 4, and Al Pacino number 1 on The 100 Greatest Movie Stars, Pacino was also number 26 on The 100 Greatest Pop Culture Icons, and he was number 5 (along with Robert De Niro) on The World's Greatest Actor. Outstanding!",Glengarry Glen Ross
8,Woodyanders,Dog eat dog,9,31 May 2017,"Several struggling salesman are given a short amount of time to prove their worth as valuable and essential assets to the company they work for in the fiercely cut-throat world of real estate.Director James Foley and screenwriter David Mamet not only astutely capture the raw desperation and compromised integrity of a handful of down on their luck guys who are just barely hanging on by their fingernails, but also capture both the nerve-wracking pressure cooker nature of do or die white collar hustling and the savage competitive mindset of the predatory alpha dog male psyche with equally bracing acuity and potency. The outstanding acting by the bang-up cast keeps this film humming: Al Pacino growls curse words and radiates pure sleaze with incendiary brio as ruthless and aggressive hot shot Ricky Roma, Jack Lemmon contributes a gut-wrenching turn as sadsack washed-up has-been Shelley ""The Machine"" Levine, Ed Harris hits the right cynical note as the bitter and deceitful Dave Moss, Alan Arkin cuts a poignantly pathetic figure as the hopelessly meek George Aaronow, Kevin Spacey oozes smug superiority as flinty office manager John Williamson, Jonathan Pryce elicits sympathy as vulnerable mark James Lingk, and Alec Baldwin delivers a bravura cameo as vicious motivational speaker Blake. Both Juan Ruiz Anchia's crisp cinematography and James Newton Howard's spare jazzy score are up to speed. An absolute powerhouse.",Glengarry Glen Ross
9,ma-cortes,A terrific acted movie with all-star-cast based on a foul-mouthed play by David Mamet,7,15 June 2021,"A superbly acted film with the greatest players giving powerful portrayals of the real state sellers . But all of them are in danger of getting the ax from their hard-driving and venomous bosses , acting as head-hunters. As the life-soured , short-fused real state salesmen are threatened of being fired if they don't sell property .A dramatic movie with seven-character studio, shot in stage-style , in fact it was written by successful playwright David Mamet who is occassionally filmmaker too . As David Mamet scripted from his Tony-Award winning Broadway play. Chronicling 48 hours in the lives of some sleazy and unfortunate salesmen who will stop at nothing to get their purports . It shows the extreme competence among various clerks of a real state office and their strong fights to get the sales for obtaining advantages and prizes . Cast is frankly fabulous, outstanding Jack Lemmon as the hustler fallen on dim prospects, Al Pacino as the glad-handing sales leader , Ed Harris , Alan Arkin , Kevin Spacey as a stiff office box , brief performances from Bruce Altman , Jude Ciccolella , and Alec Balwin as the company hatchet-man.It contains an adequate and colourful cinematography by the Spanish Juan Ruiz Anchia who has photographed various James Foley's films . The motion picture was competently directed by James Foley, providing from his standout cast , phenomenal interpretations . He is a good director who has made movies of all kinds of genres with penchant for dramas . As Foley has directed important ajd some successful movies such as : Reckless , At Close Range , After Dark my Sweet , Two Bits , Fear , The Chamber , The Corruptor , Confidence , among others. Rating : 6.5/ 10 . Acceptable and passable movie that will appeal to fans of the extraordinary plethora of actors .",Glengarry Glen Ross
10,moonspinner55,"Blistering, bludgeoning, true-to-life though not at all entertaining...",4,3 April 2008,"Utterly joyless film, scripted by David Mamet from his Pulitzer Prize-winning play, about harried, put-upon real estate agents struggling to satisfy the corporate bosses and keep their jobs, lying to and cheating their clients, their co-workers, and maybe even themselves. Great all-male ensemble does first-rate work (with Alec Baldwin in the newly-written role of the company's Standard Bearer, a demoralizing sales hotshot who sees the workplace as a battlefield); yet, for all their combined brilliance, the material as presented here is difficult to watch. Barbed, ugly, belligerent, it leaves the viewer beaten and bowed. Jack Lemmon's ""Save the Tiger"" only scratched at the surface of these characters' dead-end lives. Director James Foley goes a bit heavy on the rain-drenched pitifulness (his chilly blues and grays become visually monotonous), while Mamet--an intelligent and insightful writer--refuses to let up, giving us no relief from the pummeling deluge of verbal assaults. This is one to admire for its obvious craft and as a showcase for the actors, yet it's not a picture to take to heart. ** from ****",Glengarry Glen Ross
11,Quinoa1984,"One of the best films of 1992, dynamite script and performances",10,22 June 2001,"David Mamet's Glengarry Glen Ross is a scorching motion picture that depicts the working men, here at a real estate office, where each person is desperate to sell, even if sometimes it doesn't happen (I use sometimes lightly here).  Every performance here is what counts to make Mamet's words work (this was once a play, and you can tell from the language alone).  Pacino is really good as the office hot-shot, always selling even at the point of conning, which usually happens in this line of work.  As usual Harris is great and has another role to add to the great list he has.  However it is Lemmon who steals much of the show here as Shelley Levene (It's one of his best performances to date, which is a lot to say considering his career), who is the loser at the office who tries to sell, but is just starting to get a little too old for the job; that plus the added pressure from a fellow employee, played by Kevin Spacey in such a straight role it is actually an evil part.  And then there's Alec Baldwin, who I can see probably gave a lot of inspiration to Ben Affleck's character in the powerful Boiler Room.  His bit part is small but his most significant part to date.  In his crucial speech scene (the one where he says ""1st place is a car, 2nd place is steak knives and 3rd place, your gone), his character paints the picture for the trouble that is being a salesman.  And that is what so dynamic about the movie.  Not just the acting and writing (which are phenomenal, don't get me wrong), but also the feel that comes with the movie.  It is stunning pretty much all of the way, and very credible.  One note though: please don't watch this movie on television, you will see so much dubbing in the film that not only will it destroy the visceral effect the movie has for the viewer, but the lip readers will get confused.  A+",Glengarry Glen Ross
12,LeonLouisRicci,Anti-Capitalist Film...Loved & Admired by Capitalists,8,5 May 2016,"Scatthing, Scarring, and Scary Film that exposes Capitalism and its Destructive Dogma. People are Expendable at the Expense of Greedy Ghouls feeding off the Savings and Hard Work, Gullibility and Weaknesses, of Victims too Uninformed, Polite, or Nice to say ""No"". God Help Them if the Check is Cashed before They change Their Minds.Nothing is Sacred except the Dollar. Human Beings are Stripped of Their Dignity and Their Souls in Pursuit of the Payoff. David Mamet's Screenplay from His Pulitzer Winning Play, uses Words like Weapons destroying the Fabric that holds ""Civilized"" Society together. The Salesman, in this case Real Estate but it could be Anything, is the Modern Alpha Male as Dangerous to Society as any Crime Lord. These Sales ""People"" play within the Law and that makes Them even more Dangerous because They can Hide more Easily.It's Frightening that this Film and its Philosophies, like Ayn Rand, is used by ""Business"" Students and at Seminars to ""Motivate"". Motivate? Inspiration to become like these ""Lost Souls"" and ""Flesh Feeders"".Al Pacino, Jack Lemmon, Ed Harris, Kevin Spacey, Alan Arkin, Jonathan Pryce, and Alec Baldwin ""Lead"" the Great Acting Ensemble with James Foley's unobtrusive Direction. This is Dialog Driven to say the Least, as is all of Mamet's Work and some say that this is His Best. Unnerving, Never Compromising, and Relentlessly Riveting, the Movie is too Painful to be Loved but must be Admired. Trouble is, it is sometimes Loved and Admired by all the Wrong People for all the Wrong Reasons.",Glengarry Glen Ross
13,writers_reign,A Dearth Of Salesmen,9,8 May 2006,"And they say film is a Visual Medium; it's also Aural cause if you listen real hard you'll hear the sound of hollow laughter, nor will you have to listen all that hard to realize that this is one of the most dialogue-driven films in the history of the Medium. Nothing strange there since it is, after all, an adaptation of a stage play and a Pulitzer Prize winner at that and writer and director have done the bare minimum to 'open it out' for the screen, venturing from the salesmen's room in the real estate office only briefly and logically to the Chinese restaurant across the street, the alley behind the office, Ed Harris's car and the home of a potential mark. Over and above everything else this is a film about language, the spoken as opposed to the written word or, more specifically the language as she is spoken in the workplace which means the spectrum running from elation to despair with everything in between. With language of this calibre it'd be a pity to waste it on hacks or journeymen actors so step forward colossi, none more so than Jack Lemmon giving on screen a performance to stand beside his James O'Neill on stage in Long Day's Journey Into Night (in which, incidentally, a then much less well-known Kevin Spacey played his older son Jamie). To the best of my knowledge Lemmon never gave a bad performance in his life, frankly the man was incapable of so doing, but his screen acting career was punctuated with a dazzling array of beacons from Ensign Pulver in Mr Roberts through C.C. Baxter in The Apartment via Some Like It Hot, Days Of Wine And Roses, Save The Tiger et al but all were as nothing compared to his Shelley Levene in this great movie which towers above everything else including Alec Baldwin's tour de force, Al Pacino's ruthless closer Ed Harris and Alan Arkadin's professional losers and Kevin Spacey's nepotic ass-kisser. This is a film that works on any level you like with the possible exception of Western or Musical and is virtually impossible to over praise.",Glengarry Glen Ross
14,grantss,"Great character- and dialogue-driven drama, with excellent performances",8,25 December 2015,"Great character- and dialogue-driven drama. Plot is solid, but it is merely a platform for some great lines and performances. This said, the plot does demonstrate the level of cynicism and lack of ethics in the modern office, especially among salesmen. Think of the most irritating salesperson you've ever met, and multiply the sleaze and connivance factor by 1,000 - you'll meet those characters here. Great performances by an all-star cast: Jack Lemmon, Al Pacino, Ed Harris, Alan Arkin, Kevin Spacey, Alec Baldwin, Jonathan Pryce. Jack Lemmon and Al Pacino are perfect as the snake oil salesmen.On the negative side, it can feel a bit dry at times. The movie's origins as a play are obvious, and it sometimes feels as though you are watching a filmed play, rather than a movie.Overall, a great indictment on the lack of ethics and morality in the modern workplace.",Glengarry Glen Ross
