,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Strange little film,4,20 January 2020,"HOTEL ARTEMIS is a strange little film seemingly unsure of quite what it wants to be. For the most part it plays out like an arthouse drama with a sci-fi backdrop, similar a little to the likes of DELICATESSEN. It turns out that the premise is essentially stolen from JOHN WICK and its system of hotel etiquette, except the lower budget means that the whole film is set in the hotel and its environs. What keeps you watching is a surprisingly good cast, from Jodie Foster (rarely seen on the screens these days) to the ever-winsome Jeff Goldblum and the reliably tough Dave Bautista. Sadly, the sluggish pacing lets it down, although things do build to a solid climax; it's a shame that kind of energy didn't exist earlier on.",Hotel Artemis
1,SnoopyStyle,good potential,6,10 October 2018,"It's 2028 L.A. Waikiki (Sterling K. Brown) leads a robbery gang during a city-wide revolt against privatized water. His brother is shot during the escape and he seeks refuge at Hotel Artemis. It is a secured private hospital for criminal members run by a hard-nosed nurse (Jodie Foster). Everest (Dave Bautista) is her giant muscle. She risks everything by saving policewoman Morgan (Jenny Slate). Other patients include loud-mouth arrogant Acapulco (Charlie Day) and assassin Nice (Sofia Boutella) on a secret mission. Waikiki discovers that his brother had stolen jewels from crime boss Wolf King (Jeff Goldblum) who shows up looking for treatment.I really like the concept but there are issues with the execution. It's a movie of outrageous potential. With a few questionable logistics, my biggest problem is that I don't feel connected with Sterling K. Brown's character. Jodie Foster is doing her hardest. Despite some fun ideas, it doesn't really rise to its possibilities. It's not crazy enough. It's not compelling enough. It is good enough to be watchable.",Hotel Artemis
2,Prismark10,"We are all just prisoners here, of our own device",6,2 September 2018,"It has been five years since Jodie Foster's last film, Elysium. In Hotel Artemis she looks visibly aged. A shock for someone who remembers her as a child actress.Hotel Artemis is an absurd base under siege thriller. It borrows elements from John Wick, the club inhibited by criminals and managed by Ian McShane's character as well as films like Assault on Precinct 13, The Purge and The Raid.Foster plays the nurse in the hotel which is an underground treatment facility for injured criminals as long as they pay their subscriptions. The nurse has been running the place for over 20 years and it is bankrolled by the LA gangster, The Wolf King (Jeff Goldblum.) The Nurse is an alcoholic suffering from agoraphobia who was struck off when her son died. She is assisted by man mountain Everest (Dave Bautista) a registered healthcare professional. The hotel has rigid rules such as no weapons and not to kill other patients being treated.Set 10 years in the future in a dystopian Los Angeles. There are rioters on the street over corporate shenanigans over water. What looks like a busy night, they have two brothers admitted over a failed bank robbery, an assassin, an arms dealer. Against the rules the Nurse admits a cop injured by rioters. The cop was a neighbour and a friend of her son. The Nurse gets news that The Wolf King is on his way seeking treatment and his hot headed son who wants to prove to his dad that he is the real deal.It turns out that this is the night several guests are intent on breaking the hotel's strict rules. One of them has crossed the path of The Wolf King and needs to be out of his way. The Nurse meanwhile learns the truth about her son's actual fate.The film is an outrageous futuristic grungy noir thriller with plenty of dark humour. Most of it comes from Bautista. It is clear that the presence of two time Oscar winner Foster has meant that everyone has raised their acting game, everyone apart from Charlie Day. When a WWE wrestler can out-act you then you really need to take a hard look in the mirror.Goldblum provides some fun with his late presence as the hippy who traded in beads for bullets to become the LA Kingpin but this gangster has a sting in his tail.",Hotel Artemis
3,nogodnomasters,I am health care professional,7,28 August 2018,"The film takes place 6/21/2028 in Los Angeles. There is a clean water riot going on. In the middle of all of this is the Hotel Artemis, owned by the Wolfking (Jeff Goldblum ) who runs the crime syndicate. It is run by Nurse Thomas (Jodi Foster) who enforces the rules of a criminal safe house and hospital reminiscent of ""The Continental"" in ""John Wick."" The hotel has a cast of characters which include Everest (Dave Bautista ) the bouncer; Waikiki (Sterling K. Brown ), a thief, Nice (Sofia Boutella) a paid Assassin....target unknown; and Acapulco (Charlie Day), an arms dealer. People become injured as our nurse repairs them with modern laser equipment and a 3-D printer. The hotel encompasses the ultra-modern and the classic old. Interesting futuristic crime tale. Guide: F-word. No sex or nudity.",Hotel Artemis
4,kosmasp,Vacancy,7,18 October 2018,"Well if you ever need a room at the Hotel Artemis ... you are definitely not well. Pun very much intended. But watching the inhabitants of that establishment, is kind of fun. I might have thought there would be more to the film, it's a bit understating and it is also very low maintenance. But that doesn't have to be a bad thing at all.Bautista may have a better and bigger role in Guardians (or maybe it's had, the future will show what will happen there), so it may also feel underwhelming what he is allowed to play with here. Even on Blade Runner 2049, where he had less screen time he seems to have had more impact. But different movies, different roles and all that. This is an ensemle thriller and it achieves what it sets out to do. Cool characters and good action/stunt sequences",Hotel Artemis
5,lee_eisenberg,California nightmarin',7,1 September 2019,"In the last few years, Jodie Foster has been choosy about her roles. Far from accepting anything for a buck, she carefully picks the high-quality roles, while occasionally directing movies. An example of her high-quality roles is Drew Pearce's ""Hotel Artemis"".The movie depicts LA in 2028. A private company limits the city's water supply, and people are rioting everywhere. Following a robbery, a group of criminals hides out in a hospital run by an unassuming but sharp-witted nurse (Foster) who treats only criminals. However, there are several other hoodlums in this building, and not all these folks have the same goals, meaning that things are bound to come to a head.The movie isn't any sort of masterpiece, but the snappy, in-your-face dialogue drives the whole thing. It keeps tensing up every step of the way. As it was, the movie seemed a bit like a cross between those of Guillermo del Toro and Wes Anderson. It won't be for everyone, but I liked every bit of it. I recommend it.",Hotel Artemis
6,CinemaSerf,Hotel Amnesia...,6,6 August 2020,"On the face of it, this had something of an interesting plot going for it. In a riot-torn Los Angeles, a gang of criminals try to rob a bank, but when they discover the vault too tough for them, they rob the customers instead - including one of a strange looking pen. On leaving their heist, three of them are shot, one killed, by waiting police officers so they seek refuge in the eponymous hotel, run by ""The Nurse"" (Jodie Foster) who only provides her clinical services to those of the criminal fraternity who are paid up members. The arrival in the facility of the badly injured ""Wolf King"" only adds to her woes as her new patients cause a world of new pain, the mysterious pen turns out to be something rather unexpected and the police are closing in. Sadly, the narrative is all over the place, too many sub-plots; grudges and far too little by way of focus from Drew Pearce lets this ramble about all over the shop. Zach Quinto; Jeff Goldblum - who overacts as usual, and a really pretty poor performance from Sofia Boutella as ""Nice"" don't really help much either as we bumble along to a really predicable ending that arrived not a moment too soon!",Hotel Artemis
7,oscaralbert,"""John Buzzard's"" Big Crush reveals her vision of the Tru . . .",6,12 June 2018,". . . Pocalypse during HOTEL ARTEMIS, and it's not a pretty sight. Taking place in 2028, when Mr. T. has followed in mentor Putin's footsteps by declaring himself ""President for Life,' dissolving the Duma or Congress or whatever the ineffectual Capitol Hill Gang was called, and imposing Martial Law in a vain attempt to forestall the rampant looting and rioting taking place in all major U.S. Urban Centers (including Los Angeles, where HOTEL ARTEMIS is set), police shoot-to-kill first, and the only question after is whether to chow down on donuts or Ding Dongs. The make-up department for HOTEL ARTEMIS has done a bang-up job of dolling up the entire cast to look like they have one (or even two!) feet in the grave, to match the natural appearance of Nurse Rancid. However, since you cannot make a silk purse from a trump ear, there's really no character in this flick for which you'd give a tenth of a DEADPOOL. Even the JURASSIC PARK guy looks like he's been digested by a HUMAN FLY. While the chick who straddles him for a happy ending seems halfway presentable, and because the plot says that she's being paid Big Bucks to perform her tricks on video as Kleenex material, perhaps HOTEL ARTEMIS could have salvaged a rating of ""Seven"" IF she'd been appropriately undressed for this potentially moving scene. But no such luck.",Hotel Artemis
8,neil-476,A bit of an odd one,7,27 July 2018,"In the near future, while riots are ravaging Los Angeles, the Nurse runs Hotel Artemis, a hotel/hospital for subscribers to lay low and be treated after suffering injuries in the commission of crimes. Her current clientele includes an odious loudmouths, a pair of brothers, a mysterious female French assassin, with a couple of problematic cases coming in, one of whom is the crime boss who funded the hotel. Also, the Nurse has some hang-ups, one of which is agoraphobia - she hasn't left the place in years.This is a most peculiar film. It's a suspense thriller - there are several suspense threads running through it. It's an action movie in places - Sofia Boutella as the French assassin has a terrific (and balletic) sequence in the latter stages. It's also a character piece - Jodie Foster, interestingly old-looking - has some fun with the Nurse's issues. It's sometimes amusing - Dave Bautista as the Nurse's go-to general factotum makes sure that it isn't just a case of type-casting. And the slightly futuristic setting is interesting.But, while I was engaged throughout, there was something about all these elements which didn't really hang together for me. We've seen a similar scenario in John Wick, but it was background there. Here, it is the whle movie. And despite the multitude of bits, I'm not sure they fitted together particularly well.",Hotel Artemis
9,ferguson-6,"more Jodie, please",6,8 June 2018,"Greetings again from the darkness. The feature film directorial debut of Drew Pearce is original and clever, while teasing with hope for a bit more than it delivers. Mr. Pearce is best known for writing the screenplay for IRON MAN 3, and now as a first time director, he shows enough promise to leave us interested in what comes next. The film is set in dystopian Los Angeles a mere 10 years in the future. The streets are flooded with desperate rioters after a mega-corporation shuts off the clean water supply. The company is the film's real villain, and the only one that The Nurse (Jodie Foster) can't treat. See, she runs Hotel Artemis, an underground hospital for top tier criminals - the element that can't just pop into the local community clinic for treatment on the latest bullet hole or knife wound. These patients follow a subscription plan and must stay current on their dues to gain admission. The Nurse forgoes any attempt at personal vanity and is instead an agoraphobic, booze-chugging, (mostly) stick-to-the-rules type, who pops in anti-anxiety tapes and ear buds whenever her pulse quickens. She has run the place since it opened 22 years prior and is assisted by a mountain of man named Everest (get it?) played well by Dave Bautista. He's a combination bodyguard, bouncer, handyman and assistant healthcare professional (check his badge).The set design by Ramsey Avery deserves special mention as the Hotel Artemis is quietly housed in the shell of a former grand art deco hotel, now a victim to the city's carnage - though the neon sign remains illuminated. Its vacation spot-themed rooms are a sight to behold, despite the frustratingly low lighting. Occupants are incognito and use their room names as identifiers. Sterling K Brown is Waikiki, a philosophical bank robber who dragged his brother Honolulu (Brian Tyree Henry) here for treatment after a heist went wrong. Acapulco (the always energetic Charlie Day) is a crass, motor-mouthed arms dealer, while Nice (Sofia Boutella, THE MUMMY) is a freakishly skilled assassin.The stress level picks up when the biggest crime lord of Los Angeles shows up seriously wounded. Known as The Wolf King, an admittedly bad choice for a nickname, Jeff Goldblum brings some smooth-talking toughness, humor and twisted class to the proceedings. More than a few tentacles are attached to The Wolf King and other folks we've previously met, not the least of which is a very special ink pen stolen by Honolulu. Mix in an injured cop (Jenny Slate) with a personal link to The Nurse and her constantly alluded to tragic backstory, and the movie puts off a Graphic novel vibe ... missing only the off-the-cuff insanity. It's just a bit too grounded for its own good.The high tech/low rent feel forces us to recall BLADE RUNNER AND ESCAPE FROM NEW YORK, but of course, this film isn't at the level of either, as it lacks top tier suspense. It is a terrific reminder of what a talented actress two-time Oscar winner Jodie Foster is, and what a shame that we haven't seen her in such a substantial screen role since 2013's ELYSIUM. She really sinks her teeth into this odd character, and more than the action scenes, she keeps us interested the entire run time. The score is a bit too heavy on the droning electronic bass line, and while the Florida joke and nod to John Phillips (The Wolf King, ""California Dreamin'"") earns some bonus points, it's really the performance of Ms. Foster and the set design that saves a too-safe script.",Hotel Artemis
