,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Very well made psycho-thriller,7,3 July 2014,"THE GOOD SON is one of many psycho-thrillers that were made in the early 1990s in the wake of the success of the likes of FATAL ATTACTION, BASIC INSTINCT and THE HAND THAT ROCKS THE CRADLE. Most of these could be easily categorised by the type of person who was the villain, i.e. 'bad cop' (UNLAWFUL ENTRY), 'bad neighbour' (PACIFIC HEIGHTS), 'bad husband' (SLEEPING WITH THE ENEMY). THE GOOD SON is, as you'd guess from the title, about a bad kid.Said kid is Macauley Culkin, a wonderful piece of casting against type by the producers. So long we've had to put up with Culkin in his sickly-sweet roles but here he portrays somebody very different indeed and, inevitably, this turns out to be the best performance of his career. Culkin is excellent, truly portraying a character beyond his years, and he helps to make the movie.It helps that everything else is right, too. The script focuses on realism throughout, and there's plenty of characterisation to make the viewer feel truly grounded in the experience. Aside from the ending, things don't get over the top with the style or direction. There are a handful of set-pieces which really work (like the bit with the bridge), and some incredible stunt work that left me breathless, like the whole bit with the tree house. As somebody with a fear of heights, such moments turned my legs to jelly.Elijah Wood made a point of appearing in plenty of twee kid's films during the 1990s (FREE WILLY anyone?) but this is one of his most interesting movies from that decade. David Morse is typically good as Wood's father. The script stays grounded throughout, the psychological insight is as interesting as the thriller aspects of the story, and it all finishes in a satisfying way that goes against Hollywood convention. Good stuff.",The Good Son
1,SnoopyStyle,Needs to be a straight up horror movie,5,24 May 2014,"Following his mother's death, Mark Evans (Elijah Wood) is sent to Maine to stay with his uncle (Daniel Hugh Kelly) and aunt (Wendy Crewson) by his father (David Morse). He becomes fast friends with cousin Henry (Macaulay Culkin). However, Henry shows signs of manipulative violence and all the classic bad boy behavior. He is obsessed with death and may have killed his little brother.This was big news to see young Macaulay Culkin play a bad guy. He shows that he has great range as a child actor. I just think that the movie works better as a straight up horror. Director Joseph Ruben who just filmed 'Sleeping with the Enemy' is using a similar style. This has a little too much of that movie-of-the-week feel. There is a good creepiness about this but that's all Ruben achieves. Every adult is an idiot and the movie strains under that construction. Why doesn't Mark call his father again? Why doesn't the father call the psychiatrist? The movie bends over backwards to come up with that ending. I don't have a problem with evil kids in horror. It's a try and true subject, but this is not a good example.",The Good Son
2,kosmasp,"New home, new addition and certainly not alone",7,25 February 2021,"Culkin allegedly was forced upon this movie, as I read after watching the movie. This had quite the repercussions (director and other-wise). That aside, this is the movie of Elijah Wood. He really is good (no pun intended), which once again cannot be said about Culkins character. Not sure what you think of his Home Alone movies (he was in the first two), but this really is very obvious ... just not to the adults.And when I say obvious, you can see where this is heading, so quite predictable. Still the performances overall (even that of Culkin, whatever you may think of his pale delivery) really elevate the whole movie to another level. And that ending ... I have to admit, that took quite the ... well I didn't expect it to go down like that, let me put it that way - pun intended. Evil can lurk anywhere, this certainly isn't made for the easily offended amongst us ...",The Good Son
3,classicsoncall,"""Hey, accidents will happen.""",7,7 August 2019,"Macaulay Culkin was merely a mischievous, eight year old troublemaker in 1990's ""Home Alone"", but here he pulls out all the stops and goes for the gusto as a nearly possessed evil little monster who believes taking out members of his own family is the ticket to a happier life. Quite honestly, Henry Evans (Culkin) seemed way too introspective beyond his years regarding human psychology. Having come to the conclusion that ""...once you realize you can do anything, you're free"" is not something a normal eleven year old would come up with. Then again, one could say he wasn't your average, normal eleven year old. Once the story gets really moving along, Henry does a serious gaslight job on his cousin Mark (Elijah Wood), so that everyone involved becomes sincerely worried about his mental status. That's curious by the way, that everyone in the story, including the boys themselves, refer to each other as friends instead of cousins. It's curious too, that when the camera shows you a long view of the Evans home in Maine that there aren't any nearby cliffs within walking distance to set up that questionable finale.",The Good Son
4,moonspinner55,"Foolish, jaw-droppingly irresponsible variation on ""The Bad Seed""",4,24 October 2005,"Slickly-made but overwrought, brainless thriller has young Elijah Wood mourning the death of his mother, going to stay with relatives and falling victim to cousin Macaulay Culkin's twisted pranks. After suffering first-hand through a (suspicious) death in the family, Culkin's parents don't even think twice about leaving the kids home alone, nor do they seem cognizant of their child's dark side (is he that good an actor?). Culkin does well with a showy role, although his version of evil is to talk slowly in a quiet monotone; Wood is dignified and pretty believable, which is really saying something for a movie as outlandish as this. *1/2 from ****",The Good Son
5,edwagreen,A Bad Seed 2: Evil is Evil ** for The Good Son,4,3 June 2010,"Following the death of his mother, a young lad (Elijah Wood) goes to stay with his uncle, aunt and cousins while dad has to go on an important business trip.How coincidental that the Wood comes upon a situation where a very sinister Macaulay Culkin is creating mayhem, but acts as the good boy so that no one believes him.This picture is nothing more than a rip-off of ""The Bad Seed"" of 1956. Culkin is absolutely insane as he does things such as shooting a dog, nearly throwing mom over the cliff, drowning his younger brother and nearly killing his younger sister. It's just a little too much to take.The ending is where Culkin's mom had to make a ""Sophie's Choice"" like decision at the base of the cliff. You know what she will decide after Macaulay nearly threw her over the cliff.One interesting feature is how Culkin was even able to fool the psychiatrist talking to him and the Wood character. Just shows you that ""shrinks"" can be wrong as well.",The Good Son
6,BandSAboutMovies,The Bad Son Good Seed,5,16 December 2019,"Ever see Atonement? The same screenwriter, Ian McEwan, also wrote this movie, which is all about exactly how we always figured Kevin McCallister was going to turn out. It's directed by Joseph Ruben, who also was the director of Breaking Away, Dreamscape, The Stepfather and Sleeping with the Enemy.It probably wouldn't have happened without Kit Culkin, the father of Macaulay, who was a big man in Hollywood thanks to the popularity of his son. He wanted to prove that his boy could be more than a comedy star, so in order to greenlight Home Alone 2: Lost in New York, Macaulay had to star in this movie first.Mark Evans (Elijah Wood) may not have even hit puberty yet, but he's already had to deal with the death of his mother and the fact that he has to stay with his uncle Wallace and aunt Susan, as well as their children Connie (Quinn Culkin, whose role in this movie was contractually obligated) and Henry (yep, Macaulay). The latter child is, of course, nuts and obsessed with the death of Mark's mom and his own little brother Richard (Rory Culkin and you have to say it for those Culkin's, they know how to get work for the whole family tree).Of course, Henry's little bits of crazy soon manifest themselves in killing small animals, causing huge pile-ups on the highway and shoving his little sister under the ice. The movie asks all manner of psychological questions about the love of a mother versus doing the right thing and whether or not any of us are prepared to kill a child.The tone of this movie is all over the place. You're used to Macaulay being funny and dangerous to the right people, so when he does the same thing to the wrong people, you kind of want to keep on his side. Perhaps if the film's original director, Michael Lehmann of Heathers and Meet the Applegates, had stayed on and hadn't battled with Macaulay's dad, things would have been different.This is the only film in which Culkin plays a villain, but not the only one where he dies. The first would be My Girl, which ruined many a pre-teen video rental. And while this movie is a 1990's spin on The Bad Seed, it is nowhere as good. Did you expect any different?",The Good Son
7,jotix100,Bad boy,6,22 June 2006,"Henry, the angelic looking boy, lives with his parents in a beautiful suburban East coast home. His cousin Mark, from Arizona, who has just lost his mother, is invited to come and spend some time with his uncle's Wallace family. What Mark doesn't know is he is leaving one difficult situation back home, but he is not coming to a happy environment. Henry's little brother has died drowned in his bathtub, and Susan, his mother is still grieving his death.When a series of little accidents begin to happen, Mark is blamed for them. After all, Henry, who looks as though he can't do any harm, will never be thought as the culprit. It's Susan, the mother, who discovers the truth after going to Henry's shed where he keeps most of his secrets.Although the film is predictable, director Joseph Ruben has given it a look that keeps the viewer interested in what's happening. The screen play is by Ian McEwan, an excellent writer.Macauley Culkin was at the height of his early film career and he makes a great Henry Evans. Elijah Wood is seen as Mark, the visiting cousin who is horrified by what he finds in his new home. Wendy Crewson plays Susan, the grieving mother. David Morse, a wonderful actor, doesn't have much to do as Mark's father.Watch the film without any expectations and it will reward you.",The Good Son
8,Hey_Sweden,"""If I let you go, do you think you could fly?""",6,17 February 2020,"Young Mark (Elijah Wood) is reeling from the recent death of his beloved mother (Ashley Crow), and although he doesn't want to do it, his dad Jack (David Morse) leaves him in the care of relatives. Marks' uncle Wallace (Daniel Hugh Kelly) and aunt Susan (Wendy Crewson) are good people, but unfortunately they've sired a monster, Marks' sociopathic cousin Henry (Macaulay Culkin). Henry spends most of the movie convincing every adult in sight that he's this perfect little angel, while in reality he's a cold-blooded creep who does nasty things for fun. As a viewer can see, Henry IS a master manipulator.This has been referred to by wits over the years as ""Kit Culkins' The Good Son"", due to the fact that Macs' father was a truly vile ""stage parent"" who demanded that his son headline this feature, otherwise no Mac in ""Home Alone 2"". While one would feel sympathy for Mac, having to live with a father like that, the fact remains that Mac is too bland as this 1990s male update of ""The Bad Seed"", failing to project any real menace. Wood is far and away the better actor, and is more appealing, to boot. The adults are fine - if playing characters who expectedly remain clueless until near the end. Macs' sister Quinn plays his sibling (in her only film role); his younger brother Rory (who's had his own decent acting career) can be seen in a key photograph. Crewson has the most interesting moment to work with in the film, as she must make a choice at the finale.The film is capably guided by Joseph Ruben, who replaced the original director after that person left the project. Ruben of course had experience with a familial-themed thriller, the memorable 1980s sleeper ""The Stepfather"". He just doesn't have a star as commanding as Terry O'Quinn here.All in all, this isn't a total waste of time. It moves QUICK, cutting right to the meat & potatoes of Ian McEwans' script, and runs a mere 87 minutes. It also has a lovely Elmer Bernstein score and excellent photography (John Lindley was the D.P., Peter Norman the camera operator). If you think you might enjoy this, don't be put off by the R rating, which seems to have been earned for one simple F-bomb uttered by Mac; violence and gore are minimal. It's filmed at breathtaking locations that are mostly in Massachusetts.A classic case of ""could have been better, could have been worse"".Six out of 10.",The Good Son
9,Doylenf,Stunning New England photography and smashing climax...,6,27 September 2006,"The biggest flaw in THE GOOD SON is that the title role is played by MACAULAY CAULKIN who is seriously miscast. He plays most of his role in an expressionless manner that is supposed to give the audience the subtle impression that he is a cold-blooded killer.This may have served adult actors like ALAN LADD well when they handled grim material with those expressionless steely-eyed glances and tight lips, but Caulkin merely looks like an angelic child going through the paces of pretending to mean every word of his dialog. He never changes that sweet choir boy look, even when he is about to pounce like a predator. It undermines any dramatic tension the scene should have.On the other hand, some genuine acting is offered by eleven year-old ELIJAH WOOD, as the visiting cousin who gradually comes to see that his cousin is not the good son he's pretending to be. The biggest rift comes when he unwittingly joins in the fun of carrying a dummy to a bridge overpass which Macaulay then dumps onto the highway below, causing a pile-up of crashing cars on the speeding lanes.After this, the theme darkens as the boy becomes aware that deep seated jealousy is causing his cousin to destroy some of the people close to him. The next victim is Macaulay's younger sister, playfully tossed onto the danger zone of an ice-skating pond, falling and getting no help from him until rescuers cut through the ice.The final section of the film concerns the mother's awareness that something is definitely wrong when she enters the boy's playhouse and finds evidence that he was hiding from her with relation to another ""accidental drowning"".But the film's big set piece is the cliffhanger of a climax, photographed with great dexterity from helicopters giving aerial shots of the steep cliff and the drop below. It's a stunning and fitting climax to a film that is paced a little too slowly despite its brief running time and must have required some skillful stunt work.This doesn't have the sting of other stories about child psychopaths, notably THE BAD SEED, partly because MACAULAY CAULKIN lacks the dramatic skill to really inhabit his role. He was better, of course, in lighter material such as HOME ALONE, but here he is out of his depth in a role that would have been more chilling in the hands of a better qualified and more serious young actor.",The Good Son
