,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,I am amazed at all the positive reviews this film has received.,1,27 October 2009,"Well, that's two hours of my life I'll never get back. Because I have seen and reviewed so many films, I felt like sooner or later I had to get to EL TOPO. It's one of those legendary films that cinephiles have talked about for years, so I reluctantly rented it. Sadly, I could have watched a Pauly Shore or Jonas Brothers movie instead--that's how much I hated EL TOPO.Where do I begin? With most movies I dislike, I try to look at what, specifically, I didn't like as well as try to find some positives. However, with EL TOPO, I hated everything about the film and the only positives are that it wasn't one minute longer and the film's creator has been unable to do a sequel due to difficulty with financing (ain't that a big surprise). Although the midnight movie crowd has adored this film, it is simply nihilistic and nasty. It's full of blasphemous imagery, nudity, buckets of blood, killing of the handicapped for kicks, countless animals brutally slaughtered for the film and the unrelentingly depressing and nonsensical nature of the film--and these elements (plus many more) put together make this a terrible and rather evil film. I am sure that Jodorowsky wanted to offend and provoke the audience, but with so much provocation coming non-stop, it all just got very, very boring after a short time. Imagine if now, in the more permissive 21st century, if the followup film were made. What could Jodorowsky do to top EL TOPO---personally come to the theater and kill patrons or have sex with animals?! I mean, how can you top EL TOPO for depravity?! I think had this film been made in a different time, it would have totally bombed. But, in 1970, the New Age guru-inspired plot elements, the widespread use of hallucinogens and a desire for something different converged to make this film work for a small fringe element. Otherwise, I can't see any normal person bothering with such a self-indulgent ""film"".Avoid this like the plague unless you think seeing rotting, eviscerated animals is art! I mean, think about it--donkeys and horses were killed and gutted (with the entrails hanging out) and dozens of bunnies and assorted other creatures were also killed for our entertainment! And, while you are at it, there were simulated rapes, killing of the handicapped and the sodomizing priests!!! Isn't there sometimes SOMETHING that the film community might consider wrong?! Nah,...I guess not.",El Topo
1,Leofwine_draca,Style over substance,5,2 September 2013,"Yeah, I didn't think much of this surrealist western, even though I was prepared to like it and WANTED to like it was I watched. By the end I couldn't help but feel it's another case of ""the emperor's new clothes"" in terms of style over substance, and the sum of the whole ending up much less than the individual parts.The story starts out straightforward enough, with a distinctive gunslinger discovering the aftermath of a massacre and vowing to take revenge on the outlaws responsible. Once that story is out of the way, though, it starts getting weirder and weirder, almost existentialist, as the gunslinger has encounters with a series of deity-like characters in the desert and undergoes a religiously significant transformation. By the end, I was quite frankly bored.Here's the good stuff: Jodorowsky's cinematography, which is glorious. EL TOPO is vibrant-looking and colourful throughout, and I love the use of surreal imagery which really works. There are poignant scenes and flashes of Peckinpah-style ultra-violence and the contrasting elements are mixed together well. It's just the script, really, which lets it down, becoming too abstract; I always prefer a more concrete narrative as a basis on which to pin the more fantastic elements, but EL TOPO is lacking such a construct and at times just seems to be being made up as it goes along.",El Topo
2,kosmasp,It's all about the animals,6,23 April 2021,"I know that explaining why you rate something may be overrated, but I'm giving it a shot for those interested and not just liking or disliking that I gave this a 6. As I already hinted at in the summary line, it is about the animals in here in general and the bunnies in particular! The fact that actual animals died in the making of this. Now that is one thing ... but the fact that they died because of the heat they were exposed to ... Jodorowsky himself says he wouldn't be doing this nowadays and thought back then that the sacrifice was something natural/necessary. Now as a big friend of animals but even more so of bunnies I am almost baffled by myself not giving this an even lower vote, but I did try to take into account that he saw the error of his way and the rest of the movie.And now we can dive into that: a movie that seems to be divided into smaller parts. Which also is sort of true, because apparently Jodorowsky would not have gotten away with the things he depicts here, if he had claimed and told authorities back then what he was up to. Short movies on the other hand could be made at any point. Jodorowsky also plays the main role, which you may or may not appreciate. I'd say about 3/4 of the movie work very well ... and then you get an end part that seems completely detached from the rest.Then again this is Jodorowsky, so while the shooting short movies may be one ""excuse"", the other explanation would just be he did his own thing and tried things out ... anything spiritual that came to mind - his mind that is. Although as a viewer you are encouraged to think a lot ... you have to connect the dots ... and/or listen to his interviews/audio commentaries to find out what he actually meant to tell us there. Some symbolism is quite easy to decrypt ... other things not so much. Even some of his fans have a different view on what it means than the main man himself - which in now way is or has to be something bad.The movie is quite infamous for being his most bloody one yet - and it is true, if you are easily offended ... it is probably better if you do not watch this at all. Then there is also nudity and a lot of weird characters doing weird things ... symbolically speaking and all that. Let's just say you have to be in the right frame of mind. And seeing a kid being naked ... now the kid himself (interviewed for the disc/company I bought) was not scarred or at least seem to have grown up more than ok. That doesn't mean that some people won't have issues with that though ... kind of like me being really mad about the bunnies ...",El Topo
3,gavin6942,Bizarre Masterpiece,8,25 August 2015,"A mysterious black-clad gunfighter (Alejandro Jodorowsky) wanders a mystical Western landscape encountering multiple bizarre characters.Phil Hardy wrote, ""Rather in the manner of Federico Fellini, whose self-conscious conflation of the roles of charlatan and ringmaster of the unconscious Jodorowsky apes, the film is a breathtaking concoction of often striking, but more often ludicrous, images. The result is a movie that, though it impressed many at the time of its original release, in retrospect is clearly a minor, albeit often very funny work."" Hardy is among good company. The critics largely thought it was an empty film, and it was rejected by the Academy to even be considered as a nominee for Foreign Film.Roger Ebert is more positive, including it as one of his Great Movies. And he is right. Alongside ""Holy Mountain"", Jodorowsky creates a world that must be seen to be believed. Maybe it can not all be understood and maybe it is not meant to be understood, but he was making beautiful and strange films years before the modern masters (e.g. Lynch) even got started.",El Topo
4,lee_eisenberg,underground Mexico,10,29 December 2012,"""El Topo"" is one movie that will probably not leave people neutral. Alejandro Jodorowsky's underground masterpiece about a gunfighter on a quest for enlightenment almost seems like a joke given the over-the-top violence, but is one of the most impressive pieces of work. I figure that the movie very likely irritated the religious authorities due to one scene in particular. But the movie is truly something that you have to see to believe. It's sort of half-western, half-mysticism, with the main character's journey mirroring the efforts of a mole to find the light. It's easily the sort of movie that Quentin Tarantino could've directed. Overall, one might call ""El Topo"" the supreme rejection of the John Wayne type of westerns. If in fact Jodorowsky ever gets around to making a sequel, I'll be eager to see how he continues the story. Really good movie.",El Topo
5,jboothmillard,El Topo (The Mole),5,8 September 2011,"This Spanish language film I spotted because it was featured in the book 1001 Movies You Must See Before You Die, I wasn't sure what I would make of it before I watched, but I am glad I did. Basically El Topo (Alejandro Jodorowsky, also writing and directing) is the cowboy riding his horse with his naked six year old son riding with him, and they are burying childhood photos and objects in the desert sand to make the boy a man. Journeying back they come across a massacre of blood and bodies, all killed by bandits, and deciding he is something of a God he decides he should get revenge for these people, including killing the fat bald Colonel. After leaving his son in the care of some monks, El Topo rides off with Mara (Mara Lorenzio) whom the Colonel kept as a slave, and she encourages him to kill four guns-men to be the greatest in the land, but he ends up feeling guilty afterwards. After being shot by another woman and Mara abandoning him he is dragged away by some dwarfs and mutants, and years later he is in a cave full of deformed outcasts who have made him their God. They only have one way out of the cave, and El Topo decides to help them escape, and he also forms a lover relationship with a dwarf girl, and then he wants money for dynamite. El Topo's grown up son finds him and threatens to kill him for abandoning him, but after he allows the outcasts to get out, and he succeeds in creating an exit that all the people flood out of. In the end he does gets some mortal wounds from the cultists, but he ignores these and sees his girlfriend give birth, only to die and go into a grave covered in a beehive, and El Topo's son, the girlfriend and the baby ride away. I will be honest, the story is rather complicated and anyone including may get confused and not understand, most of it is a collection of bizarre images, ideas and situations. This is called the cult film fan's cult film, I can certainly see that it won't be to everyone's taste, but it is certainly in many ways near essential viewings, if you are one for films with a lot of blood and weirdness, then this is for you, a good surreal spaghetti western. Worth watching!",El Topo
6,Quinoa1984,"hey, why not?",8,26 June 2006,"I think that was what I said to myself while I watched a bootleg of this underground cult-classic by the un-prolific but undeniably original surrealist Alejandro Jodorowsky. Because, frankly, even with all of the supposed symbolism injected into the film (some that sticks, some that really doesn't), shouldn't really detract from what makes the film work- or not for some. Basically, if you're going into this movie expecting another quasi-genre bending genre western via Sergio Leone, look elsewhere. El Topo is like one uncompromising fever dream that Leone might have had if he had taken a nice bite of peyote. Jodorowsky as writer, director, producer, has this attitude of 'why not' in his unique form of gonzo cinema, where it's more about taking in individual scenes, images, sights, like a manic freak-show with lots of harsh violence (for its time at least). And it did work for me, at least as long as I didn't take it TOO seriously.To describe the 'story' of the film might be close to moot, but I'll just give a two-sentence sum-up. Jodorowsky plays El Topo, a lone, odd gunman who stops a group of wildly deranged bandits (a sign of things to come, making Leone's bandits look like playground kids), lets his naked son off with a group of monks, and sets off to defeat the four best gunmen in the world. After waking up years later after being shot by his former female co-patriots, he tries to help a group of invalid incestuous types make their way to the zealous, un-hinged town above, where his son is full-grown and the sanest in town. OK, if that may give an idea as to what the film is about, keep in mind that this was made in 1969/1970, at a time when a director like Jodorowsky was not only accepted but needed by movie fans who were looking for films that shook the culture. In that sense El Topo is close to being as important as Easy Rider. But to say it's as exceptional is really about as subjective as you can get.Going into the film, all I really had to go on what to expect came from a documentary on midnight movies (where El Topo found its first audience as the first of its kind), and the clips shown and Jodorowsky's own words on it had me excited to see it- though not with the highest of expectations. Watching the film, and after reading several reviews, it's hard still for me to take the film 100% seriously, at least of it being a highly symbolic, poetic work of an art film. If anything, my perception of the film is that it is so ridiculous at times, so strange, and even so deliberate, that a director like Jodorowsky had to recognize the ridiculousness at times. That he also has a definite affinity for the outcasts and 'freaks' of life adds to the enjoyment, that he makes no bones about identifying with these those who are unusual (which make up the bulk of the picture). But it's success for its cult audience has to be due as much to its wild, hilarious appeal as for its art-film, if not more so. In a way, it's too much fun to be a dull, pretentious work- the filmmaker seems to be too talented to really force feed all of this to some amorphous blob of an audience.So, is it a little dated, sure; does it have an entire midsection where certain scenes involving El Topo and his female tag-alongs that jump ahead and misses any conventional logic, of course; does it skate along the edge of being almost a very bad movie, absolutely. But as a fan of westerns, and surrealism, the two do merge well enough for the film El Topo, especially for the fact that it accomplishes what each do- it gives action and daring-do like the westerns, and it provides a level of humor and no-holds-barred outrageousness that marks the tops of surrealist works. If the look on your face at the end is that of a slight jaw-drop and raised eye-brow, however, it's a feeling that's shared by others I'm sure, at least by me.",El Topo
7,Coventry,The Weird Weird West,8,5 November 2006,"So far I had only seen Jodorowsky's ""Santa Sangre"", but that one happens to be my all-time favorite film! One thing's for sure with this director whenever you check out one of his films for the first time: you should expect the unexpected and prepare yourself for not believing what your own eyes are observing most of the time. Just in case you really have to label ""El Topo"" with a genre, it would presumably be Western, but that still doesn't give you any idea of the film's content whatsoever. Within the first ten minutes alone, things occur that are already too weird to mention (like grown men shooting at women's shoes and bandits dancing and caressing monks!!) and these sequences aren't relevant to the actual plot yet! Well, I'd love to summarize the main story lines, but the truth is that I didn't understand one iota of it all. The pivot character El Topo, portrayed by the director himself, rides through the desert with a 7-year-old naked kid in tow. He exchanges the kid for a beautiful woman after defeating a gang of thugs and goes on a quest to visit four ""masters"" of the desert. Subsequently, he joins a community of mountain people and fervently helps them coming out of their dark habitat and into the open world. Yes, it's a very vague description, but that's because I didn't know what was going on anyway. Most likely, you won't either and that's not an insult to your personal intellect! It's just a messed up movie that you mainly just need to watch for its visual brilliance, symbolism and extremely stylish choreography. Every single character that walks through the screen is a demented & complex individual, and the protagonist is the absolute biggest weirdo of them all. He actually claims to be God himself  and really believes it, too  and does the most unpredictable things imaginable. Admittedly, this film isn't suitable for entertainment purposes. It's an intense and demanding experience that you should approach with an open state of mind and loads of patience. Purely elite cinema that can't be compared to anything else ever made.",El Topo
8,lastliberal,Not your daddy's western,7,20 April 2008,"I watched a couple of westerns this week and neither are what you would call typical. This one certainly isn't like anything I saw on Saturday mornings growing up.Alejandro Jodorowsky is definitely a surrealist, and incorporates many different religious themes in this film. Basically, it is about a man searching for spirituality. He encounters all these different religious ideas. Now, that is just my interpretation, as the basic idea of Jodorowsky, who wrote directed and starred in the film, is that everyone gets their own meaning from it. (He also designed the costumes and sets and composed music for the film.)He will not reveal his thinking on the film.Don't look for any ""stars"" as most of the people in the film only appeared in this one film. It was shot in Mexico and the cinematography by Rafael Corkidi is brilliant.It is not a film in the traditional sense, but something to be experienced.",El Topo
9,Boba_Fett1138,Some movies can't be described in words.,8,7 December 2007,"Some movies are just impossible to describe and are something you really need to experience for yourself. ""El Topo"" is perhaps one of the weirdest, most surrealistic but also most beautiful movie experiences you'll ever experience.The movie began extremely well and amusing and I liked were the movie was heading to. It was amusing and unusual. I must admit the movie sort of went downhill for me after that, when the movies just got weirder and weirder and less and less things made sense any more. But nevertheless the whole experience and journey of the movie makes this a more than worthwhile one. A real cult western!It's violent, it's graphic, it has nudity but all set in a surrealistic world, with surrealistic characters and events, so you just know that it's all going to be something special and unusual, rather than just something that tries to shock and also without ever getting over pretentious.It's a beautifully shot and directed movie. Director Alejandro Jodorowsky did not only directed this, he also played the lead role, wrote, composed, was the production designer and costume designer of the movie. So this movie is completely his work and vision. It's not hard to see why he has such a big and impressive following.It's hard to describe or say what the movie is about or what Alejandro Jodorowsky tries to achieve with it. It's more a viewing experience that everyone undergoes differently and different conclusion and meanings from it can be drawn by everyone individually. I think this was also Jodorowsky's point.A true one of a kind movie experience you have to see and undergo for yourself.8/10http://bobafett1138.blogspot.com/",El Topo
