,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,"A refreshing entry in the franchise, much underrated",7,3 November 2016,"Here's something surprising: I liked ROCKY V. I actually enjoyed it far more than the last sequel, that was nothing more than a retread of ROCKY III, substituting Dolph Lundgren for Mr T and achieving little else in the short running time. ROCKY V boasts a cracking story from Stallone that takes the saga in new directions, carefully avoiding the clichés and as a result breathing fresh life into what was becoming a tired series. To that end, director John G. Avildsen returns to the franchise for the first time since the original, and the film feels very close to that one in nature: there's a return to the gritty, on-the-street vibe that was missing before, and it's good to have it back.Rocky's character has progressed since the last film. He's now a near-disabled man, disturbed by brain damage and past his prime. His relationship with his son (played by Stallone's real-life boy Sage) takes up much of the film, and it's an interesting one that's played to the hilt. Talia Shire and Burt Young don't have much to do again, but kudos for the return of Burgess Meredith for some genuinely moving and poignant flashbacks that brought a tear to this viewer's eye.Some have cast doubt on the acting ability of newcomer boxer Tommy Morrison, but I found his acting suited the role perfectly: he's supposed to be a meathead, a jock, not some thespian. I enjoyed watching the storyline play out, the inevitable twist, and then I found the closing street fight simply refreshing: Stallone did well not to have his character return to the ring for yet another match. This way feels a lot better, a lot more real. Plus, it has one of my favourite Stallone moments, his classic ""You knocked him down...now why don't you try knocking me down?"" moment.",Rocky V
1,SnoopyStyle,Resurrecting the dead,3,4 July 2014,"Rocky Balboa is back from Russia after defeating Drago. Sleazy promoter George Washington Duke wants Rocky to fight his fighter Union Cane. However Rock is suffering from brain damage and retires. Then they find out that their crooked accountant had lost all their money. Rocky only has Mickey's old gym and he moves back to the old neighborhood. Rocky Balboa Jr. (Sage Stallone) is having trouble with the mean kids. Neighborhood kid Tommy Gunn (Tommy Morrison) begs Rocky to be his manager. Tommy has some success and that's when Duke swoops in.Stallone is trying to bring back every last bit of goodness from the original. It's part homage and part resurrecting the dead. They have Rocky flashback to Burgess Meredith. They even brought back John G. Avildsen to direct. They engineer Rocky to move back to the old neighborhood in a convoluted manufactured story. There's a younger version of Rocky. They got Sly's son to play Rocky's son.On paper, this is daring attempt to bring back the glory of the first movie. It's as if everybody had a checklist of things to do. This is not inspired as much as it's constructed. The one thing that this does not have from the original is a sense of reality. The first one had a documentary style feel. A lower class Italian neighborhood is realistic back then. I can't help but notice that the run down place is still filled with mostly white people. There is one attempt at an old hangout that turned into something foreign. It just feels like very fake. It struggles to split the difference between the gritty documentary feel of the original and the glossy formulaic sequels. It needed to choose. It does not and fails to be either.",Rocky V
2,classicsoncall,"""It don't hurt having an angel in your corner, you know.""",7,1 September 2012,"Personally, extending the Rocky franchise beyond the first three movies was probably asking for trouble, but that could just be me. ""Rocky IV"" struck me as a quick way to make a buck with a series of cobbled together scenes from the first three films with a resounding sound track pumping up the volume. This one has a bit more of a plot to it, with the strained relationship between Rocky (Sylvester Stallone) and his son (real life son Sage Stallone) at the center of the story. It works up to a point, but by the time it develops into an alley fight between The Rock and his protégé Tommy Gunn (Tommy Morrison), all semblance of believability just melts away in a flash of fists and fury.For starters, you have to consider the length of time it would have taken Tommy to begin training with Rocky, develop into a preliminary fighter, and then compile a record of 22 and 0 to earn a championship match. Even if he fought every two months, it still would have taken a couple of years to get to the Union Cane fight. The way this story blazes by, it seems like it all takes place in a matter of days and Tommy suddenly finds himself at the top of the boxing world. And THEN, all of a sudden, Union Cane is outed as a fraud? That just made my head spin. No one becomes the World Champ by beating pushovers, what alternate universe would this have taken place in? You know, the Rocky films played a nasty trick on me when they had his manager Mickey (Burgess Meredith) die in ""Rocky II"". For the longest time I couldn't figure out if Meredith was dead or alive when he showed up in the sequels. I know, it's easy enough to look up, but it's one of those things that keep you guessing. To save you the trouble, Meredith was alive when he made his daydream appearances in this film. For my money, the best sequence in the picture was the one where Rocky had the imaginary conversation with his former manager. That was very well done.As I write this review, I'm stunned by the news that Sage Stallone passed away just a month ago. I never heard about it at the time, and as I read the links from the IMDb website, I'm reminded that life isn't like the movies where happy endings have a tendency to prevail. My condolences go out to Stallone and his family, and I hope the Rocky spirit gets him through this ordeal.",Rocky V
3,jboothmillard,Rocky V,3,3 April 2011,"Until the return in 2006 most people probably thought this fifth instalment in the series would be the last one, and if it was going to be, it would have been a terrible way to go, from first film Razzie nominated director John G. Avildsen (The Karate Kid), the star directed the other three. Basically Rocky Balboa (Razzie nominated Sylvester Stallone) has defeated the big shots and fearsome opponents, the now dead Apollo Creed, Clubber Lang and most recently Ivan Drago, who inflicted permanent damage during their fight. Because of this brain damage caused, Rocky is forced to retire from boxing on medical grounds, but he is glad to be spending more time at home with wife Adrian (Razzie nominated Talia Shire) and son Rocky Jr. (Sage Stallone, Sly's real life son). More trouble comes however when it is discovered that his fortune made from fighting, which he entrusted with Adrian's brother Paulie (Razzie nominated Burt Young), has been squandered by an incompetent accountant. After being forced to sell many possessions and the mansion, Rocky was tempted back into the ring by promoter George Washington Duke (Richard Gant) who wanted to see him defend hi World Champion title, but Adrian stops him. But then he is approached by Tommy 'Machine' Gunn (Tommy Morrison) who idolises and wants to be trained by him, therefore Rocky becomes his trainer at the gym run by his old and now dead trainer Mickey Goldmill (Burgess Meredith), seen through flashback. While Rocky Jr. is being bullied at school, his father is neglecting him to train and manage Tommy, he manages to get him some fights, which he wins all off, and they are both on a high. Duke comes back to the scene with a deceptive tactic to work around Rocky, he tells Tommy many things to turn him arrogant and go against his manager, until eventually he bursts out that he isn't getting him any high profile matches and moves on. With Duke as Tommy's new manager, this at least gives Rocky time to put things straight with his son, but then he sees his ex-student boxer win the golden belt, but his arrogance still gets boos from the audience. Duke tells him that the only way to gain better respect is to beat Rocky one-on-one, and this comes too life in a bar where an argument turns into a street fight, but of course Rocky wins in the end. Also starring Tony Burton as Tony Duke, Jimmy Gambina as Jimmy, Delia Sheppard as Karen and Mike Girard Sheehan as Merlin Sheets. Stallone is okay, Shire isn't on as much, Morrison is a bit over the top, Gant is alright, and Meredith appearing in a new flashback doesn't do much, the montage sequences are now just a bit silly, with new music especially, and the fact that the only matches in the film come from the new young arrogant character is ridiculous, as is the final fight not in the ring, a daft boxing drama sequel. It was nominated the Razzie for Worst Picture, Worst Original Song for Sir Elton John's ""The Measure of a Man"" and Worst Screenplay. Adequate!",Rocky V
4,ccthemovieman-1,"Fans Of The Series Should Still Like This One, Too",7,15 November 2006,"I think this was the only Rocky film I never saw at the theater. I guess I'd had enough by then. However, I did catch this on VHS and, despite all the negative opinions I had read concerning it, I was glad I saw it. It was typical Rocky entertainment: hokey but satisfying and generally enjoyable.Richard Gant did a nice job impersonating Don King and Tommy Morrison, a real-life fighter, turned out to be a pretty good actor. Again, we see the familiar characters of Rocky, still sounding stupid; wife Adrian, older-looking but still faithful to her husband, and Paulie, still a slob and a low-life.The final scene provides the usual over-done fight with.....well, if you've seen the others and enjoyed them - the fights and the stories - you should like this, too.",Rocky V
5,ma-cortes,Acceptable follow-up in which Balboa is willing to risk his life against ingrate boxer,7,30 January 2012,"Interesting sequel that works every time and in which beloved Balboa , the one time champion , returns to take on an ingrate contender performed by Tommy Morrison . Officially a sequel is most a rehash but happens to be a nice fifth chapter about Rocky saga with intimate Stallone . Two-bit fighter Rocky is now retired and has hit rock bottom , he lives from records but our hero returns as coach and to face off a daring contender . Reluctantly retired from boxing and back from riches to rags , Rocky takes on a new protégé who betrays him . As the champ's son must adjust to his family's new life on bankruptcy and being ostracized . Although he is homaged as one of the greatest boxing champions in the history also is panned as a down-and-out fighter , being nicknamed as the Chicken Stallion . But ¨The Italian Stallion¨ comes out from retirement for fame and self-respect to combat strongest, youngest and faster contender , despite his own cerebral damage , through a rematch on the streets . While Rocky attempts to prove himself and his family , his wife (Talia Shire), brother-in-law (Burt Young) and his teenager son (Sage Stallone , real-life son plays Rocky Jr).This enjoyable predictable entertainment displays splendidly the 'formula Rocky'. The movie works at usual manner, fitting appropriately to franchise , even though we know the plot the film works . This soaper on the ring is developed in gentleness, dignity , feel-good style such as the initial outing . Great training montage and spectacular and climatic final bout . Writer-director-actor Stallone new entry is surprisingly entertaining and packs good feeling . Usual and nostalgic musical score by Bill Conti and atmospheric cinematography by Steven Poster . The motion picture is lavishly financed by the producers of complete saga , Robert Chartoff and Irwin Winkler and well directed by John G Avildsen who along Stallone created the six Rocky saga.While here the opponent is an invincible young fighter ,champ of the world, played by a real boxer named Tommy Morrison , in previous and subsequent entries the contenders were the following : ¨Rocky I and II¨ was Carl Weathers ; ¨Rocky III¨ after being dethroned by obnoxious , corpulent Mr T from A Team ; ¨Rocky IV¨ against a massive Russian boxer played by Dolph Lundgren ; and ¨Rocky Balboa¨ proving his estranged young son Milo Ventiglimia who still can fight . Rating : Good , being impossible to dislike , the result is deliciously corny agreeable and predictable amusement . Although we've seen it all before , Sylvester manages to make it work one more time and it works every way even better than subsequents Rockys",Rocky V
6,BA_Harrison,Not the greatest.,5,7 September 2019,"It's a Rocky movie, so I had some fun with it, but there is plenty that Rocky V gets wrong in my opinion.Firstly, the whole riches to rags story feels like a punch to the gut after all that has happened. His entire wealth gone because of a bad decision by Paulie (Burt Young)... is this even possible?Tommy Gunn (Tommy Morrison, sporting a bad mullet) is a forgettable, personality-free opponent, especially when compared to the likes of Creed and Lang. Even Drago had more charisma.The '90s rap/dance music is dreadful; what's wrong with the rock music of the previous instalments?Rocky ignoring his son in favour of Gunn goes against character. I know he sees a chance of reliving his youth through Tommy, but it doesn't feel right.I hate the way Robert (Sage Stallone) goes from being the ideal son to a street punk in a matter of days (his dangly ear-ring gets on my nerves too).The street-fight feels anticlimactic compared to all of the final boxing matches in the previous films.Lastly, there are too many turtle-necks in the film.Rocky V is still watchable thanks to Stallone and the other familiar faces (Talia Shire, Young), but it's definitely my least favourite of the series.",Rocky V
7,BandSAboutMovies,Go for it!,6,13 August 2019,"I've avoided this movie for some time, due to its bad reputation and just the general feeling that I had no interest in seeing Rocky slide back into the sad life that he escaped. This week of Stallone movies has given me the opportunity to watch this one, however, and while it's not my favorite of the films, it's not as bad as I feared.Director John G. Avildsen - who directed the original - returns to direct this one, which finds our hero go right back to the same streets that he once trained on. Avildsen clashed with cinematographer Steven Poster during the making of the film, feeling that the realism of the movie was threatened by over-lighting instead of using a single spotlight to create a mood. Poster told Avildsen that the original film ""looked like a cheap documentary,"" to which the Oscar-winning director replied, ""Exactly.""A week after Rocky defeats Ivan Drago in Rocky IV, he returns to the United States. However, he's not whole - the fight pretty much has finished him off, leaving him feeling broken inside. As he conducts a press conference, promoter George Washington Duke (Richard Gant), who is pretty much Don King, tries to get Rocky to fight his man Union Cane (pro boxer Mike Williams).The pain isn't over for Rocky - not by a long shot. It turns out that thanks to bad advice from Paulie (Burt Young), the boxer gave power of attorney to his accountant, who pulled a Bernie Madoff on him, leaving him with a foreclosed second mortgage and six years of unpaid taxes.It gets worse, too. Rocky has a brain injury that was further compounded by the blows he endured defeating Drago. Now, he can never fight again, so he must sell his home and all his belongings, moving back to the streets he thought he escaped.After a night of drinking, Rocky enters his old gym and sees a vision of Mickey (Burgess Meredith) appear to him, telling him a speech much like the one that Cus D'Amato told Mike Tyson after his first fight. This leads to rocky reopening the gym and eventually becoming the manager for Tommy Gunn (boxer Tommy Morrison), a young man from Oklahoma who becomes Rocky's surrogate son.But doesn't Rocky already have a son? He sure does and his kid Robert (Stallone's real life son Sage, who would one day help form Grindhouse Releasing) must adjust from private school to the tough inner city school, getting his ass kicked every step of the way. Even worse, he has a dad who only wants to get in the ring and train his fighter.Of course Tommy Gunn is going to give in to the dark side, falling under the sway of Duke. It's brutal when Rocky watches on TV and Gunn extols the angel on his shoulder that the promoter has become, langauge specifically used to try and bring the retired champion into the ring. Instead, the two brawl in a brutal street fight that ends with Rocky victorious.That fight, however, is awesome. That's probably because pro wrestling legend Terry Funk choreographed it, which explains the German suplex spot. Amazingly, the fight was originally going to end with Rocky dying in Adrian's arms. Eventually, Stallone decided to rewrite the ending, as he believes that Rocky is all about perseverance and redemption. A death in a street fight? That isn't how a hero goes out, right?Michael Williams and Tommy Morrison were scheduled to have an actual boxing match about a month after this was released, hyped as ""The Real Cane vs. Gunn Match,"" but Williams was injured and could not compete.Speaking of Morrison, he had a pretty interesting life. His nickname, ""The Duke"", comes from a claim that he was either the grand nephew or grandson of John Wayne, which may or may not have been true. He started doing tough man contests at the age of 13 before going into boxing, where he amassed a 202-20 record and won the Gold Medal at the Seoul Olympics. His pro career included wins over George Foreman for the WBO title and a 48-3-1 record.At one point, Morrison was married to two women at the same time and had two children by the age of 19. Those sons, Trey Lippe Morrison and James McKenzie Morrison, have grown up to be pro boxers themselves.His life took a sad turn in 1996 when he failed a blood test before a fight. He had HIV, which he said came from his permissive, fast and reckless lifestyle, saying ""Wilt Chamberlain had nothing on me. Infidelity was one of my biggest battles in life. I couldn't overcome it.""Morrison tested negative for HIV in 2007 and began boxing again, even though some of those fights were supposedly staged. He also dealt with probation issues from past arrests that led to him serving nearly two years in jail.In August of 2013, Morrison's mother claimed he had full blown AIDS, even if the boxer's mother didn't agree. Morrison died a month later from cardiac arrest, resulting from multiorgan failure due to septic shock caused by an infection.In the years following the film's release, Stallone acknowledged that the brain injury angle was inaccurate. Instead, it's a mild form of brain damage, such as CTE, and it wouldn't have prevented Rocky from gaining a license to box or put his life in danger.When asked to rate all of the Rocky films by British host Johnathan Ross, Stallone gave this one a zero. I kind of love that he also has stated that Tommy Gunn left boxing and become a ""third rate pro wrestler"" afterward. I'd love to see that movie.This is the only boxing movie I can think of with MC Hammer and Elton John on the soundtrack. It wasn't as bad as I feared, but wasn't as good as I wanted it to be. But man, that last fight is great.",Rocky V
8,sunwarrior13,Good Thing There Was Rocky Balboa,6,23 October 2011,"It was touted upon its release to be the final installment of the Rocky movie franchise.It reunites star Sylvester Stallone with John G. Avildsen, director of the Oscar-winning Rocky. Rocky V is the fifth film in the series.It stars Sylvester Stallone, Talia Shire,Burt Young,Burgess Meredith,Tony Burton, Stallone's real life son Sage Stallone, and real life boxer Tommy Morrison as boxer Tommy Gunn, a talented yet raw boxer.The movie explores the relationship between Rocky and his son,Rocky Jr. The story has Rocky Balboa, suffering from career-ending brain damage as a result of his punishing bout with Ivan Drago at the finale of the Rocky IV,the previous film. Upon their return to Philadelphia, Rocky and his wife, Adrian,discover they are broke, their fortune squandered by an incompetent accountant. Forced to move back to their working-class neighborhood, Rocky finds that his only asset is the run-down gym willed to him by Mickey. Resisting big money offered to him by Don King-like boxing promoter George Washington Duke, Rocky becomes a trainer and finds a talented comer in Tommy Gunn. Rocky's son feels neglected by his father, who lavishes attention on his protégé, but Tommy ultimately turns his back on his mentor to sign a more lucrative deal with Duke, leading to a street-fight showdown - which was a bad way to end the franchise.A lot of Rocky fans just hated this film.Even Sylvester Stallone rated it a zero.The star practically disowns this film.Well,the film just lost the underdog theme.The fact that the Balboas return to their old Philadelphia neighborhood is the only thing new in this film.Although it tries to recapture the original Rocky spirit with this,it failed in its purpose miserably.One reason I have said is that the underdog theme which has kept the franchise afloat and is definitely missing in it.The Rocky-Tommy Gunn relationship fails as well considering that fans would rather see Rocky fighting inside the ring as an underdog rather than the development of the protégé just as he is portraying the role of Mick,his trainer.Finally,the last street-fight boxing match just looked out of place.The performances were okay in this film.Nothing worth mentioning and nothing worth criticizing either.The film just looked completely lost from the series.The flashbacks and the return to Balboa's roots were the only ones linking it to the Rocky franchise.Nothing more.Overall,just like Rocky die-hards,I think that this is the worst installment of the series behind Rocky,Rocky Balboa,Rocky II,Rocky III and Rocky IV.Good thing that Rocky Balboa or Rocky VI was made to make up for Rocky V - which I believe is the great conclusion and proper way to end the series.",Rocky V
9,bevo-13678,Wow,10,1 June 2020,Another brilliant story line and lots of punching and stuff,Rocky V
