,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,I thought it was decent,6,25 January 2012,"Elektra is not perfect, the dialogue is corny, the plot is rather slender and tries a little too hard to disguise that with childhood flashbacks and soul-searching complete with a rather pointless sub-plot and while impressively choreographed the final confrontation was somewhat anti-climatic. However, it is a visually stylish movie with great cinematography, fantastic locations cool costumes and fun special effects. I was impressed also with the choreography of the action sequences complete with some very clever stunt work, the surreal atmosphere Elektra created and the brooding soundtrack. There is effort to make the characters interesting, and the acting is decent enough. Jennifer Garner is attractive and does bring weight and charisma to the role, Goran Visjinc is surprisingly natural and Terrence Stamp is good and very commanding. The villains are subtle and have vitality, especially Stone, if underused. I didn't care for Kirsten Prout, too bland and annoying for my tastes. Overall, decent if nothing exceptional. 6/10 Bethany Cox",Elektra
1,Leofwine_draca,Poorly-conceived superhero effort,4,7 July 2016,"This supposed follow-up to DAREDEVIL omits one important component of that previous movie: no Ben Affleck. Instead the focus of the film falls on the rather boring, obsessive life of Elektra, Daredevil's attractive sidekick who actually died on a rooftop in that previous movie. But here she is resurrected from the dead by a blind martial arts master, fighting off various members of criminal gang The Hand who are after a young girl whose skills hold the secret to the future. In many respects, the plot resembles that of recent Jackie Chan flick THE MEDALLION, but incredibly it's even LIGHTER than in that film. Only shadowy clips go towards explaining our lead's decision to become a professional assassin, and of the bad guys, we have no idea of their past, except that an evil-looking Cary-Hiroyuki Tagawa (SHOWDOWN IN LITTLE TOYKO) is leading them. Sadly, Tagawa – usually a great and sadistic villain – is relegated to sitting behind a desk in his few appearances here.ELEKTRA – for all its previews as a martial arts extravaganza – is light on action, heavy on plot less character-building. We learn a lot about a bleeding 14 year old girl (as soon as I saw her and her cringe-worthy 'bonding' with Elektra, I knew we were in trouble) but nothing very interesting. When the action comes, it takes jump-cuts and ruthless editing to the next level, resulting clumsy, messy fight sequences where you can't really see what's going on. I really expected more of Rob Bowman, who directed some atmospheric episodes of THE X-FILES a while ago.Jennifer Garner is certainly attractive as Elektra – especially in her red suit – but she has nowhere to go and nothing to do. Even the actress herself reportedly slammed the film. E.R. doctor Goran Visnjic is handsome but empty as the father figure, and disappears about halfway through the movie, whilst the kid Prout is awful. The only other noteworthy is Terence Stamp as a blind master. As a commanding master, he's good; as blind, he's totally unbelievable.The bad guys are built up with special skills – one has stone skin, another has a deadly kiss – but incredibly, they die straight away and prove no match for our heroine whatsoever. The special effects are remarkably good, especially in the shape of one guy's tattoos which frequently come to life, but that can't save the film. Even the promise of a full-on ninja attack come the finale is cruelly destroyed as Elektra blows them up all at the same time (why the hell do they all jump into the same room anyway). The best bit of this slow-moving, long-winded film? Early on, when a ninja breaks his own neck rather than be captured. It's a classic scene in an otherwise uninteresting and poorly-conceived effort.",Elektra
2,SnoopyStyle,Slow moving confused weak production,5,8 September 2013,"Elektra (Jennifer Garner) has become an assassin for hire. She meets a sweet girl Abby Miller (Kirsten Prout) and her father Mark Miller (Goran Visnjic) living next door, but then told that they are actually her next assignment.This is the follow up to Daredevil (2003). I guess it's the first attempt Kevin Feige and friends at Marvel to build various characters together. It failed miserably, but I'm glad that they came back for more. The beginning moves extremely slow. There's all kinds of flashbacks that doesn't illuminate anything. It gets going when the dark organization called the Hand sends in more assassins. But then it gets a bit tiresome. The fights are never that interesting, and always seemed to lack tension. There is some wirework, but it seemed more acrobatic than powerful. It is yet another fail. They had X-Men, Spiderman, Fantastic 4, but they were all individual franchises. It's not until Iron Man (2008) that they reach solid footing for a linked series of superheroes.",Elektra
3,claudio_carvalho,Only A Reasonable Adventure,6,9 July 2005,"I am not familiarized with the comic magazine of Elektra, but I found the character and the story full of contradictions. Indeed I was more impressed with the stunning beauty of Jennifer Garner than with the movie itself. Elektra is an assassin-for-hire, but she is also pure and good, as per the explanation of her mentor Stick (Terence Stamp). While she is protecting her targets, her loyal but also mercenary partner McCabe (Colin Cunningham) sacrifices himself to protect Elektra, Abby (Kirsten Prout) and Mark Miller (Goran Visnjick). In her final battle against Kirigi (Will Yun Lee), first she explodes the stove in the kitchen, but there is no damage in the rest of the house with the huge explosion; then she saves Abby, puts her in the bed and turns on the lamp on the night table. Therefore, it is an abandoned house with power and gas. The special effects are good, and in the end Elektra is only a reasonable adventure, fortunately not as bad as the Cat Woman. My vote is six.Title (Brazil): ""Elektra""",Elektra
4,classicsoncall,"""So, you, um..., you really kill people for a living?""",7,21 November 2020,"This film was released about six months after The DC Comics based movie came out for ""Catwoman"". With a 4.7 IMDb viewer rating as I write this, it comes in a tad better than it's counterpart at a 3.4. I didn't think either one was all that bad, but I can see how folks would pan them both critically against your better comic book, super-hero flicks. The story line telegraphs where it's going in a big way shortly after we're introduced to Mark Miller (Goran Visnjic) and his daughter Abby (Kirsten Zien). If you couldn't tell they were destined to be the targets on Elektra's latest hit list, you probably haven't seen enough action films. Jennifer Garner makes for a decently capable warrior assassin, although I don't think she would have been my first choice for the role. In the comics, the character is of Greek descent, and Garner appears most wholesomely American. A better fit would have been someone along the lines of say Elodie Yung, who portrays Elektra in the Netfllix series ""Daredevil"". She's doesn't have a Greek background either, but her exotic look makes for a more effectively mysterious looking femme fatale. Either way, you've got an assortment of baddies in this story to go up against the fearsome Elektra. My favorite had to be the Tattoo guy (Chris Ackerman), even with the overkill of all those snakes. The goal of the villains is to take out the young girl Abby, seeing as how her prowess as a martial artist has dubbed her 'The Treasure', and if the dark side couldn't have her, then nobody could. Had this picture been better received, you might have expected a sequel, as the chemistry between the title hero and the thirteen year old seemed pretty good. The box office deemed otherwise.P.S. Just following up on viewer ratings, this picture becomes the one hundredth entry on my IMDb list of Comic Book Super-Heroes I've watched and reviewed. Ranked in IMDb rating order, it comes in at #95, while the aforementioned ""Catwoman"" is dead last.",Elektra
5,jboothmillard,Elektra,4,24 February 2010,"You may remember Daredevil two years before, well, fans of the comic will be happy to see the female character getting her own spin-off film, from director Rob Bowman (Reign of Fire). Basically, after surviving a near death experience, warrior and once student of the power called Kimagure, Elektra (Jennifer Garner) has gone into hiding and become a professional assassin. She does step out of her lonely life to have a dinner with her neighbours Mark Miller (Goran Visnjic) and daughter Abby (Kirsten Prout), and she is shocked to see that they are her next targets. Now on the run from The Hand, they try to escape all trying to kill them, because of daughter Abby being skilled in similar ways to Elektra, and father Mark knowing about it. Elektra, after some advice from her blind and wise martial arts master Stick (Terence Stamp), naturally is determined to protect her new friends, with her skills in knife work and fast instinct. Also starring Licence to Kill's Cary-Hiroyuki Tagawa as Roshi, Die Another Day's Will Yun Lee as Kirigi, Chris Ackerman as Tattoo, Edson T. Ribeiro as Kinkou, Colin Cunningham as McCabe, Hiro Kanagawa as Meizumi, Jason Isaacs as DeMarco, Natassia Malthe as Typhoid and Bob Sapp as Stone. Garner might have her ears sticking out a little bit, but she is attractive in the original red outfit. It is just a shame she and the film doesn't get enough fight sequences, I can see why it has been re-rated two stars, it just isn't a very action-packed martial arts fantasy film. Okay!",Elektra
6,Tweekums,Better than expected,6,10 March 2009,"When I sat down to watch this I was expecting to see a real turkey but ended up being pleasantly surprised; sure it wasn't the Citizen Kane of super hero movies but it wasn't awful either. Jennifer Garner was pretty good in the title role, teenager Kirsten Prout put in a good performance as Abby, the young girl Elektra was trying to protect and Terence Stamp was good in his role as Elektra's mentor.In the opening scene we are introduced to Elektra the unstoppable assassin; a man is protected by a large security force explains to his head of security how a female assassin has been pursuing him but she always lets him go after eliminating his security... not this time however, this time he ends up dead. Having been introduced she gets a new mission, she is told to go to wait on an island where she will be told who her target is. While she waits she meets Abby, a girl who she catches breaking into her house, and her father. She soon befriends then and when she learns that they are in fact the people she is there to kill she can't go through with it, in fact instead of killing them she becomes their protector against further assassination attempts.The group that what to assassinate Abby and her father are known as The Hand and their assassins have distinct super-powers which reminded me of The Brotherhood from the X-Men films. They want him dead because he has something they simple refer to as The Treasure, what it is isn't specified at this point.The action scenes are fairly well done and for the most part our heroine gets to wear normal clothes, although in the final confrontation she ends up in a rather silly looking costume that may have looked good in a comic book but doesn't work a well in a film, it may look sexy on Jennifer Garner but looking sexy isn't going to be ones first priority when expecting a fight. I saw this on television and won't be rushing out to buy the DVD although fans of the genre or Jennifer Garner might want to get it if they see it in the bargain bin.I can't say how true the characters are to those in the comic as I've never read them.",Elektra
7,ma-cortes,A loner assassin faces off supernatural warriors with impressive fights and breathtaking action,6,1 August 2011,"This is a spin-off from ¨Daredevil¨ (2003 by Mark Steven Johnson with Ben Affleck who in real life married Jennifer Garner) going back as the title role killer . Although she died in the former movie she returns thanks to her mentor and Sensei (Terence Stamp) . Elektra is resurrected and turns into a fearless warrior who survives a near-death experience ,her slickness is the result of a childhood accident , which means through the ordinary back-tale where a bad guy dispatch her mummy . The heroine becomes an assassin-for-hire in red-leathers and using her magic daggers , she tries to protect her two latest targets, a single father and his troubled young daughter , a rebellious bratty fourteen years old named Abby (Kristen Prout), from a group of supernatural assassins. But gets to show her touchy-feeling side when she saves them and falls in love with the father , Mark Miller (Goran Visnjic). But Elektra battles her emotions and takes on and kick ass the ¨Hand corporation¨ (ruled by Cary Hiroyuki Tagawa) along with its hoodlums . At the end takes place an epic facing off between Elektra and nasty Kirigi ( Will Yun Lee) and partners , as demolishing the man mountain stone , bendy-guy Kinkou , the Animalistic Tattoo and decease-dealing typhoid (Natassia Malthe, subsequently Uwe boll's fetish actress playing Bloodrayne II and against 3º Reich) .The flood of Hollywood superheroes goes on with Marvel Comics' lithely combative Elektra . Convincing in the physical demands of the titular character Elektra ,well performed by Jennifer Garner as nihilist loner , she persuades us of her slick and dexterity . This exciting movie displays unstopped action, thrills ride, spectacular fighting, violence and is pretty amusing . When Jennifer Garner romance strikes with Goran , the screenplay manoeuvres into the lethal orbit as she takes on of both , crime lord and crack-shot assassins. It's an entertaining movie with its notably tougher action and violence , but lacks sometimes the utter fun factor and writers fail in the scrappy construction . It packs a colorful cinematography by Bill Roe and appropriate musical score fitting to action by Christopher Beck . The motion picture well produced by Arnon Milchan and the Marvel's usual, Avi Arad and the genius Stan lee ; being professionally directed by Rob Bowman . Rob is a good expert on Sci-Fi as ¨X-files series , Day break , Night stalker , Reign of fire¨ and many others .",Elektra
8,BA_Harrison,Elektra fails to electrify.,4,2 October 2006,"After her appearance as the love interest in the enjoyable Ben Affleck vehicle Daredevil, Jennifer Garner's Elektra is promoted to star of her own movie. Brought back from the brink of death by the mystical Stick (Terence Stamp) and trained in all manner of martial arts, Elektra eventually becomes an assassin. But when she is hired to kill a man and his teenage daughter, she breaks protocol and decides to protect them instead. She certainly has her work cut out for her as a group of supernatural killers are dispatched to finish Elektra's job.With a sexy assassin in a basque, ninjas galore, and a team of bad guys with magical powers, you would think it would be hard to make a dull film; somehow, however, director Rob Bowman manages to succeed in delivering an excitement-free movie.A dreadful script (which takes too long to really get going) and Bowman's over reliance on CGI and rapid MTV-style editing results in a tedious mess.As is the case with many a Marvel character, Elektra has 'issues'; she wrestles with her own personal demons which makes her a pretty unlikeable and moody cow. Throughout the film she has pointless flashbacks which only serve to slow the pace of the film even further. For some inexplicable reason, the writers have also seen fit to make her suffer from obsessive-compulsive syndrome, which makes for fun viewingNOT! Seeing Elektra carefully arranging her clothes, food and makeup isn't exactly what I want to see in an action film.When Elektra does find time to fight, the action is brief and shot in such a manner that one cannot really see what is happening. I guess this saves on actually having to choreograph a decent scrap, but its hardly nail-biting stuff. Bowman uses every 'Matrix'-style piece of visual trickery in the book and the film suffers for it. Why do so many of todays directors feel like they need to shoot a fight in such a way? Those Wachowskis have a lot to answer for!Although I only rate Garner as a 'moderate hottie', she certainly looks good in her tight red outfit; it's a shame, however, that she only wears this get-up during two scenes and spends the rest of the time in less flattering gear. Had the makers of this film delivered more in the way of eye-candy, I'd have definitely enjoyed it a whole lot more.She may have been brought back to life for this movie, but surely this disappointing effort sees the death of Elektra as a potential series.",Elektra
9,sunwarrior13,A Contractually Obligated Sequel,6,9 October 2012,"Daredevil's main squeeze gets resurrected in her own flick with this spin-off martial arts action film from director Rob Bowman in this superhero film,Elektra.It stars Jennifer Garner who plays the Marvel comics character Elektra Natchios,an international assassin whose weapon of choice is a pair of sai.Goran Visnjic,Will Yun Lee,Cary-Hiroyuki Tagawa and Terence Stamp co-star to play supporting roles.Elektra Natchios is a hired assassin whose origins are finally revealed after her old ninja clan the Hand brings her back from the dead to serve their evil purposes. Reunited with her old sensei Stick,she leaves the past behind her and is eventually given an assignment to kill Mark Miller and his daughter, Abby. When her conscience gets the best of her and she decides to protect them instead, it's up to the Hand's top assassins to track her down and finish the job. Fans of Marvel Comics might recognize Natassia Malthe as Typhoid Mary, another nemesis of Daredevil that joins in the hunt, along with other masters of the dark mystic arts, Tattoo, Stone, and the Hand's fearsome leader, Kirigi.Garner has proved that she can kick butt with the best of them, and some of the visual effects are impressive, but the action sequences tend to be anticlimactic, and there's not much to the story.The movie offers no surprises, and whether or not you'll appreciate its modest charms depends entirely on whether you too have been anticipating her new outfit.Is Elektra better than Daredevil? Not really, even with the distinct advantage of having all Garner and no Ben Affleck. That could be the spin off's greatest disappointment as Elektra lowered it back to Daredevil's level.They should have just called this movie Contractually Obligated Sequel because I can see no other reason why someone as talented and as smart as she is would want to do this film.",Elektra
