,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,movieman_kev,laughing at fools,8,28 June 2005,"Less of a real movie, then merely a slice-of(Drugie) life about Ross (Jason Schwartzman) going about his life, weaving in and out of situations with his dealer (John Leguizamo), his girlfriend (Mena Suvari), the maker of his speed (Mickey Rourke, a phenomenal actor), and his girlfriend (Brittany Murphy). They all revolve around Ross because he has the car. Ross treats his girlfriend (the incredibly HOT Chloe Hunter) because he's a druggie fool. These people are all pond scum, freaks, and are all pathetic wastes of space. Fortunatly they all are hilarious to laugh at. No matter how screwed up your life is, there's always fools worse off. So grab a seat, open up a six pack or smoke up whatever, and laugh your F'n ass off. Plus you get to see Rob Halford, Deborah Harry, Ron Jeremy, and Billy Corgan in bit parts. And that, my friends, rocks.My Grade: B Unrated Columbia Tri-star DVD Extras: Commentary with director Jonas Akerlund and producer Creighton Vero; Second Commentary with producer Timothy Wayne Petternel and writer Will De Los Santos; 5 Deleted Scenes (with more nudity from Chloe Hunter); Music video; Poster and Photo Galleries; TV Spot; Faux Cookin Show and Theatrical Trailers; and Trailers for ""Auto Focus"" and ""Levity"" Eye Candy:Chloe Hunter shows EVERYthing; a few extras get topless",Spun
1,jadavix,A stylistic exercise,6,29 August 2017,"I never felt particularly engaged with ""Spun"", for some reason. I guess it's a typical cult movie: either you love it or you hate it. The rapid-fire, kinetic editing, aggressively bad, retro-style and generically crazy behaviour of the characters just grew tiresome after a while. The movie feels like ""Gummo"" made by a music video director. It's superficially ""shocking"" and ""in your face"", but there's nothing in the movie to really make you think. So that's what the experience of watching the movie becomes: like a long music video, ie. something which isn't supposed to be really engaged with or deconstructed... but at feature film length, it becomes exhausting. It never really held my attention for long.It's also impossible to take it seriously as a portrayal of something as real as meth addiction.",Spun
2,Polaris_DiB,"Trippy, silly, a hoot",6,16 April 2007,"There's a world of drug-trip movies out there, and the best thing about them is that most of them get away with an antidrug message after taking its audience through its psychedelic ride. This movie could also make some claims, but it's not so interested in that part. It's pretty much just the trip, involving colorful (some would say, ahem, ""Tarantino-esque"") characters and three days of meth binging.Which, by all means, makes it entertaining, even if the only characters worth half a hoot are the ones played by Jason Schwartzman and Mickey Rourke. The movie starts off with everyone just about ready to freak out and doesn't let down much afterwards, pretty much keeping pace and interest for its full runtime. Considering how easy it would be to slow down, and keeping in mind that the potential fanbase is probably just going to watch the movie when on drugs themselves, it's admirable that they maintained that kind of work ethic.Though, really, most of its all ""just a bunch of hooey."" (Pardon the silly expression). Rourke's monologue in the porn shop seems custom made to fit into some trivia book about the most instances of the word ""pussy"" in a three minute running segment. Brittney Murphy's screen time seems only to work because she's pretty and the filmmakers want her to be the ditzy pretty druggy for their audience. And the gay men at the root of the operation don't really seem to have much reason to be there except to include gay men somewhere in there (why not, right?).So yeah, it's fun, and I guess you'll feel a bit ""spun"" while watching it. It's kind of like the drug-trip style equivalent to the dumb-teenager comedy genre, which means it's almost custom made for any aspiring meth-addicts DVD player.--PolarisDiB",Spun
3,NateWatchesCoolMovies,Phenomenal piece of gut wrenching drug cinema,10,2 August 2015,"Jonas Ackerlund's SPUN leaves you feeling dirty, breathless, scuzzy, and like you've just watched a parade of every single facet of Chrystal meth addiction unfold in front of you like a horrible carnival of lost souls and ruined lives. It's a hard flick to sit through, but there's a brutal poetry and gutter stained beauty to the characters lives, and the events that unfold are a nonsensical, dizzying merry go around of calamity, confusion and speed addled insanity. It's my personal favourite film of about drug addiction ever made. Jason Schwartzman plays Ross, whose mission in life is to score the next hit. After a delirious opening sequence set to a calming rendition of Number Of The Beast, he arrives at the home of Spider Mike. John Leguizamo has never had a shortage of energy, and here he lets the ripcord fly off the handle, handling his role like a squirrel stuck in a vat of distiller caffeine, bouncing off every wall in sight and chewing the scenery like a plastic straw. Mena Suvari plays his equally addicted girlfriend Cookie. Brittney Murphy bring surprising depth to her role as a girl who Ross strikes a friendship with. The two of them eventually find their way to the house of The Cook, played by Mickey Rourke. From there the film heads down a scum encrusted rabbit hole of nonsensical run ins, hapless failures and an eventual rock bottom inevitability where every character finds themselves at a place where if they go any further with their lifestyle, there's no return. Rourke finds the emotional anchor in an otherwise manic roster, and even though he's off the wall for much of the film, he has a monologue in the eleventh hour that grounds his role in tragic regret. Very underrated performance from him. Murphy balances the ditsy slut aspects with a maternal yearning for something better than the road she went down. There's a whole rats nest of other assorted characters and cameos running around, from Peter Stormare's aggressive, hilarious narc, to Patrick Fugit's grotesque Frisbee, to Debbie Harry is from Blondie fame as a nosy feminazi. Even Eric Roberts shows up for a brief reunion with Rourke. The film has a heavily stylized, go for broke attitude that pushes the boundaries of what movies have been able to do, in the best way possible. It shows you not from an outsiders perspective what it might be like to observe people on this drug, but gives you a very intimate, non judgmental day in the lives of these manic, lost soul pixies, ghosts of their former selves, enslaved in the mania and constant need for a fix that is their own design. If you can handle this sort of stuff and like the sub genre (Trainspotting, Requiem For A Dream, The Salton Sea etc) then this is a heavy hitting visual and auditory blast of pure experimental cinema, and a total joy to watch. Just bring a barf bag.",Spun
4,rbverhoef,"Familiar images, but pretty entertaining",6,28 March 2004,"'Spun' is a movie that steals from other movies, 'Requiem for a Dream' mostly, but manages to stay entertaining and interesting the entire time. It is about drug addict Ross (Jason Schwartzman). He gets his drugs from Spider Mike (John Leguizamo), the place where he meets Nikki (Brittany Murphy). She is the girlfriend of The Cook (Mickey Rourke) who makes the goods for Spider Mike. Because of Nikki Ross becomes The Cook's driver for a couple of days days. Of course there is also police that can give some trouble. Basically this is the story. There are some subplots where we see how Ross tries to contact his girlfriend, probably former girlfriend, and how he has sex with a stripper, ties her up to his bed and totally forgets about her.The story is there, I guess, to entertain us with strange characters and a nice visual style, especially for those who have not seen 'Requiem for a Dream'. The way the addiction is and especially reaction to the drugs is shown comes straight from that movie. There are animation sequences, not from 'Requiem', that look pretty good. The strange characters I was referring to are played by Leguizamo and Rourke. Their characters are weird, one full of energy and another is Mr. Cool himself. Strange cool, but cool.Where 'Requiem for a Dream' is an anti-drugs movie in the best way, without a single happy moment, 'Spun' in the first place is a comedy. We have some good laughs because of the characters and their actions. The problem is that nothing has really happened in the end although Murphy's character has made an important decision. It seems that certain sequences are there because they could be funny. One sequence, and I admit it is funny, shows two Latina girls protected by The Cook. The way it plays is great but the reason we see it is the reason I described above. A similar sequence returns, again useless in this movie but again funny. It is probably one of the reason you will be entertained, I know I was, but also the reason it is just an average movie.",Spun
5,Karl Self,Function shouldn't follow form,5,22 February 2013,"Visuals and cast: 10/10 though.This movie is an unmitigated Hollywood rip-off of Guy Ritchie's first two movies ""Lock Stock And Two Smoking Barrels"" and ""Snatch"". Only not anywhere near as good and engaging. A speed freak finds himself working as a chauffeur for a methamphetamine ""cook"", and mayhem ensues. The cast is outstanding, but gets in the way of the movie, because I kept thinking ""Wow, Mickey Rourke's back"" or ""Wow, Billy Corgan did the music"" which took me out of the movie. The director comes from music videos and it shows. The movie is like one long music video, glitzy but the story is lacking. A shame, really.",Spun
6,rainking_es,Requiemforadream wannabe,5,17 April 2005,"""Spun"" aims for being as anphetaminic as ""Requiem For A Dream"", but it does not disturb us in the same way that Aranofsky's picture did; if anything it gets on your nerves with its wild camera movements, , its ultra-fast zoom, and all those flashes. The movie aims too for being as stark and tough as those stories about the American misery that Harmony Korine uses to write; but once again it fails: the characters are way too ridiculous, and they are not credible at all. After watching ""Spun"" I knew that Jonas Ackerlund (the director) was a popular music video director, and let me tell you: it was no surprise!!.The fact is that even with that weak story and that poor script, Ackerlund gathered together such an strange cast with some pseudo-Hollywood-stars (Brittany Murphy, Mena Suvari, John Leguizamo), some perfect strangers at least here in Spain (the starring guy, for example), some outsiders of the industry (Debbie Harry Mickey Rourke), and a huge bunch of celebrity guests from porno and rock and roll territories (it is pretty funny, for those who like hard rock, to see Rob Halford playing an homosexual sex-shop assistant!). ""Spun"" completes itself with some hackneyed animations (as a psychedelic metaphora of the drugs action), and with a (cheers!!!) pretty nice soundtrack played by Marc Bolan, Mötley Crüe, Billy Corgan, or Ozzy Osbourne. Anyway, as we say here in Spain: we've played a lot of worst matches!.My rate: 5/10",Spun
7,itamarscomix,Spun,6,16 January 2012,"I'm pretty happy to admit that I probably didn't get the most out of Spun. Reading through reviews and IMDb message boards I've found people praising it over and over again for being the most realistic presentation of meth-addicts' life-style ever put on film. That's quite possibly the case; never having taken meth I have no idea. Indeed, it seems that every glaring review comes from someone who has a history with the drug, so I assume the portrayal is accurate. As it is, I can only review Spun based on what I got out of it - which is an interesting film, but definitely not a masterpiece.By itself, Spun has its merits. It's an atmospheric piece, with excellent cinematography and editing; Although it relies too heavily on editing tricks, and almost everything it does was done before in similar ways in more memorable drug-films like Requiem for a Dream, Fear & Loathing in Las Vegas and Dazed & Confused. It managed to bring in an impressive collection of actors, both for the leads and for cameos - Jason Schwartzman, Patrick Fugit, Mena Suvari, John Leguizamo and Peter Stormare in one film are a indie-loving hipster's wet dream - and they all do an excellent job, but their characters aren't very interesting. The film manages to convey the idea that methheads are real people with real emotions, but it hammers that idea into the viewer's head over and over again without saying much else.To explain - what Spun lacks, for me, isn't plot per se. Fear & Loathing in Las Vegas or Trainspotting didn't have much of a plot either. But Spun has no depth or heart either. It puts the viewer into the meth experience, it shocks and unnerves - as it should - but it's not enough to make us care. The regular explanation that it's a film for methheads that only methheads will enjoy may have truth to it, but if so its value as a film is questionable. If it's meant to convey an anti-drug message, it's preaching to the choir - because only former meth addicts will know how realistic and thus how tragic it is, while to the rest of us it looks like a zany, trashy, sexy comedy that enjoys the drugs almost as often as it derides them.A six-star rating usually relates to a mediocre or forgettable movie - Spun is anything but. It's also not a bad movie. It's interesting and unusual, but it misses its mark for most of the audience, and it's not original or interesting enough to be worth watching simply as a visual piece. It's funny enough and has enough good acting - Mickey Rourke is of particular note, in the role that may have been the harbinger of his current comeback - but in the end it'll mostly leave you confused.",Spun
8,dave13-1,Get tweaked!,7,6 January 2012,"Jason Schwartzman plays an ordinary guy floating on the margins of the Crank Head culture, crossing paths with dealers, strippers, TV reality show cops (led by a mullet-sporting Peter Stormare), and other assorted fringe dwellers, all of them desperate, crazed and wrong in their own unique fashion. Jason drives for a wrestling addicted drug chemist (Mickey Rourke in a shambling, grunting, full bodied performance that pre-saged his work in the Wrestler) who is admired for his rough cowboy demeanor but who reveals himself over time to be a selfish exploiter. In between trips to convenient stores to buy drug making supplies, Jason slides in and out of an occasionally cartoonish (literally so, animation and all) twisted reality as he engages in the sort of drug seeking behavior that is the daily and even hourly existence of the drug user. This is not a serious look at drug use and its consequences, however, but rather a trippy slice-of-lowlife wander through the motels, strip bars, trailer parks and porn shops where the bottom feeders of the drug world live. One detail of their lives which is not overlooked by the camera is that 'tweakers' are so caught up the chase for their next high that they have perpetual ADHD, living lives of neglect surrounded by the debris of half-finished jobs and empty pizza boxes. Yuck. Look fast for rock heavyweights Debbie Harry (Blondie) as Jason's neighbor and Rob Halford (Judas Priest) as a porn shop manager. Amusing and memorable as a movie, but pay attention to the language advisory. The script is as foul-mouthed as anything since the Sopranos went off the air.",Spun
9,athies,Nice opening statement...,1,8 July 2019,"This business does not prioritize CSAT, but John Leguizamo is a good casting.Cut your hair!What a freak!That was a disturbing and disgusting Frisbee sequel but I have haven't seen Salisbury steak in awhile.That's one way to purchase beer.So this is the story of addicts running errands?Hey policeman! You're missing one of the lenses from your sunglasses.I hate all these ""people"".You couldn't have gotten a better cast for this story of garbage ""people"".Blue balls is more preferable.",Spun
