,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,what a premise,8,21 October 2020,"Blind pianist Akash gets run over by Sofie and her moped. He's more than alright. He's not actually blind. Old movie star Pramod Sinha invites him to play for his wife Simi as a surprise anniversary present. When he gets there, it's surprise and a half. He must maintain his fake blindness to stay alive.I love the premise. I really really love the premise. I also like most of the twists and turns. My only question is how the trio expected to get paid. It seems like a hard scheme to pull off and they would have to release Akash before they can get any money at all. It's unlikely that they would agree to it but I'm willing to let that go. With a premise like this, every turn needs to be clean and tight. That turn needs a little cleaning. I would also keep the reveal of Akash's blindness to a bit later in the movie. This is still a good twisty thriller.",Andhadhun
1,classicsoncall,"""What is life? It depends on the liver.""",9,27 January 2019,"For those contemplating watching this movie, don't be misled by the tag underneath the title here on IMDb, or the Storyline that describes the protagonist Akash (Ayushmann Khurrana) as a blind pianist. Even a lot of the reviews say he's a blind pianist, but it's not the case that he's blind until well into the story. But it's so easy to believe he's blind because the actor Khurrana is so skillful at portraying a character who can't see. In fact the first time it's revealed that he CAN see, the tenor of the picture turns from a fairly serious romantic drama into a hilariously outrageous story that you'll have trouble believing. Not that this would have any remote chance of happening in real life, but it's pulled off like it might be able to, and that's where the fun resides.For all of the story's twists and turns, I had a hard time trying to find a plot hole or flaw in the picture. You could point to one of the near final scenes in which Akash explains what happened when the doomed rabbit hit Simi's (Tabu) car window, because he WAS blind by then, but he would have learned of it in some manner, so I'm willing to concede a little on that point. Where I'm definitely at a disadvantage is in not having an Indian background, because in reading some of the other reviews, some nuance and perspective is laid out that definitely adheres to that nationality. But from where I'm coming from, this was one of the most uniquely creative stories I've ever seen, which is something hard to come by after watching and commenting on a few thousand movies.The best part of it all though has to be that very last second of the movie when Akash departs the French restaurant and leaves Sofie (Radhika Apte) to contemplate what might have been. Instinctively I had a feeling that his sight was restored, but it was the Keyser Söze manner in which it was revealed that proved the icing on the cake. I'm tempted to watch the movie all over again, but I know I'll never be as surprised again as I was the first time. If that sounds like a recommendation, take it for what it's worth and catch this movie.",Andhadhun
2,ThomasDrufke,Like a Soap Opera Directed by Quentin Tarantino,8,5 June 2019,"I'm honestly not even sure how to begin reviewing this movie. The best way I can describe it is a fantasy-mystery-black comedy-musical-adventure-epic. Does that sound like something absolutely ridiculously insane? Well it is. Andhadhun focuses on a *blind* pianist who *witnesses* a deadly crime and is forced to report it to authorities, and things go awry after several reveals/double crosses that lead to a third act so extravagantly convoluted that it's actually quite awesome. Am I being vague enough for you? This is like a soap opera, in the vein of Pulp Fiction, with a dash of La La Land & Seven Pounds, inspired by Fargo, and directed by Quentin Tarantino. If that doesn't sell you then I don't know what will. Seriously, just watch it.8.7/10",Andhadhun
3,westsideschl,Let's Hear it for the Rabbit,9,17 March 2019,"What the heck let's hear it for the rabbit, but pay attention to our one eyed appropriately blind rabbit. Our movie starts out w/a rabbit (animated, but somewhat realistic) w/an attitude munching away in a farmer's cabbage patch (sampling only the best parts from each head) which might seem odd for a Bollywood film, but the intrigue is only beginning. Good acting (Khurrana as blind pianist Akash), script, and murderous intrigue that keeps twisting to the end where you may have forgotten that rabbit.
Music: Some '70s, some contemporary. Khurrana learned to play piano for the movie, and sings one song.
Not typical Bollywood because the foundation to the script was taken from a French short film (14 min.) called ""L'accordeur"".",Andhadhun
4,nairtejas,Long Review: Andhadhun (6 Stars),6,6 October 2018,"Andhadhun (Indiscriminate) is the type of film that is made for perfect mass viewing. It can be enjoyed by anyone and everyone who has an interest in the arts and in the idea of big screen entertainment. A crime drama that pays homage to human follies, Sriram Raghavan's latest feature scores points in all the departments except it does not take into consideration the decreasing attention span of its viewers.It is almost impossible to believe in the characters in Andhadhun. Yet they are some of the most charismatic and natural ones that I have seen in Bollywood so far this year. Starting with Akash (Ayushmann Khurrana), a young and attractive but down and out piano player who cannot see in the eye (or so he claims), who finds himself not once, but twice in situations that he shouldn't have been in. Situations that make his life hell and his dream to fly to London a more distant one. And that also doubles the job of Simi (Tabu), a failed actress married to a popular and successful and 2x older film actor of the 70s. There are so many turns and twists - that generate 'laugh out loud' comedy on the way - it is an uphill task to follow Andhadhun even as Akash romances his cutie girlfriend (Radhika Apte) and Simi tries to cover up her mistakes through more mistakes with the help of the police. There are too many mysteries to solve and questions to answer in director Raghavan's twisted crime comedy, which it somewhat automatically does in the second half. If you have not grown restless by that time, that is.Andhadhun is a mess, which is why it is a great picturization of the dog eat dog world that we currently live in. Akash's predicament is relatable and so is Simi's because try as they might, they cannot easily get out of the mess without sacrificing anything, whether it's a pair of corneas or a life partner. At every corner, it becomes more and more interesting to watch the drama unfold, regardless of its artificial elements. The upbeat songs by Amit Trivedi and background score will prevent you from dozing off, but towards the second half, you are bound to stop and wonder: where will this end and when? The film puts you in a predicament that you probably recently were in while watching Abhinay Deo's black comedy, Blackmail (2018), where Irrfan Khan's character triggers a series of blackmails after he see his wife canoodling another guy. In comparison, Andhadhun is funnier and has one of Vivaldi's Four Seasons to back it up.The film is elevated by its musical support more than anything. Trivedi's 'Naina Da Kya Kasoor' and Raftaar's titular track are played early in the film to showcase the cheerfulness of human life. Akash's blindness is not a hindrance to him anymore to enjoy life. But it does become one thanks to his own artistic capability in the same department. The actors and their acting come second in Andhadhun, and it is actually surprising to see the same level of energy and talent in all the actors. Khurrana, Apte, Tabu all put up powerful performances and are majorly supported by Manav Vij, Anil Dhawan, Zakir Hussain, and Ashwini Kalsekar - all playing memorable characters. If I had to select the best performance out of them, I'd give the plaque to Tabu, who previously impressed me after a lot of years in Mukul Abhyankar's crime drama, Missing (2018). She just puts herself out there - bare, vulnerable, and looking like a fire - and then unleashes her acting prowess with that coarse voice of hers.Khurrana, on the other hand, has been consistently giving out hits, and is anticipating another one (Badhaai Ho) in a matter of weeks, which deservedly puts him among the most talented and bankable young actors of Bollywood. If you are following the Indian entertainment circle, Apte is everywhere. And there's a reason for that. Overall, director Raghavan - who is known to go full board with his projects - manages his cast and crew well, with only few shortcomings in the technical departments.Andhadhun briefly reminded me of the good old days of silent comedies where everything on the screen was extraordinarily entertaining majorly supported by the score. There's a scene at the start where Akash is playing the piano and two people in front of him are foolishly resorting to their basic instincts. Not a word is spoken in those 10 minutes and yet it is the perhaps the most memorable scene in the film. It's pure cinematic brilliance, which unfortunately fades away in the second half as you complete watching the film in labored breathing. TN.",Andhadhun
5,briancham1994,Impressive undertaking,9,18 July 2021,"This film was quite impressive, taking a deceptively simple premise and extending it for a lengthy runtime without ever getting stale. The acting of the protagonist, a seemingly blind pianist, was incredibly genuine and imparted great emotional stakes. The tension throughout the film is palpable as every character is caught up in schemes beyond their control and all struggle to survive. After a point, it becomes convoluted and far-fetched, and the ambiguity of the ending seemed oddly contrived, so I can't give it the perfect rating it might have deserved in better circumstances.",Andhadhun
6,Thanos_Alfie,The blind pianist...,7,28 February 2020,"""Andhadhun"" is a Drama - Thriller movie in which we follow the live of a blind pianist that changes after some mysterious events. He is obliged to report a crime that he should technically know nothing of and try tell the truth about everything and everyone.I have to say that ""Andhadhun"" was a good surprise for me because I didn't have high expectations from it and it was simply amazing. I enjoyed watching it because it has much of suspense and it was very interesting. The interpretations of Ayushmann Khurrana who played as Akash was simply excellent and Tabu who played as Simi was equally good.",Andhadhun
7,Fella_shibby,Chaotic n hilarious with an amazeballs ending.,9,10 October 2018,"I saw this in a theatre. Being a fan of the director's earlier movies, I was looking forward to it n I enjoyed it tremendously inspite having seen The Piano Tuner.I liked this more than the original.The screenplay is awesome. The writing team n the director did a fantastic job n successfully made the transition of a short film into a feature.The potential challenges of losing the heart of a short film while making it into a feature is always present but the makers of Andhadhun really succeeded in laying the foundation for future talents.Coming back to the film, it is chaotic, hilarious n very ntertaining.It is well paced and has funny situations as well as a black sense of humor.Watch out for that shady hospital scene man.The movie is well cast, with amusing performances by Ayushman n Tabu.The director did a superb job n was definitely having a little fun after the dark thriller Badlapur.The music at the murder scene will remind A Clockwork Orange.",Andhadhun
8,Kdosda_Hegen,One of the best thrillers of decade.,9,10 April 2020,"This movie was surprisingly good. It starts as a romantic comedy, but later turns into the most thrilling and suspense thriller you could imagine. Each time you think this is over, the plot pulls new tricks to keep the story going, it's brilliant.",Andhadhun
9,andrewchristianjr,SUPER CLEVER!,8,16 October 2020,Clever idea. From dark humor to the bizzare murders. Amazing thriller from start to finish. Brilliant acting and music got along well. Nice finishing touch.,Andhadhun
