,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,"While it seems like a super-offensive film, it actually is incredible social, political and media commentary.",9,23 May 2016,"Imagine a film made guerilla-style like ""Borat""....but with a guy dressed up like Hitler walking about modern day Germany! Well, you don't really need to imagine too much as some crazy filmmakers have done that with the film ""Look Who's Back""!! Yes, a film crew follows Oliver Masucci as he impersonates Hitler and plays it 100% straight!Unlike ""Borat"" where you know that it's just Sasha Baron Cohen pretending to be from Kazakstan, in this film Masucci plays it as if he really is Hitler and never breaks character. When the film begins, he is inexplicably transported from Germany in 1945 to the present day. At first, he's very confused. Then, he develops a plan...to return to politics and take Germany into the future! To do this, he enlists the help of an unemployed filmmaker, Sawatski...and together they travel throughout the country...meeting people, talking politics and becoming an internet phenomenon! Where does all this lead to? See this very insightful film.The idea of this film is thoroughly distasteful and I actually thought might be illegal in light of German laws about the portrayal of Nazis and Hitler. However, the film manages to somehow be funny, great political commentary and not as distasteful and awful as you might imagine. This is because some of the folks in this film are not actors...and their reactions to Hitler are incredibly telling. Many of them seem to like Hitler and his message...especially regarding the negative influence immigrants have made on Germany. Again and again, folks agree with 'Hitler' and his crazy ideas while others just think it's a funny or incredibly unfunny joke...and these reactions are indeed fascinating. In addition, the way that television takes to him and his crass message is a real indictment of the moral bankruptcy of many in the media...and one that is highly reminiscent of the great 70s parody, Network.Before you start sending me hate mail, I suggest you try seeing this odd and incredibly offensive film for yourself. While it clearly is wrong on one level...it manages to actually have some incredible political and social commentary...making it clever and a sad indictment of the culture and the media. The film's contention, amazingly, is that he'd probably fit in just fine if such a thing actually did happen! What an unusual and compelling movie...and one that just debuted on Netflix this month. Clearly, you ain't seen nothing' until you've seen this one!",Look Who's Back
1,Horst_In_Translation,"Good movie, but would have been better as 100% comedy",6,2 November 2015,"""Er ist wieder da"" is the newest movie by writer and director David Wnendt and just like his last one ""Feuchtgebiete"", it is based on a novel. It's Wnendt's 3rd pretty well-known movie and just like with the one I already mentioned and with ""Kriegerin"", he cast a fairly unknown actor as the lead actor again. I am not aware with Oliver Masucci, but according to his filmography he has not been in movies/television since 2011. Still, he did a pretty good job here. As the film continues during its almost 2 hours, it becomes more and more dramatic while still containing comedy elements. I am not saying it was a failure dramatically as there is an interesting take on our society today and also on the quality of German television at this point that is very critical and inspires you to think. However, I believe this film works best during the funny parts.For example, Hitler hanging out all day long in paper stores or him mistaking ""Arbeitslage"" für ""Arbeitslager"" was hilarious. And Christoph Maria Herbst imitating the famous meltdown by Hitler from ""Der Untergang"" was just priceless. I also found the quote funny that ""Jews"" are not funny and should not be part of the comedy program/movie, which was quite an interesting reference in terms of us actually watching the movie and they included it the very same moment they criticized it allegedly. Yes this is certainly a film which is not particularly politically correct, not to say not politically correct at all. Just remember the racist jokes scene. Still, this is exactly my kind of humor and I enjoyed most of the comedy in here. However, I felt that some of the dramatic sequences lacked focus or just relevance other than making this film look more significant than it actually was. I am not sure why these were included. The are so many serious German films about Nazis, not only historical ones, so it was really not too necessary to add this one to the list. I would have preferred a 100% comedy movie. And I did not like the ending at all, possibly the weakest part of the film. It felt like Wnendt/Vermes wanted to go out on a boom, but it was just a big mess in my opinion with the boundaries between reality and fiction blurring more and more until they disappear to the audience. Not very convincing here. Too smart for its own good. Still, as a whole, this was a good film, entertaining 115 minutes and I recommend it. If you like it, also make sure to check out Helge Schneider's Hitler film. Very funny as well.",Look Who's Back
2,kosmasp,Laugh or cry?,6,20 April 2016,"He's back .. on the big and small screen that is. Hitler will always be a (dark) part of German History. And a book was released a while ago, that had him coming back, seeing what the world became after he went away. Since I haven't read the book, although it was highly suggested to me by a friend, I cannot comment on what is missing from the book.What I can say is that it looks like the movie is 50 % book related material and 50 % ""Borat"" style material. What do I mean by the latter? Hitler is going out on the streets, meeting real people and talking to them. Reactions there seem to be real, as the end credits show, when he is driving through Berlin and people wave at him, chuckle and think it's funny. Unfortunately right now, the situation in Germany doesn't seem as funny and people from the right wing win a lot of people over who are frustrated with the state of politics today ... not thinking clearly and spewing hate. Something that is very obvious in the movie too.Is that funny or entertaining? That depends on the viewer ...",Look Who's Back
3,ComedyFan2010,An interesting message in a movie with a creative idea,8,17 June 2017,"A movie with a great idea of Hitler waking up in our time based on the book with the same title.I liked it for the most part. I liked the idea and how it was written. Bringing the humor and at the same time sending a message with it. It is especially well done how the movie flows. At first it is more of a lighthearted comedy which gets more serious with the time and the last scenes of it are not about humor anymore but summarizing the idea of how Hitler would have a chance in our time to repeat the history. |We get the mockumentary moments where Hitler talks to people and they give him their views on current politics and what bothers them. I have looked into it and seems that they were all staged and just presented as real interviews. It is pretty well done though how most look at Hitler not as a history monster but entertainment and are exited to take selfies with him.The portrayal of Hitler by Oliver Masucci is great. He presents the Hitler energy and charismatic speaking very well. He makes us kind of like Hitler. He is that interesting outspoken guy even though in the back of our mind his crimes against humans in the past remind us of who he really is. And from time to time his actions, like killing the dog, bring us back to reality that he is not a nice human being. Yet this portrayal of Hitler as a man we are drawn to and enjoy listening what he says about wanting to improve his country instead of showing him as a caricature monster shows how we can still be influenced and manipulated these days even by somebody with the views that we are so sure we will not repeat by having learned from the past.The scenes of him talking on TV and being taken in are also a great part of it. As well as some people realizing that he is not seeing just as a comedian by people as he was in the beginning but that they actually like what he says. This is this nice transition of people being taken in but what they think is harmless entertainment and swallowing propaganda. We have also a great scene of the grandma looking at Hitler and recognizing him from the past which gives a comment on this with her remembering how at first people were also seeing him as harmless.Besides the main idea of the movie I also enjoyed some laughs at Hitler discovering the modern world. Especially him going to dry cleaning, watching TV and being upset over so many cook shows selecting the Greens as his favorite party and exploring the internet which he then sees as a great propaganda tool which it is.I guess I am just not too much into the very left wing bias which makes us think of every person who has any concerns and does not 100% agree with the left. Mind you I have never voted for the right wing. But I am irritated by every person leaning right being linked with Hitler. There is noting eye opening or revolutionary about it, it is the norm of today. Left propaganda is as real as the right one and I have felt a slight stench of it in this movie. I am interested in reading the book now because from what I have read it is not having those propaganda elements but is an intelligent book with a thought provoking message.But for the most part I liked the movie. It had it all together, a creative idea, good acting, fun and serious moments and a way to bring the view of the ones making it in a creative way.",Look Who's Back
4,grantss,"Incredibly funny, just a pity about the uneven dramatic element",7,6 October 2018,"Adolf Hitler wakes up in Berlin...in 2015. After getting his bearings he is discovered by an unemployed TV producer, Fabian Sawatzki. Sawatzki thinks Hitler is some sort of performance artist and takes him around the country, talking to the general population, for a TV piece he has envisaged. Hitler, however, sees this as a chance to regain his popularity and power.From the synopsis you know already this is hardly your average movie. The central plot is quite preposterous but works. Hitler coming to terms with 2015 has a Borat-like feel to it (which is a very good thing) and, like Borat, leads to some really funny moments. It also provides an opportunity to critique our modern lifestyle - the whole ""you have this wonderful medium called television and yet you fill it with banal, unintelligent crap like cooking shows"" observation was absolute gold.However, while it works very well as a comedy, this is undermined by writer-director David Wnendt trying to turn it into a drama with a political and social message. Nothing wrong with that, generally, but it is quite badly done here. The plot and message are incredibly muddled, and mostly seem to consist of having a go at the right-wing of German politics, without proposing any alternatives or solutions. At one stage there is even the implication that democracy is bad because it allows the Hitlers of this world to be elected. Ok, but what's your alternative?It also doesn't help that you need to know a fair bit about current German politics and societal problems to understand the issues and get some of the jabs, and I don't.The dramatic part of the movie spills over into the comedic part, in that it ruins the flow of the comedy. Furthermore, it is difficult to take the dramatic parts seriously, after the comedic element. This said, it is never dull and when it's good, it's great. The scene that parodies the famous war-room scene from Downfall is brilliant - very clever.All this is enhanced significantly by a superb performance by Oliver Masucci as Hitler. He looks like Hitler and has the mannerisms now pat - incredibly convincing.",Look Who's Back
5,Uriah43,A Comedy with a Serious Message,7,7 May 2016,"This movie begins with the person of ""Adolf Hitler"" (Oliver Masucci) being resurrected in 2014 from the exact place where his body was doused in gasoline and hurriedly buried. As he awakens he discovers that things are not the same as when he left. However, although the Germany he knew no longer exists the ideals that he once possessed still remain and he immediately goes about assessing his new environment in order to adapt his message to the people of today. At first everybody assumes that he has merely assumed Hitler's image in order to facilitate his role as a comedian. But the more he speaks to mass audiences the more people realize that he is quite serious-and they like what he has to say. Now rather than reveal any more I will just say that, although this movie certainly has its share of humor, it also contains a much deeper message which some people may not be able to understand. For that reason this film is much more than a mere comedy-it's a warning of what can happen when people allow politicians to manipulate their darker impulses in order to gain power. And Germans aren't the only people capable of falling into that trap. At any rate, all things considered this turned out to be a pretty good movie and I have rated it accordingly. Above average.",Look Who's Back
6,bombersflyup,A fascinating premise.,8,8 April 2020,"Look Who's Back is engaging, funny, clever and original. Oliver Masucci terrific as Hitler.Almost brilliant, however the drama elements aren't up to par, nor does it finish memorably, given the level attained and avenues available.",Look Who's Back
7,Wizard-8,Intriguing idea is handled inconsistently,5,11 April 2020,"The idea behind this movie - Hitler finding himself in the 21st century and reacting to (and using) modern day Germans and new technology - is one that's both very intriguing and full of potential satire and humor. However, the end results are kind of a mess. On the positive side, the movie's dark attitude to the drama sometimes really hits the target, revealing that some evil opinions are still in a lot of German citizens and could be reactivated easily, as well as giving a plausible look as to what Hitler would use in this day and age (such as the Internet) to get what he wanted. At the same time there is plenty of absurdity that prevent things from being so black that all the entertainment is sucked out.But the movie has just as many flaws as it does virtues. One flaw for some viewers who are not German is that the movie seems squarely aimed at a German audience who will understand all the references to present (and past) German society. I admit that some references left me scratching my head. Another problem is that the story really jumps all over the place. Plot threads are dropped for a long time before resuming, the improvised bits don't really fit with the scripted material, and there are also a lot of unanswered questions here and there. A third problem is that the production values are quite often pretty tacky and cheap, which makes this world have less of a believability than what was intended.So as you can see, the movie has its ups and downs. Is it worth watching? Maybe. I would recommend you start by watching the first thirty minutes. If you find enough interest (and also are able to look past the flaws), you might get enough out of the entire movie, especially if you can watch it for free. Though it may be best to watch the movie in thirty minute chunks so that the flaws don't get too overwhelming at any sitting.",Look Who's Back
8,deloudelouvain,Not bad but not great either,6,14 February 2017,Even though German is not the most pleasant language to listen to because it all sounds so aggressive all the time in this movie it works rather well because Adolf Hitler's speeches were also aggressive all the time. The movie itself is a dark comedy with sometimes a political view of modern society. It shows a lot of what is happening in Europe and what people complain about. Well at least what right wing people complain about and think about the situation because I couldn't care less about races and ethnicity's. You have good and bad people in all ethnicity's. The movie has some funny moments. I know I laughed a couple of times but for the majority of the movie I thought it was sometimes a bit long. Oliver Masucci as Adolf Hitler plays his role really good though. He has the physics and the perfect intonation in his voice to play Hitler. It's a good movie to watch once but I won't watch it a second time.,Look Who's Back
9,Pjtaylor-96-138044,"If it walks, talks and acts like a duck...",6,17 January 2020,"'Look Who's Back (2015)' walks on very thin ice for its entire duration. In fact, you're not even sure it isn't going to fall in until its final few moments. It's a dark satire that ponders over what might happen if Hitler somehow arrived in the 21st century, using a mix of real-life and staged footage. Basically, it posits that the same attitudes that led to Hitler's rise to power in the 1930s are still prevalent today. It tackles a plethora of themes and is only subtly opposed to them, trusting its audience to understand what it's trying to say. However, you'll only get out of it what you put into it; if you think Hitler was a diabolical person with diabolical beliefs then the flick will reaffirm that, if not... well, you're no friend of mine. The thing finds its success in its brazen ability to cut to the candid heart of the issues it tackles, working much more as a fairly disturbing drama than as an 'edgy' comedy. It isn't all that well-made and it isn't hugely entertaining. It's strangely engaging, though, which is partially because you're constantly trying to figure out where it stands. It also bends its documentary, mockumentary and traditional sequences rather well, helped by an all-in lead performance and the actor's uncanny ability to improvise in character. The affair is slightly hypocritical in that it says you shouldn't give a platform to the sort of hate Hitler spews (even if it's masquerading as satire), yet does exactly that simply by featuring it (even though, ultimately, it decries it). It's an interesting and often uncomfortable watch that's difficult to put your finger on. In the end, I think it's decent. 6/10",Look Who's Back
