,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,nairtejas,One-Line Review: Simmba (2 Stars),2,25 March 2019,"Rohit Shetty's Simmba is made to appeal to the masses - with an overacting, highly energetic, and corrupt cop (Ranveer Singh) who comes to his senses after a tragedy and pulls up his socks to right his wrongs - using the most absurd narrative for a film you have seen since Golmaal Again (2017) but you already knew that. TN.",Simmba
1,SAMTHEBESTEST,SIMMBA ROARS ENOUGH FOR A SUPER HIT,7,28 December 2018,"SIMMBA REVIEW :Simmba might be remembered for the Best Ever Surprising Cameos in any Rohit Shetty Film. As promised it is a Perfect Mixture of Comedy, Romance, Emotions, Hit Songs, Mass Elements and true Blockbuster cameos by Ajay Devgn and Akshay Kumar. Ranveer Singh makes a Solid entry in Mass genre while Rohit manages to keep his standard on his own level. Along with the wholesome Entertainment package Simmba also tries to spread awareness on Sensitive topic like Rape cases happening in our nation giving the reference of Nirbhaya Incident.Simmba is a Story of an Orphanage child who becomes a Cop, Sangram Bhalerao (Ranveer Singh) and he is dishonest to his Uniform, his job but loyal toward money and extortion. How he faces some painful incidents and that turns him into an Honest Cop, this entire journey is presented in Entertaining way. Ranveer does so much Overacting (Writing Mistake) in 1st half, the kiddish accent, the sloppy english he speaks might irritate you on alternate occassions. Then we see real Actor Ranveer in 2nd half, you see that anger, you feel the Rowdyness and you clap on his Dhaasu Dialogues plus machoism. Sara Ali Khan looks beautiful but has got very limited screenspace. Supporting cast includes Siddharth Jadhav, Ashutosh Rana, Vaidehi Parshurami, Neha Mahajan and many more marathi artists, is Fab. In negative roles Sonu Sood, Saurabh Gokhale are impressive. The best thing about Simmba is it's Script, why? Because it never goes illogical, it is sticked to the Logic, it is sticked to the Reality. The problem appears in Screenplay which is extra Lengthy, especially in 1st half, it could have been much more engaging or we can blame editing to the some extent for the same. Music is Amazing, all 3 hit songs 'Aankh Marey', 'Tere Bin' and 'Simmba' comes in the 1st half only to make the lengthy 1st energetic and then 'Mera Wala Dance' is End Credits song. Cinematography is good, action sequences are massy, punchlines have humour as well as slapstick one liners. Director Rohit Shetty has done what he is doing since years, he might have not hit the high level bar but he doesnt go too down either.Overall, Simmba is a Good Entertainment Package to buy in festive weekend for the families. It had the chance to go to Singham Level (High Repeat Value and No Loo Breaks) but misses due to Screenplay and controlled vision of Director. Still, it is 2nd Best film after Singham of Rohit Shetty in Action genre, hence better than Singham Returns. It might have ended as an Average affair but the Trick of cameos by Rohit Shetty has worked big time. The way Ajay Devgn sets the screen on fire and Akshay Kumar surprises at the end, both the things uplifts the tempo in the 2nd half to End Simmba on a Very Good note and that makes you leave the auditorium with sufficient happiness. As far as Box Office is concerned, there should be no stopping in the Extended Weekend for Simmba and it will surely emerge 2nd or 3rd Biggest Grosser of Ranveer Singh. In the Sense, this is 6/10* film but i am adding 1* extra for the Dhamakedaar Cameos l, therefore 7/10* Go For it....",Simmba
2,Fella_shibby,"How, this far into the 21st century, does a film like this get made? Lots of overacting.",1,30 October 2019,"My original review which got more than 300 likes got deleted cos the fellas associated with this lousy film cannot digest opinions. IMDb is flooded with fanboys of lousy actors who cannot respect opinions.I never put spoilers, or abusive or irrelevant stuff.
This proves that IMDb of lately been hijacked by fake reviews.I can still copy paste my review which is saved but this time I jus want to write something different.
As a fan of Ajay Devgan, I am really shocked that he agreed to star in this pathetic film.
The overacting by the lead actor became an enduring torture to sit thru.
The script, direction, acting, editing n cinematography, r all worse than Ed Wood films.Massive narrative sinkholes, outstanding disbelief in the muddled writing and shockingly pathetic over acting. This film is a torture to sit thru n without a doubt the most inept and atrociously awful film ever made.",Simmba
3,sauravjoshi85,A typical Bollywood masala flick,6,29 December 2019,"Simmons is an action comedy movie directed by Rohit Shetty and stars Ranveer Singh, Sonu Sood, Ashutosh Rana and Sara Ali Khan in the leads.The plot of the movie is very predictable which tells the story of a corrupt police officer whose life changes 360 degree when he came across a life changing incident BUT the beauty of Rohit Shetty is that he knows the quality of making a simple plot into watchable and somewhat enjoyable. He knows the nerves of Indian Audience and delivers as per their liking and expectations.The acting of Ranveer Singh is okay and looks like he is doing overacting in some scenes. Sara Ali Khan is just for couple of songs and hasn't got much screen space. Sonu Sood is average in the role of a powerful gangster and he had done this type of roles in movies like Dabang and R. Rajkumar and there is nothing new this time also, Ashutosh Rana came on silver screen after a long time and impresses, he is a powerhouse of talent and could have been utilised much better. Rest cast is does a satisfactory job.The only thing which you will miss in the movie is typical Rohit Shetty stunts where the cars and villains fly in the air.Overall an enjoyable movie which will keep a smile on your face in first half and has some good emotional scenes in second halfThe climax awaits dual bonus for typical Rohit Shetty fans.",Simmba
4,Takethispunch,Hohoho. What a piece of regressive trash. Carry on bhakts.,1,2 January 2019,"What were the makers n star cast thinking man. Were they high on Datura or do they take the Indian audiences as foolish n dumb folks.
Awful script n tons of overacting by the lead actor.",Simmba
5,ketgup83,Ranveer Singh is electrifying and shines through out in this mediocre drama,6,30 December 2018,"Simmba was a masala popcorn entertainment which had Ranveer Singh written all over it.Simmba (Ranveer Singh) has been transferred to Goa and is happily settled. Things turns topsy-turvy when he steps into the way of Durva Ranade (Sonu Sood). What follows next is cold war between the two and how they fight for the survival.When you hear that Rohit Shetty has directed a film, of course you do not expect logic in his movies, forget about the content. I had kept my expectations low and went to see the film only for Ranveer Singh, after he impressed me as Alauddin Khilji in Padmaavat. These kind of cinemas generally does not have moral story and sense but they do have section of audience who loves to whistle to introduction scene of their hero, clap to the item songs and shout as their hero punches the villain.Surprisingly Rohit Shetty does a decent job in keeping you entertained but falls flat when it comes to story , screenplay and most importantly direction. Unnecessary inclusion of songs , less-impacting climax scene will make you gorge for more. The cinematography is excellent. Art direction is eye-catching. Background score relishes with the film. Action scenes are larger than life (as expected). Music by Amar Mohile and S. Thaman is good where they have recreated the ""Aankh Maare"" song from the 90's hit film, Tere Mere Sapne.Coming to performances, it is Ranveer Singh who gives in a knock-out performance with his quick-witted one liners, charming attitude , romantic avatar , shows off his well-sculpted torso without inhibitions. If you have loved the character of Alauddin Khilji in Padmaavat , you will adore him in Simmba. He is simply outstanding. Sara Ali Khan is passable. Ashutosh Rana surprises you. Cameo by Ajay Devgan is mindblowing.Simmba had potential to make it big but was saddened by weak direction. However, one makes who makes sure you sit right through the film is Ranveer Singh. He is surely a talent to watch for. Decent 2.75/5",Simmba
6,MuviFan73,Faith in Rohit Shetty movie restored!,7,29 December 2018,"Throughout the years a Rohit Shetty movie for me taking into consideration of whatever I have watched, it has been never been why did I watch it. My first decision if to watch a movie comes from trailer followed by IMDb ratings and other few factors. On the first day more than 60% rated the movie 1/10 on IMDb. Considering the director and first time a KRK review I went to see this movie and I was contented.The movie is how a rapist should be dealt with. The fate of such people (as shown) should be recorded and made viral. The people should fear before doing such a heinous crime.Major audience on IMDb belong the male members. Over that such a rating of major votes is worrisome.",Simmba
7,beevenkat,"#ranveersingh is king, not content",5,8 January 2020,"U will certainly forget the phrase 'content is king', when u watch #simmba. Here, #ranveersingh is king, not content. Hes excellent in a film which isnt. He kicks, he punches, he romances, he dances, he emotes. He does everything to enthrall u. The heroine doesnt do much, as per instructions given to her. The villain n his brothers do a lot of bad stuff, as expected. Womens safety, street kids education n mens upbringing r also discussed, so that u dont feel cheated. Rating 2.5/5.",Simmba
8,jetkot,Ranveer .has star power,10,24 April 2019,"The actor makes me smile in every frame. He does well in comedy, action, drama or even playing a character with grey shades. Simmba is not your friendly neighbourhood Robinhood at first but he has a change of heart. Rohit Shetty does not abide to the rules of the purists or the critics. He makes entertaining movies with flying cars and catchy action scenes. This film establishes the cop universe of Rohit shetty that started with Singham and will be followed by Suryavanshi with Akshay Kumar. This is bollywood masala entertainment. If you do not like spicy masala entertainment then skip it and watch more meaningful cinema",Simmba
9,Magow-Intermean,Simmba Review 💯🇮🇳 Review,9,19 January 2019,"""Mind is blowing,"" thunders Simmba whenever something makes him happy. And nothing makes him happier than money. His mantra in life is to do beimaani with full imaandaari. Ranveer Singh as the corrupt police officer is in top form in this massy entertainer. Right from the first scene he captivates your senses with his disarming charm, even when he's not doing the right thing. Ranveer lives the character of Simmba with zest and aplomb, aided by massy wisecracks in an endearing Marathi accent that will make you chuckle. But as the film gets progressively serious, his easy banter turns into tough talk for the bad guys, topped with solid action and emotion. Whether it's the funny first half or the grim second half, Ranveer packs quite a punch.
His leading lady Sara Ali Khan, however, has precious little to do besides looking breathtakingly beautiful. The chemistry between Simmba and Shagun (Sara) isn't particularly crackling and their meet-cute scenes seem more contrived than convincing. Instead, what comes off as more natural is Simmba's connect with character artistes, with whom he forges familial ties.
But that and everything else happens in trademark Rohit Shetty style. This is his brand of cinema, where the hero has a larger-than-life swag, but is also relatable to the common man. There are the usual caricature bechara baaps,betis and behenas, convoys of endless SUVs speeding across Goa and burly bad men. There is also a dashing villain, who has the local police and politicos in his pocket. A dapper Sonu Sood fits the bill as Durva Ranade as a family man on the wrong side of the law. He ably depicts the conflict of a man who has to protect his own, despite their misdeeds.
Amidst all this, the film delivers what it sets out to do - give us full on masala entertainment along with seeti-inducing scenes.For example, you cannot help but feel a sense of pride when Ranveer stands tall in a tight fitting khakhi and his otherwise critical subordinate Ashutosh Rana finally salutes him. All the same, you will also feel the unease at the over dramatic portrayal of so many character artists as caricatures.
In the second half, however, the film also turns into a preachy discourse on safety of women and a campaign against sexual predators in our society. The narrative is predictable and there is hardly an element of surprise.
In music, 'Aankh Maare' stands out for its high energy beat and so does the romantic track 'Tere Bin' for its melody and exotic picturisation.But overall, Simmba is a potboiler that you expect it to be, where the good surely outweighs the bad. There are enough paisa vasool moments including the cameo by the original Singham, Ajay Devgn. And it doesn't end there. Shetty leaves you with a parting shot of another superstar already revealing the first look of his offering in 2019.",Simmba
10,Li_85,Honest Review from Movie Expert,5,30 December 2018,"I have seen the original Teluga version ""Temper"" and was excited to see the hindi remake. I love Rohit Shetty and Ranveer Singh and looking forward to Sara Ali khan.Good Direction, Good Acting by Ranveer, Ashutosh Rana, Sonu Sood, Sara was OK, its a small role to be fair on her.But, The original Temper was much more Better, This was a oppurtunity to make the movie better. The original Temper, NTR Jnr was Fantastic. The story was much more gripping and tense. NTR helps the bad guys escape jail, works for them without knowing what they did, The character vuild up was much more better in Temper.
Spoilers - The poor girl gets raped in Simmba. But in Temper, The poor girl gets kidnapped, raped repeatedly, held captive for 40 days, Tortured, burnt, acid, whipped, beaten. Brutalized and humiliated as they film this and make a dvd.
Its much more horrific and you feel for the girl much more and hate the bad guys much more, Temper ending was fantastic, they got a good death, Simmba was very simple death. They triied to copy another famous south indian blockbuster (Theri)
Overall, i am dissapointed with SImmba.",Simmba
11,msunando,A grim social message in the garb of a comedy,6,30 December 2018,"Simmba - lay down the red carpet for Inspector Sangram Bhalerao alias Simmba, a corrupt and unethical policeman in Goa whose only aim in life is to make money. He is an orphan, has no relatives and therefore, doesn't value any relationships too, until the rape and murder of a young girl serves as a rude awakening of his conscience. Jolted out of his narcissistic stupor, Simmba will go any length to bring the perpetrators to punishment and will use the weak links of the law to his advantage.Ranveer Singh checks all the boxes in his over the top avatar - he romances, dances, fights, does comedy and delivers his dialogues in a typical coastal accent like a master. He is ably supported by Ashutosh Rana, Sonu Sood and the usual battery of Rohit Shetty production characters in this year's last release. Simmba is a mainstream potboiler with all the modern gimmicks a la Rohit Shetty ishtyle. Sara Ali Khan has a little role but adds freshness.The movie is topical and at one point of time underscores the grim official statistics of rapes in India that serves as the backdrop and justification to the mode of justice meted out. The climax is engrossing with a number of surprises that I shall keep in the box right now - go and check it out yourself. The customary drumroll when Simmba walks with a swagger is energetic with a feel good factor. Enjoy this outrageous commercial venture and leave behind your brains - gawk at the brawn instead. I rate it 6 STARS.",Simmba
12,rish2006,Parody of Temper,1,13 July 2021,CopyWood will always continue their copying of south movies. The disappointment is that Rohit Shetty didn't make a proper remake of Temper but made a complete parody of temper with lame humor and terrible acting.Other people praising this movie have not seen Temper. Those who have seen temper will clearly find this Simba movie - A piece of s#!t.,Simmba
