,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,slightly better,6,15 September 2019,Max doesn't see the appeal of human babies until his owner Katie has a baby of her own. He finds himself falling for the kid to the point of being neurotically fearful for him. The family goes to the country where the dogs are mentored by the confident sheep dog Rooster. Max leaves his favorite toy Busy Bee in the care of Gidget who promptly loses it to the old lady's numerous cats. Snowball sees himself as a superhero ready to help the helpless. Daisy comes in looking for help with a tiger imprisoned in a circus.The first one is fine for little kids. It's loud and it's brightly colored. The story gets too big and too outlandish. This one is a little better. I don't find myself getting quite as bored with the story. The scale of the story is pulled back to a more reasonable level. The circus is probably as outrageous as it can get without going over. The plot does split up into three stories which is a major drawback. This franchise succeeds more when the characters join up and gain more chemistry. The gang needs to stay together. This one takes a step up from competent entertainment for little kids to acceptable time for a family to spend together.,The Secret Life of Pets 2
1,nogodnomasters,Are you sure that's my tiger?,6,18 June 2019,"The freshness of apply anthropomorphic qualities to animals has worn off. For some reason, the tiger and wolves don't talk. The film has several things going on at one time. The new baby issue didn't amount to anything. Max visits a farm. And a group saves a tiger. It has fun moments for the kids, but it lacked adult appeal.",The Secret Life of Pets 2
2,kosmasp,"More ""secrets"", more life",7,19 August 2020,"Obviously you have to have a heart for animals and pets to even begin to love or like this. Anything less than that, will not work for you or the movie watching experience you're about to engage. Having said that, that is just the lowest common denominator one has to have with those liking this movie (and it's predecessor).The other thing is, that the movie has to be good. And while I would argue it isn't fantastic or amazing, it is more than decent, if you let it. Yes some characters can be annoying to say the least ... but that seems to be their jobs, right? So if you don't mind this having cliches, being ""simple"" and other things like that, you will have fun. Especially if you watch with a kid.",The Secret Life of Pets 2
3,paul_haakonsen,Almost as good as the first movie...,6,2 March 2020,"This 2019 ""The Secret Life of Pets 2"" is a good animated movie, although not quite as marvelous as the 2016 prequel movie.""The Secret Life of Pets 2"" is a fast-paced and fun movie for the entire family. There is virtually something for everyone in the audience here, so you can sit down and be entertained, that is for sure.The CGI and drawing style is quite good and continues with the quality from the first movie, which is quite nice.They have a rather good voice cast for the various roles. Which is quite good, especially for an animated movie, where having a proper cast to do the voices is alpha and omega.If you enjoyed the 2016 ""The Secret Life of Pets"" animated movie, then you will definitely also like this sequel. There is a good amount of fun and laughter to be had throughout the course of this animated movie, that is guaranteed.I am rating ""The Secret Life of Pets 2"" a well-deserved six out of ten stars.",The Secret Life of Pets 2
4,view_and_review,Overcoming Fears,7,12 June 2019,"Part two of The Secret Life of Pets tracks three separate stories that are loosely tied together. There's Max (Patton Oswalt) who needs to overcome his irrational fear of everything. There's Snowball (Kevin Hart) who fancies himself a superhero of sorts and goes on a mission. And there's Gidget (Jenny Slate) who has to infiltrate a hoard of cats to retrieve a toy.The three separate story lines offered variety for the otherwise weary viewer. I thought the movie was adequate, nothing special. All of the main characters are comedians and I think they gave the script as much of a humorous vibe as they could. There were precious few laughs, even from my nine-year-old. Still, we left the theater satisfied.",The Secret Life of Pets 2
5,mm-39,Better than the Original!,9,26 June 2019,"Better than the prequel. The Secret Life of Pets 2 has three stories melded into continuity and humor. Pets and children was the theme with Max. Max the dog which over worries is with the farm dog Rooster (Harrison Ford's voice), who go on an adventure. Snowball is on an adventure to save a tiger, and Gidget must get Max's ball back, which are humorous adventures. The cat laser light scene is hilarious. Not much of Sweet Pea, the Budgie, regrettably, but Sweet Pea is cute as ever. Funny how the budgie looks over serious like budgies do. Not the usual over heavy social messages and formulated animal goes away from home and gets lost story. The animation was not the usual run of mill C G I style super hero movie. Worth watching. I was pleasantly surprised when I view a sequel which is better the prequel. Worth watching. 9 stars. Not one kid was bored during the whole film and audience was completely captivated.",The Secret Life of Pets 2
6,deloudelouvain,Better than the first one.,7,23 October 2019,"I might not have the right age anymore for those kind of movies but to be honest I did enjoy it. I watched the first movie and liked it, but to me the second one is slightly better. The humor is the best thing about this movie. It doesn't matter what age you are, humor is humor, if somethings makes you laugh enjoy it, and that's why I watched this movie. The voice-overs were better than in the first movie and the animation is just top notch.",The Secret Life of Pets 2
7,Mr-Fusion,A winning improvement!,7,10 June 2019,"This is a sequel that seemed to really pay off on the concept more effectively than the first movie. As funny as the exploits of a domesticated cat are (and Chloe continues to be my favorite character), the movie doesn't suffer when the pets leave their apartments and go on an adventure. Even the addition of Harrison Ford, playing to his curmudgeonly strengths, fits right in.Where I was lukewarm on the original, this is much more charming, and I can see this becoming another Despicable Me-esque franchise. I'm ready for more.",The Secret Life of Pets 2
8,cherold,As hilarious and likable as the original,8,25 August 2019,"This movie is essentially three separate plot threads - (in order of fancifulness:) dogs visit a farm, a different dog rescues a chew toy from a den of cats, a rabbit attempts to rescue a tiger - and then brings them together into a big finale.As with the first film, a lot of what makes this movie great is those simple observations of how animals behave - a cat trying to wake it's owner is hilarious because it's so on point - but it manages to blend this with totally absurd sequences like a bunny battling wolves.I don't understand why these two movies both have a relatively low rating of 6.5 on IMDB; me and my girlfriend love them both.",The Secret Life of Pets 2
9,FeastMode,not nearly as good as the first but still entertaining,6,18 October 2019,I enjoyed this movie. it was all amusing and a few parts made me crack up. but it wasn't as consistently funny as the first. and the story was all over the place. but i still had a good time with it (1 viewing 10/17/19),The Secret Life of Pets 2
10,Robert_duder,Cute but falls short of the original,7,10 June 2019,"I'm not sure what made the original so watchable, the cast is very good and the story was fun and how lifelike they make the pets seem. This all translates to the sequel very well. The cast is still great (Louis CK being replaced by Patton Oswalt is hardly noticeable) and Eric Stonestreet is not used enough in the sequel in my opinion so Duke fans might feel a little left out. Basically you get 2.5 stories all rolled into one movie and honestly any of those stories could have been fleshed out to make an entire movie and I think that's where SLOP2 falls short. It doesn't have one really good story and the characters don't get together enough until the very end and you have this trip to the farm which had potential for so many new characters (Rooster was a great addition and Harrison Ford did a terrific job!) Then you have the sub-story about Captain Snowball and the evil circus owner which easily could have been it's own movie. Then you have the sub-sub story of Gidget trying to retrieve Max's favorite toy from the cat-lady's house. All the stories eventually intertwine and each have their own ups and downs but you never feel really invested in any one of the storylines. Still the film is insatiably cute and the pets feel as real as they ever did. Chloe teaching Gidget how to be a cat was amazing. Other scenes felt a little forced to try to fit more of the original cast into it. Kevin Hart is terrific as Snowball and he really could have done his own movie I think. All in all kids will love it but I can see why it's not making the same splash as the original did. 7/10",The Secret Life of Pets 2
11,Edvis-1997,7,7,11 April 2021,"Well, first part had more whole family friendly episodes and this one is more childish and created for kids. Yeah it has some funny scenes with cats or Panda song at the ending but as an adult I found it kind of boring. Not bad but could be better.",The Secret Life of Pets 2
12,westsideschl,Voicing & Animation Quality,8,15 September 2019,"What makes a good animation besides the obvious storyline, & dialogue is animation quality & voice choices. Secret 2 did well on all. Storyline had humor & purposeful ethos for all ages. Dialogue intelligent (for animated animals) for the most part.
Animation quality was good (not the best, but better than most; e.g. had some static backgrounds, and some lack of individualized fine detail). Voicing was good w/the exception being name actors which usually don't add the idiosyncratic nuances that professional voice actors can give.",The Secret Life of Pets 2
13,briancham1994,Better than the original,6,31 May 2020,"I think I'm the only person who thinks this is better than the original. It is more streamlined and has less corny jokes. I wasn't sure if I liked all of the storylines - the one with Gidget was clearly far superior to the others - but they all came together in the end, redeeming the entire film.",The Secret Life of Pets 2
