,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Would have been a good film at half the length,4,12 October 2016,"Kevin Costner's second post-apocalypse movie in the same number of years after WATERWORLD is a real yawner of a film, simply because the limited story does not fill three hours of screen time. An hour and a half and this might have made a decent movie, but at three hours the pacing is a crawl and the film difficult to sit through without losing interest. As an adventure, it's also seriously lacking in the kind of action these films require, and the minimal battles and fights that do exist are rather mundanely portrayed and uninteresting. Instead, it appears that Costner is interested in the moralising, the sentimentality, and the occasionally pretentious storyline about an everyday drifter who pretends to be a postman and invents a story of a new government in order to bring hope to the post-holocaust masses.It has to be said that the story is original and interesting (a rarity these days), but the endless padding and cheesy romance between Costner and Olivia Williams seriously drags things down. Costner is adequate in the role as the hero but seems unsure of himself at times, just giving vague expressions instead of acting when he has to. Instead of the clear-cut heroic roles of his past, instead he's portrayed as a pacifist and occasional coward who only fights after being hunted down by the enemy. His thunder is somewhat stolen by the superb and underrated Will Patton as the bad guy, General Bethlehem, who gives an in-depth and multi-layered performance as the intelligent villain and has a great screen presence - it's a shame this man doesn't get leading roles. Larenz Tate is also good as the young patriot, but Olivia Williams and her corny romance belongs in another film. The supporting cast is littered with the familiar faces of James Russo, Daniel von Bargen, Tom Petty, Giovanni Ribisi, and Joe Santos, but nobody gets a look in much and the only developed characters are Costner, Tate, Williams, and Patton.Without a doubt, THE POSTMAN has some great cinematography in places, especially in the sweeping vistas and magnificent landscapes it often uses as a backdrop. Yet the special effects are kept to a bare minimum, thus alienating the young thrill-seeking crowd, and after the blood-and-thunder of the likes of Mel Gibson's BRAVEHEART, audiences weren't expecting this off beat, slow-paced and preachy epic. I didn't hate it as much as some, but I did find it hard to keep up the energy of watching it in places. Probably the best aspect of the story is its originality, but this frequently means taking the tale into unsatisfying areas. Not a total failure, but that running time is a real killer for this kind of story.",The Postman
1,SnoopyStyle,like the idea but so many problems,4,18 May 2015,"It's 2013. The world is desolated after wars. A man with no name (Kevin Costner) travels the American west with his donkey Bill. He tries to avoid any civilization. He's performing in a settlement when the Holnists led by General Bethlehem (Will Patton) come demanding ""Pure Blood"" recruits. The man is taken, his donkey is killed and he's given the name Shakespeare. He escapes and finds a mail truck. He wears the uniform and takes the mailbag. He uses the 15 year old letters to con his way into Pineview pretending to represent a restored federal government. He is overwhelmed by the town's hopes. Ford Lincoln Mercury is taken by him and begs to be sworn in as a postman. Sheriff Briscoe is suspicious and kicks him out. Abby and Michael can't have children. They decide to have Abby conceive a child with the postman.I really like the idea of communication reviving civilization. If only the movie stuck with that simple idea. Not to mention the fearsome three hours running time. Like Waterworld, this has a lot of goofy post-apocalyptic ideas that take the seriousness out of the movie. The Holnists should lose some of the silliness while maintaining the dark menace. Abby and Michael should be much more simplified. Trying to romanticize Abby and the postman is a fool's errant. It would so much better to have a single Abby falling for the postman. I like Ford Lincoln Mercury's story but not his name. The movie needs to simplify and shorten the plot. It has some great sentimental melodrama but it's destroyed by the overlong overwrought silliness.",The Postman
2,gavin6942,"Gunfire, Cannons or Snow... The Mail Must Get Through",7,4 September 2006,"This film is most popular among women under the age of 18. I can't really fathom why that would be, but maybe there's a whole other aspect of this that I missed.In 2013, the United States has been destroyed for about 15 years, and only the very basic technology is available. Something like the Civil War, but with machine guns. After escaping an army and pretending to be a postman, Kevin Costner sets out to rebuild America.The only bad thing I can say about this film is that some of the actors were really poor. Two or three of the minor roles had very hammy actors that ruined the scenes, but overall the acting was quite well done.The plot is wonderful. Certain plot holes exist if you pay attention (I noticed for example that everyone knows the president is in Minneapolis, although the only time Costner said this was in private to the enemy) but the overall premise of rebuilding through the use of communication is somewhat realistic and a very intriguing idea if nothing else.The woman playing Abby was great, maybe even greater than she was in ""Rushmore"" (though that film reigns supreme). The kid playing Ford Lincoln Mercury was a bit over the top, but it seemed to fit his character well. And Will Patton? A dazzling display of pure evil. As he himself says, great men make great men -- his evilness only serves to make Costner a greater hero.The music was very odd (""Come and Get Your Love""?) and needed more Tom Petty. Petty himself needed a bigger role, and did great with the part that was given to him.Some people will complain the film is too long (178 minutes). While I agree the film seemed long at first, once I became engrossed in the film, I would have been willing to watch another two hours of this world. You really don't want to say goodbye to Abby, the Postman or even to General Bethlehem. They are powerful and charismatic characters.Could this film be even better than ""Waterworld""? I am undecided, but it is certainly in the running as the best Kevin Costner film ever made.",The Postman
3,jboothmillard,The Postman,3,13 March 2009,"I had heard about this film purely because it is known as one of the biggest high budget film flops in Hollywood history, I just had to see why, from Razzie winning actor-director Kevin Costner. It is the year 2013, civilisation has destroyed itself and there is no government, and people are struggling to survive against starvation and armed rogue groups, one of which being the Holnists, led by the delusional General Bethlehem (Entrapment's Will Patton). Many men are kidnapped by the groups, forced to become soldiers, including a drifter (Razzie winning Costner) who manages to escape. He hides in an abandoned jeep, where he finds a skeleton wearing a postal uniform, and also a mailbag full of undelivered letters, so donning the uniform, he cons his way into a small village posing as ""The Postman"", and representative of a restored United States. He isn't believed by people for a while, but admirers and followers soon follow him with his faith in humanity, he becomes quite a famous man in fact, and they soon prepare to go against the Holnists and bring them down. Also starring Larenz Tate as Ford Lincoln Mercury, Olivia Williams as Abby, James Russo as Idaho, Tom Petty as Bridge City Mayor, Daniel Von Bargen as Pineview Sheriff Briscoe and Lost in Translation's Giovanni Ribisi as Bandit 20. It doesn't feel like one of those that should be one star out of five, but I can agree the film should have been cut down from two hours fifty minutes, it does get a little boring after Costner has delivered the letter that gets him on his way, and I do wonder how this film could cost $100 million to make? It won the Razzies for Worst Picture, Worst Original Song for the entire song score and Worst Screenplay, and it was nominated the Worst Picture of the Decade. Adequate!",The Postman
4,dbborroughs,Painfully bloated and overlong,3,12 February 2005,"Why is this film three hours? More to the point why does anyone think this film should be three hours? The mind boggles.This is the story of a ""postman"" who accidentally begins to bring America back after its destruction. The problem is that the simple delivery of the mail doesn't sit well with the gangs that control the wastelands and the set out to destroy the mail carriers.And it goes on for three hours through every cliché about the end of the world imaginable but with an A list star and some of the worst sequences in any film in the genre.Its painful to watch simply because it never ends.Avoid this film, its just bad",The Postman
5,anaconda-40658,Deliver This to the Land Fill.,2,15 March 2016,"The Postman (1997): Dir: Kevin Costner / Cast: Kevin Costner, Will Patton, Olivia Williams, James Russo, Tom Petty: Kevin Costner's flimsy follow up to Dances With Wolves with a theme regarding hope with mail carrying as a reference. Story regards towns isolated due to an army led by Will Patton. Costner plays a drifter who is taken prisoner. He escapes and finds refuge in a jeep where a skeleton and mailbag reside. He puts on the uniform in hopes that it will grant him a meal in the next town. He encounters a man who begs him to pregnant his wife so that they may have a child. Of course this man will be murdered so that Costner can move in anyway. Meanwhile Patton orders that every mail carrier be killed. Preposterous setup leads to unintentional humour that works like a bag of sh*t under your Christmas tree. This all ends with Costner and Patton pounding the snot out of each other and we are suppose to cheer it on despite its absurdity. Olivia Williams plays his childless mate whose prime purpose is to get banged without a rubber. James Russo is also featured as her husband whose purpose is to be expendable so that Costner can voice his superiority. Musician Tom Petty makes an appearance although one wonders how old he is at this point. Terrible and embarrassing epic that never had a chance of actually working. It is a laughable misfire by all involved. Score: 2 / 10",The Postman
6,FlashCallahan,First Class recorded delivery....,7,9 May 2016,"The Postman is one of those films that supposedly destroyed an A-listers career.For some reason, Costner has always been a target of critics, and despite the fact that in the early nineties, he was one of the big players thanks to the like of The Bodygaurd, Robin Hood and Dances with Wolves, we all tend to remember him for Waterworld, Wyatt Earp, and this, which is unarguably nothing more than a vanity project for it's star/Director.But i've always been a fan of Costner, and I would watch him in a film where he reads the dictionary..Set three years ago, after war has destroyed most of USA, including the government, a lone drifter is captured by a fascist group called the Holnists led by General Bethlehem.When he escapes, he finds a mail Jeep and uniform, and starts to travel through small cities, telling them he is a postman, a representative of the restored United States.No one believes him at first, but soon he has followers, and they start to prepare a revolt against Holnists.......With this being a post apocalyptic vision of the recent past/future depending on when you actually see the film, I for one was actually surprised as to just how light hearted the film was in some scenes.What Costner has given us is nothing more than Robin Hood: Prince Of Thieves meets Mad Max: Beyond Thunderdome, as The Postman has the same traits and problems as Hood.Now take away Patton (even though he is very good), and add Rickman, I would guarantee that this would have been better received, and more regarded today.I wouldn't have been surprised if the late actor was sent a script, but didn't want to steal the show from Costner yet again.So he escapes from the General, starts a movement, gets injured, spends a winter with Olivia Willaims, and fights some more, until we have a Braveheart type finale.The film is all over the place, Costner clearly believed he had the answers to the meaning of life with this film, and was betting that he would repeat his success with Dances With Wolves.It's not a bad film by any means, it's actually quite entertaining, and my advice is make your own decisions, you will find something to enjoy.Even if it is for all the wrong reasons.",The Postman
7,elo-equipamentos,Ultra nationalism direction,7,3 October 2017,"After some success Kevin made bad movies, maybe for your own fault and may be arrogant and selfish, however in this picture has a great premise spoiled by ultra nationalist direction, so hard!!! Could be a better results if loaded the colors of primary Americanism, Tom Petty former member of super group Traveling Wilburys make a short appearance as Mayor and yesterday died at 66 years old, rest in peace Wilbury...Resume:First watch: 1999 / How many: 2 / Source: Cable TV-DVD / Rating: 7",The Postman
8,JamesHitchcock,Idealistic Post-Apocalyptic Epic,8,27 March 2006,"The ""just war"" theory  the doctrine that under certain circumstances force may legitimately be used in support of a good cause- underlies many of Hollywood's most popular offerings, not just straightforward war films but also blockbusters such as the ""Star Wars"" and ""Lord of the Rings"" trilogies. Hollywood's predominantly liberal elite, however, are often slightly uncomfortable with the doctrine; in the eighties many were at pains to point out that, whatever President Reagan might have thought, the ""evil empire"" in ""Star Wars"" was not to be equated with the Soviet Union, and more recently it has been denied that ""Lord of the Rings"" offers any tacit support to Bush's war in Iraq.Kevin Costner is sometimes regarded as one of Hollywood's more politically conservative figures, so it was therefore somewhat surprising to see him as the director, producer and star of a post-apocalyptic epic that explicitly rejects the just war doctrine in favour of a more pacifist view. The film is set in 2013 after a devastating nuclear war. Civilisation in America has collapsed and there is no more central authority. The survivors of the catastrophe live a quasi-mediaeval lifestyle in scattered agricultural settlements. The area in which the film is set (Oregon/Idaho/Utah) is dominated by a powerful warlord, General Bethlehem (the name is presumably an ironic joke) and his private army. Bethlehem and his men subscribe to a quasi-Nazi ideology known as ""Holnism"". They are explicitly racist, exalt strength and power as the supreme good and despise mercy and compassion towards the weak.Costner plays a travelling actor (we never learn his real name) who makes his living by travelling from one community to another to entertain the people with performances of Shakespeare. He is conscripted into the Holnist army, but manages to escape He finds the uniform and mailbag of a dead pre-war postman and appropriates these in order to pass himself off as an official of a ""Restored United States"", charged with a mission by the non-existent ""President Richard Starkey"" to restore the postal service in the American West. To his surprise, Costner finds that he is taken seriously, and local people volunteer to set up a new postal service to restore communication between their scattered communities. By doing so, however, they incur the enmity of the Holnists who see any restored central government or quasi-governmental agency as a threat to their own power and control of the area.The film appears to be leading up to a final showdown between the Holnists and the idealistic young men and women who have volunteered for the new postal service. There is, however, a surprising ending as Costner finds a way of resolving the conflict without all-out war. It was war which led to the collapse of civilisation; the best way of rebuilding it is not through the military heroism of taking on the bad guys at their own game, or even through the high culture symbolised by the Shakespeare recitations of the early scenes (Bethlehem himself turns out to be surprisingly cultured), but rather through the patient reconstruction of the amenities of ordinary civil society represented by the postal service. The symbolism of the postman is that he is a uniformed government servant, but one who carries no weapons and fights no battles.There are some similarities between this film and another anti-war post-apocalyptic drama, ""The Omega Man"" from the early seventies. Like Costner's character in ""The Postman"", Robert Neville, the character played by Charlton Heston in the earlier film, was a man who brought a message of hope to a community trying to survive in the aftermath of a devastating war and fighting off attacks from a fanatical brotherhood. Neville, however, was deliberately presented as a Christ-figure, an analogy that is never explicitly drawn in ""The Postman"". The look of the two films is also different, ""The Omega Man"" being set in the ruins of a deserted city, ""The Postman"" in idyllic Western scenery with pine-clad mountains. Costner's favourite film genre (and the one in which he achieved his greatest success with ""Dances with Wolves"") is the Western, and ""The Postman"", despite being set in the future, is very close to a traditional Western in feel.One thing which I have never been able to fathom is why this film should have aroused so much hostile comment from the critics and on this board. The organisers of that rather spiteful institution the ""Razzie Awards"" voted it not only the worst film of 1997 (beating genuine rubbish such as ""Anaconda"" to the award) but also the worst film of the decade. Perhaps some of the problem lies with Costner himself. He seems to have a well-developed Messiah complex, which may irritate some of his critics; in a number of his films, going back at least as far as ""Field of Dreams"", he has portrayed either idealistic characters bringing a message of hope to the world or legendary heroes such as his version of Wyatt Earp. It is also possible that the failure of ""Waterworld"", a genuinely bad film, may have prejudiced the critics against another futuristic Costner epic.""The Postman"", however, is not ""Waterworld"". Not only is it not a bad film, it is a positively good one. Costner's acting may be an acquired taste, but for me he is one of the few modern actors with a genuine epic sense and the ability to convey the heroic. (He has this in common with Heston, another actor who often had something messianic about him). ""Dances with Wolves"" is his best effort in this heroic vein, but ""The Postman"" is, along with ""Field of Dreams"" and ""Wyatt Earp"", another successful venture into the epic style. (He receives good support here from Will Patton as the fanatical neo-fascist Bethlehem). Certainly, his message of peace and reconciliation is an idealistic one, but idealism in the cinema is not always suspect. 8/10",The Postman
9,MovieAddict2016,Poor Kevin.,4,26 September 2005,"Like all futuristic/post-apocalyptic action movies, ""The Postman"" opens up with people dressing like they did in the 1800s. Kevin Costner looks like he rode in off the set of ""Dances for Wolves"" seven years late.The year is 2013, the world is a mess and its inhabitants have destroyed their land. A crippling war has taken place, we are led to believe, which has killed the government. So, it makes sense that instead of just Americans being left hopeless, the entire world is affected, too. Gotta love Hollywood.Anyway, this group of outlaws called Hedonists or something captures Kevin Costner and he's forced to join their group (don't ask why, maybe they're gay). He escapes and finds a skeleton with a postal uniform and takes it to keep warm. He also finds a mailbag with letters and begins to trick people into thinking the letters are for them.But soon he feels sympathetic towards them and decided to take on the Hedonists once and for all! (Gotta love manipulative plots.) Kevin Costner is so bad in this movie and this movie is so bad for Kevin Costner. The entire script reeks of ""Mad Max"" syndrome, only it's about fifteen years late. It comes across, ultimately, as a very bad rip-off of other - and better - post-apocalyptic movies.When the producers started considering making their hero a postman...well...I think that's when they should have realized they were heading for the gutter.",The Postman
