,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,nogodnomasters,YOU CAN'T KEEP RUNNING FROM YOUR PAST,4,20 July 2018,"Zoe (Sharon Leal) has the perfect professional and family life...yet she feels she has a void in her life. She is a sex addict, but a classy choosey sex addict who always wears the same bra during sex. The movie is extremely formulaic and the acting and script was dry.I am sure some people might find the subject matter interesting for one reason or another, I was bored with the cutout characters.Parental Guide: F-bomb, sex, nudity. Good male eye candy.",Addicted
1,kosmasp,Cliche ridden,3,17 June 2018,"Now if you don't mind cliches, I guess you can have fun with this. If you like your 50 shades of whatever color is your special kind of kink, then you might enjoy it too. While I've only seen the first one of those (and did not read the books), I think comparing them is not that far out.There is a bit of flesh showing, though mostly without anything too much (except one scene I think), but that should not be the point you hold this movie accountable to. Even if it is the theme of the movie, which takes a very strange and even disturbing turn towards the end. Addiction is real and it's not wrong to seek professional help ... if nothing else, we know as much (or have learned that watching the movie?)",Addicted
2,neil-476,Boring and,4,19 June 2016,"A happily married family woman and mother explains to a psychotherapist that she has given into a desire to have sex with assorted other men.That's the plot, folks - about 15 minutes worth, I reckon. Yet it takes an hour and three quarters to tell it in a film peppered with sex scenes which don't actually have any sex in them, substituting coy avoidance instead. Yes, US cinema continues its perverse relationship with sexual matters whereby it is preoccupied with sex, but avoids actually showing an frankness on screen - beware the nipple, civilisation will fall.This film manages to be lurid, lame, prissy and interminably tedious all at the same time. Do, please, try to avoid it.",Addicted
3,tadpole-596-918256,"""We do it two or three times a day and I'm still not . . . """,6,14 October 2014,""". . . satisfied,"" complains well-to-do businesswoman married mom of two Zoe to her cut-rate shrink, Dr. Spencer, in the opening scene of ADDICTED. Zoe is describing the state of her marriage to an apparently hot architect BEFORE she explores the Latin side of the sheets with her art management company's latest client. As Lucille Ball once said, ""Once you've had Spanish, all the other guys vanish."" Or so they would for any normal woman, but Zoe has a mysterious scar on her arm indicating that she's been initiated into the realm of EYES WIDE SHUT sex club perversion. Early on this movie devolves into a poorly done Telenovela, with TV line deliveries, production design, shot blocking, and melodramatic, disease-of-the-night plotting. The only difference might be a smidgen more English dialog than usual. And what is it with Dr. Spencer, charging just a hundred bucks an hour for her services in a tony Atlanta psychiatric office. Since she's not exploring Zoe's brain ""Pro Bono,"" WHY is she charging 1950s rates? Explain that, if you can.",Addicted
4,sauravjoshi85,Not a worthy watch,4,24 February 2019,"The movie is very predictable and boring, there are too many twists and turns that will leave you blindfolded and you will feel like giving up.",Addicted
5,davispittman,Iffy at times,6,8 March 2017,"Addicted (2014) is a movie about a wife and mother going behind her husband and whole family's back to cheat with several men. She starts to see a therapist about her need for sex all the time, and she learns she's a sex addict. The acting is alright, in some scenes it can seem a little hokey or soap opera like, but most of the time it's just fine. The lead actress did do a good job, her acting is by far the best in the whole cast. The writing is spotty. In some parts the dialogue is just fine, not incredible, but it suffices. Then there are some scenes where the dialogue is pretty cheesy/melodramatic. The sexual scenes don't go overboard and they are well lit and filmed. It was good to see that the sex scenes weren't like pornographic, because I think when the sex scenes go that far it ends up taking away from the movie as a whole. I don't really know if I would suggest this movie. I'll say this. If there is nothing else on and this is on TV, it's worth a watch, but if there's something better on or you have other options, then no. 6/10.",Addicted
6,Amari-Sali,"When a woman finds her husband unable to please her like she wants, she ventures out to find some men who can.",7,4 October 2016,"Trigger Warning: Rape sceneBefore 50 Shades of Grey was synonymous with mainstream erotica, there was the author Zane. Someone who wrote erotic books featuring Black characters and even had a soft-core porn series if I recall right. Though with it being a long time since Zane's name was big, and with Tyler Perry's Temptation: Confessions of a Marriage Counselor still being fresh enough to remember, does Addicted prove itself to be the best, as well as the original, or did all Zane do is open the door as bigger and better productions got through?Characters & StoryZoe (Sharon Leal) has a lot going for her in life: She has a gorgeous husband, named Jason (Boris Kodjoe); two beautiful kids; a mother, Nina (Maria Howell), who lives with them and allows her and her husband to work full-time, and pull in extra hours; and she has her own business. One which, thanks to her marketing expertise, and best friend Brina (Emayatzy Corinealdi), is quite the success. Well, at least until famous artist Quinton Canosa (William Levy) comes in. From meeting him, to being alone with him in his studio, something awakens in her which creates this desire to have sex. Something she tries to fix with a woman named Dr. Spencer (Tasha Smith), but the ecstasy, and other things, are too good to just give up. Leading you to wonder if perhaps Zoe may be able to have it all, or whether her secrets will destroy all she has worked and fought so hard for.PraiseBeing that I went to see this movie with a Black majority audience, naturally, there was talking throughout the movie and damn if I didn't want to join them. For truly the stuff which happens in the film will have you wanting to mumble something under your breath. Whether it is because of the things Zoe gets into while on a downward spiral; the things Quinton does around, or to, her; or even just waiting for anyone, whether it is Jason or Nina, to catch her; you will easily get caught up in the moment and want to throw your own two cents in there.CriticismWhile the book for Addicted came before Tyler Perry's movie, oddly enough his film was overall more entertaining. If just because Leal as Zoe has this Olivia Pope vibe and Brina very much seems like a gladiator. And with probably the most interesting thing about this film being the sex scenes, or the moments before Zoe initiates sex, it makes you wonder if any thought was really put into making Jason interesting, or even making Zoe's 2nd sex partner Corey (Tyson Beckford) more than someone she just meets in the club? For while I get that the focus is on Zoe, at times I felt like there was a stronger need to show how guilty she felt and why. For while it is understood her husband is attractive and good to the kids, I feel the stuff we saw in TP's Temptation gave us reason to root for the relationship seen on screen. As for Addicted, to me, Zoe and Jason at best just came off like two attractive actors mashed together, due to name recognition, who represented two people who had babies and have sex every now and then.Overall: TV ViewingIt is sort of sad that, in the grand scheme of things, you could make the argument TP may have been inspired by Zane's work when it comes to him creating Temptation. However, like with The Maze Runner, while you may see the film was inspired, in the long run, there is this sense that only what worked, and was good, was taken before the film went to find its own voice. Now, as for Addicted, being that the sex addiction angle isn't made to be that interesting, since more so it seemed Zoe was bored in her marriage than a sex addict, I must admit while I was laughing at what my fellow theater goers were saying, and thought they made interesting points, I think this movie would have been a lot more dull without their commentary. Hence the TV Viewing label for truly the comments made throughout the film I think are what made this not something to skip. For while no performance was bad, and the sex I'm sure will get some hot and bothered, the story just didn't explore any character enough for me to feel like I should be invested. And, in the long run, I feel that sex was used to compensate for a weak story.Things To NoteI have no idea who Diamond (Kat Graham) was supposed to be in this movie. Was she Quinton's live in lover, assistant, or what?When it comes to nudity, you'll mostly be seeing buttocks more than breast or anything else.",Addicted
7,richard-1787,A movie with a lot of problems,5,7 March 2015,"This movie has a lot of problems.Briefly, it's the story of a young professional woman, Zoe, with a husband, Jason, who would be every woman's - and some men's - wet dream. He has a perfect, muscled body, a smile that could melt an iceberg, and he even washes the dishes. They have sex 2 or 3 times a day. Not a week, a day.But it isn't enough for her. She wants more.But more of what? That's one of the problems with this movie. There is a lot of sex in it, though none of it shocking by modern movie standards. But for all the sex, we still have to guess at what Zoe wants. Is it yet more sex? Different sex? Kinkier sex? Is this a distant cousin to *Fifty Shades of Grey* that dares not speak of its desires? Zoe hooks up with an unsubtle but muscled white painter - who, in my eyes, has no talent - and has with him what looks like pretty much the same sort of sex she had been having with her husband. Then she hooks up with a messenger on a motorcycle. Their sex, though no doubt wonderful, looks pretty much the same as what she is having with the other two men, though it usually takes place on a table.In between all this, Zoe ignores her children and lets her work go down the drain. She is, we are to believe, a sex addict.That's the first problem. Zoe comes across as insatiable, but not really addicted. She only has men who are so astoundingly handsome/sexy that they would tempt all but the most virtuous. Yet if this movie had been called *Insatiable*, she would have come across as a harlot rather than a sick individual to be pitied, and would have lost the sympathies of the intended audience of well-meaning 20-40 something women. If she were actually addicted to sex, she would have had sex with anyone, and that is not the case. She is only attracted to the hottest men.The second problem is that her poor husband, Jason, evidently detects nothing once Zoe is unfaithful to him - daily. When he does finally learn he's unhappy, of course, but we know so little about him, he's so poorly developed, that we still can't sympathize with him, though he is the potentially most sympathetic character in the movie.These actors could probably all have done a lot better if they had been given a script that had developed characters and not just cardboard cut-outs. As it is, we get to watch a lot of evidently passionate sex performed by beautiful bodies, and then at the end have to listen to a few lectures on sexual addiction, which don't come across as very convincing. Zoe's particular case is never explored, so it's hard to believe in it or feel for her.Zoe's sexual problems with Jason needed to be made clearer. How was he failing her? Jason needs to have been given a character; it's not enough for him just to look great. The script just doesn't make any of the characters interesting and sympathetic, and that's fatal here.",Addicted
8,burlesonjesse5,VIEWS ON FILM review of Addicted,6,28 October 2014,"Addicted is essentially an uneven facade that in one instance, poses as softcore porn and in another instance, becomes a documented, public service announcement for sex addiction. It's a slick, trashy, yet mildly entertaining soap opera of a movie that unbeknownst to me, goes completely off the rails in its final half hour.Directed by the guy who made Honey (2003) and Beauty Shop (2005) and based on a best selling novel of the same name, Addicted is like a carbon copy of 2002's Unfaithful. But where Unfaithful had a murder and a sored cover-up to that murder, this limited October release has a silly, kill-free twist at the end (I'm not gonna count a failed suicide as murder in case you're keeping score). It also has many more love scenes in it than Unfaithful not to mention a main character that ends up having more than just one affair.The story begins with stunning, happily married businesswoman Zoe Reynard (played by Sharon Leal). She has the perfect life. She has two great kids, a husband who thinks the world of her, a loving, caring mother who lives with her (and is quite tolerable), and a beautiful home via the outskirts of Atlanta, GA. But wait a minute, her perfect husband isn't fulfilling her everyday needs (sexually that is). He's never around and is always working. Her solution: have a series of romantic trysts with a well revered painter (Quinton Canosa played by William Levy) and a womanizing club hopper (Corey played with minimal dialogue by Tyson Beckford). This leads to her addiction by which she literally ruins her career, fractures her family values, is forced to see a shrink, and decides in anguish, to (spoiler alert) commit freeway suicide. As mentioned earlier, Addicted walks a fine line between glamorizing sexuality and reiterating a certain sickness. As a result, the proceedings are choppy and disjointed despite a surprisingly good level of unpredictability.Really in truth, this vehicle is almost saved by Sharon Leal. She gives a solid, realistically grim performance in the lead role as Addicted's disturbed test subject. As for the rest of the cast, they are comprised of mostly good looking people who's acting is not as seething or as sharp. In conclusion, this is a poster child for the effects of sex addiction and to be honest, it's not really about infidelity. Addicted in its 106 minute running time, makes two mistakes: it turns a character (Levy's Canosa) who doesn't really seem menacing enough, and makes him psychotic. The second mistake is that this thing climbs too close to becoming a therapeutic healing session for a specific audience (people that go to support groups for sex addiction or don't bother to get help at all for said addiction). And as the plot thickens, it feels less like an actual film going experience and more like a hidden cry for help. Bottom line: Addicted as a drama/thriller, may offer a certain kind of appeal. But for me, it just wasn't that ""addicting"".",Addicted
9,bbickley13-921-58664,Way better than I expected.,6,16 October 2014,"A little more romantic than most recent films about sex addiction like Nymphomaniac part 1 and 2, but thankfully the movie does not dumb down the condition. Instead, simplifies it greatly. The movie focus is on a happily married woman who fills a void in her life when an affair with another man triggers her sex addiction using a more romantic approach. The entire cast did a good acting job. I've never seen William Levy in anything before, but I thought he played a good ""Mistress"" in this film. Lead actress Sharon Leal and Boris Kodjoe were also good in the movie. Not as melodramatic as you would expect from movies like this, and it had some pretty awesome love scenes. A winning combo for me.",Addicted
