,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,A waste of two good actors,2,22 January 2018,"Despite a number of positive reviews for this film collected here, I'm afraid I have to be the dissenting voice. I found I ORIGINS a very difficult film to watch, purely because it's boring in scope and tone. The story explores some sci-fi concepts regarding the human eye and reincarnation, but they're dealt with in the dreariest way imaginable, with endless soul-searching and lame romantic sub-plots that drag out an already slow pacing. What's particularly disappointing is the waste of two fine TV actors, Michael Pitt (of BOARDWALK EMPIRE) and Steven Yeun (of THE WALKING DEAD). I feel like the ideas might have worked better as a term paper instead of a pretend film.",I Origins
1,SnoopyStyle,intriguing premise but second half stumbles,6,6 February 2017,"Ian Gray (Michael Pitt) is a PHD student in New York. At a Halloween party, he meets a mysterious girl. He takes a picture of her eye as he often does. She leaves before getting her name. With only a picture of her eye, he finds her from a billboard leading him to spiritual model Sofi (Astrid Bergès-Frisbey). He's researching a way to make color-blind mice see color. Karen (Brit Marling) is his new first-year student assistant. They start a project to create eyes on an animal without eyes showing the evolution of the eye and to debunk Intelligent Design.The premise is intriguing. The story starts well. It is ambitious in its subject matter. The film is solid up to the end of Sofi. Then it tries to do too much. Writer/director Mike Cahill is unable to corral the various ideas into a compelling story. It's obvious what it's trying to do but it struggles to make it interesting. I still give it full marks for its ambitions despite its failure to achieve its full intention.",I Origins
2,Prismark10,I Spy,3,7 January 2016,"Mike Cahill's I Origins has some beautiful pictures of eyes but it is a dull film, Cahill as director cannot do justice to his ideas and his leading man is not a strong enough actor.Michael Pitt plays Ian, a talented bio-chemist researching the evolution of human eyes. As a rationalist who makes his decisions based on scientific data, he wants to challenge the creationist beliefs of Intelligent Design.Ian meets the spiritual, beautiful and mysterious Sofi, who begin a love affair after a convoluted set of circumstances including photographing her eyes. Her bizarre death in an elevator accident (badly filmed) will ultimately lead him to question his views on rationality.Some time later Ian marries his Lab Assistant Karen and they have a baby who is tested by a doctor for supposed autism but they later discover that an iris scan taken of their child when he was a baby matched a person who died around the time the baby was conceived. The film takes a spiritual side shift with the possibility of reincarnation raised.As they examine the iris database it reveals that there maybe a child in India with Sofi's eyes. The last act takes place in India as Ian tries to track down an orphan girl which also includes a creepy scene of a western white male taking a little girl on her own to his hotel room on the premise of giving her food.At the hotel he tests the girl but the results may not be conclusive, you might jolt though as they later wait for the lift to arrive.The film wants to have an existential discussion however the film and the lead actor is not equipped to deal with it as the narrative becomes increasingly outlandish.",I Origins
3,nogodnomasters,IT IS DANGEROUS TO PLAY GOD,8,8 May 2019,"Ian Gray (Michael Pitt) is an atheist fascinated with the human eye. He takes pictures of them all the time. One of his pet projects is to come up with a complete evolution of the human, as a way to foil creationists. His girlfriend however, believes in the transmigration of the soul. Circumstances become odd as Ian is faced with the possibility of using his iris scans to prove it.I liked the film. Acting was decent. It was good science fiction in the fact that it didn't going into areas of gross impossibility. The ending of the film, right before the climax, you know it is coming. as you feel the anticipation. Great scene.Guide: F-bomb, sex, nudity (Astrid Bergès-Frisbey)",I Origins
4,kosmasp,I believe,8,4 February 2015,"Or something like that. It's science and logic versus the inexplainable. The I of the beholder might see things differently of course. But apart of the obvious yet somehow subtle title wink (no pun intended), this movie does deliver (and yes, has more to offer than meets the eye, to get that one out of the way too).The acting is really good and while you might be able to see where this is going (sorry for the puns), the movie is still able to hold up the tension. It sounds scientific at times, but never goes over your head, if you stay with it. It might be a bit too long, but it never gets boring overall. Whether you agree or get on with the ride, might change your view and your experience with the movie. But it's a ""risk"" well worth taking and watching",I Origins
5,rmax304823,Old love but in shapes that renew and renew forever.,5,9 June 2015,"I missed the first several minutes of this, so some of these comments may be misleading.Michael Pitt is a doctor doing research on developing ""eyes"" on worms that are blind and insensitive to light. He and his lab mate, Brit Marling, are industrious, earnest almost to the point of obsession. That doesn't prevent Pitt from falling in love with a spiritual French girl, Astrid Bergès-Frisbey. When he and Marling experience a breakthrough in their research, Pitt drags his spiritual girl friend to the laboratory and they have a neat little argument.Pitt believes in science, not transmigration of souls. Not that it stops him from describing the love of HIS atoms for HER atoms at the time of the Big Bang. That's a mind full right there. That there were no atoms at the Big Band -- just quarks and stuff -- is irrelevant. His and her quarks would probably have loved each other anyway.Astrid Bergès-Frisbey's position is that there is more to the world that just what we can prove scientifically. Take those worms. They were sensitive only to touch and one other primitive sense, right? They were unaware of light. Yet the light existed and was all around them. Isn't it possible that there is something going on that we are ignorant of, just as the worms were ignorant of light? Pitt doesn't have a good answer, but a scientists would. The answer is: ""Yes."" Alas -- in a tense and surprisingly shocking scene -- Pitt loses his forever and ever love in a death by elevator. He descends into a funk until Marling snaps him out of it, and marries him and bears him a child in the bargain.So far, so good, then I got lost. The configuration of spots and streaks on the iris of the eye are supposed to be unique to each person, like snowflakes and fingerprints. And you can capture the exact pattern with what appears to be a cell cam. Snap -- and you've got it. Millions of eyes are in the data base and Pitt and his team find a precise duplicate of Bergès-Frisbey's irises, registered to a young girl somewhere in India. And, by the way, I don't believe Astrid Bergès-Frisbey's last name is real at all. Nobody is named Bergès-Frisbey. That's ridiculous. Not her, just her name.The narrative takes Pitt to India where, after an exhaustive search, a little girl shows up with his first love's irises. He doesn't find her, actually. She just stands and stares at him in a public square and he knows at once that this is the spirit reborn of Astrid with that phony last name. He gives the child some tests. The results are inconclusive, but in the last scene he finds that she is absolutely terrified by elevators. Q.E.D.To put it in a nutshell, the film is a loosely limbed argument in favor of reincarnation. I don't know exactly who the intended audience is. Christian mythology may sell, but Hindu mythology? The film itself is well acted. Brit Marling is always good, and she's attractive in a way that doesn't quite achieve Hollywood's standards of beauty. She does much more than act, in real life. Pitt is hard to pin down. The poor guy is saddled with these big lips. He seems to be always pouting and it's so distracting that it's hard to judge his performance. I give him bonus points for being from West Orange, New Jersey. The direction is competent enough but from what I gleaned from the narrative, it's really screwy. The thought, however, of being reborn is comforting, as long as you come back as some kind of Bill Gates and not a sewer rat -- or a blind worm.The movie is likable for its earnestness and for the writer and director to do something a little challenging. I'm sure with a little effort they could have worked in some Oedipus Rex somewhere. And I appreciate the titular pun. ""I"" = ""Eye"". And the idea can't be THAT alien to Homo sapiens. After all, lots of religions have afterlives, only the same spirits don't always return to earth as ""old loves but in shapes that renew and renew forever"", as the poet put it.",I Origins
6,ComedyFan2010,A clever sci fi movie that is pretty calm and yet keeps one's attention,9,22 August 2017,"I loved this movie. I see many people complaining about it being a movie where religion defeats science, but I didn't see it this way. It is a sci fi movie. Fi stands for fiction as we know it. It is not supposed to be a documentary on evolution and biology but include a story about something that is now what we can see being proved by science.Second, the ending is open for interpretation. And I liked it. The test fails. The girl is afraid of the elevator, but so what? Kids are afraid of many things that can be a coincidence. I actually loved the scene of the test being done. I am an atheist. And when the movie started and I got the main theme I thought that hopefully it is not about religion defeating science. Yet there I was watching the girl after several correct answers giving incorrect ones and feeling a weird disappointment. At the end when Karen asks Ian how he felt he says ""kind of foolish"", this is basically what I did too. And then there was still a part of me hoping that the girl will say something that will see us a Sofi being part of her. And she did it with the elevator. And I think it Sofi, yet as I said keeps our interpretation open. For all we know she is just claustrophobic.Another thing is that I think it is supposed to simply say that there is so much more out there that we can't explain yet. That can be scientific and proved by data but that we don't even imagine. And I am not talking about God. Science just keeps developing and one day people may be studying things that we can't imagine now. And it will be a scientist like Ian, who is willing to go and test something to make sure that what he doesn't believes in is incorrect instead of dismissing it.To me the movie wasn't predictable. I didn't see the trailer before watching it and just read a one sentence description. So luckily for me the main idea and what will happen weren't open from the start which made the movie more enjoyable. The acting was perfect. I liked how incredibly natural these people felt to me. The main character also being so complex. He isn't dull as people referred to him. He is normal. But being normal includes so many parts. He is the guy who believes in data but just for the hell of it follows the number 11. His attitude towards the female characters of the movie and changing of it. We can see him starting to respect Karen after dismissing her as a first year student he needs to get rid of. Somehow one feels the two are right for each other yet he ends up with Sofi at first, who is so different. Yet we get the passion that can make us miss the huge differences between us and the person we are with which gets to his mind in that fatal night in the elevator, as he then describes it to Karen. His character is important to the drama romance part of the movie and represent the humanity so well.The little girl Kashish playing Salomina was also good and it is her first part! I love how vivid her face was when she was answering the questions in the hotel room.Well, the movie was sure impressive. I just don't get why Ian didn't contact Dr. Simmons to talk about what she is researching. But this could be because he wanted to try first his own thing. And this way also getting a closure that he said he was missing after Sofi's death. I will look out for more work of the director and the actors as I was impressed.",I Origins
7,LeonLouisRicci,Awful Suck-Face First-HalfSecond-Half Tries Awful Hard and Succeeds,7,30 May 2015,"Sophomore Director Mike Cahill Makes Another Thought Provoking but Inconsistent Film with an Eye on the Big Picture Concerning the Science vs Spirituality Debate. The Two Paths Towards Truth and Understanding Frequently and Uncomfortably Interconnect and it Usually isn't a Pretty Picture, Because Both Sides Frustratingly Refuse to Give an Inch.But This Movie is Full of Pretty Pictures as the Director has a Flair for Artistry and a Curiosity to Explore Different and Existential Subject Matters. In This One, the First Half Almost Destroys any Interest in Any Subject Other than Romantic Relationships and it has a Pensity to Suck-Face Until it Becomes Almost a Bail-Out for Anyone Wanting to Experience Something Beyond a Chick-Flick.Thankfully a Surprise Scene Sets Things on a Different Course and While it Does Not Completely Abandon Loving Relationships, it is a Welcome Turn of Events and Tone and the Film Gets Most of its Charm from the Story of a Scientist that is Forced to Evaluate Previous Dogma, Has His Eyes Opened to Other Possibilities and Ends with an Opening Where it is Left for the Viewer to Contemplate.Overall, After the First Almost Deadly First Act, it Settles Into a World of Undergraduate Science and Philosophy Set in a World of Phd's. Worth a Watch for the Unique Subject Matter and its Artistic Display. Note...The title is a clunky attempt at cleverness. Not nearly as clever as the Thesis.",I Origins
8,ferguson-6,Eye Thoughtful,7,19 July 2014,"Greetings again from the darkness. The evening I saw this one, I tweeted ""Mike Cahill is one of today's most intriguing filmmakers"". After a few days to think about it, that belief remains so. A double feature of this and his previous film ""Another Earth"" could keep the conversation flowing for days and weeks.Evolution vs Spirituality is the main theme here. Miohael Pitt plays molecular biologist Ian Gray, who is working diligently to prove that the evolution of the eye is the scientific proof debunking creationism and spirituality. Ian's petri dish view of life is challenged when he meets free-spirited Sofi (Astrid Berges-Frisbey). This takes opposites attract to a whole new level ... in fact, opposites actually detract ... from the story and tone. While Sofi causes cracks in Ian's convictions, their ultimate split is actually a turning point for the film. The second half is extremely entertaining and thought-provoking.Leaping ahead a few years, we find Ian married to his previous lab assistant Karen (Brit Marling). These two have an intriguing bond, and the birth of their first child sends the two scientists back into research mode ... including some globe trotting. Retina scanning technology plays a huge role here, and leads Ian to India where he searches for proof of this new theory.This existential trip has an inordinate number of coincidences, lucky breaks, and philosophical discussions ... not to mention a rainbow range of eye glass styles. If you enjoy films that generate post-viewing discussions, Mr. Cahil is proving himself as the go-to filmmaker. Whether you fall on the side of science or spirituality, or somewhere in-between, this film seeks to prove the eyes have it.",I Origins
9,siderite,Another Another Earth,9,24 December 2014,"Mike Cahill creates another low budget low key fantasy film, using some of the same actors as in Another Earth, and again he succeeds in producing something intriguing. I watched Another Earth and I really liked it, because it didn't just publish an idea, but it built and grew its characters, reaching the underwhelming, but thought provoking ending. I liked I Origins for the same reasons, but truth be said, it's just not as good. If you watched this film and liked it, you will love Another Earth.The story is difficult to explain without spoiling the basic plot. Let's just say it is a journey of discovery for the main character. The film starts with a really slow pace and much of what happens in the first half is just character exposition, rather than development. That may put some people off. However it is important to understand all characters to get the film, and they are all rather interesting and original, not tired clichés. I liked that.So basically you get a well done, well acted movie, involving interesting characters in an intriguing story. What else do you need? With a cast like Michael Pitt and Brit Marling, it feels like the indie film that it is, but I thought it was clearly worth watching. Some scenes could have been removed to make the movie last less than the full two hours, but they do develop the characters and pull the viewer into their story a little.",I Origins
