,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Creating God and in our own image,8,30 August 2014,"Transcendence is one of those films that will really get the gray matter churning over its implications. Hard to believe but Johnny Depp the kid from Crybaby who later became Captain Jack Sparrow is now a scientist exploring creating artificial life that is not carbon based.Those Captain Jack Sparrow films bring in the money for the poke allowing Depp to essay an incredible array of parts. He can certainly add his role here to that list.Depp, his wife Rebecca Hall and best friend Paul Bettany are all researchers into computer science. They've got nothing less than the creation of self aware artificial intelligence as their goal. But there's a group of terrorists out there, not unlike extreme right to lifers who are so adamantly against this direction of science that they're killing all who are involved.Depp is wounded, but his wounds will prove fatal as they've been administered with bullets containing radium poisoning. Knowing his physical body is dying, Depp gets his mind transferred into the super computer of his design. He also has a holograph image projected mostly for his wife whom he still loves despite his existence in cyber space.After that Depp know just human intelligence in a computer starts doing some amazing things. People who are frightened easily want to bring the supercomputer of Depp down.Is this indeed the nature of God? A reasonable theory. Is what he does the nature of healing our environmentally wounded planet? Could be.Depp has a most difficult role to deal with, his character has been artificially enhanced so he's beyond human kind. But he still has some human feelings. Has in fact he made himself God and has dominion over all living things on planet earth.There was a film in the Seventies called Colossus The Forbin Project which also dealt with two super computers who take over dominion of life on earth. But those two didn't have the human face of Johnny Depp. Nor was the science sufficiently evolved.I think there was an inside joke here when Morgan Freeman was cast as a scientist. If you'll remember he played God in a film once himself.Transcendence is a fine film with credit going to its producers and star for bringing us a film that will be making you think weeks after seeing it.",Transcendence
1,Leofwine_draca,Better than expected...,6,28 October 2016,"I wasn't expecting to like TRANSCENDENCE very much, and that was based on the plot summary alone. Johnny Depp as a computer genius whose mind is uploaded into a computer? It sounds like an old-fashioned and predictable kind of story, one of those ones that require a huge suspension of disbelief and test the acting performances of those involved. Having just finished, I was pleasantly surprised by the movie, which is no masterpiece but is pretty interesting and good in places.I'm not a fan of Depp and never have been, but you're not supposed to like his character here so that doesn't matter too much. The computer stuff is more interesting and the film incorporates some CGI effects work that was later borrowed for the villain in TERMINATOR GENISYS. Of course it all gets over the top and rather unbelievable, and that old cliché of fixing things with a computer virus is wheeled out once more (remember INDEPENDENCE DAY?).Still, I liked the direction and cinematography makes for a bright and colourful movie, better than the usual grey and dreary offerings. The supporting cast is excellent and includes Cillian Murphy, Morgan Freeman, Paul Bettany, Kate Mara, Cole Hauser, and Xander Berkeley. They're all fine if underutilised a bit. The one who stands out like a sore thumb is Rebecca Hall; nothing wrong with her acting, but her character is one of the dumbest ever which makes her a truly despicable protagonist. I don't mind characters acting ruthlessly or with moral ambiguity in films but when they act really dumb then I can't help but feel that it's the scriptwriter at fault.",Transcendence
2,SnoopyStyle,doesn't really work,5,29 January 2015,"Max Waters (Paul Bettany) lives in a world where electronics don't function anymore. Five years earlier, he is hoping to cure diseases with the help of Dr. Will Caster (Johnny Depp) and his wife Evelyn (Rebecca Hall) who are researching Artificial Intelligence. Joseph Tagger (Morgan Freeman) leads a government group in Livermore. Bree (Kate Mara) is part of an anti-technology terrorist group that launches simultaneous attacks on AI scientists. Joseph loses his team and Will is shot. FBI Agent Buchanan (Cillian Murphy) investigates the attacks and Will's PINN Project. Will is mortally wounded from radiation poisoning by the bullet. Evelyn convinces Max to help her download Will's brain into the PINN computer before he dies. Bree kidnaps Max to help her group take down Evelyn after she unleashed Will into the world.This movie works at times. Sometimes it almost works as a thriller. A lot of times, it kind of works as a horror movie. It's taking on a lot of big subjects and I really want it to be better. Coming into this with so many bad comments, I was initially pleasantly surprised by its watchability. It has some elements of horror in the middle but the movie struggles in the last act. It would also be great to find a lead to follow. Rebecca Hall would be the natural lead for a good horror movie. However the movie tries to be too much. It just doesn't really work.",Transcendence
3,Hitchcoc,Must We Accept the Science?,6,24 September 2014,"This is certainly a provocative movie. It deals with the idea of human emotion being combined with ""infallible"" scientific production. As soon as Johnny Depp's character gets inside the cyber-world, all that he is, his strengths, his weakness, his passions, his unending lust for knowledge become off the grid. How is it possible to have so much knowledge and not see yourself as the arbiter? As will possibly be the case--if we don't destroy ourselves some other way--there will be overseers who must view things from the fringe. It is not terribly different from the way we look at military or terrorist threats right now. The kicker here is the the Depp character is so far ahead of everyone, that it's as if his opponents are throwing sticks. What must ultimately happen is to appeal to the human side of Depp's Will Caster, because once the machine becomes too powerful and Caster loses his human connection, it is curtains for us poor idiots. This theme is handled reasonably well, but I just felt empty. I'm not doing spoilers, but the beginning of the movie pretty much derailed my interest.",Transcendence
4,Horst_In_Translation,"Interesting approaches, but finally too self-aware and scientific",4,16 September 2014,"This aims to be another ""Inception"", but clearly comes short. It is the first film of Christopher Nolan's Academy Award-winning cinematographer working as a director. ""Transcendence"" is written by Jack Paglen, who is also fairly new to the writing branch. This does not have to be bad as many writers can convince right away with their maiden project and frequently never reach that level again in later years. The big star here is obviously Johnny Depp. I wish it was the story though. Depp probably still has the talent to carry a film like this, but his recent works all seemed too self-aware and this one makes no difference. Here and there, you can actually find a moment of greatness during these two hours, but it is simply not enough. I did not see Depp becoming his character, I did see Johnny Depp acting, sadly.The film also has, away from the scientific science fiction aspect, far too many stereotypical scenes which became occasionally cringeworthy: Kate Mara as a blonde femme fatale in the pub having a drink would only be one of them. It was so bad it was almost funny. Pretty much everything that included her character was a weakness for the film. She is a young woman that leads an underground organization. She is the one with the gun in her hand that changes everything at the end. Of course her organization ends up working with the government. Everything involving her character just was not credible.Johnny Depp's character is a genius scientist, a unique man who will probably never appear again. Well.. what can you say, it is Johnny Depp after all. Bettany's character does not help much either. He is interested in Depp's wife, but she only has eyes for her husband, even when he is long gone. Once you go Depp, you'll never want anything else, right? And why is Bettany's character fighting upfront like a soldier with longtime experience in the military. There were just so many things that did not make sense sadly and those did not even necessarily have to do with the concept of transcendence.I just wish Depp would, at some point, take more risks. These films will always lure people to theaters, but they are just no success quality-wise. He needs to do something like Di Caprio did when he played Calvin Candie. Just do a movie where he is not the complete center hiding behind a huge story or massive makeup and costumes. He needs to do something more raw and essential at some point.Rebecca Hall and Morgan Freeman shine occasionally, but even the latter just feels too stereotypical: the old mentor who everybody looks up to, including Depp. I liked Freeman's and Hall's scene together with the little note he gives her. The animation with everything growing up quickly was done nicely too and another thing I liked about the film is that there is no clean-cut good and evil, no black and white just the way it is in reality. The concept was actually an interesting one and they succeeded in displaying how we are scared of new technical achievements as they are not examined properly yet. They may or may not work, but consequences, if they won't, may be drastic and painful to many. Unfortunately, the movie sometimes got lost in all the technical and scientific inclusions. You'd probably have to be a scientist to understand properly everything that was going on.Finally I would have liked the film to end when they arrested Hall's character and told her that Transcendence was over instead of when it actually ended. This way it would have been a bit of an unexpected point of time to roll in the credits, but instead they went for the showier ending, the one that had more visual significance than story significance. Style over substance sadly is a statement which describes many of Depp's recent works including this one. They easily could have cut 15 minutes or even more out of the film and it would not have gotten worse, probably even better. This way, I would possibly even have recommended watching it, but the way it turned out I can't. Skip.",Transcendence
5,claudio_carvalho,People Are Afraid of Things They do not Understand,5,27 July 2014,"In New York, Dr. Will Caster (Johnny Depp) is one of the three most brilliant scientists in the research of Artificial Intelligence. He works with his beloved wife and also scientist Evelyn Caster (Rebecca Hall) and his best friend is Dr. Max Waters (Paul Bettany). Dr. Caster is forced to go to a lecture to raise funds for their research but a group of anti-technology terrorists attack him and the two other authorities in the field of AI. Dr. Caster is poisoned and has only one month of life. When Will is near to death, Evelyn discusses with Max the possibility of transferring his emotions to the AI and they decide to try. They seem to be well succeeded, but they are attacked by the terrorists commanded by Bree (Kate Mara) that destroy the facility and Evelyn releases Dr. Caster's ""soul"" in the Internet to save him. Soon Dr. Caster controls the worldwide system and with his increasing knowledge, he changes human biology and the environment becoming an omnipresent power. But people are afraid of things they do not understand and Dr. Caster is considered a threat to the world that shall be destroyed.""Transcendence"" is a sci-fi film with a promising premise, great cinematography, good performances and special effects but with a poorly written story with messy characters. Bree, for example, is a terrorist responsible for the death of Dr. Caster and his colleagues and for jump the gun and release Dr. Caster in the Internet by Evelyn to save him from her direct attack. In the end, she works with FBI Agent Buchanan (Cillian Murphy) and Joseph Tagger (Morgan Freeman). A subject of this magnitude should have been discussed by the Powers that Be, and not by a simple FBI agent, an outmoded scientist and a terrorist. I could write many other inconsistencies in the story, but better off let the viewer conclude by himself (or herself). My vote is five.Title (Brazil): ""Transcendence - A Revolução"" (""Transcendence – The Revolution"")",Transcendence
6,nogodnomasters,I THINK THEREFORE I AM,6,21 October 2018,"The film starts out in Berkley and there is no electrical power...anywhere, perhaps. It then flashes back 5 years as there is a clash between ""neo-Luddites"" and those that want to create artificial intelligence. Dr. Will Caster (Johnny Depp) has the last project that wasn't destroyed...although he himself took a bullet laced with radioactive polonium and is now dying.Will's wife and colleague Evelyn (Rebecca Hall) has the idea of sticking an electrode in Will's brain and uploading him to the computer. Will connects to the Internet and unlocks secrets of nanotechnology. He wants to use the knowledge to cure the sick, clean the air, clean the water, regrow forests, and create an army of followers with brain implants. He would become a ""God"" which scares a whole bunch of people.The special effects were decent, but not overwhelming. Johnny Depp was lifeless in his role, as are too many science fiction characters. The film asks several questions to ponder, such as how will we know when a computer has consciousness? What are the limits we will allow robots to control our lives?The film utilizes nanotechnology, perhaps beyond its limits. There is a new generation of devices coming out using new substances such as graphene which will make everything we own obsolete. BTW, Government facilities such as depicted in the film utilizes iris scans in Top Secret areas and not simple card swipes.This is a slow paced cerebral science fiction film that is not for everyone.Parental Guide: No f-bombs that I recall. No nudity. Brief covered sex scene.",Transcendence
7,kosmasp,Subtle look into the future(?),9,15 September 2014,"The movie is obviously not everyones cup of tea. It's very subtle and its very understated performances leave room for speculation most of the time, which when resolved might disappoint some viewers. It doesn't make this less appealing for those who like to have food for thought, rather than just some flashy action scenes and thrilling set pieces/scenes with no substance.There is a thrilling aspect here and things do happen. But it might not be what people expect and therefor the result will probably disappoint. Nevertheless, the movie itself is more than a great ride. It's an experience, which asks and answers question. Not all of them, but enough to make you think (if you want to) and wonder how you'd react in a similar situation ... and would that be the ""right"" choice?",Transcendence
8,Sleepin_Dragon,A good film with awesome special effects.,7,26 September 2017,"Transcendence is quite a difficult film to review, I left the cinema feeling rather underwhelmed, I suppose my expectations were so high, but having rewatched at home I feel I was too harsh. When you break down the film and start to see what they were trying to do, it makes more sense, the simple study of a human relationship, and the lengths people will go to for love. The special effects are dazzling, you can see a lot of bucks went into its production. Well performed, Johnny Depp is as always spot on, Rebecca Hall and Paul Bettany both perform well also. It does a good job in raising the question of human evolution, and playing on the fear people have over it. At times the script and it's delivery seem a bit clunky, very little to hate, but hard to love.Underrated 7/10",Transcendence
9,lee_eisenberg,"I'm sorry, Dave. I'm afraid I can't do that.",5,5 August 2014,"""Transcendence"", the directorial debut of Christopher Nolan's cinematographer Wally Pfister, is one of those movies that has a good plot but isn't executed as well as it could be. Although I like Johnny Depp, I thought that Morgan Freeman's character was underused. In general the movie comes across as plodding; maybe Nolan would have done a better job with it. If the movie has a redeeming quality, it's the part about electromagnetic radiation. The World Health Organization does qualify said radiation as a carcinogen, and an electromagnetic pulse could cause all electricity to suddenly stop working.So, it's an OK movie, but when it comes to artificial intelligence, Stanley Kubrick's ""2001: A Space Odyssey"" remains the best one. Another interesting one is ""Eagle Eye"".",Transcendence
