,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Mean Girls + Groundhog Day,6,19 August 2017,"Samantha Kingston (Zoey Deutch) and her friends led by Lindsay Edgecomb (Halston Sage) are the mean girls of the school. It's Cupid Day and the girls get roses from their admirers. Everybody assumes that Sam is losing her virginity to her boyfriend Rob that night at the party. The girls pick on the outsiders especially loner Juliet Sykes. At the party, Juliet crashes the party to confront Lindsay. The girls leave and Lindsay crashes the car. Sam wakes up and relives the day all over again.The concept is perfectly fine. The saturation of blue subdues the intensity. Zoey and Halston are fine for their roles. After an early reveal, it is obvious that Sam needs to talk to Juliet. The movie flattens as that moment takes a long time to arrive. The pace grinds down. An obvious way to add filler to the middle is for Sam to take a road trip. Juliet is the obvious ending although the ending is too precious. It screams trying too hard. Overall, there are worst YA fictions. This is not bad for the genre.",Before I Fall
1,claudio_carvalho,Surprisingly Good Teen Film,7,30 September 2018,"The popular Samantha Kingston (Zoey Deutch) goes to the high-school on the day known as Cupid´s Day with her best friends Lindsay Edgecomb (Halston Sage), Ally Harris (Cynthy Wu) and Elody (Medalion Rahimi). Sam mistreats her little sister and her parents at home. She plans to lose her virginity with her boyfriend Rob Cokran (Kian Lawley) during the night. She is invited to go to a party at the house of her schoolmate Kent McFuller (Logan Miller), who has a crush one her, but she despises him. Sam and her friends mock the outcast student Juliet Sykes (Elena Kampouris) at the restaurant. During the night, Lindsay is cruel with Juliet that leaves the party in tears and Rob is totally drunk. Sam decides to go home with her friends but the car hits something and overturns and Sam dies. However, one the next day, Sam wakes up on the Cupid´s Day and she believes she had a nightmare. But soon she realizes that the day is repeating exactly like her dream. Did she have a premonition? ""Before I Fall"" is a surprisingly good teen film with the story of a teenage girl trapped in the last day of her life. Based on the Sisyphus legend, the protagonist has the chance to make amendments to her futile life being kind to people that love her and becoming a better person before moving on. My vote is seven.Title (Brazil): ""Antes que Eu Vá"" (""Before I Go"")",Before I Fall
2,Sleepin_Dragon,What a surprise!,9,27 August 2018,"When I read that this film was a cross between Groundhog Day and Mean Girls I nearly passed it up. Thank goodness I didn't, as it is a truly exceptional film, sure teen films have been done to death, but for a change the film contains empathy and soul, I know it's a cliche but Samantha's journey of discovery is well realised.The film is well paced, very well acted, and very engaging, I found it very easy to follow the story, and understand the character's motives.So often this type of movie features great ideas, but the execution is too blunt, Before I fall is subtle, engaging and excellent all round. I'm so surprised by its sheer quality. 9/10",Before I Fall
3,bombersflyup,Worthwhile.,9,9 July 2019,"Before I Fall is an excellent film, with a few drawbacks.I've seen quite a few re-living the day films of late, so it could of got tiresome, but it didn't. It's about saving one's soul. Sam died, but gets the opportunity to go back a day and be the best version of herself she can be. I hadn't seen Zoey Deutch in anything but that video clip with Ed Sheeran. She's an enchanting and wholesome lead, that I will be interested in seeing more of. Other than her best friend, her mother and her male childhood friend, some of the characters weakish.",Before I Fall
4,Hellmant,"Should become a cult classic, kind of like 'HEATHERS' or other dark teen drama/thrillers like that.",9,9 March 2017,"'BEFORE I FALL': Four and a Half Stars (Out of Five)A mystery-drama based on the popular 2010 YA novel, of the same name, by Lauren Oliver. It tells the story of a high school senior that discovers she's reliving the last day of her life, over and over again, apparently until she can figure out what she needs to do to make things right (in her life, and those of the people around her). The film stars Zoey Deutch, Halston Sage, Madalion Rahimi, Cynthy Wu, Logan Miller and Jennifer Beals. It was directed by Ry Russo-Young and it was scripted by Maria Maggenti. The film has received mostly positive reviews, from critics and fans alike, but it's underperformed at the Box Office (so far). I hope it becomes a cult classic.Samantha Kingston (Deutch) is a popular high school senior, that's planning to lose her virginity on the night of Cupid's Day. She dies in a car accident instead, with her other popular friends. The next day she wakes up to find out she's reliving the same exact day, and then the next several days she keeps waking up to find out the same exact thing. Samantha slowly realizes that she needs to set things right, in her life and with those of her friends, in order to hopefully change things finally.The movie is surprisingly insightful; in dealing with high school life, and the dynamics of being popular verses being an unloved outcast. It's something the very flawed main character has to learn, and better herself by learning, in order to finally set things right (for her and everyone around her). That's why I love this movie; it has a very powerful, and quite moving, message about how we treat others (and how we should treat them). It's also really well acted, directed and written. I can definitely see it becoming a cult classic, if enough people see it. Kind of like 'HEATHERS', or other dark teen drama/thrillers like that. It's that good! Watch our movie review show 'MOVIE TALK' at: https://www.youtube.com/watch?v=8D9ZNHDah5M",Before I Fall
5,FeastMode,my notes,3,24 July 2019,"Interesting for a while, then bleh. very forgettable (1 viewing)
SPOILERS
the movie took a hard turn to the emotional side. it became super lame about cherishing every day like it's your last. always saying i love you. with some inspiring music playing. the first half had me into it. then it went nowhere, then it became super emo",Before I Fall
6,tabuno,A Ground Hog Day Drama That Excels,9,11 January 2019,"5 March 2017. Sometimes it takes awhile for comedy classic theme to become an inspiration for a takeoff that has as much potency and emotional appeal as the original. So is the case with Before I Fall using Bill Murray's comedy classic Groundhog Day (1993) repetition of ""the same day."" Too often movies rip off the plot of a great movie with cheaper variations of the same theme without much originality. I can't even remember most of ""the same day"" movies. What makes Before I Fall so special is that it takes ""the same day"" and makes it its own, just like the poster in the movie which tells us to be true to ourselves in living life. So much crap happens when we don't.The plot of this movie is such that its really difficult to describe without giving away the major twist. Except hopefully one can infer the overall plot by indirectly mentioning another movie that hopefully few have seen and may want to see both simultaneously if that were possible. But another potent and emotionally compelling movie with a resonating theme is Jennifer Love Hewitt's If Only (2004).For an alternative relief one might also watch afterwards the comedy romance My Girlfriend's Boyfriend (2010) or Brad Pitt's character in Meet Joe Black (1998), or the delightful live-action/animation Run, Lola Run (1998), or the parallel plots in Sliding Doors (1998).What's valuable about this movie is its coming of age story that offers us the important lesson about how we effect others and the value of living life to the fullest.",Before I Fall
7,Reno-Rangan,"Not about a second chance, but infinite!",6,4 June 2017,"Even if you are not that into the films, you probably have seen at least a couple film related to 'time loop'. For me, this is like hundredth. When I first saw the trailer, I said 'not again'. 'Time loop' is just a concept, but the storyline for it drawn differently. It tells the story of a high school girl on the Cupid's Day, a special day for her since she has a big plan for it to remember. Like usual her day goes on and at the end of the day something goes wrong and then she wakes again on the same day in the following day which keeps repeating. Now how she's going to find a solution or the reason for it is covered in the rest of the film.Familiar them, but well designed storyline around it. In some way, it is same as 'Groundhog Day', though it is about a teenager and more serious and tragic tale. We sometimes wish for a second chance, that's how this film was developed, but even bigger scale with a small message for teenagers.Awesome performances, particularly Zoey. Predictable scenes, so I had thought of couple of ending that did not happen. And I also disappointed how it concluded. Not the best solution, yet an unexpected twist. Originally the film was based on the book of the same name. This is a small budget and a quality film. The direction was good, very rich in presentation. Definitely not bad for once viewing.6/10",Before I Fall
8,cruise01,An interesting concept about teenage drama and being caught in a time loop in this dull direction film.,6,29 June 2017,"Before I Fall is like the teenage drama version of Groundhog Dog or the sci-fi Edge of Tomorrow. Playing around with the concept idea of the main character repeating the same day over and over until they try to solve the link to escape it. Before I Fall is decent for its teen drama that is about a bratty senior and her group of queen B friends being the bully to students who are not on the spotlight like they are. When an accident leaves one of them to repeat the same day before the accident. She has to figure out and fix all her wrongdoings. It is a fair film, it has its decent performances, and a okay story. The plot follows Samantha (Zoey Deutch) waking on the cupid day, were students can send a rose to their secret admirer or boyfriend/girlfriend. Samantha gets picked up by her queen B friend Lindsey (Halston Sage). And than the other two Ally (Cynthy Wu) and Elody (Medalion Rahimi). They joke, talk about rumors, losing their virginity, and also make fun of students that are not up there with their classy style. They go to a party, where things go awry when Juliet (Elena Kampouris) insults Lindsey about her bullying which she gets attacked and thrown out of the party. Samantha and her friends head home until they get into a car accident. Samantha wakes up from the experience to only see that the day has restarted all over again. Several attempts of trying to save her friends. She has to solve the mystery of her déjà vu and fix all her wrongdoings to get through the day. It is a concept that's been seen in other movies before. Sure, other movies were better adapted in different genres like Groundhog Day, Source Code, Edge of Tomorrow, etc. Before I Fall is not terrible. It has its cliché written script. A decent story that is about trying to be open minded to others perspectives. It tries to be that doing the right thing movie. Except the character development in the movie was quite thin. Samantha is not exactly a good high school girl. She follows her friends at all times. Even when they insult and make fun of another innocent girl for her appearance. Could this whole déjà vu day repeating be a learning lesson for Samantha? What about her friends, whose behavior is worse than hers. Which I feel like her friends is going to miss the point of how their actions affects others. Zoey Deutch gave a decent performance with her character. Which I have not seen her in much besides the tedious Vampire Academy and eh Why Him. The script was cliché with decent dialogue. Plus predictable. Samantha and her big shot boyfriend did not seem promising. When she sees her longtime childhood buddy who seems to care for her and is afraid to make something of it cause of her friends. Yes, it is easy to see where the direction goes. Overall, Before I Fall is a fair drama film. It has a concept idea that tries to be a learning curve for anti bullying. And some decent performances. It just filled with cliché written characters and a dull direction.",Before I Fall
9,pennyelenabooks,Good enough,6,18 May 2017,"Expected this one to be worse. The reviews of the critics had it like a teenage movie with a sad ending. But I trust the author (of the book) and so I tried this one. And it wasn't that bad. Sammy had something more in her, more than Mean girls gone dead sequel. She wasn't as much of the bully and the it girl of her school, as she was the follower of queen b and her two other best friends. The story starts with the teen drama (a popular girl celebrates valentine's day with her friends and prepares for the big night with her boyfriend). Only her night doesn't go as she expected, as she has a car accident, after which, she wakes up in her bed only to relive her last day again and again. At first, she tries to change things. Gradually, and after a period of denial, she decided to make the best out of it, and she starts to spend her time with her family, emending their broken relationship, and people that she used to ignore in school. Eventually, the movie gets a deep dive into the character's personality and the students around her, like her friends, her boyfriend, the boy who is in love with her, the girl whom she used to bully. The mystery is that big to keep you thrilled, but the action is good and the development of Sammy's character is interesting. The performances are good and the filmography beautiful. So, 6 out of 10.",Before I Fall
