,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,MartinHafer,Annoying.....,3,13 May 2012,"I've gotta admit up front that I am not a huge Johnny Depp fan and frankly think I've seen enough of him for some time. Now I am not saying he isn't talented—he certainly is. But so often his films have 'mega-hit' written all over them and the public throngs to his films like lemmings—and I just think I've seen enough. Plus, he's in practically EVERYTHING these days and I just wish he'd take a break. This is especially true in ""Rango"" as if you love Depp, great...but if you don't, you'll probably REALLY hate the film. That's because Depp's character talks practically non-stop--and is about as subtle as Ebola. And, frankly, so many of the characters and the music to this film is just LOUD, LOUD and LOUD!!! I just kept wishing the film hadn't tried so hard. In my daughter's words, ""there doesn't seem to be any plot...just Johnny Depp screaming a lot"". Ditto.This is all a big shame, as apart from being a loud and obnoxious film, the CGI is AMAZING--and among the best I've seen so far. It's a quality production but annoying--and the rottenness of the Best Animated Film category was terrible for 2012 if this film ended up winning! In my opinion, they should have just not given an award instead of rewarding such a film.",Rango
1,TheLittleSongbird,Wasn't expecting something this good so early on in the year...,9,4 March 2011,"I heard from a number of people that this was excellent so I went to see it myself being a fan of animated movies and of film in general. And I absolutely loved it, other than being a little too long, which is such a minor complaint, it was a wonderful film with some surprisingly mature themes and does very well at trying something different.The animation for starters is outstanding. Not only do the characters move convincingly, but the colours look gorgeous and the backgrounds are imaginative and stunning. The soundtrack is another plus, the score is wonderful with a sense of fun, great use of instruments and nods to Ennio Morricone, without being too generic or over-the-top with some inspired musical flavour to it.The script is funny, smart and quirky as well- loved the Chinatown(Ned Beatty based his performance on that of John Huston's), Fear and Loathing in Las Vegas and Star Wars references- the characters are genuine and likable with heart and don't fall into the trap of being too cliché(there are some but it works in the film's favour and I loved the title character), the film goes at a great pace while remaining wholly satisfying at its end with an almost elegiac quality that is there with almost all the best westerns, the slapstick action bounces along nicely and the story is far from formulaic instead it is original and inventive. The voice acting is wonderful, both Johnny Depp and Bill Nighy- Rattlesnake Jake is awesome!- give knockout performances, while Isla Fisher, Ned Beatty, Alfred Molina, Harry Dean Stanton and Abigail Breslin are equally terrific.In conclusion, a wonderful film that I wasn't expecting to be this good this early on in the year. On a side note, for those complaining about suitability for children, I actually wouldn't say this was a film for kids but more adult-oriented. 9/10 Bethany Cox",Rango
2,Leofwine_draca,Western tropes reposited as CGI animal comedy,4,5 July 2017,"RANGO is one of those interminable all-star-voice-cast animations that Hollywood churn out for the kids. These films always have lame, action-focused plots that feel repetitive in the extreme, and are chock-full of in-jokes and references for their parents taking the kids along. This one is an extremely clichéd western adventure in which a mild-mannered chameleon becomes sheriff of a western town and has to clear up trouble. Johnny Depp slums it as the lead while the various voice actors play the parts of various stereotypes. The best thing about it is the use of classical themes on the soundtrack, but I didn't care for the cold CGI work and the action is interminable. The Man With No Name's cameo is the best thing about this.",Rango
3,SnoopyStyle,Jack Sparrow as a lizard,7,10 February 2014,"Rango (Johnny Depp) is a hyper imaginative pet chameleon. When his family loses him out the back of their car, he is left to fend for himself in the middle of a desert. He escapes from a deadly hawk to find a western town called Dirt. The drought has made water incredibly valuable. Through luck and circumstances, Rango become the sheriff, but he is hopelessly clueless.This is a very well made Nickelodeon animated movie. I wonder if this is going to be a new competitor to the animated field. The animation looks crisp and lively. The only missing element is cuter characters. Lizards are very odd for animation especially if you do it relatively realistic. But it fits very well to the setting of an old decaying western.Rango is a very original character which actually is reminiscent of Johnny Depp's other big character Jack Sparrow. Does the fact that this is a reunion between Pirates director Gore Verbinski and Johnny Depp has anything to do with it? The comedy comes from a similar place, and it works well here as well.",Rango
4,Hitchcoc,"Once Again, Listen to the Venom",8,5 May 2019,"Rango manages to appeal to many interests. First of all, the recreation of the old West is charming. The animators have done a masterful job of producing a setting that really works. The chameleon star finds himself in Dirt, the aforementioned town, and is given the task of saving the water supply. Yes, it is a bit dark and the plot is sophisticated. So why so many 1's and 2's. Is it that people are so easily bored when their minds are a bit challenged by an animated film? This is one of the better films of the year and works on many levels. It also parodies tough Westerns that we have seen in contemporary times.",Rango
5,claudio_carvalho,No Man Can Walk Out of His Own Story,9,28 April 2012,"A family is crossing the desert by car with their lizard in an aquarium. The driver is forced to an abrupt movement to avoid an accident and the aquarium falls off the car on the road.The female lizard Beans gives a ride to the lizard up to an old western town called Dirt and he goes to the bar expecting to drink water. The braggart lizard tells that he is a dangerous gunslinger called Rango and the impressed locals believe that Rango is a hero and invite him to be the sheriff. Sooner Rango finds that water is missing in town and the Major has a suspicious behavior. But when the evil Rattlesnake Jake arrives in town, Rango assumes that he is a coward and quits his position. He walks to the road but the Spirit of the West convinces him to return and fight for those that had believed in him.""Rango"" is one of the funniest and most originals animations that I have recently seen with a parody to western movies and a tribute to Clint Eastwood, the stranger without a name, in ""High Plains Drifter"".The voice and the way of speaking of Johnny Depp are also hilarious. The 2012 Oscar of Best Animated Feature Film of the Year is in good hands. My vote is nine.Title (Brazil): ""Rango""",Rango
6,kosmasp,Skin I live in,7,14 December 2011,"I only watched the version that ran in the cinemas, so I can't comment on the extended Edition that is available on Disc. I personally liked the fact, that the movie didn't follow the trend to go 3-D (though you never know what ""clever"" marketing people will do in the future). I also liked the fact that the movie is goofy but also deep when it comes to its main character (spoken by none other then Johnny Depp).A great main character is always helping, but you also need good supporting characters. And you got them here too. While the story may unfold pretty much as you would expect it to, what will stay with you are the characters. And hopefully some of the jokes too.",Rango
7,classicsoncall,"""Ain't no one gonna tango with the Rango!""",8,17 December 2011,"Well I've seen all manner of Western stories - TV Westerns, revisionist Westerns, spaghetti Westerns - but this was my very first lizard Western. I have to say, I enjoyed the animated venue, but if you're a Western fan, the story itself isn't going to offer anything new or creative. The hero chameleon Rango goes up against the crooked town boss and Mayor of Dirt, who's been buying up all the property around the town while controlling the local water supply. As usual there's a lone hold out, in this case the female lizard character known as Beans. When things look a little shaky for the Mayor, he brings in his gun for hire, Rattlesnake Jake to put an end to Rango's quest. I had to chuckle over the Rattlesnake's appearance, he had the faintest of a moustache line across his lip reminding me of so many Western villains. The picture inadvertently and I'm sure unintentionally pays homage to the little known 1975 Mexican Western ""Dead Aim"" which makes clever use of 'rattlesnake music' whenever a tense situation occurs.However there are overt nods to other better known films that most viewers will be able to recognize. The first real battle action sequence is patterned after Luke Skywalker's aerial assault in the canyons of the Death Star. Then there's that real neat touch when Rango meets the Spirit of the West, a throwback to Eastwood's Man With No Name character. ""It's the deeds that make the man"" the Spirit says to Rango, and from that point on, our hero forges ahead to face his destiny. Was there ever any doubt that the final showdown would take place at High Noon? With all that, I think it's pretty safe to say that this isn't really a kids movie, even though the marketing for the picture seemed to paint it that way. The setting of Dirt and the grimy characters give the picture a dark and forbidding overcast, and though I'm no prude, I found a scene with Rango hugging a topless female doll form to be somewhat disturbing. That just sort of creeped me out when I saw it, and made me rethink an invitation to my granddaughter to watch the picture with me. She didn't after all, so I didn't have to do any explaining. There was also a line from a song referencing 'refried beans and booger blood' that wasn't particularly appetizing as I ate my dinner while watching the picture, but I could see how little boys would get a kick out of that one.",Rango
8,gavin6942,Grossly Overrated Film,6,21 April 2012,"Rango (Johnny Depp) is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.How this film won the Oscar for best animated film of 2011 is beyond me. All I can think is that there just were not very strong contenders for the prize (I know I cannot think of any). I will say the animation itself is amazing -- it is quite possibly the best animation I have ever seen. So, George Lucas, you have outdone Pixar and you should be proud.And I will also say I enjoyed the references to ""True Grit"", Clint Eastwood and Lee VanCleef. Oh ,and Hunter Thompson. I think those were an excellent touch. I wish that Eastwood himself could have lent his distinctive voice.But the film does seem to just feel very flat for me. While the plot is alright, I could not get myself to care about the characters. Who lived or died was of little consequence to me... even Rango himself was not much of a hero.Roger Ebert says the film is ""wonderfully made, great to look at, wickedly satirical"" and he gives it four stars! The review is a big, slobbery kiss with repeated calls to see it and bring your family. I guess whatever Ebert was drinking must not be in my refrigerator.",Rango
9,lee_eisenberg,no one expects a western (or an animated feature) to mention Kim Novak,6,9 November 2019,"Having directed Johnny Depp in the Pirates of the Caribbean movies, Gore Verbinski had him voice the lead role in the Academy Award-winning ""Rango"". The movie has a common plot, but what caught my eye were the pop culture references. We get references to the spaghetti westerns, natch, but also to ""Fear and Loathing in Las Vegas"", ""Chinatown"", ""Apocalypse Now"", and others. The tykes can enjoy the gags while the adults can laugh at the references. An OK movie. I guess that its overall message is to develop responsibly.Worth seeing.",Rango
