,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Lovely love notes but just don't ask too many questions,6,9 June 2014,"Dr. Kate Forster (Sandra Bullock) is starting a new job in Chicago leaving behind her rental lake house with a forwarding address. Alex Wyler (Keanu Reeves) is an architect who just purchased the lake house. He's finds Kate's letter but there is something strange going on. He returns a letter that she receives. She writes him back. It makes no sense that she's saying it's 2006. It's soon obvious that he's actually living in 2004 getting letters from the future.Time warp seems to be a thing to inject into romances. It's a way to break out of the old clichés to create a whole new cliché for the genre. Both Bullock and Reeves are good romance actors and have a Speed reunion. As for time traveling romance, this is a light, slow moving one. If there is any passion, it exists in the exchange of little poetic love notes. However, it's not one that the audience should ask too many questions about. The characters don't exhibit the big excitement that a time traveling mailbox should instill in these characters. There are obvious avenues that the characters don't explore. The mailbox time travels for heaven's sake. In the end, it's the lovely actors that keep the movie on track.Spoiler ********* I hate the ending and I don't think it makes sense.",The Lake House
1,claudio_carvalho,Beautiful and Magical Tale of Love,7,30 January 2007,"In Chicago, the lonely architect Alex Wyler (Keanu Reeves) has a troubled relationship with his father Simon Wyler (Christopher Plummer). In 2004, he buys an old glass house in a lake, designed and built by his father, and he finds a message in his mailbox from the former tenant, the also lonely Dr. Kate Forster (Sandra Bullock), asking to deliver her correspondence in an address downtown. Alex meets his brother Henry (Ebon Moss-Bachrach) in Chicago and when they go to the address with Dr. Forster's correspondence, they find a building of luxury apartments under construction to be delivered eighteen months later. After some messages, Alex and Kate disclose that she is living in 2006 and Alex in 2004, they fall in love for each other and they try to find means to meet each other.""The Lake House"" is a beautiful and magical tale of impossible love, with a wonderful chemistry between the gorgeous Sandra Bullock and Keanu Reeves. The story has many flaws and lack of explanations, and slightly recalls the idea of the excellent ""Sliding Doors"", but better off forget the inconsistencies and enjoy the nice love story. My vote is seven.Title (Brazil): ""A Casa no Lago"" (""The House in the Lake"")",The Lake House
2,gavin6942,"Less Entertainment Than Speed, But a Better Film",8,1 July 2006,"After over-analyzing this as I analyze everything, I discovered a variety of continuity flaws (not unlike the issues presented in ""Frequency""). But I enjoyed this film so much, I was able to overlook them.We have the team of Reeves and Bullock reunited; and as ""Speed"" proved, this is a romantic pair that works magic on the screen. I'm surprised it took this many years to get them together again. And from a director I've never heard of before (though whose work I will pay notice of in the future).The story is of two people connected by a lake house they have both lived in, and find themselves growing more and more in love with each other although they have never met. A series of interactions and some manipulation of time starts to make a real relationship possible. (Don't worry, this is not a sci-fi film by any means... it is perfect for a date and will not make you look like a nerd if you enjoyed it.) Reeves is not known for his stellar acting, but luckily for him this role is not that difficult (besides a scene where I thought his crying was a bit overdone... though I admit it made me sniffle). Bullock, also an acting lightweight, is in top form here -- lovable, romantic, sweet, intelligent and showing off a new hairstyle completely reinventing her look. After years of being anti-Bullock, I may have been converted.The colors are somewhat muted that gives it (to me) the effect of always being the autumn. I think this set a great tone that there was a constant sadness that could not be avoided. Not unlike ""Derailed"" and the gritty look of the filming.I recommend this film, and doubly so if you see it with a special someone.",The Lake House
3,jboothmillard,The Lake House,6,14 January 2009,"12 years since the lead actor and actress starred in Speed together, they are reunited for fantasy romance drama. Basically Kate Forster (Sandra Bullock) is moving out of her lake house to begin work in a hospital, with a new flat in the centre of the city. Alex Burnham (Keanu Reeves), a young architect, is the new owner of the lake house, and working in the construction of some new buildings. Kate and Alex maintain correspondence, talking about the house, with letters put in the lake house letter box, but they both find out the letter box is some kind of time communication channel. Kate is living in 2006, while Alex is living in 2004, so Kate is telling Alex all about what life is like in two years time, and it seems they are falling for each other, even though they may never meet each other. However, Kate comes up with the idea that Alex should retrieve the book of Jane Austen's ""Persuasuon"" that she remembers forgetting in 2004, and Alex plans the same for Kate, he arranges a meeting in two years time at a restaurant, despite the fact she already has a boyfriend. Kate is not convinced with Alex when he doesn't show up, and she asks him not to write anymore, but thank goodness she realises the reason he didn't show up was because he was dead, so she sends the letter that saves him, telling him to wait two years and meet at the lake house, and they do. Also starring Christopher Plummer as Simon Wyler, Dylan Walsh as Morgan, Shohreh Aghdashloo as Dr. Anna Klyczynski, Ebon Moss-Bachrach as Henry Wyler, Willeke Van Ammelrooy as Kate's Mother and Lynn Collins as Mona. Quite an interesting romance film that apparently not many people make, probably because of worries audiences won't accept certain absurdities, certainly worth a whirl. Good!",The Lake House
4,moonspinner55,"Forget the house, what about that haunted mailbox?",7,21 October 2006,"A glass house built on stilts over a lake near Chicago helps bring together a condo-developer and a kissless female doctor who has just begun practicing at her first big-city hospital. The trouble between them is, he's writing to her from 2004 and she's in present day 2006, and their link is a mailbox with a sense of time all its own. Superfluous-seeming romantic drama with an initially-perplexing story conceit actually works better than you might think (thanks to some sharp writing and handling, and nicely underplayed lead performances by Keanu Reeves and Sandra Bullock). Some of the plot elements don't bear close scrutiny (it might drive you mad to examine the details), yet fantasy films are governed by their own set of rules, and this one plays fair within its narrative structure, although it does keep the architect waiting an awfully long time just to get the girl. *** from ****",The Lake House
5,tavm,You have to be in the right mood to enjoy The Lake House,5,16 October 2006,"I just saw The Lake House with my mother and father. My dad left early on believing the movie was lousy. My mom and I stayed and while I understood most of what was going on, Mom kept getting confused until nearly the end. I think the ending was a little confusing for both Mom and me and it wasn't until I read many of the Q and A blogs that I understood both the timelines and why things happened at certain times. Both Sandra Bullock and Keanu Reeves are wonderful in their leading roles and Christopher Plummer and Shohreh Aghdashloo are equally good in their supporting ones. If you don't think too much about the logic of sequences, you may get carried away by the romance of the movie with the beautiful Chicago scenery. Me, I'm still wondering how it ended the way it did...",The Lake House
6,edwagreen,Don't Jump in the Lake House 0*,2,11 April 2007,"Absolutely dismal story of a current occupant and past one of a lake home. They meet by mail and must find a way for a more meaningful relationship until it's too late. As far as I'm concerned, it was already too late. The film is quite dull and Keanu Reeves and Sandra Bullock both appear to be totally frustrated with it.There is a cameo appearance by Christopher Plummer who portrays an embittered father, who as a famous architect never got over the fact that his wife left him with the 2 sons. Plummer quickly exits due to two heart attacks that he suffers. Unfortunately, this film is enough to bring another one on.One day, Bullock sits with her mother outside only to witness a man struck by a car. Though she portrays a physician, there is little she can do but watch the victim expire. There is also little that can be done with this film. A real total sleeper.",The Lake House
7,michaelRokeefe,A mystical romance. Boring!,3,27 September 2006,"You've got to be kidding. There have been stranger things, but I don't think director Alejandro Agresti intended this to be one of them. THE LAKE HOUSE finds Dr. Kate Forster(Sandra Bullock)moving from her visually stunning lakeside home to an apartment in downtown Chicago. The new tenant of the lake house is frustrated architect Alex Wyler(Keanu Reeves), who starts receiving notes from the lonely doc. They soon find themselves all wrapped up in their correspondence and soon realize they are meant for each other. Nothing strange about that, except she is living in 2006 and he's in 2004. Thus a long-distance time-warp romance. I actually fell asleep somewhere in the middle.",The Lake House
8,sunwarrior13,A Decent American Remake Of A Korean Love Story,8,8 October 2011,"The Lake House is a story between two marginally depressed people namely:Kate Forster (Sandra Bullock),a doctor who once resided an unusual lakeside home also known as the Lake House and Alex Wyler (Keanu Reeves),an architect who happens to be its former occupant. Their romance begins when they exchange letters via a mysterious and magical mailbox.The Lake House is a remake of Il Mare.So how does the Korean original compare to the Hollywood remake?In my opinion,Il Mare was a lot better than The Lake House.Here are the reasons why.1. Il Mare keeps the audience guessing as to what is going to happen next while the plot is clichéd in The Lake House.2. You care more about Han Sung-hyun and Kim Eun-ju in the Korean version as compared to Alex and Kate in the Hollywood version. Credit that to Jun Ji-Hyun's performance as she has the ability to make you sympathize with her characters in her films. While in the Hollywood version, Keanu Reeves is not fit for any kind of romantic leads for he is more suited for action films like Speed and the Matrix.3. There was more emotion in the Korean version as compared to that of the Hollywood version. You know that the leads do care a lot for each other. 4. The Korean version focused on both leads and their loneliness while the Hollywood version involved more characters which made the viewer felt less for the emotions of the leads.5. Finally, the use of mailbox and writing letters was probably still common in South Korea during 1997 and 1999 in the Korean version while the use of email,Google and the internet was already a way of life in the United States during 2004 and 2006 in the Hollywood version which made the plot of The Lake House less realistic and presented more plot holes. For movie fans who loves romance and love stories,check Il Mare instead of The Lake House for I give the movies a 10/10 and an 8/10 respectively.",The Lake House
9,jotix100,"Valentine's Day 2004, 2006, 2008",7,2 July 2006,"Having seen a few of Alejandro Agresti's Argentine films, we decided to see what he had done with ""The Lake House"", his North American film debut. The choice is odd, because Mr. Agresti's films have never dealt in subjects so esoteric like the one in this before, something that American studios' higher ups love to give their audiences in the form of a romantic film.""The Lake House"" is a re-make of a popular Korean film, ""Il Mare"", which seems a strange title for a film from that country. The original screen play by Eun-Jeong-Kim seems to be the basis that David Auburn, its adapter, used to ""translate"" the film and made more accessible.We are taken to a beautiful property by a lake near Chicago, where both Alex Wyler and Kate Forster lived in. There are things that keep puzzling the viewer as he sits through the movie. The best has to do with the way the letter box outside the house serves as the indication of how Kate and Alex communicate with one another, but is it real? We keep getting indications along the way that perhaps their meeting, fleeting as it was, only serve to frustrate the two lovers because of the constraints of time.Kate and Alex loved one another deeply, but they were never to enjoy the love they felt because things kept getting in their way. There's always the two year difference that at the end seems to make sense, but which keeps us guessing throughout the movie.Keanu Reeves and Sandra Bullock worked together before. They show an easy chemistry that makes the viewer root for them because we believe they sincerely love one another. Both actors make a great team and one can see why they were cast together. Others in the cast include Christopher Plummer, Shohreh Aghdashloo, Dylan Walsh, Ebon Moss-Bachrach, among the featured players.""The Lake House"" is a romantic film that will delight especially those that have loved and lost a dear one.",The Lake House
