,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Challenging,8,7 October 2018,"The third recent picture from director Jeremy Saulnier, following on from his BLUE RUIN and GREEN ROOM (two films I thought were excellent), HOLD THE DARK is a tougher, more challenging picture that takes more effort from the viewer going in. This is no longer a simple, pared-down revenge thriller like his previous pictures, but something more subtle and less clearly-defined. The excellent Jeffrey Wright plays a wolf expert who arrives in a small Alaskan town to investigate a child taken by a wolf pack. He soon discovers that he's in a place populated by some very disturbed individuals indeed. Saulnier's film is a slow burner that commands close attention and is very satisfying despite providing no easy answers. As ever, long stretches are broken by sudden, shocking twists and bursts of violence that'll have you wincing. There's at least one jaw-dropping set-piece and some great acting from the likes of James Badge Dale and Alexander Skarsgard. The ending fizzles very slightly, but overall HOLD THE DARK is a fresh, engaging picture that reminded me of the similarly dark Korean picture THE WAILING.",Hold the Dark
1,SnoopyStyle,a bit muddled,5,12 October 2018,"Medora Slone's young son was taken by wolves. He's not the only one. She recruits wolf expert Russell Core (Jeffrey Wright) to hunt down the wolf responsible. Her husband Vernon (Alexander Skarsgård) returns from serving a disturbing tour in Iraq.It's dark. It's grumpy. It's mumbled silence. The story telling is a bit jagged. The movie should center solely on Jeffrey Wright and he should be more active. A lot of times, he is the wise black guy trying to help the mostly white people. It's an old trope of the magical black man. He should have more enterprise. I want Wright to be a bright shining star rather than a pin light in the murky sky. There is one memorable big shoot out action scene. I question some of the action of the cops. I would think they try to flank the one gun position which only one guy attempts. The good aspect comes from the power of the gun. The bullets can punch through which is more realistic and scarier. It heightens the tension. Overall, I do like Wright and the dark moodiness but not the jagged and muddled story telling.",Hold the Dark
2,nogodnomasters,Anchorage is not Alaska,8,17 October 2018,"Russell Core (Jeffrey Wright) is an author on wolves. He is contacted by Medora Slone (Riley Keough) who lives in northern Alaska and that is all she knows. Her son was taken by a wolf and she wants Mr. Core to hunt down the wolf. Medora is a bit spacey, but Core agrees. Her husband Vernon (Alexander Skarsgård) is fighting overseas in ""not a real war."" He is eerily quiet and a man of extreme action. At 35 minutes we get the first twist, followed by another one 15 minutes later. The twists is what holds your attention. There is a lot of local things about the dark sky, being born ""unnatural"" and using wolf's oil as a cure. It also discusses savaging. It is the type of film that could have been adopted to the Louisiana Bayou. Not for everyone and I am not sure I understood the theme or the ending. Guide: F-word. Sex-rape. nudity (Riley Keough)",Hold the Dark
3,kosmasp,Or don't ... whatever works,7,17 April 2019,"While not as gripping as The Grey or rather focused I should say, this has quite some momentum. The acting is really something to behold and the story and characters are really out there (no pun intended). So while this may feel to uncertain or mysterious to some (you might have more questions about the whole thing after it is over than you had before), it might be exactly what others might have been looking for.Characters are very weird and I reckon you could also call them sketchy. There is an aura surrounding them and there is mythological strands woven into many things. If you are into that sort of thing and believe in certain things, the movie gives you freedom to read certain things into it. So in that regard the movie is rich and deep - but will it be enough to also be entertaining enough for the viewer? That I can't answer for you",Hold the Dark
4,classicsoncall,"""I can see you need to let the wolf out a little.""",7,1 June 2020,"Ahh, if only I'd read the book first! A number of reviewers for the movie here on IMDb explain details that aren't made readily apparent in the movie, which on reflection make perfect sense, but are mentioned only briefly and casually in the picture so it's almost impossible to make the connection. I think the film could have been scripted to add a little more understanding of the relationship between Medora (Riley Keough) and Vernon (Alexander Skarsgård) Slone, because knowing their actual relationship would have added a lot of clarity to the story, if not a creepiness factor added to the proceedings. I did get engaged in the picture, but when it came to the very ending, I had the same kind of reaction as I did with ""No Country For Old Men"", which leaves the viewer with a huge question mark hanging over one's head. What I can tell you about movies cast with Native American individuals, I get the biggest kick out of the names of the players. This one had Julian Black Antelope as the renegade Yup'ik Cheeon, and a supporting cast that included Joseph Whitebird, Tantoo Cardinal and Karen Powderface. You can't get more authentic that that.",Hold the Dark
5,searchanddestroy-1,A plate of caviar given to pigs,9,2 October 2018,"I am so upset to see that many people did not like this movie ONLY because it doesn't look like others. of course there are no super heroes here. Silly people who have subscribed to Nerflix are ready to watch any item available, without checking first if they are made for them. Proposing such a masterpiece to those dudes is like giving caviar to pigs; it's a very complex film, that I have myself not entirely followed and I measure how much it deserves to be seen at least three or four times. I don't understand why audiences say it' a crap ONLY because it is an unusual film. I LOVE this feature.",Hold the Dark
6,Calicodreamin,Wtf did I just watch?!,2,17 May 2020,"This movie makes absolutely no sense, sparse dialogue, confusing storyline, and weird people. Indescribably weird and nonsensical. People die left and right, wolves are somehow involved, and it just randomly ends. Avoid this movie!! It gets 2 stars because good dark vibes from the cinematography.",Hold the Dark
7,Aaron1375,Did I miss something?,6,9 October 2018,"I see this movie is a bit polarizing here on IMDB as some people describe it as a masterpiece and it is only us stupid Americans that do not understand its brilliance while others hate it saying it is a pointless movie with virtually no plot. Where do I fall in? I say it was an interesting movie that does fall apart due to the fact it literally had a non-ending. Seriously, us Americans may not be as smart as you Europeans, but this film literally had no ending, any idiot could see that. Oh, and by the way, movies here in America are made with explosives and all that stuff and pretty much dumbed down for European and other foreign lands so take that for what it is worth. I enjoyed aspects of this film very much and I thought it was racing towards some thrilling conclusion, but it seems to me someone did not know how they wanted this thing to end. Either the director did not like the original ending in the book, or the book had a really anticlimactic end to it and the director didn't want to change it (yes, this film is based on a book).So, the story has a woman whose son is apparently killed by a wolf writing to a man who has written a book about a wolf he had tracked and killed. He comes to the very isolated community to at first try to reason with the woman, but then decides to try and hunt the wolf; however, he is not there one day before this woman is acting very strangely. Her husband is injured in the Middle East and he too behaves a bit strangely. At first, one thinks that perhaps they are just in shock over the loss of their son, but soon the wolf hunter learns that the boy was killed by his mother and she goes on the run setting off a violent pursuit by the husband who kills anyone in his way while the hunter looks on stunned by the violence that begins to rule the day. The film at times seemed as if something supernatural was going on, and that could be the case, but I cannot say for sure because the movie just kind of ends without any type of real resolution. The film is about a descent into darkness where the husband and wife seem to be becoming more animal like in nature and me and my fiance started to think that perhaps the wife was a werewolf and she wanted the hunter to kill her, but then the husband comes in and starts killing everyone who had nothing to do with his son's death. Apparently, in the book the wife and husband were also brother and sister; however, this is not as clear in the film as only a couple of clues hinted at this relationship between the two. Still doesn't explain their motives or the lack of an ending.So, it was an interesting watch and I would have scored the film higher, but the ending totally came out of nowhere and was so anticlimactic that it ruined all that had preceded it. I am curious to read the book now just to see if it too ended in such a fashion, or what I would hope to find something that brings closure to the story. I was watching this and then the film ended and both me and my fiance were like, ""WTH!"" Made me think the thing ended prematurely or something. Still, good acting, good setting, this film just needed some work in terms of the story and the finish.",Hold the Dark
8,Wuchakk,"Unpredictable bleak Alaskan adventure, mystery, thriller",8,28 May 2019,"An author and wolf expert (Jeffrey Wright) arrives at a remote village in Alaska to help rid the town of a wolf problem that has resulted in a few dead children. Riley Keough plays the troubled mother and Alexander Skarsgård her taciturn husband coming home from Iraq. James Badge Dale appears as the local sheriff while Julian Black Antelope is on hand as a curious AmerIndian named Cheeon.""Hold the Dark"" (2018) is a combination mystery/drama/adventure/thriller/horror. It's original, unpredictable and dead serious with elements of movies like ""The Grey"" (2011), ""Runaway Train"" (1985), ""Wendigo"" (2001), ""The Frozen Ground"" (2013), ""The North Star"" (1996), ""Joyride"" (1977) and ""The Edge"" (1997), not to mention a ""Apocalypse Now"" (or Joseph Conrad's Heart of Darkness) and even a little from the ""Friday the 13th"" franchise, albeit without the goofiness. Imagine if the band Agalloch made a movie and that's pretty much ""Hold the Dark"" (there's even a snippet from an Agalloch-like band in the movie).It's based on the book by William Giraldi and some viewers have complained that key revelations weren't obvious enough in the film. Well, I never read the book and wasn't able to figure out these revelations, but this didn't prevent me from appreciating this artistic nigh masterpiece. Afterward, I looked-up the revelations and they put the pieces of the puzzle together; yet the clues are all there (in the movie) if you watch closely. My wife watched the film separately and WAS able to glean these revelations. But, again, not being able to figure out every detail did NOT prevent me from valuing this great movie.The film runs 2 hours, 5 minutes and was shot in Alberta, Canada (Lethbridge & Calgary), and Morocco.GRADE: A-/A",Hold the Dark
9,trashgang,great atmosphere,9,6 January 2019,"Available on Netflix, my father-in-law told me to go watch this one. He assured me it was great but a flick not for everybody. After seeing it I must agree.For me this was a great movie made by Netflix. Just like Apostle (2018) this is on teh bloody side and sometimes it even comes in the gory area. It's nbot a horror, but it do has some creepy moments. I liked this a lot due the place it takes place and the excellent performance by Alexander Skarsgård. What he delivers here is really top notch. Perfect casting. I can't say what it's all about because I would have to spoil a lot but if you can dig mysterious flicks with an edgy side and gory effects then this is a must see. Again, many disliked it by that reason but the score, the acting and the atmosphere throughout this flick made it for me one of the best movies of 2018!
Gore 3/5
Nudity 0/5
Effects 4/5
Story 4/5
Comedy 0/5",Hold the Dark
