,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Good atmosphere,7,23 September 2013,"It's 1921 after the horrors of WWI, England is full of charlatans trying to scam grieving people. Florence Cathcart (Rebecca Hall) is a professional skeptic driven to exposing hoaxes and getting the cons arrested. Robert Mallory (Dominic West) invites her to investigate a ghost at a boarding school. There was a murder long ago that could be the source, and recently a student had died. Florence is met by governess Maud Hill (Imelda Staunton) and the boy Thomas Hill. Teachers and staff soon goes on vacation leaving Florence alone with Robert, Maud and Tom in the school.This setting has a good old fashion atmosphere. It's basically a big old isolated building with a handful of people and a ghost story. You can't really get any more classic than that. The story does have a convoluted twist that could be quite problematic. I was able to follow the twist, and I'm fine with it. Rebecca Hall is a nice capable actress. And she makes a good avenging heroine and a damsel in distress.",The Awakening
1,claudio_carvalho,A Time for Ghosts,8,25 May 2012,"In 1921, in London, the arrogant and skeptical Florence Cathcart (Rebecca Hall) is a famous for exposing hoax, helping the police to arrest con artists. The stranger Robert Mallory (Dominic West) tells her that the headmaster of the boarding school in Rookford had invited her to travel to Cumbrio to investigate a ghost that is frightening to death the pupils. He also tells that many years ago there was a murder in the real estate and recently the pupil Walter Portman had died. The reluctant Florence finally accepts to go to Cumbrio.On the arrival, she is welcomed by the governess Maud (Imelda Staunton) and the boy Thomas Hill. Sooner Florence discovers what had happened to Walter and then the students, teachers and staff are released on vacation, and Florence remains alone with Robert, Maud and Tom in the school. Florence is ready to leave the boarding school and strange things happen. Florence comments with Robert and he tells that there is only three persons in the boarding school, leaving Florence scared.""The Awakening"" is a ghost story that begins with the information that between 1914 and 1919, the war and the influenza claimed more than one million lives in Britain. The storyline is very similar to the 1995 ""Haunted"", with a woman that exposes hoax and swindlers traveling to her home town to investigate a ghost that is haunting the students of a boarding school. Nevertheless the supernatural story is engaging and has many plot points with new revelations. My vote is eight.Title (Brazil): ""O Despertar"" (""The Awakening"")",The Awakening
2,nogodnomasters,HORROR/THRILLER SLEEPER,9,6 December 2018,"Rebecca Hall stars as Florence Cathcart an educated woman who debunks spiritualists. The movie opens with a seance in 1921 London. Our heroine springs into action.She is then requested to come to an orphanage where a ghost of a boy has been spotted and photographed. She dismisses the ghostly images, and accepts the task.
Florence is an independent and educated woman, who smokes. She reminded me of Anne Hathaway in this role. As her investigation proceeds, Florence begins to doubt her skepticism/atheism.Interesting film with a twist that has clues. Good use of sound. Enjoyable.PARENTAL GUIDE: Sex and nudity (male and female)",The Awakening
3,kosmasp,"Finally, Rebecca Hall has come back ...",6,9 May 2013,"... to our screens? Well she hasn't been away too long. Actually right at this moment she can be seen in Iron Man 3. But she hasn't done that many horror movies now has she? Dorian Gray of course, but she seems to be cast in comedies mostly. But her range is phenomenal. Look at her performances and she never seizes to amaze. In Lay the Favorite with Bruce Willis she seems like a complete different person. Especially to the one that can be seen in this movie.The story might not be everyones taste, but you can decide that for yourself. I thought it was nicely handled and I was about to give the movie a 7/10, but the ending did not completely satisfy me. I think I was hoping it'd go the other way. Nevertheless this is a decent horror movie with quite a few scares thrown into the mix",The Awakening
4,gavin6942,Looks Great,6,14 October 2014,"In 1921, England is overwhelmed by the loss and grief of World War I. Hoax exposer Florence Cathcart (Rebecca Hall) visits a boarding school to explain sightings of a child ghost. Everything she believes unravels as the 'missing' begin to show themselves.We have great-looking cinematography with its colorization, giving the illusion of it taking place long ago (why this effect works is a mystery). But maybe that is all we have.Roger Ebert rated it 1.5/4 stars and wrote that the film ""looks great but never develops a plot with enough clarity to engage us, and the solution to the mystery is I am afraid disappointingly standard."" Yep, that is all. While this looks better than the average film (definitely the average horror film), it is not nearly as engaging as it could be, and just never hits home.",The Awakening
5,jboothmillard,The Awakening,3,30 September 2013,"I saw the DVD cover for this film plenty of time in the DVD rental and retail stores, I knew it was a scary movie, and I found out afterwards one of the makers of TV show Ghostwatch was involved, but that didn't make any difference to me having watched it. Basically it is 1921, in London, Florence Cathcart (Rebecca Hall) being arrogant and skeptical has a reputation for exposing hoaxes and con artists and helping the police arrest those involved, and her latest assignment is at a boarding school in Cumbria where apparently a ghost is haunting and frightening the pupils to death. School teacher Robert Mallory (Dominic West) tells her that years ago there was a murder on the estate, and pupil Walter Portman died recently, she eventually accepts to go, she is welcome on arrival governess Maud Hill (Imelda Staunton) and lonely child Thomas 'Tom' Hill (Isaac Hempstead Wright). The school is empty of all the pupils and teachers apart from Florence, Robert, Maud and Tom, and while the investigation into what happened in the boarding school that made everyone leave, and when the remaining characters plan to leave themselves that is when strange things start happening. Also starring Joseph Mawle as Edward Judd, John Shrapnel as Reverend Hugh Purslow, Cal Macaninch as Freddie Strickland, Lucy Cohu as Constance Strickland, Shaun Dooley as Malcolm McNair, Diana Kent as Harriet Cathcart and Richard Durden as Alexander Cathcart. The cast were okay, Hall being feisty, Cooper being serious and Staunton being creepy, it is the story and what was going on that was the problem for me, the bits that were meant to be scary did not work, I didn't feel tension or nerves while watching, and I agree the conclusion is silly, well, actually the whole film is silly, a disappointing period supernatural thriller. Adequate, in my opinion!",The Awakening
6,ma-cortes,"Well played terror movie with thrills , chills , horrific events and sinister atmosphere",7,17 October 2021,"Creepy and eerie film in which a gloomy ghost haunts a school and while an arrogant fake investigator called Florence (Rebecca Hall) discovers false psychics, as she goes to investigate it at a far and solitary location : Umbria, where has happened a strange murder. She arrives to investigate the weird and ghastly boy who's terrorizing the schoolboys and awakening the house's darkest inhabitant at the isolated mansion and then Florence learns a sinister secret . There Florence is welcomed by the suspect governess (Imelda Staunton) and a shy little child (Isaac Hempstead) . With the help of the headmaster (Dominic West) of the Boarding House they must fend off the damned spirit who takes the scared kiddies. As she becomes the next target for the dark ghost resulting in a twisted and surprising finale . All the children are gone...except one. He never forgets . He never left .The pace of the movie is slow but I never found it dull , the plot deals with a paranormal investigator who finds out false cases of fake medium, cheater clairvoyants , and swindler fortune tellers . As the scary tale narrates the legend of a manor and reveals more untold secrets , evil and tricks of a menacing ghost. It belongs to ""Haunted House"" sub-genre with various notorious films from the Sixties as ¨The Haunting¨ 1963 by Robert Wise , going on to nowadays . Main and support cast are pretty good . As Rebecca Hall as a skeptical private investigator who exposes frauds and hoaxes , Dominic West as the principal who falls for her , Imelda Staunton as the stiff-upper-lip housekeeper , Isaac Hempstead Wright as a weird student , Shaun Dooley , Joseph Mawle , and John Shrapnel as a local priest.The picture follows the style of the recently successful Brit films as : ¨The Woman in Black¨ 2012 by James Watkins and its sequel ¨Angel of Death¨ 2014 by Tom Harper . It contains a colorful and evocative cinematography by Eduard Grau. As well as frightening and moving musical score by composer Daniel Pemberton. The motion picture was compellingly directed by Nick Murphy . He's a good craftsman who often works for Britsh television and BBC , making several TV episodes and series, such as : Christmas Tale , The Fog , Nightflyers , Rogue , Surviving Disaster ,The Secret , Prey , Primeval , Dracula , Occupation , Heroes and villians, among others . And occassionally for cinema he has only made two nice films : Blood and this The Awakening 2011. Rating : 7/10 . Better than average horror movie . The flick with appeal to terror fans .",The Awakening
7,hitchcockthelegend,There's no place on earth people understand loneliness better than here.,7,12 October 2015,"The Awakening is directed by Nick Murphy and Murphy co-writes the screenplay with Stephen Volk. It stars Rebecca Hall, Dominic West, Imelda Staunton, Isaac Hempstead Wright, Shaun Dooley and Joseph Mawle. Music is by Daniel Pemberton and cinematography by Eduard Grau.Britain, post World War 1, and Florence Cathcart (Hall) makes a living as an exposer of charlatan spiritualists, a debunker of ghost sightings. When she receives a request from school master Robert Mallory (West) to investigate the supernatural events at a remote boarding school for boys, she is suitably intrigued to take on the assignment...It comes as no surprise to find that numerous reviews for The Awakening make reference to ghost story films that were made previously. The Woman in Black released a year later would suffer the same fate, charges of it not bringing nothing new to the table etc. A ghost story set in a big mansion or remote educational/correctional establishment is what it is, and will continue to be so, all fans of such spooky fare ask is that it does it well and maybe add some adult themes into the bargain. The Awakening does these in spades.The concept of a disbeliever in ghosts having their belief system tested to the full is not new, but it's a great concept and one with longevity assured. Here, boosted by a terrific performance from Hall, the screenplay consistently keeps you guessing. The possibilities of real or faked are constant as the director pumps up the creep factor, whilst he simultaneously crafts a number of genuine shock sequences - including one of the best doll house scenes put to film! This really has all the requisite jolts and atmospheric creeps for a period spooker.It's not until the final quarter when the screenplay begins to unravel its mystery, a finale that has proved both ambiguous and divisive. The ambiguity factor is a little baffling since everything is made clear in a nicely staged scene, and this is something which the director has gone on record to state as well. As for the divisive side of things? That's a blight for this sub-genre of horror. It's convoluted! Contrived! It has been done before they cry! These are true to be sure, and without doubt there's a leap of faith required to not get annoyed, but it garners a reaction and has done its ghost story essence very well indeed.Beautifully photographed, scored and performed by the leads to boot, this is for sure one for fans of period spookers with brains. 7.5/10",The Awakening
8,LeonLouisRicci,Extremely Muddled Ending...But Getting There is Worth a Watch,7,28 March 2017,"Atmospherically Glum and Goosebumby with its well Mounted Cinematography and Stunning, Captivating, Realistic, Scientific Devices makes this Muddled Movie Forever Watchable.The Good Acting from the whole Cast Lead by Rebecca Hall and Dominic West also can Attract Attention.But after the Story Unfolds and Certain Things are Revealed, the Film just Collapses under the Weight of Ambiguity, Confusion, and a Desire to Wallow in its Own Cleverness. It is one of the most Mysterious Missteps in Recent Movies about Ghosts, Haunting, and the Paranormal.It leaves the Viewer Deflated of the Awesome Spectacle and Spectres Previously on Display. A Display that Captured and set a Convincing, Terrifying Tone. But what Followed was, in the Last 20 Minutes, so Mishandled and Unfocused that it seemed like Another Writer and Director Took Over the Project.Everything that made the Jarring Journey Unsettling was Discarded for a Wispy Wind-Up that Wanders All Over the Place with an Aloof Attitude about the Devastating and Consequential Considerings that made the Story so Profound to Begin with.",The Awakening
9,CinemaSerf,"Not exactly scary, but still quite effective...",6,25 November 2020,"This is quite an intriguing film - more of a thriller than a horror, with a good cast and some good writing. The no-nonsense Rebecca Hall (""Florence"") is a sort of exorcist-type of woman - well versed in exposing not so much real spectres as fakes and hoaxers, who heads to a boarding school where there have been reports of some ghostly goings on. When she arrives, suitably sceptical - she discovers that the place does have some murderous history to it and matron ""Maud"" (Imelda Staunton) stays with her to get to the bottom of the mystery with ""Robert"" (Dominic West) and the young pupil ""Tom Hill"" (Isaac Wright) whilst the other children are on holiday. The characterisations are a little on the shallow side, and it's not exactly a fast moving affair, but the acting is efficient and there are just enough creepy scenes to keep it interesting, with a magnificent stately home setting.",The Awakening
