,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Just Out In The Woods Recording When..........................................,8,11 February 2009,"John Travolta is a sound engineer out in the woods during the dead of night trying to record some woods type noises for the latest film he's working on when he sees an accident in which a state governor is killed, a potential presidential candidate. He also records the distinct sound of a gunshot before the car went off a bridge and into a creek at night. Travolta also dives into the creek and rescues Nancy Allen, but is unable to save the male in the car. He finds out later about his VIP status.Director Brian DePalma obviously used a twist on the tragedy at Chappaquiddick as the basis for Blow Out. The title comes from the official police investigation where they say the car had a blowout which caused the accident, but Travolta insists on his version. And his sticking to the story is making a lot of people uncomfortable.Travolta does a nice job in a film role that a generation or two earlier James Stewart might have done, the average every man who gets heroic status thrust upon him. He's an ordinary man, but he wants the truth to come out.Look also for some good performances by Dennis Franz as a sleazy photographer and John Lithgow as a very thorough killer who really loves his job. He not only wants to hide his murder in a forest, he plants his own forest so to speak.Brian DePalma keeps the tension moving at all times in a manner worthy of Hitchcock. It was a good part for John Travolta, one of the last he would get acclaim for for some time.",Blow Out
1,Leofwine_draca,One of De Palma's finest,9,8 December 2015,"Another solid and stylish thriller from director Brian De Palma, who once again weaves his magic technically with lots of split screen effects, cool use of slow motion and excellent photography. This is a typically well-crafted movie, taut with plenty of suspense, twists and turns and one which keeps you guessing up until the finale as to the final outcome. All of the elements that made early Brian De Palma films successful are present, from the presence of regular performers Nancy Allen and Dennis Franz filling out roles to the flashy, overblown visuals and excellent command of action (check out Travolta's impromptu jeep chase across town, which wreaks havoc, for an example of the master at work). Although not as darkly horrific as De Palma's previous DRESSED TO KILL, BLOW OUT still contains a number of non-explicit but grisly murders that'll have you shifting in your chair, and the top-notch finale involves more woman-in-peril thrills to great effect.The leading role is taken by a young and handsome John Travolta, still riding high after the success of Saturday NIGHT FEVER. Travolta - although never one of my favourite actors, I have to admit - plays his part well and comes across as a dependable heroic character, with none of the overacting that plague more recent parts for the actor. Nancy Allen plays a rather grating ditzy female character who gets caught up in the action yet somehow manages to make herself likable rather than irritating whilst Dennis Franz has a small but fine part as a real slimeball. Kudos to John Lithgow for creating such a memorable character, one of the best in De Palma's filmography. BLOW OUT is a fine example of the thriller genre at its most successful and the unusual plot - in which sound effects are the key - works to its advantage, making it a movie to seek out and watch.",Blow Out
2,SnoopyStyle,great De Palma,8,26 October 2015,"Jack Terry (John Travolta) is a sound recording artist for B-movies. One night, he's out recording sounds when a car drives off the bridge. He dives into the creek and rescues Sally (Nancy Allen). It turns out that state governor McRyan was the driver. McRyan's man Lawrence Henry convinces Jack to cover up Sally's involvement. As he examines his recording, he discovers what sounds like a gunshot. Meanwhile Burke (John Lithgow) is trying to cover it all up. Manny Karp (Dennis Franz) filmed the incident and is selling the pictures.This is Brian De Palma with many of his visual touches. It's reminiscent of other great movies Blowup and The Conversation. Travolta is in his early hot streak. I wish Nancy Allen didn't do the girly voice and her character not be so slow. The story is full of paranoia and turns. I love the simplicity of Travolta working on his film. The whole movie has a great sense of impending doom.",Blow Out
3,mark.waltz,"Any film that mentions ""Sugar Babies"" gets a gold star from me!",7,10 March 2021,"After all, you really don't expect that in a John Travolta / Brian DePalma movie, especially as mentioned by Nancy Allen. this is a decent, sometimes slow moving psychological thriller, a film noir in the same year of ""Body Heat"" and the remake of ""The Postman Always Rings Twice"".Travolta is really good as a sound editor for a cheap horror movie company in Philadelphia (not quite the horror film capital of the world), an expert on looping, so he's busy working on trying to fix a really laughable scream in the newest film which results in some very funny scenes.While out recording sound effects, he witnesses a car cleaning over a bridge, and rescues the girl inside, only to find that the man with her was the governor, a possible presidential candidate. Nancy Allen is the girl he rescues, a dingbat lady of the evening, and the governor's associates (one of them John McMartin) don't want that revealed.But Travolta's certain that there's a cover-up and suspects by discovering the sound of a gunshot that the tire on the car was blown out. He's determined to uncover this conspiracy which leads to him dealing with law enforcement, the scheming press and a murderous John Lithgow.While at first Allen got on my nerves, I came to actually care for her because she's a baby doll spirit in a grown woman's body, so her lack of acting ability worked for this part. There's still questions to be answered long after the film is over, and the twist in the finale is really macabre, but in certain ways, the film is also ahead of its time. The excellent photography which makes good use of Philadelphia location footage during the centennial of the Liberty Bell is a plus.",Blow Out
4,gavin6942,Incredibly Awesome,8,7 November 2013,"A movie sound recordist (John Travolta) accidentally records the evidence that proves that a car accident was actually murder and consequently finds himself in danger.First of all, I loved Travolta in this role and would have to rank it among his very best. Then, we find that Travolta lobbied De Palma to cast Nancy Allen for the role (as the three had previously worked together on ""Carrie""). Good call. Allen is incredible and really nails this role.On top of the obvious look at the making of movies from a darker angle, De Palma also revisits the theme of voyeurism, a recurring theme in much of his previous work (including ""Sisters"" and ""Dressed to Kill""). This works for him and is much appreciated.Travolta's obsessive reconstruction of a sound recording to uncover a possible murder recall both Michelangelo Antonioni's film ""Blowup"" and Francis Ford Coppola's ""The Conversation"". Obviously the former inspired this film (which even borrows the title), and the latter is very much along the same lines. Who does it better: De Palma or Coppola? Roger Ebert said the film ""is inhabited by a real cinematic intelligence. The audience isn't condescended to... We share the excitement of figuring out how things develop and unfold, when so often the movies only need us as passive witnesses."" Agreed, and well said. I never knew one minute to the next who was a good guy or bad guy and whether or not our heroes were safe... and that is a good film.",Blow Out
5,lee_eisenberg,several conspiracies rolled into one,6,18 February 2008,"By the time that ""Blow Out"" got released, there had been a number of movies dealing with suspicion of the government (""Three Days of the Condor"" and ""All the President's Men"", to name a few). I get the feeling that Brian DePalma was trying to capitalize on the genre - it's got pretty much the same plot as ""The Parallax View"" and ""Capricorn One"" - and the ending seemed a little bit as if they didn't quite know how to end it, so they gave it that ending.But still, the whole thing looks realistic. I don't doubt that the events portrayed could actually happen. Yes, it's true that John Travolta went thirteen years before starring in another good movie, but he nonetheless plays his role perfectly. Nancy Allen, John Lithgow and Dennis Franz also play their roles perfectly. Of course, I still say that DePalma's best movie ever is ""The Phantom of the Paradise"".",Blow Out
6,Woodyanders,"One of Brian Pe Palma's best, most gripping and underrated thrillers",9,20 May 2007,"Likable audio technician Jack Terri (splendidly played by John Travolta) does sound effects for cheesy low-grade slasher horror flicks. One fateful night while recording natural sounds on a bridge Jack records and witnesses a car crash which kills the state governor who was an aspiring presidential candidate. Jack also rescues and befriends the governor's rather dumb, but really sweet mistress Sally (a beautifully endearing performance by the adorable Nancy Allen). When Jack begins to investigate the circumstances behind the crash, he finds out that someone shot out one of the tires on the car and thus caused the accident to happen. Pretty soon both Jack and Sally are put in considerable danger. Directed with tight, stylish, assured aplomb by Brian De Palma, who also wrote the ingenious script which cleverly blends elements of ""Blow-Up"" and ""The Conversation"" into an absorbing and inspired synthesis, with exquisitely fluid, slick, sparkling cinematography by Vilmos Zsigmond (the occasional use of split screen is especially tasty and impressive), plenty of nerve-wracking suspense, an intricate conspiracy thriller plot, a charming and touching love story between Jack and Sally, and a rousing, pulsating, elegant orchestral score by Pino Donaggio, this crackling ripper comes on like total gangbusters from start to finish. Travolta and Allen are outstanding in the leads; they receive terrific support from John Lithgow as vicious, coldly pragmatic assassin Burke and Dennis Franz as sleazeball blackmailer Manny Karp. From its bravura dead-on opening hilarious send-up of tacky slice'n'dice schlock to its exciting climax and bitterly ironic conclusion, ""Blow Out"" overall rates as an absolute powerhouse that comes highly recommended.",Blow Out
7,rmax304823,A Tragic Accident,5,27 October 2006,"Even if this film were more than moderately engaging, I believe I still wouldn't find it very satisfying. Who can help wincing at every ripped off scene? Aside from the generic influences of the women-in-jeopardy and slasher movies, there is of course the impact of Hitchcock. At some point an homage must be recognized for the rabid imitation that it is. The Hitchcock style is noticeable throughout -- lots of first-person points of view. And some scenes are lifted, not quite intact, from some of Hitchcock's set pieces. In ""Dial M For Murder"", Hitchcock has the would-be strangler stand silently behind the unsuspecting victim, the strangulating scarf stretched taut and held just behind her head, and there are a couple of false starts while the audience squirms and wants to shout a warning. Ditto. Only here the instrument is not a white scarf but a thin garrote and the murder attempt succeeds. It can at least be said, though, that the writer/director has extended his range -- shamelessly imitating not only Hitchcock but Antonioni's ""Blow Up."" The plot seems to go every which way. A governor is assassinated in the presence of a floozie. A hit man (John Lithgow) is cleaning up the loose ends by murdering everyone who might know anything about the set up. Those in the know include the floozie (Nancy Allen) and a sound man for a movie company (John Travolta) who just happened to be recording nature sounds in the park when the murder took place. Another guy (Dennis Franz) was also on the spot and photographed the ""accident"" while testing some new film in his movie camera. The incident takes place on a dreary wet night on a deserted street except that it seems to be the least deserted street in the world.Travolta pieces the bits of the puzzle together but finds they've been wiped out. The cops don't believe him. He enlists the aid of Allen, though there's nothing much she can do except provide another victim for Lithgow's evildoer.At the end, Travolta cradles her body while fireworks explode in the sky behind him and the tragic music of Donaggio pounds us into insensibility. He replays Allen's final scream again and again. It's as if he's lost the love of his life, whereas in fact the two hardly know one another. Travolta acts naturally and is passable. For some reason Nancy Allen is given a working-class New York accent, and she can't handle it. She comes across as Barbara Nichols but without as much talent.Who engineered the assassination of the governor and hired Lithgow? We never find out. It's symptomatic that we don't really notice the fact. Nor do we care much.",Blow Out
8,BA_Harrison,Designed to wow the senses.,8,27 February 2014,"While working late at night, movie sound recordist Jack Terry (John Travolta) records a car crash that claims the life of a future presidential candidate. After repeatedly playing back his tape, Jack is convinced that the crash was not an accident and slowly unravels an assassination conspiracy that puts his life in serious danger.Although Blow Out shamelessly half-inches it's basic premise from Antonioni's Blow Up (albeit with a bit of Hitchcock-style suspense chucked in for good measure), the sheer level of skill demonstrated by director Brian De Palma is more than enough to make up for any lack of originality in the plot. From the wonderfully orchestrated and very amusing film-within-a-film opening (which mercilessly mocks the slasher genre), to the tense finalé that takes place amidst a blaze of fireworks, Blow Out is a master-class in movie-making, a breath-taking, meticulously planned and flawlessly executed audio visual treat bristling with innovative camera-work, incredible editing and creative lighting.Star Travolta puts in a terrific central performance and is ably supported by the lovely Nancy Allen as Sally, the not-so-innocent girl he manages to save from the car, Dennis Franz as sleazeball-for-hire Manny Karp, and the sublimely creepy John Lithgow as Burke, the hired killer who enjoys his dastardly work just a little too much.",Blow Out
9,moonspinner55,"A stylish failure...handsome, but lumbering and ridiculous",4,18 May 2004,"Brian De Palma has fun at first, setting up a reel of what looks to be a T&A thriller, but there's a twist and it's very clever and catches the audience off-guard. John Travolta (in a solid, unflashy performance) plays a movie sound-effects man who captures on tape what appears to be a car crash from a tire blow out, but which is actually steeped in the kind of hyperbolic movie-thriller conspiracy which soon brings in Dennis Franz as a photographer, John Lithgow as a psychopath, and (worst of all) Nancy Allen as a hooker--they're all stock figures. Travolta works hard to create a character here, and the production is stylish, chilly and atmospheric, but the screenplay is rather sleazy and over-written. Once again, director De Palma plots a final twist for his viewers, shamelessly attempting to tie this heavy-handed plot together, but one can only scoff at his crass final 'gag.' Worse than a bad joke, it simply has no class. ** from ****",Blow Out
