,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,Leofwine_draca,Twists you definitely won't see coming,6,15 July 2018,"Twist follows twist in this complex psychological drama from South Korea. FORGOTTEN is the story of two brothers, one of whom is kidnapped violently by persons unknown only to turn up, seemingly unharmed, some three weeks later. However, his brother is concerned by his sibling's unusual behaviour, and the plot develops from there. Let me say that this is one film where you WON'T be able to figure out the myriad twists and turns that develop throughout the narrative, because they're completely out of left field and quite original too. The film's production values are typically strong, as with all modern Korean cinema, and there's a good amount of scary dream sequences, action in the form of frenetic chases, and character complexity to make this work.",Forgotten
1,kosmasp,Never forget,9,22 December 2020,"Netflix has quite some interesting movies/productions and this is one of them. Korean thrillers are quite good most of the time anyway (at least in my book). One may wonder where they come up with that stuff and ideas. But I'm happy they do and I happily watch them too.Like this one, that keeps you guessing from the start to the finish. Certainly some decisions may feel akward or wrong that characters take, but that is just how things work. Also it will make sense (more or less) in the end. Keep guessing, keep trying to figure out where this goes - it's almost impossible I'd say. Unless you've read a synopsis and even then, it had to be quite thorough ... so I urge go in this without reading too much about it and enjoy the thriller you are being served ... and the enticing story with it ... I don't totally agree with the ending this chooses, but it makes sense with the sensibilities and the mood overall ...",Forgotten
2,paul_haakonsen,"Implausible storyline, but otherwise entertaining enough movie...",6,26 December 2018,"I am a big fan of South Korean cinema, and I usually jump at any chance I get to sit down and watch a movie to make it out of South Korea. As I did when I got the chance to watch ""Forgotten"" (aka ""Gi-eok-ui bam"").I must admit that I didn't know what the movie was about, nor did I know who starred it in or even what kind of genre it was. It was Asian and from South Korea, that was all the persuasion I needed.The movie does start out great, and the events that take place in the movie really had me puzzled. I didn't figure out what was going on before it was revealed towards the end. So director and writer Hang-jun Jang managed to pull off a nice trick here, as I was kept in the dark throughout the course of the movie.However, I must admit that somewhere along the midway of the movie, give or take, I did feel like the movie was starting to lose some of its appeal and my interest started to ebb. So there was somewhat of a slump there that had to be overcome.The acting in the movie was quite good, and they had some nice actors and actresses on the cast list to perform these various different roles and characters.The ending of the movie was very, very anti-climatic, and it just wholeheartedly sent an abrupt blockade on what would otherwise have been a very entertaining movie. And the ending is the reason why I am lowering my score to a 6 out of 10 stars, whereas it was otherwise set to get a 7 out of 10 stars.While the events throughout the movie was somewhat confusing, but then started to make sense once you figure out what was going on, it just felt like the entire plot of the movie was so very implausible and just felt horribly staged and that also took away from the enjoyment of the movie.All in all, ""Forgotten"" is an entertaining enough movie, if you enjoy a mystery thriller, with emphasis on mystery. But this is hardly among the top of the line in entertainment to make it out of South Korean cinema, not even by a long shot.",Forgotten
3,phd_travel,One unpredictable movie - absorbing,7,11 July 2020,"There are some good points about this movie. It draws you in and keeps you interested. The plot is unpredictable with some twists that take you by surprise. When it seems there are just too many things to be explained, don't worry there is an explanation. It's far fetched but throrough - too elaborate a scheme to achieve the outcome. I was entertained but I wish the ending had been different. Kang Ha Neul acts well. He is a convincing actor unlike some of the newer generation.",Forgotten
4,deloudelouvain,The best Korean movie I saw until now,8,1 March 2018,"I saw already a lot of Asian movies and most of the times they're just not my cup of soup. But every now and then you get a little gem. Like this one. And I'm not surprised it's a Korean one, because almost all the good Asian movies I saw before were Korean. I couldn't tell you if I saw those actors before because I just can't memorize their names. But these actors have definitely qualities. Forgotten or Gi-eok-ui-Bam is a very captivating story that will keep your attention from the beginning till the end. It's a very well made mystery movie with a lot of twists and turns. Twists that you don't see coming at all. To me Forgotten is one of the best if not the best Korean movie I saw until now.",Forgotten
5,paulclaassen,"Wow, amazing thriller!",7,31 July 2019,"I absolutely love Korean cinema for their unique story telling and unpredictability. 'Forgotten' did not disappoint!Bloody hell, I never expected this film to be so scary and creepy! It literally gave me gooseflesh! There are so many twists. From an average family moving into a new home, to hearing strange noises from a room in the house, to a kidnapping, and strange behavior, this was an incredible roller coaster ride of emotion, thrills and chills! The acting was also very good and convincing.The action and suspense is masterfully done, and the reveal during the final act left me sitting there thinking ""I never expected this!"" Wow, wow, wow, this was absolutely amazing! 'Forgotten' takes the viewer in so many directions, this film deserves to be watched a few times to fully grasp the impact.",Forgotten
6,RosanaBotafogo,Excellent film...,9,8 May 2021,"Very good, South Korean cinema really has great works to be discovered, a dramatic and mysterious suspense, if it is not original, at least it is ingenious and well produced, it leaves us confused and intrigued, a lot of the time, we were trying to understand the enigma, the still yields some good scares, persecutions and anguish... Wonderful script, fantastic development, we are completely connected... The final scene was a little sad... Excellent film...",Forgotten
7,jtindahouse,A twisted ride perfectly constructed for maximum enjoyment,9,17 July 2021,"The greatest feat a filmmaker can achieve in my opinion is to make a complicated movie easy to understand for an audience. When a film is as complex and layered as 'Forgotten' and yet you never once find yourself lost in the plot, that's a real achievement. The story structure of this movie is fantastic. This was a fun ride.The film begins with some clunky narration with a character speaking about his brother. It felt like the beginning of one of those old 'Beyond Belief: Fact or Fiction' segments. I was a little worried at that point, however from there the movie flourishes. The characters are complex and deep, the dialogue is interesting and subtle and the story has a great element of mystery to it right until the end.I'm still yet to find a bad Korean movie. They just don't make them seemingly. 'Forgotten' is a dark, well paced and brilliantly crafted film that is well worth your time. 9/10.",Forgotten
8,andrewchristianjr,DIFFICULT TO WATCH.,8,8 September 2021,"This movie was really fun! It had a mystery that kept me intrigued and wanting to know what was going on. When all is revealed it does turn into something sad and difficult to watch. Overall, very dramatic in the second act.",Forgotten
9,AnnaPagrati,WOW!,10,19 September 2021,"Oh my God!! I'm utterly speechless with this movie, every plot twist, simply wow!",Forgotten
