,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,bkoganbing,Goooooooooooooooooooood Morning Preston Sturges,8,30 June 2009,"It finally hit me when I watched Good Morning Vietnam what this film reminded me of. It was the famous Preston Sturges classic, Sullivan's Travels which coincidentally as it turns out is one of my favorite films.Both the real life Adrian Cronauer and Joel McCrea's fictional John L. Sullivan have to come to the same realization, that what they do matters a great deal. In Sullivan's Travels it's to the movie going public in general, in the case of Cronauer it's to the GIs in Vietnam stuck in a war where no one could ever know who the enemy was. A few laughs from a comic genius was necessary to get them through the day in their very cockeyed world.Adrian Cronauer was a real life person, but if he didn't bear a resemblance to Robin Williams, he should have. One of the great comic masters of any era in entertainment, Robin Williams is given full range for his zany sense of humor to work its magic with Cronauer. He's ably abetted and assisted by the other staff members of Armed Forces Radio Forest Whitaker and Robert Wuhl. Bruno Kirby is great as the clueless lieutenant in charge and so is J.T. Walsh who represents the limits of the military mind as the sergeant major out to get Williams by hook or very dirty crook.Williams himself doesn't understand the complexities of the Vietnam situation. That fact is brought home to him graphically when he's betrayed by his own innate decency.Next to Williams my favorite in the cast is Noble Willingham who plays the general who has overall charge of Armed Forces Radio there. He's a tough, but compassionate military man, the exact opposite of J.T. Walsh whom he has to reign in.Good Morning Vietnam is a frank portrayal of a war experience told with humor and irony through the eyes of Robin Williams.Preston Sturges would have absolutely adored this film.","Good Morning, Vietnam"
1,SnoopyStyle,more than a simple Robin Williams rant,8,12 November 2013,"Director Barry Levinson takes a more comedic take on the Vietnam war like other great war comedies such as MASH. Adrian Cronauer (Robin Williams) is the new DJ in a stiff Armed Forces Radio. Edward Garlick (Forest Whitaker) is his best friend and Lt. Steven Hauk (Bruno Kirby) is the humorless superior. Adrian's life gets more complicated as he falls for a Vietnamese girl and befriends her brother.Robin Williams is doing his crazed manic persona. He lets his mouth run wild. Some of it work great. Some of the humor is era sensitive. How funny is a Lady Bird Johnson joke today? But how funny was it back in the 80s? Luckily, there is a story behind the crazy wise-cracking Robin Williams rants. The story works well with a good performance from the Vietnamese brother played by Tung Thanh Tran. But it is all Robin Williams and he shows that maybe he could be a great actor for the first time.","Good Morning, Vietnam"
2,Prismark10,Here's Robin,6,1 August 2013,"Robin Williams found fame on television with Mork & Mindy but his early foray into movies was hit and miss.Williams had yet to have a vehicle where his brand of humour can go at full flow. Good Morning Vietnam was it. The story is loosely based on the experiences of Armed Forces Radio DJ Adrian Cronauer.By playing the DJ, Williams could free-wheel it on the mic, provide laughs and annoy the authorities in this case Bruno Kirby who certainly does not get his humour. He and JT Walsh conspire to get him off the air. These two certainly did not want soldiers to be happy.As the story progresses you get some drama, but it's not quite the horrors of the Vietnam war in the way films such as Platoon would show it.After all this is still a comedy and the drama is secondary.This was Williams movie where he could be anarchic. It started a run of performances in comedy and drama that rewarded him with an Oscar a decade later.","Good Morning, Vietnam"
3,classicsoncall,"""Lock 'n loll, baby! Lock 'n loll!""",7,20 May 2019,"If you ever witnessed a Robin Williams interview after he broke out his Mork from Ork character, you'd know that he took his manic persona into overdrive whenever he appeared on variety or talks shows of the era. It always struck me that he couldn't do enough to outdo himself, to the point that sometimes he looked like he was trying too hard. His character here, airman Adrian Cronauer, is sort of representative of what I'm talking about, whenever he's quipping on the radio or doing a version of stand up while stuck in military motor traffic. The movie is definitely an anti-war vehicle, cleverly disguised as a Robin Williams comedy, or as close to comedy as you can get while bringing the Vietnam War to the big screen. That stunning sequence of napalm ignited jungle juxtaposed with the lyrics of Louis Armstrong's 'It's a Wonderful World' creates just the sort of conflicted emotions the film is expected to arouse in the viewer, while the consequences of Cronauer's relationship with the young Vietnamese Tuan (Tung Thanh Tran) brings the horror of war into direct focus for one so unsuspecting. Bruno Kirby and J.T. Walsh bring a callous naivete to their roles as Cronauer's clueless superiors, and after the film was over, I though a more suitable ending would have had Cronauer reassigned as a DJ to a radio station in Guam. That would have been right after General Taylor (Noble Willingham) sent Sgt. Major Dickerson (Walsh) there to temper his rigidity as an officer. Would have served him right.","Good Morning, Vietnam"
4,gavin6942,Much more hyped than it really deserves.,6,4 September 2009,"Robin Williams plays Adrian Cronauer, a real-life DJ stationed in Vietnam. He confronts authority and does what he can to defend the Vietnamese people, while befriending one man and trying to date his sister with moderate success. And then things go downhill.I can sum this movie up in one sentence: Robin Williams is not funny. The film is full of him ad-libbing voices where he's a homosexual, or a redneck or referencing people that were probably forgotten in 1987, and definitely today. He's decent as an actor when not trying to be funny, but every attempt at humor falls flat. To make matters worse, people in the background are literally falling out of their chairs with laughter... I don't think so.Forest Whitaker is in this, and plays more or less no role other than to follow Cronauer around and be a somewhat dim-witted sidekick who can't ride a bike or start a jeep properly. That's unfortunate that Whitaker was sidelined for Williams.You've most likely seen this film, as it has aired on television a million times in the past twenty years. I avoided it, and only came to view it by random happenstance. This was, as it turns out, a mistake, and I was right to avoid it. (Also, if you have any interest in real Vietnam War history, the actual Cronauer makes it clear that Williams did not portray him even remotely accurately.)","Good Morning, Vietnam"
5,lee_eisenberg,good morning and (a very good) day,10,12 January 2006,"""Good Morning, Vietnam"" is truly Robin Williams at his best. As anarchic DJ Adrian Cronauer in 1965 Saigon, he makes sure that you never stop laughing. I really liked what he did with the tape of Richard Nixon's speech, and then his comment about the bombing of a restaurant. Most amazing is that he ad-libbed the whole thing (but hey, that's Robin Williams). Maybe Cronauer wasn't that wacky in real life, but every one of Williams' comments makes the movie worthwhile. The soundtrack even includes his monologues (you'll go crazy over the imitation of Lyndon Johnson, and the commentary from ""Roosevelt E. Roosevelt""). A comedy classic in every sense.","Good Morning, Vietnam"
6,jboothmillard,"Good Morning, Vietnam",6,7 September 2005,"I saw the clip of the leading actor shouting the catchphrase title, and eventually watched it during my time at college, and I'm glad I got see it again to get a proper opinion, directed by Barry Levinson (Diner, The Natural, Rain Man, The Bay). Basically, set in 1965 during the Vietnam War, Airman Second Class Adrian Cronauer (Golden Globe winning, Oscar and BAFTA nominated Robin Williams) arrives in Saigon to work as a DJ for Armed Forces Radio Service. Private Edward Garlick (Forest Whitaker) takes him to the radio station and is introduced to Second Lieutenant Steven Hauk (Bruce Kirby) and Sergeant Major Phillip Dickerson (J.T. Walsh). Cronauer's show, which opens with his catchphrase ""Good morning, Vietnam!"" consists of reading strictly censored news and irreverent humour segments mixed with rock and roll music, which is frowned upon by his superiors. Hauk adheres to strict Army guidelines and Dickerson is generally abusive to all men. But Cronauer and his show become very popular with the troops, Brigadier General Taylor (Noble Willingham) and his fellow DJs, including Sergeant Marty Lee Dreiwitz (Batman's Robert Wuhl). Whilst exploring the streets, Cronauer is infatuated with a Vietnamese girl named Trinh who attends an English class. He tries to talk to her but is confronted by her brother Tuan (Tung Thanh Tran). Croneaur tries instead to befriend him, only for two soldiers to get into a brawl with him. One afternoon, while relaxing in Jimmy Wah's, a local GI bar, Croneaur steps outside, two soldeiers are killed and he is shaken after the building explodes, caused by a bomb. Dickerson censors the news, but Croneaur locks himself in the studio and reports it anyway, outraging Dickerson. Dickerson cuts off the broadcast and Cronauer is suspended, to the delight of Hauk and Dickerson. Hauk takes over the show, but his bad humour and choices of music are unpopular and many letters and phone calls come demanding that Croneaur is reinstated. Feeling down, Cronauer spends his time drinking and pursuing Trinh. At the radio station, Taylor intervenes, ordering Hauk to reinstate Cronauer, but he refuses to go back to work. Garlick and Cronauer's vehicle is stopped by congestion caused by a convoy of soldiers. Garlick persuades Cronauer to do an impromptu ""broadcast"" before the troops are due to fight in Nha Trang. The soldiers appreciation reminds Cronauer why the job is important, and he returns to work. Dickerson seizes an opportunity to permanently rid himself of Cronauer by approving his request to interview soldiers in the field. Whilst travelling, Cronauer and Garlick's Jeep hits a mine, and they are forced to hide from Viet Cong patrols. In Saigon, Tuan realises Cronauer did not show up at the English class and steals a van to go after them. After finding Cronauer and Garlick, the van breaks down and they manage to board a helicopter to take them back to the city. Back at the base, Dickerson tells Cronauer that he is off the air for good after Tuan is revealed as a VC operative and is responsible for the bombing. Dickerson has arranged for Cronauer's honourable discharge, and General Taylor is unable to help him as his friendship with Tuan could damage the reputation of the US Army. After Cronauer leaves, Taylor informs Dickerson that he is being transferred to Guam, citing his vindictive attitude as the reason. Cronauer chases down Tuan, who explains that his actions against the Americas were retaliation against the U.S. army devastating his hometown, resulting in the deaths of family and friends. Before disappearing back into the jungle, Tuan reminds Cronauer that he did save his life despite this, implying that their friendship was true. On his way to the airport with Garlick and MP escort, Cronauer visits the English class for a quick softball game, with the MPs joining in, and says goodbye to Trinh. He gives Garlick a taped farewell message and boards the plane to take him back home to Queens. Garlick takes Cronauer's place as DJ, and plays the tape on air the next morning, which opens with Cronauer saying ""Goodbye, Vietnam!"" Williams gives a terrific performance that suits his rapid-fire improvisational stand-up comedy style perfectly, including funny voices and impressions. It is based on a true story, it is funny at the right moments, it has a good soundtrack of 1960s music, especially the clever use of juxtaposition, using the happy song ""What a Wonderful World"" by Louis Armstrong during the explosions and tragedy of the war, and it is serious and dramatic when it needs to be, it is a worthwhile black comedy war drama. It was nominated the BAFTA for Best Sound. Robin Williams was number 19 on The 100 Greatest Movie Stars, the film was number 31 on The 100 Greatest War Films, and it was number 100 on 100 Years, 100 Laughs. Good!","Good Morning, Vietnam"
7,ma-cortes,Entertaining and fascinating movie about a frenetic Disc Jockey during Vietnam War,7,9 January 2012,"An unorthodox DJ begins to shake up things when he is assigned to the US Armed Services Radio station in Vietnam ; it is based on real life Adrian Cronauer . An impulsive new Disc Jockey named Adrian Cronauer (Robin Williams), on whom story was based , is shipped from Crete to Vietnam to bring humor to Armed Forces Radio. The irreverent radio man turns the studio on its ear and becomes wildly popular with the soldiers , realizing uproarious monologues but runs afoul of the middle management (J.T. Walsh , Bruno Kirby ,Robert Wuhl) who think he isn't G.I. enough . D J brings rock 'n' roll to troops during that period when the Vietnam War matured from its origins into a full-blown war as he briefly ruled Saigon's Armed Forces Radio in 1965 . While Adrian is off the air accompanied by his aide-de-camp (Forest Whitaker) attempts to meet Vietnamese especially women , and results to have brushes with the actual war that never appears on the radio.It's a stunning and absorbing story that is based on real events and historical deeds . The storyline tackles issues of ethics and morality and the horror war . The movie in spite of the passed time is still powerful and astounding. The film is a Robin Williams recital as he realizes a splendid portrayal of a frantic disc jockey as he plays , sings , stooges, tongue twister and pulls faces and grimaces . It's a farce with the master comic pretty amusing and with several wonderful songs from the 60s . Robin copped a first rate acting , achieved a lot of success and a well-earned nomination for best main actor . Williams' improvisational manic monologues are the spotlights and carry the film in an interesting story which meanders too much . Ideal main cast is completed by phenomenal secondary actors as J.T. Walsh , Robert Wuhl, Noble Willingham and also shines Bruno Kirby as jealous superior. Marvelous musical score by the classic Alex North -Cleopatra,Spartacus- , including relevant musical interludes . Coloristic cinematography by Peter Sova , the outdoors filmed in Thailand are spellbound and breathtaking . The motion picture is compellingly directed by Barry Levinson -Sleepers, Bugsy, Avalon- . This is a highly amusing and frequently funny War/drama/comedy romp with a witty script specifically aimed an adult audience . Picture is a vehicle Robin Williams , he's the whole show , he's an outrageous comic and real Farceur. If you like Robin's crazy interpretation , you will most definitely enjoy this one . Well worth watching for enjoyable performances from main cast as well as the warfare buffs who also will like it . Rating : Very good , worthwhile watching and better than average .","Good Morning, Vietnam"
8,blanche-2,great improv by Williams,8,15 April 2012,"""Good Morning Vietnam"" is the story of Adrian Cronauer - well, that's how it started out - until Robin Williams got his hands on it. The real Cronauer actually didn't employ humor in his broadcasts. But I'm sure he was very happy to have a star such as Robin Williams interested in his story.In the '60s, Cronauer is assigned to the US Armed Services Radio station in Vietnam and finds it pretty dull with a lot of boring music playing. He immediately shakes things up with his broadcasts, which begin GOOD MORNING Vietnam. He makes a lot of jokes, plays a lot of rock music, and infuriates some of the powers that be with his total irreverence. He also develops a crush on a young woman (Chintara Sukapatana) and follows her one day to an English class. He ends up teaching some of the more colloquial phrases to the class, which is delighted, and he becomes friendly with the young woman's brother (Tung Thanh Tran). He starts hanging out at a local bar and even gets used to the food.Despite his immense popularity, the waves he is making threaten to get him drummed out, as he is unhappy about censored news and one day mentions a tragedy that occurred on the radio. Slowly, Cronauer sees more of the war, meets soldiers going into combat, and learns the hard way that he can't trust everyone, and he gets a big-time reality check.Filmed in Thailand, Good Morning, Vietnam is a really excellent film that combines comedy with drama, improvisation with a solid script and manages to show the horror of war and its effect on the citizens and soldiers.Williams, who improvises all of the radio shows, is marvelous as Cronauer, here a man who uses humor in his life until he is faced with some harsh truths -- and even then, in one of his darkest moments, he finds his sense of humor again. Forrest Whitaker, as a soldier working at the radio, gives a wonderful performance. As Lt. Steven Hauk, Bruno Kirby is brilliant as a delusional man who thinks his groan-worthy sense of humor and Mantovani music is just the ticket for a radio show.Well worth seeing by baby boomers for the nostalgia value (though not all good) and by anyone to appreciate the skills of Robin Williams as an actor and comic.","Good Morning, Vietnam"
9,michaelRokeefe,"Funny, touching and very interesting war story.",7,6 January 2001,"Barry Levinson mixes rock 'n' roll and comedy with the Viet Nam conflict. This movie makes Robin Williams a 'big' screen star. Airman Adrian Cronauer(Williams)is assigned to an Armed Forces Radio station in the DMZ. He brings with him an irreverent, crude, and some times lewd comedy to the air waves. He plays a real good selection of 60's tunes and brings a piece of home to his listeners. Several of his commanding officers don't agree with his style of comedy and wish that he take his rapid-fire wit and banter elsewhere. Of course, the war goes on and so does life.This ensemble cast also features: Forest Whitaker, Bruno Kirby, Robert Wuhl and J.T. Walsh.","Good Morning, Vietnam"
