,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,kosmasp,Delusions(?),7,31 March 2021,"Do I consider this a great movie? No. Do I think it can be entertaining, especially if you consider the ""competition"" this has when it comes to similar movies? That is a very big yes. So I reckon I am a little bit surprised, but I reckon when people get savvy and snarky and cynical ... I almost want to board their train to be honest.On the other hand, I also have expectatins to fulfill. And those include me being nice to movies from time to time. This being one of those instances. Especially considering that the shy one from Sex and the City is almost the complete opposite in this one ... Quite raunchy role she gets here. It is all in good fun ... if deadly games can be considered good fun that is of course.Try not to take this too seriously and you'll have a good time. All the mayhem and insanity included.",Deadly Illusions
1,Calicodreamin,Snooze,3,19 March 2021,While this tries to be a psychological thriller 'deadly illusions' is a snooze. The acting doesn't feel authentic and there's no chemistry. The storyline is fairly predictable and the brilliant twist falls flat. Characters lacked depth and made it hard to connect to the story. Story was basic and lacked development.,Deadly Illusions
2,cruise01,Horrible.,2,1 July 2021,1 out of 5 stars.Horrible psychological thriller film about a writer having writers block. Hires a nanny to watch over her kids. But when she becomes attracted to her and starts having illusions of whats real or not.Dumb plot that tries to keep you guessing. Even the twist is forgettable. The story feels like a bad lifetime movie. The acting is stale with the cast ensemble. The direction is dumb. And dull. This is one film worth passing.,Deadly Illusions
3,RosanaBotafogo,Favorable...,8,8 May 2021,"I liked the mysterious tone, but the convenient situations are annoying, when it comes to being surprised, quite the opposite, it became predictable in the first third of the film, however adorable, all the atmosphere of romance, exuding sensuality, what a perfect chemistry... Crazy, exhilarating, and Grace's forced but relevant end to the entertainment...",Deadly Illusions
4,alindsay-al,A Truly Awful Cringefest,1,22 March 2021,"Another day in Lockdown and another film to watch, this time it is Deadly Illusions and here is my review for it. The premise of the film sees an author hire a young babysitter to watch her children, when the two of them start to build a friendship and connection.Main Character
Kristin Davis of Sex and The City fame plays the lead character here and she is just not very good. Her character is really bland and uninteresting with Davis delivering some really cringe worthy dialogue that made her a character that never connected in any way shape or form.Supporting Characters
Greer Grammer plays the young girl that joins as the babysitter and she is also really bad here. She delivers line after line of awful dialogue and she just has some truly bad scenes that makes it hard for you to by anything in the film and the supposed chemistry between her and Davis which is never there. Dermot Mulroney plays Davis' husband in the film and he is literally just phoning it in and just playing the same character he does in every other project he is in. The rest of the cast offer nothing as well and the acting is just really bad.Story
Ever since Fatal Attraction was released, Hollywood has believed they can just churn out similar films for cheap with nothing unique and they are pretty much all bad and this one is no different. This film is laughably bad and throughout it does nothing interesting and then the last act happens and it is is just hilariously ridiculous and makes no sense.Script
The script is terrible, the dialogue is as mentioned above cringe. With drama, humour and romantic dialogue that are all terrible and the actors deliver it in such ways to make it seem even worse. Then someone wrote the ending of the film and they just had no clue what they were doing and maybe they should move into comedy.Style
The style of the film is awful, the pacing is so slow and literally nothing happens for ages and even when it does it is terrible. Plus this film is way too long, a film like this in 2021 should never be 2 hours long and it just keeps on going.Overall
Overall, this is a truly awful film. Deadly Illusions is one of the worst films of the year so far and is one that should never be seen by anybody.",Deadly Illusions
5,kwenchow,"A bit mystery, but overall full of boring conversation, and annoying overuse scene! Not recommended!",1,10 November 2021,"This film start with a bunch of people walking in a book store, and the introduction of the main character ""Mary"" scene! As turnout, this film is about a couple(Mary, and Tom) need to survive from the killing of a psychopath disguise as a babysitter ""Grace""! Entire film full of boring conversation, and annoying overuse scene! Such as, overuse of the walking scene, overuse of the searching scene, overuse of the drinking scene, overuse of the smoking scene, overuse of the preparing food scene, overuse of the dancing scene, overuse of the arguing scene, overuse of the calling names scene, overuse of the blackout scene, overuse of the sleeping scene, overuse of the driving scene, overuse of the slow motion scene, overuse of the kissing scene, overuse of the talking on the phone scene, and overuse of the writing scene! Make the film unwatchable! At the end, Mary visiting Grace after Tom survive from the killing of Grace! That's it! Wasting time to watch!",Deadly Illusions
6,joiningjt,This proves that Netflix makes up the top 10!! This was terrible I mean TERRIBLE!!,1,24 March 2021,"This is 1 of those movies that have absolutely no redeeming value at all, NONE, some of the worst dialogue ever, worst acting ever, and talk about a stupid predictable story done wrong here you go!! I like just about everything heck I've watched some 3.5 movies that I enjoyed its extremely rare I give anything under a 5 but this movie is soooooooo bad!! Netflix says it's the #1 movie in the country right now, that's absolutely a lie its impossible for this to be popular. Even jujitsu was better and that stunk!! It has nobody we know and its horrible and stupid but its #1 COME ON !! Liars!!!!!!",Deadly Illusions
7,mrdonleone,Good . movie,8,4 May 2021,Very good movie. Can I hear an Oscar??. Everybody should see this movie.,Deadly Illusions
8,martimusross,"A Good Thriller, Kept Me Guessing!",6,20 March 2021,"Deadly IllusionsOverall this was good fun, I am unclear why some reviewers have marked this so low, to my mind you got exactly what was on the tin.Kristin Davis overacted her way through this, she had the look, but it was all to intense and ultimately exhausting. This was a TV movie, nothing wrong with that.I'm going to give this a 6, it kept me guessing to the end and I rather enjoyed it!",Deadly Illusions
9,wisewebwoman,When series are desperately awful....,1,26 March 2021,"And I can't tear my eyes away from the hot mess on screen tearing out my eyeballs, I start to imagine a different script and perhaps the writer's intentions which somewhere along the line got chewed up by the dog or somesuch. So these are my thoughts. I don't think any of the savagery took place except in the author's imagination. Or the sex scenes between the two women. Speaking of sex, what I found alarmingly amusing was Dermot Mulroney diving under the sheets like a seal or a porpoise without one flicker of any kind of sexual excitement. Even the ending, which I won't get into here surely was in her imagination? This was telegraphed way back at the beginning when she talked about the ""episodes"" she has when she is writing her series of bestellers..And the acting was pitiful and the whole thing was very rushed. And the twins were so unequal in size as to lift the eyebrows a lot. Defo one of the worst of 2021 so far. Shame on you Netflix for throwing this garbage on our screens.",Deadly Illusions
10,btreakle,Loved it,8,20 March 2021,I personally loved deadly illusions. Kristen Davis was excellent in the pyscho-drama. Highly recommend this,Deadly Illusions
11,gianmarcoronconi,Foolish,3,20 July 2021,This film is special because it intrigues and entertains you for much of the film and then shows you a really ugly ending. Besides that most of the twists are trivial and non-trivial ones have no sense.,Deadly Illusions
12,nadkarnisumeet,Kristin shines. Film doesn't.,5,16 April 2021,"Deadly Illusions review :First things first. The only reason I spent two hours of my life on this loophole laden and at times, utterly predictable erotic thriller was only for my fave 'Sex and The City' star Kristin Davis. She plays a middle age novelist going through a writers block and to devote more time on work, hires a young nanny (Greer Grammer) to look after the kids. Not long before she starts sexually fantasizing about her sweet new employee and worse, unable to differentiate if this lesbian liaison is indeed her dream or the real world. Intense, eh?!!..you may ask.Nah, on the contrary, Deadly Illusions is like those typical B movies of Hollywood watched largely for guilt pleasure than anything else. The plot is unreal, the twists are laden with glaring loopholes and the climax (or anti-climax if you could call it that) is a huge let down with some unanswered questions. To put it bluntly, the film just crumbles in the last fifteen minutes. Sad to say this as there was a good concept here which got mauled and killed by inept execution.As for the ever charming Kristin, her performance is the best of the lot and you will actually sit through this muddle of a movie only if you love her. Others can skip it safely!!Regards,
Sumeet Nadkarni.",Deadly Illusions
13,rbrb,The Girls in the Band,8,25 March 2021,"A best seller authoress hires a nanny whilst she attempts to complete her next book.The mental stress and strain of writing the novel takes its' toil on the writer and causes her to suffer illusion or delusion when trying to finish the book.Or maybe she is actually experiencing the truthfulness of her life and her desires whilst at he same time her husband and the nanny are living out their feelings, sane or otherwise too?I loved this film and it had me mostly engrossed throughout.The poor reviews maybe down to the fact than many viewers cannot accept certain kinds of love, in particular within same sex relationships.
That relationship was done brilliantly in the movie.The two female leads vie with each other to steal the show; both are the winners!The ending is mightily thought provoking and shocking but at the same time wholly understandable.8/10.",Deadly Illusions
14,juanmuscle,I'm no shill I think this was damn good even...,10,22 March 2021,"Though I didn't understand the ending. I felt like it had me gripped the entire time and throughout the thing it was explaining itself while it told the story which was pretty inventive so I don't know , I thought it was pretty cool!",Deadly Illusions
15,Horror_Flick_Fanatic,Absolute trash,1,21 March 2021,"Branded as a psychological thriller, it isn't psychological nor a thriller. The true horror is that this movie occupies space on Netflix servers. Who wrote this crap?",Deadly Illusions
16,Sir_AmirSyarif,"Silly, third-rate 'Basic Instinct'-y thriller",3,19 March 2021,"Mary Morrison is a bestselling author who writes novels about ""passion, sex, lies, betrayal."" In order to focus on writing her next novel, Mary Morrison hires a young, hot nanny to look after her children - and maybe her husband too. It's pretty obvious where this is going. Anna Elizabeth James' 'Deadly Illussions' is a silly, paint-by-numbers, third-rate 'Basic Instinct'-y thriller with its thin and definitely confusing plot. Anyone who can sit through this without cringing at least once deserves an honorary Oscar. Stream it!",Deadly Illusions
17,cardsrock,One of the worst things ever,1,27 March 2021,"My god. This is beyond words. ""Films"" like this are truly a treasure to behold.The dialogue had me rolling. The acting is laughable. The plot is absolutely nonsensical once the ""villain"" is revealed. The entire purpose of this movie and the motivations of the characters do not even remotely add up. The big reveal is just insulting and tone deaf. I don't know how two decent-sized stars agreed to do this movie, but I'm glad they did. What a ride.",Deadly Illusions
