,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,unique,8,19 August 2013,"I was expecting something more shocking. Don't get me wrong. This is violent and misogyny at it worst. But we've seen it all before. Especially the worldly movie reviewers that are so eager to give it a zero. If anything, it's the minimalist acting that's unique here. And not just the limited dialog but it's the movement. They don't even move that much.The minimalist acting, the over saturation of color red, the grotesque violence, the misogyny, all of it adds to a unique feel unlike anything I've seen before. Even with all its oddness, it was compelling and mesmerizing. This is like nothing I've ever seen before and that's worth something to me.",Only God Forgives
1,nogodnomasters,I'd like you to meet my mother,6,25 April 2018,"There is nothing like an oddball Thai noir film with Ryan Gosling. Ryan runs a fight club in Thailand. His older brother Billy kills a prostitute. Billy in turn is killed by the father of the dead girl, assisted by a vigilante cop (Vithaya Pansringarm). Ryan realizes his brother was no saint and doesn't enact revenge and then the over the top drug dealing potty mouthed mom (Kristin Scott Thomas) shows up to makes things worse.The main problem with this film is that Ryan's character was never developed, or developed to the point you cared about him. It was a bad role. The drug dealing, while discussed wasn't really part of the plot other than background material. The background of Billy, was told to us as was many plot points that didn't mesh well into an enjoyable tale. Kristin Scott Thomas' character carried the film for what it was worth.This film is clearly not for everyone and I give three stars for its uniqueness and potential, not the entertainment value.Parental Guide: F-bomb, N-word. No nudity (unless you count art). No sex. Adult themes.",Only God Forgives
2,kosmasp,Masterpiece or boring piece?,8,3 October 2013,"Nicolas Winding Refn is not a predictable man. While many expected (and some reviews even suggested) that his follow up movie to Drive would be more of the same ... it's not! It's not like, if you loved Drive, you'll like/love his new movie too. While the coloring might be in the same area (code), it does not have many more similarities. It is closer to Valhalla Rising than Drive.Of course having Ryan Gosling starring in this does help. Also the other actors are really great. Whether they're speaking (rare occasions) or just stare at each other, beautifully lit, their charisma comes across. Yes the movie does move slow, but it also tries to take a simple theme of ""Revenge"" and make more out of it. Stylizing it, but not necessarily the violence it holds. There is a lot of violence, too much for some surely. But I won't convince people to watch something they don't wanna see. And I wouldn't want that ... because everyone has their own taste in movies. Decide for yourself if this is something you want to watch (either by looking at the Trailer or renting it and watching the first 10 minutes or less, if you don't like it)",Only God Forgives
3,lee_eisenberg,too confusing,5,28 October 2013,"Nicolas Winding Refn first came to my attention when I saw his 1996 movie ""Pusher"", about a drug-dealing ring in Denmark. I didn't see any more of his movies until I saw ""Only God Forgives"", starring Ryan Gosling as a man running a drug-smuggling operation in Thailand whose mother wants him to kill the men who killed his brother. The interesting thing about the movie is that the indoor scenes have a red tint, creating a surreal feeling. Unfortunately, that doesn't compensate for the movie's vagueness. It's as though hardly anything happens in the movie. I could barely understand the plot. Gosling did a lot better in ""The Place Beyond the Pines"" (which plays with the audience), while Kristin Scott Thomas fared much better in ""Sarah's Key"". This is just not a movie that I feel inclined to recommend.",Only God Forgives
4,jboothmillard,Only God Forgives,5,9 May 2020,"I recognised this title, because I had missed it being shown on television so many times, I knew the leading actor in it and that it was rated well by critics, so when I finally got the opportunity to watch, I went for it, directed by Nicolas Winding Refn (Bronson, Drive, The Neon Demon). Basically, Julian Thompson (Ryan Gosling) is an American, living with his older brother Billy (Strike's Tom Burke) in Bangkok, Thailand, who runs a Muay Thai boxing club, as a front for drug dealing. He is a quiet man with a troubled past. One night, Billy rapes and kills an underage prostitute and is cornered by Thai police. Lieutenant Chang (Vithaya Pansringarm) allows the girl's father, Choi Yan Lee (Kovit Wattanakul), to exact his vengeance on Billy however he wants. He chooses to beat Billy to death, but he also cuts off Choi's forearm for allowing his daughter to be a prostitute in the first place. During a session with Mai (Yayaying Rhatha Phongam), Julian's favourite prostitute, he has a vision of himself meeting Chang in a dark room, where Chang cuts off his hands. After discovering his brother was murdered, Julian and his crew go to confront Choi, but Julian ultimately decides to spare Choi's life. Julian's mother, Crystal (Kristin Scott Thomas), arrives in Bangkok, and demands that Julian finds and kills the men responsible for Billy's death. She is infuriated when Julian refuses, saying he believes Choi was justified in avenging the death of his daughter. After having Choi killed, Crystal learns of Chang's involvement. She meets with rival drug dealer Byron (Byron Gibson), offering him a cut of her drug dealing operation if he will put out a hit on Chang. The police arrive at Julian's club investigating Choi's murder, but Chang concludes that Julian is not the killer. Julian recognises Chang from his visions and follows him, but he seems to disappear before Julian can catch up to him. That evening, Julian brings Mai to meet Crystal, but Crystal recognises that Mai is not his girlfriend, he insults her being a prostitute, and demeans Julian, saying he is sexually inferior to his dead brother. Julian does not react to his mother's verbal abuse, but after they leave, he viciously humiliates Mai, by making her remove her dress in public. Two gunmen on motorbikes are sent to kill Chang at a restaurant, several customers and a couple of Chang's men are killed in the ensuing shoot-out. Chang kills one of the assassins and pursues and apprehends the other. The surviving gunman leads Chang to his boss, Li Po (Danai Thiengdham), who arranges assassination contracts to provide for his disabled son. Chang kills the gunman but spares Li Po after seeing his affection for his son. Chang then finds Byron and tortures him to reveal who ordered the hit. Julian confronts Chang and challenges him to a fight at Julian's boxing venue. But Chang is an experienced boxer and quickly beats him. Afterwards, Crystal knows Chang has figured out she ordered the hits and is fearful for her life. She pleads with Julian to kill Chang, reminding him that he killed his own father for her. She promises that after Julian kills Chang, they will return home, and she will be a true mother to him. With his associate Charlie Ling (Nophand Boonyai), Julian infiltrates Chang's home, shooting his guard dead, intent on ambushing Chang when he returns. Charlie informs Julian that Crystal wants Chang's entire family executed. Charlie murders the nanny of Chang's daughter as she enters the home, but Julian kills Charlie before he can murder Chang's daughter. Chang and a police officer find Crystal at her hotel. She explains how Julian killed his father with his bare hands, asserting that Julian is violent and deranged, blaming him for the violent crimes committed. Chang decides to punish her by slitting her throat. Later, Julian returns to the hotel and finds his mother dead. In silence, he approaches her body and cuts open her abdomen before placing his hand inside of the wound. Julian is last seen standing in a field with Chang, who appears to cut off both of Julian's hands with his sword, as seen in his dream. Also starring Gordon Brown as Gordon, Sahajak Boonthanakit as Kim and Pitchawat Petchayahon as Phaiban. Gosling gives a pretty good performance as the quiet and tormented drug smuggler, and Scott Thomas is fantastic as the sinister mother who wants those who killed her son to pay. This is one of those stylish films that will confuse, bore, or alienate those watching, the use of colour, dark lighting and camerawork is very intriguing, the electronic score by Cliff Martinez is cool, and the violence is eye-catching, the story set in the criminal underworld just about holds up as well, an interesting crime thriller. Worth watching!",Only God Forgives
5,Tweekums,Ultra-stylish revenge thriller from Nicolas Winding Refn,9,18 December 2019,"This film, from director Nicolas Winding Refn, is set in the Bangkok underworld where a tale of revenge is about to play out. Julian runs a boxing club, which is a front for his mother's drug empire. One day he learns that his brother has been murdered... it turns out he had raped and murdered a teenaged girl and police officer Lieutenant Chang has allowed the girl's father to extract his revenge. Julian's mother is determined to have her own revenge against the father and Chang. Before the story is over several more people will die.This is one of those films where a fairly average score is highly misleading... there is nothing average about it but it is a film one is likely to love or hate. Everything looks very stylish with lighting and colour schemes where I'm sure every detail was carefully decided upon. At times the action loves at a slow pace... literally the characters move slowly; I was never bored though. The characters might not have great depth, nor are they particularly sympathetic but they are intriguing. The acting is great; most notably from Ryan Gosling, Vithaya Pansringarm and Kristin Scott Thomas as Julian, Chang and Julian's mother. As one might expect Refn there are moments of extreme, disturbing violence that is likely to have most viewers wincing... I certainly did at times! Overall I'd say that this won't be for everybody but I'd still recommend it to anybody wanting something very stylish that leaves one thinking.",Only God Forgives
6,BA_Harrison,Quite possibly the most tedious revenge movie ever made.,1,1 June 2014,"Drive, the previous movie from director Nicholas Winding Refn and actor Ryan Gosling, utilised a deliberate and rather stilted style that not only resulted in a unique air of cool but which also had the effect of making the movie's explosive scenes of violence more impactful. In Only God Forgives, Refn and Gosling repeat this sparing, slow-burn technique, but take it to the nth degree; this time around the effect is to completely bore the crap out of the viewer.Quite simply, Only God forgives has got to be one of the most excruciating exercises in cinema it has ever been my misfortune to witness. Every pan, track or zoom is agonisingly drawn out, the camera movement often being almost imperceptible. A good percentage of scenes comprise of corridors, or people not moving, or people moving very slowly, or karaoke performances (slow songs, of course). Virtually every scene is lit in either red or blue, which gets extremely irritating. Gosling's brooding expression remains the same throughout the entire film. Conversations take an age to unfold. Minutes seem like hours. Hours seem like days. Time eventually loses all meaning.Even the film's few scenes of brutal violence are shot in such a way as to render them totally boring.Art-house types will love the film (or at least pretend to), finding hidden meaning and symbolism in its languorous plot and mind-bogglingly dull execution, but most right-minded people will quite rightly dismiss this for the utter garbage that it is.",Only God Forgives
7,paul_haakonsen,Seriously?...,3,17 December 2015,"Reading the synopsis for this movie made it seem like a movie that would actually be quite alright. But wow, was I in for a rude awakening as this movie trotted on in a painfully slow pace with a storyline that was equally devoid of life and energy as the acting by the people performing in the movie.The story is about two brothers in Thailand, whom are involved with some shady business. When one of them is killed, the other brother sets out to seek vengeance.Right, well, the storyline was simple and straight forward, but it was killed most horribly by the hands of director Nicolas Winding Refn. It was so slow paced that it was unbearable and there was too much focus on totally irrelevant things; such as the unfathomably dull sex scenes.I think this was actually my first Ryan Gossling movie, or at least I don't remember him from any other movie that I might have seen. I can't claim to be impressed with the performance that he delivered in ""Only God Forgives"".""Only God Forgives"" was a dull experience and it was painful to suffer through en endless tirade of random and pointless shots taking place in an equally pointless storyline.",Only God Forgives
8,LeonLouisRicci,A Beautiful Looking Ugly Film,7,11 December 2013,"There is much Ugliness amongst the Beauty. A meticulously Photographed Film, it is not one for the Masses. It is an Art Film for Art Film Lovers and makes no Pretense to be anything but. It also has the Audacity to have one of the current Mainstream Pretty Boys and Fan Favorites Ryan Gosling as the Lead and it is His Fans that will be the most Disappointed in this thing that reeks of Underground.Every Scene is Photographed as though it were some sort of come on Tourist Trap for Decadent Westerners to take the plunge and visit the Ultimate in Decadence Bangkok, Thailand. Deserved or not the place has that kind of Rep that precedes it. This is a foul mouthed, bloody, exercise in Style and not much else. It is attractively repulsive from the get go and will have some demanding Their money back and others seeking Therapy. It is the Dark Side that is on display here but is Framed like the Bright Side.A revenge Flick for the hardened that has an Alternative Comic Book look and feel. The fact that Ryan Gosling has literally nothing to say in the Movie maybe the Actors way of saying that anyone who ever took me as a real talent, well, the jokes on You. This is what I do best. Sit there, stand there, and stare. But ain't I pretty to look at. There You have it. This Ugliness is pretty to look at.",Only God Forgives
9,CinemaSerf,What is this?,6,19 March 2021,"Now no-one sports a waistcoat better than a dapper Ryan Gosling, but even that sartorial skill is nowhere near enough to rescue this from cinematic oblivion... An implausibly cast Kristin Scott-Thomas arrives at her sons' Bangkok club after her other son is murdered. Turns out that he had killed someone who had avenged the murder of his daughter and so a disgruntled police officer with a samurai sword had done for him. She orders revenge, and the whole rather dreary thing lurches - with a desperate paucity of dialogue - towards a conclusion that can have made absolutely no sense to anyone not involved in the production. Gosling is at his most enigmatic, loads of lingering and loving photography as he has to pit his wits, and is fists, against his lethal., karaoke singing, protagonist ""Chang"" (Vithaya Pansringarm). The direction certainly has a style to it and the lighting creates a wonderfully seedy and plausible environment - as does the graphically depicted brutality - but the story is just, well, lacking. God may, indeed, be the only one who forgives - but that's always assuming that he cared, though - I didn't.",Only God Forgives
