,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,Liked Wahlberg,6,8 June 2014,"It's Pittsburg in the 80s. Chris Cole (Mark Wahlberg) idolizes the band Steel Dragon and works tirelessly to emulate them in a tribute band. His girlfriend Emily Poule (Jennifer Aniston) is his biggest fan. He repairs copying machines and still lives at home. His cop brother dismisses his dream. After an on stage fight with his guitarist Rob (Timothy Olyphant), he is kicked out of the band as they want to start playing their own music. Then a surprise call from Steel Dragon guitarist Kirk Cuddy (Dominic West) for Chris to audition for the band as he fires the lead singer Bobby Beers.Mark Wahlberg has good likability as the dreamer and does a good rock star imitation. Jennifer Aniston is pretty good. She isn't doing anything out of her comfort zone. There are some rocking music even if Marky Mark doesn't do the singing. It's an earnest recreation like a tribute band. What this movie needs is a lot more jokes. Falling off the stairs could have been funny but it's played very seriously. The story is just too filled with clichés for me to take seriously. It feels very superficial and not gritty enough. In the end, I enjoyed Wahlberg's commitment to his character.",Rock Star
1,gavin6942,The Story of Journey?,5,18 January 2016,"Lead singer of a tribute band (Marky Mark) becomes lead singer of the real band he idolizes.So, I see comments saying this is another movie Jennifer Aniston ruined. Well, that is half true. She definitely makes it worse and every scene she is in amounts to a steaming pile of doo. Even her voice is grating and it is hard to take her seriously.But the movie would have stunk either way. It has a good idea, sort of, especially since this really happened (to Journey). But it is not funny enough to be a comedy or serious enough to be a drama. It just sort of... is. It would have been significantly better if it had a little more humor in it and could have been passed off as a mockumentary. I mean, yeah, we already have ""Spinal Tap"", but it wouldn't have to be that silly.",Rock Star
2,moonspinner55,Comic book cynicism,7,15 August 2002,"Surprisingly well-acted, well-written movie about hard rockin'-but-decent young man getting that much-hoped-for ticket to stardom: his favorite heavy metal band wants him to replace their lead singer. Not far-fetched, the film tries keeping things in perspective and doesn't go over-the-top; it certainly makes you think twice about those lingering adolescent fantasies about being in the music business. But the script, despite solid dialogue, follows a tried-and-true, formulaic pattern, and gets bogged down by its own clichés in the final act. I enjoyed it much more than the sugary fluffball ""Almost Famous"". It has a nice, bitter edge to go with its heavy metal decadence, but a stronger finish might've made it more memorable. **1/2 from ****",Rock Star
3,Quinoa1984,"Some things to look for, Wahlberg isn't one of them",4,15 September 2001,"Mark Wahlberg, the star of Rock Star, seems not totally right for this movie.  Not just because of the Marky Mark past image, but also because he seems uncomfortable sometimes in the movie.  Sure he might have a god singing voice as a hairband lead singer, but that might not totally compensate in my book.  It would've helped a little if it looked like he was having a little more, well, fun.  Both Wahlberg and the film have something in common- they take themselves too seriously.Still, the film has it's moments.  They're are a good number of in-jokes and puns at the rock industry (It's no Spinal Tap though), some alright rock music, and a good feel for the period.  But, the film becomes muddles after what we know the plot is is established.  Formula, toppled with formula, with only a tad of compensation.  By the way, though the film might sound original with it's plot, it's actually based (in part of course) on the events that transpired with Judas Priest when they kicked Rob Halford out of the band (you might even spot a gay reference here or there).  B-",Rock Star
4,michaelRokeefe,Live the fantasy that others only dream about.,7,13 August 2002,"This movie is a lot better than you imagine. Chris Cole is the lead singer of a tribute band that is swept off his feet when he is asked to join the real group and then drowns in the world of sex, drugs and heavy metal. Mark Wahlberg plays the part of Cole and eases into the role excellently probably due to his own musical background. Jennifer Aniston plays Emily, Cole's love interest and manager. She can only stand so much of watching Cole sink lower and deeper into the decadent world associated with the band. Emily leaves to start a new life in Seattle and later Cole comes to his senses when he realizes that the Steel Dragon does not want his input more than his sexually willing body and voice to sustain the group. Cole hands over the mic to an eager wannabe and trades in his heavy metal wardrobe for jeans and sweaters and singing his own songs in front of half-filled coffee houses in Seattle.Like I said, Wahlberg is excellent in the role. I've never been an Aniston fan, but she really is impressive in this movie. Timothy Spall is moderately funny in the role as the Steel Dragon's road manager. Lending their individual talents to make the film more believable are: Jason Bonham, Timothy Olyphant, Brian Van Ark, Jeff Pilson, Jason Flemyng and Dominic West.Besides the music of Steel Dragon and their tribute band Blood Pollution there is original music from the likes of Kiss, Ted Nugent, Bon Jovi, Everclear and Motley Crue. Note: This story is reportedly roughly based on the story of Judas Priest's Tim ""Ripper"" Owens.",Rock Star
5,sunwarrior13,A RomCom At A Rock And Roll Setting,8,28 June 2014,"Rock Star is a musical drama that tells the story of Chris ""Izzy"" Cole,a tribute band singer that replaced the lead vocalist of his favorite band,Steel Dragon.It stars Mark Wahlberg and Jennifer Aniston. John Stockwell wrote the story and Stephen Herek directed the film.Izzy is a wannabe rock star.He works as a copy machine repairman at day and is the lead vocalist of Blood Pollution,a tribute band that imitates the hugely popular Steel Dragon.She is supported by Emily,who is his girlfriend and business manager of the band.One day,there members of the band got into an argument that led to the dismissal of Chris from the group.However,he later got a call from Steel Dragon to audition.After the rehearsal with them,Chris got offered to join the group as their new lead vocalist.The band went on to be successful with him but later he realized that there is more to life than being in the limelight. I got into the film after reading the story of Journey's new vocalist,Arnel Pineda.His story is definitely similar to the movie although it happened after 7 years the movie was released.It was synonymous in the sense that a once Journey cover singer Arnel got to become Journey's frontman. It was interesting to note though that the movie was inspired from Judas Priest but what happened was even life imitated art in history of Journey that is why I was entertained with the movie.As a whole though,I felt that the movie just provided us a glimpse on the world of rock and roll bands as it fell into cliché after cliché of a typical romantic comedy that provides both humor and life lessons as the conclusion comes near.In short,there was really nothing original and refreshing about it expect probably the fact that we have story on a rock and roll setting.",Rock Star
6,zardoz-13,"Director Stephen Herek's sense of style helps to make ""Rock Star"" palatable",5,7 February 2008,"Writing about flawed films sometimes is more fun than writing about fabulous ones. Flawed films interest me for what they aspired to rather than achieved. Take director Stephen Herek's ""Rock Star,"" for example, a cinematic experience as amiable but anemic as its generic title. The original title was ""Metal God,"" and the studio should have kept it. Somewhere beneath this superficial but alluring epic penned by actor, writer, & sometime director John Stockwell lurks a better movie. Imagine a diluted version of ""The Doors"" meets ""The Jazz Singer."" The shoddy third act resolution generates little catharsis. ""Rock Star"" lacks a physical villain, so our hero has nobody to contend with but himself. As charismatic as Mark Wahlberg is, he struggles valiantly to make an impression as a remote, aloof character devoid of ambiguity. Poor Jennifer Aniston vanishes in the second act, only to return late in act three to provide closure to a routine romance. Wahlberg and Aniston make a good couple, but their romance evaporates in act two. ""Rock Star"" is neither as provocative as 1979's ""The Rose"" with Bette Midler"" nor as satiric as Rob Reiner's classic ""This Is Spinal Tap."" This middle-of-the-road rock'n' roll opera doesn't rock enough but rolls briskly to its inevitable cautionary conclusion. Be yourself is the message. Essentially, Herek & Stockwell adapted the real-life Cinderella saga of Tim ""Ripper"" Owens, an Akron, Ohio, musician who idolized British head bangers Judas Priest, but turned it into inoffensive potboiler. Happily, director Stephen Herek of ""Don't Tell Mom the Babysitter's Dead"" and ""Mr. Holland's Opus"" ushers a supremely competent cast through their paces. Even when this harmless, 106 minute expose of fame isn't terribly profound, Herek makes it infinitely easy to watch, thanks in part to both Ueli Steiger's atmospheric cinematography and Trudy Ship's snappy editing.""Rock Star"" unfolds during the noisy Reagan years of the 1980s. By day, Pittsburgh native Chris Cole (Mark Wahlberg of ""Three Kings"") toils as a photo-copier repair technician and lives at home in his parents' day-care center. (I liked the way Herek & Stockwell inserted the clever symbolism about a copier repairman who copies a rock star.) By night, Chris lets his hair down and boogies with Blood Pollution, a heavy-metal tribute band to fictitious British rockers Steel Dragon. Incidentally, neither Judas Priest nor Tim Owens sought to be associated with ""Rock Star,"" which explains why Herek & Stockwell have embellished things. Anyway, Chris has been grooving on Steel Dragon since his disappointed big brother Joe dumped their debut album in his lap. Bad blood exists between Chris and Joe; Joe happens to be a uniformed patrolman. Chris' girlfriend Emily Poule (Jennifer Aniston of TV's ""Friends"") serves as Blood Pollution's manager. So absorbed and obsessed is Chris with replicating Steel Dragon tunes riff for riff that he refuses to tolerate the least departure from their original material. Chris's fanaticism aggravates fellow guitarist & friend Rob (smarmy Timothy Olyphant of ""Scream 2"") who claims the fans won't object to his improvisations. Eventually, during a concert at a steel factory, Chris catches Rob improvising, and the two scrap on stage. Later, when Chris and Emily show up for a practice session in the basement of a porno movie theatre, Rob announces they have replaced Chris. An argument erupts, and Chris discovers to his horror that his friends consider themselves a 'cover band' instead of 'a tribute band.' They exploit Steel Dragon tunes to lure in audiences and then regale them with their own originals. Chris throws a tantrum and storms out with Emily at his heels. No sooner has this happened than Chris receives a call from Kirk Cuddy (Dominic West of ""28 Days"") of Steel Dragon. Initially, Chris suspects he is being duped until Kirk convinces him beyond a shadow of a doubt. Sworn to secrecy, Chris shares two of his groupie friends, Nina and Samantha, and Steel Dragon wants him to audition for lead singer. Chris and Emily fly out to L.A., and Chris discovers to his chagrin that Steel Dragon lead singer Bobby Beers is gay. Apparently, Bobby (Jason Flemyng of ""Snatch"") has been neglecting his responsibilities to the band, and Steel Dragon axes him.Before long, Emily and Chris realize they cannot stay together. She heads off to Seattle with a girlfriend to open a coffee shop. Fellow band member A.C. (Jason Bonham, son of the late ""Led Zeppelin"" drummer John Bonham) advises Chris to let Emily go, too. Says A.C.: ""Your job is to live the fantasy other people only dream about. Dream big--live the life."" The next time Chris sees Emily, he is so wasted he doesn't realize he is in Seattle where she runs her coffee shop. Herek & Stockwell give this section of ""Rock Star"" the short shrift. Several scenes appear to be missing, because the drama dries up in the third act. Eventually, Chris learns success with Steel Dragon comes at a price. A.C. and Kirk write all the songs, and they scoff at Chris's ideas and songs. Unlike most movies where the characters neither grow nor evolve, Chris does grow and winds up hitting the road to do his own thing.The cast performs splendidly. Mark Wahlberg is thoroughly persuasive as the naive, gullible Chris. The major shortcomings in ""Rock Star"" lay with John Stockwell's shallow script that gives Wahlberg nothing to work with in fleshing out a bone and blood character. Chris suffers minimally at the hands of Steel Dragon. He doesn't experience a baptism by fire that would reform him. Herek & Stockwell do an adequate job of recreating the era of big hair styles. This expose exposed little which hasn't already been exposed. The soundtrack qualifies as something of a consolation. The problem with ""Rock Star"" is it is just too upbeat. The performers are more interesting than their roles. Ultimately, director Stephen Herek's sense of style helps to make ""Rock Star"" palatable.",Rock Star
7,anaconda-40658,Schlock of Ages.,3,15 September 2015,"Rock Star (2001): Dir: Stephen Herek / Cast: Mark Wahlberg, Jennifer Aniston, Dominic West, Jason Bonham, Timothy Olyphant: Rock mock documentary about how far we will go to become more than we are. It stars Mark Wahlberg who dreams of being just like the lead singer of Steel Dragon. After his band disowns him Mark Wahlberg is excited when Steel Dragon contacts him. The rest is a life of massive concerts, drunken orgies, and corruption by management. Directed by Stephen Herek who also made Mr. Holland's Opus, also about a music career but the difference is in position. Mr. Holland teaches music while Wahlberg performs it. Between the two Mr. Holland seems to have a better screenwriter telling his story. Wahlberg holds his own portraying a character who cannot identify with himself and seeks someone else's life. We know where this is headed but since Wahlberg had a real life music career, he seems fitting for the material. Jennifer Aniston as his girlfriend is flat. She is basically there to bitch about him not being around and then pout and leave. Dominic West and Jason Bonham play fellow musicians with no personalities given. Other roles are drab stereotypes that accompany a screenplay so heavily burdened with clichés that it is difficult to focus on a message. Lots of loud music and energy burnt on absolutely nothing. On the positive side, Almost Famous is more compelling. Score: 3 ½ / 10",Rock Star
8,HotToastyRag,"Pretty bad, only for Marky Mark fans",1,12 June 2017,"Okay, let's be honest: The only reason anyone would sit through this movie is because she has a huge crush on Mark Wahlberg. That being said, I've sat through it.Rock Star is everything you'd expect in a movie about a, well, rock star. Wild performances, drugs, booze, blackout parties, sex, more sex, and Mark Wahlberg. I'm sure there are people who actively seek out those types of movies, but I just haven't met any. Unless you really, really adore him, you'd be better off skipping this one. Jennifer Aniston even regretted making it, and when a star badmouths her own movie, you know it's a bad sign.If you're like me, there's no use trying to talk sense into you. I've sat through so many terrible movies, all for love of eye candy. I understand your plight. But I've given you fair warning that this one's pretty bad.Kiddy Warning: Obviously, you have control over your own children. However, due to graphic sex scenes, I wouldn't let my kids watch it.",Rock Star
9,movieman_kev,NOT a metal movie,2,21 January 2005,"Marky Mark is the lead singer in a cover band and gets to play with the band he worships after the fire their lead singer in this dud 'inspired VERY loosely by' the story of Tim Owens of Judas Priest. The basic story of guy craves fame, gets it, screws a transvestite, parties, loses girl, quits band to cut his hair and become a poof in a coffeehouse band, gets girl back, the end. There are so many things that don't work well in this movie. Jennifer Aniston is miscast. The ending is the biggest pile of horse manure.And you don't make a movie about metal and then have a lame soundtrack, among other things. Writer John Stockwell wrote Cheaters and Blue Crush so in retrospect it's no surprise that this movie blows. The only good parts were some of the acting, and that Zakk Wylde is in it. That's pretty much it.My Grade:D+ DVD Extras: Commentary with Stephen Herek; Making-of featurette; Everclear music video; cast & crew bios; and Theatrical Trailer Eye Candy: Various big breasted groupies show what they got",Rock Star
