,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,Pretty Horrendous!,2,11 May 2009,"The first film was flawed, but that was a lot more enjoyable than this. The script was terrible, and what was worse, the actors couldn't do anything with it. Plus, Bill Murray is a noble absentee, and he was what made the first movie. The stunts, where well executed in the first movie, were rather tedious to put it kindly. The plot was slow, predictable and uninteresting. I don't think any of the film was funny at all. I really admire Drew Barrymore, Cameron Diaz and Lucy Liu, and they are one of two reasons why I am not giving this a 1. Another was the brief appearance of Demi Moore as the seductive villainess Maddison Lee. All in all, I thought the film was awful, too many wardrobe changes, faults in the script, tedious stunts, and unconvincing villains. All in all, a film that makes the first movie look like a masterpiece, which of course it isn't. 2/10 for the girls and Demi Moore(who deserved much better than this). Bethany Cox",Charlie's Angels - Full Throttle
1,Leofwine_draca,Every bit as bad as the first,1,21 April 2019,"FULL THROTTLE is the CHARLIE'S ANGELS sequel which is every bit as execrable as the original. The story is pure nonsense, with the trio of high-kicking girls once more up against a mega-villain and her allies; a youthful-looking Demi Moore is one of the star attractions here in a cast littered with random cameos and the like. Despite the presence of Chinese choreographers, the CGI martial arts fights are ridiculously bad, the special effects among the worst I've seen (the car crash in particular) and the attempts at humour quite pitiful. Other than the MC Hammer scene, I can safely say I didn't enjoy a single second of this.",Charlie's Angels - Full Throttle
2,SnoopyStyle,The ridiculous humor wore me out,3,19 May 2014,"The Angels (Drew Barrymore, Lucy Liu, Cameron Diaz) rescue US Marshall Ray Carter (Robert Patrick). This sets off the theft of two titanium rings with valuable encrypted info on the Federal Witness Protection Program. Bernie Mac is the new Bosley. Now the Angels have to recover the rings.The girls are taking what was marginally fun and surprising to a ridiculous level. Director McG is pushing it so hard at every second of the movie that I never get a chance to take a breath. If it doesn't tire you out by the end, then you may have had a good time. Chances are that your brain will be hurting long before then. There was a joy in Cameron Diaz shaking her butt in the original. This one feels so much more staged. The joy is lost and the new Bosley is way too silly. The movie is just one comedic setup after another. Most of the time, I can't follow the story anyways. It needs to take some breaks to relax.",Charlie's Angels - Full Throttle
3,claudio_carvalho,"A Silly Festival of Special Effects, Wasting the Talent of Good Actors",4,14 February 2004,"Two titanium rings, with the identities of the persons under the witness protection program are stolen and some of these persons are threatened or murdered. The Charlie's Angels try to retrieve the rings. This story is so silly that is almost impossible to make any comment. Although having an excellent cast, there is no acting, only special effects. I myself was tired of seeing flying and spinning women. The action in the beginning of the movie looks like a 007 or Indiana Jones film and is fine. The dialog between Matt LeBlanc and John Cleese about the real activity of Alex (Lucy Liu) with the misunderstanding of John Cleese is funny. But the rest is basically only special effects. I was also impressed with Demi Moore, very deformed, maybe due to the quantity of silicone in her body. The excellent  Brazilian actor Rodrigo Santoro, from the marvelous  `Bicho de Sete Cabeças' and `Abril Despedaçado' (and also from `Carandiru') is completely wasted, without any line. I know how important Hollywood is for the career of an actor, and the worldwide promotion this film may bring to him, but I really felt sorry for his participation. Why having that scene with a cell phone, if he is not supposed to speak any word in the movie? Just as a curiosity for the readers, in Brazil of the 70's, a beautiful and sexy girl was usually called by the slang `pantera' (`panther'). At that time, the TV series `Charlie's Angels' was very popular in Brazil and called `As Panteras', since the actresses were very beautiful and sexy. Therefore, in Brazil, `Charlie's Angels' are `The Panthers'. Many jokes in this movie does not make sense for those who does not understand English. My vote is four.Title (Brazil): `As Panteras Detonando' (`The Panthers Blasting')",Charlie's Angels - Full Throttle
4,gavin6942,A Sequel,5,13 September 2017,"The Angels investigate a series of murders which occur after the theft of a witness protection profile database.What this film did right: the soundtrack. With bands like Electric Six, White Zombie, Prodigy and more, this kicks more butt than just about any other soundtrack. Also, the inclusion of actual cannibal Shia Labeouf is nice touch.What they did wrong: just about everything else. First of all, the addition of Bernie Mac to replace Bill Murray. You cannot replace Bill Murray. And then, just the weakness of it all. The whole point seems to be to make a movie even fluffier than the first, and try to make Cameron Diaz even more unlikable.",Charlie's Angels - Full Throttle
5,jboothmillard,Charlie's Angels: Full Throttle,2,7 July 2008,"The only good reason to see this sequel to the equally awful girlie action film based on the popular TV show, was a bit more titillation from the three leading ladies, that's all director McG (Joseph McGinty Nichol) has to offer. You remember the previous film, three female agents, Natalie Cook (gorgeous Razzie nominated Cameron Diaz), Dylan Sanders (the beautiful Razzie nominated Drew Barrymore, also producing the film) and Alex Munday (stunning Lucy Liu) work for mysterious Charles Townsend, or just Charlie (who we only hear the voice of, by Dynasty's John Forsythe). This time their mission is to recover two stolen rings that have something to do with witness protection identities. They are helped along the way by new Bosley, Jimmy (Bernie Mac), and they are being targeted by betraying ex-angel Madison Lee (Razzie winning Demi Moore) and others, including Ray Carter (Terminator 2's Robert Patrick), and returning Thin Man (Back to the Future's Crispin Glover). Also starring American Psycho's Justin Theroux as Seamus O'Grady, Rodrigo Santoro as Randy Emmers, Shia LaBeouf as Max, Matt LeBlanc as Jason, Luke Wilson as Pete, John Cleese as Mr. Munday, Ja'net DuBois as Momma Bosley, Jackie Brown's Robert Forster as Roger Wixon, singer Pink as Coal Bowl Starter, Carrie Fisher as Mother Superior, Chris Pontius as Irish Henchman, Mary-Kate and Ashley Olsen as Future Angels and Bruce Willis (!) as William Rose Bailey. The fight scenes are even stupider than before, the special effects don't help much, the story has hardly real point, well, there's no point seeing it. It won the Razzie for Worst Remake or Sequel, and it was nominated for Worst Excuse for an Actual Movie (All Concept/No Content!), Worst Screenplay and Worst Picture. Pretty poor!",Charlie's Angels - Full Throttle
6,Tweekums,More silly fun,6,16 November 2016,"Charlie's Angels; Natalie, Dylan and Alex, are back; this time they are investigating the theft of two rings which when used together gives access to data on everybody in America's witness protection programme. To further complicate matters one of those who could be exposed is Dylan. She was put in witness protection after testifying against her then boyfriend; he is now out of jail and looking for revenge.The first film was pretty silly; this one was even sillier so if you didn't enjoy the first film you almost certainly won't like this; however if you did like it you'll probably enjoy this too. The story is solid enough although it is told in a way that seems very episodic. These episodes are mostly references to other films; some of these references are rather fun while others are more than a little forced. If you don't get all the references it doesn't really detract from ones enjoyment though. There is plenty of action but not much of it feels real due to the less than impressive special effects and fights that aren't believable. When the identity of the lead bad-guy is revealed I doubt many will be surprised but that doesn't really detract from the film. Returning leads Cameron Diaz, Drew Barrymore and Lucy Liu are solid enough and Bernie Mac is okay as the new Bosley, although nowhere near as good as Bill Murray was in the first film. There are quite a few cameos, some are good, like John Cleese's appearance as Alex's father, and some pointless, such as Bruce Willis's very brief appearance. Overall I'd say this was fun enough but nothing special; if you liked the first film then give this one a go.",Charlie's Angels - Full Throttle
7,BA_Harrison,I have my limits.,3,22 February 2015,"'Angels' Natalie, Dylan and Alex (Cameron Diaz, Drew Barrymore and Lucy Liu) investigate the theft of a pair of top-secret rings that hold the details of those on the F.B.I.'s witness protection programme.I gave the first Charlie's Angels movie a fairly reasonable rating (6.5/10) for its excessive action, knowingly daft plot, deliberately cheesy performances, and impossibly sexy trio of stars. Director McG and his lovely leading ladies clearly didn't care that the whole thing was highly preposterous: they were having fun, and that fun proved infectious.This sequel definitely lives up to it's title of Full Throttle—it's even more dumb, has even more OTT action, and features even more of Diaz, Barrymore and Liu in revealing attire (plus added T&A from a very fit Demi Moore). The film doesn't just go up to eleven it goes right off the meter, but in doing so it disproves the theory that nothing succeeds like excess by being bloody irritating instead of enjoyable.Watch it for: the eye candy, which includes Cameron Diaz in a bikini, all three girls in stripper gear, Demi in her undies and, during the end credits, the Angels doing a sexy car wash—plus Crispin Glover being Crispin Glover, and the cool soundtrack.Be prepared to hate: all of the action scenes, Bernie Mac as Bosley, the pointless cameos from Pink, Bruce Willis, and the Olsen twins, the meandering senseless plot, Luke Wilson and Matt LeBlanc as Diaz and Liu's love interests, John Cleese's embarrassingly unfunny turn as Liu father, and Shia LaBeouf as an obnoxious, curly-haired brat.",Charlie's Angels - Full Throttle
8,wes-connors,Angels with Dirty Faces,4,25 January 2009,"The script seems more coherent, compared to the last one... It's comic book live action storytelling... The production is very much like a string of music videos... The worst musical interlude is something involving angels Drew Barrymore (Dylan), Cameron Diaz (Natalie), and Lucy Liu (Alex) as ""Sound of Music"" nuns cruising a cute priest, then playing with bird poop... ""Bosley"" becomes a noun instead of a character, with Bernie Mac taking over the role - upping the level of ""broad comedy"". The original series had a more subtle wit.The Angels don't show any more than they showed in the sexier ""Charlie's Angels"" (2000). But, you do have a tighter story, and some much appreciated continuity. Original angel Jaclyn Smith (Kelly) makes a heavenly cameo appearance, and Demi Moore (Madison) ""returns"" from an untold intervening era. She seems a little like Kate Jackson, but takes a ""wrong turn"". There is quite a long span before Moore emerges as a main character - after Barrymore's villainous former boyfriend takes center stage.**** Charlie's Angels: Full Throttle (6/18/03) McG ~ Drew Barrymore, Cameron Diaz, Demi Moore, Lucy Liu",Charlie's Angels - Full Throttle
9,BandSAboutMovies,At least Crispin Glover is in it,4,7 April 2020,"The Angels are all back, as is Crispin Glover as The Thin Man in the next installment of this series. This time, however, Bosley's half brother, played by Bernie Mac, is in charge and the Angels are going up against one of their own. This entire film is packed with cameos and more comedy than the original, which is OK. In times like these, it's a nice bit of fluff that goes down easy.Natalie Cook (Cameron Diaz), Dylan Sanders (Drew Barrymore) and Alex Munday (Lucy Liu) are up against former angel Madison Lee (Demi Moore) as well as numerous criminal organizations.Jaclyn Smith returns as one of the original girls. You also get John Cleese as Alex's dad, Bruce Willis as a federal agent, Robert Forester, the Olsen twins, Carrie Fisher as a nun and many, many, many early 00's celebrities. You can have a great time just naming each new one who appears.There were plans for two more sequels, but they never happened.",Charlie's Angels - Full Throttle
