,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,TheLittleSongbird,A fine film,9,9 March 2011,"As far as Branagh's Shakespeare film adaptations go, this is one of the better ones. I personally preferred Much Ado About Nothing(1993), but Hamlet is one fine film.My only gripes are some of the cameos. Charlton Heston is good, but while it was nice to see Jack Lemmon he was too old I agree and Billy Crystal and Robin Williams come across as too modern and silly. Michael Maloney is okay but doesn't quite work appearance wise.Gripes aside, visually it is very striking. The settings are gorgeous, the costumes are equally exquisite and the cinematography is very skillful. The music score is a score of haunting, rousing and melancholic beauty, and enhances the film so well. The dialogue is still wonderful, and the story still has its emotional punch.The cast do a great job together. Kenneth Branagh directs with real vigour and does a fine job as Hamlet. Julie Christie is very good as Gertrude, Richard Briers is a good Polonious and Kate Winslet is a beautiful and poignant Orphelia. As the scheming villainous Claudius though, Derek Jacobi comes off best, his performance is brilliant.In conclusion, a fine adaptation and one of Branagh's better overall films. 9/10 Bethany Cox",Hamlet
1,Leofwine_draca,"Long, but good",9,19 September 2021,"Tough to watch this one at the cinema due to the length. Otherwise, though, I loved it. One of my favourite Shakespeare adaptations. Branagh knows what he's doing here and has assembled a great cast who go through the motions with real finesse. Sumptuous production values too. A bit overlong, sure, but this time it works.",Hamlet
2,SnoopyStyle,grand reinterpretation,7,9 November 2015,Prince of Denmark Hamlet (Kenneth Branagh) return home for his father's funeral and his mother (Julie Christie)'s quick wedding to his uncle (Derek Jacobi). He is haunted by the ghost of his father who his uncle was the murderer. Lord Chamberlain Polonius is suspicious of Hamlet. Hamlet kills him in a mistake. Polonius' daughter and Hamlet's love Ophelia (Kate Winslet) is driven mad.Kenneth Branagh has placed this classic Shakespearean play in the 19th century. There is a steam railroad train. The setting is grander than the usual drab rainy moody Denmark. It's all very well done. He plays Hamlet not quite as a moody dour personality. I prefer Hamlet maddenly depressed introvert. Branagh's a big time show man and this is a big showcase of big time actors.,Hamlet
3,Prismark10,Prince of Denmark,7,20 December 2015,"Kenneth Branagh's epic Hamlet which was a full adaptation of the whole text and clocks in at 4 hours. It is not for the faint hearted and it took me 17 years to finally unwrap my video of Hamlet and put in on the solitary video player I still have in the house.As a viewer you need stamina for one of Shakespeare's most popular tragedy. Branagh as director and adapter has brought the play forward to the 19th century and got a cast of American and British actors with cameos from Jack Lemmon, Charlton Heston, Robin Williams and Billy Crystal.He brings together the cream of British acting with Richard Attenborough, John Gielgud, Julie Christie, Derek Jacobi and some Branagh regulars.Branagh himself gives a muscular performance in the background of a baroque set design. He imbues a sense of rawness but maybe overdo's the moments when he is humorous when he should had a nifty lightness of touch.Kate Winslet as Ophelia brings a moving portrayal as a young woman in love with the brooding Hamlet and who has engaged in a full physical relationship with him.The text can be fast and furious and as your hear it those many familiar lines zip by but that is how Shakespeare is. Language that is natural of its time and has to be natural to the actors reciting it now.The film has flaws. There are stylistic clashes from its cosmopolitan cast. The full play is not always easy to follow and the great fortitude is required to watch the whole film.",Hamlet
4,classicsoncall,"""Something is rotten in the state of Denmark.""",9,18 May 2018,"I quite enjoyed this adaptation of Shakespeare's most famous play. Moving the characters and locations into the Nineteenth Century might be a bit hard for purists to take but I thought it worked wonderfully. Not being a student of Shakespeare and having never read 'Hamlet', it was intriguing to see how some of Shakespeare's memorable phrases and quotes are used in context, such as my summary line above from Marcellus (Jack Lemmon), or when Polonius (Richard Briers) states to Laertes (Michael Maloney) - ""This above all, to thine own self be true..."". The film is passionate in it's tale of murder, corruption and revenge and one can feel the rage emanating from the principals as the story progresses.The principal characters are all helmed by terrific actors and Kenneth Branagh as Hamlet is superb in his interpretation, as are Derek Jacobi portraying Claudius and Julie Christie as Gertrude. The celebrity filled cast is at the same time both surprising and in some cases distracting. Jack Lemmon and Charlton Heston virtually melt into their roles, though for modern audiences, the appearance of Billy Crystal and Robin Williams seems both out of place and out of character. One could also say the same for Kate Winslet as Ophelia, though if one is not as familiar with those players, the effect would not be as off-putting. With a finale that almost approaches that of an action thriller, this version of ""Hamlet"" is more than entertaining for a modern day update. If one enjoys Shakespeare's eloquent exposition of the English language, you can do no better than this film, as one can only marvel at the way the players deliver their lines flawlessly and with ease.",Hamlet
5,gavin6942,Branagh Doing What He Does,7,7 April 2015,"Hamlet (Kenneth Branagh), Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.The film received four Academy Award nominations for the 69th Academy Awards for Best Art Direction (Tim Harvey), Best Costume Design (Alexandra Byrne), Best Original Score (Patrick Doyle), and Best Writing (Adapted Screenplay) (Kenneth Branagh).However, it was not a box office success, grossing just under $5 million on a budget of $18 million. This is hardly surprising. The film is what might be called ""an achievement"", and certainly the new, definitive version for scholars and fans of Shakespeare. But to get a general audience to a Shakespeare film is hard (unless you disguise it as ""10 Things I Hate About You"") and to sit for a daunting four hours is also a challenging task.",Hamlet
6,lee_eisenberg,there's more than a few surprises here,10,27 March 2018,"""Hamlet"" remains probably William Shakespeare's most famous play. The story of a Danish prince who seeks revenge for his father's murder has been an undeniable part of literature for over 400 years, and has gotten filmed numerous times. Laurence Olivier's Academy Award-winning 1948 version shortened the story - going so far as to eliminate some characters - and is thus seen as more of an analysis of the play. But Kenneth Branagh's 1996 version features the entire play, and is an epic in the true sense of the word.On the one hand, a lot of it comes across as comical due to the appearances of Jack Lemmon, Billy Crystal and Robin Williams (I kept expecting Williams to launch into a whimsical monologue). But the performances of Branagh, as well as Julie Christie, Derek Jacobi and Kate Winslet keep the movie serious. Over the course of four hours, the movie explores humanity in all its futility as Hamlet finds out the truth behind his father's murder and starts planning vengeance.I wouldn't call the movie a full masterpiece - it does drag in places - but I appreciate the effort that Branagh put into it, and the cast gives it their all. I recommend it. Who would've ever imagined John Hammond, Lara Antipova, Sammy Davis Jr, Aunt May, Ben-Hur, Felix Unger and Adrian Cronauer all starring in an adaptation of a Shakespeare play together?PS: Early in his career, Robin Williams had a quote that went something like ""TV or not TV? Whether 'tis nobler to do kiddie crap or sweat my ass off at 9 in the morning.""",Hamlet
7,jboothmillard,Hamlet,6,7 September 2005,"Apparently the full uncut version of Kenneth Branagh's Hamlet is meant to be four hours long, but on the video I saw it was only two. It is quite a good version of William Shakespeare's classic story about a man troubled by his father's spirit, or something. It has an all star cast including Branagh himself as Hamlet, Kate Winslet as Ophelia, Brian Blessed as the Ghost, Lord Sir Richard Attenborough as English Ambassador (long version), Richard Briers as Polonius, Julie Christie as Gertrude, Billy Crystal as First Gravedigger, Judi Dench as Hecuba (long version), Gérard Depardieu as Reynaldo (long version), Ken Dodd as Yorick, Charlton Heston as Player King, Jack Lemmon as Marcellus and Robin Williams as Osric. The two hour version is good! I do kind of want to see the full four hour version. Good!",Hamlet
8,ccthemovieman-1,"Lavish Production, But Strange Casting & Who Wants To Hear King James English?",4,4 August 2007,"Many will disagree with this point but this film fails on one major point: few people today, if any, want to hear King James English spoken. Who wants to strain to understand what the actors are saying, and strain for four hours! Are you kidding me? No wonder this film bombed, except for big fans of Shakespeare. To make it even worse, the lead actor, Kenneth Branagh, speaks in a whisper half the time.Actually, the casting in this Shakespeare classic is mind-boggling; some good, some bad and some very questionable. I mean, comedian Billy Crystal?The most embarrassing performance is by a Hall-of-Fame type actor, the great Jack Lemmon. What is Lemmon doing playing this role? He must have wondered the same thing, but he looked like he could care less. I have never heard him deliver lines in such wooden fashion. If you didn't know it was him, you would have thought they dragged some poor idiot off the street to handle the role.Yes, it's a visual feast, and I appreciated that, but it's too much of everything, almost gaudy in its presentation. Some say all of that reflects Branagh's ego. I don't know; you might ask Emma Thompson about what goes on inside Branagh's brain, not that he isn't intelligent and done some good work. To be fair, I just wish I had more patience with the King James English. Had I been, perhaps I would have enjoyed this lavish production.",Hamlet
9,Quinoa1984,the best 'epic-length' English-language adaptation of the Bard,10,6 October 2008,"Hamlet is nothing short than an epic work, of theater-literature-drama, and its quintessential story of revenge and love and the haunting sense of life and death always in the balance is unique unto itself. It's so repeated and ripped-off and homaged- not counting the actual film adaptations by Olivier and Zeferelli- it's hard to figure on a fresh take (even my once favorite animated Disney movie, the Lion King, wouldn't exist without it). Kenneth Branaugh has figured on an angle that works magnificently: adapt the entire full-length play, including parts not included in the *original* released play until in the late 17th century, and fill it with an all-star cast of British thespians and some Americans, and film it in an accessible manner for a 1990's audience. It's almost flawless as performance, and nearly mind-blowing as an example of film-making prowess.Need I repeat the story? Hamlet's father dies- is killed, actually- and returns to him as a ghost, telling him that it was Claudius (now married to Hamlet's mother, Gertud) that killed his father, Claudius's own brother. Soon Hamlet is completely absorbed in a revenge plot, with nothing- not even ambivalent love Ofelia- stopping him in his path. This is a simplified explanation of what is often complex- psychologically, emotionally, politically- in substance as it is in performance, but Hamlet is such a dense work that you could watch it 10 times and not really soak in everything that's being spoken and reflected. There's poetry in the language, so much so that you'll occasionally need a decoder to decipher some of the turns of phrase (aside from those that have entered our language-lexicon), and bits of philosophy, from the obvious ""To be or not to be"" scene to Hamlet (also classically) reflecting on the court jester, holding his skull by an open grave.Keep this in mind - Branaugh's film is long, and there's even an intermission (likely where one was in the stage version). But first and foremost on Branaugh's mind as a director is to translate many scenes that could be too stagey with an eye for inter-cutting, suggesting and supplanting sights and visions during a scene of dialog (one of the ones he keeps going back to is Hamlet and Ofelia making love in bed) and for a limitless movement of the camera. His style is slick but not too slick, stylish but only to serve a scene that requires elegance or tension or darkness or anxiety, and on the level of pure atmosphere there's rarely a note or scene that's missing the proper theatricality or grandiosity necessary. It's no less epic than something like David Lean, except that there are a few more scenes of people sitting in rooms talking/yelling to/at one another.As Branaugh shows how good a director he can be on the front of the technical, with his actors it's just as amazing. Even actors like Billy Crystal and Robin Williams dig into their brief roles after what could have been simply goof bit parts. Derek Jacobi, Julie Christie, Kate Winslet, and Branaugh himself are about the best outside of an Olivier-headed cast, and in some cases even greater; Winslet especially gives the goods on what is a follow-up breakthrough performance after Heavenly Creatures as Ofelia. And least to forget smaller players like Charlton Heston, who bursts onto the screen so vividly in just two scenes that it marks as a real performance, not just a walk-on, and perhaps his last monumental performance at that. Meanwhile, Branaugh himself in the titular role is just about everything one would want in a screen Hamlet: forceful, resonant, strong, and with some level of dark wit needed for a brooding character.Branaugh's Hamlet is handsome work with a disturbing edge to a lot of its scenes, and it's one of the definitive portrayals of Shakespeare, old or new.",Hamlet
10,dbborroughs,Wildly uneven but worth seeing,7,15 February 2004,"Despite what you've heard the all star cast is not as distracting as the fact the film swings wildly from one of the worst Shakespeare adaptations to one of the best films ever made on a scene by scene basis. I saw this in the theater originally and had to leave 90 minutes in because of its ping pong nature was too much to endure at late show that was due to end close to 2am.
I've since watched it several times on tape and TV and think its one of the best adaptations I've ever seen. The film contains several actors best performances, Charlton Heston leaps instantly to mind. If you want to see and understand Hamlet see this version, but be warned there are some truly awful moments in it.",Hamlet
11,anaconda-40658,A Great Update.,9,21 April 2016,"Hamlet (1996): Dir: Kenneth Branaugh / Cast: Kenneth Branaugh, Charlton Heston, Julie Christie, Kate Winslet, Billy Crystal: Remarkable film featuring stunning art direction. Kenneth Branaugh does an excellent job as director but he also takes to the screen portraying Hamlet himself. He previously directed Mary Shelley's Frankenstein and Much to Do About Nothing but this film features a most impressive art direction. The film is filled with splendid supporting roles including Charlton Heston in scene stealing comic moments. As we know from the play, Hamlet's father was poisoned by his brother and his ghostly figure appears to him. Hamlet wants revenge but unable to take action but unsettles others in despair. Ultimately a revenge does not suffice in a duel to the death. Julie Christie is set to marry the villain. Kate Winslet is strong as Hamlet's romantic interest. Billy Crystal is cast in the small but famous role as grave digger who throws off his thoughts and advice with a touch of humour. The film will appeal to those who have studied the Shakespearian play but its remarkable production is a delight to the eye and will appeal to a broader audience. It also arrives the same year as the updated version of Romeo and Juliet. That film was aimed as a modern update that never reaches the heights that Branaugh so gorgeously applies so artistically to this update. Score: 9 / 10",Hamlet
