,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
0,SnoopyStyle,death and religion,7,19 September 2020,"The story spans from WWII to Vietnam War dealing with deaths in religious rural America. Willard Russell (Bill Skarsgård) returns home from WWII in the Pacific after suffering from trauma. He marries waitress Charlotte (Haley Bennett) and together they have son Arvin. Arvin (Tom Holland) would become an orphan. He moves in with his grandparents who have adopted Lenora Laferty. They are raised as siblings. Lenora falls for new preacher Reverend Preston Teagardin (Robert Pattinson). Oh, there is also serial killer couple, Carl and Sandy.This is a jumble. There is a lot here. There are some good performances. Skarsgård is especially good. The cast is terrific. There is a sense of places and times. It would be nice if the story could be simplified to just Arvin's life. There is too much story with too many characters although it's never confused. I love the themes of religion and death. I also love that this movie is going for something expansive. It's probably going for too much.",The Devil All the Time
1,nogodnomasters,Pick your time.,8,5 October 2020,"This is a drama with a lot of killing. The film first focuses on Willard (Bill Skarsgård) in 1957, a WWII vet who has seen horrors. It then shifts to his son. We needed Willard to understand his son Arvin (Tom Holland). The film shifts between small towns in Ohio and West Virginia and has a subplot. It also contains third person narration that was done by someone doing a light version of Sam Elliot. Next time just get Sam Elliot and don't call any of the characters ""dude.""It nicely develops many characters to give you a feel for the town folks. Most was done by narration, which I normally find annoying and poor substitute for a good scene. That was not the case here. It flowed.Guide: F-word. Sex. Nudity, mostly in B&W photos.",The Devil All the Time
2,kosmasp,All over the place,9,20 September 2020,"Well not all over, as the movie states right at the beginning, we do have a certain area that is being the center of it. Even if that area or rather the cities themselves do not exist. But that is of course for the purpose of the movie and to be as vague as possible as to people not being offended ... like if their town/village name was mentioned.Acting wise this is amazing. The script is also quite something. Having multiple characters, many timelines (or rather periods) and so much more to keep track of, this does warrant multiple views. Even so, it is a fine watch, with extreme violence and many other disturbing things to boost. Many have stated that they haven't seen Tom Holland like this, and I would agree Spiderman probably would not approve of some of the things he does here. Then again, Spidey would have a different set of attributes and possibilities.That aside, there are so many great actors in this, you may get dizzy after you watch it the first time! Really good stuff, if you are not too squeamish ...",The Devil All the Time
3,classicsoncall,"""It is our delusions that lead us to sin.""",9,20 January 2021,"This is a film in which the connections among multiple characters isn't fully revealed until late in the movie. There are also a number of people who you key in on as principal players who suddenly drop out of the picture, though for obvious reasons as it turns out. As such, you may have to concentrate just a bit more on what's going on than in your average story with a linear chronology, as a handful of flashbacks are utilized to provide background detail that becomes important later on. For some viewers the slow burn nature of the picture may prove daunting, and it's dark themes may not resonate with the timid, but for those who stick with it, you'll be treated to a compelling drama of a young man who's forced to straddle the line between good and evil in an often unsuccessful attempt to protect the ones he loves. Despicable characters abound in the picture, none more so than the wicked preacher Preston Teagardin (Robert Pattinson), although his forerunner Roy Laferty (Harry Melling) I would consider a close second. By the time this film is over, you'll come to agree with the ill fated Sheriff Lee Bodecker (Sebastian Stan), who states to a young Arvin Russell in a critical flashback scene - ""Some people were born just so they could be buried..."". Turns out, there's a lot of that going on.",The Devil All the Time
4,CinemaSerf,"Great cast, great scenery, rambling plot....",7,17 September 2020,"Whilst certainly a great looking film, the rather episodic depiction of the ultimately interweaving threads to this story is really disjointed and so make this a particularly pace-less film that really only comes alive in the last half hour. In as near to a nutshell as this meandering plot will allow, the gist is that we start off with Bill Skarsgård, happily married to Hayley Bennett until she becomes stricken with an illness that tests to the core the man's obsessive religiosity - a test he also subjects his young son ""Arvin"" to, too - with rather harrowing effects. Simultaneously, we are introduced to the rather curious pairing of Riley Keogh and Jason Clarke who spend their time trawling the highways trying to ensnare young men into their rather brutal photography sessions, Finally, Robert Pattinson arrives in their Ohio backwater as a somewhat puritanical preacher with quite a few flaws of his own. The story evolves over quite a long period of time as ""Arvin"" evolves from Michael Banks to Tom Holland - and it's really only once Holland appears that the story gathers it's pace and the menace and complexities start to conjoin. Pattison is super as the fervent pastor as is Skarsgård as the equally fervent father, and there are some decent contributions from Harry Melling and Sebastian Stan, but the thing all just takes far too long to get going and once it does there is an inevitability about it that, I found, made the whole thing more about assembling a strong box-office cast than about constructing a cohesive or compelling story. It certainly doesn't lack imagination, and the attention to the detail in the presentation of an immediately post WWII America is impressive but in the end it's all about the story - and for me that just fell well short.",The Devil All the Time
5,Wuchakk,Drearily fighting... the devil all the time,6,19 September 2020,"In backwood towns of West Virginia and southern Ohio during the mid-60s several characters converge around a disillusioned orphan (Tom Holland) devoted to protecting those he loves.""The Devil All the Time"" (2020) is a slow-burn Southern Gothic psychological drama with crime thrills in the mold of ""Undertow"" (2004) mixed with the dismal rural tone of, say, ""Winter's Bone"" (2010), ""Mud"" (2012), ""Joe"" (2013) and ""1922"" (2017).The bleak story emphasizes the deep mysteries of life, like man's brutality to fellow man, premature death, unanswered prayer, religious misbelief/error, justification of sin, corrupt authority figures, the downward spiral of a criminal lifestyle, divine justice (whether you perceive it or not), hope and, maybe, redemption.Some complain that it's ultimately pointless, but it's not. It may be meandering and ambiguous, but it's not pointless. You just have to be braced for a slow drama, degenerate characters, lots o' narration (by the author of the book), time jumps, convoluted storytelling and a muted emotional payoff. Another thing to consider is that the story doesn't become compelling until the last 50-55 minutes.The movie doesn't ridicule people who believe in Christianity, as some have criticized, but rather realistically shows how certain individuals with mental issues can misinterpret the Scriptures or the Spirit's leading, as well as use their position to serve their carnal interests rather than serve people.There are weird and disturbing aspects that are gut-wrenching or disgusting, but the author based these things on real-life cases.It's a quality production with convincing acting/costuming/sets/locations, but the snaky downbeat story isn't for everyone.The film runs 2 hours, 16 minutes and was shot in Alabama (Anniston, Montevallo, Birmingham, Oak Mountain State Park and several other points in the area).GRADE: B-",The Devil All the Time
6,trashgang,dark,8,27 September 2020,"So on many sites it became an issue about is this horror or isn't it or is it a drama with a dark theme. Well, horror it isn't for me that's for sure. For me it's a dark drama worth seeing if you like weird stories and movies that ask your brain to work it all out.The score used, the way it was shot, the lighting and of course the acting is all above mediocre. I can't go into the cmparing between the book and this flick but did I like it.The characters, the acting is so well done and casted that it becomes almost a master piece. The story is dark themed and here and there you will have some gory shots. For most the crucifixation scenes are the worst ones. But hey, as I said, this is not about possession if you think that the word Devil should give you that. It's all about the Christian belt deep south in the USA, I have visited it as the era of the hillbillies so I do understand it all. If you aren't into Christianity then you will have the devil all the time.And as many said, spiderman, sorry, Tom Holland is giving the best. Enjoyed it a lot. Give it a try but be aware, it's not your usual flick.Gore 1/5
Nudity 1/5
Effects 3/5
Story 4/5
Comedy 0/5",The Devil All the Time
7,deloudelouvain,If you like to watch religious idiots this movie is great.,8,8 December 2020,"Just by the title I was expecting a horror movie, but it's a crime/drama, even though you could concider it as a horror since it's very religious and what is more horrorful than religion? The Devil All The Time is a quite long movie but it doesn't feel like that because there are multiple stories that in a way are all connected to each other and they are all very captivating to watch. The cast is excellent, with a lot of good actors like Robert Pattinson, Tom Holland, Bill Skarsgård, Eliza Scanlen etc. Robert Pattinson, once an actor I didn't really appreciate (probably because of those dumb Twilight series) is a totally different actor now that did a very good job playing his character. This movie has different stories and they're all very religion themed, what makes it interesting to watch. As an atheist I always find it fascinating to watch very religious people believing the most idiotic things and in The Devil All The Time you get a lot of those scenes, if not all of them. There's a fair amount of murdering so it's more a crime than a drama and that's what makes this movie worth watching.",The Devil All the Time
8,blanbrn,"Complex film of flashbacks with journey, free will, morals and connections.",8,17 October 2020,"""The Devil All the Time"" is one film that as you watch you must pay attention to closely for the way it goes back and fourth with flashbacks. In fact to get more out of it and better understanding it may require at least another viewing. Set after the postwar the film intersects and travels thru the 1960's with it's focus of time events taking place in rural southern Ohio, and the rural backwoods sticks of West Virginia. Along the way the film involves sinister and crazy characters it's like their fates have all been cursed! The mood and tone is a mix of drama, suspense, and real life horror. The themes of sex, violence, faith and betrayal are well on display as the film is a menu of death, religion, corruption, serial killers that all intersect with morals and free will. It's compelling to see how time and these two towns connect the characters. The performances are all pro with Bill Skarsgard, Tom Holland, Riley Keough, and Robert Pattinson. Call it a Southern horror soap opera still the movie is compelling, complex, and interesting that has you the viewer thinking. I guess if one wants more insight and understanding read the 2011 novel from Donald Ray Pollock.",The Devil All the Time
9,FeastMode,why why why do i keep watching netflix garbage,2,10 May 2021,"I almost quit this movie after about 40 minutes. I was so bored i wanted to cry. Can someone tell these filmmakers that constant narration is awful. But the story just became a tiny bit intriguing so i kept going. Bad decision.This could have been a decent movie if it wasn't so unbearably slow. The general storyline is mildly interesting. And the performances are mostly awesome, especially robert pattinson, wow. Maybe if it was an hour and 40 minutes with zero narration, there could have bene something herebut, for the love of god, there has to be some sort of entertainment factor. I feel like you would only like this movie if you're a 70-year-old who grew up in that time and hates gosh-darn technology. Another horrendous entry in the netflix originals library (1 viewing, 5/9/2021)",The Devil All the Time
